V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T,PHL_HFCE,PHL_NPISH,PHL_GGFC,PHL_GFCF,PHL_INVNT,PHL_DPABR
PHL_K,275.1891,89.97,9.4481,35.6515,4.9937,1752.1811,256.9153,57.9676,158.6158,417.4071,197.1106,31.1443,45.0213,146.4164,222.4771,130.8815,287.6542,60.1262,31.6598,139.8713,33.1489,67.6693,358.9806,37.4756,835.3825,1281.333,304.3109,158.4567,109.599,100.3457,15.0883,136.254,62.6453,207.3431,116.934,5639.4085,561.744,122.8773,523.2256,1985.2999,170.3448,200.1118,57.8559,114.444,0,13135.8801,26.9806,11570.6205,127.9013,2.2161,0.0
PHL_L,92.4362,14.3523,12.5492,35.5864,0.9887,196.7815,233.991,57.0578,55.487,787.7905,26.9747,3.6078,79.4155,59.5411,30.8269,98.9283,85.7901,44.111,31.6953,65.2968,23.1214,72.5325,14.1284,49.0327,25.1655,2217.504,201.5963,65.107,14.8491,83.2588,28.9713,269.8424,79.4517,408.8795,188.1726,1525.8677,498.3193,164.838,709.3267,148.922,225.4318,187.3015,27.3912,233.5002,0,14618.1441,27.2709,896.2021,107.8257,-2.6606,0.0
PHL_M,34.4344,10.1285,1.116,7.4307,9.1669,217.3246,28.3133,6.7632,22.8729,42.9474,93.4991,7.2597,9.8914,17.3498,24.2508,14.6627,141.6212,11.587,5.7295,15.2282,16.5455,13.0391,46.5131,23.82,153.9332,238.6361,175.6765,44.1722,63.0029,47.9803,4.8928,58.5274,9.5418,46.1581,48.1319,240.2866,105.5946,149.3356,214.7582,72.8922,24.2143,131.442,18.3235,27.2806,0,267.7049,42.6288,545.3793,175.0663,-10.6165,0.0
PHL_N,46.0726,10.344,0.9746,4.3498,6.4656,219.2389,26.9134,6.8255,22.2247,39.8722,25.6088,3.2569,4.9372,16.6827,22.1824,13.3347,49.7248,7.5747,5.8328,14.0117,3.854,12.2689,29.503,18.0477,367.041,169.4655,560.6667,242.0905,242.143,281.4283,21.2412,543.1428,91.597,665.2089,621.0717,3422.3823,452.393,303.0728,1797.1735,106.5083,45.788,206.0637,27.2381,91.6165,0,211.0346,27.0828,612.9329,131.9703,-26.4186,0.0
PHL_O,7.7794,1.4107,0.6765,2.184,1.0564,29.1149,7.9501,4.4434,3.2857,20.4145,5.5093,0.7239,2.3029,4.7368,15.9801,5.0067,10.8358,3.9365,2.0392,3.6367,1.5673,3.5165,5.9983,3.2824,19.2872,59.2334,17.1334,3.8707,7.4895,4.8915,1.4911,12.3316,3.2109,12.4957,7.0907,51.9597,16.637,9.7018,26.052,2257.2721,6.431,12.1946,2.8781,6.7407,0,7969.5353,58.7343,11614.759,98.809,-1.8765,0.0
PHL_P,35.8946,10.2351,1.2823,8.8168,1.3676,220.1342,28.8064,7.0934,23.0641,44.3636,75.7467,6.4195,8.6416,18.0466,23.5544,14.6268,132.3381,9.5175,4.8782,15.2758,12.2623,12.5892,50.0082,25.4969,169.8141,235.6575,152.0693,34.5391,52.5305,37.0905,3.9864,42.5997,6.3678,21.9939,24.6289,143.1822,92.8038,128.1146,170.477,95.2742,27.6583,129.6331,19.1753,24.2082,0,11734.7085,225.8882,736.9862,97.5875,-0.5747,0.0
PHL_Q,4.2434,1.2356,0.1737,0.6284,0.1745,53.3774,4.6969,1.0626,2.6469,18.5949,4.3475,0.7849,0.9564,2.6562,3.9729,1.9652,11.1958,1.9976,1.0108,2.8261,0.8169,2.3257,4.2017,1.0001,20.2243,74.8091,7.9414,3.154,2.0783,1.9127,0.54,23.454,1.1812,4.2388,2.3618,21.6396,7.5709,5.1512,12.1129,15.3671,6.671,158.5592,2.0608,4.7941,0,6009.4571,261.3701,1379.7303,21.5003,-0.2914,0.0
PHL_R,9.9811,2.3666,0.2707,1.2016,0.0937,36.1235,7.473,2.6043,5.0289,13.12,4.7464,1.4971,1.6761,4.426,6.3078,3.9703,12.0367,2.2821,1.6909,3.781,1.7365,3.3066,6.3833,1.0539,16.1744,126.8773,9.7616,2.5235,4.4394,2.5419,0.7731,68.6977,6.8511,6.682,3.5557,38.2193,11.849,5.7757,14.6186,19.6981,4.1792,4.4487,226.5821,31.1667,0,3789.6205,154.619,526.8278,29.7102,-0.5941,0.0
PHL_S,6.5232,1.9218,0.1492,0.5863,0.4951,33.4205,5.1029,1.1758,2.9858,6.5472,3.2245,0.5315,0.7802,2.2103,3.6417,1.7827,9.0377,1.8548,1.0407,2.0199,0.6665,30.293,3.6894,1.4853,36.2532,23.6855,7.9271,1.9807,3.1256,2.106,0.3801,69.9118,11.2733,4.6271,2.4522,55.9748,12.8686,5.2915,80.5596,6.1965,107.5807,47.3844,14.4351,688.0042,0,5758.6331,212.7768,39.1242,10.4428,-1.596,0.0
PHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
