V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T,FRA_HFCE,FRA_NPISH,FRA_GGFC,FRA_GFCF,FRA_INVNT,FRA_DPABR
FRA_C20,2593.7476,104.0834,0.7959,52.437,0.5313,670.4441,320.5295,18.8623,578.0159,230.7394,5359.4144,1300.6207,2865.8323,163.19,222.5506,486.3746,88.2841,251.8933,230.6281,426.5733,200.7809,583.6125,1477.702,96.946,1265.4979,781.355,30.0583,32.6728,5.7719,31.4819,8.9533,93.6243,306.4777,57.3045,103.248,23.6041,532.5327,533.2579,291.3452,184.5033,110.1786,533.5858,126.1779,92.7463,0.0,7967.4024,311.4202,165.6609,0.0,587.46,0.0
FRA_C21,260.3139,12.4161,0.029,4.9301,0.0061,37.3217,0.8836,0.0892,0.1896,0.5877,83.9732,1535.7247,1.7386,0.2798,0.2534,0.1499,0.1646,0.2755,0.2893,0.2607,0.3584,10.8982,0.5197,1.0841,1.1518,6.6334,0.4755,0.2287,0.0886,2.9219,0.2123,0.5655,0.1848,0.3265,2.7461,5.8785,0.2677,150.4311,28.1944,51.4812,4.3766,2227.8029,1.7548,3.7957,0.0,3321.4935,106.5217,8645.9553,0.0,229.6988,0.0
FRA_C22,218.5835,9.9046,0.0,24.8089,0.144,1345.5547,259.8746,10.7314,197.3847,267.8546,642.684,209.418,901.491,100.254,105.842,322.2523,413.1508,479.9975,561.9158,1453.5254,392.3874,1066.8916,175.423,93.929,2472.8357,2248.352,211.8623,50.754,23.1601,33.3368,73.0712,21.5088,251.7991,256.5457,81.6147,79.6996,65.7745,481.4223,351.0903,0.6397,8.9915,245.4778,32.5351,93.1169,0.0,3229.3921,0.0,0.0,0.0,299.7352,0.0
FRA_C23,233.3201,15.2648,0.0,210.1315,0.2915,670.999,18.5826,13.4383,44.6312,15.21,291.7688,177.8416,82.8506,2502.9929,153.5159,227.6268,231.1956,90.7079,202.5716,439.8697,109.707,407.509,223.2129,279.0033,10937.9679,810.6147,114.3577,9.2717,1.14,57.4898,0.0,93.2507,7.2027,44.2705,23.1141,0.0,168.346,548.6428,385.7378,29.2376,176.2343,660.2706,50.5138,70.4441,0.0,2011.3673,0.0,0.0,5.0431,329.0878,0.0
FRA_C24,0.9121,0.0,0.4766,10.9101,0.3726,32.5237,13.4257,1.4965,11.7393,52.2994,98.124,79.7574,74.9024,273.2241,3076.3745,3011.7195,245.947,482.5349,1114.109,1180.8738,374.3701,1417.8272,26.0884,602.2763,2318.0778,117.6283,13.5927,4.6498,0.2185,24.1917,4.4112,2.5692,42.8507,3.9632,7.9723,0.0,0.0,113.7513,178.8163,1.492,0.0,0.8353,1.1306,91.6669,0.0,36.0425,0.0,0.0,44.4062,193.8767,0.0
FRA_C25,437.6184,17.0141,1.5743,84.7076,0.919,1079.3701,179.8857,52.9486,266.1397,263.4761,670.2779,118.646,183.7171,229.9511,872.7412,5150.8303,746.0583,1040.467,2351.4566,2591.1759,1124.0224,3030.9846,356.5284,500.4553,9388.2144,603.3733,151.2818,19.7274,17.575,219.6118,18.2963,108.806,88.9286,244.9607,143.7505,5.2532,343.1982,433.9285,913.2843,634.8862,31.906,450.3147,72.897,163.1362,0.0,3044.8121,0.0,0.0,3213.8421,570.8044,0.0
FRA_C26,0.0,0.0,0.2564,2.7048,0.0281,21.202,3.8486,1.6922,22.3553,20.5472,31.6839,4.4343,19.0954,37.0168,47.4373,106.8061,919.1582,442.6013,328.2628,369.3486,1240.3677,439.6835,92.6751,26.1014,526.9039,422.7146,9.4107,13.6289,0.9121,77.3433,53.7395,17.9013,56.2789,506.8471,432.5722,96.207,20.3783,733.118,302.8569,229.504,50.6144,732.894,99.2362,225.5301,0.0,3933.7343,33.7371,85.2225,2989.97,269.8326,0.0
FRA_C27,12.7191,0.5707,0.0815,5.5471,0.0522,57.4384,9.1699,3.4423,43.8905,35.1464,66.1166,8.1965,20.6805,28.6215,89.8592,198.6753,281.8861,489.461,316.4626,339.7566,218.1406,274.3282,117.0207,41.7423,1231.736,548.4298,31.4813,5.9852,2.1704,112.1536,43.1699,29.3107,32.944,333.6342,230.8889,22.5661,172.1616,473.2199,183.846,22.0964,5.6156,19.8575,23.3591,75.1328,0.0,2760.7985,0.0,0.0,750.8256,140.8845,0.0
FRA_C28,62.1634,34.9984,0.5157,146.0428,0.5652,359.2921,50.9994,15.4172,70.7689,71.912,146.5139,26.519,121.4816,124.2911,169.5896,353.3121,242.0888,161.1932,1253.4365,1506.6694,829.0255,1827.3728,310.6594,288.5503,2149.4936,866.9356,103.3521,30.3205,10.1004,195.4408,11.0538,42.3644,89.8378,105.0095,55.2301,14.9472,18.5488,373.0126,318.4197,139.0702,31.4508,164.1506,68.1539,148.9905,0.0,422.4997,0.0,0.0,6506.4702,304.93,0.0
FRA_C29,67.5235,0.7415,0.0,2.6064,0.0302,102.5551,3.6183,1.2012,6.2634,10.0434,18.6099,0.8183,2.8985,20.2419,11.7881,22.2401,11.8518,8.7055,353.3899,3295.8339,57.0776,145.858,21.0343,104.4163,59.2666,2481.7178,196.9177,25.1139,17.7091,238.7502,11.655,8.0062,47.4281,45.0162,26.5736,14.7022,11.4142,116.8458,178.9934,98.9789,13.7491,103.4921,40.4284,61.1286,0.0,16636.0939,0.0,0.0,7031.3831,446.1747,0.0
FRA_C30,0.0,14.2715,0.0,0.0,0.0026,6.1294,0.1754,0.0332,0.2987,0.2491,0.6777,0.0,0.6795,0.928,4.4499,6.6208,0.269,0.8563,10.693,137.5901,10816.8236,114.9222,0.8082,1.1741,3.6855,80.1637,125.2065,88.0855,36.3618,43.8235,0.9421,0.9232,1.1751,3.6022,1.6458,0.8308,0.1299,39.6907,17.7111,1441.635,0.356,1.9359,0.3375,5.2231,0.0,2559.2807,0.0,71.1313,4025.829,38.6044,0.0
FRA_C31T33,3436.7738,1.2977,1.5525,126.7176,1.091,279.6661,17.959,15.5096,42.5976,56.1525,215.8238,46.4128,28.9907,67.2607,134.929,486.9422,345.6301,135.8507,670.0156,1735.3367,5140.2259,8219.3395,78.8567,119.7944,2507.616,3219.8868,192.0348,42.9092,228.7881,531.1765,25.9249,57.3847,69.0836,336.6829,74.7004,157.7101,16.3571,771.6225,380.5907,1896.2492,38.3053,2608.7156,295.8794,128.6542,0.0,8440.9981,0.0,974.1428,26582.5656,36.4255,0.0
FRA_D,1353.9502,32.8173,0.809,127.0385,1.0415,3007.3329,146.76,67.4125,1311.0937,551.0999,2932.7069,441.3693,271.3627,1303.5028,2575.6296,567.8237,305.13,191.1389,295.2827,575.7459,272.2528,219.5875,51512.5321,606.0605,347.3503,4793.7702,1846.2007,8.8858,11.5474,485.2503,77.9552,1085.49,1737.4209,1340.2515,336.1777,657.7787,912.2911,2193.2781,516.8779,2346.7975,1434.2805,2267.099,1178.1976,338.1206,0.0,40211.6259,0.0,7.7306,0.0,0.0,0.0
FRA_E,472.4766,18.8823,1.4827,23.7603,0.2773,1085.6715,131.1911,39.5481,503.2097,297.3276,510.5053,238.2168,92.5894,361.725,2318.6737,357.962,110.0618,81.6118,168.2711,249.521,97.0294,257.1923,553.7827,7767.0967,1450.0208,2241.7148,112.4871,90.6212,36.3776,241.4426,81.3816,320.1519,501.2607,311.5923,512.1668,361.2597,1248.778,2199.2674,1155.9133,4205.7715,793.3738,1469.5601,323.7655,151.1061,0.0,11501.5784,0.9615,21.9935,317.6054,0.0102,0.0
FRA_F,400.3584,11.8583,4.9323,38.3159,0.9784,140.8738,37.2722,6.9458,49.2478,177.6963,81.4377,32.6119,46.4704,57.1146,104.2346,156.2712,74.2083,59.7616,408.1497,125.6944,247.0554,224.7125,1225.6232,431.5455,51857.2967,605.2033,111.1641,155.2992,33.8542,242.9967,37.1195,63.9144,491.3105,584.9229,187.5097,2077.0559,6630.2405,2453.2224,1089.6843,6141.1719,1672.8244,1614.4238,1229.0948,144.3097,0.0,18784.4648,1.6355,41.742,217681.5685,0.0601,0.0
FRA_G,9943.9597,244.2892,2.9531,399.3548,2.2588,24473.5181,3883.8489,773.2653,1939.8119,1530.0588,6101.651,2919.1788,2459.5097,2242.1167,1785.7503,3071.2524,1898.8895,1563.4782,3023.2672,5721.7234,4097.4684,5638.7486,4765.1012,1210.2548,15391.7439,23333.1239,3412.338,761.8271,636.1333,1348.4618,195.6767,8571.9704,2973.6821,1556.0363,1547.6131,2120.6631,1747.0765,6356.0684,3657.4692,3398.6254,2390.8511,9124.9475,2215.8817,1316.6442,0.0,143210.2985,274.322,8022.1885,16120.3367,4267.3199,0.0
FRA_H49,1450.5009,36.4484,1.0709,68.1542,0.8795,3411.5552,333.309,144.8867,301.5373,495.8227,1013.0725,326.6892,367.9748,472.4513,452.0611,565.5,279.7676,239.915,487.5518,898.8356,586.2761,852.0349,921.3271,274.6314,3010.2962,11818.8328,6695.2538,104.0574,91.5073,497.9035,38.2482,988.1645,601.3507,296.747,212.3172,307.6501,194.5039,1123.4314,562.9653,1626.5687,824.2918,1417.1561,311.5267,312.3473,0.0,23545.5548,99.3218,2661.4937,2218.4904,2359.0562,0.2975
FRA_H50,11.9318,0.3749,0.011,0.6793,0.0403,24.5744,6.9754,0.7698,3.8719,17.0313,12.5043,3.9593,5.032,3.3842,6.5905,7.8484,4.7503,4.2772,7.5316,14.8329,12.3877,12.4186,15.3375,2.5646,30.2481,118.2885,10.145,467.3065,1.2188,857.1531,0.4275,7.3046,4.0385,3.2356,2.4402,1.7006,1.9657,8.6598,28.4511,5.9444,2.3131,12.1841,2.4193,2.1424,0.0,578.529,0.5269,10.1465,37.9733,293.3534,0.0
FRA_H51,22.1792,0.2833,0.0128,0.8191,0.0026,34.3402,7.8996,1.5851,4.7589,20.1083,13.3741,2.8956,6.2002,4.1151,8.3248,9.6619,5.5872,4.4806,9.222,18.8135,13.0747,16.0757,19.4791,2.2051,40.0545,4.5206,3.8514,0.3461,0.0149,0.0173,0.0894,7.3201,3.076,2.3528,0.0204,0.0447,0.6139,0.0944,0.0761,1.6786,0.7936,8.0038,0.8108,1.5571,0.0,0.0186,0.8328,14.2582,58.5135,635.1494,0.0
FRA_H52,143.8183,6.9352,2.3153,103.9523,0.5246,2464.1156,171.0315,70.6908,524.0249,475.465,715.8116,359.4061,225.0931,631.8351,649.0833,491.3819,252.8027,184.2554,390.0685,554.0829,498.5829,572.0551,347.9955,339.5366,2242.4943,10980.1055,8913.805,4101.0519,467.828,11073.4241,31.5248,887.6122,915.6273,274.3869,791.9829,236.158,959.9828,3052.3766,2219.6051,544.6554,250.502,462.9716,475.4022,160.7482,0.0,10000.5448,3.1709,58.6654,200.5938,69.9506,0.0
FRA_H53,12.6325,0.0,0.1692,1.004,0.0502,58.5962,7.7078,0.6896,17.3207,4.1719,94.551,18.8203,5.2484,10.4636,8.1154,11.709,11.0361,7.087,15.2058,15.6942,18.1187,24.4051,54.6488,23.9417,91.2236,1467.033,40.5041,42.9064,22.9932,48.3046,850.8173,79.8511,201.8155,702.629,445.4805,1025.2214,68.418,1279.9702,589.306,2297.1496,235.0755,291.9845,170.0391,166.2402,0.0,1396.0073,0.0,0.0,0.0,5.5059,0.0
FRA_I,20.7286,1.0993,3.0253,24.2738,0.1648,291.0012,22.7393,8.1548,38.9353,45.7516,135.0272,115.6237,54.087,74.5939,100.2322,100.9379,52.3582,35.6392,86.4173,73.0179,148.1118,139.1005,107.237,118.206,234.2138,5771.8766,618.7574,350.0027,55.2834,257.8426,50.566,881.8228,409.1778,276.2679,785.0252,666.2952,530.9265,2545.2071,1932.9546,318.1245,506.728,2264.4398,395.057,175.2948,0.0,57362.8457,24.5713,563.7114,0.0,0.0191,0.0
FRA_J58T60,146.7697,3.9891,0.0444,5.7792,0.0556,167.4456,11.9401,3.027,19.0363,14.6819,65.4057,46.1644,14.9774,17.3861,20.2694,30.4631,46.9229,18.0945,32.3139,24.0746,85.572,44.8304,127.9461,65.3308,208.5043,1869.793,76.5133,57.5828,28.9871,153.4308,32.7526,87.7257,3250.8853,687.8017,2052.5816,4399.9671,501.3719,4576.4898,1713.7103,1557.7548,760.1331,726.4461,844.2954,459.1112,0.0,12504.6833,0.562,3623.5114,14138.7288,6.3139,0.0
FRA_J61,33.8145,0.8524,1.1658,6.736,0.2404,221.244,38.4589,3.1289,52.3242,44.5673,110.6934,104.8834,22.4537,39.1891,31.7272,59.5668,48.7154,49.8304,100.7716,58.8648,110.1504,107.1571,204.5337,74.4747,467.0324,5852.4952,100.9688,77.9006,18.2633,197.3269,472.5125,348.5553,452.2886,9804.2329,1840.3407,7466.3157,657.7873,4342.1815,2629.8838,1569.5866,539.0708,986.042,488.3098,289.1965,0.0,23808.5015,0.0,0.0,0.0,3.4757,0.0
FRA_J62_63,0.1511,8.116,0.3103,0.7357,0.1905,721.3895,91.2909,15.365,136.0488,171.4165,299.1333,182.7003,105.1135,83.2004,88.4239,171.1659,398.8837,93.7966,183.3062,75.5349,340.7261,247.7238,544.3333,216.1876,901.772,4583.0402,295.4612,222.4207,63.1017,319.5061,107.908,223.2147,991.3777,1338.318,17293.4935,8332.3292,1139.8978,4549.1074,2674.8329,1670.3023,332.3073,895.6551,273.6833,421.4119,0.0,1609.1799,0.0,0.0,64294.2466,3.7296,0.0
FRA_K,1954.8684,99.1268,18.6228,81.8742,1.5496,3091.0563,332.1466,48.8791,497.954,360.7271,1086.899,478.6284,218.2626,389.3972,396.6901,493.7693,411.4522,272.9964,638.3516,415.9622,667.0454,691.449,824.7169,1163.6737,5241.6951,17533.2451,3513.7767,1036.4056,310.9579,3513.4343,440.7719,1440.0548,1080.8979,3472.2371,1344.5935,86906.8797,19518.0194,14904.5017,5605.0933,4296.1223,896.3742,2879.1039,730.2942,1638.7945,0.0,62894.4091,0.2905,5.5139,21.3161,33.4354,0.0
FRA_L,17.255,0.8303,0.701,66.0809,0.3085,673.1138,63.5381,26.2469,195.5869,82.5217,304.8132,357.7421,92.7943,212.8279,281.3756,162.2804,98.4776,33.8886,186.02,75.7137,355.0766,199.6939,172.4979,154.2718,693.3776,21118.587,1037.1826,330.886,115.1627,1227.9639,264.4804,1397.7066,811.7838,1092.6315,2770.3603,8408.8909,12870.0607,10985.4648,7410.512,2387.8749,713.9994,3388.383,720.7901,723.704,0.0,279279.6907,911.263,18068.0842,6584.636,0.6154,0.0
FRA_M,1735.0044,100.8601,17.8203,156.7067,3.8389,7545.1377,553.9951,121.3183,1210.1128,697.1034,2127.5484,2428.6526,1103.424,1143.5507,1433.6717,1496.6177,1122.0145,595.2458,1486.403,1660.8438,2589.6457,2109.2531,2200.6002,1448.6871,14265.2443,32278.7384,2474.3617,1842.8047,434.9442,3855.2902,342.7211,2976.1742,3527.2417,3398.4291,6892.984,13403.032,8205.5086,86896.1561,16581.3173,7047.939,2369.1905,7280.6855,1909.8354,1911.7888,0.0,12332.2167,629.6938,18025.4698,94771.1192,91.6724,0.0
FRA_N,636.0746,31.7333,15.0683,131.2623,2.6467,5292.6357,585.8973,96.4011,895.2631,405.8293,1234.5909,966.5426,1005.9588,1240.7691,1379.233,1759.115,536.3827,666.4856,1191.4477,1009.9433,1727.2455,1599.474,1905.9431,3392.0448,11728.9628,23621.3055,4546.8879,1790.7649,496.8636,3903.6725,530.8561,1512.8229,1753.3039,2743.9471,3519.3615,14028.9286,5902.8936,24312.9365,22080.5244,8963.3903,3830.3546,7668.3095,2059.6295,2750.8403,0.0,6342.8927,0.0,1280.2902,11839.686,29.0584,0.0
FRA_O,191.9378,5.3929,1.3063,15.326,0.2169,546.2854,71.7534,103.6008,221.2543,152.1252,233.7159,137.2771,74.9943,175.0848,876.1913,181.9627,67.1332,53.8164,110.9162,135.5755,118.1743,160.8611,351.9477,2620.1169,1080.8891,2138.9943,244.4352,90.5938,32.7258,237.5404,49.723,212.942,244.2592,199.7983,401.3007,867.3258,1003.9793,2669.3245,1096.1132,1767.1525,292.4243,664.0701,174.9175,131.0167,0.0,7182.0387,10949.739,225308.3397,2261.1345,33.8817,0.0024
FRA_P,136.4959,7.2846,2.5156,23.8156,0.035,567.7235,67.6683,22.8555,95.7992,102.5752,351.6477,262.1751,166.688,152.4732,116.0763,222.9073,185.113,135.6532,241.9189,470.7382,356.0599,446.9984,597.6326,158.478,824.7092,3216.6741,1549.1903,70.0433,384.7823,505.7155,229.5689,217.334,196.5894,715.6317,1152.4464,1162.8653,283.1397,2526.8815,1091.9717,805.9066,1735.7798,3550.5759,238.3284,109.7318,0.0,8681.9553,2630.2802,122509.781,271.3075,3.3223,0.0001
FRA_Q,227.2272,0.7994,0.1766,3.7971,0.0557,211.5028,20.2515,7.0564,25.0506,25.7668,43.8467,24.9595,24.805,25.2392,45.2003,45.6345,23.099,21.8831,41.1096,50.0904,59.7828,67.4331,66.0638,51.5854,365.2022,561.4097,116.2413,39.4768,17.5443,132.609,14.5534,165.7397,62.2314,86.4505,162.1667,599.1982,128.1561,702.2233,581.6387,443.4867,86.4393,7033.0873,64.3981,62.7559,0.0,58235.8488,22770.2308,213507.6825,501.1678,5.1754,0.0
FRA_R,4.6356,0.083,0.0578,1.7078,0.0146,96.4735,8.7416,5.2962,21.462,19.2025,41.9111,41.0034,17.0045,28.3976,61.6533,34.9899,16.3203,11.9469,29.2933,25.7918,45.1368,46.5578,44.2348,127.9632,98.9409,1667.5286,171.3829,85.4989,15.9998,80.9599,17.3147,391.7419,391.643,82.0312,239.6857,51.997,238.4283,857.4338,665.0621,430.8923,183.899,249.8471,1706.7557,250.6846,0.0,20583.7483,3418.1981,20031.4688,200.7254,2.4254,0.0
FRA_S,9.0853,94.6692,0.1585,20.6105,0.1212,588.8404,68.044,5.4446,52.683,145.5649,222.4741,92.998,46.8463,104.631,70.2183,67.8233,61.2163,74.4209,191.0207,437.2589,179.8698,424.5499,171.1702,186.8368,542.2249,2007.8249,226.9876,107.71,19.417,494.4117,27.0217,202.3859,340.794,372.2982,275.1315,1098.462,222.5259,1500.8387,1241.196,169.1302,75.847,249.495,88.1831,1308.2332,0.0,18492.8721,12440.6856,1176.2884,2217.8013,0.3389,0.0
FRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0521,0.0,0.0,0.0,0.0,0.0
