V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T,HKG_HFCE,HKG_NPISH,HKG_GGFC,HKG_GFCF,HKG_INVNT,HKG_DPABR
HKG_C20,0.2228,0.0128,0,0,0.2484,4.709,3.8785,1.0555,1.438,6.2473,91.7562,15.4863,0,13.6762,1.3294,1.8213,12.9363,9.3722,17.8847,3.8383,1.3505,0.9979,1.3009,20.6777,1.4907,103.7919,2.0304,3.7448,3.7759,0.1443,1.4834,3.862,4.6462,3.8024,1.0266,6.8331,4.6424,4.3947,2.9614,6.6748,17.2733,6.371,5.626,23.1188,0.0,811.8784,0.1458,0.6345,21.7857,70.4288,0.0
HKG_C21,0.0339,0.0045,0,0,0.0202,1.1571,0.3277,0.1105,0.1097,0.4387,4.0622,23.8555,0,0.626,0.1028,0.1157,1.0954,0.4113,1.3681,0.2356,0.1144,0.0564,0.2685,1.4125,0.5542,15.6637,0.4981,0.9369,1.1843,0.017,0.3502,1.0568,0.4324,1.225,0.3487,1.9264,0.8439,1.4114,0.319,2.4809,3.9635,8.7849,1.416,2.3741,0.0,451.3904,0.0251,0.355,10.6724,12.0615,0.0
HKG_C22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG_C23,0.0832,0.018,0,0,0.2794,8.9695,0.9809,0.1953,0.1663,3.3337,4.1174,2.0856,0,73.8912,4.4916,4.1912,13.8122,8.9587,13.6441,11.6034,3.8129,0.52,0.7707,4.4637,6.1102,30.1911,1.2173,0.9237,1.4373,0.1193,1.4624,1.2876,0.851,5.9543,0.4393,3.52,2.2414,1.4522,0.7792,9.6598,7.4245,0.6555,1.5636,4.298,0.0,234.8405,0.0489,0.7561,14.7176,24.5462,0.0
HKG_C24,0.0091,0.002,0,0,0.0905,0.5463,0.09,0.1148,0.0704,0.7047,1.8109,0.3377,0,5.1476,33.0471,30.244,16.6704,18.8081,90.6149,8.3501,2.057,1.1641,0.3976,4.9488,0.6869,414.3121,0.3046,0.5472,0.3325,0.0427,0.1601,0.1594,0.3458,0.6346,0.3244,1.4878,1.491,1.21,0.3957,0.652,0.9385,0.105,0.4811,1.6775,0.0,9.7311,0.0754,0.0653,26.384,82.5216,0.0
HKG_C25,0.0337,0.008,0,0,0.158,2.3292,0.4338,0.2862,0.1877,1.057,2.2287,0.7081,0,4.0349,4.2831,13.1821,15.0302,11.5039,60.646,10.0281,3.8052,0.8436,0.9619,3.9707,3.2661,529.3591,1.6089,2.7515,3.7905,0.08,0.578,1.3516,0.8448,2.9708,0.8306,4.1605,4.7248,2.1492,1.3807,2.5271,2.3103,0.7843,1.4899,2.6632,0.0,183.2402,0.0936,0.5495,152.5236,13.6067,0.0
HKG_C26,0.0548,0.0126,0,0,0.0337,3.667,0.8124,0.2781,0.3654,0.3652,1.0552,0.4466,0,0.5361,0.2163,0.4163,57.3701,7.2062,17.2181,2.8649,1.2568,0.2037,2.9911,4.7391,3.5249,659.994,3.2888,5.2083,8.0763,0.067,5.0485,3.6584,5.0755,76.226,5.3607,12.6178,5.828,6.4382,2.177,4.9853,5.4211,2.2454,4.0113,11.0287,0.0,855.422,0.0696,0.5659,300.4417,489.5099,0.0
HKG_C27,0.0363,0.0082,0,0,0.0339,2.281,0.465,0.1667,0.2132,0.4878,1.0129,0.3689,0,1.0371,0.5083,0.834,31.4314,35.4937,45.8389,6.8417,2.2873,0.3288,4.4877,6.0059,2.8684,743.2185,2.0533,3.5606,5.1634,0.0457,3.828,2.0848,4.3311,54.6231,2.2772,5.482,5.9172,4.5976,2.1959,3.1202,3.4763,1.1503,3.4808,10.3678,0.0,545.9333,0.0628,0.6148,169.85,75.4866,0.0
HKG_C28,0.1129,0.0314,0,0,0.3075,6.1596,1.1812,0.4915,0.6043,0.9465,2.474,0.925,0,3.7277,1.8979,3.3681,7.7589,5.2219,91.7934,14.0691,5.4344,0.4444,3.6569,4.4524,7.457,134.9191,6.7747,14.2581,23.188,0.2157,2.316,4.8904,1.4681,11.5717,1.6452,13.237,7.7129,3.6949,2.2863,3.7861,2.7386,3.8682,2.473,3.8608,0.0,143.3642,0.1166,1.0466,607.3269,22.174,0.0
HKG_C29,0.1288,0.0132,0,0,0.4654,1.9885,0.7134,0.1475,0.1584,0.1824,0.5126,0.1846,0,0.834,0.4346,0.8446,1.8261,1.347,13.4663,90.215,5.2731,0.3562,0.46,8.9361,0.9373,151.7331,5.7122,5.4244,4.3924,0.0545,4.2389,1.1934,2.0899,6.3013,0.9008,5.0539,1.6087,2.1074,1.968,8.0083,0.7235,0.6812,3.8439,6.5341,0.0,764.9489,0.1252,0.5724,533.3186,11.2604,0.0
HKG_C30,0.0028,0.0009,0,0,0.0012,0.1539,0.0365,0.0143,0.0182,0.029,0.0723,0.0281,0,0.1583,0.0207,0.0445,0.282,0.1571,2.4478,30.3398,26.8097,0.0735,0.0705,2.0455,0.145,51.1569,1.2815,8.1967,6.4682,0.0077,0.949,0.2129,1.4318,1.2142,0.2253,1.7482,0.4339,0.9035,0.5473,6.7934,0.1501,0.1223,2.492,2.8071,0.0,141.7508,0.0044,0.0847,493.8572,3.5048,0.0
HKG_C31T33,0.269,0.1016,0,0,0.0594,15.3033,1.9172,1.0992,1.6239,0.1411,0.9136,0.3278,0,0.6445,0.4411,0.5446,1.0678,0.6291,4.1249,1.1334,0.6553,0.2362,13.0926,11.0062,22.236,96.3033,27.0276,49.4262,87.562,0.4931,5.0014,12.6716,2.7884,26.8025,4.431,24.1807,18.1531,8.3181,8.1315,11.0647,5.5502,9.1523,7.5058,8.6461,0.0,97.2539,0.1431,0.7066,21.9216,3.4492,0.0
HKG_D,1.4176,0.306,0,0,7.5579,115.1596,25.8263,10.7402,13.367,1.4247,3.3638,0.7217,0,1.8114,0.9761,0.55,1.0527,0.6651,4.6523,0.5808,0.2587,0.2124,289.0942,135.8884,56.1813,497.9077,134.7371,54.2427,81.6992,5.1969,23.0187,672.7593,58.9801,188.2406,23.9371,315.433,823.4007,56.4336,22.8339,146.411,138.0866,154.8483,101.5999,148.3086,0.0,2616.7508,18.6962,4.6078,55.5024,14.615,0.0
HKG_E,0.9284,0.1735,0,0,0.2256,62.2503,15.0085,7.9018,11.122,0.4605,2.6666,0.7397,0,1.5284,0.9676,0.5788,1.5664,0.9037,4.1848,1.2143,0.5532,0.1953,63.7482,485.9398,69.0827,1068.4823,70.8108,68.3736,64.6215,2.1723,61.7208,221.1917,28.0176,181.9572,33.9954,268.6507,821.211,83.8395,49.2414,103.3141,71.7312,71.5185,52.3465,121.8832,0.0,1957.1151,325.471,9.225,142.7523,6.3573,0.0
HKG_F,1.1951,0.2,0,0,0.9739,21.3354,3.9698,1.3142,1.4956,0.4951,1.1702,0.4896,0,5.1709,0.6368,0.8126,2.6108,1.591,5.3734,1.9352,0.8035,0.3254,10.4584,15.6269,7277.4937,155.575,40.8267,35.0247,108.4596,0.7909,9.0926,36.0106,6.2413,44.3789,6.2543,44.3127,246.869,17.0329,6.9692,428.3899,35.0127,29.8575,10.5731,19.753,0.0,122.4527,2.4635,4.2371,18288.4037,13.0465,0.0
HKG_G,197.1557,23.3191,0,0,438.3517,6592.1254,1626.5118,335.0733,472.3859,253.3339,844.301,385.1026,0,494.5594,261.0024,265.5694,1334.9475,541.2004,2199.0502,942.4351,501.8748,270.6824,1859.2315,1226.4723,4152.4266,29067.8998,2380.0605,3625.7506,5524.2202,54.2245,507.5817,5405.5141,751.6867,2686.6063,524.5657,2900.4216,1407.6291,1051.6981,692.2494,852.5247,1136.1135,2017.4127,845.3495,1269.3861,0.0,39814.5121,29.8018,128.197,21411.5395,6678.4444,0.0
HKG_H49,0.8805,0.1338,0,0,2.0797,68.6633,25.7063,6.6881,6.4954,1.9818,5.2287,1.3424,0,3.9284,2.2757,2.5631,7.366,3.8482,11.8138,4.9362,1.8805,1.0645,8.7526,37.3938,68.2278,855.1439,1046.263,421.7206,47.34,4.6284,69.1866,87.2369,14.8716,89.2271,42.4827,377.6978,78.3805,88.0989,49.5081,24.644,27.4797,33.336,17.8689,78.9978,0.0,7531.6835,0.5806,4.9006,171.5045,70.6469,0.0
HKG_H50,0.5846,0.1725,0,0,1.069,65.6514,24.12,7.1251,7.8913,2.8652,7.2607,2.2756,0,3.4209,7.1619,11.86,22.3281,20.1611,34.2744,8.4914,3.3743,1.2633,7.9809,26.5251,59.197,2367.6513,63.6719,2675.8475,1408.0135,15.1498,539.8218,54.8593,11.5121,716.7627,33.794,330.8707,44.6766,81.2495,59.7223,25.4426,24.3086,25.1192,19.5428,84.3914,0.0,2267.7487,2.0035,2.6495,142.6505,261.7571,0.0
