V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T,MMR_HFCE,MMR_NPISH,MMR_GGFC,MMR_GFCF,MMR_INVNT,MMR_DPABR
MMR_C21,11.8489,0.8159,4.8176,1.5665,0.0324,1.4002,1.9979,0.4396,1.0522,1.0213,4.0878,56.5929,2.43,0.8629,0.738,0.5248,1.0187,0.6345,0.8295,0.6044,0.1414,1.944,0.197,0.1311,2.5438,5.07,0.6922,0.3762,0.3547,0.3522,0.0713,0.3066,0.3941,0.6869,0.1599,0.5424,0.6219,6.6445,0.6803,5.4067,2.2521,162.2211,0.5777,1.5092,0,165.7488,0.2452,263.249,22.4756,-3.7108,0.0
MMR_C22,15.8108,2.3234,41.4694,12.884,0.2703,12.2723,25.5704,5.6909,19.8082,4.4261,12.2813,8.4105,78.7999,14.9442,4.0921,14.1202,38.3178,28.0793,22.8691,72.4973,7.8685,44.4514,1.5294,2.1838,172.292,99.2658,38.9705,1.8578,2.8739,8.4626,1.0135,1.2392,3.6957,6.5387,1.8328,5.0838,15.6867,13.1199,7.9081,9.6926,3.7623,9.8929,1.1891,6.8515,0,108.1434,0.016,5.2081,67.6226,-10.0756,0.0
MMR_C23,9.4047,1.0908,20.1841,21.0455,0.477,6.3458,3.5994,4.8245,1.4881,1.4703,5.03,2.974,6.1165,188.5453,11.735,11.4208,11.6752,10.5669,6.3763,20.8489,2.7656,11.515,2.5994,1.2397,818.3699,21.9739,3.4248,0.9946,0.6787,2.3735,0.0919,0.972,0.5805,3.1224,0.3592,1.2087,44.9408,8.7313,2.7621,4.781,2.9772,4.3701,0.7128,2.8069,0,131.3586,0.0231,4.7409,112.8965,-6.4001,0.0
MMR_C24,1.8779,0.147,80.4488,10.8038,0.4607,0.5535,1.284,1.4822,2.1421,1.2266,2.7736,0.548,5.1985,13.0525,315.8573,230.1661,39.4738,103.7729,91.2413,88.6231,19.7148,52.2052,1.5813,2.1658,186.8777,11.6429,2.3619,0.7284,0.3518,1.6066,0.0202,0.0761,0.2987,1.0765,0.2187,0.6137,4.2952,5.0922,1.077,1.2284,0.4802,0.5351,0.1887,1.6445,0,2.6814,0.0068,0.7438,148.7285,-12.8641,0.0
MMR_C25,8.9356,1.5358,103.1221,15.9612,0.6857,4.2251,6.1696,5.699,2.7792,3.249,3.9072,1.3332,6.0614,10.2402,20.4302,83.5454,19.8279,22.2721,52.787,54.9769,13.3487,36.2693,2.625,1.1788,204.0168,25.8812,5.9412,1.98,1.4286,5.3296,0.2095,0.5653,0.9532,5.8139,0.9975,1.6336,11.1938,10.0486,4.4366,12.7829,2.5928,2.2465,0.9774,5.4419,0,84.9421,0.1286,10.3567,463.3395,-93.8396,0.0
MMR_C26,3.5837,0.9522,7.2122,1.5451,0.0577,1.1657,1.6965,0.3282,1.2689,0.7422,0.6962,0.4704,0.8137,0.8179,0.7262,2.0033,147.3561,11.1935,6.6559,7.0931,2.3261,6.9396,1.335,0.3082,13.0045,14.5487,2.1242,0.8325,1.3581,1.8653,0.3446,0.4076,3.168,43.7181,6.3013,3.765,1.6676,10.3814,3.1512,6.5258,2.9037,9.5827,0.7996,7.261,0,161.4855,0.2295,19.1597,926.134,-297.501,0.0
MMR_C27,2.3593,0.5967,8.6899,2.5914,0.0927,0.6825,1.1809,0.3671,0.7358,0.512,0.5635,0.289,1.1205,1.4126,2.4269,3.7268,40.9474,55.2106,15.4999,19.2702,3.3174,11.6591,6.7202,0.4243,68.679,18.2641,3.4696,0.9576,0.7353,1.6723,0.1253,0.3263,1.3682,16.1044,1.4684,1.1554,4.4596,5.9826,2.3943,3.9079,1.1977,1.7275,0.6974,4.2745,0,109.6985,0.0755,2.473,447.3544,-73.7842,0.0
MMR_C28,8.6428,1.2921,69.2628,18.1436,0.5533,1.2414,2.5406,1.2962,2.5345,2.9235,1.585,0.6444,1.9817,4.7923,3.6145,7.6296,8.2789,8.2759,54.5751,20.7525,5.1665,16.1287,3.8137,0.8058,43.3876,16.9861,5.9162,2.0315,1.8591,3.0448,0.188,0.2879,0.8972,4.1302,0.7664,1.7068,2.9544,5.6615,3.2188,4.4451,1.0797,1.7755,0.5119,2.1827,0,41.2696,0.0731,3.2276,1045.0752,-456.1213,0.0
MMR_C29,2.6997,0.5923,8.5589,2.9448,0.0666,0.7379,1.4573,0.3509,0.5039,0.4412,0.4534,0.2316,1.1743,1.3006,4.371,3.4585,3.1897,3.3562,5.9757,196.6523,1.6324,5.617,0.4179,0.3763,8.8415,82.3631,19.3132,0.6025,0.5961,3.017,0.2853,0.2004,0.373,1.5352,0.3015,0.9362,0.9536,2.3412,2.5195,2.834,0.7605,0.8683,0.2592,1.3758,0,309.3035,0.1155,4.7307,1215.2061,-286.4538,0.0
MMR_C30,0.1605,0.506,0.4458,0.1823,0.0038,0.04,0.053,0.0247,0.0263,0.0281,0.0222,0.0126,0.0477,0.0443,0.0577,0.2149,0.3814,0.1948,0.3955,1.7365,26.3265,3.8332,0.0389,0.0131,0.6696,1.7593,4.5496,4.2888,7.6468,0.7229,0.0198,0.0107,0.0195,0.0791,0.0149,0.0531,0.0533,0.1884,0.2862,5.4695,0.0537,0.0863,0.028,0.3143,0,27.0048,0.0016,5.21,325.5866,-128.3219,0.0
MMR_C31T33,14.9395,4.0069,64.6439,17.4152,0.4794,3.1696,23.3308,6.9769,5.8976,5.3697,3.5659,2.9691,3.5588,6.942,6.3544,7.5373,12.9946,5.5482,9.994,11.185,3.9017,83.9298,7.88,1.98,69.5232,40.2243,20.7154,8.9422,13.9891,9.4155,1.0683,1.7561,5.305,15.3944,4.5059,22.1616,16.2014,24.1243,13.1835,32.3146,22.5702,68.1509,7.3688,10.8908,0,393.8157,0.2787,59.9163,741.458,-61.5628,0.0
MMR_D,20.1511,1.891,76.8594,39.0538,0.4051,3.3007,9.839,4.9854,11.1569,16.8088,9.6582,2.238,6.2939,19.8191,21.1666,7.3846,6.3987,4.0753,5.883,7.4197,1.6823,6.281,108.3441,4.3853,12.2564,50.5738,18.5828,1.6485,1.2169,9.9226,0.918,3.4735,4.1811,27.0134,2.1974,13.5944,39.5682,11.5714,7.015,35.9604,18.5558,17.5978,5.7389,7.5451,0,160.8677,0.1503,41.9957,11.4031,-0.312,0.0
MMR_E,1.9636,0.248,6.1367,1.8639,0.0464,0.4753,0.9961,0.3084,1.5281,0.8315,0.6715,0.2493,0.5019,1.3483,6.7806,1.2419,0.4295,0.2973,0.4258,0.4403,0.1435,0.5279,1.5833,3.934,2.5686,5.8435,1.3,0.3427,0.1539,1.0486,0.1157,0.5869,0.2986,0.9863,0.154,1.6745,6.3157,1.4468,1.0291,8.585,3.7869,3.3259,0.6696,1.1371,0,33.6018,0.4314,61.5866,4.3056,-0.0828,0.0
MMR_F,10.2583,1.7907,27.7884,10.1101,0.3357,2.0721,3.013,1.4824,1.4981,2.5829,1.2242,0.652,1.0827,5.2906,2.0646,2.7804,2.0524,1.5238,2.277,2.2441,0.7153,4.6715,8.4798,2.8834,316.1556,28.5071,11.0313,2.2439,2.4281,11.2392,0.7156,1.3401,2.0468,13.8364,1.2804,10.2182,153.3313,15.3304,4.6059,57.1317,11.9817,7.7965,2.4486,3.3409,0,71.2299,0.4717,50.2906,6614.9059,-2.8056,0.0
MMR_G,1195.9519,319.1701,156.9505,91.9375,2.099,433.2052,478.7312,50.2377,70.0528,72.5807,76.5593,50.6387,54.8546,69.6964,65.0655,48.8547,108.5454,44.7393,80.2484,116.9326,15.2973,112.3882,26.9049,9.4188,242.8175,1173.1392,317.1626,58.4242,59.0273,53.7217,10.4325,128.3972,58.2555,150.1682,26.0202,59.957,57.7075,101.8747,92.6145,154.4628,63.863,105.6302,25.5264,45.6994,0,2136.9485,1.9722,121.0104,1552.5857,-13.1793,0.0
MMR_H49,358.0917,88.9555,132.7505,86.5826,1.308,123.0495,63.8299,18.098,19.4458,45.5277,23.4218,7.4844,14.3594,43.1121,29.0799,16.6595,15.1706,11.0451,13.2142,23.9434,3.7495,24.7597,13.9396,2.8844,108.4183,278.5383,225.496,15.6596,14.9387,59.4942,11.4313,29.2827,10.5397,16.0133,3.8239,24.8611,13.944,29.4815,21.1661,48.9456,30.0792,25.1694,5.8431,15.0496,0,821.2937,0.5002,172.5309,161.3465,-0.4036,0.0
MMR_H50,30.8179,6.5211,118.3756,11.4006,0.2413,9.2127,23.4799,3.0561,4.6374,26.6173,6.4,1.8295,4.2999,7.8596,9.1317,6.4193,5.8196,4.8251,6.0084,7.7325,1.7143,6.3981,1.8751,0.413,19.8493,75.6885,22.8352,233.2867,6.6072,45.9568,1.0286,3.3058,1.6637,3.4112,0.9055,2.8269,2.4101,5.7346,4.5221,10.3438,2.5216,5.591,0.9272,2.0965,0,238.2419,0.1417,29.7877,80.7981,15.7609,0.0
MMR_H51,26.0632,4.9817,42.7418,6.1142,0.2167,7.7632,21.3706,1.4046,3.4818,6.6759,4.5363,2.2882,3.9628,4.3599,4.8054,4.9496,6.8237,4.545,4.6426,5.9257,1.5616,6.8714,1.9694,0.4718,20.8624,30.9718,11.6073,4.8906,45.9007,17.2903,3.4328,3.1244,3.4743,5.9989,3.7391,15.1783,5.3978,17.0614,19.2344,24.764,7.6427,6.9084,2.0362,3.7053,0,373.8392,0.221,17.0473,63.1694,15.7829,0.0
MMR_H52,59.2466,15.9694,25.5874,13.6001,0.2447,20.9933,12.1113,2.9143,3.8626,9.0092,4.3066,1.6974,2.5919,7.6436,5.5476,4.1255,3.7622,2.4745,2.768,6.9051,1.0346,4.731,2.0457,0.6052,14.1683,106.0527,67.2144,47.8698,58.2303,68.2324,2.8978,4.9456,2.0375,4.7633,1.0752,2.6394,2.7173,6.2881,4.7254,10.2952,2.6754,3.7714,1.0296,2.273,0,99.2458,0.1485,89.512,27.3219,0.3499,0.0
MMR_H53,1.0848,0.1535,4.0197,0.8512,0.0273,0.2678,0.9322,0.1964,0.7038,0.3928,0.3721,0.2642,0.2855,0.4582,0.2415,0.5053,0.857,0.4014,0.5446,0.4227,0.1556,0.8848,1.1316,0.2264,2.1539,24.7767,2.6383,0.5262,0.8294,3.2841,11.7864,0.2889,4.1503,12.135,1.5379,22.8371,2.9305,7.7134,4.0648,12.7356,2.8631,2.3969,0.959,2.2996,0,37.6405,0.0445,6.984,2.7071,-0.0068,0.0
MMR_I,6.1138,1.5329,35.6817,6.6423,0.307,2.4177,6.7078,1.5108,2.8044,3.9719,2.4768,2.9383,2.5207,3.6956,2.9458,4.0018,6.4545,3.2312,4.3539,4.2146,1.3343,6.1192,4.6735,1.603,26.2203,87.7876,23.5661,7.4197,31.163,16.9851,1.8403,4.9739,10.98,27.0302,9.7606,73.4458,15.3066,55.0122,37.2752,83.0729,40.1346,46.8472,10.6734,16.406,0,2641.9002,4.6911,174.0949,15.5472,-0.0088,0.0
MMR_J58T60,1.3306,0.308,3.7475,1.1763,0.0411,0.9276,1.6488,0.3225,3.1192,0.5502,0.6635,0.821,0.4504,0.6497,0.4161,0.6417,2.0679,0.7473,0.8538,0.6768,0.2646,1.3912,0.8051,0.2248,2.7778,28.1223,2.0359,0.6925,1.2364,1.509,0.4634,0.633,77.7095,31.5787,5.8786,17.1337,3.7381,39.4833,5.7633,13.9992,16.1255,3.8378,4.889,4.0888,0,168.8354,2.9339,115.9416,190.2136,-0.1602,0.0
MMR_J61,6.201,1.6878,39.6539,6.3548,0.2414,1.8623,6.1617,1.3971,3.1499,2.0523,1.7393,1.3906,1.6875,3.2211,1.8264,4.2273,7.8756,2.7897,4.2305,4.019,0.8892,6.4286,4.2343,1.0626,23.3106,106.5379,19.63,5.6265,4.5518,11.4522,3.2262,2.4007,25.1186,741.3082,18.7702,115.2241,26.5952,46.5251,25.8031,81.1282,19.6269,21.9783,6.1029,13.8106,0,1276.3314,0.7845,102.9079,79.7826,-3.1205,0.0
MMR_J62_63,1.125,0.2632,3.668,0.8165,0.0214,0.4797,0.8811,0.1936,0.5694,0.6266,0.3166,0.4078,0.2816,0.5046,0.2872,0.4227,1.467,0.5359,0.6913,0.9018,0.1782,0.8581,1.022,0.2078,3.0375,11.1029,2.0867,0.6607,1.2841,1.5548,0.4768,0.231,3.4342,14.8716,13.4726,17.5457,2.5601,8.4471,3.1204,9.1599,2.4849,2.3928,0.7342,1.3897,0,16.6804,0.1167,6.206,152.2289,-0.3898,0.0
MMR_K,29.5221,4.0593,166.0735,24.4318,0.8163,3.5692,15.6572,4.1801,8.3724,11.1257,5.567,3.5671,5.0345,11.2819,7.7259,9.5655,11.6907,7.0526,9.495,10.6594,3.2781,12.5765,16.5878,3.0228,60.1534,166.8922,47.309,15.6042,18.7928,23.6548,2.7008,3.2515,11.0217,47.602,9.2532,615.4512,447.1649,66.8096,33.9383,78.413,15.0681,17.7662,6.6787,12.5784,0,720.594,3.8531,213.9915,30.7181,-0.02,0.0
MMR_L,2.6976,0.5343,21.6872,5.0907,0.1406,1.5513,8.9748,1.4517,3.5382,1.5947,1.2385,1.2467,2.1559,3.3027,1.6499,4.6369,5.0889,2.1832,3.178,3.5893,1.5525,8.0579,4.1665,1.0581,27.0222,207.3558,16.0623,4.6522,4.6623,20.2264,2.9959,6.9648,12.1786,56.9542,11.4142,73.1112,100.6393,52.9342,25.3739,45.7158,26.032,22.9747,9.5709,19.9689,0,2083.7435,4.0443,68.5953,352.0166,-0.2308,0.0
MMR_M,4.85,0.807,25.9868,5.182,0.2947,2.6043,4.4629,0.7368,1.7534,2.1025,1.7115,2.9557,1.3509,2.3093,1.4703,2.1978,5.4976,2.1981,2.5299,4.052,0.9675,3.4377,2.8975,0.7354,24.4759,53.1364,4.8796,2.4898,2.5764,4.5133,0.555,0.9906,8.1757,23.2908,6.212,31.0804,15.1605,46.2671,9.8013,16.9923,5.4162,6.4711,2.9077,3.8105,0,20.8986,0.5131,26.311,301.123,-2.3305,0.0
MMR_N,6.1981,0.9199,63.2872,9.8729,0.5489,2.5386,6.5032,1.542,3.8467,3.3517,2.2826,2.7668,3.11,4.3227,2.4904,5.5221,8.0103,3.8209,5.4674,7.8055,1.6009,7.4251,4.443,1.3066,35.8338,66.129,20.0102,10.8722,12.1098,16.4627,2.4824,2.0248,10.094,43.0677,10.308,40.1073,19.1354,34.6928,46.456,23.7414,11.3141,15.4956,3.7434,7.0661,0,41.1642,0.6361,31.4229,41.9117,-0.348,0.0
MMR_O,2.8805,0.4749,4.2494,2.2999,0.0369,0.8401,1.0209,0.52,0.705,0.7581,0.4595,0.3202,0.3536,0.802,3.392,0.7615,0.5607,0.3427,0.5029,0.7587,0.1922,0.7819,1.1294,0.7363,4.6314,9.3749,3.3466,1.176,1.2761,2.2996,0.2176,0.4223,1.0405,3.4258,0.911,5.4655,5.1385,3.7429,1.9515,11.2435,2.1806,2.4432,0.738,1.1083,0,57.2984,2.8301,4194.5818,44.4174,-0.1818,0.0
MMR_P,0.6903,0.1454,2.4319,0.4242,0.0129,0.2296,0.3468,0.1124,0.1588,0.2143,0.1257,0.2304,0.1119,0.1983,0.208,0.1881,0.4471,0.2133,0.2225,0.2587,0.0817,0.2768,0.3138,0.0775,1.0736,2.9701,0.9188,0.2165,0.6215,0.6625,0.0941,0.1035,0.6124,2.6873,0.8611,3.8248,0.9369,3.1334,1.3755,6.6299,10.9315,1.4746,0.3377,0.8674,0,181.3716,12.6634,2087.7159,33.113,-0.0526,0.0
MMR_Q,1.5577,0.4369,1.6071,0.2915,0.0142,0.5379,0.7452,0.0876,0.1626,0.1929,0.1314,0.2653,0.1247,0.2304,0.1097,0.2293,0.3199,0.1528,0.1744,0.1971,0.0701,0.3575,0.1758,0.06,1.1012,2.7494,0.7918,0.2379,0.2341,0.3413,0.0646,0.2397,0.2575,0.807,0.4152,2.274,0.5844,1.1444,0.7545,5.1477,2.0076,58.3337,0.3318,0.5835,0,284.5942,18.2685,2990.4185,6.8983,-0.0613,0.0
MMR_R,0.713,0.1426,0.9445,0.2162,0.0056,0.2684,0.3128,0.1008,0.13,0.1105,0.0688,0.0699,0.0743,0.123,0.0619,0.1134,0.1599,0.0778,0.1076,0.1228,0.0402,0.2313,0.1183,0.0623,0.797,2.6324,0.4653,0.2642,0.2003,0.3872,0.0557,0.3223,8.1038,2.2798,0.4031,2.0573,1.2257,2.4626,1.3994,4.232,2.338,0.6703,13.1328,2.5953,0,155.7919,22.0709,263.1171,13.1413,-0.0139,0.0
MMR_S,3.5471,0.7843,5.5781,2.4854,0.0796,1.0666,2.3263,0.6413,0.8763,1.0486,0.5422,0.4722,0.5914,1.2752,0.8716,0.953,1.6102,0.6613,0.8776,1.0356,0.2511,1.7755,1.0332,0.4675,5.1441,22.1752,6.0591,1.4718,1.5012,2.6746,0.4691,1.9499,3.7035,6.4719,2.897,15.8928,5.516,12.6414,6.9187,12.349,6.7097,21.3611,3.2155,21.6185,0,583.9747,98.5741,170.0184,69.8106,-0.3871,0.0
MMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
