V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T,CYP_HFCE,CYP_NPISH,CYP_GGFC,CYP_GFCF,CYP_INVNT,CYP_DPABR
CYP_C23,0.5444,0.0116,0.002,0.0095,0.0001,7.3039,0.004,0.7324,0.0272,0.0103,0.1162,2.2015,0.6969,86.156,0.1467,10.8168,3.9734,0.0827,0.5821,0.1005,0.0373,5.1778,1.1666,0.4199,208.4764,3.0279,0.0072,0.0021,0.0367,4.545,0.0135,6.8098,0.0213,0.0184,15.1009,2.0157,4.5083,1.0012,0.2746,4.5139,2.0719,3.1601,0.0822,0.965,0.0,23.5052,0.0071,0.4075,3.0939,-0.7296,0.0
CYP_C24,0.0001,0.0,0.0064,0.0224,0.0003,0.1349,0.01,0.1452,0.1065,0.0,0.0,0.2129,0.0879,0.6216,4.0012,19.1951,0.9216,0.5599,1.0292,0.2194,0.0448,3.5557,0.4561,0.0939,10.1146,0.3612,0.0,0.0,0.0,1.3503,0.0004,0.0644,0.0024,0.0571,0.0,0.091,0.3851,0.0128,0.0,0.3862,0.0,0.0,0.0,0.0,0.0,0.5225,0.0,0.0,0.3514,-0.5406,0.0
CYP_C25,6.4177,0.9067,0.0453,0.2311,0.0029,4.3309,0.2816,3.8931,0.3634,0.7773,0.34,0.2033,0.2342,5.2205,2.9355,13.786,2.6581,2.1511,1.9631,0.5003,0.1042,9.7992,1.6647,0.7671,142.9828,7.1074,0.8276,0.3328,0.1201,4.626,0.0524,3.8735,0.6292,0.6965,0.1759,3.2409,10.9451,1.7603,2.1369,3.4399,2.0977,3.1295,2.5948,0.8837,0.0,34.3776,0.0109,61.0475,38.2352,-19.9791,0.0
CYP_C26,0.0154,0.0,0.0064,0.0245,0.0005,0.1578,0.0,0.0001,0.0137,0.0,0.0,1.9343,0.0,0.0001,0.0,0.1651,2.146,0.8034,0.0809,0.0177,0.0,1.1194,0.5252,0.0208,1.1906,1.6722,0.0001,0.2919,0.0023,7.7991,0.0138,0.0598,0.799,1.5481,1.8364,1.2328,0.1688,0.856,0.6577,0.4656,0.4529,1.836,0.2173,0.5815,0.0,42.5024,0.0,0.0003,23.6313,-52.5998,0.0
CYP_C27,0.0759,0.0645,0.0052,0.0258,0.0002,0.1622,0.1146,0.1157,0.1292,0.0601,0.3127,0.2871,0.3342,0.4231,0.0849,0.7288,0.0275,1.0742,0.2269,0.0578,0.0173,0.6477,0.2128,0.0388,5.1721,1.7107,0.4519,0.1039,0.0089,0.6621,0.0074,1.2962,0.5239,0.1145,1.1236,0.218,4.6378,0.3762,0.2397,0.554,0.1372,0.4534,0.2588,0.1476,0.0,17.1833,0.0,0.5836,9.6474,-21.1119,0.0
CYP_C28,0.2198,0.066,0.0736,0.3037,0.0029,0.8424,0.0371,0.1011,0.1496,0.1391,0.0631,0.0753,0.0941,0.4007,0.0737,0.3063,0.012,0.0222,0.9591,0.0074,0.0881,2.1515,0.1154,0.3235,2.3798,2.5145,1.131,0.1197,0.1911,3.4584,0.0566,0.7498,0.2775,0.332,0.1921,0.8456,0.2376,0.7119,1.1894,0.5237,0.6408,0.3471,0.4586,0.0909,0.0,13.5212,0.0359,0.4003,59.4544,-59.429,0.0
CYP_C29,0.0051,0.0019,0.0029,0.0163,0.0002,0.0089,0.0039,0.0026,0.0023,0.0008,0.0028,0.0022,0.0042,0.0096,0.0014,0.0091,0.0006,0.0107,0.0025,0.0256,0.0003,0.0192,0.0034,0.0426,0.0837,3.0239,0.0097,0.0028,0.1291,0.0626,0.0088,0.0124,0.0083,0.0031,0.008,0.3343,0.0531,0.0117,0.0177,0.0263,0.0087,0.0501,0.0141,0.0073,0.0,33.9246,0.0,0.0118,5.0192,-32.9854,0.0
CYP_C30,0.0,0.0,0.0001,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0136,0.0,0.0102,0.0,0.0186,0.0,0.178,0.1281,0.0429,0.0,0.0098,0.0,0.0,0.0,1.4253,0.0,0.0004,0.0001,0.036,0.0,0.0001,0.0,0.0021,0.0,1.243,0.0,0.7422,6.2276,-5.6396,0.0
CYP_C31T33,1.6165,0.0386,0.8252,3.3373,0.0329,5.3402,0.184,1.9612,1.3364,1.4219,0.5035,1.4208,1.0909,3.181,0.534,0.953,0.0262,0.1505,0.2311,0.0525,0.0143,3.1959,3.468,4.0732,6.9882,11.6784,0.483,0.0497,0.0719,8.4923,0.687,9.87,1.9726,7.7479,2.0582,1.8775,2.2618,2.4313,2.2341,2.4078,2.7297,8.7348,2.5003,0.5744,0.0,61.2,0.0281,0.5232,27.8265,-22.5959,0.0
CYP_D,15.693,0.6929,0.66,4.1951,0.0161,25.4382,0.3104,1.5872,2.5152,3.1735,1.5074,3.2029,4.9021,23.4524,2.539,2.1216,0.045,0.164,0.4037,0.0786,0.0206,1.2415,55.0883,22.6983,5.4987,76.4186,0.4179,0.0218,0.017,27.5501,1.084,62.2683,8.9166,10.6386,1.6632,21.6681,4.0452,13.8258,4.0394,36.231,5.5829,10.3226,5.8618,9.519,0.0,245.2295,0.0068,0.4289,0.135,0.0001,0.0
CYP_E,6.2669,0.0056,0.0705,0.2371,0.0024,4.4572,0.1238,0.3734,0.3304,0.0239,0.1966,0.2154,0.3349,0.8769,0.3924,1.2036,0.004,0.0194,0.1328,0.0365,0.0008,0.6123,1.7902,68.9313,8.4934,26.6538,0.2821,0.0522,0.0577,23.9047,0.3621,30.6918,1.5411,2.0005,2.7283,5.3711,21.0989,4.3655,2.1097,51.2213,3.4705,8.8655,1.2853,3.6408,0.0,67.6353,0.0001,3.5395,0.5306,0.0,0.0
CYP_F,3.7841,6.0508,1.1254,5.5191,0.0595,5.7626,0.2823,3.1423,0.5712,3.0464,0.332,2.5159,1.2609,0.9782,0.4359,1.1961,0.0113,0.0555,0.8087,0.0323,0.0487,1.0725,17.3835,13.7775,1258.0048,70.7989,0.761,0.0701,0.5347,139.7037,1.0088,52.0114,5.6335,6.4694,1.6211,72.4119,64.2563,19.3605,7.9888,56.0565,30.4201,26.6389,9.5693,9.4213,0.0,35.7236,0.0417,0.2357,1979.4981,-0.0256,0.0
CYP_G,57.0402,1.3636,1.3488,7.183,0.065,195.7714,7.8527,9.8035,9.8522,4.8592,4.8383,21.1808,8.3597,30.9873,3.7782,23.897,2.9726,3.4032,3.6237,0.9085,0.2866,16.1048,51.1982,6.6419,107.3334,124.9077,35.186,14.2776,8.596,81.2324,4.6993,162.5295,75.659,6.1553,26.2429,69.6932,23.0293,42.8347,39.546,29.9912,11.23,52.4351,14.0623,12.1279,0.0,1328.9738,0.0618,63.9706,320.2656,-0.2103,0.0
CYP_H49,5.1744,0.2094,0.873,4.1169,0.0224,18.7648,0.4608,1.0727,0.9928,1.0724,0.5313,1.8469,1.0049,4.1886,0.5023,2.9165,0.2973,0.3025,0.4594,0.1069,0.0262,1.8726,4.5862,1.1391,19.4066,52.1184,6.5164,1.2382,0.7308,5.6719,2.4653,15.2514,5.2687,0.4301,3.4365,9.2707,1.6364,5.3622,2.3621,2.5937,1.7384,4.2633,3.7914,1.0798,0.0,112.4544,0.0015,16.3148,19.3646,0.0,0.0
CYP_H50,0.4022,0.0099,0.0038,0.0225,0.0002,1.2038,0.0433,0.0907,0.096,0.0716,0.0387,0.2009,0.072,0.302,0.0565,0.3135,0.0372,0.0385,0.0391,0.0089,0.0034,0.155,0.5575,0.0307,1.0847,0.4818,66.4723,599.3244,0.5399,0.2009,3.0098,0.9207,0.8884,45.8548,0.1167,0.5824,0.1322,0.1483,1.8247,1.6711,0.0663,0.4883,2.4045,0.0597,0.0,25.6854,0.0011,0.5774,3.1524,1.9715,0.0
CYP_H51,0.0006,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8364,0.0072,11.0001,0.0
CYP_H52,0.2981,0.0035,0.001,0.0054,0.0,1.7058,0.0518,0.1234,0.1061,0.0614,0.0432,0.2049,0.0741,0.1559,0.0586,0.3313,0.037,0.0368,0.035,0.0083,0.002,0.1621,0.2071,0.0268,1.5013,0.3268,0.0318,0.0019,0.005,0.0817,0.0156,0.8999,0.4731,0.0246,0.1897,0.3767,0.1722,0.1716,0.0499,0.1038,0.0398,0.1723,0.0964,0.0703,0.0,1.3654,0.0008,2.3461,3.0955,8.1816,0.0
CYP_H53,0.0076,0.001,0.0024,0.0096,0.0001,0.0763,0.0038,0.0112,0.0153,0.0001,0.0197,0.0372,0.023,0.0262,0.0059,0.0671,0.0002,0.0044,0.0046,0.0011,0.0002,0.0259,0.0239,0.0134,0.1163,0.8745,0.0298,0.0008,0.0007,1.0375,0.335,0.1092,0.0891,0.0807,0.152,1.6917,0.1219,1.4221,0.1652,0.3522,0.325,0.2869,0.119,0.0778,0.0,4.6018,0.0,0.0,0.0222,0.1849,0.0
CYP_I,0.2254,0.0,0.1502,0.3651,0.0088,3.1131,0.1589,0.2412,1.194,0.8996,0.3233,0.2667,0.2015,1.3533,0.0921,1.5927,0.0215,0.2347,0.7157,0.0299,0.0088,2.378,0.5511,0.6082,7.1557,46.4222,0.7959,0.2234,0.2448,12.2202,0.6263,7.5641,4.3359,1.3589,10.1757,18.1,4.1619,37.929,11.2824,11.4823,7.9795,5.6956,14.3477,5.2997,0.0,2194.9128,0.0,0.991,0.0,0.0,0.0
CYP_J58T60,0.0021,0.0012,0.2298,0.683,0.0077,3.2297,0.5254,0.9107,1.0566,0.0014,0.4611,0.7223,0.5995,1.2739,0.4555,2.1829,0.0012,0.0548,0.6947,0.3496,0.0198,3.6607,1.2235,1.5521,4.4154,8.1368,2.5816,0.3219,0.08,14.3042,1.8883,2.4571,268.7481,3.4007,54.3078,16.8663,18.8775,36.7776,15.5803,9.4218,5.1257,5.2425,4.774,2.7652,0.0,77.8667,1.5824,12.5182,132.0796,-0.0001,0.0
CYP_J61,0.1274,0.0293,0.1061,0.274,0.004,1.8227,0.1623,0.4062,0.4434,0.0381,0.1431,0.2601,0.1766,0.752,0.041,0.8745,0.0032,0.0874,0.2012,0.0833,0.023,0.8836,4.3498,0.7945,3.8442,27.2432,1.0929,0.1508,0.058,32.2404,1.2202,7.8707,27.3219,139.3396,31.24,26.897,2.5782,31.9693,6.7708,9.5988,3.2323,8.2052,19.6887,3.5088,0.0,190.0382,0.029,0.1966,7.1549,0.0721,0.0
CYP_J62_63,0.047,0.0,0.0097,0.0339,0.0004,0.1058,0.0173,0.0299,0.0628,0.018,0.0125,0.0224,0.0214,0.0583,0.0169,0.7632,0.0004,0.0015,0.0345,0.011,0.0005,0.7864,0.1577,0.3317,0.2075,18.2478,0.116,0.0434,0.0023,1.4052,0.2375,0.4772,10.8577,0.4277,27.6842,3.3079,0.9004,12.7246,1.4047,3.9616,0.4913,0.3936,1.1213,1.5883,0.0,11.0761,0.4613,3.1723,11.8172,-0.2649,0.0
CYP_K,1.9429,0.1945,0.1245,0.4322,0.0046,2.8614,0.1235,0.3927,0.4137,0.5159,0.1831,0.6734,0.3052,0.9809,0.1427,1.0355,0.0631,0.1349,0.1871,0.0357,0.0102,0.8096,3.6909,0.6314,5.0819,15.9533,2.3717,3.1445,0.3516,17.3995,0.2333,4.0777,0.9614,0.6269,0.7762,68.1088,4.4692,4.5764,3.6466,1.3692,0.7793,2.3371,0.8886,0.873,0.0,131.352,0.1221,5.4965,6.2213,10.5173,0.0
CYP_L,0.0712,0.0,0.2019,0.6176,0.0071,7.9984,0.5697,0.8298,1.3317,1.2664,0.6493,2.9069,0.5512,1.1451,0.1714,1.8297,0.0209,0.1803,1.0393,0.1132,0.014,3.4988,1.5645,1.0928,15.2253,172.3722,2.767,0.0542,0.0869,52.4242,2.5501,74.6472,9.2857,6.1724,5.6801,48.8575,55.5153,54.8223,14.278,27.9454,10.5931,12.7058,10.4396,12.0949,0.0,1484.2492,0.4956,0.6239,414.6257,0.0,0.0
CYP_M,1.3961,0.0177,1.35,3.8741,0.0696,6.3888,0.4607,1.2174,1.3257,2.7948,0.7854,1.1292,0.7725,1.7242,2.0036,3.75,0.0186,0.2001,0.7196,0.225,0.1039,2.8249,2.6934,4.5799,38.5564,54.1435,3.2769,167.3013,1.0433,79.0409,0.6665,25.5599,16.4327,3.1046,8.0059,989.6244,9.5669,215.0661,14.5519,16.9167,10.7912,13.9509,6.5812,9.2414,0.0,43.2645,3.6355,51.8189,86.0653,0.4269,0.0
CYP_N,1.5751,0.0225,0.8648,4.6752,0.0526,3.519,0.2763,0.2277,0.2569,0.4001,0.5107,1.3193,0.4158,1.3566,0.0994,0.4869,0.0227,0.0213,0.7954,0.0782,0.0161,1.394,1.8477,3.4032,10.7742,30.6558,5.4285,11.9108,5.3928,91.0366,4.8491,19.2534,16.1397,3.5139,11.6204,95.1622,6.9131,73.0018,40.5019,8.5749,45.9134,17.2744,7.2158,8.3425,0.0,79.1571,0.0012,0.0015,1.0069,0.0168,0.0
CYP_O,11.9823,0.2631,0.039,0.1704,0.0017,9.3036,0.0796,1.2546,0.1996,0.2293,0.2094,0.1906,0.173,1.8549,1.0341,4.4527,0.7878,0.6129,0.6188,0.1577,0.0397,3.1049,1.0196,34.3777,47.1414,15.3433,0.2984,0.1313,0.0593,12.2955,0.5084,18.1414,1.417,1.1412,0.7844,3.688,18.3785,2.8953,1.8737,152.974,3.8435,6.5922,4.1189,2.8365,0.0,110.1114,11.1517,2248.0032,25.3231,-4.8365,0.0
CYP_P,0.0139,0.0,0.0378,0.1596,0.002,0.4275,0.0056,0.0513,0.0304,0.0014,0.0366,0.202,0.0424,0.0999,0.0069,0.1006,0.0,0.0002,0.145,0.0023,0.0008,0.5026,0.5109,0.0447,0.7786,2.8615,0.003,0.8279,0.3055,7.5573,0.0699,0.7128,0.7474,0.6611,0.8895,4.3687,0.3101,5.119,0.9432,5.505,4.03,1.1715,0.536,0.4209,0.0,384.5521,5.3454,1042.5136,93.3773,0.0,0.0
CYP_Q,1.2443,0.0,0.0006,0.0019,0.0,0.0236,0.0017,0.0024,0.0039,0.0037,0.0025,0.0102,0.0016,0.0034,0.0007,0.0054,0.0001,0.0005,0.0031,0.0003,0.0,0.0103,0.0046,0.0309,0.0461,0.5106,0.0084,0.0002,0.0003,1.6967,0.0146,0.2197,0.0273,0.0182,0.0235,0.402,0.1633,0.4889,0.403,0.8096,0.5406,14.6395,0.8711,2.2468,0.0,396.936,73.9155,844.5611,7.502,-0.0001,0.0
CYP_R,0.0515,0.0,0.001,0.0041,0.0,0.3212,0.0029,0.0022,0.0466,0.0034,0.0017,0.0074,0.0015,0.0031,0.0026,0.0049,0.0001,0.0005,0.0027,0.0003,0.0004,0.0093,0.0041,0.0049,0.4751,0.434,0.0073,0.0237,0.0002,3.5206,0.0067,11.3019,2.5048,0.016,0.0284,1.0163,0.1422,0.5687,2.3534,3.1969,0.8142,0.8153,9.5176,1.7632,0.0,427.5863,54.1633,39.9641,1.4504,0.0039,0.0
CYP_S,0.3764,0.0,0.0096,0.0685,0.0001,1.9229,0.0112,0.0257,0.0531,0.0308,0.0388,0.0792,0.0306,0.0929,0.0124,0.3193,0.0057,0.0115,0.0207,0.003,0.0007,0.4752,0.1341,0.1393,0.1706,10.9865,0.0928,0.9129,0.0801,1.5885,0.1087,26.6672,1.3988,0.3942,3.8796,7.9487,0.82,7.7558,0.8035,2.3364,3.0359,2.4009,1.0998,6.9621,0.0,302.6519,79.1193,3.2517,4.1735,-0.0005,0.0
CYP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.5486,0.0,0.0,0.0,0.0,0.0
