V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,USA_HFCE,USA_NPISH,USA_GGFC,USA_GFCF,USA_INVNT,USA_DPABR
USA_C20,21827.1715,0.7668,4109.9986,1081.8601,616.3085,5453.231,4735.9329,1082.2915,10010.8032,4035.6049,66695.3868,2705.5442,32330.1923,3369.318,776.8733,5152.0213,1351.225,1225.4883,2078.4086,5248.831,617.9542,4029.5434,1307.5527,784.5574,11557.565,3074.5345,648.8683,33.1575,126.1604,1222.8097,182.5706,1220.167,758.8174,501.0365,956.1454,482.8105,7799.1553,7173.6906,6821.0403,19462.144,5414.0185,8303.1227,307.5824,3445.525,0.0,90692.7945,498.2344,38.8458,6671.457,17810.5302,0.0007
USA_C21,803.4118,0.0504,27.5587,7.8577,5.2215,861.1435,24.5429,99.7452,68.4026,23.2872,271.8143,26195.3925,144.3972,30.833,36.4945,68.1783,43.5169,26.1982,64.4243,107.1298,28.4203,49.3893,74.5376,15.829,453.2448,799.4702,14.4427,1.2027,2.9383,14.8218,4.622,30.2855,32.0544,60.51,63.9504,62.5865,46.26,6558.1149,79.0722,1628.2519,51.9101,14250.6924,167.3413,59.0856,0.0,140508.8769,296.0492,7329.5176,51297.6733,6638.1087,0.0006
USA_C22,1380.313,0.0673,197.277,326.967,331.0345,13969.7865,407.4594,448.6036,2643.5977,206.7216,6398.6592,406.6788,11787.2412,953.1794,1071.9227,2791.9143,718.3806,1050.8888,3797.8403,16798.1604,1471.1891,5172.449,24.6883,248.5406,30523.55,19955.2229,346.877,1.783,9.1796,445.4282,1645.7725,4301.8462,1313.7966,2478.9149,916.5192,327.4973,888.3039,4360.6286,2297.7585,8381.4868,2386.2447,9806.2446,134.2015,1144.5115,0.0,40228.1963,9.0094,2.4848,3039.4216,8910.7731,0.0022
USA_C23,89.9531,2.664,1059.7476,257.5094,483.2335,3559.7524,85.9815,596.1704,322.8391,23.8781,1127.0217,94.0498,1240.5542,12577.8258,1722.6797,1003.0856,314.8132,1073.9157,1081.597,6109.3864,199.4433,805.9902,57.3848,267.9912,79079.8713,1572.6006,70.1299,1.4625,4.9692,150.8365,26.5827,1640.0421,159.8419,2007.5957,730.14,99.6293,336.118,2946.4486,1160.6776,5078.3076,403.6579,3567.1067,52.0588,1248.337,0.0,12803.864,2.0241,1.5491,1420.9779,6130.6419,0.0002
USA_C24,70.703,0.0,4910.3307,262.0613,169.218,2446.6684,83.9882,281.2394,510.8779,0.0,575.6977,0.0,856.2351,734.0844,46920.6483,42446.6335,2363.5129,7421.9713,17574.3659,19085.3033,4171.7307,5132.2003,183.0893,341.5492,7211.2477,1150.6587,510.818,0.0,0.5868,186.3599,5.0042,105.1011,1586.3949,478.3241,422.4232,0.7189,1184.7751,1142.1363,529.8826,933.1588,93.4729,198.3697,82.3175,295.5697,0.0,1375.9005,0.0,0.0,1891.665,6042.86,0.0
USA_C25,1787.2873,7.6974,1722.8203,439.7291,450.7829,10876.1622,624.2991,2049.8977,4299.175,245.6786,5183.5349,114.4693,4323.0814,2330.8019,5519.1978,29341.3714,3090.4098,5841.7109,13277.1339,44387.3187,5236.3746,5828.2304,182.6882,1471.9052,71466.1156,6908.4854,1351.4015,621.097,80.7729,875.2021,566.2335,2789.6076,1338.5653,3943.6839,2394.4023,742.5622,2357.0546,5454.785,2964.6977,9575.3038,1141.2122,2691.4155,274.427,1696.9352,0.0,32442.0494,250.4576,5.2519,29595.6385,12760.3319,0.0005
USA_C26,104.4827,0.1483,41.4574,12.1992,28.2517,1284.6631,384.4636,574.7727,1694.4711,90.6662,2566.3228,55.6999,1322.1328,835.5678,1378.1699,2905.5711,13750.9769,2603.1429,3843.9321,10133.4396,3500.7246,1906.3809,128.6909,279.7049,3365.1572,9001.8916,151.0292,1.5534,5.9447,158.0869,5.8887,128.9151,2749.7751,8350.4161,5539.789,1089.9074,563.6749,10142.3115,1898.4281,15983.3629,1072.3857,5090.0205,65.7969,1670.082,0.0,65995.1604,311.5528,10.6111,173470.291,12489.1179,0.3985
USA_C27,1210.6043,0.043,76.4308,22.8544,119.3967,485.7383,33.7742,843.5501,282.7963,11.5796,414.6947,18.7981,625.0541,144.0746,911.8956,1097.2072,780.836,4568.4896,6040.5596,3099.2512,502.0952,636.6379,17.0125,346.3284,19251.9067,1399.9507,147.9928,7.2751,1.7287,77.4407,4.7158,366.5746,26.57,2609.4808,649.5366,95.0509,573.1702,2023.7478,1021.4577,3128.2524,638.254,831.4413,122.6987,1929.1197,0.0,31789.3379,76.8332,2.7545,18119.5604,4443.6679,0.0008
USA_C28,2256.3081,0.1399,5621.8344,1800.8934,1782.9131,2500.295,40.6923,333.5684,1230.328,24.6615,2013.3277,39.4869,1266.502,243.6615,821.1821,2286.1218,349.2791,766.6364,16557.124,13602.0174,1650.2796,3534.8042,795.0633,1816.2412,29751.2408,3212.5816,198.7329,11.6385,6.2488,2191.5506,42.0764,618.1186,534.706,1543.6252,1379.9308,449.535,292.9903,1905.5378,2189.2228,3163.2179,2561.1325,982.8236,71.263,1001.8921,0.0,15945.3857,143.038,7.9511,148184.6787,10944.2663,0.0009
USA_C29,648.8509,6.0762,543.7988,288.5462,169.4098,1799.9698,41.3477,413.1913,879.351,18.5722,788.7603,16.4238,367.0119,547.134,515.3971,860.3694,196.7177,183.905,7888.3124,99675.6446,2097.2367,585.5595,38.9856,663.7648,1823.3679,22069.9599,2624.534,6.867,1.1422,1590.0698,481.0296,399.4744,636.3408,173.2231,179.68,86.4434,33.6544,2793.3315,4864.761,5108.3742,1534.5811,1702.5203,151.45,841.9451,0.0,197344.4676,123.0551,0.0,152277.2701,22438.2937,0.1992
USA_C30,0.0,4.5391,4.8022,0.0,0.0,0.0,0.0,11.3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4514,0.0,0.0,237.383,248.6944,39507.8728,0.0,0.0,91.0756,1.9669,12.8246,1080.5674,881.4243,441.9218,559.9891,1068.7704,0.0,0.0,6.6801,0.0,0.0,0.0,639.2968,131.9458,42655.8668,0.0,136.5942,11.9884,62.1229,0.0,26974.7681,0.0,0.0,59405.2336,1589.6257,0.0
USA_C31T33,263.9705,0.1465,56.3388,24.4302,26.2645,1192.6548,203.8543,327.4669,807.4192,291.6632,1233.1067,154.376,737.6251,479.2846,649.7029,916.608,571.4814,372.0836,1268.1647,1339.3153,266.528,3668.4651,67.9514,519.3985,11965.837,13345.2109,877.2366,12.4538,19.4677,612.5457,81.5433,3050.1122,368.4855,633.385,1275.3013,3106.6009,2670.2442,4406.5383,3505.1288,7214.458,1283.3342,15572.2098,324.4908,1044.6599,0.0,118470.2652,139.2832,29.4571,41813.6559,4938.4083,0.0921
USA_D,3039.3423,6.7362,2922.5015,1830.0098,63.3832,6456.7566,629.8679,930.3824,4184.7927,3040.0778,8577.2265,210.139,3466.5107,2932.0244,4928.5707,3082.9637,674.0315,454.9234,1224.6369,1860.7733,343.9376,1057.9941,15905.8786,490.9418,4968.6361,42395.2179,2194.8887,85.4696,45.3228,9342.3723,386.1319,17114.8374,1118.1171,1922.4001,2069.2103,4166.0262,90419.2998,12425.5122,3481.7402,10242.1515,11479.89,11220.8056,1212.9448,3502.6199,0.0,179410.5313,604.869,1.7131,2654.3896,59.5039,0.0331
USA_E,456.1129,0.3868,945.5562,110.854,108.7296,1277.7191,80.7905,76.7667,323.9764,439.4193,1426.7142,33.3015,263.8208,273.013,353.8674,315.4767,69.5349,53.6341,163.015,164.7796,83.8009,179.0834,3989.7924,7022.8546,2103.8715,5290.7756,1058.8549,31.4481,26.4218,1016.3519,401.135,2585.8303,375.9675,427.5499,350.6697,2588.5047,9509.521,3462.1925,2834.3328,17455.0759,3995.3955,6677.3976,605.67,943.7953,0.0,38719.7688,3360.6343,4567.3415,77.9791,15.5179,0.0
USA_F,2001.5767,3.0398,1214.6274,1973.3293,1189.749,1773.3514,114.9505,208.2447,1215.4513,4788.8027,1801.3723,76.3829,717.992,698.8743,877.7138,905.8277,169.0174,146.8155,503.7441,635.4694,126.9386,364.9827,6431.2954,131.5542,485.1032,9639.6415,3307.8605,24.8939,154.3891,2113.686,771.2077,2794.0392,165.9507,2364.5096,360.4929,5280.2393,130291.7121,2242.9594,870.0061,88908.975,10238.1672,1780.3734,450.7103,6386.7409,0.0,48.049,1435.9544,0.0,1488856.5038,0.0,0.0
USA_G,61438.8186,47.1035,9540.6102,3339.1946,2744.1646,150401.7568,9145.7403,12576.8109,27670.1318,7071.5906,57957.5186,20073.8253,34053.9368,13947.4765,18533.924,28526.0273,13154.4394,13444.1992,35433.4366,85901.3511,13027.9032,24078.8705,9089.6517,5501.1836,155888.8063,161766.7883,24685.0966,1289.5787,4176.4602,8444.6605,4810.7727,43723.5085,25533.9267,20608.3566,15125.7855,19881.0332,27241.1021,49581.3789,40902.8497,102870.5001,43606.4151,76565.1279,3947.1094,14100.265,0.0,1425222.466,10516.9803,5042.8925,340557.7836,106093.1736,0.009
USA_H49,9412.0975,7.5968,4894.5308,1242.01,540.263,20983.3126,860.7294,2292.8828,3724.2255,17721.1756,5233.0697,1308.0583,3197.1502,4613.3252,5583.0164,4833.175,1274.9797,1138.1945,3092.1727,6723.2272,1284.0747,2545.0207,6943.6965,997.0119,24584.7584,33775.8431,22015.1701,316.8182,2065.148,7638.6454,3043.0136,2997.7447,3124.9379,3377.5883,6380.7976,8168.1431,9107.9449,20308.3101,10730.5194,21876.7558,31530.4563,14014.4042,3475.2561,1875.5624,0.0,163349.3938,2117.5643,409.0975,19905.9246,10209.7023,6.2042
USA_H50,393.8744,1.1383,296.7493,54.5377,20.6295,931.897,74.1293,127.588,213.0867,1253.1933,357.146,210.1625,222.5633,172.279,289.4952,293.8257,151.7076,125.7476,335.7178,957.376,159.184,177.5665,331.4674,43.6299,1392.3455,939.3195,211.6504,20.3709,71.5591,167.8097,240.9977,165.9155,100.8291,141.9536,108.9051,92.0816,111.5839,515.3089,173.475,1690.3909,217.7636,448.5828,25.3505,106.3564,0.0,12604.531,38.0742,55.5148,2959.7908,3580.5661,0.0
USA_H51,511.5931,1.0176,296.432,50.7839,85.7259,1044.6776,85.5014,532.4735,470.8603,1218.3009,428.1027,230.0652,354.9139,220.0992,345.7847,456.5981,182.3956,140.5803,440.927,1070.9194,208.076,285.2565,506.7544,234.4407,1586.5613,2215.5155,507.5111,73.1469,83.6528,333.2882,207.1415,460.1457,648.1262,683.6577,1693.4442,2387.3877,3175.8641,3141.1485,2938.876,3483.8709,679.0807,1763.6227,118.032,293.1988,0.0,36825.3276,165.4627,60.7908,3939.2766,4000.3206,0.0
USA_H52,1894.4039,38.9435,830.4038,1522.5424,47.4578,7473.7821,1599.7368,3888.2597,5524.4042,5756.3444,3212.3297,329.1487,5692.8197,3784.0274,1251.1156,2072.9453,2132.9751,245.8915,956.8049,1355.5209,282.5906,1237.4733,7347.7018,1552.6173,4109.4273,82109.6555,22774.7324,2385.7826,9972.3642,22515.5762,9340.4281,1700.9001,3482.1185,1095.3097,4199.8367,622.3759,468.5349,15779.2723,5385.3053,8257.6743,1673.6926,4886.5191,792.1129,896.9048,0.0,24230.8055,378.441,55.2348,4321.1789,1927.8052,0.0422
USA_H53,22.7562,0.0264,4.9475,4.7316,0.3689,16.8207,2.4587,3.8338,75.4399,58.5347,49.4523,1.155,6.2329,5.1202,13.5899,39.0197,2.6523,120.8881,221.8024,5.0488,1.4373,74.8543,185.3854,378.6376,25.4663,45477.8885,45125.6612,2530.2131,15.7055,2593.6752,3844.4272,2761.5184,4001.0002,374.2987,5688.6069,7204.6384,407.507,7687.7164,5068.8014,2066.8547,785.948,6401.391,356.5197,1682.9319,0.0,12533.4651,95.5458,0.2073,362.7311,35.3026,0.0035
USA_I,457.0407,0.889,35.7655,37.657,267.9261,1042.9143,73.6781,168.1279,486.4137,208.9552,344.2566,35.2115,460.5212,336.937,313.898,570.74,85.0819,63.6217,364.9,246.7097,140.0293,502.4409,1579.1976,807.37,696.2876,9149.7797,1714.9425,16.4878,8074.8118,1104.1136,2432.068,5108.2904,3201.5656,2518.152,7933.6463,17080.2646,33609.4012,26260.6666,17801.999,9172.5997,5344.5251,36183.4306,1865.0439,2091.8146,0.0,635995.4237,6715.0776,5.8769,2197.7126,129.4748,0.0
USA_J58T60,418.6756,0.3104,569.2706,54.2913,49.2863,3332.4512,283.3572,447.4726,820.7175,250.8409,1025.5368,388.2741,881.9898,410.1538,786.693,1462.2924,536.6094,300.6553,893.3079,795.1725,283.3227,1180.2293,942.4644,170.1424,3839.0621,52380.3786,734.7342,258.7738,85.3823,817.2796,143.868,11150.2941,96447.2512,32956.8721,14244.5595,11718.1812,5441.0499,33246.4782,10019.9166,16294.9087,14122.8756,10600.4535,1076.1371,4012.8172,0.0,161641.7622,5562.9714,7635.2307,274635.1082,704.0285,0.0
USA_J61,711.4033,0.0843,723.1367,162.1341,366.6986,1270.4854,111.5209,210.8533,645.4686,237.7379,652.4038,118.715,563.1201,413.1782,405.0413,894.4138,225.2229,156.623,645.7361,443.8623,192.1249,652.7132,1275.9069,996.1806,8531.8374,31401.1673,7115.1484,235.106,417.5324,4267.4401,721.6929,5387.6633,7592.6432,59582.9913,15410.4136,23913.3238,21306.5659,30601.0293,18586.4129,34840.0015,17480.2016,12693.2521,1267.2775,3001.9789,0.0,292701.7821,1074.0402,9.1422,10598.0781,182.6339,0.0
USA_J62_63,470.8738,0.3255,4570.4332,200.5647,78.1895,4378.858,514.5299,1047.2383,2002.5504,923.4101,1491.225,416.047,1921.7998,1287.3033,1939.9712,4071.8587,1371.5722,462.6065,2902.4433,1292.1543,947.2653,2330.0598,3618.8132,1316.6188,8002.6017,72045.6071,2989.2349,234.1649,216.6707,1844.7383,579.7887,11143.7127,20656.6654,14650.9509,45566.9066,39514.2895,8412.9994,84565.0998,44419.4651,79496.5753,9045.4034,26073.4632,2275.4101,8423.8524,0.0,87302.5823,1183.5597,2182.5625,349262.085,189.2155,0.0
USA_K,5516.0293,338.1734,14260.1014,2623.8432,6657.1017,7940.2889,864.6066,630.8213,1528.468,1909.0297,3460.7156,1230.4549,2212.5084,2608.3742,3751.6418,4523.641,2310.2853,1456.2544,4211.7135,4816.3115,3023.3342,4040.1325,10609.076,2355.7378,19921.652,90564.8301,35195.9856,9158.6516,6251.5157,10349.357,3577.8443,12554.519,13384.0518,9998.8946,14480.6475,799537.0052,275044.849,95889.8406,68015.2724,138678.1139,8312.2021,125911.8297,5026.097,32627.2485,0.0,1035017.3958,10295.0802,79.3234,22704.7324,302.3876,0.0
USA_L,8944.3475,0.7915,1515.5813,132.594,148.8461,4333.1825,643.2181,661.7447,3428.446,125.4703,891.0146,3149.0768,2625.081,989.0728,831.118,5351.8698,5097.0515,448.4472,1448.6803,1169.8972,2352.4925,3047.9166,6002.4498,1702.8597,34387.9923,294480.4735,6706.9575,372.6499,35.632,23762.2427,1940.5132,87223.8809,11207.484,12739.5757,19914.6559,102720.4837,137051.5221,116468.2765,23742.6422,45005.9346,49624.353,129996.2578,17007.0314,47117.7071,0.0,2275692.1375,13592.1324,0.0,208025.7312,0.1429,0.0
USA_M,2320.1677,2.5054,20871.332,4619.0553,4725.136,37776.3756,3593.1663,3820.9656,9462.46,8074.098,18773.4732,15870.7736,9487.6082,7657.9535,8766.0728,22990.7802,40247.968,2983.8428,22269.4996,21854.7134,10700.3411,12087.191,13112.3701,9328.3649,101315.9126,271581.575,27861.6013,2065.8361,1049.9452,10047.0761,5363.3967,86613.921,62250.6564,51400.2798,76905.8492,178210.2641,120333.2623,238104.3567,121154.6874,110630.6614,21061.7497,142052.0537,10152.119,18430.9951,0.0,170942.4248,9301.6997,9.5079,365029.8064,362.0058,0.0
USA_N,4769.6051,1.395,5031.6285,1176.1323,2352.7482,7401.9894,952.5641,889.3178,5486.5626,2564.8866,6181.694,2042.7259,2854.6737,2679.7401,4378.5543,8857.0663,4328.1301,843.2467,3284.0928,4229.0825,3329.634,4098.4346,20060.9003,4902.8691,34292.5208,153049.3366,31899.176,4424.6856,9899.1263,14787.3595,4311.9137,21823.0585,26764.3861,33631.9417,71385.3286,65222.0575,149348.938,119180.9618,106853.3697,74006.1266,14688.6817,105316.0311,5836.6105,15481.0338,0.0,131912.7731,5754.5467,153.5331,5863.6842,221.1926,0.0094
USA_O,3969.7738,17.424,3301.6736,615.4957,264.9279,4665.2259,365.5729,1863.622,2294.1507,1564.3867,3786.2525,336.126,1582.8988,1321.9908,1620.5685,1476.0704,614.4214,246.1261,713.295,949.538,408.5697,773.1304,15667.2184,6140.2326,7363.2743,30856.1586,3531.6506,176.6275,477.522,4661.7801,1010.9808,10154.5323,4634.4529,4072.686,3151.6152,25189.6915,38364.1583,17113.4163,8087.2185,35157.6676,12338.772,25346.5965,2911.4637,4399.9481,0.0,508457.5578,31770.9442,2092021.0931,72812.7499,860.106,0.1005
USA_P,84.629,0.7029,56.9715,16.1028,27.1153,261.7148,15.9113,26.8071,242.3338,62.8006,96.6306,15.8471,90.0103,50.5847,50.463,99.8036,27.3651,15.6753,71.6932,57.2992,30.4806,86.1763,453.0117,101.7996,279.3347,9185.7619,165.9952,2.0148,292.497,246.1607,62.6135,330.8807,554.9372,441.0609,1443.9593,1591.7282,2460.8077,3690.8725,2950.9042,13181.8056,16252.1914,1635.9117,2853.5604,4972.0106,0.0,347452.2473,82554.269,893520.3855,89018.136,156.6096,0.0004
USA_Q,313.1692,0.1678,99.1304,18.1937,28.6921,709.1625,38.7294,27.049,101.5367,32.8009,220.2428,73.7462,111.2044,53.2063,40.8124,87.1635,45.1315,41.224,91.5995,127.9206,42.7545,89.3945,70.4169,33.7131,714.2754,890.8829,227.8087,7.9126,131.5058,47.8109,38.2043,308.6992,312.0742,225.3412,412.4065,480.7509,343.2659,1323.9959,552.7834,16111.605,265.9304,38498.0377,127.5517,242.3248,0.0,2253086.8395,105291.8171,116256.9036,10438.9748,387.7279,0.0
USA_R,139.5574,0.0491,25.5372,5.6591,25.8204,381.0181,24.6276,39.7332,105.0071,44.2062,108.7109,29.7125,118.253,60.9854,73.8582,137.1598,36.3912,21.5344,84.5598,106.115,31.4779,110.4845,139.2621,109.589,432.6143,5069.4598,247.6271,15.138,156.8358,253.7457,59.0567,1348.766,10194.0545,2779.6828,1403.395,2472.8795,4892.2278,7537.5564,2483.6868,2244.5539,1567.7977,2188.1783,9418.7407,1437.2052,0.0,119825.671,40157.5545,736.6647,3672.438,94.5707,0.0
USA_S,178.9192,0.0478,76.5448,24.3223,109.2941,380.869,25.7491,33.4459,146.8014,55.9771,207.4447,31.1314,110.339,128.1518,132.1885,176.9915,65.1843,20.5393,75.436,97.7642,53.436,158.3009,171.3554,312.7317,1286.6465,7526.004,514.6021,5.8997,125.8414,1964.8964,331.942,2074.254,360.397,1108.5243,656.4064,7120.4793,2346.3789,5939.8615,3572.9705,12508.418,3473.474,7727.4709,540.2613,4377.378,0.0,257573.1378,154929.0925,470.7851,1047.4868,103.4358,0.0
USA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22471.6398,0.0,0.0,0.0,0.0,0.0
