V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_C28,5.6128,0.0359,2.1963,0.8844,0.0201,5.7306,1.435,3.0635,3.4286,0.0022,2.5793,2.4505,6.3417,2.8042,19.5147,34.844,3.4175,20.8337,60.4203,64.379,0.3817,6.3439,5.8339,6.245,38.5192,18.9312,3.3261,0.004,0.1314,4.0534,0.2188,2.2964,0.3727,0.6461,1.4495,1.7005,2.9257,20.8546,1.8925,4.363,1.4972,6.0154,0.9631,1.9845,0.0,52.0593,0.1011,6.3131,289.0613,5.8336,0.0
SVN_C29,1.3216,0.0218,0.1943,0.1063,0.0027,2.9785,0.7173,3.1855,0.8708,0.0019,1.0829,1.3565,3.8466,1.1221,9.0552,7.3184,1.6647,10.6002,4.039,254.3374,0.2898,2.1248,1.4729,8.5285,7.8995,26.5918,13.7222,0.0071,0.06,0.8356,0.1555,1.2198,0.3792,0.7492,1.0327,0.8595,0.8479,3.1385,0.9672,1.4733,0.5644,1.4001,0.4555,0.7872,0.0,341.6911,0.2429,17.4519,221.4408,11.6775,0.0
SVN_C30,0.1431,0.0335,0.0223,0.0081,0.0002,0.4297,0.0023,0.1879,0.0933,0.0003,0.0171,0.0,0.0175,0.0682,0.8952,0.3336,0.2171,0.0117,0.0381,0.8188,9.2524,13.549,0.2028,3.1408,0.371,20.5153,2.9982,0.0065,0.6274,1.4619,0.0489,0.018,0.4796,0.0,0.0138,0.0041,0.1539,0.1577,0.0702,0.0476,0.0074,0.5347,0.3418,0.048,0.0,83.2182,0.0,0.0,9.3086,-75.2232,0.0
SVN_C31T33,18.172,0.0717,6.9982,3.4718,0.0322,11.4347,3.4073,6.8074,10.6411,0.0024,6.1222,7.7399,12.5453,5.6321,18.7806,54.6638,8.1973,25.1726,42.2139,28.5055,0.5938,23.7742,15.7063,5.9321,38.7555,50.5021,6.5294,0.008,0.4718,16.367,1.3408,6.5983,0.7655,1.5188,3.273,7.7385,7.3455,65.4611,6.811,7.1113,7.0935,54.3421,5.8134,6.4493,0.0,224.7381,0.1388,29.0002,113.7278,2.1576,0.0
SVN_D,6.0523,0.1818,10.3171,4.7027,0.0435,26.7758,4.4039,13.4597,27.3334,0.0353,18.6026,40.2639,22.6355,20.3206,122.1701,31.5657,4.404,25.1227,19.1407,24.7602,1.1919,12.2079,115.3082,31.8589,46.2892,131.3621,22.8976,0.0155,0.0834,24.9465,2.8681,33.8109,4.5889,8.7125,8.8691,12.9335,23.6451,50.4565,7.902,39.0399,22.6821,40.9675,15.3885,14.6996,0.0,623.2522,0.017,4.2105,37.7862,0.3962,0.0
SVN_E,4.1024,0.1324,2.1808,1.0318,0.016,15.3373,2.6425,4.2693,5.3834,0.0071,7.0908,11.7978,9.0404,6.0174,184.1389,44.6989,12.1233,7.9276,6.1609,8.374,0.3744,5.897,18.3635,234.252,59.1204,47.6903,7.1918,0.0244,0.1534,11.5236,1.0458,18.4091,8.2112,1.1761,2.2221,4.2683,8.1825,24.5864,10.6077,23.2452,14.1432,25.4899,5.8743,7.9507,0.0,393.8227,0.7269,10.9041,68.5275,1.2334,0.0
SVN_F,21.3789,0.0693,1.7471,3.0124,0.0524,10.7639,1.9124,23.8878,3.3495,0.0057,5.1153,31.2461,8.3245,23.5549,19.4525,68.8795,3.8482,13.9381,17.2101,7.6106,0.396,103.8693,93.9914,141.5657,2514.4715,154.5092,34.5075,0.0364,0.1891,66.5696,4.0056,43.778,6.6233,4.0618,4.4871,25.908,108.6547,519.5087,42.619,263.4864,30.7837,64.4263,12.1565,3.6473,0.0,89.5517,1.1973,8.981,3696.1106,1.5949,0.0
SVN_G,128.4691,2.2075,4.3636,5.8189,0.1111,265.9211,80.314,47.4346,49.5766,0.1105,55.2293,108.0335,81.6408,48.0604,108.4715,122.2174,47.2218,129.1343,83.1102,169.2651,7.2783,46.0124,71.2204,67.9519,263.1064,539.98,242.6781,0.3496,11.5527,48.0283,11.5924,129.5646,21.9606,28.8983,56.3003,56.3609,40.1338,164.1422,41.0836,71.2455,52.8414,109.3029,36.6299,23.5958,0.0,2206.6018,1.4784,73.8627,351.9269,61.8419,0.0
SVN_H49,17.2148,0.2019,3.9769,15.3487,0.0505,41.744,7.2952,12.8636,24.1326,0.0899,20.7232,20.9016,22.1597,31.6041,41.0517,48.4291,7.7124,39.8421,26.5156,49.3711,1.654,14.3913,13.8758,19.6607,70.211,166.6023,299.3206,0.0686,0.5538,117.6805,11.177,8.8051,5.4708,1.7497,5.4493,5.4991,3.3453,19.4633,17.5487,13.7829,10.1692,12.3426,7.7137,5.4568,0.0,251.1069,0.0647,120.0295,35.2798,123.9266,0.0
SVN_H50,0.1352,0.0003,0.0054,0.0043,0.0,0.1183,0.0199,0.0167,0.0203,0.0002,0.0281,0.0264,0.085,0.0539,0.0642,0.0964,0.0125,0.0878,0.0633,0.1539,0.0033,0.0114,0.0866,0.0305,0.0603,0.0931,0.1603,0.0018,0.0083,0.1036,0.0117,0.053,0.0036,0.0031,0.0059,0.0389,0.0326,0.0389,0.0135,0.0162,0.0265,0.0547,0.0081,0.0103,0.0,0.8512,0.0007,0.129,0.3235,15.153,0.0
SVN_H51,0.1668,0.0008,0.0074,0.0138,0.0,0.2324,0.0728,0.0566,0.0753,0.0001,0.0924,0.0441,0.0867,0.0248,0.2594,0.1289,0.0306,0.1339,0.0704,0.2198,0.0067,0.0447,0.1161,0.0416,0.2222,0.1228,0.4051,0.0001,0.0089,0.0169,0.0082,0.0963,0.0079,0.0147,0.0201,0.0325,0.0524,0.1008,0.0298,0.0202,0.0097,0.0527,0.022,0.0153,0.0,0.0823,0.0025,0.2558,0.4141,21.7307,0.0
SVN_H52,5.1826,0.1008,0.2717,0.9913,0.031,16.0351,3.4426,3.0778,8.6503,0.0158,5.8733,27.3832,6.0028,6.3228,8.2658,13.7061,3.3416,10.4729,6.8636,13.2602,1.1387,4.0362,8.2877,9.8388,21.4552,141.7658,234.2483,0.3385,9.1083,540.0409,25.5689,8.8485,1.4687,3.0946,4.5752,3.5086,7.29,9.9946,4.8559,11.9647,2.7671,5.5568,3.549,2.0138,0.0,256.9653,1.6453,135.1526,15.7543,48.9113,0.0
SVN_H53,0.6576,0.1699,0.0823,0.3486,0.0034,2.2005,0.641,0.7703,1.7865,0.024,0.6751,4.3516,1.0959,0.9393,0.9952,3.6391,0.8791,1.815,2.7711,1.4576,0.4365,1.9019,5.8814,7.4453,6.1176,53.9818,12.2812,0.0176,0.0869,6.1989,54.2001,2.8323,16.9804,8.1632,26.3154,56.5982,3.2214,9.7173,5.025,49.3162,4.2025,12.8337,2.5616,13.3509,0.0,21.5749,0.0016,0.4109,1.3214,0.1678,0.0
SVN_I,0.3778,0.0617,0.1224,0.1314,0.0074,2.303,0.4454,0.5712,0.6568,0.0009,0.8774,6.0096,1.4736,1.3081,0.4651,9.3684,1.8032,3.0366,5.8203,5.3927,2.1466,3.5862,1.5152,0.7019,18.8189,21.8484,19.7558,0.0227,0.4548,5.2252,0.3063,13.469,1.1339,3.2437,6.7362,2.9823,0.6361,14.2663,47.0952,7.3974,10.6906,8.0148,10.1468,6.5099,0.0,892.7681,0.0959,34.6932,0.0,0.0002,0.0
SVN_J58T60,0.8938,0.0429,0.0625,0.0881,0.0031,3.6223,0.4801,0.4635,1.4654,0.023,0.8382,15.7777,1.0719,1.047,4.8316,1.8534,1.2096,2.3163,2.983,1.8198,0.3102,1.0912,1.7378,5.0803,2.2147,32.45,2.6569,0.0104,0.19,4.1898,0.7294,3.3335,75.2109,24.3774,3.4454,5.7494,0.8697,31.7733,3.8658,6.0362,3.6622,3.0023,4.8709,4.537,0.0,74.8027,1.3382,73.0945,8.6013,0.3415,0.0
SVN_J61,0.866,0.0896,0.1151,0.1413,0.011,2.4665,0.6651,0.8961,1.0946,0.0027,1.1066,4.3391,2.0297,1.0819,0.9798,2.8762,1.6344,4.0534,3.3528,2.212,0.4099,1.959,6.4617,2.7128,9.1431,34.5529,18.3707,0.0134,0.193,4.6718,2.706,5.0964,7.5942,265.8908,55.3682,17.5456,1.792,13.8777,4.3563,14.5643,4.9593,10.4816,4.1962,8.6363,0.0,424.3312,0.0222,7.2768,8.699,0.4104,0.0
SVN_J62_63,2.9176,0.1653,1.603,0.2877,0.0117,10.5418,2.2875,3.1544,12.7631,0.0144,5.9331,43.0524,6.5667,5.5319,5.3857,9.2326,6.7492,17.6695,10.0557,13.5612,0.3863,4.8605,43.2402,6.7562,12.5811,136.0259,14.872,0.05,4.2879,24.6858,5.4193,9.9454,9.6538,53.3977,265.7376,84.3498,6.5458,73.2609,16.2025,58.6071,14.3364,37.5159,9.3528,16.9379,0.0,70.4707,0.1783,16.2322,542.438,1.358,0.0
SVN_K,24.0829,0.228,2.2246,2.903,0.0967,19.7873,4.0822,9.2445,10.7959,0.0121,18.5175,27.6321,12.5504,9.9019,20.9433,32.2581,7.1599,30.6135,24.0754,32.7427,1.8831,14.4385,47.8632,20.4205,67.9828,199.6175,75.25,0.206,1.6267,33.2738,8.6556,32.1356,5.2542,12.7862,27.3709,466.015,125.6542,86.4283,29.5085,71.1362,7.0393,24.545,13.9791,14.3371,0.0,1148.1519,0.1611,7.4159,23.5893,0.4251,0.0
SVN_L,2.2147,0.229,0.1865,0.1356,0.0088,9.7358,2.3143,4.0087,4.2026,0.0057,4.8598,8.6791,5.3157,2.8675,7.2,17.748,2.5728,10.9668,7.3164,6.4932,3.5773,5.5216,9.5906,47.6237,43.3629,238.3199,18.2408,0.0415,0.5637,29.1735,3.0827,36.153,3.749,12.1903,20.9231,16.9716,42.7637,39.2935,21.1464,29.891,8.8404,19.115,9.2212,9.3365,0.0,3259.2089,0.0363,38.2871,53.2526,0.281,0.0
SVN_M,26.1244,0.5184,3.9691,2.6143,0.1901,75.239,10.5783,20.7087,25.0799,0.0692,23.9006,375.0254,51.8837,27.6901,50.2131,79.8515,32.6016,62.5555,62.0497,67.8176,3.5614,49.5916,64.6079,48.5972,411.3925,635.8083,82.6562,0.1506,1.5187,56.3689,4.2531,59.8705,58.7859,23.3023,64.3561,105.1579,65.5262,783.0827,67.4971,129.0677,52.1481,91.1921,50.879,38.6587,0.0,190.6257,2.2529,149.9145,794.7665,2.6156,0.0
SVN_N,3.5202,0.0977,1.0684,1.2403,0.0485,23.6163,5.9414,7.3382,15.6161,0.0069,6.981,93.3522,14.6599,9.4521,14.7693,34.2605,7.2487,45.4374,28.8684,57.5933,0.765,19.8421,27.8492,15.8795,40.2071,185.8963,28.6547,0.028,2.8508,34.8917,10.7416,53.1774,8.6103,9.631,25.3339,25.6985,13.695,51.8345,50.933,18.286,23.2308,35.3704,25.4212,13.03,0.0,66.3543,1.6127,22.6109,24.3545,0.9453,0.0
SVN_O,1.857,0.125,0.1011,0.043,0.0045,7.0763,0.972,2.1717,2.5291,0.0033,2.7397,7.8884,2.8946,1.4065,3.7977,11.0017,1.5557,5.5936,3.9241,3.6253,1.986,3.0291,5.4318,26.9762,17.791,111.8339,31.5742,0.6301,0.2097,30.5403,2.2033,15.5273,2.4113,9.9866,13.6932,20.0452,25.2099,25.9076,12.9599,85.7038,5.6019,11.4225,6.0251,5.2703,0.0,70.8301,46.6112,3547.1114,14.3941,0.0859,0.0
SVN_P,2.8352,0.048,0.1435,0.1086,0.0045,4.9664,0.5258,1.0406,1.4125,0.0025,1.0192,11.014,2.339,0.9337,1.6603,3.9229,3.186,4.5763,3.1387,4.3699,0.2164,2.0238,9.7959,2.4344,6.3269,31.2886,5.1453,0.0101,1.0176,2.9527,0.7767,3.4517,1.5322,2.4772,10.3078,10.0217,1.6094,24.3533,3.0366,31.2866,26.7498,23.1211,3.8825,4.946,0.0,358.1855,42.4584,2412.9527,109.8513,0.3405,0.0
SVN_Q,1.6458,0.0545,0.2912,0.0646,0.0022,2.3949,0.4952,0.575,0.8628,0.001,0.781,5.2636,1.0634,0.8359,1.1927,2.7174,0.5554,1.7856,1.4603,2.2582,0.1455,1.217,4.1941,2.4735,3.8931,13.7429,2.6776,0.0083,0.0675,2.5774,0.6542,4.3522,0.5806,0.7525,2.2142,2.6546,1.4859,4.5945,3.3105,7.3376,4.0268,225.7362,3.738,34.3827,0.0,802.4246,62.8618,3266.9223,20.1716,0.2218,0.0
SVN_R,0.6503,0.0505,0.1353,0.1635,0.0011,1.5198,0.4841,0.4753,0.4967,0.0011,0.3471,4.0801,0.4253,0.4026,2.3082,1.0487,0.3434,1.1648,0.6975,3.2226,0.1489,1.4959,0.8465,1.0998,1.3596,8.2656,2.2812,0.0128,0.0672,1.8655,0.1789,5.5931,4.1925,2.8874,1.2661,3.4468,1.3646,3.735,2.1974,2.162,6.8713,1.6359,86.7228,3.9743,0.0,473.8095,79.1432,204.2338,2.7133,0.7476,0.0
SVN_S,3.3031,0.4967,0.1789,0.1423,0.0037,5.0929,0.7118,0.6295,0.6754,0.0075,1.8842,2.9185,1.2856,1.4251,0.7227,3.648,1.0043,5.0004,1.6836,1.4542,0.3748,1.0885,15.9373,3.6089,3.0764,24.6599,8.685,0.0361,0.862,4.2913,0.7048,11.9915,4.1403,1.7251,4.1474,14.7381,1.9742,15.6769,2.6525,15.761,6.0936,19.8946,21.7546,43.9254,0.0,335.0843,178.5283,44.151,3.4911,0.3478,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4986,0.0,0.0,0.0,0.0,0.0
