V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T,EST_HFCE,EST_NPISH,EST_GGFC,EST_GFCF,EST_INVNT,EST_DPABR
EST_F,24.6366,0.1843,1.5953,0.5814,0.0136,6.324,2.2148,29.0201,1.7273,1.0389,4.4408,0.0886,7.9493,20.8844,1.1207,23.3367,2.2022,6.7268,2.4398,0.9241,0.4562,6.0853,13.3462,7.9058,354.2082,38.2276,6.7307,2.9293,0.9368,31.6263,1.7176,10.3767,0.5967,9.5379,5.7125,4.6797,233.4432,22.6874,10.3747,84.1925,17.3539,17.9312,11.9511,4.0891,0.0,29.824,1.5642,152.651,3940.9942,0.2647,0.0
EST_G,117.9185,3.1707,15.8889,6.2487,0.1395,165.1157,52.5188,177.0156,29.6682,9.2054,39.8174,2.5498,27.8831,31.7514,2.1827,59.3883,46.064,35.6672,26.4198,39.0737,7.8273,73.4271,48.6211,14.862,237.4137,176.4554,229.7621,20.0885,6.0802,58.3199,6.4812,63.5181,11.0918,5.6305,20.1032,15.0142,37.2446,66.6241,35.7593,35.8687,24.8563,68.5394,17.8119,15.4694,0.0,1202.9474,2.5288,36.5398,258.5973,0.7348,0.0
EST_H49,38.4319,0.6452,8.0836,3.2647,0.0419,58.3762,9.7145,83.5828,14.228,12.0854,9.2113,0.3772,7.8175,24.2123,0.7434,23.7924,14.6713,12.138,10.353,8.7677,2.3709,26.479,11.8533,8.6154,110.2593,97.105,62.1214,5.934,1.5523,113.6572,3.6512,7.3597,1.278,0.4631,3.2729,2.0017,6.1006,10.2965,9.7547,7.6667,6.8894,7.0886,4.7098,4.8422,0.0,216.394,0.1552,56.0274,37.6864,55.8052,0.0
EST_H50,1.0702,0.0286,0.0692,0.0242,0.0005,2.098,0.6072,0.7973,0.2224,0.0326,0.3721,0.0645,0.1711,0.1763,0.0471,0.6434,0.7166,0.3322,0.3375,0.3138,0.0354,0.5736,0.598,0.0514,1.5162,1.4334,0.5423,0.1399,0.0777,0.1837,0.0249,0.7352,0.1601,0.1424,0.5628,0.1759,0.3178,1.2714,0.3353,0.2171,0.2505,0.7888,0.2691,0.1458,0.0,9.2547,0.0447,0.3502,3.7693,31.1298,0.0
EST_H51,0.2309,0.0111,0.0441,0.0174,0.0003,0.3519,0.1037,0.2397,0.0516,0.0534,0.1451,0.0056,0.0694,0.0554,0.0258,0.3004,0.1951,0.1056,0.0903,0.133,0.0216,0.0737,0.2069,0.0226,0.4466,0.132,0.1659,0.1301,0.0342,0.2771,0.0112,0.0769,0.013,0.013,0.0254,0.0369,0.0557,0.0675,0.0821,0.0215,0.02,0.0895,0.0301,0.0296,0.0,0.07,0.0032,0.4007,1.6445,23.3107,0.0
EST_H52,48.88,3.3003,5.4568,1.9397,0.0285,17.2602,4.5381,34.4314,6.7744,3.3755,8.2578,0.1421,3.6445,7.3386,0.5617,10.0159,13.5284,4.4653,4.2105,7.4441,0.9218,21.2945,6.1278,10.5641,23.0533,139.8324,123.9515,66.714,17.0889,510.8864,4.6609,5.0881,1.2465,0.9254,4.1507,2.9094,9.4199,10.1059,24.12,13.4845,5.7337,3.5578,2.7256,3.8671,0.0,29.8906,0.8896,2.4402,10.5245,3.371,0.0
EST_H53,0.6193,0.0153,0.0519,0.017,0.0004,0.7492,0.5541,1.1208,0.2865,0.0666,0.2056,0.0161,0.3484,0.1532,0.008,0.2399,0.447,0.1777,0.1595,0.1165,0.1893,1.3393,2.1302,0.9019,1.3386,11.5006,1.1998,0.4331,0.1641,3.3041,31.9128,0.5035,4.4726,0.9449,1.9201,3.4476,2.7741,6.5063,12.2883,3.1721,0.7238,0.7956,1.9268,2.8233,0.0,17.6554,0.0104,0.234,1.8362,0.244,0.0
EST_I,1.5946,0.1985,0.1543,0.0247,0.0015,1.333,0.2655,1.6099,0.3137,0.0222,0.3028,0.0291,0.2361,0.4007,0.0301,1.4697,1.4859,0.8954,0.5188,0.6363,0.1954,3.2371,0.2825,0.1552,5.63,7.8083,4.1616,0.3762,4.6555,2.7713,0.1609,6.4015,1.2443,0.7882,10.4237,5.1193,1.2264,10.8142,30.0251,23.6212,30.6574,10.467,10.1153,2.8613,0.0,791.976,0.0,0.0,0.0,0.0,0.0
EST_J58T60,2.0015,0.045,0.0332,0.0147,0.0002,1.5029,0.4066,1.1278,1.6462,0.3542,0.1858,0.0698,0.1333,0.1558,0.0058,0.4229,1.1577,0.3106,0.5824,0.0746,0.0624,0.5569,0.8087,0.2325,2.4998,16.1822,0.6521,0.6406,0.1246,2.1159,0.8646,4.2215,24.0125,8.5221,5.0478,3.8313,1.4591,30.0508,4.8859,6.0461,9.4123,2.2956,7.7374,5.546,0.0,53.2576,0.2842,31.1302,21.0149,0.0566,0.0
EST_J61,8.0851,0.2282,0.6847,0.1452,0.0046,4.935,1.7732,9.3086,2.373,0.1268,0.5845,0.1353,2.3844,2.7756,0.0174,3.7027,25.1586,2.5567,2.6886,0.789,0.3998,3.1253,3.2794,1.4783,19.4201,28.7307,5.3411,1.6079,0.5225,11.3591,0.7183,3.3867,7.1384,142.9595,33.049,11.0251,14.4193,25.336,9.1524,8.3796,4.1189,4.6632,4.6767,3.8722,0.0,208.4026,0.3482,2.3055,18.6557,0.2365,0.0
EST_J62_63,9.6943,0.0752,1.7172,0.6484,0.0146,9.8664,2.5052,9.0885,3.162,0.9,3.5846,0.2151,2.7133,2.3666,0.079,6.5907,24.6813,6.3343,2.275,2.9154,0.9395,5.4714,24.1681,1.6605,15.6089,100.961,10.9265,2.0253,2.3418,15.818,4.2965,6.2671,12.3957,49.8759,271.2522,36.4747,11.4053,78.8277,17.2006,57.5982,16.2751,18.3851,6.9772,10.2647,0.0,13.2399,0.2941,43.9944,560.396,0.8693,0.0
EST_K,29.1369,1.6844,2.9035,0.9223,0.0145,13.8449,6.3058,19.4968,6.2979,1.5233,3.2618,0.2143,2.8287,4.1324,0.3856,8.0272,10.9534,6.0332,3.9286,2.8279,1.4056,11.3467,14.4974,3.2395,60.7557,118.8602,26.1966,7.7824,2.7542,24.1854,3.777,14.6737,4.1428,5.8567,16.8842,295.1677,239.8084,54.3149,23.3863,22.9182,4.6745,12.3371,7.773,7.5443,0.0,561.4194,0.3304,1.6183,14.0789,-0.14,0.0
EST_L,18.3372,0.4005,2.1778,0.5314,0.0145,28.532,16.8403,41.9862,8.5389,0.3409,2.3422,0.3875,12.7719,6.6383,1.2946,29.4245,16.1371,16.4038,10.39,10.206,2.2359,45.1505,12.9626,15.6038,34.5566,491.7391,15.0403,3.0438,0.8868,100.235,3.0368,128.7768,6.5153,11.1281,51.5208,38.2094,116.151,129.2802,45.6687,49.5917,37.061,38.1745,57.3156,30.0978,0.0,1854.4353,63.9016,78.1086,305.0291,0.1062,0.0
EST_M,59.7039,2.9072,5.4621,1.1511,0.049,54.257,11.3198,27.5345,14.707,6.8489,16.2212,4.5217,8.8737,11.1133,0.8988,16.2786,20.2671,16.6677,19.7008,10.9735,2.5778,54.6535,27.6906,11.0097,287.2966,221.7604,24.0637,14.805,8.4558,39.1371,3.652,23.8488,20.5601,23.7608,66.3003,40.2931,56.2893,347.9358,79.2271,42.7898,14.5622,21.6843,29.6515,26.0461,0.0,78.6451,10.7903,170.0367,319.6314,0.5655,0.0
EST_N,9.7011,0.7754,2.0088,0.6516,0.0145,20.2826,5.8412,16.9226,3.3494,4.546,3.4172,0.4682,2.4858,8.6763,0.4032,25.5362,18.6951,15.3668,7.2138,4.2539,0.6069,16.4282,12.3987,8.5072,79.9805,98.7698,24.4594,53.5872,12.1821,51.4055,4.9456,23.276,2.1776,4.9622,22.2061,21.6139,112.6815,88.95,83.5006,70.0173,36.3783,30.8869,29.9702,13.4677,0.0,135.7102,0.5843,3.1787,27.8173,0.4682,0.0
EST_O,3.0314,0.8602,0.6065,0.2151,0.0046,4.0006,0.8483,4.6548,0.7659,0.2507,0.5337,0.0789,0.7709,0.8249,0.1028,1.6781,1.4875,1.3681,0.7216,0.7066,0.2273,2.5953,3.6018,1.4922,13.3521,27.5059,12.5194,1.2625,0.3826,12.2932,0.5566,3.9801,5.1197,6.5478,6.3938,1.9966,9.2398,18.0674,4.7184,21.1285,1.8655,4.4117,2.8259,4.4641,0.0,60.0737,1.6389,2495.5396,32.4141,0.1157,0.0
EST_P,0.8454,0.0195,0.3095,0.089,0.0027,1.9664,0.5722,1.2382,0.2999,0.2603,0.3193,0.0407,0.3218,0.6816,0.1236,1.0436,1.6302,2.0722,0.4365,0.2425,0.0566,1.5428,2.4902,0.4516,3.6567,7.8072,2.4038,0.2978,1.7917,2.5037,0.2019,1.6146,0.6044,2.0682,5.758,8.7944,1.2331,11.6604,2.6626,35.3396,30.1136,9.1509,3.0363,5.85,0.0,162.9812,68.9783,1442.2201,33.9326,0.0053,0.0
EST_Q,0.6735,0.0404,0.3083,0.0619,0.0047,0.7616,0.256,0.8123,0.2932,0.2417,0.1477,0.0056,0.1857,0.222,0.0187,0.492,0.5737,0.4603,0.9298,0.3307,0.1149,0.8499,0.8707,0.2846,3.1031,7.1832,0.6299,0.3425,0.1759,1.5365,0.5027,2.7239,0.1528,0.1922,2.2544,2.1521,0.9473,5.5763,3.0258,25.1754,20.5049,100.3256,2.5329,1.0682,0.0,321.2965,51.8651,1440.9263,23.2415,-0.0893,0.0
EST_R,0.7018,0.005,0.0191,0.0079,0.0001,1.1627,0.1228,0.8526,0.0977,0.0098,0.0995,0.0204,0.0976,0.3027,0.0065,0.2186,0.246,0.1414,0.1734,0.1186,0.0318,0.4009,0.1475,0.1217,0.583,7.3888,0.1956,4.6169,0.0697,0.6622,0.07,4.7886,2.9773,0.4078,1.9233,0.5491,0.9185,4.4593,3.1176,8.3293,11.9783,0.9628,75.1984,1.6082,0.0,289.6755,123.5509,181.198,8.6478,0.0332,0.0
EST_S,3.5761,0.09,0.1384,0.0563,0.0015,8.5887,0.9188,1.6384,0.5855,0.2929,0.336,0.0179,0.4788,1.2101,0.0419,1.0195,3.5607,2.5743,1.1444,0.4448,0.4892,1.8402,1.2164,1.3238,2.5926,9.5146,4.5558,0.4114,0.1118,1.5087,0.1517,3.1553,0.9656,2.4171,6.2394,1.8224,2.8521,5.1708,3.8328,11.6682,3.3673,6.4647,2.6012,9.3562,0.0,161.5443,198.9849,19.4062,4.996,0.0024,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1599,0.0,0.0,0.0,0.0,0.0
