V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T,BRN_HFCE,BRN_NPISH,BRN_GGFC,BRN_GFCF,BRN_INVNT,BRN_DPABR
BRN_E,0.0765,0.0,1.5451,1.1381,0.0838,0.0511,0.1359,0.0053,0.0075,0.4358,0.0062,0.0,0.0103,0.0001,0.0,0.0082,0.0,0.0031,0.0216,0,0.0189,0.0086,0.2253,0.2116,1.2017,1.2345,0.0601,0.0019,0.0768,0.0002,0.007,0.1194,0.0204,0.2292,0.0997,0.2792,0.0831,0.2865,0.1935,10.8995,0.5191,0.1039,0.0161,0.024,0.0,20.8497,0.0,0.0002,13.1801,0.0,0.0
BRN_F,0.5753,0.0026,9.399,7.1637,1.1692,0.4308,0.3473,0.0217,0.0359,1.9086,0.0305,0.0,1.0961,0.0143,0.0,0.1589,0.2221,0.03,0.1754,0,0.4007,0.132,0.3839,0.4852,20.2785,8.0206,0.1821,0.331,0.6428,0.1501,0.0084,0.8602,0.1084,3.8394,0.9978,3.362,4.244,3.2922,1.5891,16.9652,3.3809,3.161,0.0738,0.118,0.0,23.5173,0.0,0.0405,1243.1566,0.3579,0.0
BRN_G,4.934,0.1373,67.0961,63.8028,5.8829,2.4473,2.6825,0.1199,0.1096,40.4451,1.9543,0.0004,0.7653,0.0873,0.026,0.4269,0.4383,0.0975,0.7341,0,1.1648,0.5114,23.5551,1.3944,66.6893,25.7948,3.1456,0.6234,5.6303,2.1519,0.4263,8.0891,0.2978,3.8861,1.1859,4.0778,2.2346,5.8048,3.7939,45.9336,12.39,6.7542,0.296,1.9582,0.0,114.7346,0.0004,3.231,318.0725,6.6702,0.0
BRN_H49,0.0103,0.0126,0.0431,0.0363,0.0234,0.0224,0.0279,0.0094,0.0148,1.2622,0.0652,0.0,0.0099,0.0006,0.0006,0.0084,0.0299,0.0088,0.0095,0,0.0178,0.0163,0.0097,0.036,0.0264,0.0469,0.0094,0.0103,0.0112,0.1536,0.0417,0.065,0.0098,0.0121,0.0093,0.1754,0.004,0.0448,0.0439,0.0283,0.0129,0.0742,0.0181,0.0131,0.0,0.0477,0.0,0.7362,8.4721,27.4168,0.0
BRN_H50,3.4852,0.0034,30.9132,19.7714,2.5247,1.5903,1.456,0.0753,0.0497,6.0285,0.0649,0.0001,0.4317,0.0063,0.0003,0.5715,0.0083,0.0818,0.409,0,0.9541,0.2679,2.5448,0.463,20.2411,12.518,0.4574,0.9868,1.6295,0.0585,0.0114,3.4042,0.197,2.9577,1.1943,1.3782,0.3547,3.6961,4.1354,30.5222,4.516,2.2666,0.1892,0.1605,0.0,27.4148,0.0,0.1921,3.6903,6.8025,0.0
BRN_H51,1.6905,0.0027,23.9965,10.3201,2.0713,1.0685,1.9625,0.0387,0.0254,2.2311,0.0446,0.0,0.1373,0.0052,0.0011,0.2968,0.0082,0.0415,0.2141,0,0.4934,0.1596,0.6584,0.3839,8.5173,30.5574,0.7748,0.0509,1.1088,0.0401,0.0081,1.349,0.5262,2.4328,4.4614,2.3006,0.3176,11.3246,12.5414,41.2766,1.648,0.7172,0.3185,0.338,0.0,36.5602,0.0,0.0991,6.104,1.836,0.0
BRN_H52,0.3201,0.0002,2.9103,2.1555,0.1958,0.1337,0.1208,0.0073,0.0047,0.5277,0.0062,0.0,0.0419,0.001,0.0001,0.0541,0.0006,0.0075,0.0385,0,0.0902,0.0245,0.2668,0.081,2.0183,2.8251,0.0487,0.0167,0.2565,0.2137,0.0004,0.3281,0.0366,0.321,0.2099,0.1701,0.042,0.4393,4.1117,2.8124,0.4938,0.24,0.0153,0.0194,0.0,4.7171,0.0,0.0016,2.537,0.0194,0.0
BRN_H53,0.2153,0.0001,0.953,0.649,0.1108,0.0085,0.0053,0.0091,0.0041,0.4915,0.0002,0.0,0.0014,0.0001,0.0,0.0081,0.0,0.0011,0.0046,0,0.0053,0.0022,0.0,0.0131,1.0914,0.407,0.019,0.0315,0.1965,0.0,0.0016,0.0307,0.0114,1.3195,0.0505,0.0899,0.0957,0.1256,0.0601,0.1434,0.1014,0.084,0.0061,0.0084,0.0,1.9477,0.0,0.0,0.0,0.004,0.0
BRN_I,0.0718,0.0005,25.8944,9.7968,3.4137,0.6499,0.5137,0.0291,0.0184,9.051,0.0399,0.0002,0.0978,0.0012,0.0,0.0005,0.0008,0.0467,0.2355,0,0.2823,0.1097,0.0141,0.5822,20.4273,14.0981,0.5899,0.0835,3.5792,0.0055,0.0014,0.4857,0.4225,2.7785,2.9586,3.5902,0.2189,6.4279,3.2524,12.9097,2.718,1.5293,0.1512,0.2224,0.0,64.1287,0.0,0.008,5.8053,0.0392,0.0
BRN_J58T60,0.0019,0.0,0.164,0.0778,0.0122,0.0042,0.0176,0.0003,0.0001,0.1145,0.0004,0.0,0.0009,0.0,0.0,0.0001,0.0,0.0005,0.0019,0,0.0022,0.0012,0.0,0.0107,0.0504,0.1454,0.0045,0.0,0.0766,0.0001,0.0,0.0055,0.0277,0.0402,0.0581,1.9379,0.0015,0.2142,0.2208,4.3479,0.7136,0.49,0.0077,0.0055,0.0,13.4303,0.0,0.0,1.0701,0.0,0.0
BRN_J61,0.3737,0.0001,60.7711,24.912,4.9016,0.6775,0.4539,0.0458,0.0472,4.3183,0.0221,0.0001,0.114,0.0014,0.0,0.029,0.0002,0.0741,0.379,0,0.4333,0.1766,3.9295,0.6343,21.6806,29.2265,0.8501,0.1812,1.3299,0.0022,0.0004,1.6467,1.3523,36.3061,4.6165,9.6392,0.6635,7.1346,3.6109,33.9947,8.6199,4.1125,0.3902,0.3838,0.0,69.7579,0.0,0.0017,28.1111,0.0241,0.0
BRN_J62_63,0.1295,0.0001,1.2146,0.8915,0.0873,0.0564,0.0547,0.0031,0.002,0.2166,0.0025,0.0,0.0174,0.0004,0.0001,0.0223,0.0002,0.0031,0.0162,0,0.0377,0.0104,0.1262,0.0344,0.8683,1.1844,0.0391,0.0066,0.1013,0.0836,0.0002,0.1349,0.0154,0.1256,0.0865,0.0707,0.0173,0.1843,1.5961,1.2128,0.3861,0.4542,0.0067,0.0085,0.0,2.1124,0.0,0.0007,67.1185,0.0084,0.0
BRN_K,1.5586,0.0011,31.4326,17.0603,2.2847,0.9835,1.2738,0.0272,0.0243,70.8478,0.1331,0.0005,0.133,0.0068,0.0,0.3031,0.0025,0.076,0.2814,0,0.3365,0.1946,1.3652,2.7411,15.354,57.5263,4.1209,0.8118,83.1052,0.0146,0.0039,4.4263,0.3544,3.0405,1.893,15.0281,12.4212,5.4684,5.3625,1.3209,0.6303,0.7159,0.2211,0.2747,0.0,605.7676,0.0,0.0764,23.3966,0.0001,0.0
BRN_L,0.023,0.0001,6.6255,2.4957,0.7704,0.1559,0.3659,0.007,0.0052,0.2502,0.0108,0.0001,0.023,0.0003,0.0,0.0013,0.0005,0.0116,0.0571,0,0.0684,0.029,0.02,0.218,5.7517,3.3404,0.1463,0.0192,0.8205,0.0008,0.0002,0.1168,0.1682,0.6439,0.6944,1.7564,0.2615,1.546,0.88,3.7967,0.6376,0.5967,0.0728,0.0863,0.0,326.611,0.0,0.0018,9.8665,0.0028,0.0
BRN_M,0.203,0.0001,55.6221,21.4325,6.2564,0.1935,0.7313,0.0184,0.0395,1.8054,0.0123,0.0001,0.0612,0.0011,0.0,0.0051,0.0001,0.0122,0.0653,0,0.0773,0.0335,2.084,0.5951,35.4524,16.9995,0.4046,0.1232,0.4548,0.0027,0.0041,0.4248,0.2448,5.7544,4.3756,7.2021,0.1129,33.7542,6.1509,32.7043,4.7332,12.8069,0.1337,0.1307,0.0,11.8731,0.0001,0.002,72.2257,0.0021,0.0
BRN_N,1.2261,0.0013,19.1973,14.1541,2.2516,0.5945,0.6329,0.046,0.0742,2.3139,0.0115,0.0001,0.1687,0.0021,0.0,0.2226,0.2833,0.0005,0.1599,0,0.3474,0.1136,0.0941,0.495,38.4255,13.06,0.2956,0.0773,1.0852,0.003,0.0004,1.417,0.2074,2.4696,1.9275,4.0227,2.2384,4.6889,16.8854,12.9294,30.2571,15.5313,0.1768,0.1172,0.0,23.0408,0.0,0.0031,11.0696,0.0061,0.0
BRN_O,0.5591,0.0046,11.0641,7.8179,1.1269,0.5398,0.4442,0.0182,0.0185,19.6287,0.0748,0.0004,0.0976,0.0013,0.0,0.0447,0.0,0.0203,0.1038,0,0.2497,0.0706,0.0,0.4616,4.4563,7.0704,3.5734,0.2355,1.8564,0.2685,0.0007,1.1937,0.1462,3.6754,0.624,1.5933,0.5089,2.3629,24.8174,158.7344,2.6645,1.0008,0.0797,0.0658,0.0,44.9077,11.6947,2408.8474,0.0479,0.0,0.0
BRN_P,0.164,0.0,7.9496,4.9745,0.8622,0.2032,0.0792,0.0066,0.0,9.7889,0.0292,0.0002,0.0381,0.0005,0.0,0.0434,0.0811,0.0,0.0441,0,0.1041,0.0316,0.0013,0.3253,3.7912,2.808,0.1317,0.046,0.3262,0.0021,0.0001,0.1138,0.0965,0.7078,0.9027,1.6569,0.1543,1.7449,0.8342,64.5567,22.9796,4.2139,0.0563,0.0704,0.0,192.762,1.9753,374.6581,2.723,0.0017,0.0
BRN_Q,0.385,0.0002,9.272,4.9505,2.0031,0.1369,0.1544,0.0096,0.0129,11.8824,0.0361,0.0003,0.061,0.0008,0.0,0.0109,0.0,0.0127,0.065,0,0.0787,0.0318,0.0034,0.3774,4.0782,3.128,0.1519,0.0529,0.4089,0.0003,0.0,0.4431,0.0914,0.8327,0.3909,0.7052,0.1677,1.4203,0.9715,41.9031,1.9019,6.3776,0.1502,0.1477,0.0,36.2504,0.6432,207.777,30.075,0.0002,0.0
BRN_R,0.0283,0.0,0.2152,0.0764,0.0211,0.0113,0.0469,0.0,0.0003,0.3114,0.0011,0.0,0.0023,0.0,0.0,0.0031,0.0,0.0082,0.0048,0,0.0059,0.0023,0.0,0.0129,0.952,0.0099,0.0031,0.0422,0.3907,0.0,0.0,0.0012,0.0278,0.0001,0.0148,0.0911,0.0053,0.054,0.0209,2.7615,0.0322,0.0696,0.0564,0.0059,0.0,14.5247,0.0,0.0,0.7144,0.0,0.0
BRN_S,0.0553,0.0,0.2048,0.1548,0.0303,0.0263,0.0783,0.0018,0.0005,0.4698,0.0021,0.0,0.0041,0.0,0.0,0.0077,0.0,0.0047,0.0078,0,0.0103,0.0057,0.0,0.0488,1.4781,0.0509,0.0109,0.0353,1.0208,0.0,0.0,0.0106,0.0415,0.0066,0.0202,0.1918,0.2425,0.0863,0.0312,1.3921,0.6576,0.1491,0.029,0.0628,0.0,17.9478,0.0,0.0,2.3334,0.0,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.241,0.0,0.0,0.0,0.0,0.0
