V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T,CRI_HFCE,CRI_NPISH,CRI_GGFC,CRI_GFCF,CRI_INVNT,CRI_DPABR
CRI_K,29.4524,0.3067,0.0516,2.8611,0.0039,74.3949,3.6208,3.1615,14.3214,3.9939,29.5195,8.5718,11.1882,16.7042,11.7036,4.8364,1.8232,6.5226,0.4841,0.4807,0.5102,34.9469,59.901,13.8016,38.4306,468.1564,11.9064,12.253,3.7792,22.5275,6.7509,65.5554,22.0684,90.7796,22.8402,1138.3272,267.651,88.5262,31.5997,128.6048,30.5739,115.6579,11.9412,19.2226,0.0,1916.9236,40.9106,76.0167,33.8928,0.2984,0.0
CRI_L,1.551,0.0007,0.0025,0.1778,0.0004,30.0138,2.4948,0.9103,4.7249,1.3848,8.4806,1.2145,2.4943,0.8184,1.2406,2.325,0.8716,1.5513,0.1097,0.05,0.0617,30.5784,39.942,2.4375,9.17,360.9269,2.558,1.9796,0.5904,7.705,3.8134,38.6443,8.5544,13.2932,26.5436,43.2501,32.7346,78.8036,16.2988,27.1928,22.004,85.5633,2.051,11.2304,0.0,4932.6163,0.0001,0.1324,1.4,0.0004,0.0
CRI_M,59.0799,0.9088,0.1316,3.8898,0.0153,282.7719,4.0424,1.2475,8.0483,8.0634,32.2349,13.0849,11.7806,8.8297,3.5254,4.6324,2.1784,14.2892,1.0109,0.7319,0.7552,168.5554,20.7703,17.7786,528.5051,733.2506,13.1658,16.1369,4.2527,48.1125,21.8957,79.2587,37.959,68.679,78.1043,100.3916,85.6761,648.1696,61.523,88.6277,33.3305,114.1913,12.5267,43.0065,0.0,303.3293,4.6454,3.2357,422.0695,-21.0567,0.0
CRI_N,50.6741,0.5553,0.0829,5.3634,0.0105,117.4364,2.88,1.609,10.7,6.8383,13.6151,10.147,9.3815,13.6291,4.1002,3.9825,2.6169,6.1553,0.4355,0.3696,0.4222,183.7713,39.1463,20.8149,78.1571,486.3926,30.7629,39.7542,15.0258,43.1849,12.242,105.1356,19.9885,211.7561,23.8431,318.3278,94.7644,124.7655,62.3339,103.9049,56.9042,125.2688,12.0247,19.9422,0.0,217.5683,0.0009,0.3612,7.6872,0.453,0.0
CRI_O,6.6641,0.1779,0.0025,0.0871,0.0002,14.5694,0.415,0.0644,0.9344,0.4438,1.5338,0.2909,0.477,0.3431,0.3115,0.4411,0.1144,0.299,0.0212,0.0389,0.0432,4.9345,1.4338,10.3727,5.4539,28.6778,0.6507,0.9811,0.263,1.6658,0.4752,6.4595,1.0636,3.3343,0.9985,7.0039,3.5483,5.7736,1.309,14.6412,2.4564,11.7145,0.479,2.0336,0.0,169.7241,0.0617,3085.021,1.5094,-0.0161,0.0
CRI_P,2.6421,0.008,0.0021,0.0812,0.0002,9.2807,0.2518,0.0731,0.5625,0.2353,1.6519,0.5098,0.588,0.8535,0.1691,0.3237,0.1509,0.3467,0.0246,0.0281,0.0307,10.1175,1.6556,0.8628,7.973,27.6185,0.465,0.6139,0.3562,0.8693,0.3314,3.4426,2.5669,2.0317,5.2696,9.5816,2.2312,18.1101,4.9524,11.1161,29.8359,18.3168,1.3524,5.3864,0.0,1786.9093,60.4777,3386.5121,2.0785,-0.0862,0.0
CRI_Q,0.5303,0.0858,0.0003,0.0121,0.0,0.7603,0.2838,0.0,0.132,0.0,0.0118,0.0239,0.3125,0.0004,0.0657,0.0101,0.004,0.092,0.0067,0.0033,0.0049,0.3017,0.0545,0.302,4.3943,9.5977,0.1429,0.1698,0.0377,0.4216,0.0117,1.4458,0.0239,0.0235,0.4599,0.0687,0.1191,5.9717,0.9189,0.0027,0.9415,117.474,0.4389,1.808,0.0,2134.2278,127.1083,3952.45,0.0,0.0,0.0
CRI_R,0.1085,0.0024,0.0007,0.0386,0.0001,1.3676,0.0145,0.0047,0.0606,0.051,0.2064,0.0702,0.0484,0.0617,0.0206,0.013,0.0264,0.028,0.002,0.0016,0.0018,1.3563,0.0538,0.0936,0.8892,3.0988,0.1614,0.2205,0.1156,0.0879,0.0448,1.19,0.441,0.6096,0.218,0.5715,0.1758,1.2586,0.4546,0.3433,0.3675,0.4339,0.7155,0.4523,0.0,185.5001,1.6239,3.0183,0.1839,0.1022,0.0
CRI_S,1.8557,0.0451,0.0018,0.0796,0.0002,12.8342,0.6457,0.3215,1.1585,0.376,2.5805,0.5712,0.9244,0.9019,0.2384,0.244,0.0715,0.5546,0.0393,0.0451,0.0486,8.3247,3.5294,3.8093,7.6059,83.4292,0.6971,0.9245,0.2777,4.6336,0.1346,12.9354,4.8186,7.8663,5.3716,58.7124,7.1322,30.1142,5.4072,14.0535,16.4744,32.8788,1.9216,17.3529,0.0,424.5683,313.0059,2.2883,45.6248,-0.0011,0.0
CRI_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835.4695,0.0,0.0,0.0,0.0,0.0
