V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T,BGD_HFCE,BGD_NPISH,BGD_GGFC,BGD_GFCF,BGD_INVNT,BGD_DPABR
BGD_C30,0.3839,1.5898,0.094,0.0078,0.005,0.4928,0.7612,0.0618,0.1573,0.5004,0.2759,0.0805,0.3187,0.2981,0.368,0.7803,1.2835,1.0297,1.7821,6.5781,102.6109,13.8291,0.2155,0.1517,5.9471,2.5552,9.7129,5.7336,11.1671,0.9919,0.0557,0.0783,0.0989,0.1953,0.0386,0.0969,0.0904,0.3472,0.6383,11.2268,0.1532,0.2472,0.1104,2.2192,0,158.567,0.005,0.6962,1295.1579,-130.13,0.0
BGD_C31T33,51.7169,14.4813,15.3658,1.1041,0.7042,49.7708,250.5772,13.2646,31.6891,98.3288,42.8159,14.7368,24.4629,49.1589,46.2975,33.592,44.8699,31.0736,57.5873,45.5488,18.5418,298.1151,48.7682,21.5197,543.3438,71.8507,66.1694,17.1525,33.3193,16.693,3.0714,13.091,16.0117,30.2525,6.8008,19.5673,16.2534,32.7432,25.4379,69.2203,46.4273,145.0156,24.1474,57.3532,0,1811.9529,0.3896,17.3552,2471.0778,-59.9796,0.0
BGD_D,118.7821,11.6352,26.5959,3.3903,0.855,118.1653,257.3164,18.9253,101.2137,410.8267,184.3088,19.5787,75.2725,208.6204,215.1255,51.423,41.3326,38.6814,53.3223,58.2473,13.7071,46.0438,865.2636,48.131,197.8923,161.1543,82.3813,4.59,3.9859,25.9166,4.5094,56.8544,21.824,78.3081,5.9661,26.1013,80.1035,31.3754,20.905,151.3452,82.0018,85.2221,37.702,76.4904,0,2142.4253,0.4897,14.1379,91.5586,-0.414,0.0
BGD_E,49.2254,7.5774,20.4345,1.5768,1.1054,100.1505,192.2163,13.0798,231.9354,174.5784,100.2992,16.7391,70.2685,143.8828,1261.5052,124.3791,21.6087,24.4943,43.8641,30.2804,9.3531,34.0185,95.3236,1021.805,436.0622,191.1276,44.4791,8.4827,5.0403,24.0448,4.7056,54.7179,14.3911,19.2237,4.7873,24.8978,111.6041,33.6446,31.7274,365.5313,82.7495,130.9665,29.319,67.8892,0,2155.7931,15.3499,256.126,352.3873,-0.4732,0.0
BGD_F,49.1031,6.903,11.5216,1.0267,0.8295,40.5768,71.2771,6.4925,15.7223,74.165,26.8214,7.0533,14.9031,53.9191,24.8734,22.0313,16.335,16.4455,23.4839,19.9623,6.6901,39.7526,75.4764,36.5258,5281.0805,109.771,59.8907,9.072,12.1502,33.4789,4.2534,20.1468,15.2228,49.4068,5.1174,24.2636,302.3664,43.4422,19.2517,261.7631,59.0661,43.061,19.127,38.947,0,865.1074,1.5025,17.3002,49870.0116,-4.377,0.0
BGD_G,1141.371,208.7192,28.8788,3.8353,2.1082,2373.7825,3435.6723,140.0617,361.1822,877.1538,628.0399,197.9894,329.2149,344.3828,315.9881,180.3556,334.8325,226.4479,331.9306,465.5789,60.3306,361.3913,108.9454,84.0132,1927.4671,1531.3622,710.5325,77.2158,100.4182,74.5755,25.3879,437.9237,188.605,197.8562,34.0438,65.9006,57.9672,143.3268,153.6615,252.4794,109.6902,224.9009,63.9079,195.8141,0,12470.466,3.0239,24.5134,5710.2207,-9.5504,0.0
BGD_H49,344.2526,53.5381,32.6734,5.7279,1.8838,652.0066,550.7253,59.2882,136.0094,621.2045,245.0738,36.7238,108.4042,276.4056,148.4584,81.4628,72.5918,76.5001,84.62,131.2905,20.168,111.3132,72.9108,43.3232,987.0971,661.7485,754.609,33.5009,37.8704,124.4171,42.6245,85.9352,51.4849,35.5865,7.6217,34.6563,17.8027,54.9033,44.8357,126.3896,84.342,61.8381,21.7178,102.5161,0,6316.4071,0.9885,39.6126,737.6146,4.8097,0.0
BGD_H50,48.9363,6.6373,16.8148,0.4404,0.2055,82.9595,176.6816,5.7854,19.2231,261.1499,51.2772,5.6359,22.3493,34.8722,41.4214,18.261,17.7923,19.8072,22.3199,23.7368,5.6339,18.538,7.4732,3.18,115.4642,110.0418,39.518,266.266,8.5126,52.9371,2.2167,10.7855,5.2082,4.9341,1.1727,2.6464,2.1177,6.6683,6.5792,17.4714,4.1027,8.7131,2.4349,8.8475,0,1141.2123,0.2133,3.5183,252.071,39.0536,0.0
BGD_H51,42.7331,4.2146,7.4557,0.2525,0.2156,71.0403,169.7173,3.2093,14.8566,56.1839,37.4044,8.3026,21.5522,20.7175,23.2166,14.6733,23.007,20.4814,18.6273,18.7421,5.5987,22.5772,8.4347,4.0251,135.4705,50.4791,18.39,5.6877,74.7803,24.9212,9.137,11.8305,10.9138,9.491,5.3912,15.2914,5.6754,23.6586,34.0285,54.7433,17.2672,13.2531,6.8534,18.5329,0,1877.6812,0.2702,2.1092,202.9361,37.6572,0.0
BGD_H52,63.7422,19.3916,10.8859,1.4002,0.6098,148.3429,176.7205,12.7829,42.1127,210.0526,72.0408,14.4307,29.6722,82.8554,47.0409,33.0915,29.3202,27.0393,28.322,64.3382,9.4316,33.8025,16.3964,15.5997,155.016,469.1515,404.5138,176.0226,248.0318,249.0826,19.12,16.3594,15.0149,16.8339,3.3956,5.1869,4.8497,19.5221,18.2742,46.3228,8.6247,11.5786,6.0029,23.4831,0,880.4469,0.4306,36.4515,120.7704,0.4846,0.0
BGD_H53,4.7433,0.5008,1.2999,0.0703,0.0535,5.6322,21.4642,0.7183,4.5172,9.1467,6.7346,2.1946,3.2616,4.6262,2.3246,3.3731,5.2736,3.6502,4.7284,3.1846,1.2055,6.1608,8.7076,3.2525,32.3819,78.1464,11.313,1.4226,2.5339,8.2623,54.6759,4.2255,25.3499,33.3241,3.8269,40.0763,5.8228,19.206,11.0541,51.1056,12.1068,11.1174,6.1323,24.261,0,312.3487,0.0923,1.4045,14.6711,0.0057,0.0
BGD_I,11.3916,2.8636,5.5727,0.2297,0.2931,24.4041,69.7139,2.5902,9.4811,43.5372,20.7626,11.3568,13.3032,17.357,13.1664,12.5208,18.5939,13.7669,17.8021,14.7399,4.9905,19.9435,16.5178,11.9101,186.1922,125.7477,45.9515,8.7348,42.2071,19.8372,4.0983,32.7661,25.5844,35.2425,11.513,61.7008,13.9355,63.4708,47.6226,154.9432,78.2023,98.4138,31.5033,75.4605,0,10890.5532,4.7251,17.8154,50.6615,-0.002,0.0
BGD_J58T60,5.5994,1.1294,1.7692,0.1232,0.1083,34.3438,51.9623,1.593,23.6687,17.6,16.5759,10.0962,7.0092,9.1043,5.4115,5.9309,16.9245,9.2454,10.0559,7.3534,2.9314,13.1505,8.5448,4.7045,57.9318,122.6717,11.819,2.5266,5.0945,5.2193,2.8791,12.6145,510.3705,124.852,19.4727,40.2411,10.548,183.7763,22.2866,74.2274,87.7424,23.4851,44.8887,51.3251,0,1649.0569,6.576,26.508,1222.7896,-0.2128,0.0
BGD_J61,16.2638,4.5954,8.2564,0.3639,0.3091,26.5782,91.2083,3.354,13.9334,31.4619,20.4157,7.6052,12.5777,21.2441,11.5228,18.3458,30.2316,16.374,23.7548,19.6561,4.5769,29.1603,21.3299,9.5761,229.0925,213.9131,54.162,9.3996,8.8035,18.6128,9.8565,22.9211,77.2945,1319.1623,30.6872,130.574,33.4938,77.181,43.5072,211.7556,54.061,64.9672,25.759,95.9382,0,6267.1226,0.9219,12.0548,268.1905,-2.4089,0.0
BGD_J62_63,3.2544,0.5309,1.4951,0.0886,0.0528,9.8975,21.258,0.8678,4.9609,17.9612,6.7757,4.1499,3.8607,6.2009,3.2541,3.4597,10.4407,5.8177,7.1947,8.3371,1.7458,7.2226,9.8547,3.4713,56.9924,41.9614,11.0167,2.1179,4.7277,4.8716,2.7829,3.2556,23.9661,51.1684,41.975,38.2131,6.4346,26.5569,11.1164,46.0672,13.0203,13.45,5.9583,18.881,0,155.469,0.2733,1.8472,941.5585,-0.2107,0.0
BGD_K,173.0846,25.8542,58.6744,2.2796,1.7208,125.0351,387.8588,16.0815,70.4238,279.4572,108.1982,32.3856,59.9593,123.6402,81.0023,68.482,79.0322,68.6928,88.3531,86.2714,26.8377,93.8902,140.2089,44.661,974.5844,559.476,202.3847,41.6064,57.5486,63.1493,13.4967,53.4737,62.7595,145.4743,25.381,1348.7036,863.7447,176.03,110.2976,348.596,69.6755,87.6119,46.5435,142.9565,0,6480.7494,8.3693,50.6021,165.0076,0.1091,0.0
BGD_L,12.9551,2.6103,7.376,0.4676,0.2951,50.3229,234.8991,5.52,24.6181,39.5115,23.6974,11.0244,25.9864,35.2076,16.964,32.5678,33.0471,20.945,29.0377,28.4889,12.3575,59.4628,33.4061,20.7958,429.1986,660.8913,72.3669,12.8295,14.8344,53.3062,14.7354,125.123,64.2984,165.5917,30.0057,136.5298,203.5205,136.1117,76.1842,194.2199,116.2432,111.6895,64.076,215.1714,0,12579.9091,8.5062,16.2235,2045.7879,-0.2244,0.0
BGD_M,67.9637,7.4763,32.0987,1.5908,2.1227,180.1178,353.0984,9.1664,46.672,184.9273,104.9767,76.9535,52.7641,85.7967,52.8239,53.924,129.7639,69.9363,74.8204,105.5279,27.2743,84.3289,83.9659,46.0485,1289.5038,586.2697,75.9443,24.3225,26.2807,44.9777,9.836,44.4438,149.7364,227.7093,58.0187,215.1006,116.0559,437.0587,105.842,255.0183,86.6198,114.4383,66.4157,151.2202,0,620.2387,5.2274,31.6931,2782.9257,-0.7524,0.0
BGD_N,44.2134,7.7286,40.1413,1.8879,2.1755,119.0411,311.2617,11.3419,54.0894,179.7422,80.6875,45.0376,63.4734,89.9647,45.9447,66.2557,87.3242,62.1026,83.4776,101.6996,23.1291,94.2704,73.6305,49.2036,1057.1066,459.9265,162.5522,55.3877,78.3796,87.2579,22.9798,62.0523,109.0917,247.9997,52.4598,172.9699,125.3835,180.4772,240.1295,296.5481,129.4258,163.0818,61.8047,170.2918,0,979.799,3.5763,18.2094,447.2469,-0.2861,0.0
BGD_O,42.2531,5.0094,7.1669,0.6765,0.3151,53.0148,97.8418,5.6139,22.5137,110.7436,40.5799,18.9862,21.0934,26.003,50.5242,22.8179,17.0433,16.0751,24.291,36.0737,9.8158,29.7016,40.2169,32.3802,453.8111,129.7564,105.4673,16.1041,17.7003,31.9403,5.9244,19.8968,23.5719,59.5889,11.1618,63.923,54.4994,58.1404,35.8678,470.3575,54.7734,70.1573,24.6094,66.0789,0,5387.5871,65.182,13900.0945,999.906,-0.1864,0.0
BGD_P,5.354,1.299,3.5785,0.1186,0.0785,9.5434,21.1562,0.9172,3.4595,21.7112,8.5925,8.2135,4.7944,8.2168,8.34,5.3032,12.0711,8.3757,8.3881,6.7253,2.789,7.5625,10.7682,4.5105,62.9128,35.1074,17.2681,2.1455,8.2456,7.6724,1.9591,3.115,10.9888,34.3366,9.626,32.8198,7.4394,35.7719,15.096,142.1719,264.6962,33.5038,9.1215,42.7357,0,8998.8699,149.9477,2534.0256,225.9729,-0.0472,0.0
BGD_Q,7.5676,2.3527,1.9979,0.0807,0.1046,11.1768,21.2331,0.9832,3.7551,15.0238,5.7533,7.2857,4.6147,8.7153,3.6831,5.9814,7.1068,5.1107,5.5882,4.9235,2.0526,8.1986,4.7634,3.2961,59.5039,28.8019,12.0967,1.9707,1.8745,2.8354,1.1016,4.4962,4.5324,7.4194,3.8163,16.247,3.2813,10.7668,6.6283,91.0735,35.8834,1180.3387,8.0425,20.6991,0,11929.2822,221.2432,3049.9024,50.8192,-0.072,0.0
BGD_R,3.0669,0.5281,0.814,0.0511,0.0268,7.786,11.6139,0.7897,2.2963,6.3255,2.6846,1.489,2.0742,3.3194,1.4695,1.9529,2.5875,1.8451,2.3959,2.4826,0.7997,4.0376,2.3998,2.7092,29.9525,20.8108,5.0179,1.7438,1.4767,2.6356,0.6772,11.3177,119.0241,17.3941,2.5708,9.4,6.3022,18.8407,10.2576,50.6031,29.1089,8.376,253.5527,61.5687,0,3832.3478,112.3002,158.0168,235.114,0.0775,0.0
BGD_S,19.4195,3.4768,2.4795,0.3234,0.2058,27.048,67.3734,3.4945,10.2548,35.6008,14.3306,6.449,9.678,18.5651,12.2053,9.0297,14.0411,9.1283,11.8976,11.4101,3.0192,17.6993,12.3446,10.2845,126.8148,94.5419,37.1994,5.2893,6.9034,9.5624,2.9746,28.0425,23.5965,25.4817,9.9642,41.3104,15.9011,45.5757,24.9102,58.4018,34.8267,95.7883,27.5139,267.4901,0,6305.0462,492.7058,85.1667,662.3983,-0.7888,0.0
BGD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
