V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_C20,177.7043,3.7809,106.3923,49.331,0.9431,8.2287,47.721,21.308,47.4723,77.8123,194.3486,35.0853,149.6085,40.5812,19.6807,20.9979,28.5432,30.7073,13.1229,29.0247,4.4434,41.1296,5.9911,4.4305,84.2275,47.2916,7.9565,2.1392,2.3389,4.3815,0.3505,2.6627,8.8881,3.4557,1.5906,3.4776,25.0542,18.9008,14.6795,13.6081,9.7568,47.5297,2.9385,19.3758,0
MMR_C21,12.6254,0.801,3.6433,1.3639,0.0272,1.4528,1.8029,0.4216,0.8984,1.0858,4.0275,50.4801,2.2291,0.7778,0.6419,0.4847,0.9893,0.6269,0.6768,0.6069,0.1068,1.6403,0.1929,0.1184,2.2513,5.0686,0.5447,0.2937,0.2743,0.3117,0.0559,0.3514,0.349,0.6244,0.1446,0.5119,0.6097,6.526,0.6035,5.4705,2.206,156.5256,0.5413,1.3079,0
MMR_C22,17.8584,2.8035,34.4108,14.2099,0.2838,14.2364,23.5302,6.3006,18.8083,4.1832,12.6282,8.492,73.4637,14.2073,4.5888,14.1726,40.0043,29.7134,24.4891,73.1425,6.1734,43.955,1.6846,2.0904,171.7775,98.6786,32.4443,1.5349,2.457,7.2036,0.9147,1.6971,3.8374,6.4408,1.6879,4.9585,15.7881,12.0773,7.4826,9.4123,4.0268,10.2092,1.4969,7.5069,0
MMR_C23,10.3339,1.186,20.7096,19.8915,0.3967,7.1962,3.6014,5.3069,1.3755,1.7369,4.9738,3.2603,6.0759,181.4634,11.6825,11.4403,14.2069,11.1102,6.5869,19.9112,2.3182,11.9133,2.6515,1.2668,797.6434,22.6076,3.0455,0.9143,0.5904,2.1957,0.0915,1.3288,0.5751,2.9998,0.3605,1.1555,46.4058,8.3047,2.803,5.2738,3.1994,4.6916,0.7757,3.016,0
MMR_C24,1.9141,0.177,64.7563,8.9999,0.4049,0.6758,1.2977,1.6667,2.0012,1.4717,2.7972,0.5991,4.9371,12.11,310.9121,221.6654,41.6874,101.8399,92.6721,91.7519,15.3282,49.9199,1.8441,2.1471,177.3041,11.7215,2.2391,0.6054,0.2945,1.5164,0.021,0.0955,0.3147,1.1314,0.1995,0.5558,4.3341,4.6088,1.0161,1.2339,0.51,0.6163,0.1967,1.7498,0
MMR_C25,9.0297,1.7181,77.9851,14.2555,0.5566,4.8287,5.7414,5.8523,2.6581,3.2069,3.618,1.2397,5.4987,8.8985,19.4551,84.0804,21.7513,22.0476,49.333,53.297,9.9104,33.5665,2.6164,1.1327,199.6,24.9069,4.8944,1.464,1.2093,4.2756,0.1955,0.7385,0.9251,5.424,0.886,1.7357,10.8053,9.052,4.1834,11.7897,2.7172,2.5745,1.028,5.2367,0
MMR_C26,3.6798,0.9765,6.2212,1.4715,0.0534,1.1903,1.6249,0.3425,1.016,0.727,0.6377,0.4135,0.7203,0.7361,0.7357,1.7739,130.5062,10.2893,5.7161,6.7093,1.5021,5.892,1.232,0.2615,11.9175,12.4064,1.7305,0.6596,1.0471,1.391,0.2625,0.4713,2.68,36.6645,5.5147,3.4212,1.5092,8.3687,2.5272,5.6189,2.6438,8.0787,0.8366,6.7394,0
MMR_C27,2.4775,0.6862,7.8656,2.3322,0.0774,0.7108,1.1569,0.4057,0.6681,0.5979,0.5327,0.2672,0.9289,1.2622,2.3148,3.6245,37.2874,55.5152,14.3998,18.3456,2.4806,10.4353,5.7228,0.3817,63.0107,16.8586,2.8905,0.7527,0.6602,1.3963,0.1147,0.4326,1.2194,15.1264,1.3658,1.2517,4.2312,5.2585,2.2262,3.7653,1.276,1.7652,0.7456,4.6063,0
MMR_C28,8.5406,1.3186,53.1654,14.5787,0.4274,1.2971,2.2996,1.2869,2.1979,2.4837,1.371,0.5983,1.6694,3.6966,3.4094,6.8085,8.1044,7.574,46.8866,19.6018,3.6584,13.8335,3.2048,0.6994,37.6876,15.796,4.1668,1.5114,1.603,2.4282,0.1673,0.3539,0.7829,3.7268,0.664,1.4396,2.788,4.7485,2.7356,4.0646,1.1217,1.7545,0.4979,2.128,0
MMR_C29,2.8396,0.5992,7.4951,2.6502,0.0544,0.7813,1.4086,0.3757,0.4726,0.4539,0.4307,0.222,1.0551,1.1348,4.1152,3.1631,2.9699,3.3135,5.5484,175.4614,1.3334,5.049,0.4111,0.3579,8.3193,72.6581,16.6144,0.5128,0.56,2.2834,0.2507,0.2349,0.3349,1.5069,0.2726,0.8345,0.9919,1.9496,2.2886,2.7528,0.7037,0.9052,0.2794,1.3537,0
MMR_C30,0.16,0.8295,0.5404,0.2156,0.0031,0.0422,0.0499,0.0238,0.0249,0.0277,0.0209,0.0115,0.0436,0.0416,0.0559,0.1812,0.3465,0.1757,0.3513,1.7358,19.7522,3.48,0.0396,0.0122,0.6361,1.4558,3.3891,5.382,5.6992,0.6515,0.0164,0.0144,0.0205,0.0782,0.0143,0.046,0.0625,0.1686,0.2495,5.6734,0.0672,0.0965,0.043,0.3475,0
MMR_C31T33,16.4761,4.4743,62.2589,17.5982,0.472,3.3786,20.5828,7.4593,5.5037,5.0409,3.5252,2.7611,3.4328,6.796,6.6565,7.497,13.8095,5.6774,9.7972,11.1371,3.0182,82.1929,7.267,1.8639,65.3676,39.358,16.472,7.7035,12.6222,8.2309,0.957,2.312,4.8424,16.1087,3.8449,19.8127,15.8893,21.4234,11.8452,28.9709,20.8762,72.9977,8.1537,10.5952,0
MMR_D,21.4716,2.2996,71.2761,35.0237,0.3721,3.7115,9.1951,5.3037,10.6814,16.5622,9.7738,2.3271,5.9607,18.8322,21.8809,7.5731,7.4171,4.3314,5.6515,7.6231,1.3075,6.3091,108.5537,4.4691,11.7152,51.226,15.708,1.4075,1.0175,9.0095,0.8898,4.7836,4.2183,26.5304,2.1258,13.1625,37.5793,11.4776,6.2147,35.2868,21.155,18.7096,6.232,8.0632,0
MMR_E,2.1362,0.2965,5.1617,1.5547,0.0367,0.5249,0.9056,0.3185,1.2822,0.7882,0.668,0.2446,0.4726,1.1765,6.5981,1.1043,0.5203,0.3158,0.4467,0.4497,0.1164,0.5436,1.6068,3.8393,2.5239,5.5436,1.0822,0.2731,0.1385,0.9099,0.1005,0.7799,0.3099,1.0316,0.1694,1.5323,6.2255,1.4927,1.0143,8.2489,3.6622,3.321,0.7264,1.213,0
MMR_F,10.8977,1.8405,29.738,9.876,0.2852,2.1532,2.9264,1.6111,1.4416,2.9273,1.3246,0.692,1.0659,5.023,2.0455,2.8994,2.384,1.6544,2.4684,2.3333,0.5995,4.6143,8.4889,2.4605,326.7714,28.4824,10.0014,1.9221,2.1802,9.9171,0.6048,1.8716,1.9978,14.7372,1.3728,9.7561,157.0269,13.9849,4.713,51.9088,13.0072,8.3537,2.7269,3.3834,0
MMR_G,1183.0553,318.5249,163.4519,81.2678,1.991,429.8731,457.3771,47.6602,60.4693,81.055,71.0473,47.4824,49.818,64.4097,58.6301,50.2384,104.1593,47.909,74.9765,116.5312,13.5483,107.9328,27.1969,8.6877,237.7708,1200.4666,272.6179,45.6691,51.1609,50.3381,9.2959,136.7285,53.2306,141.9597,23.4686,55.6247,54.3663,91.5735,89.2209,143.1933,60.6766,106.3634,26.917,44.4354,0
MMR_H49,353.5889,88.5242,148.6564,81.3376,1.2234,122.344,59.7444,18.0566,18.6197,43.2228,22.1145,7.0219,13.5564,40.3889,28.4826,16.7109,15.6984,11.2502,13.3694,23.1951,3.3793,23.3648,12.6594,2.8603,100.6582,264.4735,191.8256,15.0632,12.6777,60.4505,9.8067,30.6777,10.1229,13.947,3.7444,21.3764,12.691,26.1927,19.92,45.9551,27.793,23.9138,6.005,14.0938,0
MMR_H50,31.485,7.3621,113.1736,12.8818,0.2648,9.307,25.5092,3.4474,4.9932,26.2728,7.0414,1.8599,4.4651,8.1526,8.3849,5.974,5.589,4.3685,5.5819,7.2841,1.9962,6.6212,2.0324,0.4786,20.4221,74.8296,25.6142,193.2967,6.9507,39.3955,0.9959,3.5354,1.7576,3.381,0.8727,2.8772,2.6824,5.7153,5.2925,10.1432,2.8418,5.7555,1.062,2.3725,0
MMR_H51,30.5831,6.0102,31.8442,7.1948,0.2281,8.9876,26.8371,1.6728,4.1826,9.2027,5.7919,2.4072,4.5801,4.8919,5.2041,5.2464,6.5763,4.3607,5.02,6.4272,1.9618,7.2527,2.1659,0.5029,22.3595,31.4176,14.1676,5.1675,31.8409,13.1964,3.0749,3.8319,3.0731,5.6052,3.2084,12.4612,4.5504,14.5364,16.3135,20.9693,7.0314,7.4158,2.0324,4.0564,0
MMR_H52,58.826,16.08,22.9543,13.2882,0.2379,20.9686,11.1811,3.0294,3.5649,9.3303,4.1678,1.5772,2.4529,6.8161,5.3743,3.814,3.9265,2.476,2.8839,6.1535,0.8343,4.6251,1.9985,0.5675,14.6752,102.755,58.7497,44.2793,45.4406,63.151,2.3607,5.2262,1.9682,4.5663,1.0007,2.5848,2.7194,5.9218,4.4261,9.3269,2.5574,3.6844,1.0588,2.1904,0
MMR_H53,1.042,0.1757,3.8411,0.7908,0.023,0.3096,0.9474,0.2087,0.6919,0.3674,0.3703,0.2694,0.2652,0.4508,0.2509,0.4545,0.8922,0.3837,0.5375,0.4408,0.1165,0.9121,1.0824,0.2376,2.2957,24.2803,2.1628,0.4509,0.6283,3.2338,11.4751,0.3751,4.0607,12.799,1.4925,20.9726,2.7885,7.3635,3.8498,12.5825,2.9799,2.5413,1.0653,2.3781,0
MMR_I,6.3531,1.6507,36.3043,7.401,0.3209,2.8088,6.7383,1.6887,2.7022,4.1803,2.7261,3.0728,2.4625,3.6237,2.955,4.3268,7.4862,3.6516,4.918,4.7267,1.1444,6.7285,4.7145,1.4009,26.3802,89.1152,22.8169,6.9418,26.6393,15.5384,1.7529,7.2069,10.1277,27.4629,10.4013,67.2307,15.3284,54.1244,38.5005,76.5943,40.6933,43.2398,12.0313,18.1109,0
MMR_J58T60,1.3633,0.3211,3.4995,1.1065,0.0376,0.984,1.6543,0.3511,2.9987,0.5622,0.6625,0.784,0.4208,0.6539,0.4254,0.6778,2.1188,0.7587,0.8437,0.7692,0.238,1.4178,0.7875,0.2312,2.8969,27.4922,1.8206,0.5693,0.9874,1.4404,0.4783,0.8932,74.7204,32.1673,5.8191,16.1959,3.9522,37.7116,5.7009,13.7797,16.5279,3.8357,5.3326,4.1576,0
MMR_J61,6.7781,1.8051,37.289,5.9962,0.2113,1.968,5.7328,1.5153,2.8618,2.1648,1.7323,1.3564,1.6201,3.0561,1.7141,4.1036,8.1179,2.8463,4.1097,4.091,0.7819,5.91,4.4992,1.0666,22.0915,96.9087,15.7818,4.2153,4.1227,10.5495,3.2396,3.121,23.2786,735.6182,18.3861,104.9959,23.2249,43.5608,24.4928,70.9518,18.9179,21.2524,6.4198,13.8362,0
MMR_J62_63,1.122,0.2638,3.7869,0.7455,0.0205,0.4985,0.8605,0.1957,0.5252,0.614,0.3182,0.3917,0.2488,0.4541,0.3064,0.4409,1.6262,0.5503,0.6488,0.861,0.1474,0.8162,1.035,0.2002,2.7472,11.4375,1.7839,0.5526,1.0152,1.3749,0.3988,0.3003,3.1845,15.2956,13.7984,18.2164,2.3512,8.0593,2.8796,8.6945,2.4816,2.3729,0.8642,1.4866,0
MMR_K,33.7556,4.5928,146.9638,21.8765,0.7328,4.0424,14.8228,4.587,7.864,11.2681,5.5345,3.618,4.7371,9.9826,7.8824,9.6421,13.2112,7.2709,9.4496,11.3601,2.6269,12.3318,16.1529,2.876,61.7437,162.5972,40.2807,12.7238,13.5545,21.4425,2.5897,4.709,10.2429,44.6959,9.0321,619.4977,427.8083,60.4385,31.781,76.1584,15.8427,19.7974,7.2713,14.1177,0
MMR_L,3.1964,0.6466,22.0943,5.0409,0.1202,1.723,8.4335,1.6242,3.3872,2.0056,1.3084,1.2398,2.0411,3.164,1.7197,4.7869,5.989,2.514,3.4349,3.8615,1.0837,7.7674,4.0278,1.0535,25.9461,201.6246,13.4722,3.4596,3.6938,17.2175,2.619,9.8236,11.2548,51.1,10.9525,71.3198,102.5507,49.8516,23.6141,44.3988,24.7233,23.8861,10.2223,20.2473,0
MMR_M,5.8168,0.9058,29.6732,5.9893,0.3486,2.5738,4.2221,0.8594,1.8042,2.5687,1.7924,2.7412,1.3323,2.374,1.693,2.449,6.2993,2.4445,2.8596,4.2291,0.8618,3.7511,3.3201,0.8667,30.157,52.006,4.8786,2.2165,2.2345,4.502,0.5642,1.3552,7.3691,22.4558,6.2218,32.372,16.2338,50.7711,10.5319,18.0632,5.9469,7.106,3.1668,4.3108,0
MMR_N,6.9739,1.0663,60.4539,9.9631,0.5412,2.8976,6.2623,1.7219,3.7104,3.3114,2.3823,2.8904,2.9302,4.4125,2.6488,5.5373,9.612,4.2765,5.6966,8.0833,1.2945,7.7807,4.7028,1.4243,36.5142,67.6399,19.2608,9.9194,11.3335,15.9838,2.3316,2.9511,10.1198,42.0308,10.2203,39.048,19.9261,34.6611,48.0482,24.125,12.1452,16.7917,4.6938,7.7109,0
MMR_O,2.9365,0.5182,4.2635,2.0882,0.037,0.877,1.001,0.5243,0.6515,0.7463,0.4555,0.3383,0.3423,0.7662,3.2874,0.7513,0.6865,0.3859,0.5234,0.7349,0.1529,0.7948,1.1177,0.7228,4.5504,9.6281,2.9943,1.0684,1.0554,2.1143,0.2021,0.5399,1.0154,3.4556,0.9123,5.1275,5.1506,3.8102,1.9188,11.0466,2.2049,2.4587,0.8259,1.1536,0
MMR_P,0.7087,0.1471,2.3179,0.3927,0.011,0.2407,0.3266,0.1155,0.1545,0.2066,0.1266,0.1945,0.1003,0.1745,0.1877,0.1884,0.4666,0.2027,0.2291,0.2541,0.0628,0.2946,0.3076,0.0768,1.0624,2.9309,0.7319,0.1886,0.5614,0.5367,0.078,0.1335,0.5534,2.3222,0.813,3.4663,0.8209,2.8321,1.3024,5.9811,10.2537,1.4394,0.3731,0.8205,0
MMR_Q,1.5667,0.4293,1.2567,0.2708,0.0121,0.5396,0.6995,0.0818,0.1396,0.1857,0.1254,0.2526,0.1124,0.1775,0.1125,0.1835,0.3038,0.1389,0.167,0.187,0.0504,0.3142,0.1585,0.0562,0.9673,2.4175,0.6457,0.1844,0.1788,0.3158,0.059,0.2841,0.2338,0.7138,0.3761,1.8945,0.5515,1.1824,0.7241,4.6979,1.8717,54.6036,0.332,0.5862,0
MMR_R,0.8188,0.168,0.8843,0.2087,0.0054,0.3202,0.3502,0.1137,0.1537,0.1211,0.0804,0.0755,0.0808,0.1282,0.0704,0.1295,0.1993,0.0989,0.1255,0.1486,0.0427,0.266,0.1527,0.0637,0.8758,2.9596,0.4376,0.2679,0.1909,0.3772,0.0609,0.482,7.6641,2.3212,0.4462,2.1002,1.1639,2.9064,1.5277,4.5698,2.7225,0.7674,16.4872,2.5663,0
MMR_S,3.698,0.8903,6.4411,2.4924,0.0763,1.1459,2.3634,0.6494,0.8556,1.1348,0.5883,0.4556,0.5598,1.3195,0.8247,0.9544,1.8359,0.7708,0.9017,1.0861,0.2194,1.7842,1.1537,0.4986,4.8847,20.577,4.7236,1.1476,1.1619,2.7848,0.4251,2.5792,3.3816,7.2708,3.0095,14.7399,5.499,11.5009,6.0217,12.2396,6.5577,19.6892,3.4148,21.1275,0
MMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
