V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_H52,8.7965,0.3989,1.0544,0.8642,0.3111,23.6478,4.3192,5.2155,4.6994,2.1211,13.6379,1.4795,3.2259,5.9089,4.373,2.4714,1.7525,1.9211,3.7393,3.9523,0.8996,2.9375,1.7594,1.0267,4.6205,40.6527,43.4943,78.8583,75.5067,28.6007,1.4023,1.1513,1.2457,1.4781,0.9814,0.7558,0.3122,2.2592,1.7951,4.5513,0.6667,1.0826,0.712,1.7904,0
BLR_H53,2.4668,0.0302,0.2474,0.0706,0.0439,3.2457,1.4704,0.8219,1.1654,0.1544,2.8707,0.5374,0.8174,0.7337,0.4914,0.5314,0.6281,0.5371,1.2223,0.4136,0.2423,1.1917,1.7435,0.581,2.2009,12.4942,2.1019,1.0394,1.3158,1.8553,8.8276,1.4321,4.09,5.7386,2.166,9.403,0.6091,4.2204,2.2062,10.8373,2.0418,2.7232,1.5336,4.0436,0
BLR_I,6.9079,0.1677,1.2273,0.314,0.3265,15.5887,5.5384,3.627,2.7732,0.9371,11.0765,3.2615,4.0492,3.16,3.1593,2.6743,2.8209,2.728,5.8872,2.3644,1.2848,4.6269,3.9887,1.8867,13.4456,23.6299,11.6569,8.6405,30.2983,4.6623,0.7058,14.6797,4.75,6.5174,7.9678,15.8217,1.7504,15.951,12.1693,34.4008,14.5421,24.491,8.9381,15.7071,0
BLR_J58T60,2.1137,0.0387,0.2213,0.092,0.0705,11.9462,2.379,1.3217,4.3384,0.2334,4.9795,1.6908,1.2628,1.0396,0.8387,0.7666,1.4454,1.0422,1.86,0.7237,0.48,1.7881,1.1861,0.5536,2.6445,13.7685,1.6423,1.323,2.0136,0.7779,0.3342,2.9535,51.1084,11.5415,7.3098,6.8053,0.8092,22.8078,3.1001,10.6389,10.2135,3.7548,6.3671,6.3018,0
BLR_J61,6.6018,0.1635,1.027,0.2519,0.1791,9.1824,3.8237,2.6725,2.2414,0.4032,5.765,1.2111,2.1826,2.1896,1.5409,2.0668,2.6397,1.7549,4.0241,1.6689,0.7105,3.3416,3.0779,1.1289,9.3144,20.9485,6.543,4.3183,3.853,2.5775,1.0959,5.2491,8.6165,140.0965,10.8859,19.6828,2.1193,10.8241,5.7701,25.7612,5.4801,9.4015,3.9354,9.6902,0
BLR_J62_63,1.2147,0.017,0.1098,0.0408,0.0344,3.2048,0.9455,0.5066,0.5746,0.1312,1.3404,0.4327,0.4613,0.411,0.4197,0.2806,0.7641,0.4137,0.8139,0.3571,0.1438,0.574,0.3756,0.1429,1.2406,3.1186,0.6498,0.7292,0.857,0.2386,0.0632,0.5185,1.1841,1.3699,1.8383,1.2172,0.1776,1.4005,0.5257,1.3795,0.6015,0.6629,0.4016,0.8137,0
BLR_K,110.3149,1.4421,9.7007,2.2427,1.4351,67.8343,23.7661,19.0148,16.8065,5.0188,43.7938,7.483,14.6267,16.8212,16.1855,11.5343,9.7298,10.5217,21.9732,11.006,5.4986,16.5538,26.9736,7.2961,60.9982,84.0738,38.3918,30.0402,29.0821,12.5853,2.041,19.4081,9.7957,20.9425,13.3861,322.5552,75.7409,35.4551,19.856,68.1027,11.1954,21.1924,10.8568,23.7554,0
BLR_L,7.9041,0.1519,1.3636,0.4654,0.2253,25.848,12.8719,6.2197,5.7655,0.8348,9.8551,2.4114,6.1708,5.0376,3.3539,5.465,4.1112,3.4348,7.5886,3.5506,2.1588,9.7781,6.2152,2.7326,24.6212,96.6256,12.7483,7.8896,7.7156,9.6045,1.9562,44.3568,9.8727,22.3569,15.4712,31.0891,20.8506,27.5478,13.4213,37.195,16.4657,24.6138,14.2597,30.809,0
BLR_M,31.3657,0.3231,4.4014,1.2328,1.3793,71.7149,15.4189,8.2025,9.3051,2.7416,34.3025,14.469,10.2669,9.5471,8.6037,7.0723,11.5303,8.7221,15.4115,9.834,4.3429,12.1486,12.9075,5.1116,49.7275,71.5563,11.4879,13.4799,11.5554,6.7218,1.1162,13.0879,18.1203,26.2267,23.5576,41.3319,8.8974,68.5461,16.2919,36.4827,10.2568,18.8206,12.0657,19.0313,0
BLR_N,22.1601,0.3599,5.8774,1.5221,1.5242,56.3025,15.6212,11.1206,11.1869,2.6732,28.6613,9.0427,13.4362,11.5777,8.1767,9.5674,9.755,8.8455,18.7057,11.1224,4.1145,14.7321,13.2088,6.4892,53.192,59.6479,26.9161,31.2304,33.759,15.0159,2.9085,19.0353,14.7646,30.8948,23.9421,33.8566,10.9553,33.3614,39.9809,47.6971,17.2623,32.2392,13.1362,22.3707,0
BLR_O,3.4111,0.0502,0.2966,0.1417,0.0754,4.9776,1.2925,1.3456,1.2818,0.304,2.9716,0.6941,0.9622,1.0525,5.0089,0.7876,0.5101,0.5316,1.1338,0.6938,0.3095,0.9575,1.5966,1.6461,4.5934,5.0753,2.9567,2.543,2.2998,1.28,0.162,1.6977,0.8718,1.5825,1.0833,2.4769,1.148,2.3837,1.2201,9.6022,1.4711,2.503,1.0534,1.8346,0
BLR_P,0.9312,0.0167,0.1844,0.039,0.0323,1.6666,0.4601,0.3484,0.334,0.1049,1.0989,0.5369,0.3616,0.3305,0.4271,0.2581,0.426,0.3661,0.6354,0.3328,0.1709,0.4281,0.5802,0.224,1.2215,1.7305,0.8298,0.5134,1.3573,0.3628,0.0689,0.428,0.5665,1.198,1.2682,1.8077,0.2137,2.0533,0.7838,6.1248,8.2925,1.7693,0.5872,1.6073,0
BLR_Q,1.2314,0.024,0.0777,0.0215,0.0226,1.7814,0.5817,0.2483,0.2561,0.0697,0.6445,0.42,0.2823,0.2669,0.2049,0.1996,0.2131,0.1871,0.3593,0.1705,0.0975,0.3457,0.2449,0.1268,0.8657,1.1678,0.5582,0.3894,0.3383,0.175,0.0423,0.5324,0.2183,0.3122,0.4732,0.8039,0.1219,0.6822,0.3507,3.6476,1.1551,50.2992,0.4256,0.8244,0
BLR_R,0.6283,0.0101,0.0563,0.0203,0.0121,1.6952,0.3635,0.2929,0.2194,0.0459,0.495,0.1608,0.2063,0.178,0.1276,0.1326,0.1349,0.1263,0.2536,0.1275,0.0716,0.2847,0.2073,0.1376,0.744,1.4103,0.3691,0.5456,0.4018,0.1796,0.0395,1.0595,3.3779,0.8418,0.5318,0.784,0.214,1.3118,0.6448,2.5049,1.1758,0.6117,13.6073,3.2264,0
BLR_S,5.4522,0.1142,0.4291,0.2382,0.1706,8.8045,2.9472,2.3092,1.7868,0.4715,3.9645,0.8284,1.752,2.0357,1.6157,1.0583,1.4064,1.0831,1.9768,0.9839,0.416,2.1431,1.7284,1.1423,4.2301,10.6101,4.2509,2.2969,2.4799,1.3614,0.3234,6.6296,2.5273,3.4441,4.6989,6.3521,1.1451,5.6738,3.1597,9.7582,4.0335,15.2402,3.6464,27.5836,0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
