V1,ZAF_A01_02,ZAF_A03,ZAF_B05_06,ZAF_B07_08,ZAF_B09,ZAF_C10T12,ZAF_C13T15,ZAF_C16,ZAF_C17_18,ZAF_C19,ZAF_C20,ZAF_C21,ZAF_C22,ZAF_C23,ZAF_C24,ZAF_C25,ZAF_C26,ZAF_C27,ZAF_C28,ZAF_C29,ZAF_C30,ZAF_C31T33,ZAF_D,ZAF_E,ZAF_F,ZAF_G,ZAF_H49,ZAF_H50,ZAF_H51,ZAF_H52,ZAF_H53,ZAF_I,ZAF_J58T60,ZAF_J61,ZAF_J62_63,ZAF_K,ZAF_L,ZAF_M,ZAF_N,ZAF_O,ZAF_P,ZAF_Q,ZAF_R,ZAF_S,ZAF_T
ZAF_J62_63,130.0293,3.39,158.9205,526.3769,5.6979,136.1347,28.2637,7.5834,40.3656,41.2616,43.464,14.3171,11.6299,18.2912,16.5991,13.8748,69.7943,158.0235,48.3114,58.3015,9.4731,13.8533,281.2244,151.1976,494.9555,739.116,83.7822,6.8197,45.7953,227.1189,19.2019,179.3256,89.9536,515.1039,961.7176,1123.8205,105.3206,411.3973,228.4003,595.0347,40.0045,206.3457,63.3379,51.0029,0.0
ZAF_K,857.0813,16.7494,209.0063,386.5973,7.7354,398.3748,100.9806,36.2077,68.7705,113.6228,147.8752,38.299,61.9512,56.3302,55.218,83.1619,27.0818,37.8056,101.8132,113.8512,16.6997,99.0311,282.8317,100.0074,453.4832,4401.3931,303.4779,6.9766,47.9482,921.5025,61.3857,328.3332,91.7637,216.912,98.1068,9837.3314,2703.2023,689.6957,695.9596,1686.4132,74.5941,462.3478,129.3424,112.4885,0.0
ZAF_L,349.2399,1.1975,21.0861,43.2771,1.9179,104.1947,51.6753,17.193,57.6826,17.4792,56.5466,18.5483,30.5024,22.1398,6.4655,47.3621,13.6473,10.9597,50.5492,21.1106,13.8894,62.6393,55.3237,109.2979,85.3099,2545.9415,142.8631,2.5726,12.5862,844.9133,44.9612,455.6468,47.2606,350.95,120.0426,2366.1299,852.0584,532.0258,518.3315,1489.7299,24.4457,462.2666,48.3901,52.8313,0.0
ZAF_M,625.4069,7.0093,481.7461,1271.7287,41.2705,407.3812,57.4446,25.9225,106.5842,143.1955,163.385,78.8511,35.6148,56.5384,44.1726,44.7308,14.494,11.8786,62.2611,67.2229,16.9143,37.1187,731.509,412.8603,265.117,1874.1953,212.8623,17.1039,85.0852,411.7399,25.2804,429.719,129.6729,639.4446,527.5627,1735.945,603.0012,2903.5702,801.0748,1316.5867,99.7459,458.4842,164.2345,164.8311,0.0
ZAF_N,518.6375,5.0078,278.8039,732.859,18.9295,329.3204,52.1944,23.078,89.885,79.3211,109.1053,44.6417,30.0338,42.7606,39.215,41.2441,12.0749,9.3424,48.2154,51.147,12.7111,44.023,429.4552,251.6268,154.4393,1896.7239,267.326,18.1314,158.3238,615.6697,46.2378,577.3352,136.2751,767.0782,562.797,1489.0585,808.1211,1315.0168,1896.8865,1064.4178,309.4586,806.0656,232.9061,177.3231,0.0
ZAF_O,24.7207,3.9017,287.9351,1183.7426,6.7433,213.8513,29.6951,10.3458,80.3473,50.7044,84.6159,36.7837,20.3773,33.8987,19.5449,19.2227,9.2136,9.1412,37.0761,51.5295,8.2575,29.6859,64.0058,62.7567,112.827,1354.4319,95.0331,6.5261,74.9971,118.5333,16.1964,311.7417,85.8662,570.4528,1129.6483,100.8637,644.1348,2061.7635,450.9762,513.2872,50.9062,397.6304,108.9961,132.9459,0.0
ZAF_P,37.9075,0.6794,51.0369,158.962,3.2472,46.8308,9.1449,3.5854,13.0814,12.1567,22.6586,15.6587,6.3014,5.8387,4.1801,5.4861,4.4353,2.8651,14.7181,12.1135,2.3818,4.4266,79.6772,40.7785,40.6932,153.4764,27.923,1.7135,32.9053,70.798,3.2785,42.4372,11.968,54.1777,284.8974,301.6862,185.9779,507.4599,254.377,468.8773,153.1218,86.3845,11.5073,32.6122,0.0
ZAF_Q,395.5688,8.8052,143.3371,519.8861,2.7109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2939,174.5188,0.0,0.0,52.2284,0.5301,7.8107,22.1704,0.4077,0.0,26.721,70.7741,22.2173,165.0117,84.7124,73.5387,313.9122,150.0419,0.2278,601.6653,155.6213,1.7533,0.0
ZAF_R,38.8907,0.0772,3.7942,3.9148,0.2128,3.3865,1.8274,0.6952,1.4042,0.4324,1.8204,0.7087,0.7326,0.6577,0.3218,2.306,1.09,0.6192,2.7224,0.5416,1.2707,3.7886,14.5026,0.9927,13.0521,68.0867,3.3334,1.0307,0.3405,11.4135,0.3191,18.2125,0.9639,1.8907,3.9362,6.9403,61.4762,26.9171,34.8065,74.8646,20.9126,16.8891,3.1301,3.0789,0.0
ZAF_S,41.3507,0.5132,48.3119,193.3887,0.0719,196.6569,34.1096,13.2304,75.9807,46.9942,54.3819,17.9952,19.6141,16.5733,30.4423,27.2136,8.0321,10.9423,37.1345,69.7573,6.3945,25.2818,1.5503,12.096,21.3513,14.4442,66.7831,1.082,7.4782,32.0024,2.2897,18.9569,12.5596,64.7216,48.7327,7.4103,142.2383,141.2351,58.2836,20.4771,34.1994,7.625,0.4974,11.1154,0.0
ZAF_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
