V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_C20,114.5352,0.4483,0.4083,0.7539,0.1921,113.4449,38.1028,1.7177,24.8154,31.0295,179.6105,21.5352,220.006,14.2263,32.6931,45.4969,3.0603,14.6,3.0353,0.4156,0.3851,11.037,8.2901,9.4456,11.6904,55.4607,7.4982,10.2978,3.0891,4.0541,0.8118,105.7275,4.285,7.7121,1.6221,3.1985,85.3385,12.4129,27.6006,15.7632,12.8371,85.8917,5.7835,7.1042,0.0
GRC_C21,8.4069,0.3685,0.2329,2.8037,0.0203,11.8278,3.3377,0.2653,1.3212,6.5557,3.2847,30.3183,2.32,0.8001,3.1741,1.3647,0.4318,0.5842,0.3078,0.0389,0.2081,0.7744,3.8143,1.2084,4.7836,18.3416,2.9291,3.5984,1.1563,1.9044,0.3157,15.0901,1.3571,4.4104,0.6727,1.2712,4.3665,8.9698,2.8464,4.3054,3.0115,261.9383,0.8915,2.0876,0.0
GRC_C22,31.1552,0.3058,0.1558,0.2507,0.1113,66.2914,7.8515,1.2889,12.0731,2.8661,4.798,15.938,17.5555,8.239,7.7857,25.6377,7.7791,5.2159,14.274,1.0726,1.5175,10.4851,15.7102,2.077,63.4027,698.9256,84.907,2.626,37.7894,7.602,9.7347,28.0034,1.0004,57.7925,6.621,1.3734,64.6416,71.8867,20.0665,4.3547,1.3469,5.997,2.2847,24.7195,0.0
GRC_C23,3.6151,0.2209,1.1272,2.1009,0.1731,32.8492,1.7673,0.2388,1.2689,3.8904,7.1216,9.3167,3.4468,214.5342,8.8488,5.3204,2.0139,11.9447,4.2964,0.5225,0.5474,4.8994,12.7031,0.7749,748.5909,25.11,4.9962,2.9959,2.1171,3.5453,0.578,85.5106,1.8402,6.5454,1.1368,1.2536,55.6066,6.9843,4.4805,2.284,0.9637,16.0267,1.9996,2.0403,0.0
GRC_C24,0.0,0.0,0.0024,0.0042,0.1034,38.7259,0.9159,0.0966,1.2576,0.0265,4.595,6.928,1.4989,2.0495,563.5446,187.4304,9.8859,249.8109,32.4491,4.2096,3.2283,41.8994,6.3353,21.8422,72.6663,2.629,0.0873,0.1149,0.0,0.0,0.0,0.0,0.7472,0.0,0.4619,0.7878,0.0051,0.0001,0.0,9.1035,0.8011,0.1681,0.4329,0.0038,0.0
GRC_C25,24.139,2.8131,2.7637,1.5664,0.4857,230.8792,61.0076,1.8488,9.8334,6.0313,21.4289,36.9062,24.6266,11.837,24.2457,162.6908,20.3021,29.519,29.9578,4.8881,7.3362,38.5621,69.2926,6.6722,659.147,50.4176,10.8376,6.2903,3.2602,17.0821,0.8486,111.9654,3.4447,6.1972,4.849,4.6441,1.8983,9.2552,19.7233,91.2444,6.9027,14.2075,45.9988,9.7376,0.0
GRC_C26,9.154,0.4415,0.0623,0.1353,0.0485,8.8064,0.8293,0.1291,0.6923,1.3839,0.8589,1.4699,0.5896,1.8542,2.686,2.8439,15.6144,0.7496,1.2124,0.5271,0.2015,2.216,14.9486,4.0787,7.5993,21.7656,6.76,1.1097,2.7327,13.4915,0.6986,8.7643,5.1634,2.4032,3.8516,1.2577,0.1639,4.7219,4.9952,5.3752,5.4811,10.5708,1.776,3.9382,0.0
GRC_C27,7.5346,0.3812,0.0871,0.145,0.0694,15.5416,1.6871,0.2803,1.5207,3.4503,1.8298,2.1017,1.5389,4.1527,5.4605,10.2014,33.5284,27.9078,7.2673,0.6733,0.3437,3.2549,34.9972,21.5861,72.7643,246.6697,18.7117,1.8577,5.6465,15.1388,1.4542,33.0554,10.9821,18.8277,5.8573,0.4747,0.7308,28.0666,2.9309,3.8103,2.4408,3.5664,1.1348,5.1245,0.0
GRC_C28,12.1395,0.5861,0.2216,0.3788,0.1523,17.8177,1.3382,0.1548,0.8926,1.6649,1.682,2.9506,1.1267,2.17,3.0239,7.8603,1.5819,2.6314,5.8277,0.3699,0.4204,3.0366,14.5157,4.0313,26.9374,14.7984,9.8235,1.8518,2.2581,16.0997,0.5886,17.7705,1.5284,2.7618,3.7258,1.2104,0.6653,3.4185,4.6854,7.9702,4.8938,4.5592,2.3904,3.1312,0.0
GRC_C29,1.4867,0.0729,0.0185,0.0361,0.0073,0.9913,0.0867,0.0156,0.0671,0.2418,0.0965,0.182,0.0751,0.1194,0.1265,0.3322,0.0933,0.0935,0.1415,0.2681,0.0271,0.2401,0.3803,0.8583,1.283,1.2241,1.1641,0.2303,0.7487,2.6674,0.1924,1.3018,0.0905,0.2565,0.4008,0.0578,0.0348,0.3036,0.4088,1.0306,0.3425,0.5431,0.219,0.9002,0.0
GRC_C30,0.0,2.5113,0.0831,0.1652,0.0007,1.634,0.177,0.0142,0.1153,0.0594,0.0888,0.2547,0.0921,0.2262,0.5232,0.3962,0.0498,0.0678,0.103,0.0235,3.6409,1.5276,0.0836,0.0121,0.0803,0.1946,4.1146,6.1644,0.3082,0.5422,0.0748,2.6393,0.0165,0.0128,0.0027,0.0,0.0,0.0227,0.6145,0.1348,0.0069,0.0976,0.0,0.5929,0.0
GRC_C31T33,90.2992,4.373,0.4701,0.7205,0.3709,44.9117,3.7359,5.2095,1.5557,2.1996,4.1602,8.256,2.8469,2.9614,4.5488,16.3774,2.5136,3.0337,6.6171,1.015,1.6018,21.3022,14.6827,21.4181,82.7903,28.1189,31.582,8.1067,6.5382,109.9584,1.6874,69.753,3.4713,5.1239,23.8571,5.485,2.9747,8.7669,16.9831,52.2478,18.8001,204.0016,13.6088,20.7448,0.0
GRC_D,194.2034,0.6407,4.9838,3.1845,0.8014,523.2012,65.4861,7.672,44.4611,56.8894,54.9355,80.3533,52.6028,149.4584,720.6567,109.3101,13.0693,18.0251,15.809,3.8872,9.6123,36.3182,1754.5943,729.62,33.8603,261.8877,82.866,21.4057,31.4703,360.4388,8.0722,281.0589,48.9761,75.7714,10.0231,33.2382,21.0563,67.2032,93.5933,270.9681,126.9797,225.1657,153.9287,125.6139,0.0
GRC_E,143.8808,0.0157,0.1027,0.0941,0.1554,7.855,0.8461,0.0709,2.9027,0.4853,0.5531,15.8081,11.064,1.2071,82.5076,1.8572,0.2667,0.397,8.073,0.122,0.2056,1.1626,2.2557,231.5178,3.2746,232.5374,3.3774,3.3022,1.7107,25.5871,0.4475,132.4149,5.0075,79.4468,47.4559,34.7957,129.0983,58.0094,13.7316,74.8616,46.2547,48.5411,36.649,19.8519,0.0
GRC_F,9.1911,0.045,0.2923,0.1315,0.272,41.1193,5.6176,0.9809,5.2735,11.1542,15.0993,2.2602,8.0213,8.789,15.2643,0.2128,0.2653,1.1096,0.3377,0.3835,0.2771,2.1664,5.2358,13.2714,222.1231,101.5458,261.1314,4.5596,0.7656,11.3362,0.196,29.4674,3.2812,6.9661,1.1385,49.1649,892.8223,19.6288,23.2852,42.5418,59.0885,44.8536,21.9011,66.2716,0.0
GRC_G,964.56,54.012,5.8226,24.9761,1.5305,1635.2869,220.4656,39.6853,233.651,933.7971,207.145,109.7908,202.3628,142.3294,192.6218,191.2876,74.4261,87.3229,48.8295,10.7007,13.5983,104.8781,507.9098,101.2092,607.8894,1733.361,363.5684,567.3702,211.8447,209.2499,65.546,2098.2717,55.7801,295.441,56.7865,99.076,129.0229,368.3615,295.2253,312.0715,94.8731,607.1646,76.8013,199.8612,0.0
GRC_H49,93.326,6.0692,2.3915,15.2928,0.4825,329.0997,25.3764,6.9879,33.6398,218.8389,41.752,21.4529,29.105,85.3746,59.6043,44.2343,10.2637,15.0623,12.3571,1.609,3.1492,17.137,55.0886,11.3529,91.2917,406.9014,40.8967,73.8143,37.3121,49.3648,9.5327,156.394,5.0575,39.1561,17.6096,5.6185,10.3421,127.2253,139.1701,58.7492,18.2829,41.0773,14.7182,85.5907,0.0
GRC_H50,12.6972,1.1698,0.0707,0.3943,0.0491,20.1095,3.8312,0.6962,4.1773,112.3406,5.0672,3.7237,4.5212,2.4485,4.9559,4.6762,1.9778,2.185,2.2143,0.2103,0.991,3.2518,11.6373,2.1484,9.1611,80.0597,24.7164,929.4755,12.9768,10.1659,3.5053,20.6734,2.5781,11.3859,3.9009,2.1861,3.7398,8.732,7.3007,3.9931,1.7583,10.3472,2.0049,5.9807,0.0
GRC_H51,5.5641,0.3047,0.0239,0.2814,0.0442,11.653,1.4342,0.3579,1.7998,23.1773,2.0377,2.2501,1.5866,1.4006,2.2432,2.2373,0.9484,0.992,0.9243,0.0995,0.3378,1.6228,5.826,0.692,4.8891,31.8717,1.2187,3.9576,0.6829,1.3127,0.1759,11.773,1.907,5.2351,2.8409,1.2842,0.8232,4.8867,20.2845,16.3601,0.4632,3.1883,0.7643,25.3624,0.0
GRC_H52,25.4505,14.9682,0.1032,5.5348,0.3841,76.9175,5.5277,1.5385,6.8302,86.0945,8.0058,13.9145,5.8791,10.0767,10.2781,12.0637,1.88,3.0386,2.458,0.349,0.5828,4.8403,24.4196,5.7583,21.6852,2329.8885,178.0746,394.4301,209.4447,328.7908,68.5028,55.8173,40.1999,314.5653,86.1485,8.1895,2.7705,76.6202,86.5672,12.8001,1.9533,10.2452,2.1822,11.0367,0.0
GRC_H53,16.3251,0.0488,0.7942,3.6645,0.0324,12.8157,2.0717,0.0458,0.2508,1.3746,0.2571,5.7638,0.191,0.4716,1.8271,0.2847,0.0713,0.0973,0.0784,0.0099,0.2008,0.1287,1.5649,1.8074,0.7019,342.4291,13.241,0.7505,0.5162,0.6965,0.1433,85.9565,33.2979,54.74,104.3463,59.7878,0.2083,31.7577,139.2753,21.742,0.135,2.4874,3.8038,25.927,0.0
GRC_I,0.0007,0.0,0.6152,0.7928,0.2741,16.3962,2.9658,0.2307,1.1835,0.5985,4.6675,10.7555,1.1801,3.2287,4.1406,5.7152,3.6917,1.8597,3.6419,0.2566,0.8486,5.4237,16.6659,0.3971,0.2731,17.3852,9.5584,8.2963,0.9717,7.6775,0.2561,0.0,26.8749,6.2851,28.9495,33.6603,14.5152,13.6412,410.8913,96.0988,0.2098,5.107,4.5783,573.5437,0.0
GRC_J58T60,0.2558,0.003,0.8925,1.6124,0.0251,16.8199,2.0956,0.0868,0.5234,0.1781,1.5369,6.7084,0.6082,1.5593,2.1201,1.8493,0.7412,0.9525,1.0756,0.3256,0.417,1.7403,33.4165,4.7758,6.1768,85.0092,12.1672,1.9897,5.905,11.473,1.5082,87.113,150.6115,28.1728,13.4061,16.5141,2.1269,111.416,38.2117,47.4457,53.5194,7.1382,34.8629,4.5343,0.0
GRC_J61,26.282,1.9544,0.0745,0.6846,0.1617,49.2367,10.7098,0.9563,4.4411,2.0463,6.0572,16.8846,3.8816,7.941,7.7681,15.2668,6.6365,2.6595,5.6358,0.8375,0.7481,10.6931,36.3191,10.8898,22.7337,496.0477,42.026,9.616,14.6787,39.1442,3.7268,118.6627,40.0474,167.6296,19.0063,138.2819,23.183,161.5172,164.5449,109.0529,24.6532,40.1516,24.9597,38.9791,0.0
GRC_J62_63,0.0515,0.0085,0.2978,3.8056,0.077,10.5567,2.2274,0.1558,0.5783,0.0599,1.263,48.4383,0.5456,1.342,2.3332,3.2051,1.0804,1.7747,1.2954,0.2877,0.811,1.8464,13.909,2.4476,5.4923,7.7194,75.2844,1.182,36.5575,3.611,9.3135,36.159,265.4803,21.7855,101.9375,89.4571,1.267,123.9802,105.6884,13.1156,11.3205,1.4491,59.3393,9.8465,0.0
GRC_K,324.2327,26.0708,3.7073,10.2929,0.8988,257.1323,25.4791,4.1758,35.2025,81.7121,43.7899,88.5511,34.3661,42.2529,72.3598,51.972,17.4648,19.0198,15.3797,2.1057,2.6163,27.4824,154.4381,37.1177,205.9999,843.5299,238.6875,310.9296,116.4585,175.0405,34.8864,242.6549,89.581,132.2511,78.6175,1170.4874,845.7932,189.3547,275.5571,771.3535,46.6899,127.6734,246.7752,225.8539,0.0
GRC_L,23.4636,0.2965,0.6747,8.0098,0.1717,134.0519,39.1926,2.3246,8.3731,8.8049,11.347,89.5083,9.2644,22.1213,23.1037,38.5079,10.7936,5.9284,11.2707,0.7445,1.8279,36.6339,635.5539,12.7258,201.4305,4336.9651,57.787,82.6877,16.0188,301.3105,4.0804,244.6147,43.8961,1369.2295,152.3552,247.3984,24.4121,1224.2199,439.7092,148.7243,40.9478,22.8796,85.2641,224.7804,0.0
GRC_M,39.2908,2.3065,5.1137,93.8695,2.0206,698.3533,62.3022,6.5257,35.2511,27.0355,98.4079,299.4835,31.0741,70.6539,185.3097,111.9706,58.3968,31.0965,39.6559,6.3106,13.8662,66.3783,53.463,61.1732,761.1465,986.5046,308.0735,195.321,159.6147,253.7388,40.6517,181.4853,100.8497,311.717,112.6532,467.1953,140.6865,441.9663,358.53,436.5515,37.4584,58.9165,134.5335,91.046,0.0
GRC_N,6.2846,0.4215,2.3506,27.5679,1.4228,10.9648,2.0896,0.5996,0.4362,11.2732,0.7607,119.6547,1.34,5.2076,8.4133,2.2925,3.4188,1.0866,3.6896,0.556,1.6196,1.7272,37.7431,38.5866,46.4192,187.6537,312.3624,70.9111,142.553,36.2154,35.6184,280.4326,34.0894,46.6873,10.7137,92.7585,11.2686,295.3372,466.8008,249.0837,64.5501,229.3063,108.21,64.2336,0.0
GRC_O,0.2223,0.0464,0.5943,1.1836,0.0516,99.5568,8.5409,1.5442,12.5297,38.7363,15.1625,14.7697,12.7903,13.0756,26.4417,17.4031,5.3251,6.9921,4.3728,0.5885,0.4717,7.7165,92.4656,6.2341,71.1478,184.0436,52.6364,10.8966,16.4856,28.5827,5.2011,53.2079,20.8557,36.2204,12.7154,49.5424,15.3533,53.8391,42.0099,31.2685,6.682,23.2177,33.7364,8.9217,0.0
GRC_P,0.0065,0.062,1.6121,2.8566,0.0334,0.1424,0.0329,0.0022,0.008,0.0028,0.0157,2.5189,0.0079,0.0194,0.0297,0.1614,0.0139,0.0197,0.0162,0.0031,0.0088,0.0284,8.7202,6.2623,0.1055,3.0672,0.7931,0.1099,0.3792,0.1527,0.0966,1.8577,4.532,1.2225,14.3588,15.3552,0.0683,27.546,6.8458,49.737,138.59,48.8073,8.5425,9.6933,0.0
GRC_Q,2.4834,0.0238,0.0029,0.0362,0.0241,0.3064,0.0848,0.0052,1.1493,0.0165,0.0279,1.6609,0.0201,0.0483,0.0556,0.0891,0.026,0.0209,0.0281,0.003,0.0079,0.078,1.4013,0.2493,0.4006,8.045,5.1099,0.3818,1.2672,0.668,0.3227,0.6544,2.2704,2.655,3.5381,26.6063,0.0551,13.7915,2.6507,912.038,0.8252,88.8212,0.9886,27.4677,0.0
GRC_R,0.0123,0.0003,0.0008,0.0093,0.0023,0.084,0.0234,0.0014,0.0117,0.0046,0.0076,1.3913,0.0354,0.0133,0.2385,0.0244,0.0071,0.0055,0.0288,0.0008,0.002,0.0216,0.3951,0.5027,0.114,2.9087,0.805,0.1175,0.0592,0.1921,0.0151,21.9342,114.5036,0.9625,0.273,104.4356,0.3716,122.6556,72.6012,12.6886,27.3189,0.6333,635.8838,26.1469,0.0
GRC_S,18.7084,0.0028,0.3395,3.1057,0.0897,45.5738,5.7426,0.5022,2.7355,3.8711,4.3797,20.4181,2.4549,10.843,13.2291,11.502,4.2813,2.7477,3.0504,0.5838,0.9033,6.5306,59.5197,9.0468,26.964,208.6796,6.9317,4.1791,1.3937,20.5862,0.3518,98.507,7.9293,38.9668,52.9207,10.4357,1.013,89.6765,25.8101,48.4706,0.8317,35.1431,1.9136,64.1633,0.0
GRC_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
