V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_J61,115.1101,4.1469,4.2739,1.6142,1.5378,39.6159,2.8957,4.3444,7.5839,9.6885,3.2703,1.8912,5.8933,6.3321,1.7726,12.6598,8.6301,4.9628,5.4336,1.2994,1.4053,13.7606,27.0391,9.0579,106.7326,196.0696,28.0193,0.435,15.0624,19.2616,10.481,22.279,48.5601,399.744,107.7298,151.3596,44.35,87.8475,81.5896,172.3226,64.658,82.2007,34.5,39.4029,0.0
NZL_J62_63,52.0902,4.8501,3.2242,3.6609,2.6748,70.4331,4.5258,7.4603,14.0147,20.9751,4.2776,2.2168,6.9195,7.8702,3.8922,15.4086,8.8904,7.715,6.0304,2.6386,3.8293,7.7575,24.342,5.0524,52.6577,181.1124,22.4563,0.7896,30.2717,18.094,7.2649,25.1097,63.098,176.6361,165.9315,248.3468,119.4831,118.048,117.4741,188.0748,30.3962,68.0673,40.4892,23.5123,0.0
NZL_K,783.3673,19.1892,32.7841,8.6375,6.305,238.7754,20.0706,39.1794,39.9797,88.3572,20.5924,5.3784,42.7376,42.398,50.6524,55.9439,30.2945,15.3909,21.0087,13.2519,11.7166,124.4161,100.6069,51.618,441.7206,1629.3202,89.8521,5.5776,48.9694,67.4014,20.7858,189.3166,103.1731,41.9618,81.8705,4486.8495,3019.5981,421.321,443.3943,415.3577,192.2589,320.4064,159.9021,205.5687,0.0
NZL_L,122.7008,20.6899,14.1272,8.2207,6.7058,186.9557,18.5183,29.0963,39.9033,42.2102,10.6941,7.7055,34.3118,23.2217,9.2152,72.1181,24.5374,15.3966,20.2564,13.1963,9.7423,56.5254,27.2261,17.4617,157.4936,1303.5774,147.3118,3.5651,61.4839,40.8117,17.6729,249.8882,109.3599,79.5317,161.4006,311.7571,1339.4744,310.1475,421.7485,111.2018,63.9612,220.1727,67.7601,76.1318,0.0
NZL_M,448.9183,42.0729,53.6127,16.4762,21.7118,988.72,41.7307,39.9109,63.2662,151.9427,28.3289,23.6294,67.8864,85.8135,33.461,156.389,112.2874,87.0868,84.5883,11.0631,13.1434,68.9074,455.5387,116.7371,1411.6625,2437.2595,102.7631,5.803,126.0114,113.802,54.9177,303.7664,170.1498,124.6388,272.7558,953.0683,730.8417,2773.4445,913.4521,771.6724,332.2484,498.9443,322.6528,340.4857,0.0
NZL_N,436.8089,28.0978,37.9218,14.4518,12.6034,922.6676,27.7007,91.9979,60.1113,32.5224,11.6153,7.4192,24.5991,25.2355,14.2142,52.0781,12.1224,16.6197,18.6991,8.9255,5.8485,51.4944,47.4051,33.8397,309.833,1328.5955,108.8086,4.1781,85.0354,72.8524,17.2111,207.6689,104.0999,63.4353,115.2348,378.6773,544.8584,486.6476,380.598,526.3021,257.4367,281.1726,101.8133,127.3018,0.0
NZL_O,65.7863,3.9703,20.8424,12.1939,3.3412,68.4514,3.8649,12.0415,12.6738,9.9185,2.1825,1.2967,9.7421,3.0717,7.7437,14.4138,3.5511,2.1244,2.588,1.7517,0.6396,14.5763,38.1252,21.9431,153.6062,252.4489,16.0973,1.2388,11.1092,10.4492,13.881,68.1093,27.7674,13.4186,21.3455,62.0943,141.1578,150.3677,148.8847,244.7908,104.5343,80.1737,40.4475,46.956,0.0
NZL_P,41.7253,3.3178,7.0192,3.3426,5.2891,61.7543,1.4476,9.2865,8.6369,9.8904,4.9021,1.5515,5.7652,2.7202,3.2551,13.018,2.7336,5.6057,8.3943,1.7003,2.0393,2.2543,26.1063,4.6722,56.8303,64.0498,16.9226,0.8743,16.7134,4.5016,1.6923,7.1366,21.0056,10.4564,48.3883,40.2117,32.8119,171.3341,61.9151,514.9212,392.6308,216.8351,17.6013,78.9242,0.0
NZL_Q,5.9535,0.4376,0.3159,0.2463,0.2657,8.3951,0.4555,0.943,1.5413,1.1616,1.4402,0.9646,1.3214,0.822,0.8682,1.4936,0.7738,0.5516,0.525,0.2377,0.1908,1.2177,1.328,0.8384,9.7957,25.3682,3.0488,0.0778,3.4803,1.5661,0.4546,3.5053,4.809,2.951,4.6631,13.6697,15.4741,12.6797,10.7877,107.1203,33.2207,2588.4271,4.3684,2.9558,0.0
NZL_R,16.5582,0.8362,0.7117,0.5081,0.3837,39.3579,1.4893,2.3413,3.5698,5.8833,1.4182,1.0305,2.6211,2.1507,1.3028,4.8708,2.5496,2.0029,1.8408,1.5496,1.8217,2.4244,4.0826,8.3767,16.2224,48.7797,4.6863,0.9301,10.1028,3.5855,1.3359,8.948,45.0085,24.6525,25.361,33.0282,24.0707,39.8447,23.9358,28.0303,108.014,20.9522,190.1534,10.013,0.0
NZL_S,39.8737,63.4343,1.4821,6.2675,2.6574,312.0772,6.7191,11.4079,8.4902,4.5232,4.0985,2.272,4.8709,3.4466,0.3695,5.3731,0.0272,8.2155,1.7413,2.4822,1.1571,12.9704,30.8186,3.8983,70.0115,50.5995,8.1315,0.7337,12.0972,8.797,3.0199,6.4209,13.7057,2.9704,21.1772,26.8077,71.8172,229.7064,165.668,168.5714,51.4172,91.4674,93.7522,139.2473,0.0
NZL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
