V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_E,4.0174,0.1071,0.3559,0.3592,0.1171,36.0482,5.5509,3.9774,7.0943,6.9909,4.1193,0.3072,4.7661,5.506,0.1412,1.7442,0.5139,0.8196,1.3882,0.6515,0.4332,9.4936,95.3959,122.3119,11.3256,83.7471,4.3719,0.2313,2.0413,9.8147,0.0757,7.3988,0.146,0.3989,0.7171,1.7978,28.6843,16.9734,5.8619,8.2892,7.3039,15.6058,5.6702,4.3954,0.0
LTU_F,54.2344,3.1775,0.3617,3.4063,0.3263,57.2214,17.2896,4.8309,5.6544,41.5403,29.5787,0.7237,5.1345,6.4248,0.1201,15.5625,2.4224,3.1904,13.3224,5.9802,1.1551,26.2466,153.9008,17.5711,503.1461,66.803,32.0682,0.3175,5.0663,48.5065,0.5357,10.5284,1.3969,30.204,12.9826,12.6492,94.7886,36.4782,20.5797,58.9533,28.4778,24.3908,15.3403,44.0334,0.0
LTU_G,321.8314,16.1516,6.0068,4.9973,0.8566,583.9224,74.2301,108.4816,43.8115,212.7454,150.8193,4.3654,62.1704,33.1468,3.8366,69.1908,33.364,29.28,49.561,42.1649,9.685,161.1534,58.587,25.4004,248.9985,329.0403,447.3423,8.5362,36.3655,24.3495,3.4853,71.7543,22.1932,17.3226,49.1428,29.3772,91.9204,73.8212,83.0497,93.8427,32.2905,107.4775,24.7933,20.9444,0.0
LTU_H49,78.6427,1.6614,22.4268,8.1815,0.5103,154.7112,16.8756,38.7076,25.9484,217.8707,72.8141,1.064,21.543,35.6949,1.3664,32.6612,4.0838,27.0789,14.3063,11.388,2.2958,72.7162,40.6756,15.4107,92.3528,323.528,502.8497,4.6718,3.5764,386.81,0.7576,23.9492,2.9528,3.3665,6.6962,3.6563,14.6352,12.1365,31.0319,16.0376,5.2895,9.7798,3.5523,4.372,0.0
LTU_H50,1.0124,0.0257,0.0406,0.0348,0.0028,0.9507,0.2906,0.0708,0.2385,5.6712,0.0597,0.0125,0.2427,0.2508,0.0717,0.5982,0.1101,0.2776,0.2738,0.3526,0.0291,0.6621,0.6562,0.0883,1.7705,1.0151,0.8614,0.0172,0.1693,0.0311,0.0115,0.2371,0.031,0.0511,0.1321,0.0974,0.5941,0.3109,0.4673,0.2679,0.1211,0.3602,0.0704,0.0844,0.0
LTU_H51,0.94,0.0322,0.04,0.0471,0.002,1.8748,0.2401,0.4048,0.2216,7.1445,1.2632,0.0088,0.2714,0.3035,0.0686,0.3711,0.0566,0.2311,0.2185,0.1798,0.0365,0.6425,0.5318,0.0805,1.5668,0.6029,1.3844,0.0211,0.0443,0.0322,0.0108,0.2689,0.0446,0.0304,0.0641,0.048,0.4065,0.092,0.1482,0.1249,0.0504,0.2565,0.0409,0.0591,0.0
LTU_H52,10.9213,0.5737,0.2412,0.2135,0.0392,18.6565,2.0976,4.6137,1.7562,18.4656,5.9257,0.1191,2.3794,1.7786,0.2079,3.2264,1.0545,1.238,1.7116,1.2507,0.3281,5.9164,2.545,0.6855,14.5731,8.5115,11.7876,0.2877,0.8927,0.5536,0.0887,2.2637,0.6957,0.5307,1.6869,0.9003,4.5618,1.8772,2.2116,2.6048,0.9916,2.9467,0.7733,0.7333,0.0
LTU_H53,0.8473,0.0314,0.1027,0.0246,0.0134,2.0307,1.4896,0.2675,1.8571,0.2886,0.4717,0.0391,0.4762,0.1582,0.0362,0.6646,0.2644,0.2763,0.5025,0.1038,0.0583,0.7232,0.7469,0.4742,0.7133,12.5026,1.2861,0.0523,0.2883,10.8849,16.7037,0.3684,4.0623,0.5223,1.1406,10.2272,2.2089,8.4912,2.4683,11.824,1.1904,1.7752,0.6249,1.0853,0.0
LTU_I,2.7263,0.0061,0.1428,0.0517,0.0989,1.7587,0.7282,0.9631,0.1421,2.5988,0.7732,0.4577,0.1461,0.2949,0.6202,0.1845,0.3406,0.2008,0.4565,0.2597,0.178,1.9903,0.0631,0.8822,5.1731,5.109,0.1895,0.0942,1.257,0.2442,0.0619,4.7515,0.2187,0.2426,3.7557,3.4983,0.5757,4.6707,17.0583,8.1946,9.546,23.4884,2.3207,0.8232,0.0
LTU_J58T60,0.6482,0.4382,0.0368,0.0347,0.0125,1.9522,0.3507,0.2515,0.1748,0.4322,0.3589,0.0201,0.1376,0.1467,0.0644,0.1596,0.0835,0.2281,0.1774,2.0099,0.1908,0.4897,0.6223,0.3416,0.6568,8.1714,1.1612,0.1029,0.2035,0.5834,0.1145,0.3824,31.4937,4.6048,20.2561,4.228,1.2754,27.9749,3.2525,4.5079,3.1373,0.9368,1.7005,1.3185,0.0
LTU_J61,5.8715,0.4258,0.2914,0.0986,0.0723,11.7887,2.0184,2.1234,1.1457,6.1445,2.9147,0.2243,1.3172,0.757,0.1764,1.5991,0.8943,1.0629,1.669,0.4,0.283,3.3797,3.9008,1.1442,5.3597,24.375,10.7262,0.3449,0.9462,1.1845,1.4046,1.9381,4.118,34.9644,16.8867,7.4386,5.6421,17.1091,7.0344,4.3007,2.1696,4.4276,3.3722,1.9003,0.0
LTU_J62_63,4.6877,0.2204,0.6954,0.1035,0.0579,12.3533,5.3939,3.7021,3.5609,4.5997,3.1173,0.5415,1.0516,1.5103,0.0459,1.6879,1.4605,2.8995,4.0935,1.6996,0.2805,3.6199,20.9009,2.4927,10.3196,91.685,36.3594,0.6018,9.0764,3.2078,2.0226,2.4855,20.066,30.2826,72.9519,45.3585,4.6407,55.9421,12.5298,22.0476,12.8348,6.3947,4.6759,5.3375,0.0
LTU_K,28.1831,0.7236,1.7462,0.7732,0.4702,30.8825,10.1429,8.1661,6.1611,25.2945,14.0135,1.2697,6.701,4.1806,0.5858,7.6261,3.3104,7.1329,5.2943,4.2596,1.823,18.3807,16.2211,5.7993,36.814,112.233,57.6866,3.0085,3.1451,9.1138,1.2905,5.4919,3.0131,5.1998,17.7503,219.8732,87.6177,36.8615,24.5149,77.8865,7.2432,11.0299,5.1525,17.5108,0.0
LTU_L,53.1223,0.4356,0.4515,0.6255,0.1408,16.1686,12.0955,3.3982,2.1589,4.0957,2.4186,2.9258,12.395,3.522,2.5648,10.6305,10.0861,9.5015,13.2323,2.9445,0.4547,56.1698,29.1383,4.7515,55.6628,498.3624,74.9116,0.3275,3.4303,22.0496,4.4907,61.475,17.5439,42.9408,116.3793,72.2227,191.9242,91.8684,89.7022,47.0343,15.2869,32.6194,56.8836,64.8115,0.0
LTU_M,102.5405,0.3004,2.6139,1.205,1.4481,87.4968,19.3811,18.1856,8.9609,18.6784,36.5376,7.9216,8.496,10.2124,0.4449,8.6473,3.7309,18.4914,6.6817,3.6118,2.6191,78.2249,65.4197,11.838,181.9832,316.5248,77.4958,5.8248,18.2458,26.1014,2.0949,23.1485,33.6285,49.5769,115.7922,112.1905,54.9435,405.8729,120.285,59.5429,18.4983,21.6948,25.1566,22.9258,0.0
LTU_N,33.5998,0.9894,2.7689,1.3461,0.7118,82.6738,10.6518,10.7818,5.0145,11.8932,13.0277,0.7099,6.038,4.2109,0.5808,8.6195,7.8759,8.6709,10.2961,2.3312,3.4642,17.3336,66.0565,12.5728,105.9382,155.387,46.4337,4.6305,35.4961,18.8293,4.5264,11.5858,11.2312,27.1286,56.3761,39.8777,82.5935,148.7179,227.2207,51.8919,35.8257,21.8083,17.2902,8.9549,0.0
LTU_O,4.0251,0.0715,0.4284,0.1627,0.0586,5.6961,1.216,0.8336,0.7247,6.7329,7.8524,0.4412,1.2447,0.7135,0.1744,1.9071,0.7014,1.3223,1.0735,0.4519,0.5635,6.105,2.5316,0.9451,3.6732,16.6054,4.4237,0.2561,0.6036,1.5477,0.4598,1.9088,1.1345,2.5884,4.8273,13.9311,9.8731,56.0345,4.3791,22.3067,1.0657,4.7948,1.5977,2.9238,0.0
LTU_P,2.0806,0.0206,0.0378,0.115,0.0135,5.7588,2.5132,1.0326,0.4255,0.6141,1.4353,0.4135,0.3725,0.3733,0.028,0.7658,1.8263,0.5195,0.9185,0.4596,0.3262,5.5485,4.3519,1.0343,5.6618,13.975,2.6773,0.3392,1.9858,0.989,0.1622,0.675,0.5859,2.2803,25.9389,15.1248,2.8512,21.2726,6.0675,17.1493,43.7802,9.6114,3.8365,1.0945,0.0
LTU_Q,1.0833,0.0928,0.8078,0.0068,0.0085,1.8333,0.9128,0.1606,0.3865,3.8431,0.2906,0.0503,0.7864,0.1518,0.0188,0.2382,0.1499,0.2624,0.9201,0.0798,0.1752,2.132,1.2573,0.2458,0.6907,2.8703,1.75,0.0465,0.1168,1.3892,0.0387,0.5662,0.1462,0.2763,0.6987,0.4908,0.248,1.8186,0.9391,4.0358,0.789,36.8011,0.5662,0.9155,0.0
LTU_R,0.5785,0.7261,0.1288,0.0474,0.0023,1.2727,0.4605,0.1766,0.076,0.1765,0.4056,0.0062,0.1637,0.1155,0.0121,0.403,0.2162,0.0563,0.1849,0.1081,0.0127,1.4472,1.3294,0.251,0.4852,3.4928,0.8828,0.1921,0.7302,0.2768,0.0444,0.5068,2.257,0.9312,3.5835,4.7098,1.0395,3.6057,12.2103,3.9722,5.0483,6.5158,71.4416,3.5955,0.0
LTU_S,7.9955,0.5252,0.8794,0.7446,0.0276,6.5818,1.9242,0.595,4.4094,0.3269,2.7308,0.0049,0.5313,0.6506,0.1211,0.2274,3.0331,3.7335,0.2849,0.5908,0.0887,0.6999,5.4016,4.4206,2.1967,11.6221,2.1152,0.3926,0.8154,1.4144,0.3731,4.7446,2.3432,1.164,10.3724,11.8172,0.9439,18.0947,5.3456,11.6296,12.447,3.5205,2.6238,4.305,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
