V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_C20,2390.5504,16.1583,335.7391,310.4966,53.4167,272.7953,156.7746,218.2967,570.1809,229.0922,3600.4172,515.6746,2446.7148,273.6681,786.4937,209.695,38.4207,76.3606,104.3883,235.511,29.9145,172.8599,123.2014,27.3749,1028.128,387.3719,193.7101,8.276,88.0072,66.7712,23.3965,121.5393,91.9268,26.7907,64.5571,136.6739,119.5224,205.3368,393.9507,272.6609,176.725,496.297,39.2032,292.2313,0.0
CAN_C21,31.5925,2.9831,18.6632,6.5131,3.6944,44.5773,3.8095,9.6457,15.3237,4.3209,35.6008,416.734,23.6927,10.0742,18.5212,22.0576,4.537,2.7901,13.9545,10.2344,14.058,13.7652,6.8516,2.0117,76.0449,37.2106,5.7366,0.3689,10.7732,3.4124,0.7931,9.9169,7.4707,5.4001,5.0928,17.5979,13.4948,22.2393,12.7122,1686.0008,20.6985,641.0933,5.9915,16.0132,0.0
CAN_C22,566.7938,34.0048,239.5737,136.2775,25.5697,928.7365,88.649,186.1553,360.2454,62.4875,316.9918,72.4097,870.3757,133.6418,218.849,302.4873,95.9028,44.0472,141.8429,1300.5478,75.1804,397.9675,69.4913,11.8818,3538.3463,680.8108,258.621,6.1224,27.5205,232.8944,54.8599,355.7404,32.0746,11.6188,28.7011,70.005,49.0605,101.8292,142.0937,223.8853,68.9557,147.0821,86.3814,108.5285,0.0
CAN_C23,107.4862,8.7582,123.2976,128.0966,116.7112,207.8206,7.2705,64.945,55.0292,60.9086,150.3162,15.9992,139.742,1913.7441,284.4747,212.6537,19.3981,48.8168,35.3087,528.5589,75.1005,100.3488,24.9624,15.3239,8998.7052,175.8749,177.4508,7.9776,91.7062,16.1719,11.9777,73.2412,15.0886,16.8808,17.1857,62.9656,61.917,57.5165,82.8996,127.5925,51.1385,107.9309,12.7025,35.7596,0.0
CAN_C24,161.0567,3.0861,565.9188,105.9807,199.7849,26.4108,10.6734,23.8717,50.1594,10.8517,211.3603,19.2241,152.4883,48.1511,11408.6611,2433.6251,29.2074,431.4532,1334.5871,1400.8013,152.1538,947.9728,13.4061,3.5407,743.6541,109.232,18.5724,1.8177,5.457,25.1445,2.0681,13.7928,14.1629,6.9789,13.067,42.0966,33.7902,38.9989,49.9958,45.2315,29.2147,91.2977,10.8329,29.5113,0.0
CAN_C25,180.2622,23.4722,385.6124,130.9596,56.1417,526.6879,17.8693,176.6096,91.5236,28.1139,102.7768,20.9046,200.0136,159.2506,861.7322,2204.9445,200.3396,294.484,878.9525,1138.2148,178.6111,492.073,37.3627,78.1098,9223.2744,248.9806,65.5788,4.7213,47.7319,107.5671,14.1029,137.6005,79.8662,74.6478,139.7055,170.1537,354.9573,400.6237,588.6886,417.7996,174.6148,487.7644,63.5584,153.2351,0.0
CAN_C26,21.1824,4.6146,70.6639,10.7812,48.4272,31.5582,3.5135,11.4142,20.4469,4.8375,13.4231,5.11,11.3206,11.0681,20.5895,31.4365,451.649,93.5792,127.4266,273.7528,52.2418,35.1481,10.7513,14.3656,379.0855,71.9772,24.187,2.3721,14.007,16.0582,3.7332,18.2728,113.3396,549.1006,118.7724,49.6394,33.0749,137.0287,62.3112,142.2789,97.9506,337.9,21.8755,21.1548,0.0
CAN_C27,52.802,4.8814,46.2246,28.8869,28.7935,35.6268,2.0563,27.5888,21.9871,9.5372,13.2444,5.1429,11.8296,13.5624,109.3039,68.2195,108.5574,308.0485,81.7497,304.4981,71.1314,23.1674,30.0397,18.9095,1640.4287,121.4329,33.5993,5.7227,6.5861,26.0949,4.6829,19.4916,32.8015,86.1781,63.041,47.675,95.0561,111.3169,179.1234,50.0704,66.9851,172.2852,15.5767,42.4941,0.0
CAN_C28,186.7389,24.6896,1073.2912,302.5298,149.8385,203.6984,13.9642,95.0814,107.8201,41.086,73.7396,20.2905,75.1576,74.3604,199.4238,331.1607,40.5452,36.6211,1557.5988,261.5344,92.3539,119.0776,74.124,48.9273,2392.638,181.1873,49.7128,5.3858,37.7108,75.8718,15.5969,119.5267,192.8905,49.8997,81.02,112.377,178.8967,227.7958,322.8474,294.0006,96.2176,306.4306,127.1947,98.418,0.0
CAN_C29,134.2222,10.8026,213.1863,55.2558,13.5531,59.0516,6.0946,24.628,36.6105,10.998,22.3376,6.5967,123.1058,23.9352,54.4378,178.8677,15.3213,9.0662,100.397,11682.1439,267.3224,136.5948,32.266,10.8743,337.5365,624.5892,625.4765,7.1704,42.7337,511.9553,104.8396,57.1924,37.2833,12.1655,71.9463,126.8025,89.4899,166.2401,201.5265,421.5153,65.6365,194.1622,67.877,103.1349,0.0
CAN_C30,66.0093,68.526,95.833,36.8194,7.3511,138.6369,5.4443,25.0629,46.94,31.4453,47.609,12.7061,39.7179,42.9752,63.3848,34.5056,17.8728,15.6049,72.014,73.3368,5048.6873,49.225,30.0583,19.382,151.6666,619.3168,313.3481,57.9192,632.5305,384.0587,54.4829,163.5647,35.406,13.6144,62.5641,134.3229,97.6262,70.2686,170.9738,274.8408,60.4469,161.4646,228.3553,75.9856,0.0
CAN_C31T33,108.1592,13.4935,45.609,20.6843,9.5032,446.9686,131.721,235.3615,399.996,60.1472,247.5658,57.6645,235.3254,256.6676,426.7818,845.4893,98.5974,84.8052,415.1002,284.4384,519.2786,892.4879,21.8541,48.443,1595.5039,158.1097,35.0722,1.8252,453.0596,20.9493,7.7183,117.5024,123.5441,25.035,58.5381,62.9163,72.8337,124.8998,113.1205,1198.1924,90.6642,2022.9917,176.7479,180.382,0.0
CAN_D,1384.2184,2.2672,1141.1129,720.9329,104.3766,660.7985,42.7752,362.0384,947.8186,289.9272,778.2406,90.702,322.269,270.1586,1239.0565,287.8959,63.0504,46.8747,190.7086,270.526,106.708,189.8992,80.4182,34.4417,396.9978,1641.641,371.2998,1.3027,22.087,135.5156,48.1446,646.0975,154.7538,197.7212,129.924,691.0497,1142.4743,349.434,285.5327,1724.866,746.8525,1172.4522,314.0718,564.2393,0.0
CAN_E,30.797,0.8562,645.7016,21.9578,2.6782,138.7696,11.5258,25.9033,118.5027,37.6419,221.5432,10.0603,74.0501,39.9654,110.905,114.8137,11.5487,30.9129,46.0892,66.261,81.4703,90.563,14.8922,876.3087,265.5704,1542.2732,136.3675,3.2614,51.9661,108.7997,24.3918,337.5796,48.6863,21.6225,89.2781,359.8495,925.1023,158.5686,117.3933,2605.4672,341.2769,679.79,132.3788,325.0445,0.0
CAN_F,1046.7494,3.7235,1754.1696,501.1554,18.6055,198.1476,16.1593,22.8509,185.2862,49.4802,308.888,75.4638,75.2769,191.1546,193.8281,120.3558,45.835,47.1623,163.2473,84.3529,222.2081,95.4724,1943.4924,302.3798,411.2987,1812.4147,1726.5414,92.0376,16.5827,1904.5503,31.3731,665.8252,66.0716,262.7351,231.0101,976.0315,17271.2953,407.9181,379.5656,5073.17,1863.3799,1395.4449,449.6595,231.912,0.0
CAN_G,5703.9938,212.1134,2229.6665,1008.1558,456.3197,9294.4647,624.6003,1554.8492,1837.4833,802.7737,2423.1709,952.4625,1866.7942,1326.6068,2730.7838,1745.4582,660.6178,554.6083,1702.4781,5920.506,1102.794,1627.9302,512.8155,1056.1281,14709.8728,4197.6575,2522.623,80.9727,828.1313,810.0953,343.5241,6200.6435,1185.5733,1027.3059,1189.2345,2124.0308,1879.6753,2687.1082,3532.9979,6246.0609,1873.2213,6804.8172,1211.1656,1579.7179,0.0
CAN_H49,2527.1293,43.3368,839.0635,344.8658,209.516,2634.3357,116.5135,910.8095,698.105,2124.061,615.6518,178.0604,451.0237,639.2498,1486.5824,622.5671,128.296,256.3643,558.3127,1279.3186,179.2942,533.4028,306.5328,45.3049,3578.2074,3766.2399,13184.8192,64.6355,189.3014,5055.0231,1159.7233,424.2065,169.9645,97.1404,220.4631,370.9246,401.5171,616.1033,544.382,1412.6013,4184.3583,486.3016,186.7868,295.1279,0.0
CAN_H50,29.2124,0.6763,5.2056,1.2432,1.5973,42.8228,4.2817,8.0618,3.3879,35.4454,21.646,2.6836,17.0553,8.9381,42.2426,11.9105,7.6996,5.447,14.7777,87.8657,16.4213,8.4269,1.5189,0.862,15.7568,29.7727,26.8926,5.2824,15.0722,3.6316,1.599,10.9069,2.3371,10.4914,2.7746,4.0538,3.3157,4.6558,4.3729,12.6594,3.0647,8.8731,1.789,2.3608,0.0
CAN_H51,139.7488,10.6095,112.2552,49.569,25.7287,252.1795,21.5066,65.7465,81.8706,136.6075,96.629,30.6052,77.252,61.5334,154.6477,131.4687,45.5427,33.4837,126.127,233.2249,97.1015,132.2513,35.4499,34.8602,436.5978,366.3577,193.4088,31.7342,175.0915,77.8339,195.7147,124.8454,113.505,94.3026,220.2543,357.6827,360.5159,656.8326,394.212,559.5645,252.8481,340.9755,117.7135,135.3559,0.0
CAN_H52,384.3662,88.634,622.1213,259.7042,22.1589,1819.5216,64.4632,404.41,423.3446,448.0653,590.3533,131.9937,494.2012,481.0455,464.1319,425.1978,152.8907,152.0184,562.9676,405.5983,334.2481,442.1984,51.1403,150.0682,370.0679,5465.3302,4778.1667,1229.3154,2794.2995,485.4699,280.1803,141.7021,159.8765,56.2385,225.8306,335.2348,287.4188,510.8226,538.0372,1238.2704,298.083,289.7947,197.9141,175.1303,0.0
CAN_H53,8.5941,0.765,76.1209,31.3889,6.0714,174.1774,31.5604,32.0881,72.4724,4.5617,89.9041,18.5022,51.5342,35.1492,31.9803,120.1952,26.5864,23.469,99.2191,23.3693,10.9626,129.2481,89.2053,39.7929,352.4544,2665.0077,72.8116,8.7158,39.9214,379.2217,185.82,131.1472,142.2369,268.472,92.7485,1228.3376,718.0772,314.0088,550.3919,470.0165,187.5699,473.2834,94.3357,222.0973,0.0
CAN_I,70.2666,12.4143,205.1701,48.0817,45.7901,469.5541,25.7351,48.1313,61.4661,7.3404,85.6956,90.6765,61.3918,49.8559,32.9921,147.1431,59.7172,43.1885,160.024,66.3349,92.3757,240.3478,70.3357,98.7647,431.8239,2577.7544,149.8665,1.2978,494.9108,517.8415,55.3809,386.0664,348.5456,216.1126,578.7196,954.3296,1016.5155,1627.6782,1106.7205,1168.0019,717.4517,1394.8404,397.1284,450.3365,0.0
CAN_J58T60,20.9632,1.121,218.5542,32.0627,10.1935,93.4891,5.5077,10.6967,18.6663,3.6993,24.9559,19.8607,13.6323,13.2471,13.339,26.3779,25.7393,13.4817,33.5286,21.8364,34.0198,41.1308,106.6984,64.8556,187.8708,1890.5884,102.4158,1.0999,48.8415,92.0813,45.9279,206.4929,3630.1009,1742.1143,1366.8888,1473.0132,317.0684,760.0256,442.3189,969.4682,429.0901,295.1434,193.8081,118.8324,0.0
CAN_J61,253.3573,1.7337,195.2702,55.6949,27.4447,172.4961,19.1273,27.8516,43.2569,10.4752,51.0895,38.3852,38.6367,33.4046,26.9603,84.9637,42.2298,23.9583,97.3985,43.2649,58.1133,109.5849,94.7219,77.842,443.4149,1246.6611,267.7169,2.791,171.0679,388.4755,55.6957,364.7876,390.7088,4139.225,1107.6601,2348.4447,1042.6467,867.2303,847.5605,1213.1313,343.3994,1285.9776,138.9725,227.8215,0.0
CAN_J62_63,50.5832,2.2496,861.0536,125.3765,20.489,221.5392,14.7358,33.8828,41.5556,14.118,74.8773,50.0835,39.7105,40.7209,52.3332,69.472,61.4262,46.9204,101.6371,59.4193,114.5652,105.5752,442.5535,204.9635,486.802,2661.6771,354.4023,2.074,108.2576,203.5674,160.3701,358.129,1024.0834,1129.4851,5652.4973,5786.4148,581.3279,2407.917,858.0027,3056.048,619.5015,639.6807,216.4383,260.1839,0.0
CAN_K,1496.766,73.1827,4882.1434,812.1045,289.9447,1624.2179,141.4929,742.1564,756.6391,489.6562,822.1417,299.8395,456.6302,488.8913,904.796,1035.9177,351.1025,204.4415,1038.2929,1192.3734,508.6186,825.0495,1093.9023,486.3706,6811.8383,14621.8889,2115.2334,61.3002,666.5418,1190.2675,285.4624,3204.1444,890.3483,1121.9743,1060.2823,48117.4144,13910.931,2354.025,2839.7368,3268.7426,303.9574,1755.7928,877.5436,837.1322,0.0
CAN_L,61.419,2.3227,118.0157,51.3753,9.5938,165.5614,35.9396,50.8153,104.7146,16.0105,56.3921,31.5125,89.6312,44.7845,30.9415,218.6251,68.287,31.1452,205.9917,75.9306,32.0181,372.5237,235.222,138.0833,882.993,9901.8377,333.7106,15.4069,58.7143,617.2396,153.499,2356.267,672.9615,439.1137,1087.9379,2144.5818,3784.1129,2661.0554,1733.4099,3069.9851,907.3478,3007.3451,898.2674,2043.1105,0.0
CAN_M,1563.929,18.3112,5047.6683,666.9254,1065.1263,1496.8232,84.4745,251.873,377.9144,156.8939,505.4324,574.6085,270.8104,348.3428,466.1869,373.1954,431.1187,143.7873,553.8855,274.112,835.8532,427.3065,1613.1296,278.9326,17581.6961,13746.0806,585.2327,6.0087,226.413,453.2649,103.1629,937.3969,1020.3366,1697.8249,811.0373,6216.4294,2986.4295,8220.5395,3403.7378,7739.8156,1190.9163,1978.5704,589.749,1107.7744,0.0
CAN_N,462.2769,24.6953,2268.4548,252.4,309.5146,718.3821,42.2917,101.4767,204.4861,43.7573,344.0054,177.8025,222.0034,140.5168,252.5784,372.923,159.1853,82.6637,300.0179,838.0137,302.6641,517.2256,446.3893,577.575,3921.6834,9183.5909,1987.7627,38.9737,297.9167,965.1725,346.1223,1893.3445,1250.9603,1219.6703,3061.2599,6012.2481,5370.1758,4165.2224,4379.509,5521.9453,1818.6124,2824.474,1185.3607,1317.4449,0.0
CAN_O,84.6836,6.099,452.432,49.546,39.3596,292.001,12.8759,42.0126,96.018,52.7816,188.7861,52.7844,66.459,60.0122,114.4687,104.3789,47.299,29.1858,98.4624,99.3158,80.4879,110.7871,68.4636,434.5403,755.0082,1768.6882,416.992,47.455,146.1095,201.3164,44.5246,418.0547,291.8769,201.396,432.468,1416.5074,1120.5213,623.6816,366.656,3740.1416,383.3939,1233.8256,235.3425,456.5916,0.0
CAN_P,23.916,1.9819,93.2685,15.2822,14.774,63.1233,3.2514,10.6038,13.8891,9.9612,19.3957,13.0406,12.9677,11.3446,16.1462,16.0816,9.783,5.8771,22.1754,11.3274,17.1984,30.1975,34.3605,16.3961,406.5757,579.5731,114.798,14.3879,112.1166,39.0453,21.5391,113.9908,217.7167,40.7165,449.8245,422.3695,118.4866,301.6484,186.9646,1627.2518,292.2906,334.7577,41.0521,69.494,0.0
CAN_Q,10.2559,2.4523,44.9974,10.3054,4.1237,53.2255,2.0939,9.951,12.0154,9.8934,16.4792,8.7834,13.4947,11.7129,12.5243,13.3886,5.8899,4.6742,17.4381,10.8464,11.8662,20.5374,13.0495,15.462,57.6506,346.2339,115.4454,26.7948,68.3445,29.7069,11.8851,47.6744,36.4657,33.7041,102.233,305.4304,141.2689,118.1016,98.6019,22168.6834,79.1894,8641.9987,36.2293,43.9629,0.0
CAN_R,19.0396,1.5988,48.3879,8.1082,9.0061,135.6365,5.7759,9.2758,17.7538,2.1605,20.8687,24.5584,15.4126,12.6186,7.2148,25.3679,12.3209,8.0663,27.2951,21.2238,21.1319,50.1174,15.8272,31.5367,136.8946,662.9724,31.1198,0.9107,20.6041,46.2119,13.4717,333.0747,861.5197,148.5449,160.4216,299.0425,347.458,263.9918,382.1289,496.1991,115.8502,205.1392,1088.6079,104.5935,0.0
CAN_S,125.9343,18.688,178.3093,116.1492,23.7649,210.9974,9.9318,40.9679,45.5587,36.3194,94.0803,17.4148,43.1887,37.7319,47.4287,35.01,14.4461,12.4237,47.6218,33.6386,24.7821,50.0464,30.6512,112.0463,675.1503,595.4116,481.1583,66.6987,179.4912,226.7116,34.1074,184.3043,250.2184,50.5222,312.1839,1145.4555,541.2366,752.3591,557.0783,1140.3293,525.8371,1562.6949,247.1675,231.5984,0.0
CAN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
