V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_C20,3.3823,1.1383,0.0229,0.0335,0.0011,1.6203,0.6433,0.1208,1.4694,0.0121,7.3916,9.1877,3.0512,0.6016,2.9496,0.7002,0.0174,0.134,0.7234,0.0246,0.0895,2.3382,0.7993,2.1484,22.7852,1.3025,0.1157,0.2397,0.7243,0.1901,0.0294,0.9827,1.2872,0.0878,4.3809,0.4005,0.696,4.1244,5.2382,0.507,0.4009,1.9956,0.2065,3.5951,0.0
ISL_C21,0.055,0.101,0.0006,0.0032,0.0,0.414,0.0091,0.0048,0.0122,0.0,0.0117,3.3724,0.0075,0.0307,0.2577,0.0304,0.0029,0.0192,0.0216,0.0009,0.0033,0.0474,0.1083,0.0307,0.3631,0.2442,0.0318,0.0414,0.1369,0.0328,0.0035,0.0863,0.0582,0.0169,0.1211,0.1224,0.298,1.8657,0.1071,0.1488,0.8387,69.436,0.3023,0.079,0.0
ISL_C22,0.9611,2.2117,0.0048,0.0278,0.0002,4.6889,0.0649,0.0254,0.0458,0.0003,0.1094,0.1357,1.3643,0.2886,0.3313,0.2481,0.2366,0.2683,0.2759,0.0198,0.0599,1.6247,1.2377,0.5643,19.2568,7.2923,1.9385,0.2867,0.4291,0.3364,0.0388,1.1242,0.3472,0.1914,0.504,0.3337,0.4628,0.6445,0.6605,0.4024,0.4162,0.5612,0.44,0.259,0.0
ISL_C23,0.0,0.0,0.0065,0.0,0.0007,2.8413,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,27.4617,7.5829,0.0,0.0242,0.3264,0.0,0.0196,0.0545,1.5809,0.1609,0.1196,186.9045,0.0364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975,0.0,0.0,0.0,0.57,0.0,0.0,0.0
ISL_C24,0.0,0.0,0.048,0.0,0.0016,0.0237,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,286.9869,26.3029,0.4169,0.6049,6.8325,0.1816,0.3106,10.6538,8.892,1.8777,69.6585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C25,1.6295,3.7995,0.0528,0.0068,0.0021,3.3567,0.0,0.021,0.0,0.0014,0.2478,0.0,0.0031,1.4877,4.5961,23.1351,0.3747,1.3635,10.0263,0.1851,1.5435,5.73,21.9796,2.3718,170.6625,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.0366,0.114,0.0,0.5061,0.0,0.0,0.0,0.0
ISL_C26,0.0103,0.6244,0.0003,0.0022,0.0,0.0812,0.0035,0.0022,0.0081,0.0,0.0073,0.0118,0.0023,0.012,0.2904,0.0209,0.186,0.0129,0.017,0.0024,0.0234,0.203,0.2486,0.028,0.1145,0.3706,0.1445,0.4308,0.5828,0.0764,0.0258,0.2445,0.1835,2.1196,1.5489,0.3556,0.6967,0.8301,0.3993,0.2922,0.7193,1.3477,0.0747,0.0991,0.0
ISL_C27,0.0007,0.0523,0.001,0.0049,0.0001,0.1531,0.0034,0.0,0.0,0.0,0.0,0.0,0.0096,0.0777,43.6048,0.0952,0.0208,3.5349,0.2741,0.0133,0.0262,0.6367,8.2019,0.0536,3.2587,0.1568,0.0094,0.0108,0.065,0.0048,0.0047,0.0194,0.0199,0.2514,0.0843,0.0121,0.185,0.0602,0.6535,0.0283,0.0,0.0,0.0,0.0023,0.0
ISL_C28,5.7862,12.8247,0.0546,0.523,0.0025,14.7114,0.1499,0.4592,0.3742,0.0016,0.4479,0.3577,0.3616,4.5358,20.8651,3.0157,0.0812,2.4257,29.5261,0.0919,0.4621,7.6688,12.5686,2.5995,114.2593,1.1863,0.2379,0.9756,1.176,1.6998,0.0,1.9934,0.3964,0.0,0.0,0.0,0.0,0.0,10.3812,0.0,0.0,0.4177,0.0,0.5859,0.0
ISL_C29,0.0484,0.0384,0.0002,0.0456,0.0,0.1522,0.0058,0.0023,0.0068,0.0,0.0065,0.0118,0.0041,0.017,0.1224,0.0193,0.0017,0.0115,0.0212,0.0167,0.0017,0.0803,0.0398,0.1755,0.2278,0.4729,0.669,0.045,0.0496,0.1063,0.0336,0.1411,0.0198,0.0553,0.067,0.1035,0.1651,0.0822,0.5146,0.124,0.0264,0.0356,0.0271,0.0317,0.0
ISL_C30,0.0,1.9222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388,0.1915,0.0,0.0,0.0001,0.0146,0.0,4.1223,7.2398,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261,0.0671,0.0,0.0,0.0,0.0,0.0
ISL_C31T33,3.1303,16.3874,0.0953,0.409,0.004,12.0127,0.3087,0.2502,0.8458,0.0054,0.5659,0.7349,0.3057,2.2713,20.7652,2.5739,0.1305,0.9243,3.837,0.0303,0.3039,49.4195,14.8494,2.922,25.9974,29.8786,3.8199,7.8112,37.2668,3.7875,0.4337,28.1383,1.7529,2.9949,6.2267,3.469,4.6131,8.7426,12.5487,12.1909,11.3559,14.2246,31.1048,4.9357,0.0
ISL_D,16.6875,4.8212,0.1733,0.3234,0.0049,45.9487,1.4847,1.0809,3.9933,0.0276,3.8188,6.0867,2.6138,9.5496,281.6358,15.9834,0.5092,2.7784,10.8285,0.1162,0.3134,13.7221,145.797,9.9252,35.9381,72.4015,3.5006,9.8322,26.3302,16.8266,4.5686,62.0446,11.887,22.5316,31.9446,34.9714,65.888,34.3138,34.6814,63.6542,41.8291,21.9956,9.3503,16.6323,0.0
ISL_E,4.1572,1.7829,0.029,0.0399,0.0012,18.1018,0.2246,0.5133,0.3981,0.0029,1.1845,0.3245,0.6744,2.044,83.692,0.5001,0.0358,0.2131,0.4976,0.0101,0.0365,1.1709,10.6968,34.0701,7.5535,8.9824,1.3933,2.5461,2.8746,2.0509,0.3124,13.3953,0.8517,1.6042,1.9243,2.0173,5.1599,6.0586,3.9488,1.8646,2.6782,6.7947,0.8292,2.5111,0.0
ISL_F,0.3613,0.5357,0.0573,0.765,0.0031,3.4691,0.0719,0.0598,0.1486,0.004,0.1262,0.2023,0.05,0.2156,2.6247,0.36,0.034,0.2044,0.4592,0.01,0.0355,2.2138,2.5023,0.5927,220.4675,2.8824,0.7475,0.4888,1.9791,0.4875,0.0795,1.2117,0.4889,0.3917,1.1796,1.2157,359.8196,2.731,1.2207,0.8399,0.3409,1.0898,0.4807,0.7626,0.0
ISL_G,25.9765,73.7174,0.1874,3.8558,0.0108,184.5243,7.5054,2.4809,6.1088,0.1093,8.2091,11.6984,4.2056,14.7172,82.2482,11.6587,1.9261,5.2569,15.5263,1.045,1.511,45.2011,34.7024,18.3127,237.5374,107.4581,43.8742,52.7204,99.5716,13.0018,3.056,84.2557,12.683,21.9347,23.2868,13.7726,23.4017,21.5472,63.5164,24.9076,32.4551,62.1509,22.0971,9.9669,0.0
ISL_H49,2.5181,6.1671,0.2191,0.3178,0.0097,22.2751,0.5115,0.214,0.5646,0.0346,0.6385,0.9086,0.3843,1.4646,14.6107,1.9934,0.1267,0.6883,2.0769,0.0492,0.1573,5.0454,4.6769,1.2855,22.1766,7.2736,14.6785,4.6282,9.1288,33.3234,0.2514,6.5565,1.0513,1.0213,2.4619,2.2823,4.4113,3.6017,3.38,3.3211,4.0945,6.773,1.0336,0.733,0.0
ISL_H50,0.8755,10.6364,0.0431,1.0416,0.0006,8.629,0.5842,0.3492,0.9396,0.0082,0.4934,0.7375,0.7871,2.8889,45.2124,2.1846,0.2029,1.0218,4.8806,0.0433,0.3306,4.9715,1.2277,0.7926,8.1488,147.2651,8.7478,28.7618,4.522,11.2984,0.0881,7.396,1.1121,0.5411,0.6155,0.3054,0.495,1.0322,40.9206,3.5881,0.6647,1.8844,0.347,0.2691,0.0
ISL_H51,2.0114,6.2801,0.0133,0.2989,0.0008,11.469,0.5118,0.1861,0.5005,0.0078,0.6806,0.9668,0.3965,1.048,12.2712,1.3588,0.1278,0.6612,1.7652,0.0492,0.1677,2.8504,3.3,1.2308,20.6132,5.297,2.815,4.8126,12.7826,1.0471,0.2355,3.699,0.9352,1.2866,1.5946,1.185,1.4704,1.6671,4.6835,1.9249,1.9447,4.2202,0.9957,0.7578,0.0
ISL_H52,0.9188,22.6003,0.03,0.1003,0.0017,6.5954,0.1336,0.159,0.2697,0.0075,0.3029,0.4612,0.1832,1.3261,5.1656,1.0165,0.1019,0.4322,1.1133,0.0245,0.0584,1.8181,1.9298,0.7008,7.785,35.6722,16.3823,34.9548,130.1582,75.9615,0.3812,5.6136,0.8328,1.8684,1.9801,1.044,3.729,1.8863,10.2697,1.7589,2.2498,2.821,0.8584,0.8684,0.0
ISL_H53,0.9739,1.7207,0.0038,0.0562,0.0001,3.0971,0.1444,0.0782,0.2189,0.0003,0.2014,0.3226,0.115,0.5272,0.6955,0.4991,0.0617,0.2908,0.7154,0.0145,0.052,0.9814,1.918,0.8821,7.333,16.2052,0.5275,1.3274,2.4706,1.3833,14.7439,1.8535,1.374,1.2043,3.1915,4.3368,12.0675,5.9435,4.3854,3.8389,3.7492,2.0805,1.7718,2.487,0.0
ISL_I,0.5775,0.5622,0.0411,0.0372,0.002,3.6237,0.0742,0.0262,0.1321,0.0028,0.1037,0.1668,0.1077,0.4423,5.7087,0.557,0.0525,0.3532,0.4566,0.0167,0.0443,2.1284,2.3377,0.5029,8.5525,10.7824,1.1446,2.5366,8.0919,1.5811,0.2356,158.0771,1.866,1.1634,3.4527,5.4545,11.4938,5.1556,4.3698,28.9952,4.62,1.602,2.5603,2.6123,0.0
ISL_J58T60,0.0199,0.0306,0.0013,0.0003,0.0001,1.4059,0.0419,0.0182,0.9306,0.0001,0.0403,0.0802,0.0163,0.1131,0.0029,0.1906,0.028,0.1401,0.2292,0.0076,0.0216,0.4009,0.4917,0.1299,0.5627,10.3567,0.5128,0.3331,3.725,0.672,0.2136,2.973,55.0365,0.3382,2.0829,3.21,3.2292,2.137,3.1655,4.3893,10.0636,0.8169,3.9533,1.248,0.0
ISL_J61,3.3911,5.2747,0.0227,0.1716,0.0007,9.1648,0.451,0.2521,0.4711,0.0009,0.4168,0.6683,0.3461,1.1823,3.2656,2.0676,0.164,0.9053,2.2973,0.0465,0.1682,3.6003,4.0719,3.4315,31.8334,44.2537,2.0675,6.0369,14.3303,5.7608,1.7242,14.555,5.183,56.4569,15.9219,16.2243,63.6534,32.3824,22.497,25.4831,18.2655,6.1863,7.4837,10.8431,0.0
ISL_J62_63,0.0903,2.713,0.0374,0.1269,0.001,6.5625,0.1699,0.1547,0.7923,0.0045,0.4338,0.6621,0.2848,1.6104,16.354,1.3643,0.0175,0.6443,3.3058,0.0307,0.0664,2.9365,3.5425,2.4119,9.8801,22.4519,1.6121,4.0537,4.1316,5.4228,2.4366,10.5082,8.8895,13.1518,340.1739,43.2993,82.1216,63.6743,20.5034,103.4028,74.0165,6.7068,4.1352,16.7986,0.0
ISL_K,15.8226,35.0419,0.1778,1.0906,0.0048,88.6486,2.8668,1.4498,4.2224,0.0109,4.4041,7.0435,2.9179,10.6692,78.2828,13.6504,0.9557,6.0985,14.5105,0.3116,0.9918,17.789,27.3364,7.1836,166.8311,118.7325,15.5211,33.7381,101.624,22.666,3.5958,56.7874,20.5259,20.7826,44.287,314.8465,139.8128,63.5701,54.4232,21.2392,35.0091,16.0218,21.5988,27.3766,0.0
ISL_L,2.0452,0.6311,0.0105,0.0779,0.0003,4.4469,0.1895,0.104,0.3252,0.0007,0.3809,0.5422,0.1894,0.691,5.0242,0.6708,0.1304,0.3919,0.8554,0.0176,0.0542,2.0825,0.0,0.0918,2.6043,44.5842,2.877,2.1284,2.9346,10.5935,0.5274,27.8411,8.2494,3.9553,18.4036,24.9583,121.3969,38.4619,28.4583,11.4351,4.4405,0.0,8.5956,21.7758,0.0
ISL_M,14.8599,18.5699,0.1876,0.476,0.0129,48.2002,1.5333,0.8105,2.4575,0.0115,2.6395,4.743,1.363,6.9339,56.3241,8.2541,0.6338,3.7134,10.3922,0.1848,0.4931,13.5583,23.5794,5.5364,135.5819,79.7457,13.2637,16.5492,45.2594,13.481,2.0799,31.3221,11.0712,10.4693,40.8384,68.721,113.6327,234.6547,32.7052,68.2085,32.2761,28.185,16.0997,25.0112,0.0
ISL_N,5.2623,8.6007,0.7249,1.4332,0.0398,30.1969,0.7306,0.3901,1.5146,0.0292,1.0681,1.8253,0.7284,2.4255,20.419,3.3681,0.417,1.9416,3.7148,0.0626,0.3928,22.7227,10.9464,3.7408,135.5466,60.1496,11.6527,22.8016,32.8896,11.4706,1.2142,53.0391,10.2799,5.3036,19.3207,31.6785,51.3392,61.1809,360.9526,43.2146,25.059,24.9381,12.8409,14.7978,0.0
ISL_O,0.0,0.0,0.0059,0.0,0.0002,0.0729,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093,44.181,12.4701,0.0,0.0,0.0,0.0,0.0,0.0,1.8835,0.0,10.7543,13.3835,0.0,6.9503,0.0,1.2486,0.0,81.8369,74.6734,0.0,21.5012,0.0,0.0
ISL_P,0.5142,1.1059,0.0064,0.035,0.0001,3.61,0.0769,0.046,0.1212,0.0004,0.079,0.3735,0.0728,0.2987,4.5355,0.3722,0.0299,0.1768,0.4146,0.0086,0.0305,0.6312,1.0725,0.1807,5.4579,2.6277,0.4547,0.7621,2.4265,0.614,0.0731,1.5136,0.3563,0.5196,4.2448,2.7191,10.4814,5.6029,2.7789,18.4625,381.0547,4.6372,0.2155,0.2559,0.0
ISL_Q,0.4071,0.8467,0.0027,0.0276,0.0002,2.8565,0.0692,0.0363,0.0961,0.0002,0.0904,0.1448,0.0576,0.2354,3.5865,0.2978,0.024,0.1388,0.3295,0.0066,0.0242,0.4676,0.7287,0.1854,4.2111,1.8857,0.36,0.6031,1.8433,0.4858,0.0834,1.2004,0.4516,0.4114,0.9371,1.0736,2.3001,1.301,1.1769,103.4258,0.0,998.2939,0.506,0.6097,0.0
ISL_R,0.0,0.0,0.0003,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3973,0.0,0.0
ISL_S,0.6783,1.6151,0.0038,0.0471,0.0003,5.4346,0.1432,0.0749,0.1998,0.0005,0.186,0.2985,0.119,0.4898,7.7187,0.6146,0.0483,0.2885,0.6865,0.0139,0.0495,0.9596,1.7477,0.4576,9.2452,5.9697,0.7413,1.2499,3.7778,1.019,0.1827,4.4813,0.8379,0.9021,3.2679,2.4164,5.1201,3.028,2.5006,2.3108,2.8437,3.2094,0.8634,83.9068,0.0
ISL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
