V1,CYP_A01_02,CYP_A03,CYP_B05_06,CYP_B07_08,CYP_B09,CYP_C10T12,CYP_C13T15,CYP_C16,CYP_C17_18,CYP_C19,CYP_C20,CYP_C21,CYP_C22,CYP_C23,CYP_C24,CYP_C25,CYP_C26,CYP_C27,CYP_C28,CYP_C29,CYP_C30,CYP_C31T33,CYP_D,CYP_E,CYP_F,CYP_G,CYP_H49,CYP_H50,CYP_H51,CYP_H52,CYP_H53,CYP_I,CYP_J58T60,CYP_J61,CYP_J62_63,CYP_K,CYP_L,CYP_M,CYP_N,CYP_O,CYP_P,CYP_Q,CYP_R,CYP_S,CYP_T
CYP_H51,0.0644,0.0013,0.0001,0.0,0.0001,0.0336,0.0008,0.001,0.0007,0.0005,0.0001,0.0012,0.0004,0.0038,0.0006,0.003,0.0026,0.0011,0.0002,0.0004,0.0001,0.0007,0.0113,0.0001,0.0088,0.0019,0.0007,0.0073,0.002,0.0001,0.0001,0.0131,0.0001,0.0001,0.0001,0.003,0.0005,0.0003,0.0007,0.0001,0.0001,0.0002,0.0002,0.0004,0.0
CYP_H52,2.2284,0.0454,0.0217,0.1186,0.0009,8.1095,0.2519,0.536,0.4715,0.239,0.2001,0.9349,0.3391,1.84,0.2605,1.4455,0.1683,0.1635,0.1851,0.0741,0.013,0.7771,2.654,0.2054,5.792,4.8515,0.5121,8.0896,0.3039,152.6465,0.0846,6.1056,2.4987,0.2191,0.7533,2.3027,0.6117,1.1597,0.5876,0.6944,0.2892,1.4503,0.3719,0.2381,0.0
CYP_H53,0.0159,0.0015,0.0049,0.0191,0.0003,0.1726,0.0081,0.0244,0.0325,0.0,0.0463,0.0852,0.0462,0.0513,0.0101,0.1288,0.0004,0.0095,0.0096,0.0037,0.0004,0.0563,0.0579,0.0244,0.2093,1.8067,0.0489,0.0014,0.0012,1.3985,0.5161,0.2516,0.1727,0.1811,0.3023,2.1634,0.1512,2.675,0.3283,0.4323,0.3833,0.512,0.1623,0.1068,0.0
CYP_I,0.1984,0.0,0.1253,0.2944,0.007,2.8628,0.1438,0.2025,0.9945,0.7339,0.3021,0.2341,0.1655,1.0629,0.0647,1.2571,0.0186,0.2042,0.5934,0.0408,0.0066,2.0196,0.5414,0.4741,5.1573,37.225,0.5927,0.1516,0.1824,6.6832,0.4672,7.7473,3.2733,1.1792,7.7415,10.8081,2.536,27.9606,8.813,6.5992,4.675,4.3505,11.2021,3.0456,0.0
CYP_J58T60,0.0026,0.0008,0.2768,0.8049,0.0089,4.3256,0.6909,1.1012,1.2677,0.0015,0.6292,0.9138,0.7194,1.4579,0.4493,2.5026,0.0015,0.0694,0.8322,0.6836,0.0228,4.5016,1.7617,1.7474,4.637,9.4538,2.9145,0.3186,0.0871,11.3677,2.1394,3.6226,312.5376,4.2361,59.0989,14.5489,17.7569,38.8128,17.2777,8.2056,4.6984,5.9742,5.0122,2.4252,0.0
CYP_J61,0.1383,0.0211,0.1111,0.2764,0.004,2.1027,0.1847,0.4316,0.467,0.0392,0.1681,0.2891,0.1817,0.7428,0.0375,0.8714,0.0035,0.0958,0.2109,0.1434,0.0218,0.9557,5.3679,0.7604,3.4808,27.7267,1.0074,0.1295,0.0542,22.0979,1.0989,9.9891,27.8068,152.7881,30.0505,19.4271,1.9077,29.7075,6.6436,6.7426,2.3012,7.8119,15.7202,2.5545,0.0
CYP_J62_63,0.0646,0.0,0.0378,0.1546,0.0016,0.3015,0.0495,0.0785,0.3301,0.1482,0.0205,0.0504,0.0667,0.2383,0.0481,1.0523,0.0034,0.0022,0.1586,0.0425,0.0009,1.0157,0.4374,0.4772,0.566,21.6141,0.4586,0.0982,0.0042,1.4092,0.2542,1.3044,38.7354,1.9947,152.4137,6.9323,1.2069,28.2829,2.2867,3.8639,0.4767,0.529,3.4876,1.466,0.0
CYP_K,5.0044,0.3604,0.264,0.931,0.0083,7.7691,0.2375,0.9089,0.8651,1.1328,0.5515,1.7769,0.7263,2.2998,0.2952,2.1059,0.0605,0.1638,0.4189,0.1328,0.0212,1.8717,11.3732,1.6336,12.5828,38.6258,3.5866,29.3992,0.536,51.0785,0.4606,13.9686,3.8737,2.445,4.5932,419.6882,11.7711,11.4572,7.108,1.4825,1.8635,5.5132,2.1156,1.4907,0.0
CYP_L,0.0784,0.0,0.21,0.6232,0.007,9.22,0.6449,0.8684,1.381,1.2852,0.7575,3.1714,0.5685,1.1279,0.1565,1.8055,0.0225,0.1951,1.0726,0.1916,0.0134,3.7399,1.9296,1.0825,13.6987,171.6117,2.6546,0.0464,0.0811,35.9018,2.4383,89.2033,8.3117,6.6621,5.3615,36.3392,43.0547,50.0195,13.9128,20.5949,8.1306,12.3647,9.9412,9.0693,0.0
CYP_M,1.9543,0.018,1.7533,4.8809,0.0859,10.4655,0.664,1.6851,1.8141,3.7305,1.2326,1.7195,1.0915,2.2237,2.2411,4.831,0.0276,0.2815,0.9954,0.487,0.1378,3.9532,4.3864,5.7951,47.2854,80.8236,4.0923,186.6701,1.3212,70.6351,0.8456,43.4437,25.2151,5.4322,11.3672,946.5725,9.8734,262.6686,19.0198,15.8865,11.2106,17.6748,8.7054,8.9147,0.0
CYP_N,1.9156,0.0184,0.951,5.0037,0.0552,4.7262,0.3941,0.2924,0.3131,0.4733,0.6789,1.6876,0.534,1.519,0.1125,0.5932,0.0303,0.0292,0.9191,0.1655,0.0186,1.6462,2.7229,4.0448,11.3668,35.0468,5.6416,13.2547,5.3935,70.7787,5.0732,27.5416,17.7962,4.2581,12.11,85.8387,6.4033,82.2965,46.5622,7.5083,38.5921,21.0424,7.9118,7.7855,0.0
CYP_O,11.8144,0.1794,0.0398,0.1705,0.0016,9.2158,0.0871,1.2575,0.2037,0.2228,0.241,0.2165,0.175,1.7545,0.9069,4.2081,0.8089,0.6328,0.611,0.255,0.0385,3.145,1.2168,32.7147,41.3168,16.3915,0.2817,0.1085,0.0552,8.6234,0.6149,22.0983,1.2418,1.3257,0.7088,2.779,18.147,2.8732,1.8489,139.9226,3.3271,6.7048,3.7176,2.2418,0.0
CYP_P,0.0191,0.0,0.0494,0.2031,0.0026,0.6189,0.0078,0.0666,0.0384,0.0013,0.0533,0.2729,0.0552,0.1236,0.0076,0.124,0.0,0.0002,0.1864,0.0047,0.0009,0.6594,0.7945,0.0549,0.8749,3.5252,0.0026,0.8887,0.3595,6.5168,0.0878,1.0992,0.9133,0.8869,1.0359,4.3516,0.3064,5.8025,1.126,5.3343,4.171,1.4495,0.6845,0.4031,0.0
CYP_Q,1.6506,0.0,0.0006,0.0019,0.0,0.0272,0.0019,0.0026,0.0041,0.0038,0.0029,0.0111,0.0017,0.0033,0.0006,0.0053,0.0001,0.0006,0.0032,0.0006,0.0,0.011,0.0057,0.0355,0.0418,0.509,0.008,0.0001,0.0002,1.4287,0.0162,0.2625,0.0245,0.0196,0.024,0.3551,0.1266,0.547,0.4505,0.7003,0.5102,15.3186,1.1122,1.9548,0.0
CYP_R,0.0479,0.0,0.001,0.0039,0.0,0.3437,0.0032,0.0023,0.0477,0.0035,0.002,0.0081,0.0015,0.003,0.002,0.0049,0.0001,0.0005,0.0028,0.0006,0.0004,0.01,0.0051,0.0046,0.4207,0.4336,0.0071,0.0189,0.0002,2.2433,0.0064,14.0228,2.0595,0.0173,0.0267,0.6817,0.1108,0.5241,2.2588,2.108,0.5983,0.7915,8.9735,1.6835,0.0
CYP_S,0.3415,0.0,0.0096,0.0693,0.0001,2.0313,0.0126,0.0266,0.0546,0.0314,0.0448,0.0845,0.0316,0.0918,0.0108,0.3352,0.0061,0.012,0.0211,0.005,0.0006,0.4954,0.169,0.1452,0.1512,11.2471,0.0906,0.8018,0.064,1.1134,0.1096,27.7041,1.1534,0.4205,3.8809,6.3955,0.634,7.13,0.8123,1.7933,2.4298,2.0148,0.9906,4.3932,0.0
CYP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
