V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_C20,510.2999,9.9927,1.2378,88.6646,3.8414,210.7681,113.5385,5.1805,42.5417,103.2242,3123.9552,260.5757,571.3299,16.2957,23.0685,15.3775,1318.8498,35.4604,41.8264,33.4674,40.2113,34.7433,11.8293,24.1482,730.4826,527.3305,25.5707,13.8038,100.7024,14.9505,0.9792,612.1814,1.9692,6.1957,3.8836,28.3562,63.5003,39.5552,78.9472,61.2287,51.8159,155.4659,61.1079,478.8715,0
PHL_C21,4.0758,0.4272,0.0487,0.4515,0.2052,5.4823,1.049,0.1843,0.38,1.1021,9.7006,48.9694,1.7617,0.2723,0.503,0.2742,6.4564,0.5694,0.3935,0.3815,0.5016,0.8522,0.3758,0.1756,8.0172,3.927,1.0706,0.4523,0.8238,0.3651,0.0521,2.7097,0.2412,0.6669,0.4092,2.0031,1.0211,1.1401,1.3552,2.2344,0.8139,66.5836,0.3192,1.6498,0
PHL_C22,3.1326,0.4827,0.2231,1.5236,0.8165,6.3809,23.2511,0.7032,2.396,2.1364,8.455,0.9717,32.5798,0.3793,0.74,0.5127,289.2501,9.4335,11.9196,1.1392,1.6834,18.9177,3.298,7.3278,315.5403,7.217,2.3567,1.1478,1.9217,0.8774,0.0979,3.5539,0.7196,1.7672,0.5421,3.1678,2.0161,1.3,1.8281,2.8441,1.7686,1.1814,0.7222,2.098,0
PHL_C23,8.6446,1.0485,1.2202,3.7668,1.1695,22.3754,8.4629,1.654,2.5788,49.0144,74.3618,14.5926,19.2371,8.8676,11.1137,16.1676,321.4245,140.3521,70.0784,57.4139,90.6525,75.5167,75.9019,4.0065,2128.6567,16.7383,44.236,23.741,38.0278,15.7422,0.6309,43.2884,2.681,28.6137,4.8709,5.0004,70.6758,10.9443,4.337,43.0824,2.3118,6.6563,40.5324,16.1061,0
PHL_C24,7.3588,1.8785,1.29,9.1127,2.7014,47.4935,11.3251,3.1418,7.7989,27.6453,33.4779,2.8298,20.072,3.0188,107.134,289.3951,758.8945,247.3355,184.9867,46.0069,81.6065,148.8611,12.9903,27.5487,3120.198,212.4729,47.7792,25.4563,42.5474,18.288,1.2568,40.4772,3.4165,34.0606,7.668,24.042,112.7743,13.0149,21.1014,32.9919,4.8905,9.9789,11.0834,17.8079,0
PHL_C25,2.332,1.0601,0.1703,2.8056,5.8768,17.7022,4.543,4.3404,4.7686,61.4905,41.0268,5.362,21.795,0.4055,2.6872,17.1768,592.0181,349.3472,133.8897,43.5932,28.2778,20.1388,2.2627,6.6391,317.7028,17.8774,102.4989,57.4302,105.0527,43.1565,1.4979,82.3846,5.9437,77.754,11.744,3.8111,68.6053,26.7417,5.481,15.1462,1.1523,15.5425,16.2197,39.4637,0
PHL_C26,35.725,8.8814,1.6501,8.3729,6.2923,145.3497,24.0796,6.5,10.3366,30.7833,341.9623,10.7985,24.9791,4.923,21.3509,12.3087,3693.0201,565.5124,65.8817,385.06,319.2991,55.7458,135.1323,46.6327,759.4048,1040.6305,265.1821,136.422,261.3197,116.7556,13.5697,381.5321,180.354,604.5326,75.4314,219.1114,331.8165,212.4386,294.4851,26.4538,19.3972,98.6039,101.0111,149.7878,0
PHL_C27,13.1794,3.3164,1.5666,5.5446,1.6809,77.9122,19.3602,3.2113,8.8259,12.3331,14.7729,2.548,7.6213,4.765,17.871,8.5224,493.8641,335.1108,17.0223,173.2285,75.901,15.4339,75.3805,17.4699,198.4301,174.1082,140.3477,77.8015,146.348,61.7935,3.4209,128.9666,14.9684,169.629,22.1968,137.5021,92.5204,49.1396,44.2241,13.6338,6.1378,13.2097,13.3602,14.8683,0
PHL_C28,3.7239,0.7145,1.2576,18.0174,2.3541,19.739,3.137,0.8203,1.9617,4.2313,4.3478,0.9979,5.7204,0.9302,4.8504,2.3977,75.6362,13.3392,10.7054,5.9868,2.6176,5.0661,3.1692,2.6882,34.3902,60.4065,6.9999,8.8153,5.03,3.0801,0.438,7.1508,1.4322,6.9018,1.8571,9.5663,11.4286,3.5087,8.1947,2.5739,1.3544,2.7683,3.8011,3.8922,0
PHL_C29,6.4144,1.6979,0.8012,1.5552,0.6115,40.3435,7.3905,1.5545,4.5096,6.1881,5.9337,1.2036,1.849,2.7003,9.6562,5.0639,82.1677,10.6944,6.108,9.5941,9.6685,8.3021,5.5058,2.0498,38.6024,172.2991,8.5268,9.0646,5.1239,3.1062,0.7591,11.2897,2.0323,8.0841,3.69,21.9975,19.1591,7.8932,19.8646,6.9701,3.2079,4.8518,4.4292,4.6273,0
PHL_C30,2.636,0.7092,0.3749,0.6478,0.1149,18.0813,3.0066,0.6774,2.05,2.3941,2.3458,0.5761,0.6083,1.2257,4.3107,1.8676,42.7932,3.2318,1.7665,4.5451,34.8473,3.5503,2.5225,0.8319,13.0005,117.0181,3.9817,19.8519,2.4035,1.4077,0.377,5.2551,1.0088,3.7992,1.7173,10.0442,19.9337,11.5367,9.4795,3.1694,1.4851,2.2825,2.4134,2.1124,0
PHL_C31T33,10.0246,1.9106,8.96,1.5946,2.682,62.2851,34.1033,50.7434,22.0526,45.3505,77.7275,39.4494,15.3717,2.7453,19.7993,22.1739,813.8958,48.252,144.0369,19.0046,67.8506,237.1965,9.7466,4.4157,271.9362,345.0103,70.2056,38.5743,68.0594,34.6579,2.0332,44.8715,6.6037,58.5961,10.532,75.1088,62.7124,19.7715,38.2589,18.3063,5.5039,13.8164,34.5384,30.9922,0
PHL_D,292.1586,84.9948,41.4484,43.1055,5.8981,1824.5207,227.7588,53.0003,193.4979,283.632,163.6827,25.454,36.9637,135.9696,405.4948,126.5123,420.0694,55.5638,29.7544,150.8704,31.8139,115.4974,259.6455,68.7066,552.078,1100.1093,210.217,101.132,93.1896,66.7306,13.1072,263.5064,41.3306,189.1746,102.455,694.7828,355.4988,108.168,478.3823,139.1424,115.1046,123.0266,58.4684,102.213,0
PHL_E,37.8376,8.9371,1.0869,4.3486,1.6273,420.5453,24.0192,5.6151,20.5069,24.2628,17.5858,2.7075,3.9773,14.2326,18.6076,13.4388,44.5198,5.866,3.1541,16.0127,3.4425,12.2728,245.2979,31.6748,58.5979,116.1823,22.3185,10.765,9.8772,7.1236,1.407,28.15,4.4487,20.2522,11.0022,67.4378,43.5485,11.707,34.0584,34.326,12.2412,13.1993,6.2692,10.9701,0
PHL_F,13.1513,2.6788,0.8499,4.867,4.0444,76.4093,9.7752,3.6704,5.1602,17.7761,9.7977,1.7127,2.9408,7.0543,11.783,9.1503,44.2134,14.9263,7.0005,6.8509,3.8427,9.5046,8.7722,1.9572,102.5723,116.3099,19.3223,50.5399,6.1194,8.2301,0.991,25.1348,46.1243,12.2819,14.684,54.0505,24.0346,128.5126,23.5041,8.6723,4.9103,16.2016,5.0612,10.3804,0
PHL_G,3116.0744,999.4451,18.7768,72.7631,8.88,10257.7571,1579.4753,164.753,272.6741,932.4331,864.3668,113.0835,172.9282,279.8375,366.7388,116.3591,2277.7962,409.7446,171.2172,316.5793,198.0632,368.6963,404.3955,48.0482,1439.9371,2750.817,635.7029,286.7229,427.1492,174.7921,28.656,1500.3327,195.176,344.7472,106.4066,578.4585,315.4573,286.9895,377.571,353.5175,138.7556,174.5875,116.3393,223.3932,0
PHL_H49,347.8888,71.2969,5.2947,24.2138,7.5143,1076.0218,102.9686,41.2078,59.6425,192.427,103.4268,12.2294,24.5519,66.4823,218.2069,75.6949,269.106,77.5684,32.5743,72.776,24.5242,81.7044,53.8215,11.38,275.418,655.9618,636.3355,140.0356,242.4606,238.9117,19.5506,113.3985,26.4344,143.072,56.932,50.7815,88.3149,119.5326,86.6468,47.4337,27.2828,15.4315,11.7326,22.0869,0
PHL_H50,6.7756,0.7548,0.1842,1.009,0.1496,13.8657,3.3331,0.9742,1.1655,15.3579,7.3096,0.8405,0.238,2.1962,8.5888,2.1724,19.6564,5.5537,1.8931,2.2892,1.6518,2.0959,3.2236,0.4557,18.8543,4.8356,9.7875,2.3312,6.9415,1.9539,0.6795,5.6745,0.7858,2.1827,0.8613,4.8063,2.9021,1.4916,3.9264,1.1406,0.7142,1.1167,0.8309,1.6209,0
PHL_H51,31.067,6.8871,0.6049,3.1501,1.4472,81.9136,18.1794,2.9969,5.5468,56.0923,28.0258,2.9936,5.8279,8.2666,30.2491,6.0173,71.2534,16.7998,6.1461,8.3918,6.0742,7.2608,13.2181,1.5323,68.0432,197.8244,20.8696,7.5002,173.1945,5.3314,1.2237,19.3479,2.9352,9.9246,2.3837,22.9267,10.3082,6.8226,10.2903,127.0254,3.2829,4.5142,2.7091,7.1173,0
PHL_H52,80.637,12.0749,2.6815,20.3559,5.1458,157.9645,54.1786,54.5259,8.4901,30.9848,15.9483,1.8732,4.0059,10.0457,196.3899,103.2948,73.8501,106.7705,39.9774,80.1856,8.0187,48.8657,7.7241,3.0956,125.0546,45.3051,382.6047,5.2355,281.3936,52.6801,41.7578,68.1114,2.4449,9.6884,2.9469,14.6685,36.3032,4.9518,18.4798,33.7751,4.4248,7.6009,1.6488,4.1706,0
PHL_H53,3.9618,0.91,0.092,0.5456,0.1178,19.6227,2.612,0.9174,1.901,2.3633,1.6876,0.2604,0.3817,1.3307,2.9531,2.0117,4.5519,1.3685,0.5992,2.0911,0.3642,1.4187,0.1192,0.0474,1.2427,0.8995,3.9378,21.3975,5.614,3.8803,4.1242,1.0429,32.5981,31.5607,3.4563,17.9989,5.0642,3.3213,10.317,42.3975,19.1422,0.3025,1.3502,0.0864,0
PHL_I,4.5943,1.3745,0.097,0.4366,0.7365,35.1595,3.9481,0.7253,1.5336,4.5467,2.2668,0.2842,0.4979,1.2548,1.4225,1.0696,5.7905,0.9839,0.559,2.7267,0.519,1.4301,1.7041,0.3473,6.3746,31.9679,9.5337,4.2188,3.0227,1.1406,0.2022,1282.9229,0.942,3.0348,6.8497,35.635,3.7818,6.1788,12.5077,146.5177,2.0017,4.9468,20.7267,3.118,0
PHL_J58T60,4.6495,1.0964,0.2028,0.7586,0.218,21.6988,4.3485,1.0332,4.1029,6.9736,5.3671,0.4212,1.3039,1.733,1.9082,2.0949,12.4009,2.6771,0.7742,2.2093,1.0641,1.8367,2.6553,1.0317,8.4093,35.6979,6.3031,2.5191,2.0095,2.1892,0.4885,7.2149,193.2526,27.9947,4.492,26.6606,11.972,8.2546,12.6687,170.9807,6.0489,4.3651,8.8331,6.2251,0
PHL_J61,89.583,20.9404,2.3401,10.591,0.9731,514.945,63.2694,14.5287,48.8023,65.3506,43.4554,6.3905,10.1173,34.0459,41.2004,32.7941,112.5688,15.6802,8.4095,44.357,9.218,29.59,62.3107,8.7419,164.2044,345.2387,66.4361,32.2996,30.5396,23.7459,5.2326,89.8703,49.8448,226.8679,57.0335,285.356,203.7318,43.3251,117.1591,167.3633,36.1472,39.699,22.3109,33.7059,0
PHL_J62_63,8.189,3.679,0.1618,0.6471,0.5903,45.4623,4.1347,0.9308,2.1396,5.7479,4.1976,0.5356,1.0574,1.6165,2.1974,1.7261,10.8652,2.1077,0.8006,2.2466,1.2822,2.3484,2.6972,0.8771,16.2395,25.5659,9.4782,4.6845,4.1042,4.1559,0.5057,14.2216,4.711,11.777,9.0029,43.8677,13.8596,7.4191,22.1389,90.1654,4.686,7.8802,1.1602,3.3258,0
PHL_K,319.3404,95.4001,10.9272,42.0629,5.8046,1957.7491,271.9812,62.8516,167.9711,324.5798,223.9024,35.3198,50.9683,144.054,203.0732,149.5817,362.4503,75.3047,39.2669,179.55,43.3617,78.1352,364.0104,45.8953,998.4194,1502.0963,341.5554,228.3534,126.4935,118.586,16.9112,175.689,83.988,264.722,157.1061,6466.8437,692.2769,155.3518,628.5425,2040.5604,187.3717,233.139,74.8931,132.298,0
PHL_L,96.8424,13.6444,13.0696,37.7344,1.0601,195.0807,219.628,55.45,52.547,514.29,28.1474,3.7133,82.8295,52.0123,30.5877,101.4341,103.7749,53.2031,36.5353,76.0927,28.6492,75.9156,12.7614,54.5804,26.9416,2355.6749,203.8766,84.2793,15.4928,88.8935,29.3086,300.0432,96.6231,478.0232,229.3633,1552.9823,551.8752,191.1762,771.4704,136.3503,221.6931,197.8083,32.0896,245.1904,0
PHL_M,33.6508,9.0284,1.07,7.6643,10.4526,203.211,25.077,6.1344,20.2325,26.4468,91.2531,6.8745,9.6076,14.1752,18.3218,13.9915,156.6042,12.9622,6.1164,16.4673,18.8312,12.7371,40.1683,24.0114,152.4208,231.8551,161.9354,52.2266,60.2567,46.7899,4.5261,61.749,10.7682,50.2069,54.1454,227.4548,107.9608,155.9658,209.2359,61.4106,21.8201,123.7966,19.4536,27.5814,0
PHL_N,46.4408,9.5157,0.9616,4.4037,7.091,208.8139,24.5434,6.4574,20.2252,25.445,25.4529,3.1867,4.9622,14.014,17.2761,13.1722,56.6459,8.5729,6.2665,15.4713,4.4629,12.2708,25.3846,18.7033,368.4893,170.497,529.4976,292.4461,237.4142,280.1547,20.066,598.9,103.9674,724.0965,705.0066,3247.5346,466.4627,325.8565,1819.1524,92.777,42.3715,203.7458,30.0086,89.8297,0
PHL_O,8.353,1.4124,0.7272,2.4022,1.2344,30.061,8.2311,4.5936,3.3422,15.2926,5.5461,0.7013,2.6315,4.4746,15.2625,5.3797,12.4805,4.5829,2.3062,4.3867,1.878,3.8286,5.7208,4.2293,19.0803,70.3336,17.345,5.0376,7.4936,5.3276,1.56,14.4191,4.1767,15.8912,9.1479,57.4424,19.9428,11.1392,30.2361,2757.283,7.0798,13.514,3.5024,7.8507,0
PHL_P,39.6913,10.2762,1.4023,10.1083,1.4877,232.6709,28.7865,7.2642,23.0807,30.5509,82.5983,6.7833,9.4247,16.6717,20.1024,15.7964,169.5626,11.9801,5.8677,18.7803,15.653,13.8837,47.6765,30.0827,187.2727,262.7575,162.6435,47.1685,58.2808,41.8113,4.24,49.5482,7.9795,26.7598,31.4304,152.9661,106.9122,153.2695,193.9186,92.6112,28.7238,144.0572,23.7469,27.9337,0
PHL_Q,4.8233,1.2917,0.1973,0.737,0.2078,59.0171,4.8876,1.1277,2.765,13.4391,4.8933,0.8711,1.0853,2.5657,3.6893,2.2131,14.7287,2.6191,1.257,3.6218,1.0634,2.6505,4.175,1.2192,23.646,87.7637,8.7836,4.4835,2.3489,2.2214,0.5989,27.8932,1.5602,5.3965,3.1347,24.0763,9.1109,6.391,14.3733,15.6159,7.1771,184.4375,2.6548,5.5652,0
PHL_R,11.2509,2.4555,0.3041,1.3957,0.1082,39.0594,7.6885,2.7856,5.1778,9.3502,5.3174,1.6667,1.8854,4.238,5.6051,4.4188,15.5304,2.9371,2.0935,4.7541,2.2981,3.7339,6.2464,1.266,18.7763,145.5433,10.6605,3.511,5.0299,2.9161,0.8471,78.2322,9.1328,8.3986,4.6575,42.1352,14.0352,7.0164,17.3018,19.6013,4.4549,5.0436,289.3111,36.8109,0
PHL_S,7.0214,1.9729,0.1589,0.6472,0.6141,35.2863,5.1497,1.1915,3.0187,4.6503,3.438,0.5573,0.8303,2.0789,3.0609,1.8944,10.3975,2.1176,1.1528,2.3904,0.7689,36.6652,3.5369,1.7134,40.3039,25.9498,8.259,2.6412,3.3304,2.2949,0.3946,86.9615,14.1788,5.5137,3.0952,59.4846,14.6854,6.222,90.6532,6.0334,110.1512,51.8576,17.5702,751.6233,0
PHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
