V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_C20,662.2893,13.1411,23.4735,2.7484,1.2806,158.8187,805.7576,48.0517,261.7354,983.4817,2322.9279,200.2836,1191.8063,279.5711,116.7646,88.1399,107.8956,168.101,71.9973,136.2449,24.2158,185.9074,30.0958,39.9675,821.3006,95.9364,28.0029,4.7771,6.4999,8.3326,1.3115,23.2831,36.0226,7.9597,3.0486,5.3306,31.3341,34.6651,28.8454,39.121,27.286,145.3863,12.3605,99.8605,0
BGD_C21,42.5425,1.6111,0.7907,0.0645,0.0356,21.8257,22.3743,0.8129,3.7763,9.0517,38.8958,310.3198,12.2592,3.9369,3.3211,1.6746,3.3017,2.7004,3.373,2.219,0.4732,6.7172,0.8765,0.9569,18.9888,9.6916,1.8987,0.6394,0.7611,0.6446,0.2087,1.7952,1.3432,1.329,0.3099,0.9723,0.7877,12.432,1.3015,16.0818,6.4533,490.4421,2.3397,7.6386,0
BGD_C22,54.6781,8.4675,6.6791,0.6878,0.3346,245.7844,324.3876,12.457,80.8493,46.1296,130.0778,41.1245,507.1302,84.1093,23.5236,51.3841,130.1748,140.7233,114.8922,295.705,29.6276,171.734,7.3016,19.656,1431.5678,160.3257,85.7882,2.5633,4.858,10.8534,2.6018,15.2902,14.2307,10.7953,2.5975,5.4541,16.56,18.5526,13.4049,22.5994,9.8868,26.2715,5.5019,48.8106,0
BGD_C23,21.3259,1.8763,3.0091,0.8226,0.3308,67.4979,35.6075,7.3698,6.0036,16.7584,37.6658,11.0472,29.7142,722.9822,43.1539,28.5076,31.9514,36.1605,21.9345,54.9601,7.4949,32.6413,8.9881,7.1632,4439.4834,29.9934,7.6794,1.4644,1.5,2.89,0.322,7.7406,2.2308,4.6304,0.6897,1.8487,32.8761,9.2657,4.1934,10.2549,5.8806,9.0535,2.3473,12.2894,0
BGD_C24,7.0062,0.6359,15.3678,0.4068,0.6041,15.8352,26.2216,4.2738,12.1718,20.5071,39.2572,3.8869,45.43,94.3139,2141.2469,1052.1068,188.0654,675.1234,567.7988,489.2733,95.6498,266.6072,9.9993,30.463,1907.7165,27.8416,7.7293,1.256,0.77,2.9695,0.0842,0.9956,1.5163,2.5085,0.4046,0.8571,6.2515,8.4548,2.4893,3.9238,1.6478,2.0795,0.9482,16.7174,0
BGD_C25,23.5766,4.3621,13.1471,0.5764,0.5787,64.1634,67.454,10.1178,11.8563,32.2433,33.2821,5.4449,33.2516,46.6088,92.2437,265.5724,62.7218,92.7809,202.4509,189.0249,41.1883,116.8986,10.3073,9.4658,1456.2899,37.4933,12.5387,2.3538,2.7144,5.8976,0.5498,5.2422,3.2037,8.4617,1.3116,2.0741,10.5062,11.6565,7.2789,24.8705,5.9851,6.4936,3.4221,31.6256,0
BGD_C26,5.8589,1.3583,1.4028,0.0809,0.0747,9.2791,17.4545,0.8087,4.5016,8.8057,6.2792,2.2232,4.7014,4.6951,4.1511,6.8293,480.6009,52.943,28.8532,29.3842,7.8765,25.5134,5.815,2.3733,106.2082,24.2623,5.3866,1.2741,2.4416,2.4751,0.8719,2.5326,9.0523,66.3526,9.4259,4.784,2.1281,14.4597,5.1619,15.2963,7.171,22.8362,3.4579,57.928,0
BGD_C27,7.0826,1.9377,2.0295,0.148,0.1216,9.8161,19.1511,1.1266,4.3219,9.0168,7.1052,1.7456,7.8651,9.3848,15.9234,16.711,154.7074,333.3392,84.8772,93.8105,14.9445,52.8645,30.2558,4.3664,665.2271,35.1392,10.2225,1.6742,1.9347,2.816,0.4464,3.6594,4.5718,30.9656,2.6891,2.177,5.9983,10.1751,5.3207,11.7166,4.0412,6.1657,3.4879,43.0078,0
BGD_C28,27.3533,4.0728,10.9958,0.7351,0.5433,20.4214,38.0621,2.9806,12.1561,31.3821,16.1162,3.4073,12.6405,24.3506,20.3523,26.7679,30.0351,39.0405,228.2558,84.0019,18.3322,60.272,15.4002,5.8149,337.1314,28.2469,13.8816,3.1276,4.5879,4.3735,0.5966,2.859,3.3438,8.0153,1.3028,2.1431,3.6578,7.9986,6.7464,11.394,3.2965,5.7945,2.2434,16.3986,0
BGD_C29,6.6419,1.1217,1.6016,0.1375,0.0726,8.4999,15.4408,0.8889,2.4801,5.7019,4.7507,1.1748,7.1069,7.3425,27.9576,14.078,11.6296,19.4751,28.2837,791.1405,7.1004,22.4317,2.0461,4.6427,73.8461,103.4311,48.7686,0.9894,1.3591,3.883,0.7998,1.5057,1.3661,3.0588,0.5508,1.2948,1.4066,3.6221,5.5273,7.4951,1.999,2.7529,1.1726,10.5421,0
BGD_C30,0.4147,2.4042,0.116,0.0095,0.0049,0.5418,0.8257,0.0608,0.1557,0.4272,0.2716,0.0771,0.3164,0.3002,0.3542,0.6995,1.2421,0.9544,1.6795,7.6199,87.9742,14.1853,0.212,0.1502,5.948,2.6076,9.7574,7.1549,11.2891,1.0258,0.0575,0.1085,0.1005,0.1963,0.0378,0.0922,0.104,0.3519,0.6461,12.4246,0.1854,0.3015,0.1613,2.6381,0
BGD_C31T33,57.5153,15.5518,15.8668,1.1398,0.7371,53.3517,261.3871,13.4352,30.7589,74.7061,42.3018,14.0975,24.9256,49.6396,45.4261,31.7742,45.8694,29.8789,54.5522,43.795,16.4632,293.4554,41.6339,19.8324,511.0838,70.7212,57.4222,16.0726,33.8637,15.2358,2.9609,16.3749,14.8467,32.3179,5.9876,18.4992,16.7864,30.4184,23.4807,65.9371,43.0139,155.2703,26.2915,54.0156,0
BGD_D,123.979,13.3655,24.9782,3.0064,0.8063,129.8569,268.6674,18.5818,98.8639,331.5747,182.9096,20.366,74.4351,201.5946,203.2815,49.2319,43.6121,37.0641,47.8018,55.6751,11.2599,44.9056,801.1768,44.2379,181.4474,158.7044,74.8131,4.1551,3.7103,24.3069,4.5216,70.1429,21.9924,75.9887,5.7696,25.2153,76.9154,31.2818,18.6845,147.1692,89.0999,86.3949,39.1791,76.0135,0
BGD_E,49.9604,8.206,18.4479,1.376,0.8986,110.4405,203.0482,12.665,198.9133,135.9264,97.0658,16.7995,72.0081,131.7336,1162.1721,103.966,24.7005,25.6072,43.2474,30.8721,8.8067,36.2112,85.8898,1014.1628,424.5822,180.7128,42.269,7.3332,5.2285,21.7807,4.262,65.3305,15.2907,23.159,5.3828,22.3422,102.2218,37.648,33.485,362.3669,82.8741,123.6438,29.9335,73.5048,0
BGD_F,53.7915,7.0576,12.7657,1.0373,0.755,43.5602,78.5733,6.7209,15.7084,69.01,29.0007,7.4878,15.566,52.9807,23.1578,21.9356,17.471,16.5499,24.4416,19.7767,6.1441,38.9379,72.4237,30.9124,5453.7116,109.5534,59.4204,8.2623,11.8704,31.6647,3.8574,27.2266,14.9621,52.4294,5.3189,23.5781,324.3095,42.5911,19.9957,246.0561,63.3221,45.4479,20.9679,38.8373,0
BGD_G,1122.2562,203.7462,29.3071,3.4366,1.9994,2310.5334,3493.0641,130.1203,322.0396,804.1808,580.994,179.6271,305.4075,314.2479,261.72,168.5014,286.1569,211.1493,278.6191,439.5686,51.0676,328.0227,100.5661,74.1726,1816.6611,1445.8146,642.1133,64.9367,95.6882,69.4026,22.7366,446.8237,167.7674,173.5004,29.7615,60.7686,55.0113,125.3765,140.3784,228.6592,101.1984,221.2721,62.8474,181.5212,0
BGD_H49,336.0317,53.4667,38.1488,5.5439,1.8613,665.1908,575.1626,58.0282,135.963,502.7923,234.3783,34.896,107.8697,267.6333,138.9455,79.3976,70.9488,73.2954,82.4738,122.259,17.7126,104.8429,63.0748,42.5742,894.9168,641.3251,702.6193,34.7971,35.1639,132.514,38.5765,88.6309,51.1789,31.3664,7.6436,30.719,16.6474,50.5971,42.8574,118.7592,75.7392,57.8119,21.5634,93.4873,0
BGD_H50,43.3124,8.7757,18.8709,0.5343,0.2428,75.1017,178.5772,6.3506,19.6043,242.821,50.5413,5.1934,20.7452,37.6267,39.9947,17.7731,17.1083,18.9026,21.308,22.4458,6.4916,18.3062,8.1338,3.4934,112.3558,122.9764,48.3295,273.2274,8.2352,53.9446,2.352,9.9648,5.2143,5.0101,1.1739,2.6606,2.2595,6.9324,7.9909,17.6563,4.4646,7.9916,2.692,9.1509,0
BGD_H51,40.9852,4.6871,6.185,0.276,0.2401,68.8578,193.7248,3.248,15.4186,74.0394,38.75,8.2078,21.7686,21.1795,25.7433,15.996,22.7857,20.6093,20.5363,19.8033,6.6339,22.3888,9.4096,3.7757,133.712,55.1479,19.9177,5.3783,63.7797,22.5213,9.8601,12.1329,10.3504,9.942,5.4189,14.6291,4.9647,23.1606,32.5036,51.1475,16.7178,12.9262,7.0802,20.3881,0
BGD_H52,63.7861,20.4451,9.8659,1.4332,0.6211,154.8385,181.2225,12.9644,39.4055,185.3644,70.2177,13.2897,29.2898,73.7851,42.0283,28.518,28.2589,24.6834,28.052,52.9765,7.4389,32.7913,15.2449,13.6328,167.6247,458.09,382.1918,174.4223,216.2665,239.9426,16.1412,17.7027,14.8916,16.167,3.1936,5.2298,5.1065,18.6235,17.1791,40.9432,8.0065,11.207,5.8622,22.1955,0
BGD_H53,4.2753,0.5863,1.2266,0.0616,0.0454,6.7663,24.6077,0.6884,4.4638,6.7221,6.3964,2.1799,3.0726,4.4977,2.137,2.7564,4.872,3.0613,4.232,3.0047,0.9285,5.9955,7.4843,3.001,32.1338,72.7782,9.7091,1.268,2.0828,8.1755,53.6147,4.8498,24.4967,33.8261,3.6234,36.1105,5.4508,17.9681,10.1402,48.6662,11.6909,10.9151,6.3177,23.1192,0
BGD_I,12.0255,3.0645,6.2572,0.2778,0.3392,30.7177,85.7122,2.8271,9.9728,39.5302,23.887,12.6799,14.3722,18.4223,12.6822,13.5045,21.1034,15.0336,20.1385,16.3927,4.6515,22.6954,16.2874,10.5838,193.2383,134.0827,50.4141,9.1533,42.6117,20.1342,4.2961,46.2127,25.7614,37.4505,13.2033,60.8879,15.0321,67.9951,54.1325,151.1376,79.719,90.5743,35.9837,83.0871,0
BGD_J58T60,5.6672,1.1416,1.6785,0.1222,0.1017,36.9075,60.4891,1.612,23.1878,14.5225,16.5039,9.8884,6.8707,9.2597,5.0646,5.8148,15.9669,8.5426,9.3017,7.7233,2.7192,13.0482,7.751,4.7703,57.8203,119.63,11.3429,2.1933,4.5213,5.1451,3.075,16.5605,496.4799,125.7863,19.5013,38.7242,11.3849,177.9267,22.2559,72.6705,86.0686,22.4962,46.505,50.197,0
BGD_J61,17.7351,4.6778,7.8554,0.333,0.2765,27.8373,96.2193,3.3336,12.9557,26.4778,19.8253,7.3801,12.4901,20.3039,9.807,16.4952,28.9995,15.0064,21.3788,18.4871,4.163,25.8129,20.759,9.4263,206.121,190.3404,46.3826,7.4148,8.7532,17.5582,10.125,26.8448,71.9453,1284.978,29.9305,119.0084,29.6065,72.7534,41.3505,182.2231,49.3399,59.5781,25.5965,89.1577,0
BGD_J62_63,3.2251,0.5098,1.5771,0.0819,0.0523,10.5061,24.0605,0.8257,4.7384,14.2549,6.7894,4.0449,3.5836,5.6947,3.2348,3.3896,10.9493,5.4547,6.357,7.4686,1.5023,6.719,9.3094,3.284,49.6251,43.1695,10.1914,1.8887,4.1726,4.4805,2.432,4.1366,22.7438,52.5907,43.5366,40.2864,6.0333,25.9832,10.1611,43.7831,12.5211,12.8664,6.7448,19.4662,0
BGD_K,187.4105,26.5977,50.9306,2.012,1.5404,134.8636,404.4136,15.8751,64.4657,219.1118,101.3035,31.7629,56.9088,107.2008,72.879,62.4547,79.2283,62.3517,79.6241,83.0716,21.8841,86.7911,122.0446,40.2637,929.1039,520.9944,179.4827,34.9528,44.5894,57.5372,13.0743,68.3787,58.0602,131.4651,24.3668,1325.1663,800.355,157.455,100.765,325.3486,67.8934,90.2764,47.1388,146.1289,0
BGD_L,15.5894,3.1575,7.6977,0.4536,0.262,55.566,257.6944,5.7554,24.5932,40.359,24.7529,11.0676,25.8751,34.5327,16.2133,31.6262,35.7228,21.8921,29.4947,28.7138,9.3656,55.9873,30.0744,19.407,397.3729,630.2396,65.6752,10.2445,13.1437,47.2828,13.4468,161.468,60.7644,148.1196,29.087,134.5897,211.7231,130.3741,71.2518,188.3899,106.1389,111.4477,65.9064,204.4834,0
BGD_M,84.3681,8.0346,31.6542,1.5679,2.1022,192.0746,369.8742,9.0812,45.8444,159.7904,102.1789,75.1421,51.3321,80.1033,48.9282,49.7811,120.6084,66.2396,73.3295,95.9833,22.9607,83.6101,79.0245,43.4785,1215.9226,558.0835,72.3669,20.2556,23.4353,40.1529,9.3225,56.8367,140.3009,211.2304,54.2414,208.9703,108.4905,430.0581,103.7052,240.0096,83.9804,107.1253,69.3944,149.9345,0
BGD_N,49.2005,8.3784,37.2866,1.7318,2.0349,132.611,328.7591,11.0299,51.0653,142.7675,78.8249,44.5692,59.5885,87.2574,42.6444,59.1475,90.7571,59.6658,76.8513,93.4206,19.0901,90.8149,69.7389,47.643,967.0522,436.8649,158.4408,48.9432,73.2068,81.1934,21.6946,79.3863,104.434,224.4312,49.3897,160.5494,124.7216,175.3617,234.6288,278.2453,125.7516,158.9963,69.8671,165.3229,0
BGD_O,43.1596,7.1019,8.4742,0.6566,0.4018,59.9732,127.4559,5.9343,23.3444,83.1336,39.7691,23.0787,23.3974,26.8473,47.5733,23.7449,22.5757,18.9098,25.5363,33.4651,8.882,31.9741,37.4926,33.7165,427.3883,147.3911,107.3053,15.8043,17.0862,31.0724,6.395,25.5117,26.0845,65.8284,11.9033,58.9688,58.5377,66.3447,36.9233,487.6918,57.251,71.2075,28.749,69.2526,0
BGD_P,6.0378,1.3065,3.7995,0.1206,0.0779,11.8368,23.7106,0.9974,3.8756,17.7533,9.3415,7.7842,4.8835,7.6224,7.0899,5.3253,12.588,7.9964,8.8545,7.5161,2.4723,8.7416,10.5097,4.6316,63.1825,36.9176,15.1851,2.0843,8.9982,6.6139,1.7551,4.3463,10.7011,30.5754,9.792,31.8851,6.6174,35.4922,15.2357,136.924,253.3385,33.5886,10.3534,40.6685,0
BGD_Q,8.4637,2.1795,1.667,0.075,0.099,12.3914,23.3462,0.8886,3.5198,12.1073,5.8781,7.7269,4.6156,7.0381,3.7397,4.6429,6.5517,4.4376,5.3627,4.7169,1.6433,7.2787,4.1743,2.9393,52.4434,25.6923,11.1805,1.6403,1.5694,2.9136,1.1321,6.3465,4.4051,6.8168,3.6994,14.6308,3.2095,12.1397,6.7997,89.3909,34.6535,1150.0102,8.1803,20.7709,0
BGD_R,3.7428,0.6958,0.8102,0.0526,0.0274,10.7025,16.3532,0.9234,3.0705,5.9454,3.4532,1.775,2.5241,3.7663,1.6231,2.2321,3.1327,2.2869,2.8136,2.9686,0.9957,4.9327,3.1156,2.849,34.3465,25.5275,5.3959,2.0096,1.6355,2.813,0.8286,17.6321,127.1607,18.8909,3.1349,10.6293,6.6541,24.8463,12.5335,58.3551,35.3866,9.9813,335.8537,63.9938,0
BGD_S,20.5981,4.23,2.9783,0.3292,0.2079,30.5149,77.8403,3.3373,10.0822,31.5028,15.5496,6.2241,9.6728,19.922,10.9616,8.6083,14.7956,9.5208,11.2419,11.3248,2.8059,17.4133,12.4961,10.7506,115.9171,88.4181,31.4324,4.5718,5.8383,10.5249,2.8814,34.6084,22.7192,28.3711,10.5464,39.9866,16.0024,43.0389,22.3961,60.1528,33.6322,87.6826,28.2819,240.9518,0
BGD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
