V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_C20,280.6806,26.4779,1.7498,470.2414,1.1861,233.6717,31.1011,105.0012,164.8828,170.9545,623.3276,45.7915,302.8422,112.753,35.8931,74.1107,2.1329,11.8008,31.646,0,12.3053,34.9584,23.6707,13.3086,267.6095,68.348,16.6245,0.9832,2.2441,4.323,0.0971,24.6981,5.7091,4.7191,4.019,12.7503,4.7261,24.6274,48.2636,38.9966,38.611,78.0814,4.6334,16.8245,0
CHL_C21,48.0661,43.8154,0.0513,8.5547,0.0147,43.8242,1.596,1.7074,2.8628,1.2522,12.2382,129.6915,2.4203,0.8693,0.6859,1.0773,0.4507,1.2227,0.8984,0,0.7697,1.5666,1.7416,0.3624,7.2118,5.9288,3.4268,0.1298,0.7759,1.1126,0.0141,1.923,2.9854,1.5299,1.2783,1.3197,1.3323,10.015,1.9558,7.7636,2.5723,683.4531,0.3864,1.369,0
CHL_C22,64.3356,17.3396,0.1023,107.7586,0.7297,317.5349,11.2454,11.443,60.0352,2.3351,52.6008,14.6606,129.2002,17.1783,5.1379,26.1835,0.8945,4.2466,68.0497,0,3.4043,21.0838,4.4491,1.7561,190.8449,356.1038,75.8212,0.3418,2.536,4.7323,0.1306,17.127,2.2794,3.0528,2.2223,12.0714,1.9197,12.9655,10.7183,10.1394,6.0897,14.1802,0.755,4.0786,0
CHL_C23,11.6773,1.3591,0.3009,78.7973,0.3291,166.3014,2.2581,8.569,7.0929,2.554,18.0574,8.9724,10.0271,443.6302,4.1606,29.003,1.7681,8.0898,12.8298,0,6.1996,11.8827,10.3698,9.238,2007.0767,69.0557,0.7358,0.0858,1.7879,0.2561,0.1719,10.473,1.6045,11.5241,1.106,1.7898,0.6428,7.1876,1.4307,5.404,13.8957,5.2479,0.2457,4.8849,0
CHL_C24,12.538,1.8454,0.9548,54.5864,0.0538,15.9349,3.6838,13.7827,19.5074,3.0823,11.009,0.9366,10.8925,14.0048,297.9953,400.9345,2.8318,21.8581,138.2304,0,24.4033,34.0722,14.9489,0.7186,508.212,13.9219,4.1073,0.4036,0.7865,2.1746,0.1133,0.9093,0.6616,4.1167,0.8496,5.4195,0.4037,9.1416,7.0796,3.8391,1.4923,17.862,0.3564,5.2781,0
CHL_C25,27.1037,6.3605,4.7056,327.4714,0.4618,165.5635,13.7595,17.7973,18.7551,3.039,29.2442,3.8808,17.6084,18.4381,12.6609,82.7024,2.189,11.2872,26.1716,0,13.5981,40.6377,34.3085,4.5472,1020.4785,84.1839,38.6128,2.4523,11.9317,17.2081,0.3684,8.787,1.7359,21.9563,3.7414,22.105,5.9638,24.5894,48.4173,21.6809,8.4799,27.4507,1.9843,11.0732,0
CHL_C26,0.3466,0.0246,0.0184,1.5219,0.0101,0.6257,0.2032,0.525,0.2584,0.0135,0.2863,0.0656,0.1257,0.0679,0.0512,0.142,0.1629,0.1139,0.2132,0,0.055,0.3857,0.771,0.1171,1.3348,7.3926,0.6668,0.02,0.0293,0.1403,0.0265,0.4244,0.1783,7.6496,8.1175,1.625,0.2066,1.7576,2.4185,1.6975,1.4639,0.5819,0.1639,1.4244,0
CHL_C27,3.8028,1.2736,0.287,12.3811,0.046,7.1615,1.0844,1.9731,3.1433,0.877,2.2165,1.1988,1.203,0.9331,2.2566,2.9884,1.4062,11.3359,6.5848,0,2.4085,4.4652,10.0223,0.7427,41.82,24.963,8.8,0.7587,1.5685,1.4825,0.0851,2.3402,1.2436,10.3109,1.6171,7.9011,0.6131,5.4607,13.3994,6.972,4.2983,47.0312,0.9195,5.562,0
CHL_C28,18.6638,8.965,3.5059,149.6379,0.4562,34.0794,2.8792,14.4008,12.1767,5.0258,13.1568,2.1296,10.8595,5.7243,7.4229,8.5451,2.3507,11.4814,36.0854,0,13.3617,52.997,17.9008,2.138,72.9155,86.5572,18.047,2.0138,15.7629,3.7508,0.1105,8.3087,0.6507,6.2007,2.1577,6.7588,1.7218,41.0682,16.4549,18.7761,4.0292,14.0876,1.5134,7.2456,0
CHL_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CHL_C30,2.993,0.1348,0.1216,11.2883,0.0,0.5683,0.0667,1.5138,0.0197,0.4582,0.0048,0.0,0.68,1.0794,0.0186,3.1018,0.0112,0.0297,2.6226,0,19.103,4.8497,1.3845,1.4769,4.3899,73.6741,75.3793,2.5845,14.6881,2.2402,0.0387,0.7039,0.0733,0.1014,0.5208,0.3114,0.3701,1.8018,14.2131,51.6065,0.0073,0.3779,0.537,1.7985,0
CHL_C31T33,16.79,7.6575,2.8916,225.0139,1.2659,53.9049,14.8698,29.3552,60.6984,10.6061,11.2266,5.8033,9.5842,15.6599,48.2878,11.2504,1.0829,3.7834,30.2376,0,12.5271,28.9291,53.9741,70.1201,156.8824,166.2113,79.2178,18.9114,33.6851,27.9164,1.4492,12.3247,5.4561,98.8048,5.1099,23.725,13.1696,25.8526,109.2176,62.9231,34.3751,58.0534,9.6348,17.8849,0
CHL_D,219.5182,27.1725,1.8276,3006.3882,2.4019,639.3116,32.0747,232.6349,484.4771,310.3628,266.8226,17.295,109.4385,238.5984,119.1849,67.5671,3.623,10.5585,45.7034,0,16.7013,22.6699,3371.6249,187.1451,255.5516,820.5645,206.4938,5.1862,14.3561,139.1891,3.0186,191.9029,26.1063,245.6186,45.2581,107.1539,237.9586,111.5397,111.5808,354.6732,229.828,176.4602,43.2379,79.3216,0
CHL_E,12.1409,3.7176,0.7433,225.9613,0.4845,70.1983,3.8522,8.3169,178.5145,11.829,20.7616,1.9939,24.9658,11.6446,7.7893,5.2321,0.2075,0.6301,5.1415,0,1.4246,4.2044,50.4742,163.7989,85.3442,105.5767,32.1881,0.2995,3.5167,13.0081,0.5071,31.7829,1.1104,3.4345,2.3844,5.5417,25.2116,13.9801,25.7095,333.3718,63.7058,43.7856,7.0022,18.6843,0
CHL_F,0.335,8.9881,1.2105,10.9316,0.0065,57.4214,3.874,8.4476,12.5973,6.8138,14.6026,3.743,7.0615,12.6583,5.0076,9.0079,1.4459,3.4778,6.6449,0,2.0515,4.0716,3.3957,86.3874,6502.165,557.4821,4.252,0.124,6.0745,4.4852,1.6098,11.2752,11.7422,49.0275,28.8327,49.1747,3481.4464,13.864,8.9182,9.381,13.2365,9.0868,3.1334,79.5147,0
CHL_G,1351.9294,411.5739,13.2612,1211.6864,4.9257,2784.1836,334.683,276.995,417.4081,148.5105,414.766,208.2733,229.642,168.1294,133.2803,168.6877,13.7538,76.9066,168.1262,0,93.5692,213.6158,411.1476,127.711,1424.2849,2308.7215,2126.2761,71.1527,296.7155,147.938,16.564,702.6055,88.3845,446.0272,109.961,256.4107,79.5868,473.8514,760.7453,377.9671,236.0254,1118.4132,59.767,125.42,0
CHL_H49,495.4947,98.0297,7.2395,480.878,3.4987,1116.6248,62.9374,202.9627,213.8994,126.0998,182.452,38.0955,79.0389,134.0621,67.976,86.9768,4.4502,24.866,62.2138,0,24.4787,69.0338,249.7773,45.3494,638.3071,1470.4597,1223.9264,21.405,68.1606,113.1582,26.9504,149.3261,18.7796,42.9767,23.6238,49.786,16.0241,141.2782,137.834,101.0987,112.3056,192.9235,12.7573,36.9664,0
CHL_H50,14.504,0.3388,0.0826,12.6897,0.0343,11.538,4.6435,2.0042,6.6513,0.1782,0.4483,2.4962,4.9656,2.4561,0.4398,4.415,0.2904,2.0039,4.7691,0,1.5363,4.9049,7.9603,1.4397,36.3175,13.5733,14.5664,0.6867,8.2031,1.8018,0.0379,7.8094,1.0672,3.3789,2.0873,1.5006,0.3393,4.871,1.6733,3.0741,2.535,17.9008,0.4153,2.219,0
CHL_H51,39.729,21.092,2.3102,99.707,0.6812,52.2279,4.8534,15.5624,12.464,21.8986,17.7489,4.9527,5.4078,8.2041,3.8645,10.6376,0.6909,2.808,9.4846,0,3.2152,12.4163,34.3243,5.5258,140.3659,146.6767,42.7565,5.0384,124.6817,26.3484,10.5427,23.095,16.836,28.1005,31.3693,21.9114,5.0273,67.3813,108.701,54.1359,19.3084,22.3212,12.4927,14.9403,0
CHL_H52,84.6075,40.7441,0.5965,223.3493,1.5654,295.8244,25.0159,88.8289,84.2235,26.8984,60.8413,15.2254,22.9099,34.2592,20.7799,27.9741,2.2244,9.5594,20.0844,0,8.4226,26.7482,137.24,16.4182,95.025,1079.4874,682.2111,151.9566,219.3405,375.9287,1.5865,51.0701,12.1668,27.1364,16.8318,26.4827,9.2972,38.1237,31.15,37.4884,12.471,39.6075,3.0205,8.7133,0
CHL_H53,0.8587,1.5104,0.0098,0.1838,0.0059,3.6929,0.8693,0.3192,1.8528,0.4462,0.688,1.0898,0.7579,0.2753,0.4536,0.705,0.3594,1.0649,0.9663,0,0.3063,1.8483,6.2507,6.9923,6.6156,111.0943,62.4491,0.2829,0.1185,12.3914,41.5446,5.4077,1.9763,9.5965,6.1581,34.9288,1.0914,12.4149,17.583,21.8241,3.5462,4.7764,0.8654,2.475,0
CHL_I,36.5209,0.9101,4.7839,363.0006,0.0414,20.0761,3.4323,13.7916,4.6006,8.3522,3.3871,10.7486,7.0045,10.9661,7.8739,18.2392,0.9382,2.3266,14.3938,0,2.5897,22.8876,1.9982,2.1415,294.2786,208.9275,82.8784,4.4976,166.0072,12.193,0.9859,27.4758,14.7697,10.9435,18.8629,22.337,7.7778,95.7886,145.5801,113.1155,60.8875,65.6191,31.6025,50.0221,0
CHL_J58T60,2.6937,2.8644,0.283,5.0834,0.0314,22.065,1.0949,1.0201,2.9345,0.8465,5.7225,0.7585,2.8984,2.7546,0.6796,2.4659,0.3674,0.867,3.6718,0,0.5466,2.0413,3.49,2.4344,10.1827,44.2992,4.4383,0.5262,7.5137,2.1432,3.7478,14.1534,86.9237,314.1486,7.1675,16.9172,23.3381,103.2542,20.3038,17.1293,49.0597,4.6024,0.8671,2.0588,0
CHL_J61,25.5254,4.5922,3.3348,45.3762,0.2806,50.7923,8.3603,8.0486,15.3182,6.7481,17.8662,5.6033,7.0105,7.9992,3.129,12.3748,2.9489,8.5174,10.7876,0,2.5111,19.8461,70.5141,12.9401,106.5043,358.8092,77.8082,3.2742,24.7748,34.9656,13.4864,50.3783,35.9735,1435.4098,79.8511,192.129,34.4148,157.4893,152.0675,153.5065,111.5286,99.8819,15.4522,33.3409,0
CHL_J62_63,3.4663,0.2836,0.2151,81.7563,0.03,42.6504,2.5307,13.3765,28.4926,7.1809,38.5384,3.6822,3.9262,4.8788,4.7212,3.6294,0.9895,2.5818,6.0008,0,2.6251,5.6924,83.1173,8.7886,30.0971,443.7093,58.5217,1.5583,154.4124,30.4632,3.5318,14.5371,18.0463,280.4243,647.8127,406.7486,14.1025,116.4027,131.7984,162.09,44.8087,63.1441,9.7969,14.6404,0
CHL_K,201.009,34.8118,17.6895,337.222,1.0871,234.7238,25.0612,49.1474,63.7833,53.4136,61.8831,16.1081,41.1415,25.4932,44.5497,42.2274,3.8766,13.8037,43.1898,0,16.4712,41.4161,1220.4795,41.273,583.397,1586.378,449.6878,25.3615,79.1315,259.6434,8.9064,95.7615,31.4427,120.7892,108.2323,3671.6725,730.0913,402.547,315.9889,293.2248,145.8431,98.3464,33.7174,44.0095,0
CHL_L,13.6786,24.4605,0.2206,76.3533,0.2851,249.8737,32.0284,14.0837,15.2117,7.355,65.3028,10.7381,18.2778,22.5282,6.1819,12.7449,3.811,13.277,14.343,0,4.8615,32.4731,90.3799,16.9198,138.4805,3114.7028,153.0198,4.5999,156.7738,188.1623,8.8482,527.1111,72.3062,411.7255,118.7593,605.0576,480.8276,562.7784,310.581,251.291,594.6947,380.2211,141.5997,117.4079,0
CHL_M,110.0288,22.9548,36.0984,2223.1028,9.3422,1257.2803,40.2625,100.96,227.9827,110.435,264.1275,198.7103,35.0383,53.789,22.2192,74.8662,9.4224,32.7113,39.0293,0,13.4779,67.2435,714.3909,74.2774,758.7389,3570.7729,210.238,17.0271,149.2212,140.7387,12.9186,199.9854,185.8152,705.3305,196.0183,1324.3483,264.784,3109.1098,738.0534,203.2972,437.5608,193.8936,190.8794,130.358,0
CHL_N,243.5817,148.8277,12.1366,1045.6772,3.2097,548.6182,14.1349,156.5248,119.0802,62.8921,161.4534,32.8179,43.1093,67.5142,14.3455,62.8037,6.5277,22.2029,49.3748,0,14.1357,86.9001,550.1,145.2387,662.8437,3246.7036,611.8755,23.763,641.5934,455.6268,36.7924,198.1236,134.5988,791.7913,238.1655,969.4661,243.3291,398.7853,1089.3516,893.5085,477.4848,569.9342,142.4624,164.9085,0
CHL_O,41.2799,8.73,0.2269,48.5028,0.2155,53.7271,2.8693,10.3544,55.0523,5.3025,13.9826,17.1417,7.9386,5.4752,2.8042,3.3782,0.2749,1.0798,7.7701,0,0.9883,4.347,23.9635,19.9563,38.5846,190.786,73.066,13.849,24.5803,91.0869,0.4628,14.9052,2.8184,17.4618,14.81,19.0397,6.4436,19.0791,12.4154,72.7348,10.048,29.8646,2.0577,4.9595,0
CHL_P,1.6177,0.2254,0.2294,26.177,0.0648,8.8804,0.6562,2.862,2.9847,1.1164,2.8004,0.6333,0.5672,0.8106,0.4665,1.0862,0.2525,0.6419,0.6829,0,0.4249,1.0222,17.9312,0.8158,9.875,38.0568,3.68,0.4161,4.6427,3.306,0.2,3.4718,1.8967,9.7479,18.8263,19.9725,4.815,24.5891,20.0993,6.181,7.0308,6.5015,1.9635,3.1903,0
CHL_Q,6.7401,10.2841,0.0417,11.5663,0.0216,12.1525,1.3038,2.0773,2.3841,0.7071,3.4322,0.6883,0.8635,1.0069,0.5226,0.8857,0.1842,0.6172,0.7622,0,0.3559,1.3173,11.124,0.9419,7.7228,90.9209,7.7393,0.8357,8.6854,7.5627,0.6872,16.2236,4.1294,30.9761,21.0896,50.0023,11.8709,42.7259,47.8251,14.1975,17.3262,1558.6288,4.3275,26.0889,0
CHL_R,0.0032,0.0001,0.0005,0.0053,0.0,0.01,0.0,0.0,0.7155,3.7636,0.0376,0.0028,0.0015,0.0,0.0,0.0009,0.0,0.0,0.0,0,0.0,0.0,0.0025,0.0,5.1139,0.248,0.0,0.0,0.0,0.0864,0.0,0.1263,169.756,0.0093,0.0181,10.1052,0.1144,77.757,0.8095,64.2793,7.0003,0.0,198.264,2.4495,0
CHL_S,22.0441,4.0983,0.5478,48.0299,0.3684,34.4062,2.9751,12.0157,14.4664,2.0889,5.7165,4.3232,3.7383,2.2011,0.8201,5.3536,3.0207,8.6736,6.2458,0,2.9991,10.0093,29.391,3.4182,123.1971,97.0704,35.9798,5.9125,10.5636,5.8542,0.4179,30.4004,11.7208,93.6111,25.956,25.7155,7.7214,44.0616,48.2433,15.0169,12.5115,39.9905,10.1376,10.4701,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
