V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_C23,0.0936,0.0017,0.3195,0.7424,0.1345,1.654,0.0,0.0,0.0,0.0806,0.1733,0.0486,0.0924,3.3863,0.1731,0.516,0.1721,0.1969,0.0032,0.1367,0.0288,0.4197,0.1117,0.8425,169.1629,0.4784,0.1234,0.0038,0.0015,0.0013,0.2327,0.2591,0.1967,1.7487,0.0871,0.0,2.3957,0.3608,0.1451,2.4041,0.0,0.0001,0.262,0.4517,0.0
LAO_C24,0.234,0.0085,0.5301,0.8018,0.1669,1.7059,0.0217,0.0559,0.009,0.0066,0.0199,0.0016,0.0084,0.0599,0.4457,1.4247,0.3432,0.6782,0.0038,0.0868,0.0184,0.1609,0.6557,0.2043,9.8613,2.8262,0.848,0.0695,0.0275,0.0217,0.03,0.066,0.0137,0.2329,0.0162,0.1051,0.0865,0.0728,0.0236,0.9546,0.0428,0.0219,0.0126,0.5167,0.0
LAO_C25,0.4274,0.0102,0.3746,0.6328,0.1471,1.7344,0.0295,0.0754,0.0065,0.0067,0.013,0.0021,0.005,0.0291,0.0274,0.2892,0.154,0.2069,0.0016,0.0694,0.0214,0.0554,0.5436,0.1135,7.7569,3.8512,0.9111,0.0549,0.0263,0.0244,0.0382,0.1159,0.0189,0.3549,0.0211,0.134,0.1293,0.0733,0.0438,2.0031,0.0662,0.0303,0.0228,0.2924,0.0
LAO_C26,0.0182,0.0006,0.0292,0.0403,0.0133,0.1016,0.0018,0.0039,0.0006,0.0004,0.0017,0.0004,0.0007,0.0031,0.0036,0.0341,0.0853,0.0151,0.0002,0.0066,0.0027,0.0091,0.053,0.0077,0.2855,0.2705,0.0517,0.0051,0.0017,0.0021,0.0009,0.0047,0.0046,0.0307,0.0065,0.0101,0.0056,0.008,0.0026,0.1143,0.003,0.0046,0.002,0.0441,0.0
LAO_C27,0.031,0.0014,0.0639,0.0826,0.0137,0.1361,0.0024,0.0067,0.0006,0.0005,0.0017,0.0003,0.001,0.0057,0.0111,0.0566,0.041,0.0843,0.0004,0.0149,0.0044,0.012,0.1098,0.009,1.4253,0.2782,0.1053,0.0073,0.0015,0.002,0.0006,0.0066,0.0034,0.0169,0.0023,0.0053,0.0103,0.0063,0.0026,0.0691,0.0016,0.0023,0.0016,0.0245,0.0
LAO_C28,0.0049,0.0001,0.002,0.003,0.0005,0.0063,0.0004,0.0009,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0008,0.0041,0.0007,0.0008,0.0001,0.0036,0.0012,0.002,0.0031,0.0007,0.0218,0.0116,0.0023,0.0004,0.0001,0.0004,0.0005,0.0018,0.0,0.0025,0.0,0.0014,0.0005,0.0001,0.0002,0.007,0.0009,0.0,0.0,0.0008,0.0
LAO_C29,0.0082,0.0002,0.0098,0.0186,0.0028,0.0374,0.0007,0.0015,0.0002,0.0001,0.0004,0.0001,0.0002,0.0012,0.0022,0.0138,0.0095,0.0088,0.0001,0.0183,0.001,0.004,0.0173,0.0051,0.2419,0.09,0.0244,0.002,0.0011,0.0007,0.0025,0.0018,0.0006,0.0055,0.0003,0.0037,0.0021,0.0011,0.0012,0.0245,0.0009,0.0005,0.0008,0.004,0.0
LAO_C30,0.0032,0.0003,0.0072,0.0111,0.0018,0.0077,0.0002,0.0004,0.0001,0.0001,0.0001,0.0,0.0,0.0003,0.0002,0.0015,0.0032,0.0022,0.0,0.0068,0.0062,0.0012,0.0045,0.0014,0.072,0.0283,0.0055,0.0024,0.002,0.0003,0.0005,0.0006,0.0004,0.0009,0.0001,0.0013,0.0005,0.0005,0.0004,0.0177,0.0003,0.0001,0.0004,0.0042,0.0
LAO_C31T33,10.7445,3.9631,3.9607,7.577,0.9346,2.1788,0.3431,0.5501,0.0785,0.0396,0.1952,0.0441,0.0531,0.3104,0.1014,0.3591,0.177,0.2707,0.0022,0.056,0.0727,0.2823,8.1313,0.6708,6.1187,6.0874,2.6285,0.653,0.3665,0.1437,0.0811,0.7719,0.0627,0.5695,0.0834,1.6124,1.1357,0.7651,0.1911,5.2445,0.3895,0.5178,0.1636,0.3314,0.0
LAO_D,4.9127,0.0744,18.302,37.7468,2.5124,9.6773,0.8389,0.967,0.1426,0.1199,0.3058,0.0341,0.1394,1.092,0.1262,0.2107,0.1596,0.1748,0.0069,0.0847,0.0257,0.4991,36.2102,2.6354,3.9929,36.9966,0.3376,0.0062,0.0069,0.0104,0.1105,13.2419,1.0063,1.751,0.1545,6.3666,1.1862,0.7923,0.1121,26.569,1.9809,0.9982,1.1976,1.6035,0.0
LAO_E,5.14,0.0814,14.9388,27.5545,2.2393,10.9594,0.6102,0.5566,0.0725,0.0865,0.1779,0.0293,0.07,0.4941,0.0637,0.1459,0.0792,0.0691,0.0032,0.0351,0.0161,0.2151,14.4406,4.8902,4.0916,24.7559,1.029,0.0147,0.0096,0.0097,0.1324,15.1931,0.3462,0.8414,0.1249,5.2661,1.5013,0.6276,0.1241,28.391,1.7107,0.8742,0.9008,1.2625,0.0
LAO_F,8.8526,0.1723,11.4231,18.3668,3.2184,0.1707,0.5432,0.0891,0.0087,0.0003,0.0002,0.0,0.0001,0.0003,0.0075,0.0298,0.0093,0.0098,0.0007,0.0128,0.0051,0.0106,12.2195,3.5529,556.552,114.5346,0.4725,0.0006,0.0026,0.0035,0.4588,13.5029,1.1263,4.1023,0.7059,1.3828,107.4584,3.5583,0.4919,265.9853,22.1709,3.5884,1.5555,5.8087,0.0
LAO_G,99.0562,9.5409,19.1971,39.9449,5.8575,204.7498,40.295,32.0196,4.0774,2.1488,4.2928,0.7022,1.9625,4.4147,3.6067,10.9389,3.9573,5.9914,0.0463,1.5836,0.4647,11.1018,21.4258,6.8154,213.7993,85.4739,28.5623,15.1168,4.1488,5.5032,2.1314,67.0084,1.8635,8.7536,0.8069,8.9513,2.4352,4.1515,2.8933,67.6971,4.2733,4.1364,1.5258,6.9535,0.0
LAO_H49,5.3025,0.2923,3.2871,6.3986,0.6375,14.8886,1.379,2.1511,0.2532,0.5627,1.3289,0.1668,0.5841,0.5524,0.3721,1.2224,0.3951,0.5526,0.0075,0.256,0.0663,0.9361,3.8214,1.2837,52.0463,79.5712,8.8355,0.5914,0.1972,0.232,0.9032,6.6937,0.4476,2.0332,2.5165,14.0311,0.8366,7.0245,2.377,50.887,3.8376,0.5735,0.3885,2.9245,0.0
LAO_H50,1.9307,0.2161,0.8481,2.0105,0.2363,4.0996,0.6033,0.8206,0.1101,0.0601,0.0888,0.0095,0.0413,0.2472,0.1339,0.4061,0.1354,0.2508,0.0012,0.0352,0.0089,0.2756,0.8616,0.1897,6.3412,0.2151,0.2497,0.058,0.113,0.0056,0.0572,0.8188,0.042,0.11,0.0385,0.155,0.0482,0.1926,0.1325,0.072,0.0622,0.0661,0.0235,0.119,0.0
LAO_H51,0.1354,0.0196,0.0705,0.2206,0.0166,0.3157,0.0981,0.0774,0.0107,0.0013,0.0009,0.01,0.0174,0.0285,0.0197,0.0466,0.0037,0.0232,0.0001,0.0023,0.0099,0.0225,0.0637,0.0171,0.2419,0.0342,0.02,0.0188,0.0094,0.0121,0.0112,0.0383,0.015,0.0171,0.0055,0.0244,0.0142,0.0354,0.0306,0.0109,0.0103,0.0031,0.0233,0.0334,0.0
LAO_H52,0.4987,0.04,0.3294,0.5864,0.0622,1.5568,0.1189,0.2215,0.0262,0.0529,0.1144,0.0212,0.0545,0.0524,0.0275,0.0856,0.0398,0.0503,0.0007,0.0152,0.0044,0.0953,0.3551,0.1328,4.8499,7.3678,1.0129,0.3577,0.0332,0.6245,0.1601,0.6097,0.0398,0.3474,0.2145,1.1416,0.0678,0.4453,0.3598,4.7807,0.3085,0.046,0.0264,0.2244,0.0
LAO_H53,0.5201,0.0162,0.0363,0.0626,0.0117,0.2776,0.0265,0.0794,0.0023,0.0128,0.0216,0.0071,0.0107,0.0029,0.0038,0.0206,0.0014,0.001,0.0003,0.0047,0.0019,0.0368,0.5768,0.2174,0.5502,6.9919,0.4542,0.0764,0.0825,0.2077,3.4283,0.4588,0.1551,5.8577,0.1403,2.3189,0.044,0.3691,0.2166,10.8373,0.6798,0.0207,0.1434,0.3999,0.0
LAO_I,0.1501,0.0062,0.0061,0.0064,0.0024,0.0243,0.0003,0.0152,0.0018,0.0056,0.011,0.0038,0.0062,0.0039,0.0009,0.0042,0.0049,0.003,0.0003,0.003,0.0014,0.0038,0.1637,0.0441,0.3521,1.9669,0.0701,0.0002,0.0005,0.0002,0.0098,0.4507,0.0495,0.0749,0.5419,1.0393,0.0302,1.0887,0.2942,5.6864,0.3748,0.0173,0.0297,0.1445,0.0
LAO_J58T60,0.0193,0.0006,0.0004,0.0004,0.0001,0.0185,0.005,0.1105,0.003,0.0064,0.0044,0.0015,0.0015,0.0016,0.0,0.0002,0.001,0.0007,0.0,0.0002,0.0001,0.034,0.0053,0.0223,0.1824,0.2494,0.0046,0.0003,0.0003,0.0003,0.0133,0.1553,0.0754,0.1264,0.0136,0.0619,0.0012,0.0528,0.0054,0.7779,0.0468,0.0045,0.0171,0.0137,0.0
LAO_J61,2.1115,0.0638,0.1708,0.2161,0.0467,0.9149,0.0864,0.2958,0.0068,0.0408,0.0652,0.019,0.0356,0.011,0.0127,0.0727,0.0048,0.0034,0.0008,0.015,0.0063,0.1198,1.8508,0.6182,2.646,20.4332,1.8609,0.3398,0.4023,0.671,0.326,2.3382,1.064,21.2661,0.8081,7.0306,0.173,1.3546,0.7338,29.4546,2.353,0.0952,0.5059,1.1126,0.0
LAO_J62_63,0.1056,0.0034,0.0549,0.0891,0.0156,0.6323,0.0322,0.0336,0.0033,0.0486,0.0612,0.0182,0.0434,0.0064,0.0061,0.0276,0.0223,0.015,0.0007,0.0062,0.0029,0.0115,0.0871,0.0291,1.1558,5.0199,0.3577,0.0005,0.0023,0.0016,0.0341,0.4922,0.051,0.5435,0.651,3.474,0.1,0.2921,0.0648,5.3606,0.4043,0.0182,0.0287,0.1827,0.0
LAO_K,8.3352,0.1473,5.5348,8.3212,1.0848,5.2117,1.9069,3.2581,0.2644,0.4969,1.7436,0.3682,0.9037,0.6674,0.1715,0.5794,0.1915,0.2328,0.0047,0.1344,0.0464,1.0382,7.2178,1.6552,29.5668,151.4279,9.7822,1.1637,0.4403,0.9524,0.3624,27.0759,0.8448,3.3763,1.1783,333.4383,3.6287,3.3787,1.6948,57.954,4.5287,0.2044,0.8234,5.2928,0.0
LAO_L,0.6697,0.0183,0.0263,0.0423,0.008,0.2703,0.0709,0.1106,0.0188,0.0333,0.0679,0.0202,0.0347,0.0097,0.0026,0.0155,0.0527,0.0475,0.0047,0.0441,0.0149,0.0528,0.07,0.3771,0.8882,45.895,0.4985,0.0002,0.0036,0.0036,0.0359,4.6496,0.4614,0.4265,0.2528,15.5229,2.3142,0.7972,0.1944,8.4817,5.4576,0.0326,0.4976,1.4098,0.0
LAO_M,0.6373,0.0193,0.2595,0.3335,0.07,2.1054,0.0776,0.1144,0.0123,0.1768,0.3176,0.1607,0.1855,0.0236,0.0237,0.0919,0.0839,0.0612,0.0028,0.0305,0.0123,0.0215,0.2251,0.1278,4.73,16.4921,0.8683,0.0015,0.0051,0.0037,0.0487,1.4093,0.1481,0.7,0.6574,5.4665,0.6779,3.0425,0.3741,12.4118,0.9894,0.0842,0.1235,0.5763,0.0
LAO_N,0.2907,0.0082,0.0982,0.1803,0.0319,0.7946,0.0333,0.0608,0.0056,0.0559,0.1042,0.0346,0.0785,0.0109,0.0095,0.0476,0.0263,0.0223,0.001,0.0104,0.0037,0.0187,0.1138,0.0806,2.1762,8.1821,0.8367,0.0125,0.005,0.0266,0.0651,0.8764,0.0723,0.5275,0.3524,2.5463,0.4266,0.8793,0.5611,4.9882,0.5859,0.0549,0.0773,0.2958,0.0
LAO_O,0.0565,0.0018,0.0121,0.0169,0.0028,0.0215,0.0026,0.0024,0.0,0.0002,0.0,0.0,0.0,0.0,0.0012,0.0041,0.0,0.0,0.0,0.0005,0.0002,0.0074,0.0135,0.0188,0.0178,0.0185,0.0008,0.0008,0.0009,0.0007,0.0002,0.0036,0.0184,0.0015,0.0168,0.0003,0.0037,0.054,0.0141,16.6596,0.343,0.0001,0.0166,0.0129,0.0
LAO_P,0.0081,0.0002,0.0028,0.0039,0.0008,0.0046,0.0006,0.0012,0.0,0.0003,0.0004,0.0002,0.0003,0.0,0.0004,0.0014,0.0002,0.0002,0.0,0.0006,0.0002,0.0016,0.0044,0.0048,0.0126,0.2377,0.0104,0.0004,0.0007,0.0005,0.0039,0.0135,0.0032,0.0391,0.0101,0.1498,0.0009,0.0203,0.0036,1.1185,0.3823,0.0,0.0039,0.0187,0.0
LAO_Q,0.0013,0.0,0.0002,0.0002,0.0001,0.0012,0.0,0.0,0.0001,0.0,0.0004,0.0002,0.0002,0.0001,0.0,0.0001,0.0003,0.0002,0.0,0.0,0.0,0.0001,0.0004,0.0002,0.0039,0.0033,0.0003,0.0002,0.0,0.0002,0.0,0.0002,0.0001,0.0002,0.0005,0.0,0.0032,0.0019,0.0007,0.0003,0.0,0.0004,0.0003,0.0004,0.0
LAO_R,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.001,0.0,0.0495,0.0003,0.0,0.0,0.0,0.0002,0.0444,0.0109,0.0011,0.0023,0.0013,0.0001,0.0105,0.0026,0.2764,0.0158,0.0,0.0345,0.0046,0.0
LAO_S,5.5296,0.215,1.8952,2.8221,0.5672,13.7201,1.263,1.2331,0.0911,0.1003,0.2102,0.0561,0.1081,0.1393,0.0906,0.3517,0.2728,0.1902,0.0054,0.0896,0.029,0.4898,1.262,0.3779,14.9309,7.4436,3.5401,0.0048,0.0314,0.0094,0.0932,5.7956,0.176,0.7578,0.1179,0.6402,0.0853,0.3187,0.0625,7.8538,0.3911,0.3824,0.1528,0.9055,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
