V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_C20,189.8471,43.8364,246.9233,33.1083,7.4333,219.8499,520.2227,70.1544,763.4238,6.1725,3163.4697,28.0972,1298.9079,421.0378,599.1174,347.4251,5.7982,407.7232,70.8047,35.965,25.5023,100.1859,105.4299,102.9406,1737.605,942.4853,13.924,0.2672,53.1907,10.8825,0.2764,208.5314,115.1097,42.1328,9.1825,1.6778,2.8151,26.5332,208.3425,60.9103,81.3003,318.8876,30.8146,181.3317,0.0
SAU_C21,12.0996,8.1051,8.3826,0.103,0.2578,10.9389,9.7346,1.8925,16.2408,0.1628,284.035,111.8356,23.3078,9.874,4.2258,9.5271,0.1635,6.1285,2.1199,1.2025,0.0672,3.1918,5.8395,2.9328,40.2263,63.9632,0.8258,0.0222,5.2076,0.6346,0.0315,13.4387,3.1505,4.2096,0.6317,0.1652,0.0773,2.8728,10.0818,15.9429,12.1876,330.8839,2.2334,12.1285,0.0
SAU_C22,188.2751,288.031,5.5785,0.406,0.2125,129.4312,352.3973,5.4254,37.6805,0.1875,98.4504,2.233,532.9008,25.8039,14.0122,47.6709,4.066,217.374,39.2367,56.8781,25.0535,57.3923,0.3253,67.4877,1432.565,1787.902,72.9887,0.0113,22.8359,125.1194,6.51,27.148,8.264,11.3569,0.0828,0.9514,0.0032,37.3412,32.0979,28.9983,5.8162,66.5823,12.0512,86.0124,0.0
SAU_C23,0.4015,0.0517,10.0666,0.1768,0.332,146.2879,1.6414,2.1796,1.0231,0.4377,36.2278,1.3108,8.207,623.8413,30.4124,46.5479,3.9032,40.7554,19.7744,12.7468,2.889,7.4703,12.9425,0.5617,6649.1251,86.1186,0.9203,0.033,10.2909,14.5142,21.3895,15.3206,0.3389,77.8672,0.0,0.004,0.9859,35.6944,31.8636,0.2685,9.9139,269.4222,0.5606,37.005,0.0
SAU_C24,2.9503,0.0,133.4795,20.7965,4.362,0.5776,3.4054,0.5372,14.8028,0.1069,3.4476,0.0299,20.0604,26.1348,191.2771,674.9601,2.35,370.1752,101.3048,48.9191,14.8909,40.3167,14.2758,30.8866,3168.1237,408.5704,0.8576,0.0192,14.3218,8.8954,1.017,7.6223,280.2603,10.9887,0.0,0.0,0.0019,159.4876,110.6083,0.0001,17.5946,29.1861,4.9311,37.7678,0.0
SAU_C25,0.0011,0.0004,9.691,0.9621,0.2953,72.2795,46.2215,7.88,20.6121,1.5511,9.9087,0.1366,25.3937,54.7329,168.6377,251.8147,2.4959,159.365,166.9588,25.798,17.5662,59.0141,0.0337,0.0558,423.5048,113.3543,7.1038,0.0797,57.4714,162.1636,0.0185,3.9954,0.1131,0.0014,0.0129,0.0716,2.4422,14.371,11.473,72.2921,10.356,13.3708,0.6787,62.1606,0.0
SAU_C26,0.0967,1.7723,3.063,0.0092,0.1017,0.5554,0.5785,0.0488,3.3027,0.0409,4.4318,0.122,0.1918,2.5446,0.4261,14.0887,10.3307,6.056,4.9207,1.1146,2.053,1.8513,0.2967,1.3078,5.2541,1.8399,0.1947,0.0245,4.3829,2.2832,0.591,0.1362,0.0001,0.0451,0.001,0.4335,0.0243,7.2993,3.1721,47.1299,1.3984,46.4698,2.6438,9.2651,0.0
SAU_C27,2.1207,1.7114,8.9351,0.1125,0.2306,2.39,1.3593,0.5658,1.761,0.9389,6.4584,0.1294,6.4571,10.289,5.9238,12.0059,14.8395,701.3725,117.6235,25.9879,10.1128,12.3719,0.0479,39.5407,129.1623,362.4554,0.0435,0.0016,0.3987,0.6338,0.1443,0.499,0.0216,11.5398,0.0398,1.5418,0.0025,19.5162,14.9772,92.4803,7.323,5.3955,0.4499,49.5208,0.0
SAU_C28,20.55,0.4593,33.9263,5.4558,0.93,17.855,24.9674,5.1044,25.887,2.56,36.4233,0.6728,17.7162,64.7846,43.8536,56.109,0.4991,37.9417,73.4258,5.2112,5.6582,7.6622,22.477,9.4615,237.5894,236.4782,17.9449,0.1235,43.265,37.0543,18.1317,32.6895,8.3936,57.4145,0.0512,0.1717,0.0007,9.4661,48.4257,119.4016,6.8365,35.5042,4.7479,8.4719,0.0
SAU_C29,0.0336,0.0054,0.3228,0.0003,0.0105,0.0115,0.0004,0.001,0.0003,0.0004,0.0089,0.0002,0.0023,0.026,0.0,0.0224,0.0007,0.0018,0.0073,3.8373,0.091,0.032,0.0432,0.0428,0.0,57.4177,0.7703,0.0,0.0056,0.2031,0.0,0.026,0.0001,0.0,0.0016,0.001,0.0108,0.0582,0.1857,2.5383,0.0,0.3845,0.0454,0.6938,0.0
SAU_C30,0.0009,0.052,0.5721,0.004,0.0086,0.0,0.0,0.0043,0.0,0.0013,0.0003,0.0,0.0,0.0077,0.0,0.0,0.0,0.0022,0.0139,0.0,1.9705,0.0005,0.0,0.0139,0.3285,59.7993,0.2722,0.0135,1.6798,0.1098,0.004,0.021,0.0,0.0021,0.0,0.0008,0.007,0.0466,0.0996,9.3422,1.1291,0.3319,0.0357,0.5747,0.0
SAU_C31T33,81.7081,38.76,372.7344,10.0418,9.8073,0.7249,1.9015,0.0565,0.9692,0.0426,2.0039,0.1078,0.2372,0.6016,1.4241,0.5529,0.2024,0.6247,5.123,0.8003,0.4767,2042.445,51.2211,20.7344,569.7247,1193.4678,79.6671,4.6183,308.0085,115.738,11.6107,45.4352,416.6189,0.1087,0.0006,28.1601,1.508,58.3945,118.7322,165.7658,142.601,200.6214,24.7831,116.7972,0.0
SAU_D,10.7129,18.3593,871.9235,21.6231,17.8284,180.2324,156.1486,26.381,359.2696,15.7449,234.5992,3.8445,157.7749,333.8772,275.9522,271.9372,3.3919,180.8574,70.4133,32.9562,11.2618,28.4714,1959.2872,331.5688,402.4624,890.3443,25.3835,0.9504,76.2719,35.9521,7.7815,106.6661,3.3715,32.1401,0.2972,27.8853,72.141,32.488,134.7858,1615.0913,122.7026,386.2014,178.5027,44.1303,0.0
SAU_E,7.73,4.5328,108.5163,2.1377,2.4572,147.9518,86.202,10.7519,50.8766,29.6718,97.0937,2.987,62.9261,69.906,160.9989,439.8413,2.6674,216.1627,76.2778,38.0327,12.9207,36.4104,27.1324,79.188,19.0039,140.344,46.4829,0.5135,11.5763,6.9858,1.573,27.4756,1.8296,9.3718,0.2531,37.5837,15.6285,5.386,25.7898,188.9641,29.5887,74.9246,29.4016,7.8432,0.0
SAU_F,0.9482,1.6923,19.4253,1.0292,0.6024,11.5042,5.2042,0.7241,5.9723,1.762,7.2043,0.243,4.4025,9.9583,11.6712,30.4566,0.2113,14.5146,5.9255,2.6222,0.889,9.104,62.7984,321.584,13511.5683,553.2639,18.303,0.5443,96.5428,219.5034,11.8654,18.8414,1.5435,3.9696,0.1793,113.2769,877.385,2.4565,3.5524,8037.4289,1550.8312,2653.8098,100.9753,337.6897,0.0
SAU_G,1902.772,176.891,818.8509,132.6299,28.5967,2734.6342,832.9829,161.6932,814.8601,1006.4418,3345.0641,90.0582,836.2172,1162.8976,1096.2217,845.7992,42.3671,938.2938,335.7166,399.2656,58.2436,253.2968,2201.6889,244.262,6171.3035,11018.8232,275.553,14.8295,1032.7381,235.5334,35.7597,1584.3764,566.454,270.5306,12.93,101.2047,159.4229,218.8201,848.7909,1554.0418,237.8975,797.6611,84.2755,278.3344,0.0
SAU_H49,71.201,15.7545,26.9529,2.6598,1.0123,169.6307,61.7261,11.3941,56.395,77.1589,193.5874,4.6106,50.4042,83.1677,60.3828,60.4191,1.8231,47.6307,20.3396,7.3459,3.1311,15.761,47.9339,45.6009,441.8983,988.4749,20.7306,0.8285,75.9712,60.0012,2.149,92.0898,51.6699,29.9873,0.924,1.2614,1.1654,31.3749,38.5877,36.2304,80.1848,103.211,8.478,24.4901,0.0
SAU_H50,0.0024,0.002,0.0196,0.0097,0.0014,0.171,0.0054,0.0018,0.0049,0.2744,0.0788,0.0054,0.0166,0.0335,0.027,0.0021,0.0118,0.0247,0.0054,0.0021,0.0161,0.0099,0.1493,0.0021,0.0796,0.0195,0.094,0.002,0.1955,0.0015,0.0021,0.0801,0.0196,0.0015,0.0015,0.0032,0.0036,0.0057,0.0065,0.002,0.0012,0.0032,0.0036,0.0059,0.0
SAU_H51,56.1697,56.1298,57.9014,2.2112,1.8223,154.6724,119.8722,13.5343,81.3557,87.2221,375.4486,12.5691,85.9105,105.2786,76.4165,141.6788,6.3055,105.0267,32.0476,17.6567,6.5217,25.114,185.933,103.1499,703.3964,1363.5765,18.2575,0.8459,492.7237,75.2134,2.4315,220.3974,86.7071,392.1791,12.0397,8.753,1.2807,155.4496,193.5806,370.5671,415.5192,836.8171,60.5131,161.6594,0.0
SAU_H52,40.9636,8.333,20.4084,2.0545,0.8077,296.3868,139.7113,14.9981,185.162,95.544,358.5194,7.3435,139.4984,315.7549,322.7683,191.5285,3.6871,116.2676,54.9999,26.769,11.755,42.445,38.9098,17.4145,314.9614,854.8957,91.0449,2.4682,236.8754,104.2838,1.7157,116.2327,308.6359,520.7593,16.1459,482.894,2.2149,101.9406,115.2219,80.7741,26.2004,320.7875,58.9358,132.5365,0.0
SAU_H53,2.0993,2.3481,1.6007,0.0577,0.0505,10.7523,9.5181,0.6406,4.7167,0.6473,15.0885,0.5155,2.2746,6.2318,3.5848,3.551,0.2167,3.6291,2.6733,0.4853,0.0957,1.8901,3.7933,1.5417,50.7308,147.7691,0.2567,0.005,2.9375,0.7357,8.622,6.0742,0.3897,26.051,0.0789,3.6133,2.1017,8.9678,11.9257,10.9642,7.307,11.6514,1.9884,7.1345,0.0
SAU_I,31.9982,8.3571,133.422,0.3319,3.9784,36.7941,58.4599,3.881,24.0658,3.946,152.1618,5.4006,25.0379,18.1341,36.103,41.1891,0.7401,15.4589,15.1495,6.8517,5.3954,7.6165,72.3253,58.0907,229.8084,936.092,1.3963,0.0345,19.0738,66.5794,0.3354,8.6512,25.0466,219.6454,4.2869,32.4921,18.6639,63.7986,30.6953,914.7042,139.6371,414.0661,21.2843,12.9206,0.0
SAU_J58T60,7.3887,3.2192,449.2309,0.5938,11.5089,126.8939,35.58,28.9575,234.9496,19.7431,467.7926,14.3515,163.2907,111.6979,103.2863,7.8025,5.7571,233.1166,43.6053,32.8868,15.6582,31.9164,5.5939,9.0852,508.7109,539.0168,174.2764,2.995,262.543,978.1651,11.5559,73.7771,236.2602,44.9568,5.3283,178.0919,19.5106,95.3745,81.7152,32.0816,532.3873,288.4575,13.6107,14.6293,0.0
SAU_J61,15.3165,17.4302,98.639,8.4989,2.6868,44.9082,38.9804,2.918,20.9682,2.6263,54.8041,1.603,9.3313,27.9024,14.1838,15.631,0.914,15.0016,10.9312,2.2106,0.569,6.6461,12.6,5.4807,185.2289,1740.3251,2.8788,0.0495,40.8902,6.5285,1.7719,18.3493,36.2451,3042.7356,19.2951,129.6553,166.1199,36.8811,36.9089,1155.7227,53.5959,47.3795,27.85,25.4095,0.0
SAU_J62_63,8.94,4.9201,48.5137,0.3271,1.3847,34.1623,36.2088,2.5883,19.7804,4.7474,27.3873,0.9024,0.7498,23.269,15.2515,9.1106,0.9621,11.2406,11.3943,3.3845,0.8974,3.0468,6.7224,4.0066,32.5535,550.4701,28.7574,0.0489,26.923,6.0125,3.1566,14.2199,87.7755,2881.29,792.2145,117.5436,125.8236,44.5801,24.0089,1293.3057,24.8781,37.8843,22.0842,20.1332,0.0
SAU_K,24.1033,25.6599,48.8652,1.4032,0.9329,172.5487,215.5953,16.8239,122.0811,36.4692,161.9394,4.0862,85.1901,109.2782,115.3817,129.0774,3.8425,92.806,61.279,23.567,10.2236,37.692,139.4017,79.3957,3354.761,4139.8647,82.1219,0.8383,201.483,35.4011,2.6224,104.677,23.0389,125.1074,6.7206,1002.1658,0.0598,175.9935,118.5427,41.0857,23.8851,133.995,8.8385,22.1232,0.0
SAU_L,31.1755,45.5914,31.3261,0.1281,0.7196,57.15,42.5907,3.7807,16.9936,1.8355,42.6398,1.1465,22.8311,38.038,11.9106,37.9011,1.79,22.7901,15.203,5.4652,3.2544,15.1202,52.4188,2.6441,429.5367,1798.0139,28.6107,0.1599,6.89,68.6305,7.9543,19.2053,44.3755,529.4066,18.9258,100.4498,430.5737,107.1651,78.7412,246.7381,300.4635,237.1433,46.8866,74.7324,0.0
SAU_M,27.8279,28.8125,83.0731,2.355,2.3965,129.6042,96.189,4.3564,50.2301,9.9128,95.039,4.3891,38.0679,43.9778,52.4799,129.4012,2.1081,80.2468,32.3701,15.3002,7.3193,18.9114,25.7821,21.6836,181.6784,928.6712,16.0287,0.6295,51.6868,18.1753,3.8329,129.2671,34.8608,166.2771,5.0386,111.7985,11.6136,283.2804,41.1084,1067.3834,194.8643,282.1532,75.6341,31.3205,0.0
SAU_N,11.7487,47.0664,354.6505,26.1214,11.4255,58.2405,29.7672,2.5332,21.4081,2.0429,48.0276,1.3175,22.7777,106.2453,13.6838,35.1359,0.5095,22.7046,19.4125,4.3077,4.0486,7.0972,136.5382,28.0185,2258.3869,1122.0069,77.3417,4.1619,297.0538,91.2612,29.4447,76.3683,0.6909,7.0594,0.2738,112.6128,10.9593,23.4327,217.0579,1981.5517,351.5642,309.6535,133.4062,59.1402,0.0
SAU_O,2.1964,1.0205,2.749,0.0548,0.0767,49.2115,52.2904,4.179,20.4386,7.4615,65.4987,1.8267,22.9858,25.1203,91.9603,30.6966,0.4503,11.6034,6.8598,5.4589,2.8308,4.8046,1.6945,2.7101,154.1008,161.8386,172.2871,1.5564,263.0468,71.4643,68.5252,22.326,12.2469,40.661,0.5762,15.8769,1456.0953,22.7789,24.0496,389.8227,146.0021,40.5403,4.8821,5.102,0.0
SAU_P,13.084,5.156,428.4691,13.0821,8.5942,141.9236,144.9331,11.5855,52.327,20.6828,178.3483,9.309,63.7523,69.9222,255.1322,85.3115,1.249,32.2947,19.0874,15.1481,7.8179,13.3625,32.261,26.8457,107.6088,433.8204,13.5441,0.1224,20.9829,5.6225,4.0952,5.4143,26.5312,84.5439,1.1854,34.9901,11.8555,26.8357,13.4114,211.8166,95.2062,134.0322,2.052,3.966,0.0
SAU_Q,1.0173,0.5798,63.8106,1.0165,2.0644,588.676,28.9159,51.3991,16.6356,22.7534,399.0032,19.1725,194.0238,152.3854,60.8239,0.0,6.0939,133.0964,64.1085,53.0364,21.4989,146.5012,34.4771,0.4602,385.0751,826.4993,1.6726,0.0156,0.0,0.2294,1.4295,202.4814,0.0001,0.0016,0.0,1.3521,4.1516,48.3877,56.2076,11.4375,0.1394,82.0747,0.7526,1.7964,0.0
SAU_R,0.0,0.0,9.3244,0.3824,1.0721,0.4781,0.0,0.0,0.3707,0.1029,0.1698,0.0068,0.2352,0.0,0.0,0.0,0.0,0.0,0.0519,0.1744,0.0627,0.0,0.0,7.1358,0.0,22.6236,2.0871,0.532,165.4947,81.2057,12.8158,77.9643,15.8771,6.6608,0.0,3.2754,6.2454,8.9268,6.9907,26.6522,47.751,26.0623,228.0905,197.6695,0.0
SAU_S,15.9614,10.182,6.8908,0.2379,0.9795,8.0073,0.763,0.5846,5.0614,1.1357,12.8966,0.4368,1.7537,5.4567,4.5169,5.536,0.0671,1.4266,1.2205,0.926,0.1904,3.074,29.3529,0.4579,0.0876,85.1891,7.2996,0.1389,0.0,2.3494,0.3431,1.5777,4.0575,6.129,1.2636,1.4381,0.0013,0.563,0.4808,12.5771,0.0496,0.3733,0.8769,17.5621,0.0
SAU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
