V1,ISR_A01_02,ISR_A03,ISR_B05_06,ISR_B07_08,ISR_B09,ISR_C10T12,ISR_C13T15,ISR_C16,ISR_C17_18,ISR_C19,ISR_C20,ISR_C21,ISR_C22,ISR_C23,ISR_C24,ISR_C25,ISR_C26,ISR_C27,ISR_C28,ISR_C29,ISR_C30,ISR_C31T33,ISR_D,ISR_E,ISR_F,ISR_G,ISR_H49,ISR_H50,ISR_H51,ISR_H52,ISR_H53,ISR_I,ISR_J58T60,ISR_J61,ISR_J62_63,ISR_K,ISR_L,ISR_M,ISR_N,ISR_O,ISR_P,ISR_Q,ISR_R,ISR_S,ISR_T
ISR_C20,191.6536,0.4316,0.4789,22.6702,0.7235,188.2101,38.1731,4.9979,131.5206,1135.1662,1557.6697,200.5711,196.5038,96.5995,37.4764,66.9637,85.9625,22.517,60.6032,7.1919,13.2079,92.2621,24.9397,54.292,328.477,70.0578,7.5891,3.3312,2.4611,2.3167,1.1303,42.235,12.8952,0.1039,2.6025,5.2264,20.7681,59.2319,28.6843,54.748,15.6886,111.8998,11.6999,9.8865,0.0
ISR_C21,18.7638,0.0773,0.0864,4.0292,0.1478,62.5125,1.2872,0.603,6.4447,116.3417,357.3013,798.2102,17.5453,8.3277,3.6608,6.392,12.307,2.1983,7.2802,0.7024,1.2251,109.8864,2.8643,8.7723,43.3739,9.1521,11.3552,3.1329,3.0438,1.9301,0.8862,5.3183,1.0526,0.1506,2.874,11.646,2.5597,98.0555,16.8909,37.2745,2.8551,1706.5447,2.7634,1.5819,0.0
ISR_C22,15.3033,1.7251,0.1627,13.2155,0.6016,435.3843,23.0792,22.3033,66.6491,68.1069,174.3659,65.7586,439.0637,41.7415,15.5132,59.7811,100.4375,32.222,110.8665,17.4784,23.858,257.324,30.1009,73.6778,679.6094,485.3977,25.5728,5.2084,5.4137,1.9121,5.2197,72.2075,1.3115,1.1451,6.9786,4.808,10.739,50.0072,50.7435,73.4408,6.1964,109.536,11.2938,8.0562,0.0
ISR_C23,4.8022,0.0176,0.3409,27.9524,0.9402,119.4373,5.9011,0.9026,1.2202,21.5778,73.5762,10.6102,15.2175,711.2707,12.1477,49.9419,36.8803,3.5548,8.134,6.8987,23.551,49.5717,3.2455,3.0456,2364.1238,19.6891,2.7625,0.515,0.4781,0.3406,0.1045,11.0531,0.156,0.076,1.8923,1.3439,71.9213,11.4967,8.6014,25.7733,3.6117,2.8551,7.1101,3.3593,0.0
ISR_C24,2.0388,0.0129,0.6456,14.2884,1.0426,7.9346,1.8067,1.6622,3.7154,7.2999,15.862,2.0227,23.9319,32.5802,844.9199,527.6937,59.2522,34.9607,119.4724,43.5679,23.7736,138.7051,12.8865,58.3171,419.5783,16.3315,1.9292,0.2563,0.196,0.6475,0.0455,1.2865,0.379,0.0717,0.231,1.0877,0.3914,5.5089,2.1811,52.2275,0.2935,0.7771,2.459,0.5312,0.0
ISR_C25,4.2697,0.0783,0.0907,4.7328,0.2067,148.657,8.5817,10.4799,14.6937,15.3842,33.2252,5.5874,82.1315,34.9254,41.8088,284.5017,249.9815,37.3245,101.719,26.7213,62.0099,183.6761,28.9716,31.8428,1777.2911,41.2713,4.4736,5.5456,3.7138,3.9745,0.291,10.2481,3.0513,0.8995,2.9705,3.6263,6.4723,23.8776,20.1656,1369.9601,3.2316,8.6388,73.2588,4.1761,0.0
ISR_C26,8.4168,1.024,1.303,60.2932,3.0785,102.3046,9.1782,4.7008,31.5516,42.5222,74.8796,16.6369,68.067,40.1472,36.2316,193.6329,3118.6429,199.7552,557.68,38.4216,329.312,261.0913,225.0917,90.3196,1210.2603,223.9372,46.3537,11.9507,10.7422,96.7773,1.9474,11.3303,16.1975,134.4507,792.6876,59.5236,9.7733,1400.6267,60.2987,2857.2459,55.8822,388.8409,64.3805,85.3767,0.0
ISR_C27,11.3017,0.242,0.0399,2.0459,0.0764,44.8622,0.5131,0.7098,2.3267,2.4341,4.7222,1.7531,9.7311,2.6995,13.3192,17.5958,136.0162,130.0974,42.5123,4.8864,24.5142,39.6858,91.1193,33.3196,240.045,64.8365,4.3491,1.2093,0.9283,6.6153,0.2034,25.4735,3.7037,7.7462,9.6041,3.3748,0.7048,33.39,13.2713,83.5732,2.9203,4.8745,9.9437,7.1105,0.0
ISR_C28,17.9966,0.3815,1.1151,51.0483,2.0474,37.0305,3.5442,1.6786,14.1914,98.3854,101.1502,16.9286,30.259,25.183,12.8618,74.9507,129.9598,27.6825,212.5949,12.1828,33.2242,45.355,70.8807,34.3907,324.235,77.9533,11.674,3.4518,2.0649,22.1775,0.2638,2.7307,5.5116,12.4187,10.0619,2.4752,5.2781,46.3207,12.2273,88.9598,2.4318,11.2638,9.021,12.2655,0.0
ISR_C29,0.1613,0.0223,0.0075,0.4327,0.017,3.0604,0.1719,0.1633,0.347,0.493,1.1449,0.333,2.0774,2.8646,0.811,3.1512,8.1257,1.376,2.5606,18.1053,1.4238,3.0946,1.2839,1.2661,28.3583,18.3077,2.3759,0.1942,0.1729,0.3488,0.0689,0.386,0.1076,0.7604,1.5753,0.5384,0.4357,3.4727,1.8062,19.3126,0.2917,1.2617,1.1108,0.4976,0.0
ISR_C30,0.0625,0.0,0.0,0.0582,0.0,0.2741,0.0193,0.0002,0.0044,0.2365,0.4319,0.1454,0.1571,0.0423,0.0529,1.9452,144.2508,0.0419,0.9208,6.9508,380.9137,3.0594,0.2337,0.2076,0.3402,11.5679,4.8847,98.8295,57.0721,0.4597,0.0035,0.1062,0.7161,0.3162,0.0149,0.0291,0.1598,1.0869,1.7889,523.0618,0.9948,0.124,3.9747,0.9354,0.0
ISR_C31T33,2.2732,0.1265,0.0279,1.9509,0.0819,33.0055,4.5011,10.0886,6.6921,14.6613,21.8358,13.9119,31.5922,8.511,2.9157,12.1582,31.6801,4.4281,12.0854,3.9232,3.9108,2789.4798,7.4611,11.4606,142.4323,64.1548,6.9305,2.3113,2.2749,3.2009,2.0401,7.1903,1.9016,0.4062,4.7145,8.7332,3.7114,25.1872,12.6076,57.0351,11.0567,79.914,8.4886,17.9461,0.0
ISR_D,251.3733,3.7061,1.5637,111.5335,1.6938,145.0478,17.0947,4.3249,47.5772,497.559,170.7524,28.7633,92.5712,90.1701,48.0445,54.4736,83.105,8.2445,17.3196,7.7921,24.2058,84.9079,592.9398,94.0867,92.7703,486.7007,76.6239,8.5859,9.7401,132.967,2.1859,127.5305,23.6428,45.1217,72.2157,66.0579,175.8753,152.4363,45.6669,245.8521,168.5242,157.9843,197.2887,56.3935,0.0
ISR_E,77.5945,1.1665,0.712,37.6927,0.7042,62.8362,9.1232,1.724,26.3688,177.6554,80.9046,17.3737,31.7635,30.3692,17.4164,18.5629,32.6263,4.8648,6.9766,2.7244,9.3669,29.834,113.849,1240.4091,59.1144,154.9185,25.479,5.2018,3.2891,42.2536,0.7825,41.0775,8.8066,14.3609,40.4965,23.5706,54.5512,50.0422,16.8271,164.753,52.0067,54.3378,64.5491,18.3078,0.0
ISR_F,18.8663,0.0,0.5054,27.1211,1.0126,107.5918,10.6349,14.6479,31.4186,203.6055,63.5435,27.6647,28.3939,101.547,26.6554,70.6085,149.4622,13.3279,54.6043,5.4303,12.2175,71.7676,35.5999,144.3905,75.1418,393.2924,75.3601,14.3297,11.847,91.4019,38.883,74.9719,26.0164,57.7249,32.5848,164.8381,901.6287,161.7547,45.3321,1010.9256,274.0706,103.6884,95.2559,34.0898,0.0
ISR_G,702.8676,13.3894,1.8313,97.9857,3.6446,2236.151,286.0619,50.0652,247.6169,1799.6658,888.8878,672.8274,435.9905,341.9716,225.8977,319.6135,1678.329,126.7834,370.1664,77.8692,186.4244,1258.03,215.0366,194.3573,1982.4796,1314.5329,517.7098,75.8136,100.3309,58.1018,45.334,937.8091,180.7569,92.3896,553.2026,64.7709,82.6325,913.0266,281.0508,1420.975,121.0557,1009.9268,186.5709,123.4778,0.0
ISR_H49,104.1617,1.0459,3.8341,223.322,4.7581,242.0318,24.2422,8.4538,51.9855,1275.8527,262.3549,43.3489,97.1953,243.3781,46.0838,70.5583,108.3254,21.1699,61.5431,9.5417,15.4844,119.6864,102.7223,201.2065,434.8757,737.012,1920.4889,57.3817,34.9305,5.9318,16.2466,33.4116,38.2968,10.6987,39.7351,53.0025,16.1994,138.6105,92.1906,376.9151,705.5686,114.1738,48.3662,92.5946,0.0
ISR_H50,31.789,0.9039,0.1009,5.026,0.1859,101.6384,13.9919,2.6322,15.0998,120.392,50.1212,14.9166,24.5852,22.9295,18.8394,21.5788,78.0236,10.9801,23.3963,5.7781,11.0033,74.6803,13.6701,9.018,120.2247,96.1782,13.4768,190.1476,33.6667,2.9765,3.5489,37.4897,6.1561,3.592,10.8665,2.4096,3.6905,30.1089,8.3279,75.7431,4.5918,30.7718,6.0085,3.678,0.0
ISR_H51,4.7307,0.2104,0.0113,0.6335,0.023,19.7518,3.1627,0.5574,2.3763,10.7813,2.4955,2.6377,4.3124,2.4405,4.3954,5.2087,16.0961,2.1885,1.9041,1.1533,2.6668,13.6923,2.3769,1.8923,23.8354,4.8068,0.9866,0.0019,0.002,0.0018,0.0021,8.5858,1.2506,0.4947,1.6347,0.1407,0.5698,5.7572,0.5671,2.7568,0.0451,6.1723,0.2401,0.4955,0.0
ISR_H52,26.4376,0.741,0.0829,4.288,0.1315,73.4242,5.4409,2.0803,10.666,119.3566,68.8144,10.2038,16.119,23.1013,10.9758,17.3868,37.7803,4.6642,10.792,2.9632,4.9177,64.3913,8.8485,5.4039,87.8586,372.565,14.889,921.6904,816.1044,1.9004,19.5851,24.9462,4.4408,2.6004,7.5327,5.3859,3.1211,18.619,16.4209,61.2063,3.2034,20.7146,9.3976,3.2426,0.0
ISR_H53,3.1005,0.0104,0.0669,2.8141,0.0857,4.7015,1.2432,0.2612,9.3835,5.2694,5.8022,8.2341,4.1767,2.1959,1.3547,4.4877,9.7954,5.0703,5.1139,0.7428,0.4351,16.8291,10.0884,10.2715,37.2203,157.4937,10.0955,15.1681,11.5505,24.074,92.04,5.7806,51.0748,7.4409,26.5054,92.0409,55.1524,56.3584,15.0191,79.3074,17.901,46.2732,12.4417,9.6851,0.0
ISR_I,4.6299,0.0923,0.5817,12.3359,1.3362,80.3634,1.4606,1.4817,7.2242,1.694,3.3523,11.974,5.2672,15.2175,14.0205,54.5909,14.1284,7.8391,67.2351,6.4195,5.0639,83.8935,40.8417,18.1299,14.134,304.2438,87.8131,25.1464,58.0178,0.1791,0.6323,172.9347,28.329,49.5843,342.7557,242.3278,44.0612,739.0274,154.726,155.9204,310.1261,320.8766,307.1953,194.9084,0.0
ISR_J58T60,0.0909,0.0002,0.0064,0.344,0.0143,2.9683,0.2938,0.0721,3.2887,3.4484,1.3921,0.2433,0.333,0.4331,0.1168,0.4423,1.8853,0.6781,0.3187,0.0545,0.6386,1.6456,0.3608,0.5218,7.5587,27.4535,1.9797,0.4998,0.5413,0.7598,3.0305,17.0099,511.0447,223.5196,25.3869,6.7345,2.7994,618.2315,24.1523,12.8756,15.2657,2.6233,88.4031,27.5212,0.0
ISR_J61,1.2416,0.0371,0.0729,1.9726,0.111,11.6104,1.9346,1.0182,4.404,13.6661,11.5848,30.7006,4.7301,4.4699,2.9537,9.2293,15.2504,1.2372,5.717,2.9595,0.4362,20.3186,2.8656,7.3683,95.6927,129.4049,50.6122,4.2033,5.4565,8.5092,2.1823,15.3399,36.9753,1210.0888,52.9435,137.7152,14.619,117.0615,43.1234,118.1465,28.3632,48.6078,69.5753,23.3508,0.0
ISR_J62_63,1.1737,0.1355,0.4519,14.7194,0.8307,30.1586,2.3321,1.173,7.2703,8.1773,21.8311,24.3434,9.9201,14.0465,4.3607,22.6813,437.9167,15.6365,65.7273,4.2286,40.1063,34.7952,26.0276,13.556,120.1735,100.7312,70.5574,13.7295,13.5428,17.8297,1.468,15.9284,83.8917,85.2186,1728.5551,346.1046,20.6938,261.1185,38.9474,668.346,102.1826,183.0475,73.7193,31.4232,0.0
ISR_K,94.8395,1.2831,4.9256,212.6792,5.2505,225.0225,30.9958,6.988,41.3804,289.4906,216.87,210.7602,81.5408,78.176,50.194,75.8124,191.8336,18.4331,86.8524,15.3056,33.2483,153.0949,434.8107,292.7598,933.0271,1775.3635,450.6469,123.7055,117.1723,242.371,4.3858,120.0885,159.2472,304.4158,610.8365,5119.4981,4299.1585,855.6447,523.3168,644.5184,118.5085,178.1038,299.9615,190.1621,0.0
ISR_L,23.5978,0.032,0.7186,21.5671,1.0809,135.0413,47.6957,9.3165,61.4707,66.7588,58.5595,74.802,90.1038,58.7711,22.0491,95.536,132.7424,18.8335,82.354,14.0495,28.6827,201.8632,24.9586,71.1528,259.9456,2684.4195,168.454,7.2246,7.8904,894.1985,10.4791,379.2388,104.0403,340.0752,273.8597,190.6665,1289.0377,573.4693,180.3418,381.4494,263.4471,486.8703,432.419,197.2893,0.0
ISR_M,102.5347,0.729,3.9764,98.3649,7.9266,295.7531,29.9286,10.3796,37.2167,63.2126,247.8267,312.7172,91.3793,79.7405,30.77,96.4621,564.6572,55.0447,141.7397,19.5088,72.021,367.8864,381.8835,211.6584,3359.2818,2204.8456,398.5128,50.2788,58.8619,307.4813,19.3929,184.714,192.3422,153.742,927.881,1304.843,567.0912,4218.1346,508.2729,1293.0957,261.7792,663.6762,766.5652,179.4226,0.0
ISR_N,59.9431,0.0224,3.5634,109.5844,5.4906,277.07,13.4134,7.1171,41.8912,23.9632,166.1854,331.5698,95.8612,73.0659,25.4284,85.2526,405.0256,22.5771,145.2588,16.6306,28.1267,155.8791,233.0984,328.7628,1000.303,1068.0915,461.3664,117.8283,132.3617,351.1076,23.201,119.0601,73.0965,142.7944,301.5007,778.9773,358.6791,560.1195,1896.0773,1177.7474,616.6248,667.2781,501.1006,273.1925,0.0
ISR_O,5.8863,0.0007,0.0407,1.7734,0.0626,4.7594,0.0568,0.0854,0.2074,0.212,1.5322,1.1268,3.7758,0.5175,0.1166,0.9341,3.4511,0.254,0.5596,0.0733,0.7369,0.786,75.4792,28.2683,90.9188,21.6605,25.3305,27.0492,26.721,14.5685,1.4748,2.0702,7.4229,4.4876,82.1746,43.1459,22.3968,21.2791,4.5504,202.3708,58.4388,101.0614,8.225,2.0666,0.0
ISR_P,0.0004,0.0,0.0361,1.4273,0.057,4.249,0.3145,0.0507,0.4006,1.7593,3.6695,8.9288,2.8756,1.48,0.8655,4.7608,5.5458,0.6004,1.4994,0.2448,1.1761,1.4809,0.7802,10.6614,6.5725,18.8623,3.8771,1.9593,3.17,0.0128,0.1401,2.5238,1.8199,0.2826,12.8561,35.538,3.8794,38.9186,5.6397,221.1027,375.3503,79.8929,98.6144,33.9761,0.0
ISR_Q,0.0003,0.0,0.0006,0.1179,0.0008,0.1798,0.0026,0.0858,0.0389,0.0098,0.0307,0.9418,0.0086,0.0191,0.1052,0.0232,4.3084,0.0103,0.0137,0.0018,0.0731,0.114,0.5528,8.9314,0.3469,15.4859,1.2723,0.0635,0.0502,0.4214,0.0246,0.2249,10.1036,2.3036,71.251,575.1425,0.945,27.9351,9.0746,407.8324,55.5494,2817.4628,37.556,86.8532,0.0
ISR_R,0.0,0.0,0.0,0.0,0.0,0.2256,0.0718,0.0,0.0,1.5514,0.0804,0.0,0.0322,0.0,0.0,0.0984,0.1822,0.195,0.0,0.0,0.0221,0.1334,0.3309,0.1191,0.448,1.926,5.4597,2.0633,0.9614,0.0,0.0,2.9993,121.7313,62.2309,3.5603,0.771,2.4924,82.3692,2.766,149.0509,83.8031,76.7552,880.6609,297.2526,0.0
ISR_S,17.8662,0.3694,0.0096,0.5577,0.0238,5.8895,6.3015,0.2875,1.0137,3.4447,1.2137,4.8228,1.0677,0.9352,1.0246,1.6927,1.2443,0.6201,0.9025,0.2304,0.0932,6.3065,6.7845,8.8202,44.026,205.5264,13.4779,12.5587,12.4063,6.764,0.8852,261.4763,53.7212,11.4115,114.6683,14.2647,26.7859,46.2039,55.5755,259.0806,29.546,465.0849,185.5771,513.9335,0.0
ISR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
