V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_K,22.5711,0.2174,1.346,3.7627,0.1,19.2776,4.3319,8.6465,10.544,0.0044,18.5797,29.5079,12.2584,9.8003,18.7692,30.848,6.6674,28.1853,21.6497,28.2802,1.8394,15.5833,43.5873,18.1264,62.7246,188.4506,71.5592,0.2922,5.1416,30.6678,7.2855,41.6057,5.6419,12.797,25.6728,445.3363,115.9752,82.8529,38.9515,67.8334,8.1659,20.0775,17.271,16.9358,0.0
SVN_L,2.2202,0.2081,0.1163,0.1523,0.0093,9.4359,2.5372,3.7073,4.1762,0.002,4.8382,9.4061,5.2096,2.8716,6.4386,17.0441,2.4062,10.0996,6.6291,5.6619,3.4604,6.2196,8.9606,42.4161,39.9637,222.3093,17.6232,0.0567,1.8674,26.9916,2.5268,46.9599,4.0661,12.1765,19.8459,16.3952,40.3639,37.3891,26.0488,28.0372,10.2965,16.0515,11.4379,10.2843,0.0
SVN_M,27.9197,0.498,2.648,3.3056,0.2187,75.1059,11.697,20.1566,25.187,0.025,24.868,411.9687,53.3088,28.7666,46.5618,80.4106,31.2215,60.2071,58.7538,60.6482,3.5126,59.0701,62.8702,45.183,403.2632,620.5115,84.5456,0.2094,5.0561,52.7422,3.5466,79.8122,66.1352,23.6615,62.5233,102.8972,63.3893,776.7815,89.4653,129.9527,65.688,81.9193,67.6696,50.1893,0.0
SVN_N,4.3806,0.1132,0.7989,1.9787,0.0681,28.067,7.6497,8.4868,18.833,0.003,8.5786,122.4198,17.6598,11.4809,16.1317,40.2631,8.4677,50.8359,31.785,60.5963,1.1023,26.7513,31.9734,17.7348,45.1732,214.8268,37.3999,0.0531,11.6809,38.6768,10.7078,87.0506,12.0994,12.3212,30.3605,30.7953,16.1496,61.7137,173.5607,22.1354,34.6196,36.5884,40.9762,19.5814,0.0
SVN_O,1.8167,0.1139,0.062,0.0442,0.0062,6.9395,1.0183,2.0247,2.5194,0.0012,2.7596,8.9098,2.8432,1.3929,3.4399,10.8065,1.4813,5.1479,3.5763,3.1874,1.9413,3.3972,5.0581,24.3599,16.4813,103.2611,32.8963,0.9523,0.6737,30.082,1.8826,19.6268,2.6387,10.4039,13.0097,20.1374,24.2276,25.1262,16.3865,88.506,6.63,9.7098,7.6033,5.8936,0.0
SVN_P,2.9444,0.0483,0.0951,0.1323,0.0054,5.1337,0.5885,1.055,1.5521,0.001,1.1151,12.9899,2.5243,1.0183,1.6365,4.204,3.3863,4.7531,3.1845,4.2452,0.2305,2.4684,10.2969,2.3588,6.3713,33.4421,5.483,0.0153,3.7656,2.9569,0.707,4.8556,1.807,2.7004,10.7106,10.6683,1.605,25.6763,4.7527,33.7397,35.8579,22.1041,5.2957,7.0164,0.0
SVN_Q,1.5159,0.0515,0.1815,0.0731,0.0024,2.1883,0.4831,0.5231,0.8413,0.0003,0.7532,5.6611,1.022,0.8249,1.0305,2.5964,0.5114,1.6129,1.3117,1.9474,0.1306,1.3568,3.9591,2.1238,3.5141,12.2908,2.5435,0.0128,0.1987,2.3452,0.5392,5.5074,0.5882,0.6857,1.9272,2.3892,1.2853,4.2183,4.046,7.0684,4.7847,195.6003,4.4009,40.6697,0.0
SVN_R,0.8539,0.0611,0.1185,0.2898,0.0016,1.9883,0.708,0.6008,0.6583,0.0006,0.4739,5.9686,0.569,0.5551,2.9143,1.3817,0.437,1.4679,0.8726,3.78,0.1859,2.2142,1.062,1.3015,1.682,10.4835,3.1967,0.0276,0.2659,2.3443,0.2041,10.0265,5.8803,3.9748,1.5902,4.1159,1.7202,4.7954,6.2043,2.8396,11.2128,1.909,147.1791,6.8232,0.0
SVN_S,3.7873,0.5515,0.13,0.1823,0.0049,5.8907,0.874,0.6927,0.7847,0.0032,2.2469,3.7077,1.4976,1.6994,0.7727,4.1626,1.0859,5.2886,1.8079,1.4841,0.4445,1.409,17.9337,3.8801,3.3826,27.7627,9.936,0.0602,3.4142,4.6639,0.69,18.397,5.3745,2.0405,4.653,16.6683,2.2076,17.9183,4.1225,17.7477,8.4764,19.7006,31.7009,68.9539,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
