V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_I,17.9093,0.8944,23.7901,2.1622,2.5698,46.4287,24.5567,15.0531,5.3564,6.5264,14.201,1.9665,20.1918,24.2771,17.703,32.5679,14.0427,18.5537,31.8118,92.1655,3.212,13.2106,43.5949,23.5321,378.446,488.8174,183.4829,9.562,24.1689,41.1571,7.7546,33.4729,11.1768,81.7216,47.1474,33.459,102.7361,163.1282,90.8183,299.6264,99.4648,151.7662,24.5284,45.862,0.0
ROU_J58T60,24.3665,2.0551,13.0078,3.4424,0.2118,22.9526,18.1377,19.1529,9.0105,5.6362,2.6875,3.5307,12.8291,12.3014,20.6529,16.5436,20.6744,41.8992,17.2354,84.6999,7.8277,22.72,27.4227,36.3744,38.3876,288.4904,19.2296,1.4132,14.4199,48.7669,22.6105,205.8426,184.6758,58.689,65.0075,41.8558,63.1572,184.749,54.8643,81.9966,149.735,53.4032,224.6791,37.2609,0.0
ROU_J61,7.3702,1.3656,14.1249,1.8596,1.2706,28.4559,20.774,8.7021,3.6884,2.0032,15.8675,2.0209,17.1507,10.1664,12.6312,32.7865,9.9759,12.7597,15.3968,45.6671,4.441,12.3344,102.8093,16.6911,79.2161,560.9424,82.6866,2.9044,37.825,68.7645,22.5132,19.8751,48.8878,180.4806,26.4886,57.6336,173.2775,96.1414,54.1086,63.746,6.7358,14.6854,16.3599,23.5106,0.0
ROU_J62_63,47.7606,0.8151,35.518,19.0403,1.3997,151.7577,89.5069,8.6785,136.8167,69.6315,34.8203,2.6604,11.2598,59.9494,74.666,151.6127,60.3962,24.9872,69.4568,246.133,78.8399,50.9873,215.9192,103.7112,449.6219,1389.1317,333.2519,25.9524,84.8115,44.3006,8.2421,37.8465,13.0979,22.3097,288.9722,363.3377,258.1798,521.5944,53.6272,183.6511,90.5348,200.6642,32.1139,26.6008,0.0
ROU_K,44.3545,9.918,37.615,4.3348,8.889,271.2293,87.279,52.5685,24.717,152.0252,32.3424,7.3452,56.6377,37.4547,86.3428,51.0804,58.5031,75.8405,60.0647,244.1822,19.792,54.7761,194.4414,71.1489,337.0725,1457.6408,295.9645,19.1978,32.4585,87.645,37.1591,79.4948,39.0069,96.8585,158.323,405.0392,1202.8639,409.5439,188.6944,43.2752,43.4149,67.8918,113.7212,81.0895,0.0
ROU_L,8.6205,2.4202,7.9158,0.1654,1.9678,23.3833,24.9581,6.5402,11.5615,5.6097,15.593,0.8722,3.6464,17.8358,15.3348,6.6017,7.9104,13.8669,6.5415,80.2919,6.5739,5.0377,23.3162,17.5898,652.632,2457.2773,61.1469,1.6866,13.6292,1.2412,13.0826,17.1983,9.942,34.188,198.3444,22.6988,485.7442,113.4174,59.6847,90.2997,15.7197,110.2655,26.7507,42.87,0.0
ROU_M,1256.8426,30.522,193.1028,14.1402,22.6806,241.7042,282.123,193.9698,123.9782,86.0472,38.5017,60.4908,244.8697,110.8576,95.9577,154.8323,108.702,531.3773,89.7322,473.0727,98.6285,201.5396,146.9083,504.3699,564.2759,2228.5299,197.6898,22.4523,85.2045,631.1612,86.9712,82.7854,256.9135,472.8807,778.4002,168.7872,648.7649,3070.8157,1072.9653,57.6362,50.6348,185.7393,648.1622,569.8601,0.0
ROU_N,128.3702,6.5448,89.2681,6.6587,21.5901,133.2067,157.0005,108.2551,87.5298,48.8269,21.4894,33.8205,138.8939,60.8009,53.3936,86.8267,60.9112,297.5521,50.3686,263.02,50.4188,128.0841,80.8842,289.8375,315.6876,919.4944,109.3977,12.5563,47.6081,527.8824,97.6885,45.6081,157.9444,267.6556,593.7604,96.6643,371.2298,1719.1922,609.0969,31.6833,28.1822,107.3111,361.8373,317.3815,0.0
ROU_O,44.4807,1.2092,15.3569,1.2449,0.4511,24.9951,16.3909,12.0579,6.886,10.6692,10.4171,2.5037,19.17,16.7457,20.1025,28.8235,15.7462,31.733,20.4261,65.7539,9.7015,22.6568,77.9812,18.628,195.6283,164.5765,74.8606,1.9669,6.9222,29.8449,5.3488,17.6319,9.5792,53.2115,30.1734,15.4826,56.9974,122.2507,41.5711,24.0715,30.3375,31.8928,39.3761,25.8713,0.0
ROU_P,38.2902,1.4428,47.5459,2.1167,0.2008,40.4698,45.5648,32.6884,26.4074,14.3421,7.1986,10.0321,40.5322,19.7406,15.342,26.6194,18.9484,94.8872,15.8257,81.4209,17.3456,38.7591,26.4394,83.6882,101.8404,285.2639,34.956,4.0227,13.9058,152.6538,31.3054,14.3909,46.0129,81.617,173.5106,29.046,129.8949,511.8668,183.7919,9.946,9.3729,34.1376,112.0448,98.5659,0.0
ROU_Q,41.8795,4.4871,39.9747,1.9908,0.1908,40.5381,48.8224,34.1704,26.8234,14.5694,7.415,10.7879,42.9206,20.3321,15.7344,26.6846,15.7889,91.8431,13.9277,83.8575,17.1495,42.8329,27.7936,94.3516,98.7222,291.7136,35.3022,3.9263,14.9203,160.7847,32.2908,12.5302,52.1481,77.931,183.3003,29.9154,135.1175,533.9718,199.7824,11.1954,9.081,34.0554,121.6904,101.7395,0.0
ROU_R,12.6339,1.6005,8.9576,1.628,0.0328,28.8354,12.3623,6.2902,5.1685,3.0344,3.3439,2.117,7.6335,3.8099,6.8061,8.4352,6.8993,19.015,4.5302,20.4046,4.7996,8.0908,6.5546,18.0655,28.3759,63.2608,15.2728,2.3765,3.9578,30.3196,6.0174,592.2265,47.5405,17.8682,41.3877,21.2586,29.7464,122.1149,42.438,156.1785,215.9162,25.8218,531.7348,28.8017,0.0
ROU_S,38.7643,2.1101,13.3572,3.8817,0.6695,55.3992,26.1576,13.1788,9.153,9.5763,8.7189,3.402,18.1342,13.4767,14.8751,29.9587,17.5025,37.9025,19.2485,58.4584,9.5036,21.6656,42.2992,41.0398,148.7398,153.8945,250.4122,10.5681,8.4623,44.2318,8.599,144.9935,25.6381,44.1259,62.3655,35.8246,60.4631,177.1238,72.275,115.7645,62.1168,435.2081,85.1838,134.1221,0.0
ROU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
