V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_C23,0.0056,0.0179,94.5645,15.6725,0.3875,66.7733,66.0891,55.5309,0.0211,0.1593,0.3366,0.097,21.1947,1100.882,154.0772,115.6022,0.7586,5.2007,28.7218,28.9323,1.1051,68.3111,69.4781,9.6904,7553.0467,422.5223,0.0109,0.0002,0.0093,0.0387,0.1451,0.2328,1.0918,0.6388,0.3817,1.11,0.0332,1.7081,3.448,1376.9473,6.7469,9.9701,0.7092,58.3912,0.0
NGA_C24,0.0007,0.0,374.1145,0.5519,0.0975,0.0192,40.8222,16.6765,0.638,0.0326,0.4036,0.0257,7.842,19.8929,45.7302,33.8133,0.0,1.2015,0.2201,0.21,0.008,130.504,0.2178,1.9691,28.1946,19.3633,0.0006,0.0005,0.0,0.0032,0.0001,0.0018,0.1526,0.018,0.0122,0.0195,0.0067,0.0035,0.0002,0.0044,0.0134,0.0226,0.0,0.0236,0.0
NGA_C25,4.8359,0.0,9.7738,11.2568,0.1378,0.2739,0.2029,4.1493,0.0009,0.0583,0.0024,0.0003,2.8387,11.2821,2.3644,5.6968,0.0532,0.2085,2.0842,1.4633,0.0747,10.7263,0.3617,1.434,109.5615,58.7445,0.3037,0.0006,0.0109,0.5755,0.0011,0.0239,0.2099,41.134,24.1911,0.1547,0.0885,0.4253,0.3282,0.5933,5.201,0.0492,0.1418,8.4041,0.0
NGA_C26,0.0,0.0,0.2281,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0003,0.0001,0.0002,0.0001,0.0069,0.0126,0.0002,0.0003,0.0042,0.003,0.0003,0.0409,0.0013,0.002,0.0344,0.1988,0.0106,0.0,0.0007,0.0063,0.0023,0.0,0.0373,0.31,0.1368,0.0524,0.0016,0.1206,0.0016,0.0305,0.0045,0.0837,0.0065,0.0053,0.0
NGA_C27,0.0,0.0,0.0523,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0003,0.0001,0.0001,0.0024,0.0088,0.0113,0.0001,0.0003,0.0019,0.0064,0.0003,0.0305,0.0111,0.0041,0.0405,0.3947,0.0,0.0,0.0,0.0001,0.0,0.0,0.0024,0.0309,0.0109,0.0006,0.0001,0.0017,0.0015,0.0005,0.0027,0.0038,0.0004,0.0574,0.0
NGA_C28,0.0599,0.0,3.2314,0.0537,0.0055,0.1345,0.3447,0.0345,0.0,0.0094,0.0004,0.0001,0.0026,0.0171,0.0054,0.0063,0.0002,0.0009,0.0605,0.0141,0.0007,0.2731,0.0015,0.0818,1.7067,3.224,0.0238,0.0,0.0376,0.0172,0.0,0.0,0.0251,0.1033,0.0696,0.0,0.0,0.0704,0.01,0.0,0.0,0.0,0.0,0.0321,0.0
NGA_C29,0.0002,0.0,144.1611,0.2102,0.0364,0.0078,16.6528,6.7446,0.26,0.0132,0.1616,0.0102,3.0771,8.0072,18.3819,13.4753,0.0003,0.4905,0.0,0.0094,0.0001,52.6612,0.0032,0.803,6.0478,12.8065,0.539,0.0,0.0,0.0028,0.0003,0.0018,0.0583,0.4741,0.3408,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
NGA_C30,0.0,0.0,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0019,0.0,0.0002,0.0139,0.0013,0.0063,0.1781,0.0,0.0,0.117,0.3953,0.0295,0.0,0.0034,0.0,0.0124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.0,0.0,0.0322,0.0,0.0
NGA_C31T33,16.3439,0.0338,118.1968,0.145,0.0543,4.1934,30.9171,26.9681,0.5441,0.0048,0.2199,0.0425,1.8962,6.3375,0.1757,0.2113,0.0217,0.0037,0.071,0.0331,0.0061,94.3885,6.8654,3.3779,41.5339,188.2406,8.4176,1.1181,2.2238,6.1569,0.2121,3.6175,22.3896,47.3412,27.0441,37.87,22.6709,12.226,0.484,9.7106,26.5807,42.8021,0.3217,52.556,0.0
NGA_D,4.0658,0.0063,707.682,0.4274,0.0878,1.4311,3.7586,0.8748,0.4774,0.3403,0.0722,0.0052,1.4647,1.9206,0.1381,0.0736,0.019,0.0146,0.0447,0.7687,0.0216,2.3645,144.9093,3.722,17.9919,64.9776,5.5981,0.0,0.6588,1.4742,0.0272,1.394,26.0638,30.3858,9.3387,4.5925,138.2845,4.7879,0.305,50.2663,28.5422,11.1186,0.0,76.2624,0.0
NGA_E,22.6887,0.0,11.2059,0.0002,0.0486,0.3766,3.5411,0.6759,0.8339,1.6561,0.2098,0.0239,0.3492,0.4308,2.8795,2.0363,0.0068,0.0438,0.454,0.3428,0.0264,0.824,0.0032,1.2135,0.0219,36.3698,1.3886,0.0,0.0,0.1926,0.0,1.639,2.786,0.8349,0.4804,1.9862,15.9695,0.3638,0.0279,12.9804,1.1711,3.0835,0.4253,2.1939,0.0
NGA_F,5.2264,0.0061,11.4586,0.0007,0.1279,0.122,3.3135,1.0662,0.0014,0.0101,0.0,0.0,0.7939,1.7904,0.0001,0.0001,0.0032,0.0,0.0,0.0006,0.0,1.4801,1.0232,1.0993,0.6979,55.0811,1.102,0.0,0.0,0.1405,0.0,0.3541,1.7769,5.7184,1.8429,14.2738,22.7494,1.2538,0.824,2.2104,3.3619,3.8367,0.2173,6.7175,0.0
NGA_G,10485.6921,97.8879,2931.5872,23.3205,2.2484,6954.2678,2266.7951,282.0187,73.7658,399.7412,117.9995,28.9842,362.5848,1224.7517,97.6259,81.8592,3.786,2.8798,18.606,33.8843,1.9611,265.8413,111.0524,44.2632,4153.8349,25640.7222,4117.4013,28.023,33.2516,34.4905,13.1521,967.6144,794.0949,6354.144,3429.1485,208.5868,610.3576,605.9824,21.3529,939.7955,1277.9063,378.7536,52.1394,2115.3117,0.0
NGA_H49,249.1529,2.3048,76.1443,0.71,0.6443,191.7826,72.5,19.3053,2.0612,22.7298,2.7961,0.5796,61.4044,241.6537,4.0409,2.7498,1.0267,0.0885,0.4791,1.632,0.1048,20.1378,12.1077,12.758,469.0509,1033.6132,908.029,1.0236,0.6987,10.7645,4.5473,21.9892,135.0726,1832.8913,1282.9358,102.9199,39.6281,135.3635,0.6556,218.2634,495.1775,67.7143,8.9302,949.7587,0.0
NGA_H50,1.1783,0.0107,3.0937,0.0774,0.0012,1.4007,1.7479,0.1865,0.1238,0.3521,0.0386,0.0072,0.1486,1.2768,0.1724,0.1705,0.0032,0.0037,0.0176,0.0482,0.0028,0.4232,0.1741,0.0654,5.4064,4.4788,0.5692,0.0107,0.0749,0.0037,0.0034,0.2422,0.321,0.5026,0.2657,0.046,0.1521,0.1234,0.0248,0.8625,1.6627,0.3021,0.0444,0.7876,0.0
NGA_H51,16.221,0.1525,25.0229,0.4814,0.0197,13.547,10.6985,1.3646,0.8965,2.9771,0.3323,0.0644,1.2533,8.6657,1.4428,1.3153,0.0088,0.0375,0.2765,0.4108,0.0244,2.7532,1.1113,0.4039,35.8093,51.0438,3.6153,0.1264,2.108,0.4747,0.1533,2.1442,2.0806,7.9964,5.562,0.3597,0.8603,0.8608,0.1667,5.7541,10.0652,2.2132,0.3196,5.5353,0.0
NGA_H52,25.5693,0.2146,4.4908,0.0646,0.008,15.3413,4.288,10.6047,0.1039,2.1919,0.2499,0.0541,1.0428,10.2921,0.4512,0.3195,0.0033,0.0094,0.0572,0.1958,0.0121,2.8801,0.2449,0.0329,70.328,44.5169,0.974,0.0105,0.024,0.3812,0.0375,1.7348,0.2649,3.8301,1.6597,0.0368,0.103,0.0954,0.0277,1.6894,0.6033,0.2992,0.0271,0.7426,0.0
NGA_H53,0.0116,0.0,0.7117,0.0042,0.0024,0.0964,0.6723,0.7919,0.067,0.0111,0.0181,0.005,0.2741,0.3437,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.4791,0.3913,0.1857,0.2685,9.5846,1.1303,0.0,0.2788,0.1092,0.0691,0.0786,0.5238,0.703,0.2145,1.0907,1.7055,0.6939,0.2045,2.6357,1.2158,1.322,0.4273,6.9062,0.0
NGA_I,0.4124,0.0037,152.9014,0.0,0.0267,0.1404,0.5538,1.5806,0.1633,0.1755,0.3839,0.1221,0.502,0.7676,0.1378,0.1569,0.0215,0.0041,0.0277,0.0,0.0,1.1079,0.6569,0.2635,9.7037,38.8273,10.1479,0.0,5.6347,0.7648,0.3799,2.5789,16.6178,37.673,24.7958,14.2431,8.2525,13.8249,0.4941,6.3663,48.473,20.6614,6.2495,94.7634,0.0
NGA_J58T60,9.4271,0.0,47.7455,0.0,0.005,0.0003,0.0011,0.0009,0.0024,0.2416,0.0007,0.0002,0.001,0.0016,0.0015,0.0012,5.2901,0.0017,0.0032,0.0001,0.0,0.1281,0.0019,0.0104,175.6086,83.9777,337.2072,0.0034,0.0026,0.004,0.0005,96.3893,10649.7728,9545.5738,4171.6338,0.0133,23.4613,2039.508,0.7215,2.6244,1290.8622,333.073,158.8883,1.8748,0.0
NGA_J61,6.3524,0.0407,272.0304,1.305,0.1149,12.9392,32.8017,37.2092,19.1331,0.2806,4.4621,1.1188,12.1535,880.1278,0.0,0.0,1.3239,0.0,0.0,0.0,0.0,36.3512,6.7742,2.4507,482.9814,316.724,586.6489,0.0,102.5798,6.1952,39.7475,99.1982,4475.5546,2390.3666,225.8039,3723.162,6950.6278,10944.8792,4.3705,283.4893,948.476,566.5342,155.3134,2422.812,0.0
NGA_J62_63,0.0302,0.0,139.0342,0.0,0.3336,2.9416,2.9349,10.1318,50.8165,0.5272,3.4974,0.9165,7.1332,10.9702,0.0,0.0,0.0106,0.0,0.0,0.0,0.0,14.9688,16.5904,2.3779,0.0,979.0458,22.025,0.0,0.0,7.9856,64.4051,0.0,44.6029,19.0742,35.2386,409.8252,0.0,22.6475,6.4173,60.2608,64.7881,34.6421,1.6295,11.2521,0.0
NGA_K,241.5539,0.789,195.8796,0.9255,0.7823,18.2621,132.0833,11.4403,5.6345,6.3996,5.7938,1.2634,18.2613,13.3864,0.3072,0.2917,0.1973,0.008,0.0623,0.0817,0.0047,69.1082,16.6102,3.5531,149.7667,1062.9517,84.6832,0.0152,38.6654,12.9741,3.1076,4.5548,86.7299,354.4208,174.457,10664.2185,691.9653,170.0949,3.885,44.5722,278.7402,38.6554,18.6181,515.743,0.0
NGA_L,0.5288,0.0,48.5392,0.2806,0.0512,16.6821,12.953,1.6111,0.239,0.1102,0.1359,0.0319,1.3394,84.0744,0.0,0.0,0.8445,0.0,0.0,0.0,0.0,9.9513,28.9048,2.8292,110.4481,531.0635,64.5516,0.5318,41.6713,1.5069,1.1292,108.2009,735.0185,1523.6869,785.4269,65.8661,2839.4673,178.0689,0.4945,250.5156,1164.2948,49.9981,7.4528,1106.6737,0.0
NGA_M,143.6217,1.0339,1736.278,14.4778,3.7526,127.1236,518.3317,52.8947,14.7828,7.4264,6.5573,2.7613,53.4114,171.3157,0.0,0.0,1.1901,0.0,0.0,0.0,0.0,238.4196,454.9006,34.8208,1770.8043,3743.8307,758.7357,3.6868,362.247,54.6048,25.2504,28.0077,925.9372,2146.48,1626.1211,1061.1527,2974.5525,6644.8252,26.2022,773.8268,424.625,400.1215,11.628,2851.3753,0.0
NGA_N,0.0473,0.0002,9.7401,0.0065,0.0326,0.0241,0.0633,0.0974,0.0461,0.004,0.0267,0.0091,0.0341,0.1002,0.0,0.0,0.0001,0.0,0.0,0.0007,0.0,0.214,0.194,0.0249,0.1256,20.629,0.1677,0.1259,0.0355,0.0365,0.0139,0.0194,0.2786,0.2481,0.1313,0.0903,0.2534,0.2271,0.4169,0.2303,0.2192,0.5749,0.0838,0.4844,0.0
NGA_O,0.0,0.0,1.5435,0.0003,0.0041,0.0,0.0,0.0,0.0,0.1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0,0.0,0.0,5.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_P,0.0,0.0,75.4068,0.0233,0.0005,0.0,0.0,0.0,0.0,0.1413,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.0,0.0,1.2797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3343,1.7415,0.0,0.0,0.0,0.0
NGA_Q,0.0,0.0,11.3745,0.0004,0.0003,0.0,0.0,0.0,0.0,0.1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0004,0.0,0.1621,0.0006,0.0,0.0,0.0,0.0007,0.0,0.0105,0.0419,0.0303,0.0,0.0,0.0,0.0001,0.0123,0.0,0.2667,0.0,0.0538,0.0
NGA_R,0.0002,0.0,8.0825,0.001,0.0002,0.0,0.0001,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.007,0.0,0.0001,0.0001,1.2507,0.8038,0.0,0.0,0.0,0.0,0.0286,14.174,22.2199,0.5248,0.0067,0.0003,0.3137,0.0161,0.5025,10.6635,0.3812,2.1907,0.0003,0.0
NGA_S,0.0,0.0,182.3586,0.0591,0.0373,0.186,0.1954,3.7801,0.6804,1.1547,0.2546,0.0655,0.5182,0.797,0.0795,0.0811,1.1112,0.0425,0.0799,0.9557,0.0503,1.909,1.1424,2.2407,17.4595,128.7874,1814.5944,6.9086,5.4863,6.1063,3.2828,45.0399,372.8212,1992.1692,2067.0852,80.9733,84.2847,114.9447,5.392,57.6631,1012.7275,10.2423,4.0955,1911.6974,0.0
NGA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
