V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_H51,10.5924,0.3959,5.2237,0.5681,0.1801,22.0804,8.046,1.8934,2.7334,18.3585,5.3041,2.1459,2.9791,3.7527,12.3715,4.6595,1.1823,6.1603,1.1016,2.2182,0.1308,5.2727,8.7016,0.2497,14.8838,7.4164,3.6014,2.6443,3.6474,2.055,0.0767,3.7364,1.8303,8.1281,0.5884,0.3274,0.2482,1.5849,11.4595,10.4585,1.9475,3.0249,1.1743,3.1496,0
EGY_H52,82.4073,1.9696,44.9424,40.7552,7.8782,177.129,88.7803,24.9923,46.4571,164.587,47.3929,22.0844,30.2347,63.6836,172.8526,86.7807,5.4389,39.0915,14.2616,10.8144,0.5097,48.5593,56.4788,1.647,167.47,712.1061,33.1259,13.64,86.724,667.5495,0.3344,29.6772,22.2126,116.8871,8.3039,2.7514,5.0582,45.7939,594.3193,134.4977,51.6731,540.1474,25.0192,60.5909,0
EGY_H53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,4.1061,0.0,0.0,0.0,0.0,0.0,9.3748,0.0,0.0,0.0021,0.0,14.8547,0.0056,0.0002,0.0007,0.4543,0.7171,0.2974,0.1391,0.0,0
EGY_I,0.2712,0.0039,26.3472,5.3022,2.6122,2.0318,1.5301,0.4538,0.3555,0.4186,0.4782,0.3028,0.8417,1.2355,2.5156,2.9146,0.7709,2.9532,0.8318,0.6609,0.0868,1.7018,0.5606,0.0704,14.2754,31.5349,0.4292,0.0824,3.5479,8.7042,0.0104,2.7657,0.5299,2.9707,0.2235,10.004,0.1766,5.239,3.6281,6.8484,9.823,8.6097,2.0344,3.2633,0
EGY_J58T60,1.6234,0.0042,0.1345,0.0778,0.0644,17.9262,2.7528,0.6672,1.0001,0.0766,1.8784,1.9894,0.4914,0.7453,0.9184,2.1644,0.1936,1.4319,0.5463,0.6701,0.1137,2.1782,0.1512,0.1792,2.7909,38.8074,3.1559,0.6043,5.0055,22.463,0.5804,15.3814,51.2731,0.7769,3.2619,11.7215,5.5255,13.3674,2.0245,1.1166,11.2943,2.8202,2.6749,14.1372,0
EGY_J61,1.9328,0.0111,0.1398,0.0302,0.0902,7.0393,2.4152,0.5496,0.5763,0.0067,0.4666,0.4256,0.2859,0.5724,0.7753,1.5984,0.0729,0.7288,0.3433,0.3058,0.0532,1.745,0.1627,0.1389,5.5798,13.3328,3.2874,0.3857,1.372,15.8089,0.7996,6.983,0.3721,1.0234,4.4016,9.7276,2.8407,9.5993,1.4708,0.6162,5.0852,4.5063,1.6825,7.1769,0
EGY_J62_63,2.4509,0.0116,0.1317,0.0659,0.113,10.0276,4.6446,0.7529,1.0033,0.0137,1.0883,1.0567,0.4636,0.9832,1.2016,2.9416,0.181,1.5584,0.6331,0.784,0.0715,2.3804,0.4089,0.2963,7.6526,31.3021,5.7173,0.6533,3.8064,32.0505,1.0962,6.2745,1.6771,0.57,40.17,28.1975,4.2873,17.7136,2.0845,1.2245,10.4168,8.1027,2.2986,10.7358,0
EGY_K,77.1243,0.435,10.7925,11.1812,1.8581,557.205,222.9146,3.6379,38.9888,20.8377,46.9663,77.2144,19.0329,61.1121,432.9434,36.6199,29.2554,141.3321,121.6907,86.1419,3.2294,13.4725,22.0756,1.8876,138.2383,258.6193,32.4453,63.8969,8.3122,315.5688,8.2407,33.7152,21.0551,167.6905,0.9488,89.8324,26.029,19.6283,13.9066,548.8256,10.5914,31.178,12.1299,21.6878,0
EGY_L,127.5486,0.9342,0.8121,5.3005,13.07,408.2199,121.6107,22.1761,22.4134,0.9761,18.9143,9.938,12.0783,22.9217,25.7346,74.7078,2.4936,27.5538,7.0005,13.9276,0.9445,79.541,12.1207,11.3001,68.5441,308.0564,62.2273,64.6124,15.3892,686.6735,9.8568,448.2563,10.4726,27.7262,2.2114,111.0011,365.2425,134.3687,44.4666,5.0846,182.7415,186.5846,104.3923,73.8588,0
EGY_M,12.695,0.0498,178.5562,1.8444,17.5199,441.169,31.9439,3.5053,8.3781,1.6611,32.4751,54.9454,5.8189,12.1905,26.8638,23.8555,22.2273,42.5371,19.8382,8.8056,0.6921,13.3776,17.8333,1.8309,150.2782,146.0485,33.1044,7.9515,15.7354,209.0208,4.9605,110.0863,22.327,261.1374,89.5737,139.8321,60.6182,317.5537,14.7385,10.4773,47.8912,71.0186,13.7715,33.8143,0
EGY_N,3.8948,0.0157,83.8924,2.2642,1.8236,51.3195,7.8009,0.5779,8.3427,0.6472,8.0311,1.9346,1.9405,8.5334,9.6544,5.5911,0.3548,18.4757,1.4454,0.8582,0.3006,4.6593,21.4192,1.9914,192.9155,84.8974,75.5661,8.0473,52.8755,47.6157,1.4914,12.5598,7.7754,36.02,1.1911,28.7741,6.6633,50.2034,41.3001,10.1103,13.2737,11.2034,15.2105,51.6694,0
EGY_O,0.0312,0.0,0.015,0.3672,0.0,0.1257,0.0019,0.0013,0.0934,0.0,0.0019,0.0,0.0002,1.2096,0.0,0.0002,0.001,0.0282,0.014,0.0009,0.0,0.0003,0.009,0.6759,0.4547,0.0035,0.4058,0.0,0.0,0.6824,0.0132,0.0201,6.3568,10.403,1.9208,11.8437,0.0162,0.0237,0.5825,6.8791,4.9931,6.3604,9.8395,0.6411,0
EGY_P,0.0031,0.0,4.2444,0.0928,0.4207,58.6083,0.3116,0.041,0.1704,0.0625,0.0817,0.1229,0.1707,0.3545,1.5261,0.5891,0.3053,1.6596,0.445,1.0136,0.0033,0.4573,0.0389,0.0153,0.7731,9.6746,0.2227,0.4009,14.8238,0.4506,0.0532,0.3281,2.4542,0.1799,0.0657,1.8321,0.0842,0.8589,0.4427,2.53,5.2482,5.6915,0.7082,4.4029,0
EGY_Q,0.0,0.0,0.0508,2.4096,0.6079,0.6527,1.2768,0.2323,0.203,0.095,0.2249,0.1557,0.0,1.5194,9.9035,4.5241,0.1522,3.2735,1.401,0.5391,0.0,0.8223,0.0,0.0,0.0,0.0,5.1806,0.0,20.0264,0.0,0.0001,0.0,0.1617,1.033,0.0666,1.2467,0.0,0.0,0.0,22.1797,3.8646,81.1688,1.0947,2.8659,0
EGY_R,0.0009,0.0,0.013,0.1321,0.0145,0.0623,6.3479,0.064,0.2396,12.2166,0.0463,0.0324,0.6662,0.0644,0.1935,0.1163,0.02,0.1332,0.0327,0.5152,0.0022,0.0784,0.0078,0.1577,0.439,1.4842,6.1816,0.5381,39.9519,0.4726,0.0177,0.1405,57.1954,113.0906,7.1968,143.7402,0.0017,0.7964,1.4484,3.6139,14.198,0.3957,10.3554,16.424,0
EGY_S,27.3396,10.7421,22.8668,7.901,1.4847,64.2908,17.926,1.654,4.2069,8.8187,6.4991,6.4988,3.7645,9.7533,37.6214,27.4245,2.5164,19.9574,7.813,4.7255,0.5121,8.0199,5.3033,1.4987,364.4748,99.6248,15.4007,23.0979,24.52,29.8111,0.2475,23.0729,2.9547,28.7312,0.9708,55.3524,22.7229,24.29,8.1413,17.1836,31.1818,28.8583,34.6521,110.0343,0
EGY_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
