V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T
KAZ_E,17.0003,0.2753,81.1284,1.161,4.8883,283.1612,0.0545,1.7317,261.6538,0.08,1.9004,4.917,90.417,31.3569,18.0196,0.0073,0.0403,0.9562,0.0046,0.1414,0.2582,3.7628,38.1071,5.2948,46.6204,24.2677,52.7172,1.0426,0.2825,2.1399,0.4379,3.773,4.1554,4.6111,3.9916,1.9733,12.331,77.6002,42.2105,40.0467,85.8195,20.5084,13.4879,44.2558,0.0
KAZ_F,215.5731,0.5305,943.4586,393.6838,12.1184,45.4833,0.5505,0.5322,1.1856,17.3552,16.8617,6.9893,11.191,73.2712,28.1885,9.2265,25.5539,0.5534,0.5542,0.6251,29.7301,21.9971,376.8629,69.3917,10874.5913,3236.7712,477.1459,13.4808,9.0107,32.6953,2.4089,58.773,35.4947,182.276,41.8938,197.6569,6779.5806,3342.6674,218.8488,511.5587,3588.2688,847.2437,204.1008,164.3986,0.0
KAZ_G,5095.0092,176.2017,4020.8065,2288.1924,373.8501,3112.3165,169.3657,21.5703,110.4795,1303.4442,630.5691,246.3069,310.2496,808.326,7254.4585,295.0932,22.3288,175.069,186.4611,356.0021,129.7802,659.9125,1225.6501,154.9059,5728.563,3342.7328,4898.356,29.1774,208.8103,594.5254,64.2257,1134.5904,169.3726,403.3826,126.0162,429.6919,1128.1097,1500.0664,693.1792,901.1464,919.7808,3827.4782,575.8844,448.9765,0.0
KAZ_H49,665.5022,9.3779,5998.486,712.9155,135.5618,219.4339,20.4925,4.2783,16.3475,188.7514,234.0505,27.8058,51.5524,335.1071,4327.7343,88.6256,6.1744,42.8513,51.2384,56.5225,31.2908,165.632,237.505,41.3869,2260.153,7067.6647,889.1361,5.718,53.8455,426.4658,33.0781,89.4217,103.8386,185.1999,98.9103,1453.211,2091.4421,591.4948,478.0906,513.8364,330.5743,712.6192,331.42,155.5237,0.0
KAZ_H50,10.5264,0.3471,14.3685,7.4168,1.4763,6.4229,0.4964,0.0569,0.3731,4.3355,1.843,0.7214,0.9589,2.2521,23.4651,0.751,0.104,0.4217,0.4988,1.3389,0.4392,2.3236,3.9655,0.4132,14.9971,34.476,18.8759,0.1218,0.5909,1.5868,0.2319,2.41,0.5667,1.4974,0.4732,1.1749,3.2426,15.7756,2.4538,2.4787,2.6034,11.6289,1.9459,1.2119,0.0
KAZ_H51,11.8338,0.3726,29.0094,7.3274,2.4888,6.9687,0.5279,0.058,0.368,4.5951,1.6186,0.7699,0.995,2.1648,20.4058,0.6971,0.1139,0.4071,0.4714,1.2733,0.4359,2.3542,4.1299,0.4042,14.6322,784.2049,34.3488,0.1515,3.865,27.544,3.2094,2.7331,2.8358,25.256,3.4815,6.6805,295.7224,334.6192,177.5051,115.1531,42.4572,13.2061,61.7847,27.8915,0.0
KAZ_H52,272.1315,1.0174,592.2521,38.1232,14.9434,23.0752,1.2686,0.2279,1.2835,20.832,16.8473,2.0035,2.717,13.0058,90.6308,2.6828,0.188,1.5861,1.7224,4.8337,1.2218,8.0384,14.8553,1.885,61.5462,3191.628,344.7746,12.6883,580.0061,148.6655,1.9713,8.2982,1.7796,5.6864,1.3383,16.2252,16.1718,169.8137,46.5331,173.7062,33.6933,49.5809,7.1296,11.3283,0.0
KAZ_H53,4.7374,0.1446,6.4999,1.4487,2.0884,0.6114,0.0359,0.016,0.1487,0.072,0.1998,0.4039,0.0817,0.6947,1.174,0.019,0.0839,0.0716,0.1136,0.1023,0.0315,0.212,1.7168,0.1253,3.3558,18.0044,9.8633,0.1046,0.7709,3.7789,2.2598,0.9185,6.4724,14.764,5.8786,10.7905,17.7248,48.6361,96.5302,43.4374,33.4894,34.9896,9.3796,45.4682,0.0
KAZ_I,0.2039,0.0,257.9709,84.2349,175.9528,9.751,0.0471,0.0017,0.0279,0.0448,1.0224,0.1099,0.1938,3.2521,67.3467,0.1223,4.051,0.0013,0.0328,5.2281,0.0451,12.5311,5.7822,0.851,7.5584,308.5182,138.7333,0.1984,233.8968,27.3186,1.6114,34.452,40.4901,45.2323,35.2515,31.0085,137.9856,658.5029,885.6022,133.2301,60.1556,74.6143,209.697,851.5308,0.0
KAZ_J58T60,0.2513,0.0,35.0281,1.4993,0.0654,3.8175,0.0376,0.0,16.8565,1.3369,1.5326,1.1038,0.0003,0.2049,10.3938,0.0063,0.0,0.0411,0.0036,3.8834,0.7533,1.0981,0.3236,0.0827,0.6026,773.3069,5.3771,0.0278,16.7615,4.1648,7.2534,5.2203,163.1033,19.0935,62.7852,48.2934,15.1415,190.4488,84.7378,104.6484,379.3737,39.0404,82.6554,2.9079,0.0
KAZ_J61,19.1892,0.3789,81.206,59.0313,0.6961,0.7483,0.0704,0.0226,0.1068,0.0648,0.0537,0.0704,0.0683,1.4484,0.7957,0.0169,0.0389,0.0152,0.0096,0.0241,0.0426,0.2716,1.9971,2.8277,11.3469,937.8991,1396.2549,0.7325,0.6317,57.5262,0.1689,3.8043,123.4432,181.2326,151.6017,374.9713,42.3206,83.9896,124.706,503.1516,51.0882,77.1391,66.8021,174.5963,0.0
KAZ_J62_63,1.6823,0.1068,100.6897,0.247,0.4112,0.3091,0.0379,0.0002,0.2225,0.3013,0.0739,0.0479,0.0836,0.1583,0.0009,0.0001,0.1015,0.0602,0.0101,1.2911,0.0279,0.1887,66.5301,1.2712,9.2186,184.0611,75.0175,0.5701,4.6699,2.4766,0.0114,9.903,134.8252,468.3282,40.6652,29.7777,44.8873,73.8225,39.7132,280.2943,81.3802,68.0303,17.7298,15.6984,0.0
KAZ_K,749.6794,3.0625,320.6626,48.374,8.0295,53.1458,5.1638,2.2849,18.8988,9.3734,30.1144,11.1124,12.2197,103.1969,170.683,2.3272,11.9073,10.8192,17.6527,14.9705,4.1848,26.3133,87.7274,11.2806,442.4857,2758.5232,921.5739,9.0083,16.9923,293.6775,8.7512,15.231,16.6738,66.48,23.5713,1684.0553,964.6015,274.291,427.9378,422.0957,579.6331,5005.2478,85.2203,100.7707,0.0
KAZ_L,20.1155,1.6837,184.0796,3.5251,6.9213,4.5683,0.0263,0.1185,0.3522,0.1981,0.3046,0.7841,0.1644,0.7507,1.5539,0.0181,17.926,0.0118,0.0198,0.2787,0.1568,0.516,2.4251,0.1774,531.4805,3014.4891,560.7627,2.5297,275.6149,168.6276,38.5735,146.0399,299.5905,288.7991,407.7678,3150.8549,550.4287,1265.1741,1089.9754,279.7132,330.062,55.4393,440.4147,3674.2367,0.0
KAZ_M,274.7823,8.5626,2583.7513,76.2808,70.0704,35.7769,0.5084,0.635,3.9681,22.636,2.8556,7.4506,1.4415,4.5812,30.3548,1.033,36.4923,0.5911,0.6348,0.5415,0.5234,7.4167,34.8055,6.225,4238.2082,6793.8459,955.375,11.4485,19.4126,53.7191,3.4259,18.1394,44.001,173.9413,41.4945,271.9984,544.8937,2613.3096,489.0182,2196.8231,172.6143,137.5267,70.9538,661.4466,0.0
KAZ_N,93.5093,7.783,694.2092,122.3902,50.4719,18.0702,0.1252,0.3968,3.1525,2.5712,0.6479,7.2027,2.4563,9.1209,74.225,1.8555,0.2044,0.0614,0.589,0.4309,0.272,5.5889,31.7572,35.0407,384.7789,3389.6221,571.6372,43.7065,18.7336,233.7182,0.3791,25.9299,53.1737,126.0022,35.8066,356.8313,761.362,1327.3215,789.2764,704.6259,333.1572,1016.5013,232.1089,317.7371,0.0
KAZ_O,3.2745,0.025,5.9437,0.5453,0.2079,3.5374,0.2222,0.2193,1.7656,0.126,0.2324,0.2293,0.0444,1.168,2.9433,0.0372,0.0097,0.0253,0.0506,0.0726,0.0219,0.108,0.6026,0.0786,7.5561,5.8912,3.3475,0.0391,0.0844,10.9224,0.0185,0.3858,3.4142,2.2792,3.8878,2.6287,685.3509,3.6165,2.1891,9.2139,6.8632,15.9585,9.0355,1.3494,0.0
KAZ_P,0.641,0.0039,71.7842,5.1249,0.3927,0.2384,0.1023,0.013,0.0571,0.0173,0.1068,0.0169,1.7058,4.9996,93.5471,0.0054,0.2255,1.0158,4.2998,5.4795,0.005,0.9147,0.2799,0.0767,0.749,2.4254,55.8727,0.1927,0.5719,0.3985,0.0258,0.1942,1.2519,20.141,2.0341,78.3746,236.2353,12.4594,51.7691,205.2271,184.0375,307.1565,15.613,5.7478,0.0
KAZ_Q,19.2968,0.3163,466.6195,12.3164,31.6699,10.2251,0.3397,0.0284,0.2996,2.4005,30.2406,66.3039,0.3718,0.9071,100.2305,0.349,0.1402,0.271,0.0469,0.1707,0.0606,2.2054,6.4784,0.3081,7.8266,38.171,332.4297,0.1669,10.5765,196.1445,0.136,9.841,0.8119,3.9445,0.7467,339.9071,5.0501,40.1263,261.5338,538.3619,356.5711,4208.4843,251.4864,72.5478,0.0
KAZ_R,1.2475,0.0,119.2528,1.832,2.2539,0.0,0.0052,0.0,0.0029,0.006,0.0076,0.0,0.009,0.0054,189.7232,0.0,0.0056,0.0015,0.0,0.0,0.0,0.8961,1.067,0.1382,7.3909,0.4337,30.0155,1.6226,0.0192,0.1624,0.3298,0.4312,1.6399,41.4716,0.2279,64.1645,48.4596,243.6748,56.0734,65.2209,1518.3941,196.7441,108.1902,118.1856,0.0
KAZ_S,4.1045,12.1609,116.0521,121.1806,2.2797,4.3194,0.0018,0.0278,1.6556,0.0835,0.1657,3.0872,0.0003,0.9604,1.1415,0.0064,0.0551,0.0021,0.0489,0.0003,0.04,1.6914,11.3653,0.6311,3.5603,25.5599,15.378,0.1462,4.8387,11.9091,0.0877,3.3416,16.658,129.3447,29.894,52.122,3.6387,46.2968,53.8035,165.3871,88.3399,71.7392,125.2963,30.7634,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
