V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_C20,21790.9712,0.5644,3921.0609,1207.8111,628.5803,5973.124,5917.0908,1684.2539,12805.1515,9370.4645,88757.7043,6773.3242,37358.5082,3787.2883,1384.878,6193.647,1812.4928,1739.5749,2969.3605,6044.6705,958.1469,5177.7974,1882.5455,990.0766,9843.0334,2627.7722,450.3107,25.8966,99.2886,1050.3896,152.841,1095.5419,719.1515,489.9893,637.7471,455.5316,8341.0913,7380.3923,4892.1826,18054.0581,4554.1867,6564.4029,351.1828,3012.1399,0.0
USA_C21,645.5511,0.1023,22.11,8.0794,5.346,487.454,28.4377,56.042,75.1168,38.3563,299.0324,23575.6097,139.5393,30.7346,38.8501,69.5478,44.5253,28.0207,73.9818,115.6274,39.3599,60.9116,64.6656,11.8557,364.3922,475.6782,16.8591,2.3961,7.5264,10.9042,5.5718,46.5903,25.5135,44.295,35.0054,42.8493,48.5657,2165.1743,61.2158,1172.4575,51.0561,18651.8861,166.737,49.1098,0.0
USA_C22,1086.2426,0.2579,301.0682,459.9366,322.7912,13051.7731,471.3743,602.6585,2998.308,451.8776,7706.0832,1658.2861,12172.3367,1087.3103,1283.124,3551.8822,1070.1778,1291.9211,4656.9113,17237.5308,2147.5243,7447.7827,86.7299,256.8479,24888.5205,14788.9394,607.97,8.0765,21.7815,580.2291,2563.8306,4120.7751,1948.3927,2338.5338,797.566,462.0968,546.0573,4410.7983,2669.4305,8186.185,1512.9464,8370.6433,167.6213,1045.7591,0.0
USA_C23,116.6513,3.249,556.7982,198.176,285.3474,4017.6019,166.2998,682.3105,447.9483,41.6592,1359.6407,382.4934,1373.0987,12799.4476,2094.1998,1214.9677,313.4773,1320.0219,1542.3813,5234.9104,235.8606,844.4729,138.2925,183.0759,65893.1964,1479.0565,63.2457,3.0423,5.0433,121.2067,30.2555,1504.884,328.6475,1630.4551,586.5467,130.7294,297.2534,2906.0671,1127.1723,4785.0969,372.4174,3194.877,117.7973,724.217,0.0
USA_C24,42.4074,0.0,3500.727,272.7527,171.0601,2916.2862,180.3355,304.9416,569.997,0.0,744.5299,0.0,965.5394,497.0431,45396.8819,46040.0708,2441.1922,7841.9029,19022.5042,19811.2585,5598.1002,4828.2441,356.3684,264.4392,6034.8387,1028.0921,481.5497,0.0,0.4465,197.4034,6.7409,63.9247,2700.8516,546.2687,265.8918,0.3071,913.8586,873.8425,316.7722,884.2104,94.5404,175.0984,111.5626,170.9978,0.0
USA_C25,1525.3666,18.1922,1082.1227,417.0111,591.445,10453.1677,601.4341,2092.0983,4627.8054,476.6234,5780.8866,346.3167,5021.2996,2161.4806,6376.2068,28532.3011,3720.4792,5662.7849,14911.0097,50541.3794,6708.4343,5604.7508,312.8236,1460.6843,60773.5294,5510.1523,1480.3065,1194.094,121.4591,795.1776,746.3292,2692.871,1430.4742,3328.5443,1966.5054,689.098,2566.1263,4533.748,2736.4815,9329.1368,798.4735,2166.9104,484.8839,1310.5041,0.0
USA_C26,170.906,0.1357,42.442,13.1192,151.3986,1247.0341,291.1254,401.6038,965.0985,102.3957,2084.4274,89.111,931.9402,529.6232,1077.2082,2276.004,12383.164,1950.6159,3409.8962,8157.9933,5014.276,1593.236,149.3035,242.2767,3574.3212,5890.9845,132.6486,5.5166,15.0576,150.4394,12.4993,232.7643,1767.7214,6962.0136,3398.0898,942.8702,339.4402,6793.4709,1533.8407,8822.8034,657.6619,4375.0156,63.9327,1320.905,0.0
USA_C27,782.0326,0.428,75.2169,21.5176,89.2824,506.5477,45.1148,750.1971,318.0723,27.1847,518.6583,43.6293,523.3658,146.4885,1102.8679,1182.8404,1062.6024,3642.4784,6181.3434,2749.8656,910.0876,674.8871,35.0909,317.9933,19630.7958,863.0192,129.7904,9.2879,4.6582,247.6766,6.2566,480.9386,26.281,1761.639,672.3202,94.4755,573.1246,2018.5174,1038.9808,2388.4425,462.1692,730.2201,166.7257,562.6282,0.0
USA_C28,2339.3993,0.3839,5208.8095,1851.7301,1942.5529,2563.6892,73.7527,486.1415,1420.0607,58.808,2519.6461,93.6843,1309.31,309.7459,1221.3582,2927.3541,376.8179,908.1823,19645.6378,14256.5346,2308.8192,2614.1421,561.4515,1661.8686,24723.8082,3205.2904,407.6031,21.8819,25.7682,1926.8847,65.3308,583.8506,1048.4981,1314.9922,1074.7046,265.673,257.9781,1822.1907,2711.8619,2795.8896,1707.5158,826.9067,89.9534,1169.3848,0.0
USA_C29,658.4208,14.18,468.1834,393.1435,164.2,2124.8123,67.5546,609.6021,1037.9093,45.8865,978.8933,74.9209,449.289,620.3777,676.2561,1004.3791,310.2993,247.9954,9249.1099,110828.7025,2567.6909,771.7502,92.0179,909.0408,1936.8387,20648.4114,3243.8242,28.4086,4.9291,2049.0693,900.1392,441.1812,1121.1552,256.4642,140.0948,90.7554,83.8997,2477.5639,5367.6073,4995.9827,1425.6583,1473.0424,221.3724,758.5706,0.0
USA_C30,0.0,10.3138,26.2817,0.0,0.0,0.0,0.0,40.3992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0967,0.0,0.0,94.8458,238.4278,53747.8765,0.0,0.0,24.1782,7.0112,35.1266,1103.5423,2259.9975,1077.873,599.8366,666.5763,0.0,0.0,2.924,0.0,0.0,0.0,859.9451,25.3663,23548.4314,0.0,0.0065,13.1498,117.4147,0.0
USA_C31T33,416.092,0.3673,50.7346,30.2063,28.9755,1077.8618,234.1797,455.6021,730.1877,248.1491,1351.2881,212.4411,706.8885,413.919,597.4188,717.0466,416.6694,472.9508,1586.1795,1510.1783,377.5641,4622.9132,112.3824,815.7367,12594.8814,11324.1178,901.9695,45.3362,47.7287,641.5495,112.6515,3157.49,454.3058,948.2257,1005.1781,2815.3373,3580.0747,3792.8424,4925.6553,5339.4513,1336.3142,21855.9744,924.314,1301.4954,0.0
USA_D,2806.184,15.4335,2206.4006,2042.8638,58.7925,6939.6186,1016.8418,1623.9787,5973.4211,4725.0404,11512.0281,935.8351,4073.8226,3338.3893,7480.2494,4306.6357,1396.9055,677.5461,1801.5644,2290.885,988.9817,1327.5559,17579.2565,549.6881,4238.5924,35139.0139,2205.4542,98.4453,127.8188,10181.1525,518.6208,18912.4302,1209.7617,2951.9497,1330.7315,3789.31,73284.7217,10226.6094,3205.5673,7626.5962,9508.0027,13398.7635,2650.6752,2981.1576,0.0
USA_E,454.8409,0.991,785.1698,124.2491,111.56,1211.7109,101.4677,111.7198,389.6365,540.5736,1759.9607,128.1456,277.9522,260.782,472.7189,394.7466,120.9235,69.6098,206.1355,178.1978,131.2174,215.0639,4408.9439,5405.4695,1966.0709,4888.0911,473.9805,28.3213,31.9721,922.6165,314.5591,3471.2843,179.5334,338.2989,192.1974,1455.9327,6849.551,2176.4476,1684.7395,15620.4917,3032.4616,4810.4477,601.0896,1078.8216,0.0
USA_F,1658.4258,5.1098,1521.787,1601.8599,967.5547,1056.1226,91.423,195.2461,923.3041,8932.6894,1373.3597,193.9493,479.1609,428.0018,742.9083,722.6462,193.4099,122.2938,413.5836,414.4967,152.2065,263.938,9397.1148,144.3369,294.0157,5829.0251,3569.0477,93.2105,329.0914,2538.6747,645.2982,2414.0271,134.0623,2116.4719,185.4444,5456.0073,124505.8932,1387.4694,724.7625,74132.7629,8182.5311,1660.929,567.6225,3644.1475,0.0
USA_G,53430.1359,75.4987,6584.874,3039.6759,2340.2073,143905.1929,10765.6794,11387.6208,28151.6176,10715.7703,60626.9641,21272.5319,31353.0689,12178.344,16765.6755,25623.022,12827.8284,11739.3959,34506.3166,86444.8891,15766.3918,24435.3757,8151.165,5169.8819,124958.017,122633.3353,29922.3346,1847.2683,7241.77,7791.8919,4320.6855,43206.8784,19144.8531,17739.2763,9748.228,14800.6835,24960.411,35800.6946,34168.9066,78331.977,32779.8201,81384.4531,6144.0723,11589.1486,0.0
USA_H49,8518.4919,11.868,2297.6356,1311.5921,480.8255,21213.6651,721.4086,1643.0031,3346.8664,16494.8062,5585.5841,1418.5483,2423.6562,4160.4302,5226.7182,3385.9311,850.8699,989.2479,2827.748,6330.4531,1488.5636,2156.488,5420.4057,834.2102,20217.9694,27800.0668,19543.0252,547.925,1948.4838,7072.9445,2182.0654,3607.6124,1774.4751,2973.392,3808.2006,7018.9487,8227.1439,12625.7009,8118.2764,15496.2067,26045.57,12534.4171,3909.7879,1699.1659,0.0
USA_H50,487.9649,2.3072,142.8823,82.6428,20.6981,1245.5147,77.5055,124.2583,248.9087,1494.746,455.8429,202.6027,215.6984,223.8641,375.9858,329.7858,147.5989,118.0906,368.437,1052.4633,220.0529,194.726,305.0831,45.5062,1411.0316,1116.7909,278.8137,45.9225,214.496,275.7997,504.4084,204.5322,103.5289,134.0173,80.2416,102.4024,122.6661,858.8257,177.4244,1651.9314,325.6001,556.35,50.0077,95.919,0.0
USA_H51,659.4643,1.7809,175.1085,98.347,194.4684,1700.0923,121.6556,638.9273,712.8018,1656.2685,734.3772,251.3718,563.2089,419.9246,622.9535,860.5659,232.9592,165.1698,664.1724,1412.6312,403.0959,525.3936,924.994,400.7402,1965.4645,4593.3523,1114.9968,150.0988,184.3549,940.251,186.5567,1145.6581,750.2301,1037.1938,2398.5749,5037.6742,5929.8598,4469.8161,4777.4944,6711.7763,1237.0675,3122.6675,287.4152,630.4078,0.0
USA_H52,1815.4768,109.2833,325.9786,1548.4044,38.5312,4198.5463,310.6428,1087.2029,1363.5252,3283.098,1223.4713,382.5859,922.2368,1635.5189,1178.8695,1561.923,988.2012,244.6494,820.7679,1278.043,301.4015,999.141,7293.5152,1032.0407,3371.6257,81278.1968,18914.042,3527.0067,18234.4229,25484.1475,8651.5899,2457.1154,1530.2347,725.8129,1651.2105,353.7031,424.617,5800.3702,3338.0437,7126.4842,1654.9859,3542.7136,1129.4245,880.7382,0.0
USA_H53,30.4441,0.0556,2.2686,7.3791,0.2754,11.533,1.9281,1.3735,111.3437,46.5701,88.2665,1.0493,2.4441,2.7043,22.0139,47.5143,3.5664,223.4865,383.9498,3.724,1.4406,117.9392,288.6452,364.7884,23.9534,54886.8156,16196.0616,4163.5561,19.3362,1923.2701,2339.6358,5021.3994,2564.8811,381.5035,3415.7219,6973.7006,435.9045,6087.0039,4471.1748,2488.1734,1285.2499,6404.0886,493.7506,2430.8411,0.0
USA_I,768.9105,3.112,53.112,72.1576,442.4252,1407.3014,116.91,384.4849,807.4056,202.5584,615.2297,97.2988,741.464,515.2621,638.7963,1102.0792,148.4122,114.7282,625.419,470.5784,335.3178,970.7886,3206.2912,1011.3883,1151.3044,13657.5008,933.0187,33.0911,4731.5796,1131.4544,2412.9995,13494.2727,3218.0229,4221.2884,7845.7895,19994.3709,36061.5492,27361.4325,20596.4687,13992.2967,8172.0505,42861.1663,3075.495,3685.127,0.0
USA_J58T60,300.8912,0.3702,491.127,50.9259,42.1957,2552.1162,206.0345,220.867,483.0524,144.1826,777.3015,976.6593,417.3673,239.3977,259.9458,982.6287,677.4999,194.0473,715.9262,445.1245,345.3581,910.6287,990.3757,172.471,3066.8842,42041.2248,537.5023,323.0017,190.023,604.8447,171.7144,12568.9489,81145.9957,36967.3919,9526.9848,16350.4163,5935.8385,25435.4356,9975.9801,13801.8318,11717.7388,9465.5233,2183.1771,4146.6269,0.0
USA_J61,943.0933,0.149,701.0886,243.9372,489.9447,1445.7677,155.1443,335.2032,837.3182,253.3443,953.2507,447.6525,694.1652,477.4324,586.6609,1296.6834,492.1369,239.2524,983.6298,592.9004,438.3968,944.0656,2020.414,882.5477,9947.4334,33628.8501,3300.9675,260.7671,611.6086,2824.1712,885.5656,8236.2126,4582.6701,67319.1019,9071.995,21512.144,18496.3769,23449.536,14134.4383,36954.3214,16570.7445,11782.1745,1663.8556,4137.3969,0.0
USA_J62_63,533.1754,0.8398,3713.7993,251.5619,76.2493,2760.0766,298.991,632.7897,1151.1189,459.2753,1111.5707,995.9629,932.4091,806.3224,910.3218,2655.8943,1110.252,304.3096,2607.1737,847.4663,1915.6631,1654.205,3843.1794,1000.4592,7701.1101,52675.0094,2063.3069,205.0151,276.4807,1218.0818,580.0868,10996.1575,11720.3272,10955.3573,23851.895,34575.5747,6227.2044,59304.7741,33278.5608,71272.4069,8133.2373,21242.6603,2934.828,9190.7466,0.0
USA_K,6225.4674,684.1992,11460.0858,3315.5176,5862.1344,8313.2946,949.4329,889.5856,1709.5258,2161.2111,4335.5711,1539.7646,2412.3701,2561.289,4906.5073,5342.0793,1735.6119,1756.1302,4893.3308,5971.6154,3301.0711,4715.4895,12570.183,1974.8496,17386.8902,93982.7775,30305.9736,8190.5955,4336.805,7155.7729,4686.1483,16958.343,7425.9249,8701.596,9015.6009,654616.3944,227403.0116,72469.4237,48232.7091,112957.885,9764.1478,89112.6573,5659.2104,32776.2994,0.0
USA_L,9478.7857,1.7485,960.3628,143.6469,167.9598,2830.4546,545.6171,583.9556,2338.5621,244.6044,1017.8051,2798.5577,1969.7536,688.9193,737.0525,4247.7739,3814.8845,457.4753,1402.0393,1521.8803,3706.2056,2420.0,5295.6482,1907.4884,25300.116,223751.7631,7262.6475,408.4571,418.9594,22990.4191,1959.4263,76505.4538,11565.6954,16115.159,14291.9594,91998.562,122642.7015,99051.4455,25911.0525,38961.4369,44899.6344,125832.117,20644.4192,45584.3226,0.0
USA_M,3520.0605,7.572,18038.8965,5335.8609,6152.3404,29572.3976,3276.3942,2902.5702,7622.3876,9997.7754,16763.0937,22046.5205,7124.4909,7569.6278,6533.4133,18005.6749,24408.9838,3250.8737,19354.4762,15792.874,13392.6906,10311.7207,17132.7338,7088.5353,75788.3703,255135.0865,16098.3143,2176.6087,1104.2375,7056.4986,4838.9335,96857.9619,36100.2039,41914.0662,46407.123,144221.7329,106564.7495,178325.1572,93776.8892,110017.1053,21606.2148,126136.4996,15077.3694,23551.4993,0.0
USA_N,4244.4807,3.3774,3697.4745,1336.5752,2418.8428,6850.6206,958.0477,1116.815,5752.7352,2514.0756,7009.5211,2318.5742,2739.9994,2379.9805,5340.5319,9448.0112,3766.2144,1000.2694,3622.0,4634.5019,5142.1853,3692.6992,20740.3701,4930.8493,26389.6739,129214.4432,28731.5011,6180.686,10585.4831,12386.1187,5520.9961,26822.3169,23497.7879,40774.5401,51731.2899,53277.4379,101350.91,99250.2658,79953.8257,59819.7957,12367.409,100428.874,8727.4817,13371.7476,0.0
USA_O,4067.9415,40.6683,2515.7575,750.189,295.496,5007.5996,440.2201,1857.7122,2528.5354,2307.4199,4857.7372,607.8085,1561.5811,1398.4312,2370.3775,1823.6371,713.3972,325.042,948.5155,1203.4582,713.4455,920.0594,17859.5456,5017.4709,6526.9482,28044.7683,3331.9414,297.3444,1107.0432,5230.1666,1117.8042,11574.682,4167.9875,6290.1764,2106.9731,23854.3418,31517.9799,13154.8481,6664.3502,31725.9656,10453.8521,22362.8579,3613.2012,4521.8096,0.0
USA_P,97.9581,1.6712,56.0497,18.7826,46.657,302.7158,24.3659,51.6814,338.8288,82.4097,134.4699,31.6113,123.6708,72.2151,83.4877,161.9057,30.6618,20.8607,108.7965,79.8576,64.9044,144.8422,746.4083,137.631,324.8104,9657.0476,137.8177,3.3243,324.8356,228.1029,105.5353,879.7179,523.9514,529.9827,1386.6567,2287.3983,3232.9123,3692.8399,3156.6308,11653.3212,14371.3762,2627.8003,2114.3169,4167.6137,0.0
USA_Q,273.0232,0.2647,72.415,17.6635,25.4936,702.7194,47.5214,27.5653,105.8574,52.8625,231.2429,77.4978,100.7135,44.9734,41.7665,82.9944,43.3281,35.0805,93.526,126.2992,59.0796,96.9265,80.5455,33.7159,557.4488,775.1324,219.5937,11.9905,157.7974,45.0713,36.2901,367.4103,220.7483,197.4636,245.5435,397.9389,349.0961,969.7227,505.8989,13255.2876,241.3228,34681.0567,191.6401,250.958,0.0
USA_R,183.501,0.1495,26.2934,9.452,35.785,448.5374,32.0064,51.2929,116.7122,43.3479,146.7066,79.4365,115.1287,65.4808,80.6878,163.2433,58.5558,24.731,105.7856,118.8786,52.8239,140.844,252.0868,112.9243,501.6245,5393.8102,308.7229,25.4909,171.6815,360.8831,98.5494,2617.4227,16314.581,7276.8499,1065.8844,2803.9964,4570.3669,6654.93,2523.3131,2334.343,1600.4577,2526.2075,13047.8204,1973.5197,0.0
USA_S,285.092,0.0889,89.3805,38.9242,150.8491,407.967,37.5031,55.129,182.9617,68.7853,250.8494,59.4117,126.5202,133.8402,179.2288,234.9003,70.4085,25.3117,99.852,109.3454,94.4088,201.4107,321.6608,443.8703,1769.7373,8358.0566,599.4451,64.5183,205.3044,2063.6243,677.4751,2929.2879,376.2359,1331.205,604.4891,5853.7707,2696.7205,5460.239,3775.8785,10514.7042,3024.4068,8592.3479,930.1137,5388.119,0.0
USA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
