V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_J61,1.3681,0.1573,0,0.5114,0.0018,15.8362,3.6229,2.502,6.7684,15.5554,29.5831,38.7243,9.7453,7.1427,10.1565,19.8386,8.5438,4.7605,11.9184,4.715,1.2076,8.8877,25.5059,22.9083,89.6047,342.5645,58.9026,1.0576,6.8464,50.1055,8.8955,33.858,68.0981,2116.4673,285.6932,1044.6585,56.6002,370.6018,117.5553,150.7651,62.3059,198.7892,30.5591,46.8086,0.0
BEL_J62_63,7.6057,0.052,0,3.1792,0.0017,52.0672,7.5017,3.3747,14.951,47.7948,91.2836,164.653,13.5991,7.5611,33.4624,60.0428,34.2502,9.1236,34.0312,43.3788,1.9692,20.2783,99.8941,15.1597,69.0017,572.1445,123.5215,1.2181,9.6739,103.1746,22.8473,17.7015,60.456,540.0109,2500.9188,1213.4721,17.4739,1458.3343,455.6165,480.1621,34.9729,279.8797,66.9615,69.5627,0.0
BEL_K,213.0894,2.3779,0,27.2272,0.013,623.9129,62.8942,99.7211,99.141,342.1115,533.1661,380.0306,105.849,103.7664,223.8458,203.8225,57.6564,51.6828,166.6035,153.0835,17.4452,102.1539,710.7007,277.0703,1132.9573,2302.4822,382.9111,73.6396,45.3575,424.3187,65.0184,281.0236,99.9305,342.2366,369.717,9286.7032,4227.9888,3543.17,911.296,994.9298,119.52,730.2055,118.146,172.6074,0.0
BEL_L,18.3235,0.0006,0,1.3945,0.0039,145.7461,19.0989,6.8088,37.4784,6.2868,32.8317,23.2602,24.5972,13.9071,15.0143,80.9889,11.7401,9.51,40.7006,56.5505,6.4966,47.9472,31.5099,89.48,807.5529,2740.2254,171.0786,2.487,9.0158,786.4208,47.379,700.0481,59.186,116.7002,167.9149,746.8099,1827.6012,1749.5621,512.8026,555.2498,341.5871,756.7324,219.4064,332.0107,0.0
BEL_M,238.6577,1.3528,0,10.0574,0.021,482.3504,94.091,87.8156,147.7854,1717.0151,836.454,3436.6629,210.1934,167.8358,154.2582,764.9442,145.7973,72.9704,260.062,154.9517,35.7259,213.639,475.8965,447.9889,1480.0806,7813.0368,237.0033,62.2042,175.3241,1088.0668,64.7377,272.2429,432.2977,230.8564,1021.3905,3517.9292,635.3126,13187.9012,1951.9353,1323.4265,385.3844,1020.5248,584.1999,877.3996,0.0
BEL_N,205.2496,0.402,0,13.4567,0.0173,794.0901,85.7022,56.823,121.0978,658.9042,502.9061,2346.2409,177.0015,156.5093,165.5335,297.1737,99.456,77.4717,236.5596,259.0707,16.9798,167.5851,62.417,202.6378,1384.4735,3423.9292,424.8868,58.2678,203.2414,1535.0531,110.0865,626.7611,423.3256,448.3858,601.6397,1142.9767,733.9737,3366.905,3213.8807,423.1057,345.6435,1273.7587,194.749,324.7101,0.0
BEL_O,8.5366,0.0247,0,1.2027,0.0012,36.9255,2.0326,19.2362,8.0894,7.8076,11.7109,123.3462,6.763,4.2045,7.5031,11.8187,4.6333,2.4811,6.4178,5.5755,1.8435,7.8184,21.8536,12.3546,51.6418,318.2719,20.4659,2.3106,3.5753,68.713,4.0015,61.5746,42.1989,37.457,101.5907,116.9271,74.6858,256.0341,96.8257,79.7366,35.1799,89.6301,206.4475,34.7036,0.0
BEL_P,0.2883,0.0798,0,0.6662,0.0006,7.8105,1.1709,0.2596,3.0869,14.4053,16.8497,524.3809,8.188,3.6026,10.8003,9.2846,5.1207,2.8302,7.9612,3.1739,2.1598,10.0466,5.9784,5.6237,18.6409,78.8038,11.9487,0.464,4.6133,11.1861,1.195,3.0558,5.5051,14.8939,57.8197,100.1235,11.8213,233.7256,43.1028,56.4211,727.0785,35.0554,16.5912,15.9332,0.0
BEL_Q,0.3891,0.0001,0,0.1316,0.0004,2.4756,0.4516,0.1742,1.093,1.4557,4.7734,15.1617,2.1378,1.5489,5.2982,3.4077,2.2923,0.5537,3.1075,2.0615,0.6994,2.6314,1.7463,2.1064,14.7335,21.8496,11.3646,0.2032,0.3503,5.3101,0.59,3.9219,1.9245,9.6718,31.5023,16.0533,2.0207,42.3534,18.9049,77.2464,1.3909,3879.0726,3.0628,9.9173,0.0
BEL_R,12.9471,0.0519,0,0.3711,0.0002,49.2252,3.809,2.5876,4.0233,2.4278,15.1217,28.284,4.7918,4.3846,7.0696,9.9332,1.8611,2.486,4.5509,4.7371,2.4691,9.7254,8.1485,8.5008,54.0455,212.5157,14.663,1.1932,3.1769,25.68,1.9569,96.6683,132.4638,29.5136,30.1785,55.0716,7.6114,130.2199,76.7356,118.9394,49.752,105.1669,622.0394,22.6104,0.0
BEL_S,12.4258,0.1555,0,1.142,0.001,90.7747,5.8581,4.1439,11.8901,17.5879,68.6194,93.4769,9.0472,14.1371,121.9663,24.034,6.1598,6.0168,12.6703,12.2244,10.1602,10.4593,53.6331,83.1838,62.8526,385.2826,43.5897,2.4217,5.5351,93.5505,10.9569,105.6854,31.7478,23.0732,49.92,418.2165,38.5594,501.7117,170.0754,45.5623,167.604,732.7686,87.1604,1481.7745,0.0
BEL_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
