V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_C25,159.4588,23.2212,22.2618,15.9128,24.8943,3529.242,80.6023,204.5227,118.2845,47.29,1296.5577,273.6963,791.7919,469.7241,253.831,5645.3551,3286.3787,3102.149,7953.6088,3019.7022,1075.1239,2710.0749,81.5832,48.1476,45758.4084,3477.2235,278.7323,157.2301,3.1566,399.8472,4.0898,835.1132,31.7246,139.6498,64.749,82.5864,303.0068,153.7986,95.7953,1616.1226,56.9789,254.9079,27.2071,624.9167,0
JPN_C26,2.1456,2.0609,0.1276,1.4132,3.7899,16.1034,1.9598,1.0701,7.9163,1.5392,13.6945,5.1479,10.4459,3.3908,15.2168,9.9383,2563.4358,44.3047,149.1634,1988.9967,138.7329,59.2545,8.136,6.7248,850.6094,807.191,62.427,21.4282,2.0376,18.9683,4.7613,70.7605,43.4688,17.5236,100.9065,111.8149,72.7527,437.7251,155.8693,638.7893,14.2294,32.4464,36.9618,63.1801,0
JPN_C27,4.6067,12.1241,0.1191,6.1092,1.8095,20.6397,8.5705,0.7122,28.5243,1.7028,109.9666,25.8844,176.5103,4.7443,254.9284,158.6009,18448.0878,18337.5705,6668.2974,8952.6462,380.7854,1196.8202,6.7382,8.2603,1945.9567,7569.9162,58.2692,24.3889,2.1897,37.106,6.6316,35.4619,625.4401,59.1202,148.7389,62.1228,15.3338,63.0755,29.8854,825.7818,65.0018,65.42,44.3279,59.2085,0
JPN_C28,8.1035,0.4604,3.1686,7.1468,43.1242,14.9457,6.203,3.5874,5.3162,2.1017,54.9154,16.9965,417.9702,177.263,168.5909,54.8648,1966.0152,2215.3629,39607.2439,3118.75,1147.8445,2131.8042,1.559,157.3593,3637.4538,17930.8828,76.3315,17.0971,4.737,63.4237,7.2706,14.095,77.77,23.9851,4.4072,47.987,18.4701,194.6054,147.894,3213.0107,15.3466,5797.5498,354.4692,179.2034,0
JPN_C29,0.7148,0.0927,0.0052,0.2036,2.0828,0.0954,17.3166,1.3011,0.5806,0.1579,27.5426,6.8414,105.042,4.5515,69.23,22.6237,4197.6166,826.6492,1707.0745,157341.1561,969.3454,1473.7507,0.0255,0.2889,0.8904,19906.2047,42.4592,0.0328,0.0947,0.939,0.1354,0.2973,0.16,0.1769,4.765,0.2422,0.0917,0.2514,0.3127,110.6697,1.2579,0.0482,0.3467,0.6843,0
JPN_C30,0.0998,886.2538,0.0,0.2813,0.2065,0.052,0.2163,0.4412,0.5358,0.0782,3.4572,0.9177,11.6159,2.5327,5.625,15.3464,415.9643,67.4965,544.7288,67.806,10339.0121,51.8608,0.0,0.0021,0.0,532.7848,1987.4629,1692.8089,1411.8917,136.7773,0.0621,2.7679,0.2392,0.0,0.0972,0.0572,0.0,2.2527,1.1789,1239.3788,19.7345,0.0,2.2483,29.024,0
JPN_C31T33,650.8267,126.381,9.8907,83.5351,15.7274,790.733,361.1091,148.7458,278.9481,84.1954,732.9711,210.8016,428.4768,311.197,691.8826,286.0387,1117.0159,680.157,1150.2008,284.3291,202.9819,3468.7375,1261.4742,546.5908,7618.5701,3464.6857,1565.0315,228.8245,81.4165,561.9252,66.1713,2280.4425,751.4654,1215.5152,2948.3657,1673.5515,652.259,5761.2857,3886.1623,2522.4493,1531.027,3243.7759,1660.0737,2151.8601,0
JPN_D,860.3126,68.2611,42.5531,221.5284,26.7223,3130.5174,458.798,320.107,2685.4735,665.0568,3735.1121,423.7461,2271.7277,1694.0926,7687.2165,1486.5656,876.8212,1868.3231,2001.3904,2450.3999,651.6116,446.3202,12497.1613,1926.5419,1140.0975,11216.0709,3295.0335,7.1525,50.991,1141.0874,51.7651,8662.2293,317.0415,1038.8761,198.1231,1051.9292,2118.2294,3546.1749,1975.5343,3420.1864,2276.3104,4570.6327,2395.828,1893.499,0
JPN_E,159.931,5.3236,6.4885,22.4087,4.472,838.4828,63.6975,22.0607,324.1017,91.2548,880.8869,197.27,169.1328,138.2176,400.5778,93.6631,288.0753,348.2986,355.038,159.4663,138.024,87.135,1069.4131,9565.1682,908.7514,1997.3324,1561.9765,12.8137,13.122,601.5846,18.8343,6672.0191,332.4057,1397.7633,50.4429,830.5892,428.0632,816.4742,479.9076,6215.1095,1968.8154,4481.1324,1021.8898,1278.2025,0
JPN_F,388.0992,18.0867,3.0235,20.6916,21.669,179.2552,69.4014,27.9473,350.9855,47.616,522.0248,161.7814,318.5812,262.9764,933.903,382.3219,311.5662,392.4913,485.0333,174.2075,107.0876,142.652,2796.3759,1476.6672,450.5759,2445.8786,1282.2231,18.2663,1.6842,1054.7582,18.4139,409.42,839.3478,850.6576,118.9629,769.8995,6385.4585,641.1981,285.2981,2911.7643,872.0067,1358.5568,438.5053,276.9544,0
