V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_C20,58.8648,0.1255,0.3998,0.6222,0.0566,11.6004,14.9931,12.0127,5.1183,4.2558,186.4325,2.684,79.1016,5.72,0.1548,6.6237,0.5622,0.4755,2.6788,2.5977,3.9853,23.3684,5.2961,2.1163,20.2204,40.8434,26.2719,2.1223,1.6414,2.794,0.0344,2.4194,2.1067,0.1906,0.2599,0.4903,4.1147,3.2717,2.9032,3.5571,2.7847,4.3619,0.657,3.1872,0.0
LTU_C21,6.3088,0.0558,0.0158,0.0119,0.0018,2.5629,0.6732,0.5591,0.1867,1.1659,1.3378,0.4152,0.564,0.1558,0.0149,0.3014,0.0899,0.0662,0.1455,0.1001,0.0551,0.7177,0.2677,0.0967,0.8911,1.0755,0.5826,0.0588,0.0931,0.076,0.01,0.2494,0.0955,0.0338,0.094,0.0467,0.2438,0.2468,0.1573,0.5611,1.7029,21.2331,0.1101,0.0731,0.0
LTU_C22,72.9669,0.4539,0.4726,0.347,0.0306,55.0286,6.86,3.8309,4.1523,21.9425,6.6717,3.0204,18.2158,2.7977,0.6572,7.7136,6.7083,4.7223,10.0964,2.3023,1.9512,8.9462,4.5002,5.1877,41.7004,16.5132,0.7525,1.3948,2.9556,0.1726,0.101,0.8338,1.0886,0.5969,0.1237,0.4573,6.2525,2.2861,5.8224,14.9512,1.5442,2.1899,0.2921,0.4861,0.0
LTU_C23,29.7609,0.9214,0.0229,0.0707,0.0443,27.3745,1.68,45.3849,2.0922,0.7061,0.461,2.0499,14.7735,19.9939,0.058,1.8575,0.4781,5.5161,0.5999,1.6208,0.8954,2.3674,1.277,3.7921,125.5771,9.3625,0.7843,1.0346,0.0785,3.7539,0.0121,2.4137,0.9682,1.4406,0.2462,0.1595,46.5394,1.8055,3.1801,0.7058,1.6892,0.7264,0.2346,1.6961,0.0
LTU_C24,0.8171,0.0046,0.0,0.0403,0.0151,0.0189,0.2856,0.0724,0.0498,0.0131,0.1798,0.0909,0.0949,0.0703,1.7335,7.9086,1.2705,2.5327,7.946,2.4822,0.3709,1.493,0.3951,1.2584,19.7478,0.3115,0.0282,0.0386,0.0004,0.3105,0.0,0.0096,0.0001,0.0018,0.0,0.0423,0.0404,0.3392,0.2512,0.0073,0.0083,0.0324,0.0049,0.1855,0.0
LTU_C25,24.3618,0.204,0.1034,0.1135,0.0792,6.6572,3.0604,27.2404,4.2147,13.2608,0.5857,0.2009,6.7297,3.5656,0.8314,78.4179,1.5442,5.1028,9.7312,20.7107,3.9801,30.5189,3.0357,1.3295,50.1377,6.6065,4.2294,0.7633,1.0792,0.6602,0.0387,0.5104,0.2722,1.1458,0.6886,0.4504,3.7955,1.6342,5.4396,1.5183,0.6397,1.0762,0.6989,0.6197,0.0
LTU_C26,0.9853,0.0278,0.022,0.0283,0.0069,1.0297,0.8082,0.317,0.0775,0.6752,0.2759,0.0156,0.1614,0.1205,0.0062,0.4983,13.344,0.292,1.6217,0.1198,0.0277,1.8869,1.6802,0.3333,1.5778,2.994,6.897,0.036,1.6699,0.0476,0.0943,0.2243,1.7043,1.494,7.3516,0.7084,0.4822,1.6639,1.2753,3.4231,0.8567,1.9521,1.6359,4.8702,0.0
LTU_C27,2.035,0.0349,0.0241,0.0272,0.0085,1.2956,0.7328,1.1338,0.2569,1.2863,0.2642,0.0343,0.3924,0.2004,0.0343,5.0588,1.2651,8.9743,1.9114,2.614,0.1641,5.7568,1.6445,0.226,6.2535,1.1096,0.6934,0.1743,0.1984,0.1495,0.0262,0.1916,1.3439,0.2777,0.3889,0.3533,0.749,0.7254,2.0305,0.6272,0.5962,0.9992,2.1321,0.3287,0.0
LTU_C28,22.9181,0.1738,0.5635,0.3807,0.0484,8.9244,2.2672,1.942,0.5027,0.9309,0.452,0.0826,0.2916,0.5544,0.031,3.4295,1.4855,0.3269,7.8147,1.6526,0.0765,5.0766,1.2968,0.8678,10.4561,11.438,2.1902,0.2665,0.807,0.1999,0.0224,0.4809,0.387,0.2031,0.8323,0.2366,0.5486,0.7036,5.134,1.019,0.8996,0.9791,0.2687,0.7322,0.0
LTU_C29,1.3072,0.0905,0.0402,0.0566,0.0072,0.8828,0.6018,0.4438,0.1217,0.5156,0.1262,0.0011,0.0727,0.1421,0.0136,1.9143,0.6087,5.7432,1.0304,9.8635,0.0476,3.0744,1.0112,0.3992,6.5752,12.9689,7.4297,0.0979,0.5731,0.2445,0.061,0.1159,0.8596,0.1621,0.2673,0.2815,1.4387,0.9622,2.7585,0.5808,0.416,0.5986,1.4566,0.262,0.0
LTU_C30,0.1402,2.5288,0.0037,0.0048,0.0003,0.0,0.0,0.1579,0.0021,0.0017,0.0003,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.825,0.0732,0.1215,26.9389,0.0019,0.0032,0.0014,0.1228,1.7652,3.1023,1.0142,0.0465,0.0,0.0,0.1549,0.0,0.0,0.0079,0.0,0.5467,0.1995,1.375,0.0665,0.112,1.5862,0.0042,0.0
LTU_C31T33,37.9898,0.493,1.2217,1.3211,0.1425,15.0732,7.6423,20.4552,3.9446,12.6114,2.8298,0.7209,5.2079,5.6547,0.3358,20.725,0.7458,2.0323,3.3715,5.3267,1.2046,63.2855,13.8651,9.3859,41.6267,42.9336,55.457,3.5611,14.1402,9.0034,0.2586,3.094,7.9335,4.3803,3.0958,7.0157,18.3568,18.86,14.0746,31.1367,15.1102,67.4469,5.2041,3.3756,0.0
LTU_D,63.8604,0.9424,1.2378,2.609,0.1625,60.8063,14.8125,25.4328,23.3242,17.6362,48.0971,2.1399,29.2785,21.2853,2.3584,13.9216,5.083,7.9727,7.2576,1.533,0.4833,36.771,153.076,18.4038,10.1041,69.3134,7.542,0.3962,4.5264,3.5406,2.0801,34.8764,2.5922,18.9414,6.8699,6.1006,92.4966,16.701,12.4897,53.5952,24.9549,42.9133,17.0062,6.2095,0.0
LTU_E,2.4303,0.1086,0.1514,0.1993,0.0473,16.0524,1.765,2.587,5.0652,4.0616,1.364,0.4832,0.9627,6.0545,0.1583,1.6427,0.4286,0.367,1.0498,0.3155,0.0673,6.5754,48.6571,91.51,7.3212,82.7436,1.6424,0.3293,1.6608,3.0489,0.125,6.6151,1.2005,0.3099,0.3204,1.2809,13.319,3.0684,5.1436,9.672,7.3868,19.8687,3.4585,1.8221,0.0
LTU_F,43.9684,2.955,0.08,1.7698,0.1207,36.2164,8.4882,5.132,2.6227,21.2416,4.1719,0.6068,2.633,3.7699,0.1254,17.1146,0.506,1.0635,5.8083,4.8764,0.3599,7.2486,102.4079,7.5367,342.5779,48.3076,6.1281,0.254,3.7382,32.8737,0.5235,6.7398,1.2757,21.2144,7.0016,7.673,53.5745,57.2057,24.6969,49.0799,27.5616,9.1826,17.0368,9.6934,0.0
LTU_G,265.5626,10.2293,2.989,2.5643,0.3863,485.9443,56.0035,97.1769,32.8924,126.8623,118.6357,5.7229,49.3909,25.2816,2.8393,51.5907,16.7482,13.0274,27.704,30.9653,6.4121,121.7974,52.1928,19.0045,170.1959,223.0553,193.6402,10.1666,39.5644,17.5734,4.1321,50.0904,21.2001,11.5214,23.6923,15.1067,82.3505,46.9855,57.5463,71.5325,30.9797,84.1279,18.3639,16.7751,0.0
LTU_H49,60.7225,1.299,17.0753,8.0961,0.2083,168.9668,10.2496,49.6369,28.7619,110.0891,40.6455,2.2688,16.8471,42.7208,0.797,27.2225,1.7957,20.7844,12.1489,8.5516,0.8261,79.9913,46.4767,6.0978,81.6587,267.1209,439.3038,4.333,6.5104,219.8056,0.8257,5.3391,3.2356,4.4634,3.053,1.4151,8.2451,12.7838,18.0474,12.7165,5.1495,8.4993,2.7932,5.8728,0.0
LTU_H50,1.4933,0.0087,0.0153,0.0143,0.0006,2.1302,0.3835,0.0111,0.2096,6.4913,0.0102,0.0092,0.1591,0.1573,0.0616,0.4612,0.1047,0.1261,0.3671,0.3691,0.0116,0.3661,1.3383,0.0804,1.7554,0.3226,0.0083,0.0087,0.0903,0.0083,0.0031,0.2553,0.0263,0.04,0.0811,0.0334,0.427,0.1577,0.2237,0.0741,0.106,0.4496,0.0187,0.0788,0.0
LTU_H51,1.0813,0.0431,0.0205,0.0278,0.001,2.158,0.323,0.5356,0.3419,9.1477,1.1244,0.0237,0.4624,0.4058,0.0703,0.5139,0.0654,0.194,0.3706,0.2466,0.0269,0.7734,1.2921,0.1552,2.0935,0.855,2.0915,0.0567,0.0325,1.1075,0.0226,0.2487,0.0432,0.0368,0.0101,0.0466,0.1358,0.1026,0.2061,0.0951,0.0261,0.223,0.0518,0.0665,0.0
LTU_H52,13.8059,0.3676,0.2019,0.1553,0.0403,27.2417,2.2627,5.3857,1.8924,10.4987,5.0072,0.2808,3.3897,3.0436,0.4283,3.897,0.6309,0.7319,2.8781,1.4298,0.2677,7.8254,2.9633,2.6329,13.6576,35.999,113.8408,2.7984,1.2932,70.0595,0.5424,1.7883,0.8204,0.6711,0.9573,1.0547,4.4757,2.6238,4.4414,2.7602,1.1787,2.8587,0.7334,0.7808,0.0
LTU_H53,0.6875,0.034,0.0846,0.0217,0.0082,1.4343,0.8064,0.2763,0.14,0.2039,0.2895,0.0413,0.2561,0.099,0.0397,0.2847,0.1934,0.1004,0.4801,0.0895,0.0623,0.5101,0.5093,0.68,0.4867,5.8889,0.943,0.099,0.4795,19.0233,7.8155,0.295,3.9614,0.4219,1.0078,9.6853,1.8372,6.1508,1.6951,21.5222,0.6553,1.7335,0.4399,0.7238,0.0
LTU_I,0.5458,0.0148,0.0426,0.0195,0.0473,0.9332,0.6169,0.3891,0.1785,1.2504,0.2741,0.0025,0.1777,0.1918,0.4042,0.1153,0.1923,0.2706,0.6226,0.2745,0.6459,0.8804,0.1843,0.074,0.4186,6.0374,0.4518,0.3792,2.7016,0.3337,0.0818,0.8673,0.4235,0.7954,3.2026,2.7132,0.0787,5.6974,27.2356,14.4618,7.7405,30.012,5.011,0.3685,0.0
LTU_J58T60,1.3321,0.2302,0.061,0.1138,0.0056,1.7878,0.4499,0.3768,0.4099,0.3676,0.3459,0.0159,0.115,0.1571,0.0524,0.2068,0.0973,0.2106,0.2051,2.5034,0.131,0.5856,0.693,0.3685,0.477,8.3832,0.8614,0.111,0.7251,0.1621,0.1627,0.5109,11.6553,4.9493,7.8383,2.0899,1.3932,14.8223,2.447,3.8262,2.6311,1.1326,1.6809,1.1651,0.0
LTU_J61,5.9367,0.5705,0.1989,0.0642,0.036,12.2355,1.8556,2.5878,1.0058,3.9799,2.5811,0.2074,1.1155,0.8258,0.1983,1.7163,0.933,0.8667,1.418,0.5583,0.3004,3.7192,4.6778,1.7387,4.6248,26.0207,3.9406,0.369,2.302,1.0595,1.6074,2.041,2.4391,26.4992,12.9498,6.5366,4.9022,23.5599,5.0533,4.7405,3.8927,4.3999,2.9725,2.0923,0.0
LTU_J62_63,3.9384,0.101,0.2409,0.06,0.0239,9.3143,2.9967,1.9304,1.0705,2.1379,1.9833,0.0768,0.7622,1.6128,0.0285,1.6144,0.7386,1.6807,2.7989,1.8598,0.1261,2.1938,11.6023,1.8508,2.7932,68.617,19.1751,0.9899,19.1551,0.6808,1.8888,2.3059,3.1982,31.7321,22.0796,28.5555,6.0768,51.9106,7.3184,15.8409,13.2456,7.4056,2.9764,7.4472,0.0
LTU_K,23.7171,0.867,0.505,0.3675,0.2007,22.262,7.2397,7.153,3.7239,14.4242,7.6262,0.8799,4.6266,2.8239,0.4722,4.433,1.9867,2.5499,3.1279,2.8537,0.7653,12.2518,8.7837,3.3669,19.2516,95.4789,36.1113,3.3051,2.8042,9.2502,0.8474,6.2811,2.283,5.9963,11.6389,212.757,45.2107,22.7832,24.1262,110.9486,6.7173,7.7785,3.3246,18.6643,0.0
LTU_L,84.548,1.0381,0.0863,0.1293,0.0703,10.2228,9.0669,3.6749,0.6787,2.4349,1.7263,8.4482,1.5296,3.8287,3.2989,9.7901,6.8458,3.5205,7.6254,0.9828,1.1033,44.0329,27.851,4.797,59.5465,387.0614,52.2495,0.4102,3.572,23.2474,3.5998,39.1394,21.429,22.4123,63.4294,46.7837,277.0946,75.9007,60.6199,67.5728,17.8467,35.356,43.9345,44.9668,0.0
LTU_M,109.5248,0.2762,0.7046,0.4751,0.5372,64.7327,13.7019,11.7856,7.8494,8.9012,23.2833,4.8176,4.1415,7.4748,0.4435,4.1619,1.5909,9.2187,7.7871,5.5295,0.6454,25.186,61.5509,9.5861,159.0451,245.6464,57.6987,9.738,26.1701,18.5161,3.1153,23.2401,15.9598,44.7869,44.8729,85.8205,77.5671,195.9484,57.5059,93.9611,14.4133,20.3188,11.2892,19.475,0.0
LTU_N,13.3166,0.3472,1.3781,0.8531,0.3136,70.5923,7.4424,10.949,2.2255,6.2165,6.3789,0.067,4.6269,2.2474,0.4659,7.7917,7.0745,3.0299,6.4585,1.4537,0.5309,10.1382,26.05,7.1102,94.629,144.8425,64.738,2.9509,35.003,14.3177,5.1579,12.8024,5.8692,30.1276,26.9171,24.4485,108.0446,107.4577,103.9717,36.5005,19.9886,22.329,10.8413,11.1575,0.0
LTU_O,4.7201,0.1264,0.2835,0.1397,0.0326,5.5396,1.1546,0.9059,0.5752,3.949,6.4999,0.7762,1.108,0.6518,0.1192,1.4507,0.4872,0.589,1.1009,0.3277,0.6103,3.5854,2.7869,1.2532,3.4634,21.5215,3.1167,0.4352,0.8126,1.2148,0.4413,2.8843,1.411,1.9736,3.2413,17.7406,10.8944,70.459,4.6922,24.8897,1.6879,7.7802,1.8419,4.9187,0.0
LTU_P,1.6465,0.0159,0.0125,0.0216,0.0059,2.8555,1.4772,0.6612,0.1811,0.3407,0.6842,0.488,0.1971,0.2499,0.0145,0.3964,0.9147,0.1415,0.5851,0.2899,0.1556,5.9664,3.6286,1.3423,3.8686,16.7084,1.2252,0.6739,1.6449,0.5211,0.1767,0.8421,0.3779,1.2128,20.7083,11.0538,2.7246,13.1914,3.4075,8.1059,26.5921,9.1414,3.6399,1.3134,0.0
LTU_Q,0.3397,0.0216,0.4379,0.0022,0.0036,0.6063,0.2801,0.0527,0.0796,1.9677,0.0884,0.0217,0.2646,0.1095,0.0114,0.0851,0.0257,0.0393,0.2963,0.0308,0.1031,0.2918,0.3633,0.0883,0.1974,1.2028,0.585,0.0271,0.229,0.1479,0.061,0.2215,0.0595,0.315,0.2614,0.3977,0.1454,0.877,0.323,2.9812,0.5328,33.4116,0.2287,0.4045,0.0
LTU_R,0.3031,0.4108,0.0304,0.0124,0.0009,0.2682,0.0437,0.0424,0.0156,0.0313,0.0492,0.0057,0.0295,0.0406,0.005,0.3974,0.1618,0.0301,0.0435,0.1337,0.0057,0.6913,1.0512,0.0701,0.3178,1.1046,0.4827,0.1247,0.9806,0.0668,0.0479,0.2662,1.7113,0.499,2.3638,1.9394,0.4849,4.5227,3.3468,1.972,0.8574,6.0403,31.8785,4.7801,0.0
LTU_S,5.351,0.5856,0.3169,0.2926,0.0149,1.6278,0.7933,2.0338,2.7533,0.1554,0.1798,0.006,2.096,0.7522,0.1039,0.1677,1.5546,1.2708,0.2594,0.5576,0.0611,0.8221,2.6845,1.2271,0.963,7.278,1.3535,0.4143,0.8711,0.2509,0.4757,7.7509,4.5351,1.3605,5.9822,5.398,0.9682,17.6479,3.0295,9.5058,5.1015,3.364,1.2014,5.6973,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
