V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_C20,24.5213,0.1675,2.4742,2.2037,0.0225,8.0053,11.3625,10.3263,5.5056,0.6849,31.6127,0.7323,13.5021,3.2303,0.1436,3.9768,2.1403,2.2391,1.3484,1.4449,0.2445,5.7815,1.3477,1.626,9.6293,3.7596,3.2967,1.3349,0.3696,2.689,0.0536,1.377,0.3466,0.131,0.3561,0.4992,5.1786,3.1649,3.0523,1.5549,1.5642,1.5393,1.3164,2.6202,0.0
EST_C21,0.5972,0.004,0.2362,0.0672,0.0001,0.3173,0.4645,0.2088,0.0342,0.017,0.1109,1.5192,0.0482,0.0413,0.0283,0.1023,0.0586,0.0381,0.032,0.0145,0.0266,0.1217,0.0608,0.0848,0.2548,0.5647,0.0772,0.0793,0.0114,0.0159,0.0749,0.0754,0.0118,0.0053,0.0215,0.0117,0.0392,0.8738,0.0874,0.1749,0.098,13.9865,0.0324,0.0292,0.0
EST_C22,3.5689,0.3485,0.9482,1.1412,0.0172,15.0982,4.1541,6.1721,1.8085,0.1556,2.0517,0.3454,22.658,5.5391,0.0674,2.7325,7.2415,6.0151,2.4311,3.3517,1.0454,8.36,0.3854,3.0479,42.4963,21.4253,5.1861,0.1317,0.0843,2.2374,0.0623,1.07,0.1895,0.0763,0.6518,0.9454,7.0472,2.8217,0.8057,1.7091,0.5472,1.3232,0.835,1.0025,0.0
EST_C23,2.938,0.0427,0.2722,0.3649,0.0035,3.5829,0.2665,12.2928,0.4049,0.4914,0.7427,0.4,7.0765,36.0259,0.1272,4.6166,0.9182,4.1385,0.4174,0.4466,1.1288,3.3519,0.5908,0.6196,155.7299,11.8746,2.8707,0.4746,0.1452,4.007,0.0447,1.1787,0.21,0.1178,0.6713,0.1961,8.4921,2.307,1.7366,1.402,0.4623,0.6018,0.5687,0.334,0.0
EST_C24,0.0992,0.3282,0.0213,0.0105,0.0002,0.0427,0.0536,0.1715,0.2327,0.0479,0.5294,0.0138,0.1884,0.3059,1.4167,22.0482,1.0742,5.1203,4.3509,1.0365,0.0438,3.3051,0.0279,0.5361,2.0772,0.0325,0.0705,0.0112,0.0184,0.2118,0.0,0.0062,0.0244,0.002,0.0006,0.1836,0.4466,0.2695,0.0723,0.0397,0.0046,0.0011,0.0374,0.0417,0.0
EST_C25,15.6849,0.5317,3.2355,2.7314,0.0493,17.2817,5.3868,22.9843,4.0866,0.55,5.4066,0.9092,5.6632,14.4177,0.5527,142.6571,17.6756,44.2198,49.2491,10.5409,5.2063,38.6179,11.8231,5.4761,149.5677,22.9457,4.3542,0.6262,0.5636,22.3828,0.1211,1.122,0.1823,0.2921,1.1352,0.9252,18.6054,6.245,8.6262,41.8769,0.5699,1.3954,2.3294,1.062,0.0
EST_C26,1.7324,0.1552,0.2659,0.1905,0.0027,0.9826,0.4455,1.5504,0.703,0.4344,0.3292,0.0373,0.3969,0.651,0.111,2.2569,199.2156,9.024,1.7343,2.21,0.2821,3.5883,1.7679,1.0809,7.2577,5.2083,1.5849,0.3985,0.5119,2.8258,0.1024,0.4372,0.3128,2.3026,1.7606,0.7001,1.2623,2.1009,1.9706,2.1126,0.4347,1.178,0.4477,1.2055,0.0
EST_C27,1.8248,0.2493,0.2849,0.1864,0.0025,0.9844,0.3421,1.8779,0.3083,0.5598,0.4083,0.0314,0.5612,0.659,0.0607,1.8854,30.5567,27.4726,1.0186,3.4319,0.2417,3.5238,4.2408,0.3238,13.9644,4.9857,2.0762,0.3501,0.9597,2.045,0.0901,0.4152,0.0967,0.2105,0.4483,0.2743,1.7516,1.3544,1.7528,1.6077,0.3876,0.6493,0.2223,0.7093,0.0
EST_C28,5.6899,0.0504,1.3294,0.9824,0.013,2.0313,0.5247,3.7653,0.7086,1.2963,0.7785,0.0889,0.6109,1.8657,0.0984,4.3133,4.2925,3.5137,8.1711,1.7537,0.7842,5.2601,2.7137,0.8791,5.7866,7.3726,1.776,0.1457,0.1394,2.9539,0.1272,0.2433,0.0425,0.0846,0.4412,0.4341,1.3862,1.3684,1.226,0.9617,0.2589,0.1785,0.289,0.3421,0.0
EST_C29,1.7125,0.02,0.4988,0.5031,0.0056,0.5007,0.1605,0.8499,0.0961,0.0967,0.1009,0.0147,0.4747,1.2274,0.0261,1.8839,1.1791,0.5467,2.2737,20.875,0.3913,0.888,0.2283,0.1583,3.0678,13.6694,15.2509,0.0686,0.0255,0.7967,0.0582,0.0737,0.0869,0.0222,0.0569,0.2077,0.4009,0.3399,1.572,1.0528,0.1387,0.3795,0.2079,0.049,0.0
EST_C30,0.0038,0.013,0.0009,0.0007,0.0,0.0032,0.0125,0.0158,0.0033,0.0,0.004,0.0,0.0099,0.0014,0.0007,0.066,0.0074,0.0103,0.0026,0.0129,2.8815,2.585,0.2037,0.0215,0.1231,0.4612,0.2138,4.9513,0.233,0.3959,0.0013,0.0021,0.0103,0.0044,0.053,0.0,0.0295,0.0439,0.2519,0.3947,0.0149,0.0411,0.2036,0.0129,0.0
EST_C31T33,12.426,2.9731,1.7996,0.9136,0.0155,5.3062,4.5861,15.0991,2.4517,5.6208,3.2186,0.2213,2.1509,5.8426,0.1427,7.2774,4.0578,3.7205,2.4261,1.737,1.7023,42.8315,19.0223,2.1892,23.523,21.0737,19.4086,2.4722,12.1537,12.6775,0.6137,3.9583,0.8654,1.6139,1.292,5.2666,10.6261,6.4426,11.1477,19.8009,7.0956,33.5971,6.6432,3.9846,0.0
EST_D,26.0048,0.9031,9.5022,10.2265,0.0515,43.9805,9.3483,45.4074,36.0265,34.1176,18.7098,0.7708,10.671,20.2253,2.469,23.9758,6.8865,6.5817,7.6816,5.3323,0.6612,17.0029,222.8824,24.7903,20.5633,94.3446,8.4575,1.8527,0.4357,52.2976,1.1534,32.4424,2.8987,10.5221,5.5289,7.0481,62.0706,13.9502,9.25,35.6081,41.0268,22.8131,24.8148,12.3018,0.0
EST_E,8.1597,0.2532,0.1541,0.117,0.0013,20.2999,2.0427,5.8666,2.0356,5.1111,1.1421,0.1726,2.0042,2.9417,15.0294,3.8055,1.7419,1.2623,0.7762,0.7699,1.0272,2.9908,3.1336,155.8529,15.5523,11.0911,2.0082,1.3879,0.2333,12.6794,0.1318,8.205,0.2036,0.1962,1.1173,0.9765,23.2475,4.9183,3.2499,22.997,4.5973,4.2423,4.2175,9.9032,0.0
EST_F,26.9078,0.1968,0.5042,0.4822,0.0052,5.0381,1.7921,10.3068,1.5638,0.9839,3.2609,0.1794,7.3328,14.5563,0.8082,13.4696,2.0007,1.8774,2.0291,0.6927,0.336,4.4354,8.9362,5.5099,245.1505,34.6655,7.6779,3.1119,0.8635,38.6243,1.6391,8.9912,0.4846,11.1534,4.2799,4.7722,218.4669,17.0729,9.1957,96.1959,18.018,11.9496,13.2885,3.9646,0.0
EST_G,111.1711,3.4217,7.6948,7.1794,0.0762,139.3679,45.5986,145.4138,25.2242,11.1007,28.3723,5.6866,23.9688,28.9415,1.8307,58.2583,43.7912,29.1922,22.3066,29.2625,4.7085,61.6352,42.8755,8.665,179.06,120.6674,216.2945,22.4779,9.6672,32.2849,4.6526,55.8321,10.8293,5.5004,15.5804,15.1915,29.1778,42.0354,31.5591,35.4191,20.6225,55.0092,17.799,13.2396,0.0
EST_H49,31.9307,0.5072,5.1321,4.7737,0.0331,43.456,8.5862,58.9931,12.5542,6.7694,5.7562,0.6637,6.3406,19.8588,0.5167,20.071,14.143,6.5928,7.3004,6.5746,1.7737,20.9897,8.2686,7.0618,70.6848,99.1997,76.2721,5.4645,1.8471,128.3246,1.8041,6.5268,1.1502,0.4295,2.674,2.0293,4.4605,7.7733,10.4831,6.5518,4.6474,5.1925,5.0784,4.4059,0.0
EST_H50,6.9096,0.1123,0.5474,0.4702,0.0047,3.5333,1.037,3.619,1.936,0.6353,1.0913,0.3381,1.0136,0.9079,0.0786,2.3545,1.5692,0.9122,0.6972,0.4272,0.199,1.7409,0.9219,0.4437,4.1388,8.4996,3.6889,3.0391,0.4035,16.045,0.0663,1.4454,0.4116,0.3636,1.4084,0.9717,1.0346,3.2356,3.8359,3.5641,0.5708,1.2766,1.0551,0.5359,0.0
EST_H51,0.4053,0.0201,0.0413,0.0392,0.0004,0.5695,0.1914,0.362,0.1001,0.0966,0.1862,0.027,0.1338,0.0936,0.0323,0.541,0.3721,0.1761,0.1476,0.1465,0.0185,0.1575,0.2494,0.0385,0.616,0.1739,0.294,0.1521,0.0338,0.2642,0.0136,0.1589,0.023,0.0031,0.0266,0.0468,0.0775,0.0751,0.0727,0.0235,0.0207,0.2137,0.0464,0.0431,0.0
EST_H52,44.5817,3.6786,3.7618,3.0998,0.0242,17.4887,4.0712,27.2263,6.2763,2.266,5.6756,0.2733,3.0654,6.4055,0.4482,10.1736,8.6386,3.5218,3.2169,2.3675,3.1394,19.3432,6.503,9.1969,16.4614,172.0797,144.165,75.1703,34.8544,604.7805,2.1624,4.8547,0.7974,1.2665,4.6512,3.8695,8.1653,8.0632,25.3796,12.0218,4.787,2.2961,2.9295,3.7062,0.0
EST_H53,0.5503,0.0162,0.0304,0.0227,0.0003,0.6531,0.4468,0.74,0.2451,0.0574,0.1231,0.0271,0.2429,0.1077,0.0065,0.1961,0.3601,0.1153,0.1059,0.0841,0.112,0.8993,1.768,0.6466,0.7522,9.6101,1.1761,0.3496,0.2666,3.1206,23.3533,0.4971,3.1002,0.6983,0.8086,3.0631,1.9557,3.1125,8.515,2.4258,0.4551,0.4451,1.7046,2.3209,0.0
EST_I,0.8036,0.1689,0.0737,0.0257,0.001,0.8151,0.1581,1.083,0.2697,0.0204,0.2629,0.0256,0.1306,0.2468,0.0159,0.9998,0.652,0.6289,0.2409,0.3873,0.1022,2.3544,0.1788,0.0906,3.5884,6.5075,4.2444,0.337,6.99,2.239,0.1204,4.018,1.0174,0.563,6.1219,4.2552,0.8905,5.5448,22.7346,15.1855,17.2811,5.5223,7.7918,2.3795,0.0
EST_J58T60,2.1456,0.0493,0.0142,0.0171,0.0001,1.2548,0.3568,0.9932,2.0484,0.3918,0.1176,0.1428,0.111,0.1218,0.0032,0.4358,1.721,0.2595,0.4526,0.0535,0.0468,0.459,0.8227,0.202,1.75,20.4628,0.8335,0.8334,0.1524,2.1041,1.0328,4.4674,31.5722,7.7888,7.1124,4.867,1.2183,29.051,5.9031,8.3951,8.5572,1.6714,7.7271,5.9324,0.0
EST_J61,5.7171,0.185,0.3043,0.1414,0.0027,3.9186,1.2152,5.4001,1.9097,0.0831,0.2962,0.1845,1.5089,1.7913,0.009,2.8145,20.7744,1.465,1.6317,0.58,0.2171,1.8544,2.4142,0.9414,9.7868,22.3019,4.5278,0.5555,0.3687,9.5607,0.4554,2.4231,7.1868,108.3398,18.9616,9.1606,9.1404,13.2131,6.4423,5.8712,2.9386,2.2546,3.8373,2.5099,0.0
EST_J62_63,3.5679,0.0323,0.4311,0.3656,0.0046,3.1247,1.0065,3.0273,1.2195,0.4142,1.05,0.1741,0.9962,0.9127,0.0316,2.7008,11.2334,2.0804,0.7899,1.2287,0.2897,1.7587,9.5962,0.6435,7.0417,41.3674,5.282,0.9921,1.2718,7.2057,1.424,2.3964,4.5446,20.9377,84.2231,16.9387,3.6452,27.6866,7.0827,17.9737,4.52,5.2752,2.8968,4.3849,0.0
EST_K,20.9059,1.2782,1.9149,1.4258,0.0124,8.2209,4.1048,10.562,3.8002,1.567,1.5331,0.2691,1.6544,2.2162,0.1545,5.3621,8.0645,3.377,2.1567,1.5089,0.837,6.1329,19.0714,2.4171,30.2261,95.6695,32.7644,7.1656,4.0109,27.0421,2.6013,11.0818,3.35,3.9954,8.7438,199.5601,160.6115,34.1515,17.1071,17.3558,2.7996,5.1397,5.8602,5.694,0.0
EST_L,14.6149,0.3616,1.1037,0.6172,0.0096,20.0512,12.8569,27.7291,7.4987,0.3318,1.3501,0.6067,9.0678,4.829,0.8868,24.4335,14.6882,10.7604,7.0412,8.2119,1.3507,30.3636,11.5355,11.4571,20.0343,420.7462,15.1188,2.8728,1.0898,97.4228,2.2667,97.419,6.1415,9.7594,33.9934,40.8089,86.0673,77.5832,36.9541,39.6519,28.294,18.721,50.6792,24.7757,0.0
EST_M,27.7536,2.0466,2.4266,1.1289,0.027,31.0005,8.1278,16.181,8.5883,5.8936,6.2213,5.6796,5.4959,6.6577,0.617,9.9583,17.7474,9.3152,11.9347,5.0629,1.3733,32.1294,22.0441,7.9305,148.0722,152.9267,19.9143,9.6624,4.3682,27.0488,2.1698,15.0167,13.6404,18.9564,33.1374,32.6554,31.3738,157.6392,52.5294,29.2967,7.8944,8.9687,21.6913,15.9302,0.0
EST_N,8.2219,0.8228,0.646,0.5089,0.0067,8.8065,2.6736,8.116,2.6394,2.2558,2.3165,0.8706,1.4244,3.4579,0.1632,16.2608,21.3088,6.0903,2.3014,1.8444,0.25,10.752,14.4199,6.9441,51.7941,92.0979,26.0504,67.5923,12.1256,55.0657,4.4883,15.8772,2.6706,4.5574,16.7335,21.9035,84.176,66.2006,76.8162,49.6485,22.8995,16.9181,27.2339,13.1127,0.0
EST_O,2.2085,0.7291,0.2621,0.219,0.0026,2.3731,0.5695,2.377,0.5121,0.2065,0.2741,0.1132,0.4429,0.447,0.066,1.2366,1.0649,0.5292,0.3509,0.3507,0.0998,1.474,3.2023,0.9251,6.7346,21.6371,4.1229,1.1746,0.5949,11.7399,0.2208,2.9174,6.5028,6.1093,3.6078,1.6857,6.3328,13.9801,3.224,19.9489,1.3177,1.3487,2.2257,1.474,0.0
EST_P,0.7386,0.0162,0.1706,0.1102,0.0018,1.5608,0.4732,0.8566,0.2611,0.3375,0.1913,0.0662,0.2453,0.5054,0.0895,0.9247,1.5421,1.377,0.3223,0.1813,0.0327,1.0648,2.3144,0.3634,2.2067,7.3823,2.4505,0.2508,1.6118,2.6068,0.152,1.4877,0.6482,1.8074,3.5217,8.0289,1.0511,8.1505,2.1924,29.838,28.2979,5.4563,3.2628,3.3324,0.0
EST_Q,0.542,0.0296,0.2165,0.0995,0.0045,0.7402,0.2632,0.4059,0.372,0.3306,0.1062,0.0236,0.1618,0.2126,0.0161,0.5328,0.7618,0.4229,0.1839,0.2894,0.0847,0.7347,1.1043,0.2768,1.9431,6.5505,0.6708,0.2965,0.1964,1.5846,0.4117,2.4518,0.1776,0.1392,1.5274,2.8261,0.6789,4.1729,2.9226,14.0861,17.6727,59.9013,2.5443,1.0083,0.0
EST_R,0.6628,0.0049,0.0094,0.0089,0.0001,1.1096,0.1106,0.7325,0.1109,0.0066,0.0589,0.0451,0.0721,0.1077,0.0046,0.1803,0.2591,0.0989,0.1507,0.1009,0.0237,0.3055,0.1183,0.1011,0.3116,8.0075,0.1957,5.9294,0.0739,0.6107,0.0631,5.4236,4.0084,0.4169,1.44,0.6182,0.724,3.241,5.1625,7.9905,11.4409,0.6848,92.8138,1.8747,0.0
EST_S,3.9669,0.0943,0.0752,0.0803,0.0011,8.762,0.675,1.1842,0.5725,0.523,0.2147,0.0465,0.3842,0.584,0.0268,0.9591,4.4719,2.0123,0.9166,0.3891,0.2172,1.3788,1.2359,1.3635,1.6721,10.479,5.7655,0.3542,0.1328,2.1557,0.1344,2.5712,1.452,3.1633,7.3359,2.6979,2.1567,4.4041,4.2608,12.8135,3.3326,4.3415,2.5904,7.587,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
