V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_J62_63,7.5495,0.1259,17.9319,64.711,9.8488,415.777,29.1,2.941,48.6116,10.0285,157.2952,104.4553,36.1717,23.5901,60.8086,32.0698,54.6895,93.2941,47.6762,260.457,21.2378,51.9303,363.8902,92.3752,128.6814,2263.3323,227.5698,0.4006,210.2734,245.3716,86.1006,43.5583,399.6081,744.1672,2261.5776,4411.4384,67.2965,2290.2851,353.409,3119.9068,554.1171,672.3334,54.3308,367.7394,0.0
BRA_K,2650.4365,87.2717,1435.3012,1046.6054,67.225,4906.4844,915.0356,164.4746,911.7461,985.861,2299.0624,345.8161,617.4888,657.2279,1399.6059,656.3947,510.1139,514.9623,735.5147,1367.102,343.0847,532.8664,2003.0444,457.1739,3018.0916,9160.4992,2836.7302,182.6351,398.4005,904.916,165.8553,1082.9705,426.5722,1923.7576,814.9611,19979.4651,9896.1582,2224.7876,2366.4955,17265.181,970.6652,1501.9592,204.0422,647.9776,0.0
BRA_L,5.7507,1.1971,134.0043,30.9359,22.0608,538.0775,289.2803,12.4361,80.9588,53.8848,229.5544,90.0469,140.6413,71.4131,117.9531,104.0648,58.9883,44.4411,76.4842,121.987,28.119,102.3314,431.2775,120.2486,483.9418,14149.6831,437.5073,24.7198,46.2663,810.4897,168.5097,1906.3285,232.3052,757.2121,543.1472,1980.4345,553.2469,2494.5418,1701.4663,1140.4165,1911.672,862.3864,1384.9925,932.7918,0.0
BRA_M,381.3755,15.8125,3652.27,1156.7275,191.2786,8327.4639,742.0294,93.4963,907.8059,1421.5928,3645.83,1900.4325,912.8709,860.2178,1062.3292,535.2752,1207.2253,981.9776,1256.9295,3251.4374,281.3092,535.6448,2227.3344,614.6896,2889.239,14386.9046,941.4864,43.3232,198.5192,1983.4337,309.9334,555.3306,1532.1135,1555.0424,1330.6317,7223.2212,636.174,8562.7813,2341.5887,3893.1172,2176.0015,1388.1283,687.4787,1246.5847,0.0
BRA_N,70.7982,8.6315,1700.7497,868.8451,114.1876,1827.0825,307.7971,31.8937,278.2852,88.5233,730.3719,525.5614,186.5216,460.4533,733.2241,477.0553,498.5665,350.8074,1037.2973,914.117,150.6866,396.9039,1383.6944,286.1055,1234.0969,14129.4888,1088.9515,161.6345,661.9408,976.0059,242.1954,886.1822,492.0952,8418.7549,2454.7792,8855.7272,225.409,2180.425,2488.9818,9221.6477,5576.2785,5345.2601,322.8582,2158.6264,0.0
BRA_O,107.5934,2.2562,193.1543,91.3304,13.0175,540.1738,48.8588,10.827,60.8602,108.9772,247.7267,83.2923,56.7714,50.6154,106.3132,39.4017,51.2857,58.0937,73.7218,167.935,19.2,43.0865,121.7535,28.0363,153.0939,760.2068,181.7326,22.1903,49.2056,102.5911,18.289,75.0748,57.5831,55.9059,80.9498,285.9865,47.856,401.1854,109.2875,205.7924,103.9394,109.1547,28.77,128.1507,0.0
BRA_P,5.3082,0.0757,24.5691,59.0187,2.4816,25.6344,9.0819,0.6282,16.8493,2.5959,26.4455,13.7103,2.9653,1.9897,114.5244,25.676,2.7265,8.8535,15.6387,56.1247,2.0073,4.0199,49.2823,1.1451,2.9134,335.3397,361.8356,24.4801,6.8427,78.8795,24.7959,3.3092,15.0232,22.4364,5.6236,589.8856,25.3326,1287.1019,770.6567,136.9733,211.8519,159.0823,5.034,157.2894,0.0
BRA_Q,0.0,0.0,0.0,0.0,1.2589,0.0,0.0,0.0,0.0,8.0683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975,0.0,0.0,147.6348,0.0,0.0,0.0,18.4923,1.6906,5907.7037,0.2192,0.0,0.0
BRA_R,0.145,0.0032,0.1013,0.0439,0.201,0.0,0.0,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,0.4511,0.0486,0.0,0.2824,3.4518,0.142,0.4135,0.8924,0.0,5.5096,780.7176,108.2084,0.0,2.0082,0.1993,27.2461,7.8103,225.3926,26.7162,18.2805,292.5213,350.7366,0.0
BRA_S,54.9791,3.4329,218.8521,112.3847,6.8958,237.4446,77.1128,19.6289,62.5491,40.5129,94.0802,36.9235,57.9786,55.0503,67.679,87.3377,80.5909,49.5943,71.7949,140.4856,26.0217,39.0262,205.7305,1.0238,47.4746,1014.5332,173.4537,3.6553,8.23,349.4792,85.844,81.6949,63.5523,990.0957,377.3963,545.6987,29.9048,293.3524,455.4504,220.2424,206.4888,776.0389,10.304,95.4511,0.0
BRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
