V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_C20,2.2961,0.6184,0.0091,0.0188,0.0006,1.232,0.3621,0.0774,1.0895,0.0025,3.4409,6.6184,2.2567,0.3561,1.3472,0.3609,0.0093,0.0906,0.403,0.0247,0.0312,1.081,0.4372,1.0374,11.6641,0.8181,0.0636,0.1278,0.5883,0.0994,0.0188,0.5731,0.7839,0.0627,1.758,0.2611,0.3403,2.0019,2.7986,0.2582,0.2108,1.1444,0.1186,1.949,0.0
ISL_C21,0.0711,0.1045,0.0003,0.0035,0.0,0.6164,0.0101,0.0058,0.0185,0.0,0.0103,4.6237,0.0105,0.0346,0.2263,0.0298,0.003,0.0247,0.0229,0.0017,0.0019,0.0396,0.1129,0.0252,0.3541,0.2932,0.0332,0.042,0.2119,0.0327,0.0042,0.0948,0.0862,0.023,0.0926,0.1527,0.2777,1.6421,0.1157,0.1444,0.8402,75.8247,0.3237,0.0849,0.0
ISL_C22,1.1436,2.1073,0.0034,0.0274,0.0002,6.3755,0.0675,0.0285,0.0666,0.0001,0.0893,0.1714,1.7688,0.2994,0.2668,0.2242,0.2214,0.3181,0.2694,0.0349,0.0376,1.3423,1.1867,0.4187,17.2799,7.4413,1.8677,0.2682,0.6111,0.3084,0.0436,1.1573,0.4812,0.2396,0.3545,0.3806,0.3968,0.6144,0.7101,0.3593,0.3837,0.5671,0.4392,0.2558,0.0
ISL_C23,0.0,0.0,0.0041,0.0,0.0005,3.1661,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,24.7722,5.7455,0.0,0.0197,0.3363,0.0,0.03,0.0216,1.1744,0.1341,0.0891,145.8292,0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.0,0.0,0.0,0.5008,0.0,0.0,0.0
ISL_C24,0.0,0.0,0.0379,0.0,0.0017,0.0442,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,292.4127,25.3984,0.4869,0.853,7.7703,0.3823,0.1952,10.9626,8.6102,1.5183,65.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C25,1.5634,2.9164,0.0286,0.0054,0.0013,3.5883,0.0,0.019,0.0,0.0004,0.163,0.0,0.0032,1.2443,3.0302,16.8478,0.2827,1.3021,7.8925,0.262,0.6079,5.0612,16.9907,1.205,123.4649,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.0331,0.0761,0.0,0.3761,0.0,0.0,0.0,0.0
ISL_C26,0.0064,0.3124,0.0002,0.0011,0.0,0.0586,0.0019,0.0013,0.0059,0.0,0.0031,0.0078,0.0016,0.0066,0.1273,0.0099,0.0913,0.008,0.0087,0.0022,0.0067,0.119,0.1251,0.0094,0.0539,0.215,0.0731,0.2115,0.4354,0.0367,0.0152,0.1298,0.138,1.3924,0.5719,0.2169,0.3135,0.3903,0.1946,0.1369,0.348,0.7125,0.0391,0.0586,0.0
ISL_C27,0.001,0.0536,0.001,0.0052,0.0,0.2275,0.0038,0.0,0.0,0.0,0.0,0.0,0.0134,0.0867,37.6385,0.0925,0.021,4.5046,0.2881,0.0252,0.0158,0.6937,8.4651,0.0378,3.1476,0.1796,0.0097,0.0109,0.0996,0.0048,0.0056,0.0228,0.029,0.3388,0.0639,0.0129,0.1707,0.0627,0.586,0.0272,0.0,0.0,0.0,0.0055,0.0
ISL_C28,4.7519,8.4276,0.0266,0.355,0.0015,13.9617,0.1066,0.3558,0.3636,0.0003,0.2522,0.3117,0.3235,3.2472,11.565,1.8803,0.0524,1.9833,19.8951,0.1114,0.2204,4.9436,8.3159,1.1199,70.7504,0.8172,0.1581,0.629,1.1555,1.0753,0.0,1.4387,0.2878,0.0,0.0,0.0,0.0,0.0,5.9582,0.0,0.0,0.289,0.0,0.3835,0.0
ISL_C29,0.0791,0.0493,0.0002,0.0598,0.0,0.287,0.0077,0.0035,0.0129,0.0,0.0073,0.019,0.0074,0.0242,0.1336,0.0233,0.0022,0.0183,0.0283,0.0387,0.0013,0.1243,0.0524,0.195,0.2807,0.723,0.8598,0.0572,0.0988,0.1338,0.0518,0.2014,0.0354,0.0958,0.0647,0.1619,0.1943,0.1091,0.6836,0.1519,0.0334,0.0494,0.0372,0.0433,0.0
ISL_C30,0.0,1.2678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484,0.0735,0.0,0.0,0.0,0.0033,0.0,2.6661,2.1247,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525,0.0308,0.0,0.0,0.0,0.0,0.0
ISL_C31T33,3.9456,12.1397,0.065,0.3449,0.0027,11.1256,0.2145,0.2146,0.8694,0.0015,0.3239,0.6583,0.3125,1.8696,13.9614,1.8516,0.1108,0.952,3.0035,0.0459,0.1214,26.1718,11.189,1.7357,18.4529,22.1976,3.178,7.3511,48.3926,2.7536,0.4178,18.3818,1.8848,3.6163,2.9323,3.2756,3.2579,5.8465,8.0836,8.116,6.8434,11.4003,19.2447,3.1423,0.0
ISL_D,16.6538,3.8588,0.1272,0.2839,0.004,52.6675,1.3129,1.0178,4.6966,0.0075,2.6132,6.4948,2.8418,8.3084,191.1635,12.1488,0.3996,2.7684,8.8731,0.1719,0.1201,9.5443,117.2341,5.2562,27.0443,66.9949,2.8366,7.7163,31.3802,12.9366,4.2981,54.0541,13.0492,23.6338,18.8435,33.5441,47.3732,28.5507,30.7801,47.6524,32.3364,18.5885,7.8213,13.725,0.0
ISL_E,4.4922,1.5397,0.0199,0.0353,0.0008,22.43,0.2116,0.5173,0.7684,0.0009,0.8673,0.3721,0.7848,1.9038,61.0059,0.4072,0.03,0.2272,0.4362,0.0159,0.0179,0.9135,9.3171,22.5362,6.0931,9.0499,1.2083,2.141,3.667,1.6895,0.3144,12.7008,1.0263,1.8011,1.219,2.0956,3.9874,5.7882,3.8329,1.4949,2.2204,6.222,0.7427,2.1947,0.0
ISL_F,0.2533,0.3011,0.0294,0.445,0.0014,2.7849,0.0432,0.0395,0.1206,0.0009,0.0607,0.1516,0.0382,0.1318,1.2627,0.1922,0.0187,0.143,0.2643,0.0104,0.0114,1.5463,1.4133,0.2729,116.5368,1.8752,0.4254,0.2694,1.6568,0.2632,0.0526,0.7287,0.381,0.2886,0.4888,0.816,181.7518,1.6233,0.7372,0.4417,0.1851,0.6438,0.283,0.4421,0.0
ISL_G,24.396,57.4406,0.1374,3.1578,0.0086,211.3371,6.109,2.3233,7.2485,0.0306,5.1314,11.9055,4.2734,12.4493,59.499,8.8026,1.3293,5.3169,12.1483,1.5756,0.6528,29.5927,27.5621,12.445,172.3911,102.6803,35.6384,41.3765,118.0594,10.3006,2.8898,82.4627,15.1314,20.4753,12.473,13.034,16.653,15.7663,50.6253,18.493,26.5754,57.3093,17.4753,7.8111,0.0
ISL_H49,1.7849,3.6852,0.2049,0.2149,0.0069,16.1372,0.3638,0.1813,0.5261,0.012,0.3737,0.837,0.3663,1.1421,9.9843,1.4629,0.0794,0.5178,1.2292,0.0592,0.0606,4.0602,3.2976,0.6818,13.8701,6.7315,13.141,3.1792,9.2177,29.5487,0.2059,5.0486,0.8406,0.6868,1.346,2.2065,3.261,2.8758,2.1758,2.3982,2.8437,5.696,0.621,0.5001,0.0
