V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_C20,1953.6133,5.6542,117.5504,11.9656,775.339,946.9966,310.5793,312.7827,585.7347,1291.7026,3504.4071,216.7135,3089.4371,617.7371,577.8423,362.5118,163.3515,312.5379,119.7785,240.6723,218.6558,323.6377,110.8541,95.4958,650.9433,549.7356,97.1757,5.2237,14.7635,92.3443,1.8624,83.7388,34.3469,7.72,4.6586,8.727,250.2699,288.3575,116.1173,104.5338,45.0995,223.0681,48.2083,55.0227,0.0
RUS_C21,187.152,0.1933,0.5809,0.1078,1.2543,58.0021,0.9708,0.6348,0.8651,6.5393,7.2208,530.2316,1.8213,1.7633,3.0603,1.5341,1.5652,0.6655,0.8499,0.9059,1.9342,1.4365,5.4558,0.5136,6.4829,38.5556,1.3812,0.0744,0.2054,1.3217,0.1918,1.7419,0.6322,0.5982,1.1461,1.6084,3.1857,52.2482,1.1424,177.8652,34.8779,1576.9655,3.2963,0.902,0.0
RUS_C22,195.8272,19.6008,97.1659,14.4101,149.9149,1209.1395,41.8149,66.5723,162.411,34.1322,253.0748,59.2307,693.4113,146.675,79.0967,192.0238,103.6936,169.0354,175.5303,607.0089,133.1418,361.3682,88.1198,53.8589,3261.3272,828.0274,170.7227,1.3359,7.544,107.8478,6.4638,87.9582,11.5353,8.3927,10.5021,19.4687,694.9139,165.5579,30.4009,60.2274,27.596,62.2695,8.4656,19.1515,0.0
RUS_C23,61.7119,1.5416,51.9064,9.7202,91.5461,525.1932,4.2034,11.4995,8.2627,26.6007,77.3514,131.7039,85.0672,2425.7505,774.4121,84.1512,39.2376,118.3017,72.2846,218.9654,82.483,118.925,129.3769,77.5874,9085.9653,164.2105,78.743,1.5386,4.0436,290.7609,0.6028,28.6814,1.6888,4.89,1.0934,2.0666,1156.9788,78.0248,21.1938,58.3494,31.4099,42.2805,10.3878,22.6393,0.0
RUS_C24,15.2307,2.5491,272.3381,22.2379,1307.6644,195.0733,2.2999,18.9048,54.5712,27.9503,146.2468,13.9094,65.1695,437.4874,16803.3074,8218.2728,506.2558,2000.9106,1685.688,1021.7771,1734.8966,1523.2043,236.0099,1421.7399,4955.6841,154.7535,587.4575,5.84,0.1504,124.7889,0.1754,0.3389,4.1331,2.9322,0.0594,0.527,125.4822,278.2855,34.7501,24.4344,9.4107,8.3428,1.5331,35.3948,0.0
RUS_C25,286.9351,63.7574,154.4243,35.1718,1126.4894,964.3479,47.5665,103.8248,49.8433,42.8725,342.5231,51.0571,132.1757,462.1613,544.7996,3023.6318,445.775,389.1927,1581.5639,1125.0179,1040.5608,758.2546,518.1325,95.2295,10437.3493,727.8983,133.5438,16.6328,8.1756,249.0174,1.608,57.4654,2.7726,21.5807,4.5787,37.1926,590.0843,688.6094,117.1805,145.9719,31.9943,36.6204,16.2777,65.8672,0.0
RUS_C26,40.77,9.2826,44.5544,1.5389,145.9507,51.1314,2.649,4.0861,31.6063,24.4854,30.9491,11.1192,5.8103,15.3979,78.0777,50.3018,2356.6149,106.9162,104.7243,48.8074,381.6713,213.442,97.5445,11.9277,261.0876,320.4849,61.1953,2.5981,6.9789,61.2434,9.3565,9.4112,123.7188,483.67,269.12,82.8976,66.9611,1227.7268,75.7318,197.7116,59.9682,399.4918,51.589,68.2903,0.0
RUS_C27,50.2133,2.3439,119.9846,3.7272,428.8724,8.4741,0.4829,1.9924,3.4714,16.0841,36.3808,1.1916,8.3112,24.6397,132.9504,153.1662,437.8361,685.5614,389.3863,395.791,369.2721,260.5064,534.2442,16.4824,1325.5443,345.3554,201.818,8.7323,26.7334,175.1611,1.1285,30.4087,8.8107,114.4047,26.1946,24.6333,134.5269,510.7379,35.115,154.1981,12.6147,31.6944,12.1972,73.642,0.0
RUS_C28,425.1388,47.3379,206.3058,28.2636,812.2808,281.8407,21.0824,52.0375,89.0631,186.4863,117.1936,12.0758,39.4379,117.1576,495.1791,249.4035,106.5647,105.1684,487.1487,176.1985,334.7943,342.2439,299.3688,60.9293,1104.4266,439.1492,247.7038,17.9225,36.1893,195.2976,8.0915,25.6395,24.338,51.1925,22.293,12.2588,182.8324,203.8283,50.7253,112.0399,25.9643,94.1117,16.1032,26.1887,0.0
RUS_C29,111.3234,2.0083,44.5536,10.0764,43.7759,77.5083,5.4966,9.9545,13.2332,48.6935,12.8777,3.4935,13.9311,17.5991,102.4667,40.2896,18.4638,14.9794,53.6867,4543.1892,39.712,55.2456,70.3468,48.2888,164.3168,1210.35,399.8217,2.4607,3.3365,142.5934,4.7731,6.9482,3.3018,8.2484,3.9405,14.3573,30.1793,70.6374,54.3465,71.1377,11.8998,24.6705,6.9634,12.8451,0.0
RUS_C30,0.7923,50.7546,27.2345,19.6433,48.3639,6.7495,0.0064,0.277,3.7303,0.6049,29.6056,0.1285,0.2239,1.7544,59.8517,55.9639,37.9616,0.8492,4.4671,2.3725,4093.8278,255.7391,349.16,0.3549,90.9726,33.2276,1300.6344,80.3379,530.7651,601.0304,0.2794,0.0249,2.7377,0.1452,0.0,0.0,0.2334,731.3485,144.1299,546.9115,15.8938,0.9649,2.1484,1.044,0.0
RUS_C31T33,409.1738,85.2846,329.7755,22.8733,944.1072,346.3358,24.1773,45.2296,157.8882,99.963,287.807,13.1405,42.9522,99.2101,505.1459,162.6845,60.5296,39.4356,194.7254,118.1846,364.1076,585.045,708.6294,108.2216,648.3856,674.2186,692.504,12.6954,38.4835,642.9405,40.1883,41.7884,146.1622,187.4263,39.1948,61.9808,440.8772,258.537,63.9437,301.2766,77.0864,421.1172,78.0716,56.5999,0.0
RUS_D,1748.36,25.7016,1263.8529,155.4876,2897.9823,1688.0177,193.1687,341.1213,657.0601,1547.4458,2356.779,62.7771,389.9542,1575.5267,5718.7204,657.7561,274.1032,263.3624,417.4931,353.8732,619.1395,344.0547,36772.7325,1041.5038,1107.4118,3698.122,4264.2101,20.7048,23.2611,577.7329,64.7381,534.5431,59.2608,546.7928,74.3129,264.0976,4440.813,879.7294,319.1841,2684.6295,1711.1136,1515.5954,408.0682,234.1527,0.0
RUS_E,63.1283,1.8144,54.9926,3.2586,106.784,128.9266,8.7909,14.9553,134.7246,87.7133,84.4353,7.0254,30.2733,117.9404,3458.2168,426.3428,26.7144,13.4162,41.4829,35.2771,77.1075,28.6838,587.6221,1047.7706,122.2827,287.7264,74.5065,5.5407,2.6997,56.6686,3.8643,52.2057,37.3958,33.3344,6.6252,14.5409,783.6916,133.2961,21.6294,1144.0631,216.3153,273.0406,71.2295,25.5914,0.0
RUS_F,365.4151,31.7078,856.2661,42.3333,2025.2843,370.9369,30.9918,49.1864,79.6659,618.8917,282.8825,29.0731,44.9647,175.0953,961.1008,185.4283,133.3906,108.4257,148.2978,57.1317,300.7571,174.4947,1338.9492,383.2912,5350.7676,1640.3288,1156.593,18.6897,63.339,653.0748,25.1438,256.9584,43.4625,137.8716,75.5644,75.8013,4409.649,1148.9255,240.5428,8936.8408,1505.9571,1906.6492,753.1997,74.6365,0.0
RUS_G,6678.8699,262.7145,1093.6073,95.4171,2507.9722,14745.2306,1383.2968,865.7893,1389.5219,11296.3817,2727.5146,851.2067,1532.4112,1435.7335,4034.8291,2295.8882,1465.3437,990.46,1257.4413,3066.1791,1911.8102,1616.7134,6570.3938,543.6656,9257.8524,12277.68,3221.0204,131.0044,690.2809,1811.3916,85.8158,1837.5815,397.9269,591.4062,342.366,825.7364,1804.1797,2619.2582,537.6653,3274.4162,600.0834,2973.3596,401.459,409.1541,0.0
RUS_H49,1148.6849,26.1684,3191.2739,93.335,3588.6362,2098.1405,83.3255,413.6287,355.0726,8935.5387,1240.7457,54.1684,214.8264,898.1544,2508.801,594.5939,244.0962,172.1239,343.6389,413.5113,326.7753,348.3579,1354.029,258.9021,2424.9135,25694.3255,4346.6731,47.6124,299.184,5840.2495,171.0633,138.8587,56.1806,127.3149,100.6978,58.093,329.9794,580.902,621.2769,1325.1158,126.0254,300.1677,85.2117,109.1171,0.0
RUS_H50,38.2821,76.4544,58.1652,5.9517,42.3213,86.0481,10.723,20.2849,28.3148,86.799,35.3866,5.7124,14.6294,23.3128,69.1804,22.9429,23.0503,12.0627,17.6097,36.6608,33.4497,18.6343,45.3204,5.5348,125.3609,219.7953,37.7156,25.2872,23.2826,154.8869,1.1184,5.6173,2.7371,7.7535,4.3263,2.4411,16.6624,48.8839,8.6008,39.3297,4.1513,22.012,2.9002,3.8989,0.0
