V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_C20,94.253,0.2017,0.8631,1.15,0.4617,27.9173,30.1486,11.6984,19.9355,6.9643,243.4948,14.9901,86.2389,13.7304,10.1497,5.7176,5.6852,8.985,8.1347,6.6225,1.5763,12.6996,3.5893,2.1802,21.663,10.277,2.9694,3.0215,2.4599,0.8623,0.1214,2.7335,2.0528,1.2693,0.731,1.0108,1.039,3.2877,2.0623,3.5922,1.6793,12.5106,1.1428,5.0471,0
BLR_C21,16.6239,0.0647,0.064,0.0602,0.0271,7.5173,1.4112,0.3545,0.5316,0.1858,11.1103,48.8029,1.7679,0.4754,0.4345,0.2638,0.4028,0.3965,0.7457,0.3094,0.0911,0.9316,0.2298,0.1599,1.0895,2.1012,0.3765,0.5494,0.4341,0.1244,0.0265,0.3702,0.2325,0.2886,0.1711,0.2517,0.0745,1.9454,0.2393,2.7177,0.6453,71.6731,0.3364,0.8368,0
BLR_C22,13.6579,0.2611,0.4274,0.5598,0.2187,54.1554,14.4238,5.8715,11.0104,0.7129,26.8468,4.9401,74.5871,7.874,3.3111,5.4024,9.4797,13.686,19.1098,26.2133,2.7165,19.0056,1.1815,1.5305,55.303,15.4039,10.4055,1.5293,1.5368,1.1859,0.2209,2.2025,1.5904,1.1068,0.6663,0.8466,0.8483,2.4866,1.3782,2.687,0.9304,3.1594,0.7422,3.9911,0
BLR_C23,12.0242,0.0938,0.4876,1.6021,0.4735,36.0439,3.9301,8.3895,1.6959,0.6315,16.8173,4.3158,10.4642,177.721,15.0032,7.9651,7.3919,10.0028,9.4115,11.8053,2.5084,10.2949,2.7795,1.8445,503.6305,8.1006,2.4486,1.7803,1.0643,0.8674,0.0669,3.2426,0.5425,1.0026,0.4034,0.5885,3.8821,3.2162,1.1255,3.5698,1.5004,2.6496,0.7829,2.4892,0
BLR_C24,2.6729,0.0311,1.3349,0.3826,0.5445,7.5902,2.2148,3.8676,3.1683,0.46,16.3537,1.0072,10.2834,12.3759,431.9009,162.1031,28.6182,124.0165,135.8393,65.5605,14.6052,50.3961,2.6159,3.7096,108.0969,4.3153,1.8054,1.2827,0.5993,0.6784,0.0134,0.2361,0.3379,0.4171,0.1493,0.2502,0.4702,1.9076,0.3686,0.7752,0.2095,0.6314,0.175,2.1049,0
BLR_C25,10.6196,0.194,1.2171,0.6882,0.4818,23.6324,4.8985,7.2742,2.9372,0.746,10.3094,1.0934,7.4623,6.8667,18.1156,50.166,8.8453,15.6556,51.3639,27.9353,6.967,19.502,2.7403,1.4046,98.8399,6.4298,2.5092,2.5436,1.6001,1.1605,0.0835,1.3339,0.6395,1.2084,0.4985,0.5488,0.8173,2.876,1.2983,4.8095,0.892,1.4589,0.7138,3.7982,0
BLR_C26,2.4869,0.0616,0.1879,0.1159,0.0908,3.5212,1.3974,0.6117,1.2036,0.2637,2.059,0.5515,1.3061,0.8908,1.1432,1.4872,83.1705,11.7446,10.1926,6.1655,1.6413,5.889,1.583,0.4723,9.1958,5.5268,1.2607,1.3506,1.3905,0.5583,0.1517,0.668,1.7881,11.7154,5.1453,1.29,0.2471,4.1068,1.1181,3.9803,1.5724,5.8236,0.8727,10.57,0
BLR_C27,2.6644,0.0694,0.1946,0.1346,0.0803,3.3894,1.3565,0.7033,0.8161,0.2304,1.9713,0.3548,1.2729,1.1865,2.5671,2.3099,12.1542,34.9623,13.735,8.7368,1.6491,5.4721,3.9528,0.4249,29.8208,4.2693,1.6136,1.4107,1.0404,0.4839,0.057,0.6292,0.5606,2.8931,0.7082,0.4494,0.344,1.5692,0.6586,1.3855,0.4465,0.9755,0.4728,3.7837,0
BLR_C28,12.904,0.2146,1.1129,0.8788,0.5006,10.0857,3.4498,2.5743,2.8667,0.8531,5.7409,0.9405,3.149,3.8318,4.6228,5.2383,5.0879,6.1822,49.4907,12.1381,2.919,9.3116,3.4515,1.0489,23.2154,7.2029,3.41,4.3045,3.9519,1.0131,0.1127,0.9699,0.8113,1.9307,0.7201,0.6897,0.41,2.0825,1.2706,2.7292,0.6698,1.7444,0.5848,2.4135,0
BLR_C29,5.0922,0.0764,0.3024,0.3283,0.1083,4.9259,1.8295,1.0215,0.8075,0.2677,2.2899,0.3817,2.3054,1.8801,8.0744,3.8537,2.4784,5.0354,13.2436,234.7104,2.8576,7.6266,0.7999,1.0887,7.7194,29.3771,17.5111,1.7026,2.0629,1.3798,0.2691,0.4826,0.408,0.984,0.377,0.4418,0.2386,1.4393,1.8397,2.7174,0.4847,0.9649,0.4523,2.708,0
BLR_C30,0.1846,0.2303,0.0308,0.0129,0.0046,0.2098,0.0579,0.0418,0.0339,0.0147,0.0831,0.0186,0.0796,0.0488,0.0738,0.1241,0.1324,0.1191,0.495,1.561,19.4841,2.8267,0.0503,0.0229,0.3925,0.3903,1.397,12.3523,5.9586,0.2071,0.01,0.0311,0.025,0.034,0.0168,0.0215,0.0109,0.0861,0.122,2.6509,0.0287,0.0572,0.0564,0.3366,0
BLR_C31T33,30.5433,0.656,1.6635,1.258,0.6189,18.1086,14.2704,6.8106,5.8408,1.4962,12.0369,2.5754,5.2239,6.7473,8.3403,5.2306,6.554,5.1066,12.6449,7.1507,2.5943,56.0619,8.374,2.6867,30.7718,12.1638,10.3981,16.3509,18.1396,2.8242,0.416,4.3961,2.2714,5.5482,1.9946,3.8737,1.5231,6.3288,3.8125,11.9029,5.6072,32.19,5.1148,7.7929,0
BLR_D,205.2486,2.3563,11.6013,12.8095,3.3313,195.1417,71.6726,51.9749,80.8082,25.0953,241.3362,15.2299,63.6639,113.3376,157.1397,31.81,21.2381,23.362,42.5008,28.7443,7.2982,33.1804,559.0684,31.3276,45.4857,85.362,44.7414,11.5455,8.2899,17.0655,2.3555,60.7741,12.6305,40.3132,8.1416,18.6592,23.2579,24.873,11.7707,91.4267,44.5528,62.703,25.4254,39.8869,0
BLR_E,11.5142,0.1352,0.4265,0.3355,0.143,12.4438,3.3673,1.8918,6.962,0.686,7.8181,0.8347,3.0136,3.8066,28.0558,2.5409,0.8457,0.9509,2.3278,0.9167,0.3721,1.6014,5.1143,19.4804,6.4539,5.6486,1.9119,1.571,0.7362,1.0003,0.1399,5.1605,0.6611,1.0282,0.5868,1.2521,2.4321,2.2099,1.3536,13.9241,3.8236,6.0275,1.7809,3.8004,0
BLR_F,35.9849,0.3766,2.1214,1.7392,0.8482,17.0144,5.7755,5.4311,3.8998,2.3178,11.739,1.7145,4.4642,8.6602,5.275,5.0033,2.5482,3.388,7.0047,3.624,1.3631,7.8974,27.1582,8.0797,695.0205,23.0343,15.8527,6.504,5.3241,9.052,0.7208,9.8804,2.399,11.5945,2.3895,7.2636,46.0585,15.7546,5.1254,72.233,14.7762,13.1619,5.8617,9.467,0
BLR_G,188.0346,2.6218,3.192,3.3871,2.2301,484.8491,197.4056,48.595,57.0185,26.3697,134.1821,37.591,52.6437,51.1798,53.246,32.3605,45.0241,38.3873,94.7242,119.6042,11.4994,64.6806,27.8128,7.923,106.414,351.4123,63.8776,44.8942,34.2504,11.4951,2.0984,51.0247,30.2877,33.4684,12.7899,10.7378,4.6322,24.4652,17.7471,28.314,9.8433,32.1102,11.5681,23.007,0
BLR_H49,55.815,0.6964,6.5904,8.4123,1.8239,118.8567,24.0664,27.2832,27.884,12.5236,66.4452,5.0221,21.5198,41.9389,22.8302,12.0409,8.4226,10.1834,21.3177,16.4534,2.5128,16.4791,12.4351,5.9963,51.4134,118.1473,149.3546,28.0262,10.6532,32.4555,6.1081,6.2552,6.9863,5.7945,3.6113,7.2479,1.393,11.807,8.8605,24.3731,11.7559,10.0658,4.5241,14.9639,0
BLR_H50,2.4851,0.0544,0.2376,0.1298,0.0537,4.8996,1.5782,0.5197,0.8405,3.9081,2.2302,0.3255,0.647,0.9983,1.1972,0.5787,0.5751,0.5517,0.9739,0.9716,0.1547,0.6701,1.5748,0.1446,2.1091,3.0911,2.1934,18.7434,2.3626,1.4196,0.0863,0.6148,0.2902,0.4403,0.2287,0.4052,0.1162,0.5694,0.4267,0.6914,0.2343,0.5494,0.2341,0.4468,0
BLR_H51,2.8699,0.0229,0.075,0.0444,0.0226,4.9851,1.102,0.2352,0.5799,3.1678,1.0677,0.1712,0.3496,0.4953,0.8385,0.3496,0.3399,0.3242,0.5261,0.741,0.0786,0.3793,1.0976,0.0679,1.4894,1.029,0.7399,1.4271,1.0836,0.375,0.0734,0.5136,0.2075,0.2695,0.1594,0.2941,0.0884,0.4439,0.3298,0.2966,0.1239,0.2912,0.1532,0.2318,0
BLR_H52,5.8451,0.3251,0.587,0.7989,0.2729,16.0956,3.3468,2.6526,3.0343,1.7629,8.6278,1.0142,2.4111,3.8279,2.7954,1.7286,1.3163,1.4599,3.0489,2.6832,0.4359,2.189,1.3969,0.71,4.8669,30.3105,32.8492,82.2764,51.5349,22.2843,0.9208,0.7812,0.8961,1.3045,0.5536,0.6656,0.2241,1.8009,1.2079,2.811,0.4666,0.7542,0.4877,1.4267,0
BLR_H53,1.6784,0.0285,0.1144,0.0699,0.0406,2.4257,1.2251,0.5382,0.7962,0.1426,1.8958,0.3589,0.6124,0.5773,0.4003,0.4402,0.5335,0.4407,1.0566,0.454,0.1317,0.9073,1.4555,0.4751,2.0647,9.2847,1.666,1.167,1.0946,1.3741,7.213,1.0064,3.0999,5.8992,1.3356,6.3324,0.5021,3.5927,1.6995,7.5616,1.3752,1.9844,1.0576,3.0648,0
BLR_I,4.5928,0.1124,0.6819,0.3796,0.3196,11.3872,5.0151,2.1315,2.2183,0.6362,7.945,2.3092,2.9984,2.8345,2.3258,2.3702,2.6373,2.3162,4.9709,2.522,0.7898,4.0485,3.6185,1.1733,11.218,18.6015,9.4118,8.953,25.3258,3.6439,0.4831,10.7982,3.6853,5.0032,4.6155,10.631,1.2893,12.7277,10.0995,24.13,10.1988,15.7256,5.9025,12.6168,0
BLR_J58T60,1.9149,0.0351,0.1344,0.1177,0.0641,10.2095,2.7808,0.9505,4.3135,0.3176,4.7467,1.4469,1.3095,1.1882,0.8224,0.8783,1.3449,1.2486,2.0249,1.0932,0.4232,2.1825,1.4522,0.6988,3.1311,13.2909,1.9,1.4558,2.2086,0.9155,0.3352,2.7166,42.388,10.612,5.0476,6.2773,0.8698,20.2013,3.0923,10.8689,9.9918,3.1938,5.7399,6.0089,0
BLR_J61,5.7067,0.1322,0.5399,0.2604,0.1576,6.8994,3.5043,1.7972,1.6704,0.3872,4.2265,1.0129,1.8656,1.94,1.3426,1.6947,2.3734,1.5643,3.4944,1.502,0.4938,2.7625,2.745,1.0561,8.0879,16.9936,5.6083,3.8589,3.3781,2.3233,0.9061,3.8102,6.4817,99.9788,6.9455,13.7744,1.5074,10.4175,4.9531,16.6113,3.9024,6.1322,2.9303,7.6382,0
BLR_J62_63,1.0058,0.0154,0.1074,0.0604,0.0379,3.0059,1.1017,0.3931,0.639,0.1987,1.5167,0.4837,0.513,0.5227,0.449,0.3837,0.9753,0.5606,0.9854,0.6021,0.16,0.744,0.9676,0.2892,1.8287,4.2373,1.1595,0.9414,1.2942,0.4609,0.1649,0.6292,1.7458,3.9233,7.0111,4.4235,0.292,2.7578,0.9334,3.5657,0.9875,1.21,0.6876,1.5759,0
BLR_K,81.4092,1.2115,4.7361,2.0852,1.1024,52.2801,21.5627,11.5852,12.7107,4.8421,32.8685,5.8065,12.8186,12.9844,14.4093,9.8202,9.6789,9.3799,19.8242,11.7018,3.4395,14.4197,23.5895,6.0327,61.3003,70.2138,31.8612,30.8004,20.6257,9.8113,1.7211,15.3426,7.3374,17.3176,8.9314,230.7239,50.2269,28.9942,15.6805,46.6658,8.8603,15.7002,7.6147,19.9315,0
BLR_L,7.7064,0.1266,0.7877,0.4648,0.2198,17.9399,10.6426,4.0269,4.4846,0.6303,7.2575,1.7519,4.7771,4.0301,2.5907,4.4722,3.4391,3.2725,6.313,3.4255,1.1958,8.0973,4.9884,2.1798,21.8335,75.2825,10.2118,6.5657,5.7746,7.1782,1.3061,31.8022,6.1522,14.9652,8.1572,21.3818,14.1172,22.9453,9.6532,22.9291,11.5615,16.4249,9.4918,23.3658,0
BLR_M,30.4026,0.2214,2.2052,1.03,0.8369,57.1375,13.8429,5.2519,7.9702,2.3578,25.8523,10.5126,8.532,8.0059,6.8097,5.703,8.8607,7.576,13.1708,8.7198,2.3935,10.7273,9.3649,3.8877,30.1718,58.4403,9.5247,12.05,8.3468,5.0718,0.8919,10.3975,13.6871,21.0032,13.0994,31.3295,6.3834,50.9793,12.6993,23.7833,7.5531,12.2152,8.6139,15.7916,0
BLR_N,17.1671,0.2933,2.9099,1.4265,1.3628,40.5473,13.4614,6.6615,8.6088,2.3301,20.2628,7.0225,10.3199,9.5176,6.4689,7.5833,8.5714,7.369,14.6611,10.0533,2.3668,12.6745,12.5745,5.5721,43.0604,48.587,24.1321,30.2554,26.9668,11.8481,2.2801,15.0406,10.2646,24.871,13.4934,23.547,9.2216,30.2315,29.722,33.4223,12.9956,22.6521,10.2499,17.5933,0
BLR_O,2.852,0.0542,0.202,0.1538,0.0753,4.2153,1.344,0.8309,1.0791,0.3121,2.5742,0.5498,0.9308,0.9955,3.7373,0.7038,0.5476,0.5624,1.0528,0.6646,0.2394,0.9899,1.5993,1.4207,4.6846,4.6648,2.8933,2.7044,1.8716,1.0615,0.1479,1.4397,0.8022,1.6624,0.8969,1.9792,0.9976,2.6364,1.0561,9.3882,1.4863,2.1454,0.9629,1.6297,0
BLR_P,0.9489,0.0165,0.1125,0.0494,0.0259,1.625,0.495,0.2446,0.3245,0.1281,0.9691,0.4449,0.3677,0.3836,0.4016,0.2852,0.4487,0.3462,0.6714,0.4205,0.1235,0.4857,0.5863,0.2359,1.3556,1.7664,0.8232,0.6294,1.4497,0.3156,0.0601,0.419,0.5107,1.0716,1.0192,1.6954,0.1787,2.1743,0.7849,6.2348,8.3266,1.8454,0.5543,1.5739,0
BLR_Q,1.437,0.0215,0.0465,0.0269,0.0234,1.6245,0.5723,0.1797,0.2362,0.0776,0.6546,0.3572,0.2828,0.2439,0.2442,0.1708,0.2072,0.1844,0.3759,0.218,0.0689,0.331,0.2622,0.136,0.8838,1.0832,0.664,0.4394,0.3082,0.1823,0.0453,0.5029,0.2,0.3206,0.3091,0.7594,0.1,0.8439,0.4298,4.2692,0.9622,41.5301,0.4571,0.9373,0
BLR_R,0.6043,0.0132,0.0345,0.033,0.0106,1.8723,0.4275,0.1983,0.2831,0.0571,0.5397,0.1717,0.2412,0.2098,0.1647,0.1614,0.1805,0.1756,0.311,0.2262,0.0684,0.3327,0.2684,0.1528,0.9241,1.5479,0.4308,0.7037,0.4154,0.2244,0.044,1.3703,4.8979,1.0108,0.4758,0.8449,0.2238,1.9427,0.8134,3.0318,1.6017,0.6417,18.2128,3.7686,0
BLR_S,5.7602,0.1475,0.2893,0.2704,0.1706,8.0972,3.3839,1.2606,1.5218,0.4928,3.5646,0.723,1.5976,2.1105,1.3632,1.1025,1.5124,1.1739,2.0033,1.1354,0.3929,2.1278,1.8137,1.1252,4.4812,9.1153,3.9538,2.563,2.2687,1.4535,0.2898,5.2786,1.9947,3.6509,3.1012,4.5607,0.9192,5.3006,2.4428,8.1075,3.2098,10.3359,2.6986,21.379,0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
