V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_C20,40.3265,0.011,0.0294,0.2978,0.0153,29.729,4.1011,0.706,6.2377,0.9994,55.2268,4.9615,32.5237,1.2952,0.2751,1.051,0.2057,0.7776,0.3928,0.014,0.0212,3.5406,0.1052,2.009,45.0176,46.4118,0.2775,0.081,0.1231,0.4728,0.0719,24.7351,0.2572,0.0577,0.1018,0.3962,0.1518,0.3504,0.9022,0.098,0.225,0.2736,0.0193,4.8823,0.0
CIV_C21,4.0079,0.0046,0.0018,0.0207,0.0005,7.3859,0.2445,0.0622,0.3578,0.1034,5.5117,25.741,1.3192,0.0728,0.0261,0.0843,0.0207,0.0434,0.0404,0.0008,0.0025,0.2591,0.0137,0.1302,2.4338,6.8354,0.0357,0.0321,0.0276,0.0797,0.0323,3.6517,0.0144,0.0124,0.0152,0.0941,0.0128,0.1093,0.0964,0.0564,0.0745,0.6355,0.003,0.7534,0.0
CIV_C22,54.8675,0.1662,0.0158,0.1413,0.017,92.3387,16.1275,2.1051,32.3612,1.1356,23.2757,5.9211,42.6979,3.8394,0.2439,1.7723,0.0488,0.1499,0.0064,0.0002,0.0002,4.0171,2.0356,0.0088,31.912,79.0149,44.0438,3.5341,5.506,29.6806,8.4485,0.2918,0.1421,0.1119,0.1095,0.0202,0.0199,0.1761,0.0615,0.0179,0.0191,0.0745,0.0048,0.2641,0.0
CIV_C23,0.6481,0.0124,0.0119,0.093,0.0075,4.7881,0.0131,0.6271,0.3596,1.0331,3.5852,1.0867,0.1519,45.0899,0.0948,0.3415,0.0011,0.0052,0.0066,0.0,0.0001,1.101,0.015,5.228,739.8957,7.7474,0.3169,0.1155,0.1675,0.5637,0.0901,0.041,0.0307,0.0706,0.0354,0.0003,0.1106,0.1352,0.0795,0.0269,0.0145,0.3843,0.0007,0.0069,0.0
CIV_C24,3.3469,0.066,0.1488,1.9137,0.0959,6.3376,0.2806,0.8605,1.586,0.4072,1.5526,0.1151,0.6431,0.233,22.653,74.7681,0.0529,3.2966,0.1507,0.0524,0.0969,1.4182,0.288,0.1259,12.1853,4.2101,0.3618,0.1398,0.1857,0.5181,0.0091,0.4756,0.0797,0.047,0.0304,0.0022,0.4406,0.2659,0.2702,0.0003,0.1041,0.0648,0.0129,0.1608,0.0
CIV_C25,72.7444,0.9996,2.8148,23.9444,2.4063,66.3623,4.1897,10.5682,6.0698,3.6137,5.7711,0.9144,3.1177,1.4596,12.57,150.7574,0.175,5.9523,0.8939,0.5645,1.2025,6.5494,2.041,0.7915,149.1914,59.38,3.4369,1.33,1.0382,7.8826,0.8427,5.7518,0.5354,0.6523,0.4097,0.0255,6.3659,2.6229,5.1431,0.0072,1.7401,1.1111,0.2763,2.1359,0.0
CIV_C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4283,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,0.0,0.0,2.9417,0.0
CIV_C27,0.0104,0.0,0.0001,0.001,0.0001,0.0181,0.003,0.0004,0.0061,0.0002,0.0044,0.0011,0.1476,0.0007,0.1172,0.6611,0.0804,0.0082,0.0001,0.0,0.0,0.0009,0.0005,0.0002,9.0643,0.0158,0.0083,0.0007,0.0011,0.0057,0.0016,0.0002,0.0003,0.0008,0.0004,0.0,0.0013,0.0003,0.0007,0.0003,0.0002,0.0001,0.0,0.0001,0.0
CIV_C28,1.8769,0.0254,3.2577,19.7641,0.2491,21.5968,0.0682,0.8389,1.1926,0.4124,3.4987,1.0514,0.1908,0.1951,0.1033,0.4148,0.3888,0.0157,11.3808,0.3411,1.0731,2.5131,3.9219,1.4761,4.054,8.4169,0.8743,0.2941,0.8235,1.0952,0.1288,0.6186,2.2289,4.5618,1.7506,20.4928,0.2896,0.585,0.4084,17.6565,0.5287,0.8439,0.4292,0.163,0.0
CIV_C29,0.0183,0.0,0.0,0.0,0.0,0.6579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0007,0.0,0.0,0.0,0.0,0.6638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C30,0.064,0.0,0.0,0.0,0.0,1.6061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0725,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C31T33,10.833,0.0307,2.0097,9.9311,2.2735,29.6039,2.0234,2.2639,1.5014,0.4749,1.7661,0.5946,1.7243,0.709,2.1918,11.1174,10.5861,0.0285,5.4546,0.0394,0.0481,2.0359,40.6182,1.4363,19.1488,21.2255,1.8712,0.5584,1.2925,3.4242,0.6015,1.4429,4.5357,5.781,3.6707,22.8762,0.8631,1.9204,1.0277,19.2699,2.5563,1.5725,0.4431,9.8807,0.0
CIV_D,41.8204,5.8953,1.126,10.7644,0.319,151.4202,5.4631,12.9415,12.5793,6.1699,18.7238,2.2419,24.4199,12.4974,15.2769,29.862,3.4075,0.7144,17.154,0.2522,0.5494,4.015,19.1327,24.0957,138.9121,164.0652,18.5895,1.7602,3.6335,31.7818,5.5612,32.79,3.7643,10.954,4.1254,6.3152,9.6242,8.2674,10.251,62.0288,13.4401,8.6027,0.8265,6.084,0.0
CIV_E,1.198,0.08,0.0148,0.1097,0.0058,17.7639,0.1736,1.2077,0.6094,0.2471,0.7009,0.1134,0.3128,0.8888,0.289,0.563,0.357,0.0257,4.1058,0.0617,0.2143,0.5447,0.9996,0.3384,19.3165,5.8395,0.3945,0.1196,0.1607,0.9107,0.1084,15.3234,0.2254,0.2564,0.241,0.347,0.857,0.4235,0.9472,5.751,5.3926,2.5239,0.0261,1.0833,0.0
CIV_F,7.2211,0.438,3.154,24.1682,1.9347,9.7515,0.1608,2.0706,1.3196,0.4153,2.2646,0.5567,1.0379,0.4105,3.7283,16.591,0.3297,0.2728,1.9074,0.0065,0.0186,4.9184,4.2043,5.151,283.1214,25.7118,1.6594,0.3167,0.5171,3.5271,0.4123,3.3788,6.7841,17.8238,8.572,0.1554,29.7453,6.3579,15.4044,7.5282,3.6356,1.7822,0.1232,1.0583,0.0
CIV_G,339.1591,12.0436,6.5854,43.29,4.367,749.1598,62.5464,23.3448,48.6179,88.2076,92.065,38.0143,48.3629,111.6702,21.848,61.3006,17.2503,2.4833,46.0668,0.9648,2.6202,45.8168,41.8554,21.2636,432.5326,381.4156,448.8237,53.2046,118.3565,194.123,89.8556,652.7337,66.6284,85.9651,57.5126,53.8497,6.6371,9.2382,22.3791,75.7721,22.5228,18.5803,21.5252,72.0794,0.0
CIV_H49,91.0776,6.4235,1.9977,13.365,0.6522,110.194,3.8092,4.8568,5.3294,17.0925,11.9881,2.5106,9.1197,6.7081,7.1498,12.8495,1.625,0.6423,3.1108,0.1835,0.4027,5.5864,1.8506,1.3463,55.2356,583.0425,18.0406,3.1693,5.3261,13.1001,3.106,34.549,1.0284,1.212,0.6274,2.8456,2.0853,1.7349,2.8894,4.3074,3.0862,1.6191,0.2057,7.5894,0.0
CIV_H50,9.836,4.4485,0.5157,3.2473,0.2268,16.1199,0.5867,0.8248,0.8268,6.9072,2.4875,0.6819,1.6662,1.2093,1.1978,2.2595,0.4464,0.135,0.643,0.0299,0.0884,0.7588,0.2485,0.2104,7.6706,121.4231,3.1604,7.3987,1.4659,7.4583,1.8761,4.2071,0.139,0.2778,0.0788,0.2987,0.3129,0.2425,0.4965,0.56,0.2967,0.1809,0.0361,1.036,0.0
CIV_H51,13.8808,2.4017,0.9218,3.7167,0.462,18.4088,0.7508,0.677,0.8722,8.3923,3.2163,1.2433,2.188,1.2658,1.2558,2.6091,0.829,0.1828,1.1727,0.0449,0.1618,0.9403,0.4406,0.3471,9.4722,163.8492,3.103,1.3099,8.9717,6.7023,2.5863,4.2619,0.376,0.5901,0.4517,3.3844,1.3853,1.3474,2.0727,2.8963,1.3572,0.5136,0.1475,2.6536,0.0
CIV_H52,76.5458,10.1568,1.2931,10.2898,0.4494,61.1379,1.4778,2.4469,2.367,4.4276,7.1756,1.6118,5.8584,2.4313,1.4802,3.2412,1.322,0.3271,2.7036,0.1349,0.3002,1.7208,0.8394,0.7255,16.1486,883.3474,23.4577,15.2175,21.9584,57.0453,2.705,6.2025,0.6073,0.6554,0.3853,2.1615,2.012,1.3257,2.9946,2.672,0.996,0.5632,0.1738,3.7685,0.0
CIV_H53,16.6679,2.4891,0.5055,4.448,0.3431,20.2631,0.5032,0.7049,0.7414,0.5355,2.0148,0.7243,1.8641,0.4628,0.1141,0.6827,0.5697,0.1023,1.1163,0.0374,0.1025,0.3276,0.6238,0.5032,4.354,285.3986,3.0476,0.9873,1.535,7.3626,12.8241,0.7391,0.7388,0.919,0.433,7.4148,2.9646,1.7352,2.2076,4.2537,1.7739,0.8167,0.2035,4.272,0.0
CIV_I,8.0862,0.0378,0.7422,3.981,0.5269,11.0586,0.0586,0.6693,0.4937,0.4966,1.9132,0.6897,0.5132,0.3787,0.3591,1.947,0.0,0.2433,3.8229,0.006,0.0198,1.1282,4.3957,2.422,20.4528,24.5955,2.8622,0.5769,4.3089,3.2587,0.9174,27.2023,5.4079,5.0478,5.5234,6.5774,1.1074,10.2174,4.5273,15.0049,4.686,2.0636,0.9791,52.5242,0.0
CIV_J58T60,17.9125,0.9876,0.0783,0.511,0.0298,5.3608,0.122,0.1465,0.5653,0.3497,0.4608,0.1712,0.0713,0.0662,0.0478,0.2796,0.1297,0.011,0.494,0.0035,0.0128,0.2274,0.3123,0.1081,8.5998,8.0838,2.5953,0.8014,2.4862,5.3813,1.6281,0.8776,74.2448,22.5511,17.0811,2.8523,1.3337,1.157,2.1275,2.0051,3.029,0.1413,0.195,4.7618,0.0
CIV_J61,61.3683,2.6029,0.2266,1.3667,0.1033,7.6907,0.3373,0.3762,0.6728,0.5587,0.6171,0.2082,0.1865,0.1689,0.135,0.8679,0.2703,0.0195,1.2833,0.0073,0.0211,0.421,0.7953,0.3225,33.3756,14.8713,10.423,2.1892,4.3793,15.235,5.0531,1.8364,8.4999,63.5108,9.1985,7.8867,3.4661,1.1316,4.5252,4.0386,2.0345,0.3695,0.1652,8.615,0.0
CIV_J62_63,69.3145,2.4988,0.3657,2.3166,0.2167,9.6146,0.5826,0.4493,1.1754,1.0693,1.3662,0.4721,0.2649,0.2579,0.2668,1.3962,0.6247,0.0379,2.1381,0.0167,0.0567,0.7816,1.8859,0.5987,40.7337,28.2627,12.6741,3.805,13.3317,27.0246,7.9616,1.3798,35.3627,43.2061,114.7449,19.0421,4.902,2.8905,8.2927,7.2072,4.1059,0.5879,0.3467,11.3543,0.0
CIV_K,42.392,0.2387,5.6933,32.6274,2.1012,84.4396,3.4763,2.046,4.9051,9.6564,26.4031,6.2612,3.9078,5.0499,1.5041,5.1792,1.356,1.0978,1.9202,0.4153,1.1682,1.3469,38.1649,7.274,57.7517,173.4186,39.3686,13.3184,19.5627,47.8305,6.1723,7.4785,4.8156,8.4305,6.8499,139.9222,65.7847,3.4661,4.7133,10.1734,2.5165,3.03,0.5565,7.8877,0.0
CIV_L,35.1238,6.6756,1.1608,7.3846,0.5593,38.8609,7.5289,10.9096,17.1749,1.057,6.1864,1.8529,1.875,6.0207,1.6085,11.2482,4.4552,0.2309,32.5824,0.4668,1.1216,9.8917,2.4018,0.1728,43.7631,243.3027,12.3639,2.2412,4.4506,31.596,3.9875,18.5945,7.7192,14.982,11.216,40.8747,22.4386,10.9146,20.6561,11.1513,5.7013,3.641,0.7956,14.3927,0.0
CIV_M,19.405,0.18,1.4422,9.5338,0.74,90.241,1.3115,2.4848,2.4551,4.5664,14.9601,7.1523,2.1924,3.135,1.2603,5.7526,3.0921,0.3675,11.6135,0.1331,0.3926,2.2025,25.2952,8.3309,158.3731,118.3781,9.607,3.4417,6.1365,19.0826,2.3701,10.6124,14.2417,15.2705,16.2388,54.9794,12.4265,30.2503,18.7315,26.3231,19.4594,60.218,2.9738,2.1353,0.0
CIV_N,47.8513,3.4899,4.8146,39.3245,3.3551,105.0707,2.8792,4.8561,8.3443,5.0886,16.3239,5.4103,3.2332,15.6829,7.2419,40.0,1.0279,0.6781,13.7791,1.2885,3.675,8.923,33.5302,15.6183,76.3508,422.6776,41.2932,17.1891,40.0016,57.7096,9.2818,14.8818,27.4967,34.283,34.3233,26.0912,29.141,42.9878,33.3114,16.691,42.0723,32.2669,1.7833,17.9715,0.0
CIV_O,0.1893,0.036,0.0063,0.0399,0.003,0.2095,0.0406,0.0588,0.0925,0.0057,0.0334,0.01,0.0101,0.0325,0.0087,0.0606,0.024,0.0012,0.1755,0.0025,0.0061,0.0533,0.0131,0.001,0.2359,1.3113,0.0666,0.0121,0.024,0.1703,0.0215,0.1002,0.0416,0.0807,0.0605,0.2203,0.1209,0.0589,0.1114,0.0602,0.0322,0.0198,0.0043,0.0778,0.0
CIV_P,1.1174,0.0042,0.125,0.9095,0.0722,1.444,0.0244,0.0264,0.102,0.1136,0.3366,0.1687,0.0605,0.4477,0.0722,0.3085,0.0012,0.0235,0.009,0.0553,0.1753,0.1829,1.2747,0.2146,1.4043,5.807,0.2948,0.1082,0.3761,0.4977,0.1262,0.3114,0.2462,0.3123,0.4339,1.2759,0.1411,0.7567,0.9927,1.0031,9.6076,1.3312,0.0751,1.6066,0.0
CIV_Q,0.0,0.0,0.0525,0.3962,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0928,0.0,4.9548,0.0,0.0,0.0
CIV_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6978,0.0,0.0
CIV_S,1.4065,0.0193,0.4613,3.7398,0.3622,4.4304,0.047,0.115,0.1631,0.5229,0.6558,0.2041,0.1451,0.2473,0.0358,0.1628,0.3598,0.0113,4.1234,0.0022,0.0056,0.0981,2.9674,0.0602,3.0463,10.8712,0.6654,0.1868,0.3492,0.9742,0.1976,0.5154,2.6205,2.4809,2.6582,26.5898,0.2192,0.4302,0.4265,2.5276,0.382,0.4979,0.353,7.4733,0.0
CIV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
