V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_H53,0.2322,0.0788,3.6071,10.4915,0.1026,52.4121,8.9765,3.3403,5.6816,2.7992,21.0031,17.4024,6.3707,12.5487,16.707,22.0792,11.0641,8.732,34.1632,98.5116,4.3792,7.7438,0.3517,2.1199,19.3174,132.272,27.3002,0.1195,1.0993,18.2037,41.4792,20.4632,13.7024,197.1728,1.2847,244.0432,238.0536,79.6702,59.2483,72.8061,42.8979,21.1579,7.5766,12.2841,0.0
MEX_I,3.7736,6.7203,42.452,15.6101,10.963,67.5764,15.4798,28.7352,17.716,7.7005,49.0186,48.7075,36.7692,15.221,51.3258,87.6944,105.5384,30.9631,86.3217,178.9287,8.6454,44.9518,1.4423,17.8414,272.2976,331.4788,600.5647,50.7767,173.4479,231.9364,51.4742,29.4204,93.0463,153.7104,26.2089,128.1007,65.8638,212.1224,271.2486,815.6226,127.3823,142.3125,34.7975,57.8294,0.0
MEX_J58T60,16.5171,0.0288,13.9724,0.6275,1.5505,237.9284,7.0098,0.4627,13.0007,0.256,28.6795,85.6917,1.8781,7.0143,20.3003,14.4076,10.9634,6.3607,63.152,89.9738,0.1381,9.8543,1.0176,6.2567,92.4993,450.8933,21.1795,0.9107,13.0838,22.4219,4.7276,52.283,409.5886,6.0725,3.2705,78.6811,199.7896,145.0435,61.7551,778.1549,106.9369,69.2437,19.1418,6.9392,0.0
MEX_J61,13.1342,3.5881,25.6599,19.8012,24.0557,287.3225,65.4881,14.441,39.2172,16.6816,62.0587,40.9182,35.9781,53.9975,118.9864,114.3451,462.0378,82.1311,110.6005,517.2781,40.887,106.8036,22.7703,13.5419,1109.5554,761.7519,285.6656,8.7671,177.9939,91.0261,15.4787,98.6371,87.6683,563.3914,28.9385,506.6397,486.322,363.1418,322.9512,1051.0413,220.4919,203.7036,34.1164,101.4096,0.0
MEX_J62_63,0.0538,0.0139,14.7821,11.9144,0.1038,23.5419,2.4264,0.794,2.5962,0.4518,6.3781,0.2673,1.6022,3.0216,13.1167,5.5444,13.3093,4.1958,18.9157,52.4169,1.124,3.8234,0.5175,6.1008,20.465,53.2193,26.793,0.1166,4.632,4.8118,0.8693,13.8515,12.1486,50.6442,12.0418,241.6852,32.3824,17.5025,5.0994,152.001,35.4097,41.9558,6.8903,5.8066,0.0
MEX_K,270.6433,23.0797,43.6419,138.3774,56.2638,574.7548,186.3404,10.6404,90.9827,118.0641,286.9319,98.8232,117.3322,98.0718,176.3574,248.9474,529.5187,119.9854,177.0416,803.9933,64.5973,95.7653,120.8964,57.0468,1414.6197,2299.9118,373.9597,12.5383,78.4927,70.3482,8.1886,293.2294,49.9604,447.1482,62.5266,4095.2366,2298.8021,1271.9664,314.7783,1441.3611,138.9728,193.4582,124.4568,26.8288,0.0
MEX_L,2.3863,2.6477,98.7969,17.0635,23.857,625.1917,180.0698,14.7468,108.6885,7.8421,100.8914,86.6659,128.6319,125.2605,100.3093,174.9337,267.9703,127.7191,127.4348,453.4653,25.3103,550.9441,10.0776,11.3119,500.4061,3249.5166,508.7763,50.0255,109.4779,576.8434,40.4744,310.6439,573.3664,935.7614,165.9649,1554.8399,2924.2921,1014.2602,738.3658,1420.0718,324.1695,508.7005,231.9146,643.1258,0.0
MEX_M,22.4135,19.8516,1143.3674,316.9124,377.8791,1301.385,109.6519,25.6599,127.3073,709.9292,663.0717,153.315,125.7444,187.4185,361.765,190.3232,479.2064,200.5209,369.1036,1242.9073,30.826,149.7164,139.2844,49.554,1500.3141,5134.8907,527.8769,21.0486,115.4451,215.4584,52.8061,573.432,556.0352,504.9105,79.1229,5045.5263,1187.6424,750.0502,1424.1874,3288.8589,401.8174,581.9777,195.4611,144.3035,0.0
MEX_N,47.8091,63.705,214.6616,670.3749,417.1291,2506.163,538.7487,40.5931,416.8227,192.6339,928.6856,1008.4368,908.7146,926.068,462.2501,740.3011,1016.1658,715.8482,410.7813,3548.5142,222.5409,307.9245,129.9909,89.6776,1433.5967,7964.8764,1701.5625,282.7925,790.1934,945.9008,240.6048,1427.7115,1104.5888,552.3443,407.3147,5326.9147,519.6595,1485.0846,1338.0583,1467.3415,604.9767,852.0185,755.7459,209.4906,0.0
MEX_O,0.0,0.0054,0.0002,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6676,0.016,0.0,3.3921,64.306,0.0025,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,16.2731,0.0056,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
MEX_P,0.0906,0.0097,0.2119,0.1568,0.2008,2.7119,0.1983,0.0142,0.0813,0.3436,0.2763,0.12,2.7901,0.4892,0.3521,0.2103,0.1865,5.8027,3.4526,7.8492,0.4965,0.1823,3.723,0.0678,2.8233,5.2074,30.1917,0.0333,0.7416,0.1384,0.13,0.3525,0.2382,0.1661,0.0539,13.598,0.6797,6.3041,0.6517,165.6587,63.4392,7.6494,1.1212,0.5993,0.0
MEX_Q,0.0115,0.0107,0.3755,0.3185,0.4219,0.5132,0.0547,0.0438,0.0811,0.0743,0.1807,0.1249,0.0837,0.0612,0.1598,0.1306,0.1929,0.0645,0.1631,0.579,0.023,6.5166,0.1498,0.1882,8.0388,0.8972,0.7976,0.0723,0.1732,0.1625,0.0405,0.3831,0.1136,0.0285,0.0315,0.4771,1.0342,0.3303,0.4386,1.1032,0.3744,193.0526,0.1133,0.1805,0.0
MEX_R,0.6634,0.0501,0.872,1.7227,9.2061,6.5092,0.8639,0.113,1.0498,0.1175,2.1957,0.941,0.9985,1.1967,0.6434,1.4354,2.2682,1.0293,2.7494,6.6965,0.2193,0.9698,0.161,0.3086,14.9079,21.9954,3.8329,0.5199,7.1704,1.2944,1.3314,84.0923,81.146,1.693,1.0078,4.6616,1.8163,3.9263,2.7265,60.1022,14.8679,3.7328,76.2161,21.1699,0.0
MEX_S,0.2507,0.0045,0.3079,0.7971,1.7178,24.0145,2.096,0.9876,7.8096,0.2547,23.1634,1.1625,7.9209,11.6946,1.7942,12.6534,5.1421,12.0791,3.7665,3.5207,0.4799,2.4303,5.2088,0.477,16.4671,19.6911,12.0389,0.0171,4.2229,6.8038,1.1837,19.1378,4.9831,8.9781,6.6507,36.005,23.9438,17.9568,67.5797,195.8484,23.6846,117.9738,10.765,15.85,0.0
MEX_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
