V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_E,46.3753,6.1833,11.1299,0.7429,0.5065,81.9182,182.8554,10.5386,132.9028,109.0414,64.1706,11.5158,48.2337,83.2894,661.521,51.6083,15.8836,17.3892,26.5395,16.6249,7.3219,23.4098,65.4704,550.7465,312.674,111.5861,28.5447,4.908,4.6642,13.0427,2.7147,52.5756,13.5419,19.4843,5.1847,14.9462,62.2419,27.8553,21.4066,246.0243,43.275,74.1351,18.2189,56.2363,0
BGD_F,48.208,5.4336,9.3414,0.7222,0.4868,36.5014,79.8527,6.434,11.5421,67.4549,22.5794,5.7094,11.5974,37.781,17.0647,15.0648,12.2015,12.794,15.8068,14.655,5.3683,27.0162,70.9109,17.7254,4405.8063,75.4059,47.8579,6.1328,10.1146,22.192,2.9403,26.9212,10.7901,41.0282,3.8185,17.6096,209.4997,29.4831,14.361,178.1678,41.0098,33.1605,14.6596,29.1762,0
BGD_G,815.3557,125.8071,19.468,2.0188,1.3759,1662.7943,2633.1898,92.0448,204.9347,646.1499,385.2867,105.3428,189.7894,189.5717,169.6136,100.5657,139.0587,127.8536,138.2529,254.7462,37.936,174.848,84.4924,39.2554,1350.5307,670.2102,435.9709,41.2765,65.1596,41.6662,14.3958,339.6636,101.0598,88.5923,15.502,40.3672,30.5422,67.3794,69.1525,149.1056,57.2317,153.0197,35.349,114.7092,0
BGD_H49,201.7902,29.1947,27.8783,3.3234,1.0447,436.3944,442.4595,40.9289,92.3157,414.5416,154.851,21.9052,69.743,164.929,91.5881,48.5985,42.3131,47.2937,52.0004,71.3972,12.57,59.9116,43.2285,22.9277,587.0186,400.8116,432.4442,27.0029,24.5033,90.0539,23.5206,59.8008,33.2696,23.4613,4.9997,18.8744,9.0512,28.0811,24.7142,78.0239,40.253,37.841,13.6431,59.8385,0
BGD_H50,31.0022,10.2137,11.8343,0.5427,0.2007,60.4356,158.4959,6.5488,17.6316,200.9578,42.7154,4.9039,17.2498,32.9835,29.7825,13.6926,13.6404,14.5488,15.7088,16.7075,5.0085,13.8018,5.731,3.112,91.005,101.8077,49.2075,260.4228,7.3117,44.5047,3.0761,7.9981,5.0053,7.6226,1.1246,2.6592,1.6844,5.5391,6.7475,14.4364,3.5684,6.2795,2.6697,8.6476,0
BGD_H51,30.2971,2.8932,3.1055,0.1799,0.1489,52.035,165.1575,2.6783,12.8044,41.8036,31.4981,6.1913,16.0977,13.7051,19.5341,11.3674,15.9865,14.7172,14.8609,14.283,4.3556,14.3421,6.1601,2.166,95.9389,42.5158,13.5033,3.726,40.047,14.2487,7.7174,10.1071,7.3021,8.3155,3.3357,10.7886,2.5769,14.4625,18.5569,30.8235,8.8278,9.7657,4.4412,14.8552,0
BGD_H52,43.7484,15.5163,7.4787,1.0195,0.4779,116.8653,152.1211,10.1147,26.5808,168.4731,51.9315,10.0207,20.1034,45.0741,27.7575,17.0221,16.9945,16.335,19.1567,27.468,5.1341,20.4679,13.4606,7.926,141.7407,327.2642,304.068,154.3211,169.8973,191.4587,11.4271,12.5706,11.5634,14.4084,2.177,4.7479,3.1699,12.0075,10.2514,26.7815,4.8332,7.5971,4.0937,17.0909,0
BGD_H53,3.4173,0.543,0.7705,0.0443,0.0345,6.0313,24.1859,0.7413,3.0341,6.7464,4.8127,1.5541,2.0719,3.1431,1.6648,1.838,3.1443,2.085,2.9361,2.3441,0.6831,3.6968,6.7308,2.0307,25.0275,47.5508,7.5833,1.1266,1.8476,5.7801,44.201,4.2776,19.2811,33.0491,2.6222,24.2764,3.905,12.2859,6.6726,34.3352,6.8505,8.2158,4.3393,15.9299,0
BGD_I,8.7605,1.9487,4.4702,0.2256,0.2553,25.7549,90.6073,2.6165,7.6136,27.9715,18.7397,9.0913,9.3713,14.066,8.3587,9.1051,14.1538,10.0952,13.1071,11.9653,3.7435,15.5027,15.2561,5.2921,127.0559,89.0449,38.314,7.1976,36.0197,14.2654,2.7803,40.0282,20.2294,26.3577,8.6108,39.3262,9.1276,39.4796,38.1724,101.8819,45.942,56.9521,22.1783,56.2965,0
BGD_J58T60,4.6272,0.7985,1.0616,0.0866,0.0581,30.199,64.818,1.4474,17.7923,16.4218,13.555,7.0469,4.9388,7.2341,3.6652,3.9782,8.5697,6.3646,6.1726,6.3138,2.4793,9.5765,7.5846,3.8047,44.1591,77.6498,9.8283,1.5263,4.0864,4.3322,2.3321,14.1739,321.9056,80.1177,11.4952,26.0735,8.0898,109.7622,14.5116,54.8226,52.3737,14.5054,30.385,31.1492,0
