V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_C28,2.5229,0.0566,0.0009,0.167,0.0031,0.7216,0.0476,1.2283,0.1123,0.0006,0.0746,0.0326,0.0526,0.6324,0.0859,0.606,0.7818,0.2508,1.4452,0.2987,0.7033,1.7132,0.3295,0.1658,3.7008,1.7995,0.6759,0.0512,0.3213,0.4525,0.0248,0.1259,0.0292,0.0387,0.0924,0.0705,0.9007,0.3265,0.436,0.2755,0.0748,0.1699,0.1837,0.1299,0.0
LVA_C29,1.6711,0.022,0.0005,0.0865,0.0004,0.4487,0.1072,0.3523,0.0248,0.0002,0.0195,0.0142,0.0433,0.1102,0.0319,0.2816,0.0698,0.0547,0.21,2.5931,0.2914,0.4033,0.3067,0.293,2.0409,9.6719,6.8004,0.0042,0.0751,0.6285,0.0058,0.0604,0.0889,0.0237,0.0798,0.0533,0.1958,0.3913,0.8899,0.5957,0.1936,0.2427,0.1768,0.0346,0.0
LVA_C30,0.8618,0.4774,0.0005,0.0224,0.0003,0.3328,0.0034,0.5613,0.0021,0.0001,0.006,0.0096,0.0263,0.1741,0.0852,0.0122,0.047,0.0693,0.0206,0.004,3.265,4.5076,0.0109,0.0265,0.521,0.6566,6.5184,0.0494,4.5273,1.2571,0.0085,0.0446,0.0579,0.0733,0.0113,0.0381,0.0587,0.5354,1.565,0.0939,0.017,0.0096,0.0352,0.0672,0.0
LVA_C31T33,44.8503,2.7673,0.0161,2.1791,0.028,12.265,1.026,12.2987,2.3959,0.0172,1.1326,1.1485,1.383,2.2934,0.4298,4.9424,1.8405,1.1185,1.5762,0.9068,0.994,18.7143,19.7642,4.3326,13.3936,31.2718,16.9165,2.9996,24.3873,12.7265,0.1806,5.0535,0.8019,2.327,3.5485,2.1427,6.8051,4.5145,10.5816,7.6225,5.4427,15.8747,5.1627,1.8572,0.0
LVA_D,65.4459,2.2905,0.0205,3.5259,0.0159,77.4715,7.033,92.6892,6.813,0.0317,12.3917,9.0024,3.9929,30.9149,3.3608,10.5057,2.2115,4.5659,4.9135,3.0639,4.1681,15.7943,469.7657,18.3241,22.1324,121.6133,25.73,0.3435,1.1517,42.4387,1.4903,36.409,3.5324,25.2361,6.7436,8.4808,99.1219,6.6643,8.7545,40.3316,62.2947,42.0696,32.8427,7.116,0.0
LVA_E,4.3785,0.316,0.0044,1.7016,0.0071,19.4878,1.5447,3.3333,0.7683,0.0214,3.1277,0.8676,1.073,6.4312,22.8811,2.2954,0.2979,0.3925,1.9586,0.7713,0.9453,3.9574,9.565,60.8673,20.9529,13.8044,3.176,0.0703,0.2614,5.7366,0.2737,3.4768,0.5106,0.3557,0.353,0.7507,8.9205,8.5187,5.6774,10.6968,8.4679,6.5932,3.8262,1.9217,0.0
LVA_F,11.8832,0.1155,0.0052,1.7201,0.0172,6.2131,0.597,26.9724,0.7654,0.0261,0.794,0.3505,0.6556,7.3098,5.5083,6.2601,1.1145,1.1055,13.2523,0.9962,2.4696,18.076,58.0404,10.7917,1227.9222,25.6877,192.905,0.2676,4.0193,18.1516,0.2875,3.9692,0.477,4.0068,3.5026,5.0538,103.2023,28.2581,20.3611,110.9882,19.2921,8.2289,6.8705,21.3142,0.0
LVA_G,260.6559,4.8301,0.0616,19.7885,0.0813,226.1269,28.274,231.7745,33.6241,0.181,32.3479,13.6,16.8763,47.8589,4.2066,39.9969,21.1068,14.6559,13.7394,10.9409,12.1999,38.6437,90.4562,14.1989,297.43,166.5615,183.0538,1.869,33.2683,46.4459,3.3411,66.0434,13.6123,9.2544,13.5456,8.8247,46.1248,53.7395,38.2299,30.3523,26.4035,38.9807,18.7447,10.7036,0.0
LVA_H49,48.3491,1.2462,0.0487,12.865,0.0727,42.3372,2.5604,68.9423,7.7483,0.1263,9.4011,1.6768,3.0775,21.8792,1.3121,11.5571,3.5558,3.1305,2.3311,2.7539,1.482,7.7664,22.4489,3.3366,75.0992,100.012,150.3214,0.5268,10.669,86.9996,3.9203,6.1377,1.6958,1.2142,2.4748,0.6665,4.3564,3.9781,26.2196,15.4249,7.6304,3.7507,6.1702,2.0579,0.0
LVA_H50,2.2763,0.1155,0.0105,2.4013,0.0418,2.5462,0.3662,8.2458,0.4199,0.0074,0.6305,0.2227,0.2808,1.165,0.0815,0.7674,0.2923,0.2936,0.2642,0.1903,0.1388,0.5264,1.7296,0.2948,2.6478,18.8675,12.7782,2.8235,1.7467,3.6798,0.0998,0.6153,0.0961,0.0869,0.2543,0.0999,0.2747,0.3632,5.741,0.4049,0.2513,0.4016,0.2126,0.1017,0.0
LVA_H51,3.0429,0.0545,0.0012,0.4212,0.0015,2.7755,0.4269,2.1527,0.5529,0.0064,0.5359,0.1154,0.3783,0.8411,0.1039,1.0698,0.5542,0.2971,0.2729,0.2796,0.1963,0.5635,2.9998,0.2249,4.151,2.1414,2.7719,0.0218,0.2569,0.2462,0.3598,0.6673,0.1719,0.099,0.0428,0.1295,0.5147,0.2488,0.521,0.1494,0.2152,0.4711,0.1574,0.1148,0.0
LVA_H52,34.6285,1.1274,0.084,11.5539,0.0069,39.6569,1.6571,78.8954,4.3414,0.0792,10.681,2.5355,1.531,21.0024,0.872,9.2589,1.7188,1.5068,1.5732,1.264,0.9512,5.5832,2.1982,1.7065,29.0203,321.9651,196.9621,27.9278,107.3135,1623.7875,5.1983,2.0306,0.7484,0.8601,2.9554,0.389,1.7643,3.8215,15.4395,15.4096,8.1529,1.2925,5.4919,2.2227,0.0
