V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T
JOR_E,31.6276,0.005,3.8358,3.1697,0.5319,24.8777,3.5316,0.0249,2.5987,1.163,9.7641,2.5223,3.3445,7.5123,0.8708,1.3816,0.3524,0.9544,0.824,0.3444,0.4888,0.6913,0.6049,1.0913,12.403,51.2856,0.1232,0.0147,0.6255,2.4816,0.1592,15.9681,1.5517,4.1807,0.908,2.7566,13.122,1.3965,0.9801,24.9312,17.3962,20.6328,6.1112,9.164,0.0
JOR_F,50.7125,0.0001,0.0966,0.0011,0.0001,10.1923,2.8636,0.0298,1.0749,0.0872,2.8142,2.7445,1.9622,0.556,0.5179,1.8301,0.2183,0.6057,0.6293,0.2684,0.4807,0.573,0.1081,1.6167,580.0505,50.6307,9.0224,0.4872,75.6155,5.2192,0.3807,13.1611,0.8158,5.1078,0.5939,15.0034,166.2008,2.2711,2.0045,41.383,45.3644,35.9632,6.2585,6.2864,0.0
JOR_G,83.1557,0.2758,100.0233,105.6575,19.2518,396.9669,164.0894,5.1193,31.471,24.4127,42.0157,56.1174,27.5959,58.6543,11.9361,29.169,9.1175,16.3125,13.4278,13.809,6.1113,12.2153,21.9779,13.3991,233.3159,75.2136,51.287,1.3642,59.2524,5.5738,0.3268,52.3426,41.8883,103.8894,16.2698,29.0061,21.7155,4.5437,25.0506,64.0583,17.6698,56.1258,4.07,4.5523,0.0
JOR_H49,21.7059,0.0686,21.3497,15.001,1.7461,118.2973,24.972,2.2895,10.5553,117.4962,25.2571,7.1435,17.7357,38.4588,7.1198,15.3255,2.4881,6.414,4.9572,2.8374,2.1216,4.426,19.3823,4.027,109.3681,29.1652,14.2727,0.1872,29.9556,20.7053,2.7963,11.6944,19.0565,30.8784,7.3156,2.185,2.404,2.2352,94.3842,11.3371,9.6011,9.066,2.4322,1.4294,0.0
JOR_H50,0.1166,0.0017,0.0013,0.0015,0.0008,2.4158,1.4782,0.0781,0.1288,4.7929,0.648,0.3882,0.3975,0.6378,0.3055,0.2076,0.0204,0.0472,0.0239,0.0211,0.0091,0.0334,0.8481,0.0267,3.4863,0.0757,0.0006,0.0004,0.496,0.0016,0.006,0.0751,0.0013,0.0007,0.0006,0.0401,0.002,0.0085,0.0016,0.4856,0.1466,0.0348,0.0025,0.0141,0.0
JOR_H51,5.8069,0.0308,0.0659,0.066,0.0312,31.6986,11.9726,1.0963,4.0634,18.5085,8.344,2.7176,5.3168,9.7693,3.6405,6.0119,0.7886,2.0538,1.339,0.9902,0.6332,1.3341,4.5091,1.2625,28.1303,1.9512,5.7634,0.0468,0.2297,0.034,0.0372,4.1814,0.0627,0.0317,0.0303,0.1106,0.0802,0.2015,0.1166,2.2526,0.6299,2.5385,0.0941,0.5407,0.0
JOR_H52,2.9394,0.0089,2.1825,2.1106,0.2436,11.3183,3.0764,0.3317,1.4937,2.8427,3.3168,1.0742,2.8912,4.8686,0.7628,1.5399,0.3143,0.8821,0.6413,0.394,0.3191,0.6238,0.9564,1.5936,9.153,6.3102,5.4991,8.8768,45.1755,31.9376,4.7557,1.6486,5.9387,14.8137,2.2112,5.628,8.6688,3.6288,1.8111,12.8825,13.4214,5.1801,3.368,0.4411,0.0
JOR_H53,0.0081,0.0,0.2392,0.0334,0.0053,0.018,0.0044,0.0003,0.0093,0.0001,0.0001,0.0001,0.0169,0.0003,0.0002,0.0009,0.0025,0.0046,0.0054,0.0022,0.0026,0.0043,0.0013,0.192,0.0165,0.8705,0.0637,0.1338,7.3198,1.8185,1.42,0.0022,3.1258,10.055,1.0718,4.1365,1.74,0.6463,0.2421,0.0,3.2919,0.7896,0.6328,0.0601,0.0
JOR_I,0.1097,0.0,0.1383,0.0065,0.0023,7.7614,1.2573,0.0944,1.4426,0.9008,2.5353,2.0293,1.3193,1.2961,0.504,1.5956,0.6276,1.0452,1.0828,0.5382,0.4731,1.1317,0.8078,0.3656,4.4089,24.4632,0.866,0.0256,2.5478,2.4239,0.1091,7.6298,1.1437,2.6173,0.6808,5.0653,0.7482,5.189,16.2844,5.5259,4.5596,3.1816,4.0754,6.8631,0.0
JOR_J58T60,0.3719,0.0004,0.1454,0.1035,0.0092,8.1757,0.9102,0.0167,1.5542,1.1846,2.0256,1.955,0.617,0.8442,0.0949,0.3727,0.2603,0.5625,0.3576,0.2119,0.2172,0.4201,0.6377,1.1583,1.904,20.4255,0.1678,0.0197,1.2379,1.4681,0.1281,3.1744,8.2864,5.8458,0.8478,7.0051,1.3582,2.8036,2.3919,8.4169,6.7494,4.0853,2.2899,1.5669,0.0
JOR_J61,1.8997,0.0012,0.295,0.0867,0.0152,27.9193,5.2947,0.284,5.6714,2.6027,7.7261,6.031,3.3783,4.2877,0.6186,2.4557,1.3891,2.4366,2.5087,0.9839,0.8448,2.1005,3.8835,8.5352,14.2832,99.901,1.887,0.0554,8.3384,10.7605,1.6067,16.5543,2.0026,39.1298,1.3972,48.1195,8.8583,7.7943,10.9133,44.3146,13.2554,29.3973,4.8941,10.6971,0.0
JOR_J62_63,0.4916,0.0,0.0903,0.0061,0.0008,7.2617,1.7994,0.0343,1.6187,0.8731,2.7997,2.6744,0.863,1.1997,0.1996,0.7483,0.5979,0.8273,0.7118,0.4811,0.3981,0.4546,1.6166,2.9624,3.2575,34.442,0.534,0.0055,2.9758,3.3209,0.4133,2.3654,1.778,6.0847,3.4512,24.2328,2.1654,3.5626,3.4588,15.6567,5.0728,9.5993,1.8384,3.3795,0.0
JOR_K,13.2205,0.0179,9.7947,5.2878,0.6331,44.7901,8.3428,0.3361,7.3014,83.484,26.7202,35.8194,6.7748,6.4963,3.0886,7.646,3.2394,8.6751,6.3675,4.3202,2.9939,5.3324,120.0041,8.8794,75.5489,261.4171,10.0464,0.3171,36.5935,10.533,1.5551,32.9969,8.6973,39.4087,7.063,75.0525,112.2028,8.1448,11.1776,199.584,22.9767,25.7853,32.4329,68.7182,0.0
JOR_L,4.7738,0.0023,0.0826,0.0094,0.0014,16.0517,8.1345,0.7337,3.175,0.2575,3.1428,1.3439,0.935,1.9802,0.4058,1.5765,0.9736,2.3475,2.2366,1.0816,1.3468,2.8308,0.0851,3.3356,2.5629,241.3288,0.3886,0.0058,2.2152,3.1992,0.1534,12.8201,2.5401,11.8601,1.9205,14.8852,1.8264,8.9377,7.143,10.2371,14.8314,9.5996,8.9804,33.6471,0.0
JOR_M,0.4345,0.0,0.1385,0.0941,0.0178,26.9018,1.1067,0.0102,3.7231,1.319,4.8514,7.6946,1.3584,1.4464,0.2524,0.8525,0.5735,1.332,1.0532,0.6894,0.583,0.7465,0.7497,9.868,11.269,57.1288,0.4706,0.2094,6.4423,2.4765,0.2236,5.5404,12.4066,32.4591,7.1838,32.9028,12.1728,3.6354,4.08,36.6993,9.6259,8.8985,3.3363,0.6648,0.0
JOR_N,0.4239,0.0,3.7996,2.3654,0.451,18.4445,9.2972,0.0153,6.0268,25.0491,18.9175,16.5081,6.4526,3.2828,0.5588,2.148,1.3025,3.0696,2.331,1.3937,1.3672,2.0297,5.977,7.364,6.6711,18.4946,7.049,0.6558,35.715,6.9202,0.6249,3.0258,0.639,2.047,0.4292,17.1133,5.6452,0.5091,0.2905,29.7276,10.8018,2.2373,1.2168,0.0813,0.0
JOR_O,1.5348,0.0012,0.3417,0.3328,0.0452,9.5567,1.182,0.3394,0.9511,1.1774,3.1049,2.0541,1.0088,1.4981,0.8892,1.2596,0.2115,0.5562,0.5616,0.2633,0.339,0.4194,0.7653,2.3137,5.6587,8.8796,1.2422,1.7337,0.0,0.1915,0.0,0.9207,0.3291,1.122,0.2045,1.8044,0.4192,0.2245,0.0442,142.5487,0.7245,0.0089,0.0379,0.0538,0.0
JOR_P,0.173,0.0001,0.0086,0.0083,0.0014,0.8833,0.4601,0.1403,0.0957,0.0,0.3735,0.1676,0.0629,0.125,0.1248,0.1487,0.0651,0.1787,0.1515,0.0735,0.0824,0.1127,0.0091,0.3932,0.173,14.64,0.0468,0.0096,3.4434,0.7534,0.0106,0.6261,1.4302,4.4663,1.3076,1.3936,0.1987,0.4304,9.9735,32.5357,18.9003,14.1628,0.582,1.615,0.0
JOR_Q,0.4219,0.0023,1.0126,1.0247,0.3097,2.9151,2.2976,0.0118,0.7484,2.3498,3.9981,0.3538,0.3738,0.199,0.1669,0.4233,0.2339,0.5209,0.3457,0.2314,0.5266,0.475,0.0535,0.0746,0.8236,7.8021,0.2248,0.0013,0.1563,0.1077,0.003,0.6894,0.101,0.2403,0.0571,2.1881,0.0318,0.2972,0.3032,0.3049,7.7716,1.2287,6.7378,1.1959,0.0
JOR_R,0.0008,0.0015,0.0066,0.0014,0.0002,0.0217,0.0323,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0075,0.0151,0.0162,0.05,0.0274,0.0267,0.0237,0.0382,0.0,0.1382,0.0,0.9252,0.0,0.0269,0.1342,0.0474,0.0114,0.3183,0.0681,0.0425,0.0108,0.9463,0.0083,0.123,0.0844,3.2224,1.5145,0.0915,0.4149,0.0921,0.0
JOR_S,0.2815,0.0016,0.047,0.0094,0.0014,3.0424,0.4583,0.0002,0.841,0.0294,1.437,0.7013,0.6024,0.9319,0.1335,0.2327,0.2626,0.4825,0.3985,0.1927,0.2044,0.4496,0.3637,0.5425,2.0581,8.8014,0.7409,0.0266,0.5826,0.1532,0.0369,0.9433,0.6592,1.7052,0.3573,2.1728,0.89,0.2924,1.0224,6.8052,2.4579,2.2337,0.4986,0.4913,0.0
JOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
