V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_C30,0.0043,0.0,0.0,0.0,0.0,0.0024,0.0001,0.0,0.0003,0.0,0.0001,0.0001,0.0,0.0,0.0014,0.0,0.0,0.0001,0.0,0.0024,0.0375,0.0026,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI_C31T33,45.3264,1.0509,0.1155,3.5525,0.0063,86.0771,5.8071,2.5669,15.0174,2.0499,14.198,2.7107,9.5753,16.7297,5.1974,5.3393,1.624,7.1034,0.5015,0.2248,0.0406,145.893,16.3493,13.7378,64.9281,38.3989,2.1025,2.8256,0.9784,8.6011,0.6865,27.6817,3.5452,6.223,0.5897,20.173,10.3332,25.3776,14.325,11.1848,11.0334,98.5831,2.6497,11.475,0.0
CRI_D,55.2248,2.7403,0.1776,10.3452,0.0055,137.2033,10.9244,2.8191,22.5532,3.9077,14.1899,2.9027,21.3577,29.3564,11.1345,7.6908,3.1836,10.6241,0.7477,1.3413,0.2368,41.8286,13.4367,29.3521,30.4876,94.3115,7.7337,4.1755,1.4562,12.303,0.9683,136.3115,3.7805,31.6474,4.0757,17.0627,18.1895,27.9162,17.7291,20.3078,27.1674,42.1159,6.258,30.4153,0.0
CRI_E,39.8792,0.5876,0.0067,0.1824,0.0003,30.6158,1.5186,0.3363,3.8074,0.7432,9.9397,0.3633,1.1861,1.2826,9.7017,1.0551,1.279,1.3216,0.0933,0.0745,0.0178,6.6835,3.408,27.3574,23.9309,19.8663,1.3125,1.5772,0.3107,1.6646,0.3393,35.1159,0.4983,1.0633,0.1905,7.9124,9.048,4.078,3.8595,20.4626,6.7346,15.7792,1.4481,10.6,0.0
CRI_F,10.2964,0.117,0.0134,0.6171,0.0009,34.6905,1.8981,0.8538,8.5088,1.21,4.8248,0.9117,3.0094,4.524,1.6887,1.0843,0.6283,2.7745,0.1959,0.1541,0.0428,12.4199,8.3987,13.7277,813.4855,45.304,5.9923,4.0054,1.1105,13.4202,1.0709,60.2819,1.9493,47.8318,2.5279,16.6249,153.0816,39.6909,15.3076,18.4625,47.1437,27.1969,1.6286,75.7169,0.0
CRI_G,439.8556,5.7202,0.486,24.8738,0.03,530.6113,23.356,10.4045,63.9458,24.4314,118.8119,12.1773,34.9069,38.1632,12.8199,11.9339,8.1798,23.3525,1.6449,2.3305,0.4415,143.9176,35.776,38.9462,376.5962,394.0632,169.4833,166.4093,45.7727,13.7748,4.4604,186.1361,8.4392,14.5753,5.34,9.5287,30.6595,84.1819,73.439,32.9227,35.1076,96.3092,12.7768,39.9738,0.0
CRI_H49,26.3704,0.8204,0.0572,3.0474,0.0024,57.5328,2.28,0.7952,10.164,3.4967,16.3304,1.8167,4.5912,7.3825,3.2623,2.2056,0.8493,4.5279,0.318,0.4145,0.0649,40.2681,4.414,6.6585,50.3633,47.8156,47.9604,29.8084,8.1962,4.3425,3.1731,30.178,2.6105,4.1528,2.4636,27.7705,3.3863,34.4011,40.5138,7.2065,12.28,7.8427,2.3586,7.4937,0.0
CRI_H50,31.4034,0.5543,0.0571,4.0474,0.0044,50.1716,2.8625,1.493,9.7264,3.3921,11.8324,0.9944,4.8149,14.4519,3.6501,4.1113,1.0408,6.0926,0.4275,0.4787,0.1026,24.4278,0.4795,1.3413,28.0841,63.0251,2.9901,15.2479,0.8992,18.0527,21.5073,6.9295,1.224,0.7819,0.4107,0.2557,2.0659,7.3381,3.2912,1.1,4.705,5.6387,1.0288,6.3676,0.0
CRI_H51,1.6723,0.0361,0.0138,0.0158,0.0027,1.0657,0.1638,0.0611,0.5269,0.183,0.3874,0.0156,0.1994,0.1376,0.1964,0.1445,0.0573,0.1291,0.0091,0.0098,0.0011,0.5143,0.0166,0.0673,4.2469,0.0428,0.1218,0.0547,0.0147,0.0136,0.0131,0.3336,0.0194,0.0134,0.0119,0.0267,0.3305,0.0677,0.0508,0.0155,0.0152,0.2767,0.0041,0.1299,0.0
CRI_H52,30.9388,0.2001,0.0047,0.196,0.0003,42.2846,1.6548,0.3438,8.891,2.3728,6.6868,0.6675,2.6014,4.3702,1.8544,3.8247,0.5109,2.3457,0.1656,0.4283,0.0695,25.4188,1.6813,0.5712,29.591,98.7935,14.9626,36.5274,7.8068,53.3991,9.8193,5.163,0.6609,26.9328,0.8297,2.6655,4.2309,17.2237,29.9858,1.4212,4.5996,6.5404,1.282,2.1642,0.0
CRI_H53,0.9767,0.0197,0.0046,0.1927,0.0004,3.0293,0.1373,0.0552,2.098,0.1285,1.142,0.3017,0.4234,0.4308,0.1662,0.2372,0.0652,0.2412,0.017,0.0158,0.0028,2.6957,0.2889,0.2856,2.8395,8.1495,0.574,1.1276,0.2488,1.9967,7.1372,2.1397,0.2903,2.8955,0.6653,15.2214,3.3437,5.8795,3.2522,1.4258,0.9135,2.5917,0.1081,0.861,0.0
CRI_I,2.7683,0.0235,0.0043,0.1483,0.0005,18.5958,0.727,0.5168,1.4295,0.9516,6.9619,1.4021,2.0374,1.8964,0.9699,0.6715,0.4204,1.281,0.0904,0.1932,0.0458,8.1251,4.3549,3.3618,22.3628,44.563,6.6599,5.5837,5.58,5.2259,0.6973,25.1208,1.1273,9.0557,3.0447,5.495,10.2107,37.4152,34.4808,11.23,16.3492,17.155,5.3783,19.863,0.0
CRI_J58T60,0.9694,0.0053,0.0004,0.0151,0.0,3.9207,0.0914,0.0126,0.5916,0.1399,1.0466,0.4595,0.124,0.1395,0.0771,0.0339,0.0176,0.179,0.0125,0.0041,0.0009,2.5059,0.0975,0.1204,3.1947,8.0075,0.2269,0.2376,0.1158,0.1755,0.0642,2.2686,1.8209,1.2831,0.1111,1.217,0.8796,10.354,1.3779,1.2388,3.7282,2.7395,0.2387,2.3473,0.0
CRI_J61,53.2816,0.3803,0.0164,0.6294,0.0015,9.4236,1.3548,0.6829,1.5441,0.4162,1.8978,0.2503,0.6649,1.3103,0.6292,1.1747,0.2773,0.6923,0.0489,0.1119,0.024,8.8339,4.5149,1.7338,11.4121,46.3222,5.9414,4.9677,1.5901,2.7128,1.1326,17.8849,3.2405,92.1955,5.6482,17.9431,13.7312,25.4422,23.4425,15.3525,15.4872,15.1316,3.5063,13.838,0.0
CRI_J62_63,1.1001,0.1152,0.0003,0.0127,0.0,26.7769,0.373,0.401,2.0338,0.5624,4.6215,2.3607,1.824,3.5065,2.4963,0.961,2.0836,1.0853,0.0766,0.0683,0.0159,53.745,11.5893,4.3412,75.0961,50.4176,5.4961,6.2063,3.3868,12.5689,2.0113,8.8174,4.3302,103.0417,66.711,52.7427,2.349,106.6418,55.9004,20.1147,11.7026,11.922,16.1222,8.3384,0.0
CRI_K,57.7956,2.9448,0.1035,6.9807,0.0081,124.8715,3.465,2.6806,14.6121,4.9434,19.8716,10.2534,10.1198,14.5229,7.7473,7.5671,4.3905,6.988,0.4913,0.7514,0.1674,35.2801,93.6379,25.5222,70.1479,304.8354,19.796,22.2583,5.5452,43.6629,9.5654,118.5132,7.1998,102.5408,19.1768,1225.1572,273.756,114.608,106.1167,140.3567,65.8763,94.1874,12.5889,38.9614,0.0
CRI_L,23.6558,0.0029,0.0502,3.5824,0.0062,72.9836,6.0078,1.1358,13.677,2.1429,14.9794,2.2417,4.8334,1.7723,3.6528,5.6289,1.6938,2.3237,0.1641,0.3497,0.0802,49.965,90.8175,3.4116,14.2887,307.8977,9.4029,7.3471,2.2499,18.3743,3.768,90.9432,8.868,18.7081,15.668,62.1479,75.6622,123.8279,56.7886,48.2973,45.0842,75.7588,6.8421,46.517,0.0
CRI_M,64.4637,1.6597,0.3775,11.986,0.0403,379.4582,5.6669,2.4817,17.5938,8.3917,47.6403,21.1659,12.6452,25.3693,6.1703,10.0846,3.1943,10.6822,0.7542,0.8577,0.1751,150.5947,33.92,21.1635,550.4124,426.1889,30.3287,32.8815,11.3594,37.8651,7.9962,132.8667,15.2896,71.3081,31.3467,164.6912,167.3016,519.6217,96.3265,109.7861,55.65,56.258,17.2159,62.9808,0.0
CRI_N,38.8693,3.8976,0.1094,8.505,0.0105,180.4405,3.2837,2.8855,15.0587,7.1321,33.3595,13.159,11.5681,30.8256,5.9116,10.9424,6.1203,7.3878,0.5216,0.5474,0.1236,174.8721,47.1686,35.4384,113.3696,303.3614,51.1316,70.9991,23.3681,51.6864,6.1782,147.7003,8.2193,146.1017,29.5308,339.3488,149.3133,133.4417,147.7267,112.8908,85.8423,83.5128,9.0722,42.6014,0.0
CRI_O,2.2891,0.0884,0.003,0.1923,0.0003,6.9761,0.1764,0.1038,0.6664,0.2026,1.0031,0.3435,0.3294,0.4547,0.5367,0.2772,0.1623,0.2227,0.0157,0.0232,0.0049,2.4596,1.9536,1.5925,4.0432,11.3126,0.7419,1.1319,0.3115,1.888,0.313,3.4554,0.3565,3.0655,0.4947,7.377,3.6562,5.0508,2.9864,3.3585,2.0754,2.7965,0.4147,1.8719,0.0
CRI_P,2.2144,0.0398,0.0032,0.1166,0.0003,11.5875,0.2087,0.1754,1.1737,0.2225,1.4893,0.3442,0.5166,1.6198,0.3541,2.3949,0.2602,1.1624,0.0821,0.0163,0.0036,9.2262,1.9928,0.9967,7.5228,16.253,0.8233,0.9189,0.5106,1.1708,0.485,4.7376,0.5057,3.1801,1.559,8.8298,2.5607,14.2923,7.5776,10.0579,36.5226,10.7299,1.1036,14.2815,0.0
CRI_Q,0.1994,0.103,0.0004,0.0122,0.0,0.1069,0.2979,0.0,0.0714,0.0,0.0122,0.0047,0.0227,0.0006,0.0598,0.0079,0.0035,0.0823,0.0059,0.0043,0.0014,0.1888,0.0245,0.1454,0.2281,0.1486,0.2032,0.1789,0.0399,0.6658,0.0039,0.9519,0.0061,0.0182,0.0355,0.0391,0.1652,3.8099,1.0243,0.0022,0.4148,53.0739,0.6134,2.7588,0.0
CRI_R,0.1525,0.0007,0.0007,0.0329,0.0001,0.4395,0.0304,0.0056,0.0647,0.0042,0.0788,0.2702,0.007,0.0152,0.0206,0.006,0.0055,0.0195,0.0014,0.0004,0.0001,0.131,0.0708,0.1031,0.3646,1.0509,0.0328,0.0367,0.0208,0.0265,0.0036,8.8148,0.537,1.0703,0.0781,0.3834,0.2091,1.8534,0.4534,0.0613,1.6056,0.3337,13.3289,2.4928,0.0
CRI_S,4.5066,0.0303,0.0082,0.3159,0.0006,15.4074,1.0449,0.2712,2.8568,0.4132,3.634,0.9416,1.3928,2.5772,0.8198,0.5756,0.1123,0.8329,0.0588,0.107,0.0224,7.8125,6.4998,2.7753,17.4529,41.987,1.8067,2.3983,0.6045,4.7495,0.3541,23.9101,2.9474,6.8165,3.5892,37.9711,19.8774,26.7282,12.8428,17.2351,13.8039,22.0287,1.7743,60.7648,0.0
CRI_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
