V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_C23,0.0482,0.0002,0,0.2818,0.0567,12.7167,0.0004,0.0088,0.0001,0.0121,1.1981,0.2331,1.3813,1.1263,0.071,0.1739,0.0,0.0001,0.0015,0.2834,0.2364,0.4289,1.2539,0.6232,12.1166,2.9165,0.5449,0.1171,0.1506,0.2466,0.0001,0.2416,0.0466,0.0008,0.0337,0.0,0.3032,0.1175,0.0877,0.0766,0.0225,0.0033,0.0597,0.167,0
KHM_C24,0.0004,0.0,0,0.0,0.0,0.5355,0.0609,0.0064,0.0652,0.0362,0.0114,0.0006,0.0353,0.0174,7.2267,7.5056,0.0,0.0,0.0024,0.0836,0.0865,0.3237,0.1875,0.2862,30.8492,0.4695,0.9898,0.1931,0.2817,0.3158,0.0001,0.1871,0.0346,0.001,0.0,0.0,0.0,0.0,0.0047,0.0041,0.0009,0.055,0.0228,0.0499,0
KHM_C25,0.0051,0.0,0,0.0,0.0,2.7371,0.3989,0.0454,0.3399,0.2064,0.0496,0.005,0.218,0.1516,2.9112,20.5409,0.0,0.0002,0.0223,1.3299,1.6714,4.7421,1.7202,1.5189,102.1791,3.7995,6.5248,1.4333,0.9075,3.2505,0.0012,0.9994,0.2269,0.0078,0.0,0.0,0.0001,0.0084,0.4702,0.8683,0.028,0.3235,0.1683,0.2957,0
KHM_C26,0.0007,0.0,0,0.0002,0.0001,0.0012,0.0003,0.0004,0.0002,0.0035,0.0003,0.0001,0.0001,0.0,0.0002,0.0015,0.0,0.0,0.0011,0.0008,0.0013,0.0065,0.0045,0.0035,0.0072,0.0143,0.003,0.0006,0.0011,0.0017,0.0006,0.0092,0.0034,0.0173,0.0006,0.0014,0.0001,0.0005,0.0005,0.0069,0.0019,0.003,0.0016,0.006,0
KHM_C27,0.0014,0.0,0,0.0005,0.0001,0.0019,0.0004,0.0009,0.0002,0.0086,0.0004,0.0001,0.0002,0.0001,0.0011,0.003,0.0,0.0001,0.003,0.0023,0.0026,0.0138,0.0104,0.0054,0.0441,0.02,0.0064,0.001,0.0008,0.0021,0.0005,0.0165,0.0031,0.0117,0.0003,0.0009,0.0001,0.0005,0.0005,0.0052,0.0013,0.0019,0.0017,0.0064,0
KHM_C28,0.0,0.0,0,0.0,0.0,0.0054,0.0007,0.0001,0.0004,0.0134,0.0001,0.0,0.0004,0.0003,0.0045,0.0175,0.0,0.0,0.0213,0.0008,0.0011,0.0093,0.5416,0.3193,0.2894,1.4901,0.4541,0.1369,0.1366,0.2036,0.0,0.0018,0.0541,0.0001,0.0013,0.0,0.0,0.0035,0.0343,0.0013,0.0,0.002,0.0578,0.0764,0
KHM_C29,0.305,0.0501,0,0.1581,0.0179,0.0026,0.0003,0.0,0.0002,0.0495,0.0,0.0,0.0002,0.0001,0.001,0.0037,0.0,0.0,0.0017,0.3518,0.0654,0.0093,1.2386,0.6592,0.5032,0.0035,2.2508,0.0561,0.1407,0.2524,0.1694,0.055,0.0838,0.2847,0.2044,0.0,0.2771,0.4306,0.506,0.0006,0.0,0.0001,0.1213,0.1988,0
KHM_C30,0.384,0.154,0,0.3255,0.0484,0.0024,0.0005,0.0001,0.0003,0.0978,0.0001,0.0,0.0002,0.0002,0.0004,0.002,0.0,0.0,0.0012,0.5387,2.0228,0.063,1.5753,0.4992,0.6913,0.0039,2.7347,0.6438,2.8895,0.3851,0.182,0.0796,0.1668,0.2366,0.3785,0.0,0.3556,0.785,0.6553,0.0021,0.0,0.0002,0.1781,0.1938,0
KHM_C31T33,8.0503,6.4688,0,0.6371,0.1056,2.2058,0.3772,0.1356,0.1464,3.7555,0.1055,0.0212,0.1589,0.2319,0.2949,1.0027,0.0011,0.0018,0.0102,0.0629,0.1778,2.5266,2.4418,2.2313,15.0396,9.5869,5.9874,1.383,2.9324,1.9857,1.8009,5.941,0.6856,5.5129,0.078,0.3704,0.2597,0.1818,0.635,2.2348,1.7524,0.325,1.9467,1.6454,0
KHM_D,5.447,0.1693,0,0.099,0.0077,13.5276,1.3394,0.1488,1.4839,0.1626,0.6989,0.053,0.9605,0.3056,0.1797,0.2334,0.0003,0.0009,0.0128,0.0126,0.0152,0.2729,21.4652,4.1598,3.9568,2.653,2.1755,0.1353,0.2477,0.9526,0.553,5.1042,1.3775,6.3924,2.7518,1.5073,54.6857,5.9557,2.0863,15.0223,2.7711,1.7487,1.5604,1.6604,0
KHM_E,4.2302,0.1349,0,0.126,0.0281,4.7591,0.2399,0.0367,0.2278,0.0282,0.1046,0.0114,0.1911,0.4306,0.3096,0.2526,0.0003,0.001,0.0236,0.0498,0.1039,0.4838,3.2265,8.4097,6.9991,5.5224,3.9303,0.7531,1.1085,1.8493,1.0974,10.3199,0.4165,4.7104,0.3504,0.4176,14.4921,0.8963,0.7445,4.2362,1.2666,0.4141,0.47,1.8499,0
KHM_F,2.2053,0.0006,0,9.673,2.0156,0.0021,0.0005,0.0007,0.0003,0.1046,0.0001,0.0,0.0,0.0009,0.0005,0.0013,0.0,0.0,0.0002,0.0005,0.0009,0.0238,116.8812,35.7494,271.8756,0.005,41.911,4.7649,6.0948,21.724,0.0001,4.7644,3.7846,0.0009,0.0019,0.0006,0.0036,0.026,1.9905,0.0043,0.0018,0.6802,6.0256,8.3638,0
KHM_G,96.2364,7.1275,0,1.9265,0.3906,104.55,234.6809,9.0485,8.4628,6.18,3.7094,0.7882,14.8786,1.9632,3.9115,9.358,0.0074,0.0117,0.4645,1.9782,1.9424,7.9583,17.9656,11.8011,78.505,60.9236,35.2739,3.1129,4.8235,6.0372,2.9582,75.7475,4.7852,10.3375,4.1231,1.007,8.2595,9.2759,6.9789,12.4475,4.3381,9.9919,3.9212,6.2444,0
KHM_H49,21.267,1.3248,0,0.3706,0.0491,36.8812,25.3059,1.8545,1.426,1.2614,0.9351,0.1458,3.0696,1.1427,1.329,2.8096,0.0016,0.0025,0.1071,0.2925,0.332,1.5311,6.1867,3.9257,39.9975,65.8447,14.7056,1.6008,1.7321,3.5102,1.8593,50.8193,1.5501,3.9663,3.3256,2.654,19.64,7.2634,4.0838,14.2647,4.3378,2.2233,1.3394,2.333,0
KHM_H50,0.1483,0.0712,0,0.0107,0.0015,0.0515,5.68,0.0496,0.0908,0.3539,0.0834,0.0328,0.3562,0.0033,0.0239,0.1208,0.0008,0.001,0.0392,0.0613,0.0609,0.4126,0.2854,0.1366,1.1207,0.043,0.016,0.0114,0.0179,0.0136,0.0202,0.0323,0.0532,0.2468,0.0144,0.0393,0.0247,0.0764,0.0566,0.0147,0.0192,0.5399,0.0612,0.1377,0
KHM_H51,0.6394,0.0729,0,0.0135,0.0013,0.0162,3.2124,0.0519,0.0725,0.2893,0.0547,0.0127,0.2207,0.0219,0.0435,0.0799,0.0004,0.0006,0.0214,0.0323,0.03,0.2235,0.0898,0.0793,0.362,0.0162,0.0114,0.0063,0.0037,0.0054,0.0058,0.0084,0.0075,0.0603,0.0035,0.0098,0.0064,0.0204,0.0163,0.0037,0.0049,0.1574,0.0222,0.0709,0
KHM_H52,8.2913,0.3216,0,0.1159,0.0147,18.6411,5.3319,0.527,0.4495,0.2346,0.3098,0.0437,0.9281,0.4395,0.4726,1.0505,0.0002,0.0004,0.0193,0.0777,0.0909,0.2929,2.3137,1.7032,16.4084,55.8821,15.4429,6.6534,7.5559,9.1664,1.2229,22.5996,0.6032,2.0883,1.7476,1.1321,11.9494,3.0751,2.9849,6.8077,0.9725,0.5376,0.385,0.7199,0
KHM_H53,2.542,0.0072,0,0.2964,0.0732,3.2139,0.1565,0.0924,0.179,0.0057,0.2092,0.0448,0.1824,0.0463,0.0213,0.0792,0.0,0.0,0.0035,0.0243,0.0386,0.0222,0.2723,0.3081,1.3281,7.7445,2.1249,0.3646,0.4777,1.3468,2.6843,2.4091,0.4754,3.3893,0.3296,1.5763,8.9407,0.6836,0.5481,1.9356,0.8828,0.2294,0.1831,0.3467,0
KHM_I,9.5161,0.0256,0,0.822,0.3966,80.4525,5.4651,0.616,0.5777,0.4875,1.6759,0.3904,3.8623,0.5063,0.7718,2.3839,0.0001,0.0002,0.0167,0.1674,0.2917,0.3598,5.1551,2.9876,35.2305,149.3538,50.4132,6.2949,39.9708,12.8557,1.1479,127.617,2.9337,5.9318,9.6951,11.6197,36.1164,16.5434,22.2452,25.859,7.451,18.1709,1.5211,3.4697,0
KHM_J58T60,1.4885,0.006,0,0.1584,0.0021,3.8301,0.2436,0.0124,0.2012,0.014,0.0548,0.012,0.0611,0.1524,0.0658,0.2022,0.0,0.0001,0.0145,0.0341,0.0725,0.0735,1.0415,0.2276,1.4261,1.42,1.8867,0.3789,0.9309,0.9277,0.3094,5.307,6.2342,5.8851,0.4057,0.3269,3.8353,1.2053,0.721,2.0704,1.2456,0.1209,0.4981,0.2539,0
KHM_J61,11.3124,0.032,0,1.3341,0.3631,11.6898,0.5694,0.3745,0.5491,0.0187,0.6853,0.1306,0.6515,0.1885,0.0774,0.3124,0.0,0.0,0.0131,0.0829,0.1293,0.0835,0.9681,0.9545,6.8051,22.8679,11.7428,1.5753,2.4538,4.5793,0.3079,13.5166,1.9473,14.061,2.0117,5.1951,38.3497,2.7792,2.0897,5.6776,3.3147,1.1757,0.6888,1.0823,0
KHM_J62_63,2.4371,0.0042,0,0.2373,0.0479,5.2994,0.9664,0.0511,0.2678,0.2059,0.069,0.0137,0.2214,0.1229,0.0522,0.1317,0.0,0.0,0.007,0.0351,0.0625,0.0826,0.4374,1.2418,2.7899,11.9288,2.4347,0.418,1.372,1.2044,1.2449,8.0147,2.3439,13.1238,6.9195,4.2503,9.4548,2.76,1.093,10.2282,2.8416,0.5165,1.245,1.4029,0
KHM_K,0.935,0.0044,0,0.7903,0.1175,10.1335,2.0417,0.11,0.1187,0.3178,2.3108,0.3355,0.2549,0.0751,0.1567,0.3686,0.0004,0.0008,0.0918,0.0266,0.0306,0.2906,1.9158,0.8398,5.2928,21.0487,5.3911,1.1853,1.5054,1.8505,0.1626,5.4955,0.3461,0.9672,0.4125,10.5528,53.3297,0.9679,0.7408,1.3285,1.7836,0.7524,0.367,0.6521,0
KHM_L,0.0223,0.0,0,0.0274,0.0064,0.1593,0.0102,0.046,0.0023,0.007,0.0026,0.0005,0.0064,0.0022,0.0008,0.0032,0.0,0.0,0.0,0.0008,0.0011,0.0021,0.0083,0.0054,0.0178,0.3233,0.1122,0.0126,0.0229,0.0691,0.0039,0.2256,0.0055,0.0325,0.0392,0.0685,0.8041,0.1046,0.0445,0.1928,0.0996,0.0168,0.0039,0.0055,0
KHM_M,7.4172,0.0132,0,0.5492,0.1489,10.0172,1.2544,0.1026,0.5283,0.4438,0.2048,0.0688,0.5345,0.2536,0.093,0.2571,0.0,0.0001,0.017,0.0947,0.1373,0.1327,0.7422,3.132,8.3385,24.1668,3.6656,0.7661,1.198,1.6293,0.9092,13.9744,3.1085,10.0644,3.4187,3.7634,43.3854,14.7679,2.6484,12.9617,3.5703,1.2526,2.4962,3.4711,0
KHM_N,4.2296,0.0073,0,0.221,0.0485,5.9323,0.9327,0.0805,0.2751,0.1441,0.0843,0.0189,0.3124,0.1443,0.0815,0.2632,0.0,0.0,0.0068,0.0366,0.0572,0.1112,0.7818,2.0064,3.7922,12.825,4.3478,1.4339,2.7909,1.5937,1.1812,18.3006,1.6464,7.0973,2.4688,2.4812,28.2371,5.5361,5.0695,6.0929,2.3824,1.0445,1.7086,1.633,0
KHM_O,0.8276,0.001,0,0.361,0.0688,1.1694,0.0442,0.0047,0.0362,0.0001,0.0124,0.0027,0.0138,0.0114,0.0149,0.0292,0.0,0.0,0.0,0.0007,0.0014,0.1026,1.3388,0.3842,0.0754,1.0744,0.8502,0.1457,0.2203,0.2866,0.0242,2.0549,0.1713,0.1198,0.4962,0.0366,3.2813,1.6302,0.4258,0.2447,1.5401,1.2591,0.143,0.1873,0
KHM_P,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0014,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907,0.0,0.1376,0.0,0.0,0.2643,0.0533,0.0,0.2549,0.5524,0.1209,0.2209,0
KHM_Q,0.0,0.0,0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0019,0.0009,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.1167,0.0,0.0085,0.0006,0.0001,0.0001,0.0003,0.0,0.0,0.0546,0.0,0.1667,0.0,0.0,0.4932,0.1756,0.0,1.3863,0.6749,0.1605,0.2848,0
KHM_R,2.1098,0.0113,0,0.0995,0.0201,2.3468,0.0657,0.0063,0.0295,0.0061,0.0171,0.0042,0.0319,0.0593,0.0104,0.0255,0.0,0.0,0.007,0.0177,0.0251,0.0091,0.4564,0.1907,0.6648,0.42,1.2059,0.8771,0.518,0.7635,0.3909,2.8855,1.0429,1.8733,0.171,0.2197,2.1478,0.5876,1.0819,1.0883,1.0733,0.1896,3.6222,0.5968,0
KHM_S,4.7349,0.0924,0,0.2504,0.066,4.481,0.2276,0.0308,0.0692,0.0305,0.0605,0.0115,0.085,0.2569,0.0323,0.0876,0.0,0.0001,0.0207,0.0554,0.0858,0.1442,2.8143,1.6791,2.2848,1.9762,4.7655,0.8916,1.4796,1.6596,0.8425,7.1548,0.8135,3.2928,0.3272,1.103,6.061,1.2508,1.0059,2.8886,1.5173,0.769,0.9424,3.0476,0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
