V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_C20,62.8378,0.5093,0.3914,3.6392,0.0718,9.4911,0.8498,0.0622,0.6917,1.8921,46.9679,1.2269,21.4439,17.6433,0.1002,0.2067,0.0008,0.0169,0.0482,0.0045,0.0142,0.2808,0.1154,2.3159,32.3128,1.3755,1.0127,0.0165,0.1889,1.8748,0.0034,1.328,0.0394,0.4314,0.048,0.4508,0.1658,1.9939,2.5235,1.1653,0.341,1.9917,0.0419,0.1407,0.0
SEN_C21,0.1431,0.0,0.0,0.0,0.0,0.1934,0.0,0.0,0.0,0.0,0.0,0.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.0,0.0062,0.0554,1.914,0.0028,0.0046,0.0
SEN_C22,2.7135,1.8981,0.0142,0.4594,0.0277,68.6277,2.6448,1.2997,0.3635,0.1488,5.5877,0.4909,12.2652,1.6956,0.2525,1.2613,0.0,0.0095,0.8834,0.0495,0.0818,2.5396,0.7629,2.1856,2.1859,4.9643,0.3305,0.0682,0.0655,0.9644,0.0041,0.3384,0.0245,3.6968,0.3823,0.5394,0.1238,2.716,1.1881,0.2728,0.3189,0.9327,0.019,0.0489,0.0
SEN_C23,2.5678,0.9492,0.0079,0.2112,0.0076,9.7976,3.4644,0.865,0.3363,0.0125,6.0612,1.5649,0.7773,48.5897,0.4274,0.8537,0.0042,0.0721,0.048,0.0107,0.1074,0.4373,0.7537,3.8446,294.8656,4.0347,0.1482,0.0027,0.0138,0.7072,0.0084,1.6619,0.2414,2.2546,0.0133,2.4232,1.5273,1.9315,0.5727,2.8282,0.664,1.401,0.1136,0.1234,0.0
SEN_C24,0.0,0.0,0.0053,0.1297,0.0,0.5993,0.0002,0.0606,0.0,0.0,0.0,0.1824,0.0023,0.4863,3.2819,7.8795,0.0,0.922,0.008,0.0039,0.0351,0.0639,0.0,0.0017,9.2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0068,0.0,0.0,0.003,0.0036,0.0119,0.0
SEN_C25,0.0,0.0,0.0657,1.6571,0.0,9.5244,0.0022,0.9379,0.0,0.0,0.0,0.989,0.0168,3.239,2.1209,16.3423,0.0,0.0,0.0428,0.0229,2.2557,0.4244,0.0,0.013,84.6426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193,0.0,0.1184,0.0,0.0,0.0726,0.0979,0.2006,0.0
SEN_C26,0.0176,0.0068,0.0011,0.0149,0.0003,0.0831,0.0091,0.0032,0.0433,0.0008,0.0214,0.0018,0.002,0.0178,0.0013,0.004,0.0101,0.1096,0.0112,0.0001,0.0011,0.0043,0.0264,0.0242,0.0744,0.0147,0.019,0.0026,0.0085,0.015,0.0001,0.0201,0.0009,0.3708,0.0095,0.0287,0.0032,0.0529,0.0859,0.0644,0.012,0.0254,0.0006,0.0013,0.0
SEN_C27,0.0153,0.2414,0.0454,1.1484,0.0067,0.9865,0.07,0.0303,0.0682,0.0008,0.924,0.0205,0.0898,0.4605,0.0288,0.0966,0.0059,0.0302,0.0465,0.0082,0.0043,0.0754,0.7501,0.2818,6.0335,0.5118,0.8239,0.165,0.6453,0.5208,0.0039,0.4223,0.0221,3.3221,0.0345,0.0188,0.1071,1.7438,0.8482,0.0385,0.104,0.3612,0.0428,0.1019,0.0
SEN_C28,0.228,0.0575,0.0279,0.8939,0.0057,0.3085,0.0176,0.0128,0.0213,0.1519,0.201,0.006,0.0205,0.3663,0.0056,0.0221,0.0,0.0075,0.0946,0.0021,0.0008,0.022,0.243,0.075,1.0418,0.1186,0.1915,0.0379,0.1473,0.1222,0.0009,0.0968,0.0054,0.7264,0.0122,0.0174,0.0285,0.4683,0.1685,0.0302,0.0376,0.103,0.0029,0.0062,0.0
SEN_C29,0.0192,0.0086,0.0024,0.0672,0.0005,0.0357,0.0022,0.001,0.0023,0.0386,0.0264,0.0008,0.0031,0.0313,0.0008,0.0037,0.0,0.0012,0.0001,0.0011,0.0003,0.0058,0.026,0.0096,0.1813,0.0175,0.0338,0.0059,0.0231,0.0186,0.0001,0.0143,0.0007,0.0149,0.0012,0.0004,0.0043,0.061,0.0238,0.0011,0.0073,0.0247,0.0007,0.0009,0.0
SEN_C30,0.0,0.4895,0.0,0.0,0.0,1.4744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_C31T33,0.2223,1.4887,0.0368,1.2806,0.0317,5.0578,1.0483,2.8475,0.4314,0.0063,0.7489,0.0994,0.2608,0.6068,0.1364,0.467,0.0014,0.0187,0.005,0.002,0.6532,5.013,1.7534,2.848,1.9836,1.0793,1.0695,0.0873,0.2911,3.8149,0.0116,0.7788,0.1218,0.6535,0.4827,2.4141,0.1329,16.532,1.056,12.5255,8.6742,3.1738,0.4625,0.6664,0.0
SEN_D,16.7955,6.2398,0.052,1.4169,0.0506,57.2766,22.6127,1.8442,2.2014,0.0824,24.7139,0.5945,5.0809,86.0426,1.0762,1.4172,0.0275,0.4729,0.3142,0.0699,0.7038,1.2381,4.9921,25.2008,2.8637,26.3892,0.9756,0.0205,0.0921,4.6833,0.0554,10.8838,1.5821,14.7458,0.0895,15.8543,3.0177,12.6555,3.7653,18.4885,4.3409,9.1621,0.7435,0.8072,0.0
SEN_E,20.2163,0.1245,0.0372,0.3579,0.006,4.9662,0.7256,0.1877,0.1157,0.5903,1.2059,0.0569,0.3081,2.4767,8.2724,9.4542,0.0,0.0675,0.0081,0.0027,0.0921,0.1701,1.6133,5.0105,5.8043,6.5872,1.0762,0.1273,0.0413,0.5909,0.0092,2.7187,0.1086,0.3372,0.0498,1.3036,0.9166,3.3784,0.5244,25.4409,3.3236,3.4092,0.2757,0.3551,0.0
SEN_F,0.1742,0.0299,0.183,1.2169,0.0586,2.3767,0.181,0.4548,0.2117,0.309,0.1717,0.0026,0.1087,7.3512,0.0125,0.0304,0.001,0.011,0.0132,0.0037,0.0087,0.2681,0.4008,0.0906,57.6888,2.7168,0.2456,0.002,0.0066,4.0176,0.0001,1.9529,0.0558,1.3805,0.0859,0.7332,7.1936,2.6355,0.9101,0.106,0.8326,1.8762,0.1134,0.1284,0.0
SEN_G,59.5464,16.4816,1.3316,27.3925,1.0502,256.8591,31.3462,7.684,8.5254,5.3655,19.3013,2.3191,5.167,29.6937,2.1797,5.5798,0.384,4.4459,1.4576,0.1204,2.2335,8.8454,49.4385,19.3221,85.2188,39.1387,51.8174,2.0147,3.6724,27.1829,0.2708,50.4519,3.0862,31.6052,2.8548,12.7642,4.9873,52.2622,20.1116,56.9319,16.4169,24.561,1.9722,3.167,0.0
SEN_H49,19.6797,1.5707,1.1027,12.3572,0.2255,36.958,4.987,3.0828,0.9806,0.8726,14.8035,1.2707,1.2396,8.642,1.091,2.8111,0.0519,0.3909,0.9655,0.0675,0.4102,1.5371,8.2699,2.0725,19.8741,79.6081,4.1911,0.3459,0.5071,16.2645,0.4381,8.199,0.4401,11.3845,1.397,2.0461,4.3552,15.4435,5.468,6.5322,4.4642,11.0693,0.4883,0.809,0.0
SEN_H50,0.2926,0.0484,0.0448,0.1863,0.0029,0.1402,0.1342,0.0344,0.0623,1.6134,0.1695,0.0169,0.0249,0.0459,0.0879,0.0279,0.0038,0.0443,0.0184,0.0011,0.0197,0.0457,0.5534,0.0561,0.621,0.1361,0.2509,0.0075,0.0463,0.0456,0.0451,0.1623,0.009,0.2721,0.0107,0.0312,0.0147,0.1351,0.0733,0.1169,0.0431,0.0763,0.0039,0.0066,0.0
SEN_H51,0.0439,0.0026,0.0098,0.0154,0.0094,0.0878,0.0194,0.0023,0.0037,0.1495,0.0103,0.0101,0.0028,0.014,0.0025,0.0071,0.0008,0.0012,0.0,0.0066,0.002,0.0104,0.025,0.0202,0.0442,0.0298,0.0055,0.0015,0.0101,0.0101,0.0098,0.0298,0.0193,0.0108,0.0098,0.0201,0.0195,0.0471,0.0302,0.0101,0.0103,0.0204,0.0162,0.023,0.0
SEN_H52,3.5683,5.9451,3.6149,15.7846,12.2293,63.6113,3.315,1.3545,2.8824,20.1613,7.3698,0.7242,1.9848,12.0532,0.4085,1.043,0.3251,0.3017,0.7214,0.1718,0.7284,4.1826,3.9261,10.5653,19.1358,161.4325,13.3554,1.1193,0.3167,169.3501,0.5031,1.7938,1.9066,11.5557,1.8013,0.6319,4.6548,40.7886,5.1439,2.1269,0.9234,3.0075,0.1671,0.311,0.0
SEN_H53,0.0106,0.0227,0.0108,0.0587,0.0047,0.3371,0.0218,0.1466,0.0573,0.2193,0.0785,0.0753,0.0556,0.0784,0.0024,0.0099,0.0,0.0,0.0333,0.0,0.0042,0.006,0.0,0.0,0.0,0.8912,0.0755,0.0079,0.0113,0.8933,0.601,1.6389,0.0036,0.4151,0.0637,1.077,0.0147,1.6447,0.1145,0.5008,0.1555,0.3166,0.0101,0.016,0.0
SEN_I,0.7041,0.1695,0.2177,1.6158,0.0649,3.2444,0.3155,0.0699,0.0949,0.8497,0.2751,0.0711,0.0524,0.2805,0.0187,0.0525,0.0034,0.0736,0.0129,0.0004,0.0259,0.1039,3.0442,0.2983,0.663,1.4788,2.5104,0.0796,0.1462,1.8178,0.0236,4.2244,0.0548,3.5079,0.2167,5.4191,0.1395,5.4547,1.3823,43.6818,6.8463,14.9757,0.6957,1.2418,0.0
SEN_J58T60,0.0111,0.0107,0.0063,0.0177,0.0057,3.5142,0.016,0.0021,0.0117,0.0005,0.054,0.0202,0.0054,0.0277,0.0013,0.0034,0.0001,0.0038,0.0016,0.0,0.0039,0.0094,0.0361,0.0144,0.0172,0.4835,0.0577,0.0009,0.0183,0.1262,0.0011,1.3867,4.9218,2.2135,0.1626,0.749,0.0371,29.1266,1.5713,0.0634,0.4148,0.0191,1.9692,1.6992,0.0
