V1,HKG_A01_02,HKG_A03,HKG_B05_06,HKG_B07_08,HKG_B09,HKG_C10T12,HKG_C13T15,HKG_C16,HKG_C17_18,HKG_C19,HKG_C20,HKG_C21,HKG_C22,HKG_C23,HKG_C24,HKG_C25,HKG_C26,HKG_C27,HKG_C28,HKG_C29,HKG_C30,HKG_C31T33,HKG_D,HKG_E,HKG_F,HKG_G,HKG_H49,HKG_H50,HKG_H51,HKG_H52,HKG_H53,HKG_I,HKG_J58T60,HKG_J61,HKG_J62_63,HKG_K,HKG_L,HKG_M,HKG_N,HKG_O,HKG_P,HKG_Q,HKG_R,HKG_S,HKG_T
HKG_C31T33,0.2222,0.0498,0,0,0.027,9.4551,1.8059,0.71,0.8651,0.0921,0.9243,0.209,0,0.3005,0.3508,0.5083,1.7041,0.5436,2.4081,0.7664,0.436,0.1363,7.6624,8.1725,16.7284,83.5655,15.9454,42.5613,61.162,0.2459,3.4464,6.9784,1.3177,18.657,0.7208,32.3888,20.3981,2.49,14.1006,14.482,5.234,9.4175,5.4998,6.3596,0.0
HKG_D,1.1209,0.2566,0,0,1.0531,86.9696,14.8102,8.0858,8.4483,1.6348,3.4929,0.4459,0,0.7471,0.8177,0.5535,1.7172,0.6219,4.0716,0.4054,0.2058,0.2118,202.1363,104.3205,46.5923,462.1388,89.1845,36.9832,48.2169,3.4592,15.6227,380.6323,30.6387,107.0356,5.9206,399.2003,946.763,26.3423,45.7874,169.3765,144.0945,141.0978,109.2718,154.881,0.0
HKG_E,0.5507,0.0861,0,0,0.0916,49.3564,15.7285,6.2106,7.1053,0.3389,2.5419,0.46,0,0.8455,0.8242,0.5628,2.158,0.7272,2.4816,0.777,0.3622,0.142,42.4079,304.1611,56.1874,1002.7834,45.1778,41.5143,38.723,1.2396,38.4387,119.4909,12.715,98.0792,7.9504,329.6729,881.8719,31.3634,98.2195,114.2809,69.5686,64.0932,49.6689,108.0913,0.0
HKG_F,0.785,0.1233,0,0,0.4569,18.836,4.6635,1.0997,1.1201,0.6598,2.0543,0.5869,0,6.6708,1.0497,1.3771,7.0575,2.5674,5.4373,2.1569,0.868,0.3645,7.7188,12.2901,6277.8012,165.1776,26.2734,27.7534,62.9237,0.6214,6.7247,19.9518,3.4057,27.3472,1.6085,59.7223,306.2296,6.9676,14.9593,418.8007,32.6045,25.5118,11.1831,20.438,0.0
HKG_G,151.1484,16.9867,0,0,548.968,7097.5591,2591.363,298.2125,409.5692,192.1861,1043.3295,335.6154,0,408.5668,278.702,342.4821,2167.3647,552.7343,1624.679,782.6975,426.8058,262.5792,1960.5145,1262.7878,4266.244,28310.508,2000.7575,3382.1873,4527.4904,42.1691,418.2299,3409.9856,522.3427,1606.6997,136.8414,4236.6878,1771.2344,472.0072,1330.1516,1089.5575,1417.1719,2482.4128,1200.3349,1561.5958,0.0
HKG_H49,0.8576,0.1411,0,0,1.6152,56.8595,25.8161,4.5807,4.1915,1.5368,4.0834,0.88,0,4.173,1.9411,2.4063,12.1202,3.8003,9.1155,5.832,1.5681,1.0232,6.907,26.1634,59.5622,784.258,629.9603,269.0967,30.1161,3.1063,44.4301,44.2639,7.5109,49.9497,9.5226,427.582,79.4418,31.5898,90.74,27.0597,27.0755,28.7965,18.5056,79.2575,0.0
HKG_H50,0.7066,0.1634,0,0,0.5377,59.7282,31.0692,4.9044,5.3726,2.4341,6.3959,1.4354,0,2.8557,4.4122,7.0263,34.7268,13.831,18.9459,6.6671,2.368,0.9234,6.8538,19.4226,49.1757,2113.8691,42.4123,1704.6482,775.9935,8.9374,313.173,27.7806,6.295,375.3556,7.6775,372.8569,49.3148,29.0084,90.8621,27.6173,25.1837,23.4969,20.6986,86.4031,0.0
HKG_H51,1.2735,0.2578,0,0,0.5628,49.2475,20.9991,2.0583,3.3652,3.6484,9.2454,2.0675,0,7.8076,5.5586,7.993,40.8665,14.7771,24.3507,12.6081,3.8223,1.2559,8.6582,13.1625,22.2629,825.0555,25.0899,348.7608,173.592,2.9838,68.5808,21.9335,5.0083,97.3638,3.6351,125.9491,33.4969,12.3934,29.9639,18.5834,16.8076,15.6167,12.1332,30.5944,0.0
HKG_H52,0.0307,0.0045,0,0,0.2853,2.3863,0.8941,0.2203,0.1821,0.033,0.1007,0.0236,0,0.0861,0.0407,0.0492,0.2342,0.0708,0.2369,0.1408,0.0424,0.1173,0.2118,0.8672,2.2693,77.1252,2.1997,69.0049,31.7606,0.4256,13.6008,1.2173,0.2668,14.031,0.3734,15.9856,2.2798,1.0023,4.175,1.0748,0.9461,1.0111,0.543,2.5031,0.0
HKG_H53,0.1175,0.0243,0,0,0.0148,22.2433,14.8157,2.324,2.1985,0.0444,0.4215,0.1396,0,0.1201,0.0522,0.0831,0.7354,0.1767,0.657,0.1689,0.0696,0.021,4.0483,15.4329,12.2139,743.532,17.7089,210.3448,26.6308,0.462,400.6787,18.459,9.2521,321.1918,7.4314,481.3975,131.5295,23.4941,54.0074,48.8035,25.2835,18.8785,21.4328,60.1082,0.0
HKG_I,0.0571,0.0129,0,0,0.0368,6.9276,1.9972,0.611,0.4548,0.054,0.3298,0.0979,0,0.1492,0.0559,0.0703,0.5932,0.131,0.303,0.1187,0.062,0.0322,1.8304,3.9934,6.5238,113.0068,6.5236,17.7915,5.4146,0.1632,5.062,34.3613,3.4235,17.1636,1.6227,66.7276,41.1029,4.5457,10.3262,8.3703,18.5031,8.83,8.2924,15.6191,0.0
HKG_J58T60,0.1174,0.0245,0,0,0.0018,9.8976,3.2537,0.3442,0.6349,0.0702,0.2655,0.0926,0,0.0989,0.0275,0.043,0.818,0.1758,0.4038,0.0894,0.0481,0.0284,1.208,1.6722,6.9509,133.7667,4.6986,8.458,7.6392,0.11,3.0777,5.0717,26.3144,27.3366,1.6393,56.0775,32.7994,10.0295,6.7588,5.7037,6.6757,11.0625,10.0002,7.8016,0.0
HKG_J61,0.5303,0.1071,0,0,0.0174,84.3086,56.0516,9.6803,6.9297,0.1426,1.445,0.4519,0,0.406,0.1755,0.2854,5.8767,0.8147,2.776,0.5238,0.2746,0.0601,13.7377,52.286,68.8954,2331.8288,75.4686,984.2527,139.4163,1.6684,56.4591,103.6606,64.7459,1500.2702,45.8906,1586.3517,548.7733,102.3015,195.1876,151.0742,98.1917,99.083,87.2438,205.4676,0.0
HKG_J62_63,0.2356,0.0461,0,0,0.0451,46.3407,19.3168,4.6555,3.9347,0.1453,0.9815,0.3218,0,0.2698,0.1661,0.2237,3.062,0.6017,1.5557,0.5656,0.3079,0.0685,7.0579,14.4154,23.4572,1008.9648,36.4785,35.9911,52.3402,0.8499,40.0707,37.2894,18.402,260.49,36.1127,782.7341,109.4642,24.4295,40.636,104.8593,57.4766,33.9168,27.974,51.1478,0.0
HKG_K,0.6082,0.0809,0,0,0.2702,294.6478,65.5452,21.8458,24.3318,0.8074,3.7796,0.9299,0,1.0949,1.1947,1.8014,8.7103,3.0415,5.9012,1.7081,0.6326,0.2885,100.2685,162.3225,127.2101,5979.1323,220.6094,342.4124,127.509,5.5984,102.4035,247.1267,66.2867,450.9983,59.267,11295.9173,5310.411,190.584,503.5683,146.4046,289.6293,155.1787,182.0472,566.3636,0.0
HKG_L,0.5146,0.0899,0,0,0.0699,112.6755,42.1686,7.9035,7.6471,0.2432,1.1333,0.4674,0,0.5808,0.2331,0.4268,3.4075,0.9366,3.1495,0.6178,0.2902,0.1461,44.7351,210.9215,146.735,5513.771,141.5764,92.4204,101.8967,13.654,57.8888,1088.5075,142.6999,297.4428,49.0835,2170.8252,2303.7407,198.7693,380.56,73.6258,253.7797,277.9108,451.4236,1243.6836,0.0
HKG_M,1.5384,0.3118,0,0,0.4508,172.4137,64.2724,25.5832,19.8381,0.4687,4.0219,1.9238,0,0.7192,0.3901,0.6293,6.5713,1.6895,5.79,1.676,0.765,0.2561,29.0954,92.6141,179.6469,5269.4914,138.9287,130.1669,163.6438,3.2481,85.0621,160.3783,65.3669,537.0933,51.9463,1907.6814,1370.4065,332.5704,357.5665,373.588,189.2754,190.8827,142.9703,275.4582,0.0
HKG_N,0.7456,0.1331,0,0,0.5707,75.2631,27.9248,12.2258,9.1982,0.1996,1.5804,0.5065,0,0.3835,0.1964,0.3076,2.3767,0.6689,2.3078,0.7449,0.319,0.3199,11.3105,53.1855,58.0986,2457.3876,122.5163,184.6877,173.1977,2.3649,104.7357,104.6817,33.1462,387.652,27.6863,861.859,722.8884,91.4438,381.9452,147.6494,118.6635,130.717,89.6564,132.7594,0.0
HKG_O,0.3934,0.0673,0,0,0.2289,15.5462,3.5615,2.0235,1.5379,0.104,0.3376,0.1312,0,0.1635,0.2987,0.2536,1.4598,0.5398,1.7169,0.3837,0.1935,0.1918,5.9807,21.9358,62.8777,415.0233,20.7018,33.2861,90.927,1.4978,14.9344,39.9726,8.4472,46.5807,4.6228,209.1396,111.8011,20.357,37.797,241.9669,34.764,22.6396,24.2299,53.7785,0.0
HKG_P,0.2153,0.0454,0,0,0.0241,32.9208,10.0434,4.6317,3.6759,0.0884,0.448,0.2266,0,0.1688,0.1023,0.1476,0.7267,0.1828,0.8849,0.2812,0.1291,0.0307,6.5411,18.7471,31.5988,788.5616,32.9349,36.8682,37.9305,0.7964,23.375,36.8305,9.3725,108.0161,15.7812,388.5524,189.8013,43.4321,70.0174,129.7521,322.003,49.4989,27.5998,74.3916,0.0
HKG_Q,0.0263,0.0057,0,0,0.0085,6.1502,10.5039,0.6609,0.5425,0.0683,0.2228,0.1625,0,0.0773,0.0414,0.0576,0.4365,0.0928,0.2613,0.0834,0.0449,0.0156,1.9133,4.4124,7.199,164.8735,8.1368,24.1005,5.6811,0.2841,6.4732,12.6135,1.7939,16.5541,1.6087,100.9223,56.8563,7.235,17.9225,9.3185,28.3434,125.9828,11.1332,20.7641,0.0
HKG_R,0.1632,0.0481,0,0,0.0221,16.989,4.6504,1.0277,1.7369,0.0536,0.2798,0.0959,0,0.0752,0.044,0.063,0.5093,0.1174,0.3667,0.1365,0.0683,0.0195,3.5025,9.8558,10.3008,320.205,13.3316,28.2298,21.8271,0.4255,20.6225,20.1969,43.4056,63.8843,4.8409,224.6543,135.0426,28.8619,50.1486,28.5354,36.4249,21.0948,427.7206,79.5679,0.0
HKG_S,1.2936,0.3496,0,0,0.1947,174.3784,72.9593,10.439,9.5654,1.3251,9.5385,2.7228,0,1.8678,1.5731,2.1497,17.6628,3.8914,12.4617,8.4742,3.6496,0.3937,34.1696,59.9774,81.2033,1430.5854,70.4956,81.1095,113.3359,1.1652,51.0582,148.0396,34.958,148.9598,15.6364,604.2238,452.1581,63.0729,127.7009,76.9277,70.0228,100.4872,99.9994,341.0902,0.0
HKG_T,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
