V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_C20,275.4621,5.5274,18.4013,11.7854,1.5679,73.5533,21.4131,44.5715,86.248,3.899,168.5852,25.2582,150.9595,40.3933,13.0841,7.5303,28.058,22.2359,3.8968,2.3975,10.1782,6.1327,2.8543,9.054,130.2556,67.0576,14.1822,1.2598,9.3259,6.7916,2.6469,22.0517,14.3402,1.031,1.4048,2.5437,46.9464,18.0953,32.3897,26.9583,13.6408,52.2765,8.0162,9.6479,0.0
NZL_C21,70.8258,0.4991,2.615,1.6409,0.2186,18.9693,3.174,6.7251,12.8496,0.5226,25.3651,12.2214,23.6673,5.8792,1.7987,1.4774,13.3064,3.2889,0.6137,0.3588,1.7438,0.8285,0.6088,1.3178,19.5987,20.8608,0.9724,0.106,0.6406,0.9086,0.3429,3.248,2.0102,0.2154,0.2938,1.0702,7.1035,4.0648,5.0021,4.2704,2.2995,61.8844,1.2767,1.5801,0.0
NZL_C22,175.2398,8.2796,16.7555,8.5794,1.4004,283.6435,11.0106,26.6648,37.017,32.0341,52.9225,19.3945,98.303,15.758,8.6914,7.9645,11.3194,22.1539,27.1429,5.0338,7.251,21.5824,2.1559,9.0214,273.4867,118.948,77.7628,0.4478,7.0476,13.5388,17.0632,21.8792,6.2096,1.0279,0.7808,2.8944,37.1958,18.2757,22.4294,10.9859,8.7106,29.611,5.8768,11.2859,0.0
NZL_C23,49.9281,0.6089,5.0365,7.0404,1.7292,124.1852,2.5694,16.1209,10.0907,5.0288,25.3053,3.3652,18.483,145.1643,9.6019,37.7437,13.6363,4.7841,1.9965,0.8271,7.0063,4.4924,0.8001,10.1678,1073.8593,14.1582,4.8423,0.1394,1.0641,1.0324,0.4399,4.8407,1.5436,0.571,0.1845,1.5498,45.578,18.6617,21.0371,3.3573,8.5944,7.696,1.0672,4.7022,0.0
NZL_C24,37.9422,0.0,6.188,1.6278,1.1113,24.2902,0.5133,4.4976,6.2943,64.6232,12.2805,0.9382,4.1257,21.1254,246.7722,670.5397,9.3285,59.2373,379.8096,1.7051,18.7404,21.2467,0.0,2.3549,203.3451,2.0918,1.2678,0.2632,0.0,0.2722,0.0,6.8222,2.2157,0.0,0.0,0.6542,13.0649,2.6975,0.0,4.4876,5.9872,1.7238,0.0,2.5328,0.0
NZL_C25,65.7032,1.8601,52.1449,16.3,5.9828,213.8004,5.7385,36.64,20.5558,21.3632,4.7304,2.3004,39.2409,52.838,81.3768,397.102,3.7593,18.919,93.4608,3.016,9.5053,67.1291,8.2727,12.1194,1434.2602,119.1184,5.6741,0.3509,5.442,4.5556,0.203,40.1594,2.0432,1.3225,0.4468,9.5879,267.1728,12.5221,25.6969,52.0776,18.6853,11.4447,2.7271,39.8963,0.0
NZL_C26,0.1299,0.0,0.6543,0.0,0.4082,7.2883,0.73,0.7679,1.9773,0.0,3.2825,0.4203,1.1623,0.4474,0.1462,0.2212,18.2522,7.902,0.8496,0.0478,1.0517,1.798,2.0458,1.1951,24.7262,21.4323,0.3251,0.0,0.4021,0.4818,1.7607,0.0,35.3207,69.3721,6.8491,3.7577,2.1979,42.9469,5.8868,12.1203,14.7842,54.4743,5.8109,9.0395,0.0
NZL_C27,3.95,0.2291,0.2287,0.3936,0.0543,8.7332,0.4124,1.4112,4.7281,0.3556,1.4491,0.4906,2.1203,0.8464,1.1612,2.781,27.768,52.4462,24.7655,2.5267,0.8558,0.9597,2.8317,0.1165,219.6658,10.6628,2.2406,0.0597,3.7773,2.7085,8.3643,7.0885,5.6557,16.1081,0.4839,1.3741,7.9655,3.9246,7.305,5.5812,1.894,5.9221,0.4326,2.8245,0.0
NZL_C28,35.0105,1.9483,33.4885,5.7486,4.9261,30.2023,3.2503,6.7837,22.9359,4.7826,2.5797,0.8529,5.5217,7.4272,10.7732,30.5238,4.8579,9.3066,59.4017,33.8441,51.3317,11.5372,5.2084,2.1101,263.3317,57.5603,6.3748,0.677,17.3588,3.973,2.3893,16.1126,3.4719,3.889,0.6562,3.4366,22.7324,16.0099,24.5719,10.1686,24.7538,5.7687,2.6535,7.8572,0.0
NZL_C29,1.1173,0.6064,0.0384,0.0086,0.0008,0.4074,0.0417,0.153,0.1489,0.0213,0.205,0.0383,0.1586,0.2542,0.2696,0.1551,0.0069,0.0654,0.4267,0.8499,0.0996,0.9912,0.0104,0.4163,3.6717,8.9017,9.338,0.0862,0.5669,2.0667,3.068,0.4197,0.0357,0.0219,0.1725,0.9382,3.4963,1.8868,7.1321,0.5143,0.0129,0.1283,0.0137,3.9973,0.0
NZL_C30,3.4832,3.9354,1.0637,0.2499,0.1427,6.7911,0.2439,0.8182,1.4652,0.9403,0.5528,0.1757,1.0263,0.8118,0.7524,3.1084,5.1289,9.7965,5.8157,1.9645,312.1469,0.7894,3.4784,0.5441,61.3096,6.2447,40.7209,4.3001,10.4807,5.3565,1.7293,2.4225,1.9269,3.2058,0.5851,0.9219,6.7562,16.1448,5.9151,78.2267,1.2204,1.8133,26.1105,4.2025,0.0
NZL_C31T33,21.7639,9.5658,13.0939,2.4788,1.3822,29.1298,8.1713,9.5597,10.051,4.013,4.1399,1.1713,3.8382,4.7554,28.7623,8.6184,2.7283,2.7107,6.3418,1.8554,9.9678,6.8196,9.3432,2.3028,57.8179,30.1986,4.0142,0.6199,3.0638,2.6285,0.4362,5.5782,3.8474,4.3144,1.3326,1.3626,50.9912,9.7354,8.6889,7.0447,21.0457,44.7377,5.9341,5.3344,0.0
NZL_D,256.8714,6.5088,92.9244,29.9486,0.6316,329.5024,11.2153,63.8931,160.4341,14.2754,136.4945,14.2824,29.1901,55.5725,414.2219,24.397,6.7911,7.6783,11.9331,0.7027,2.4291,12.5401,4307.8182,81.6789,156.96,342.4899,23.6392,1.792,13.8298,23.4239,5.3955,107.4826,42.1391,39.8959,21.365,47.0011,185.3594,83.0734,39.0866,72.8383,146.305,203.7748,35.7737,34.1189,0.0
NZL_E,76.8701,14.6727,6.0019,4.6876,0.6893,126.4572,2.1881,24.6706,23.8821,15.0717,12.9712,2.4662,2.8532,3.468,93.9977,2.3007,0.4874,1.3957,0.2871,0.0753,9.6043,1.6159,89.2751,537.0101,198.8987,72.7736,22.3456,0.2943,0.9428,5.9152,0.2878,17.2173,1.5528,0.8941,0.2638,18.6236,358.5665,25.0591,43.779,36.6556,21.9679,108.8528,16.964,64.67,0.0
NZL_F,338.1303,19.1827,26.0627,17.4962,4.1045,137.8033,16.8963,42.4243,46.1336,20.1229,13.9274,3.7898,8.6328,41.0269,26.7605,46.7265,6.3235,11.5828,47.8686,1.7271,10.963,29.262,125.6356,50.4354,12908.8137,310.3556,30.3391,3.3516,20.1084,42.0182,7.1471,122.031,28.7721,94.5073,19.0829,206.2928,2204.2571,253.3035,206.3183,137.952,265.2383,129.9731,77.3768,158.2167,0.0
NZL_G,1167.612,192.2712,170.9922,58.1595,19.8008,1961.954,149.8678,279.3504,271.4876,117.373,210.492,80.1536,211.5088,146.8552,196.8632,245.268,123.3082,99.2799,122.3695,19.3202,191.4822,83.8074,269.9146,102.35,1579.9091,960.2607,454.4186,51.8414,259.0699,127.3598,55.8677,572.2516,161.1614,117.8263,43.1725,110.305,483.6909,352.9242,315.1226,269.0857,204.0537,585.5251,143.5,174.953,0.0
NZL_H49,451.983,26.9835,62.882,40.9597,8.8779,947.159,28.7878,102.6576,86.252,55.6553,59.506,13.6343,71.8601,84.7498,30.914,61.7785,15.4519,16.3845,19.2574,2.2303,19.1891,25.83,19.3344,34.5135,220.3621,789.6057,536.8975,16.8676,47.3903,67.7559,45.3249,42.9373,44.7666,5.3783,11.1713,14.6646,46.8266,95.7162,84.5778,55.8732,47.152,37.5176,22.2864,78.7407,0.0
NZL_H50,31.3311,13.9145,35.9342,1.5176,0.6141,28.0286,2.2839,3.8616,6.0021,12.2565,3.298,0.5496,1.7267,10.4125,33.2415,15.006,0.5877,1.1174,1.2251,0.4412,0.5104,0.6298,1.1034,0.7726,5.6829,32.7897,53.9453,52.8318,6.7437,24.2487,0.9032,1.3356,2.0857,3.9815,1.1681,2.965,2.9707,4.241,11.1771,4.0995,1.826,2.3083,0.8826,1.6924,0.0
NZL_H51,45.2766,12.718,10.2423,2.0685,2.0652,105.4945,5.6884,11.4463,10.1522,24.9554,11.2746,2.4425,11.2324,9.5554,6.5529,13.8905,7.0945,6.3843,10.5255,1.9102,8.7335,5.3896,10.9243,3.7746,85.824,101.6283,42.3579,5.4615,99.3086,39.7763,27.0491,17.6776,16.8045,5.6968,12.3149,23.2242,25.8693,55.3514,41.0149,41.0857,23.0976,28.5187,14.5103,20.7282,0.0
NZL_H52,126.3169,153.8605,68.9504,6.5735,2.4094,613.8666,11.3402,60.6185,33.0984,13.1206,4.618,1.7375,18.4068,33.269,14.5662,12.7557,7.5608,4.1202,5.5888,2.876,6.098,7.6694,6.9515,3.2071,61.1911,423.304,308.4388,104.6029,322.5801,239.6288,10.3506,25.1653,14.362,5.1741,3.9949,12.5316,35.0975,39.7437,63.1202,51.0889,11.0149,14.6166,8.0467,51.6038,0.0
NZL_H53,27.8614,3.4711,2.0524,1.5882,0.2799,32.6468,3.0775,4.333,24.9263,0.9704,1.9237,1.6662,5.6192,7.534,1.5197,3.3519,0.9127,0.727,2.8739,0.1228,0.7084,3.9676,8.6079,6.5195,65.8238,188.9857,6.932,0.5148,1.6652,7.1474,311.7548,25.7853,22.3761,4.8018,4.8461,149.767,19.6367,130.7733,60.2123,77.1666,33.6703,52.2476,20.4543,47.8858,0.0
NZL_I,50.1714,11.6453,5.284,2.0596,4.2309,106.4352,6.8953,7.7465,9.4528,2.3062,8.7291,3.7878,6.643,3.5215,6.4401,7.2299,5.9803,7.4634,6.4855,0.4507,5.2255,2.7315,16.0301,4.9572,66.9934,52.3915,17.2755,3.2884,81.8018,8.8403,1.4182,43.2259,19.4605,4.6693,15.8525,9.305,29.4308,35.6349,21.6309,91.0574,76.8985,165.8822,14.849,15.2214,0.0
NZL_J58T60,18.2228,1.4723,9.3891,1.4167,0.3479,199.9065,7.0048,6.0133,10.7578,12.6858,5.6433,5.5548,11.6523,11.415,2.6331,13.1093,10.4214,11.314,6.3131,0.6619,2.8182,9.3883,16.0633,4.1809,49.536,212.3379,7.564,3.7747,19.8491,14.024,9.6165,66.8183,482.6698,64.8075,13.484,72.7422,44.3492,97.4522,70.6189,40.69,33.874,27.6045,108.1654,65.7722,0.0
NZL_J61,56.2939,3.6649,1.6936,1.1782,0.9993,23.9816,1.8528,3.0575,4.2629,1.9812,2.1057,0.9789,3.1227,3.8755,1.2655,5.4048,3.5257,2.4414,3.6306,0.1827,0.8351,3.4348,13.4062,4.725,63.7938,86.4924,19.6417,0.8168,8.5032,12.055,6.8814,15.9331,43.8493,264.0175,36.489,69.7312,17.9444,83.6115,41.7712,87.3707,34.6535,45.6735,33.0069,31.2552,0.0
NZL_J62_63,21.4495,3.5793,3.236,2.4401,1.9292,45.6012,2.7656,4.4246,6.9065,5.2975,3.1746,1.088,3.5242,5.3152,2.7327,7.141,4.0185,4.1334,4.3488,0.3932,1.8846,2.2296,14.765,2.4858,29.194,75.7898,10.4804,0.8812,20.704,9.5701,5.2833,16.1085,57.1876,115.065,93.2754,119.7564,41.7624,101.8867,64.2026,105.1295,16.0175,39.1487,31.2572,16.1536,0.0
NZL_K,631.6563,25.8744,52.6594,7.8063,7.0818,240.5308,20.0789,30.9145,34.6289,34.1537,22.3466,4.5611,33.8938,41.0186,54.5084,39.8719,19.9367,12.0966,21.8474,2.0407,8.1523,40.6627,78.563,40.0153,407.3507,1237.6297,100.516,9.0151,41.8515,69.5146,23.5619,222.4364,144.674,40.0187,50.3261,3635.6957,2526.5562,604.7991,388.8874,311.7741,161.347,253.8501,166.8456,249.9612,0.0
NZL_L,233.0552,25.022,13.7626,6.0502,6.0461,180.3715,16.4647,16.6463,32.2423,8.6948,9.6239,8.2659,21.3858,18.8495,7.0612,66.9396,22.1105,14.476,25.9468,2.0667,8.9999,32.1772,24.9758,10.2641,315.1724,1040.59,135.0982,6.9476,44.3986,187.5763,26.0926,355.2293,141.5483,92.2087,66.4775,466.7204,2453.3268,534.4865,391.8152,328.7024,127.1752,176.8327,114.0315,205.4312,0.0
NZL_M,704.3033,101.8985,103.3265,28.5856,42.007,999.3704,51.2881,50.4038,60.8625,70.7304,40.777,25.2126,60.5361,114.9668,52.6714,181.2682,105.6346,68.4982,109.8971,2.884,18.3871,43.0545,444.7248,161.1365,1705.5912,2328.1449,191.3968,20.4589,105.0126,150.5824,66.687,371.3889,258.5313,70.4287,304.9058,1395.5843,779.8885,3097.429,1443.2341,966.0377,475.2328,788.6433,374.5208,542.3436,0.0
NZL_N,392.7659,55.4828,56.7391,17.861,15.1713,952.1152,30.2627,59.862,42.3232,14.4468,14.0962,7.3078,22.8359,26.6342,16.6941,39.24,10.4585,15.0438,22.9052,2.8889,5.2083,23.3193,49.5854,34.6281,385.5177,1126.1967,108.0033,12.5019,103.3465,76.2199,20.9089,264.1112,195.7702,71.6478,74.2595,324.7904,472.1858,738.6627,383.0663,466.4251,268.626,322.9573,145.1031,175.1453,0.0
NZL_O,46.1512,5.96,19.2758,10.4635,2.375,53.0614,3.2213,12.452,9.9864,2.8396,1.8679,0.9693,7.4319,2.8855,5.2487,8.6367,2.2784,1.7406,2.2213,0.4596,0.6608,5.0622,31.6057,19.5528,151.2328,171.127,14.8076,1.4232,9.7694,10.7627,14.5894,77.1551,30.661,12.2707,12.626,49.0791,125.6328,146.7532,132.3646,162.222,87.2249,79.0487,40.9853,55.4448,0.0
NZL_P,30.9284,4.7514,11.5145,2.8732,5.0397,55.0328,1.2938,20.6919,5.8052,3.3994,5.1259,1.2959,4.2586,2.5495,3.5135,9.2051,1.7659,4.3148,8.5367,0.4013,1.6933,1.2726,19.0025,3.9605,52.012,44.3087,12.5294,1.2928,14.484,4.057,1.7696,8.0473,21.1172,9.2941,28.512,31.503,24.9867,369.6319,52.8206,358.4382,295.4243,149.4791,18.7133,97.1183,0.0
NZL_Q,4.8683,0.8349,0.583,0.2109,0.2118,7.5363,0.4276,0.9211,1.8504,0.3493,1.3197,0.515,0.9832,0.6783,0.6433,0.9904,0.7564,0.4993,0.5032,0.053,0.2061,0.4958,0.9193,0.5202,8.4088,15.1607,2.5,0.3602,3.3941,2.4586,0.4893,3.6073,4.9015,3.0664,2.142,8.4128,17.7511,15.5898,7.6264,44.5481,18.606,1286.006,3.1994,3.7753,0.0
NZL_R,14.9636,1.3301,1.5618,0.5364,0.4852,39.6677,1.461,1.9038,2.7507,2.3226,1.5026,0.865,2.0826,2.0482,1.209,3.9758,1.8642,1.7302,2.1379,0.3022,1.3641,1.5133,3.7407,6.6949,18.6792,38.6062,4.4851,1.6342,9.8075,5.1896,1.6646,12.1998,59.6178,23.2943,15.0657,25.5261,34.4649,73.3796,22.0111,25.2104,95.9791,17.6001,236.1815,14.7723,0.0
NZL_S,40.9291,139.6588,1.4233,6.5822,2.1516,384.0216,8.5338,9.4411,6.1754,1.4523,5.3188,2.5132,5.7145,3.0927,0.4445,5.6135,0.0355,6.8054,1.8602,0.521,1.3685,4.3666,27.0382,4.5987,100.3979,37.2376,18.8016,0.7397,16.0985,9.5984,3.0622,9.085,18.0959,4.506,11.8442,28.7719,61.315,611.4695,208.0083,156.7345,61.8226,94.6128,182.3083,264.6168,0.0
NZL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
