V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_E,30.1423,0.1285,0.5895,2.5254,2.4642,48.7705,5.3309,4.7139,120.8347,17.4284,26.1696,24.3736,20.5546,15.6687,136.7413,11.3678,8.6332,4.6093,14.9042,41.3652,1.4074,7.5054,32.6232,260.9858,40.3637,132.4308,14.1052,1.1728,1.3239,12.4042,1.6359,35.6729,3.3122,2.8903,2.6951,11.8932,46.7753,21.239,24.2244,98.6816,36.6658,59.5364,43.641,19.6523,0.0
HUN_F,8.7614,0.4355,0.1069,0.8886,0.2996,16.929,1.2601,0.9928,3.8131,40.0924,10.0414,2.884,5.3317,9.5117,3.2817,20.6958,6.3213,11.1179,12.7292,25.3489,0.9651,12.6624,85.4142,48.6547,904.6177,77.5753,13.2303,0.6734,3.8021,174.6491,1.548,44.3101,7.5998,17.3958,3.3105,8.903,452.396,44.9633,14.7196,376.7899,64.1245,35.6137,30.6426,14.6337,0.0
HUN_G,629.7742,2.7858,1.1516,4.5919,2.4729,969.6021,89.3119,64.2673,132.998,197.6869,294.4021,120.6097,212.8033,106.3393,98.0978,142.0765,163.7115,116.3507,187.1897,631.4053,18.4335,127.0925,132.8452,75.9433,319.5508,917.7015,458.6911,13.7284,62.1405,102.8683,31.8722,369.679,66.2014,49.5741,47.3009,81.8283,119.4331,164.2479,201.3626,111.9349,56.9058,215.2804,76.3423,66.1293,0.0
HUN_H49,101.6915,0.6756,1.1721,10.5436,3.0793,204.2697,15.5291,13.5879,30.8266,84.7936,97.085,13.8005,50.5922,61.6745,32.0291,48.593,69.1377,38.8769,72.9806,250.6947,5.3454,30.0235,139.9207,32.3959,136.3724,793.1884,161.0779,3.5809,15.6651,76.0731,12.6719,35.182,12.8128,15.6845,9.9589,18.3974,23.0844,41.8531,61.3017,34.8061,38.8186,49.3438,21.5456,19.8321,0.0
HUN_H50,2.0187,0.0087,0.0095,0.0212,0.0191,2.5706,0.446,0.2813,0.6656,2.0974,1.6318,0.4958,1.4893,0.8416,0.8712,1.4738,1.9622,1.0542,1.141,5.747,0.21,0.6827,1.1102,0.246,2.3389,1.5409,0.8593,0.0869,0.1889,0.0822,0.0282,0.9596,0.1965,0.1227,0.0977,0.1504,0.6081,0.5652,0.527,0.5025,0.2617,0.9492,0.4683,0.2798,0.0
HUN_H51,5.7181,0.0162,0.0157,0.0468,0.0342,6.8574,0.899,0.7472,1.6127,7.0703,4.4215,0.4215,2.7017,1.7864,2.8528,3.3051,2.8437,1.4528,0.4948,15.0016,0.4526,1.1069,2.9197,0.2621,3.8715,2.1595,1.3527,0.0645,0.4699,0.9523,0.0563,1.7574,0.6221,0.1504,0.2633,0.3012,0.7719,0.7196,0.5573,0.2886,0.112,1.8115,0.1892,0.237,0.0
HUN_H52,19.7252,0.2141,0.076,1.3358,0.302,61.2129,5.9126,3.3868,6.6546,8.3726,14.7368,6.0913,16.0494,15.8745,9.2221,11.2715,16.919,4.5983,17.7795,32.7014,1.5796,8.6699,47.3169,12.6413,57.1698,241.204,331.5144,3.4481,148.2506,316.4338,6.6431,13.6869,9.7882,7.2827,5.3212,8.2528,13.8207,19.2047,19.9733,27.2712,5.5841,6.7612,12.43,14.5441,0.0
HUN_H53,10.0185,0.062,0.061,0.1557,0.0753,8.976,1.4725,0.9424,3.2408,3.8469,7.2886,4.9025,4.472,2.3663,0.9316,3.9028,7.7887,2.6674,4.7066,9.1665,0.3927,3.051,14.2033,10.094,11.975,59.3717,11.7473,0.7449,1.7417,8.3401,17.5613,8.9398,18.6752,18.1958,4.3568,79.4971,42.5177,26.2315,15.4185,94.1863,13.1683,17.4759,18.5373,11.5294,0.0
HUN_I,1.2579,0.0467,0.3963,0.0493,0.3129,6.0533,1.0195,0.2339,1.0188,0.6687,1.9016,7.6019,3.5222,1.3226,1.3783,3.0956,5.5516,1.8723,7.1869,10.6617,0.5785,2.5234,1.8303,0.9173,12.5347,18.0273,8.0928,2.4698,0.8616,2.6314,0.8881,127.3703,3.9099,1.6197,8.4169,4.5802,2.1443,30.1367,119.4951,22.428,12.0499,52.8242,8.212,33.841,0.0
HUN_J58T60,2.8424,0.0403,0.0378,0.1594,0.1913,16.4685,1.0867,0.7082,8.315,2.2682,8.9666,17.0452,8.241,2.7907,1.4078,3.4638,24.345,4.0113,11.831,22.0851,0.3797,3.5032,4.204,2.5005,10.8831,92.7082,20.432,1.3316,0.5226,4.2151,1.7253,12.4143,156.1957,31.9509,15.6579,15.7222,20.3178,48.3825,33.9866,20.174,44.0151,6.6859,57.2034,19.198,0.0
