V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_K,193.7884,1.6421,12.4946,7.3656,0.4606,67.2906,26.0322,24.2671,59.999,4.8354,34.3324,18.6304,75.5451,44.7758,39.9118,190.154,48.2289,58.4115,134.6459,138.5409,24.3551,117.2483,225.8436,83.0971,325.5739,840.6955,400.783,0.7834,80.9646,123.8791,10.6133,55.1256,46.2576,32.7316,66.2536,2598.019,2189.6037,507.5818,258.1025,109.4421,59.6923,147.5191,94.0734,90.6236,0.0
CZE_L,52.7335,2.4634,4.4753,1.6209,0.4062,105.6844,34.0614,20.88,34.2332,1.2416,15.4225,16.8082,36.2186,18.7261,12.4192,50.1573,217.4456,45.5615,124.3933,117.4233,3.0139,125.0963,142.2587,265.4,300.2036,2398.0699,75.8992,0.9227,13.4297,344.2633,14.5143,668.2409,90.1023,96.3866,304.2809,422.5969,1909.8049,786.4067,195.2001,310.1869,243.1118,284.9314,324.9627,105.4213,0.0
CZE_M,247.7934,0.592,14.7916,13.9063,1.0207,270.0828,60.2996,26.2023,44.9461,3.7786,139.5034,128.446,170.9017,85.8948,24.6244,257.3074,441.2825,162.817,374.5323,522.8767,20.6675,166.387,167.701,195.7304,3090.8251,1974.3167,138.2425,1.7329,14.182,174.4066,24.0547,150.0004,126.0466,93.7775,236.9651,392.9281,973.8523,4271.2851,323.9111,547.6924,139.7753,187.5608,159.379,71.2408,0.0
CZE_N,55.7272,0.4996,17.3036,5.4971,5.9937,89.3944,9.1842,15.3086,24.023,2.7319,27.8641,8.9334,59.2219,31.4518,43.7949,80.6927,224.5772,58.9399,126.2861,201.5498,12.3663,48.074,77.9993,73.9627,260.4938,575.5272,161.5349,3.4796,66.1018,82.1546,10.3725,127.3237,28.9327,25.521,127.2949,199.8908,595.5382,223.5192,1679.8559,559.1537,60.6501,88.853,134.393,40.2897,0.0
CZE_O,51.6136,0.1087,9.0119,7.5706,1.0953,18.603,3.7542,7.2268,10.5904,4.3382,5.5157,2.4684,8.796,21.5679,83.8042,27.438,19.2256,7.9655,14.7971,37.3816,3.7207,3.7499,37.7254,100.7625,37.2678,92.2068,158.5339,2.1961,31.7517,228.6029,6.8895,5.1286,14.9735,2.709,24.7393,54.1194,42.5909,41.0442,47.5313,247.8222,4.552,27.9995,16.8404,11.8786,0.0
CZE_P,12.0004,0.0578,0.7873,0.424,0.0858,6.4864,0.7046,1.1498,5.3741,0.2239,2.0165,4.0048,7.7548,4.0736,2.6293,4.5908,5.5655,6.0415,10.2213,59.9872,2.9477,6.7222,20.8248,4.0255,10.7439,48.0102,16.5592,0.1635,2.157,27.3471,12.8681,9.6837,3.7845,3.9846,22.3382,54.7564,108.1958,90.6364,39.2338,118.005,257.1364,18.1105,9.3507,11.7459,0.0
CZE_Q,6.1544,0.4138,0.2763,0.1285,0.0147,15.2824,2.2095,0.5876,1.2952,0.1576,2.0945,32.3219,4.9826,3.1688,0.9844,4.511,3.4842,1.7875,1.9806,19.112,0.5268,3.6744,3.8814,5.9075,4.0374,27.0122,19.0871,0.0464,0.865,3.736,0.178,12.2113,2.4077,1.0624,9.1706,9.9538,17.962,21.3873,17.0358,13.979,3.4204,347.52,15.7903,7.1153,0.0
CZE_R,4.358,0.0095,0.1532,0.3115,0.0088,5.1795,0.9743,2.0622,0.8484,0.0688,1.0199,0.961,3.9225,3.0429,0.6735,2.0363,1.6682,1.2063,1.8237,7.8591,0.3644,1.4739,2.09,6.5067,4.8199,14.7335,4.0763,0.0273,0.3384,1.1299,0.1449,63.5426,18.0479,4.5869,6.0967,3.4178,138.3211,34.24,16.7514,9.8924,8.9678,12.5949,581.8076,93.9723,0.0
CZE_S,8.0395,0.0134,2.2167,1.1544,0.5387,25.1147,6.5312,10.0963,9.3666,0.6757,15.0899,0.9618,4.0506,2.0376,5.6261,31.7999,24.0532,20.8351,18.5933,9.6312,1.3252,49.3494,7.2949,3.8388,16.8735,166.5189,10.9389,0.092,28.5002,50.6129,4.5436,56.7874,3.4712,7.4345,20.2953,68.8696,40.2583,37.6587,26.3738,3.585,32.1118,119.876,44.3448,166.7658,0.0
CZE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
