V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_G,4.985,0.1513,92.532,80.1422,6.6839,2.5614,2.5456,0.0849,0.1305,57.6489,4.375,0.0002,0.7015,0.1101,0.0248,0.3651,0.4939,0.3511,0.8217,0,1.9629,0.5467,19.1846,1.5013,71.4052,25.4568,2.4944,0.4464,7.7931,2.0302,0.5267,9.2438,0.3127,4.7658,1.4459,3.1051,1.49,7.1368,4.4882,43.4442,10.7379,8.6537,0.3512,0.6209,0.0
BRN_H49,0.4471,0.012,0.0917,0.0866,0.0804,0.2443,0.0599,0.0016,0.0116,0.6385,0.0259,0.0,0.053,0.0059,0.0013,0.0405,0.0696,0.0415,0.0114,0,0.0648,0.0204,0.1318,0.0402,0.0503,0.0952,0.0285,0.0552,0.1849,0.1409,0.0941,0.9359,0.0027,0.0452,0.0414,0.3746,0.034,0.204,0.1272,0.9862,0.0467,0.6508,0.0038,0.0154,0.0
BRN_H50,2.6034,0.003,39.0137,15.1525,2.2594,1.1144,2.6912,0.0397,0.0155,12.6797,0.1092,0.0001,0.1436,0.0086,0.0004,0.2123,0.0185,0.1192,0.1693,0,0.7267,0.1098,1.7666,0.3197,19.9564,10.3437,0.2351,0.2593,0.8948,0.0371,0.0226,2.6025,0.1593,3.686,1.2086,0.6197,0.1739,4.106,3.9848,17.9706,3.2128,2.039,0.14,0.1856,0.0
BRN_H51,1.1111,0.0022,36.9562,9.9519,2.2328,0.6735,1.7041,0.0226,0.0321,3.1235,0.036,0.0,0.1014,0.0086,0.0011,0.2297,0.0116,0.1223,0.1828,0,0.8396,0.1477,0.405,0.3155,7.6671,24.2015,0.3897,0.0222,0.7487,0.0283,0.0101,0.9065,0.4525,3.2467,4.2479,0.7757,0.1122,11.6949,9.9975,22.1722,1.0187,0.5654,0.2438,0.3265,0.0
BRN_H52,0.0845,0.0001,1.5616,0.7335,0.0759,0.0359,0.0492,0.0017,0.0007,0.5373,0.0052,0.0,0.0058,0.0006,0.0001,0.0083,0.0005,0.0045,0.0069,0,0.0286,0.0043,0.0681,0.0273,0.8096,1.0691,0.0129,0.0025,0.0652,0.0203,0.0003,0.0983,0.0146,0.2051,0.0818,0.0311,0.0112,0.1925,1.8228,0.7133,0.1464,0.0909,0.0059,0.011,0.0
BRN_H53,0.0794,0.0,1.3812,0.5754,0.1121,0.0035,0.0034,0.0037,0.0027,0.9841,0.0005,0.0,0.0007,0.0002,0.0,0.0045,0.0,0.0023,0.0028,0,0.0065,0.0015,0.0,0.0089,0.716,0.2027,0.0076,0.0051,0.0952,0.0,0.0004,0.0141,0.0078,1.1124,0.0349,0.028,0.0349,0.0899,0.0367,0.0531,0.0402,0.0479,0.0039,0.0066,0.0
BRN_I,0.0357,0.0005,42.5873,10.2354,3.9038,0.252,0.4025,0.013,0.0233,21.2217,0.1123,0.0002,0.0658,0.0034,0.0,0.0008,0.0068,0.1574,0.2295,0,0.5125,0.1118,0.0234,0.4136,13.516,7.384,0.3597,0.0149,2.4286,0.0066,0.0012,0.1985,0.2873,2.5299,1.9008,1.0245,0.101,4.3866,1.7395,5.6193,0.9085,0.8452,0.0926,0.1817,0.0
BRN_J58T60,0.0017,0.0,0.359,0.1066,0.0194,0.0039,0.0197,0.0002,0.0002,0.4413,0.0017,0.0,0.0007,0.0,0.0,0.0001,0.0,0.0018,0.0018,0,0.0038,0.0011,0.0,0.0157,0.065,0.2019,0.0036,0.0,0.0786,0.0,0.0,0.0056,0.0421,0.0549,0.0385,1.1382,0.0011,0.1977,0.1066,4.5694,0.7384,0.4085,0.0109,0.0121,0.0
BRN_J61,0.1667,0.0001,101.5059,27.1859,5.7954,0.3344,0.3596,0.0225,0.0426,10.4091,0.058,0.0001,0.0714,0.0033,0.0,0.019,0.0005,0.1923,0.2812,0,0.6534,0.1453,1.7256,0.5078,17.1151,18.0061,0.4079,0.0354,0.7761,0.001,0.0002,1.0245,1.073,36.7895,3.6295,4.6429,0.2909,6.3585,2.6952,15.144,4.1159,2.8572,0.285,0.4249,0.0
BRN_J62_63,0.0362,0.0001,0.718,0.3309,0.0395,0.0171,0.0253,0.0008,0.0004,0.2337,0.0023,0.0,0.0027,0.0003,0.0,0.0038,0.0002,0.0021,0.0034,0,0.0135,0.0022,0.0399,0.0129,0.3811,0.4899,0.0149,0.001,0.0261,0.0082,0.0001,0.0443,0.0066,0.0737,0.0362,0.014,0.0047,0.0875,0.7141,0.3456,0.1479,0.2586,0.0028,0.0053,0.0
BRN_K,0.9769,0.0005,41.4785,14.3144,2.1035,0.6782,1.3106,0.0142,0.0083,174.2033,0.3262,0.0003,0.0542,0.0097,0.0,0.1351,0.0037,0.1299,0.1393,0,0.3007,0.095,0.8072,2.8469,14.7964,48.3159,2.029,0.2049,43.9686,0.0055,0.004,4.1632,0.3296,4.1449,2.0103,10.8081,6.5047,6.034,5.459,0.7273,0.4337,0.6493,0.1948,0.3577,0.0
BRN_L,0.0103,0.0001,10.5115,2.5932,0.8363,0.0615,0.2697,0.0031,0.0059,0.7577,0.0297,0.0,0.0151,0.0008,0.0,0.0011,0.0017,0.0369,0.0518,0,0.1077,0.0266,0.0128,0.177,4.2818,1.81,0.0844,0.0034,0.5412,0.0009,0.0002,0.05,0.1346,0.5869,0.466,1.5607,0.1674,1.1755,0.5017,1.9367,0.2257,0.4181,0.0594,0.0997,0.0
BRN_M,0.0866,0.0001,79.0901,19.2137,6.1785,0.0895,0.5623,0.009,0.0322,4.2883,0.0302,0.0,0.039,0.0018,0.0,0.0032,0.0009,0.0331,0.0519,0,0.1109,0.0246,0.8854,0.4124,23.8166,11.15,0.1899,0.0229,0.2792,0.001,0.0013,0.2197,0.1796,6.5184,3.4197,3.8294,0.0355,28.3222,4.396,10.7729,2.1896,8.6072,0.0885,0.1265,0.0
BRN_N,0.7352,0.0001,28.7149,13.2636,2.2002,0.3764,0.6133,0.0248,0.0184,5.7596,0.0326,0.0,0.06,0.0026,0.0,0.0818,0.1268,0.0016,0.0776,0,0.3189,0.0508,0.0522,0.4494,33.9385,11.4037,0.1527,0.0185,0.6213,0.0022,0.0004,0.9934,0.2075,3.1716,1.7851,1.6964,0.8915,4.8452,17.7648,7.2062,21.3041,14.0836,0.1718,0.1451,0.0
BRN_O,0.2092,0.0,10.821,5.0807,0.8149,0.2413,0.3097,0.007,0.0088,27.8694,0.1186,0.0002,0.0372,0.0019,0.0,0.0168,0.0001,0.032,0.0466,0,0.1772,0.0319,0.0,0.2871,2.876,4.025,1.2109,0.0371,0.7803,0.0344,0.0002,0.5041,0.0903,3.5447,0.4105,0.7344,0.164,1.781,16.3566,63.7744,1.2908,0.5566,0.045,0.0531,0.0
BRN_P,0.0914,0.0,17.2608,6.7569,1.267,0.1571,0.0936,0.005,0.0,21.4187,0.0685,0.0001,0.0403,0.0021,0.0,0.0492,0.1015,0.0001,0.0557,0,0.2457,0.0412,0.0023,0.3317,4.4722,2.7751,0.0838,0.0115,0.2755,0.0009,0.0001,0.1315,0.0965,1.1861,1.0597,1.066,0.0824,2.3188,0.8759,42.0827,17.2802,3.6527,0.0519,0.081,0.0
BRN_Q,0.164,0.0,12.2773,4.1316,1.89,0.0739,0.2397,0.0052,0.0129,19.5292,0.0621,0.0001,0.0421,0.0021,0.0,0.0075,0.0,0.0369,0.0538,0,0.0981,0.0266,0.0023,0.277,4.4799,2.2384,0.0556,0.0097,0.2426,0.0001,0.0,0.2425,0.0561,0.8787,0.3185,0.2235,0.0528,1.3004,0.7069,17.0507,1.0342,4.3925,0.0843,0.129,0.0
BRN_R,0.0221,0.0,0.3981,0.0909,0.0287,0.0092,0.045,0.0,0.0002,1.0261,0.0039,0.0,0.0014,0.0001,0.0,0.0023,0.0042,0.022,0.0038,0,0.0062,0.0019,0.0,0.0167,1.1832,0.0099,0.0021,0.014,0.3315,0.0,0.0,0.001,0.0502,0.0001,0.0188,0.0491,0.0034,0.0753,0.0231,2.5391,0.0355,0.0833,0.0958,0.0134,0.0
BRN_S,0.0387,0.0,0.3388,0.1639,0.0356,0.0215,0.0707,0.0011,0.0003,1.4811,0.0067,0.0,0.0023,0.0001,0.0,0.005,0.0021,0.0133,0.0058,0,0.0118,0.0042,0.0,0.0419,1.7795,0.0397,0.0065,0.0115,0.7831,0.0,0.0,0.0064,0.0395,0.007,0.0237,0.0922,0.1369,0.115,0.0335,1.3108,0.6285,0.155,0.0223,0.0706,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
