V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_K,201.3761,71.5343,139.9958,930.3696,6.5082,798.0881,124.2393,9.3216,39.2128,47.4483,119.2266,21.9905,65.4472,85.5989,137.4838,57.6478,0.8047,11.6746,25.0585,12.5682,5.2592,35.4161,207.0533,54.5101,350.68,843.8854,183.6959,3.5267,31.7258,94.5652,5.0849,293.2554,45.3492,260.5047,10.7996,1313.5637,274.5568,348.8711,179.7879,768.5818,118.579,97.2209,54.0377,58.177,0.0
PER_L,10.8717,3.7787,46.5344,22.2876,0.7226,97.0241,47.7895,1.2569,5.0713,0.8427,9.7686,9.4818,7.9458,4.6457,1.0603,15.2326,2.9378,0.9097,11.8243,10.5558,4.6243,23.19,6.4882,0.3421,22.4911,367.6,22.0856,0.5986,3.2813,64.4084,7.1191,344.2024,36.7409,156.0641,14.2012,319.345,26.3173,353.5232,158.7338,49.9488,160.6101,71.3018,99.2245,112.3379,0.0
PER_M,100.8071,7.2856,139.7304,435.1425,26.5162,764.0167,165.2682,3.7028,35.9628,47.4513,435.2234,102.2407,106.6518,27.924,76.0449,169.4959,8.685,19.4426,55.4995,60.5909,23.9679,35.3825,72.0962,17.5697,695.7258,557.153,126.371,0.6224,84.8735,171.8813,9.7841,249.9454,253.6997,1096.2628,46.9345,874.1409,360.5087,1487.8072,426.1592,415.5555,349.4716,331.9066,165.5496,379.7646,0.0
PER_N,131.989,3.9267,61.5637,286.0194,10.0545,155.6913,34.9169,3.5907,21.4047,23.716,65.5628,19.7535,39.8736,19.0908,39.0228,126.5267,2.0363,3.0106,28.6253,79.5512,34.2255,45.3148,61.4307,19.4515,273.5129,339.6055,67.3017,2.5344,74.1555,127.6873,21.1121,136.2724,94.3903,562.6569,31.0664,471.1373,70.8803,769.4566,585.5908,480.8639,282.1642,458.6996,96.049,96.9412,0.0
PER_O,5.8352,0.5255,7.6371,23.6293,0.8046,20.8467,4.1315,1.2762,8.2098,2.9887,5.2393,1.4309,3.2649,1.8783,6.7818,9.425,0.1024,0.2336,1.7506,6.6488,2.9295,5.7091,5.1156,5.3959,36.847,43.8614,15.778,0.3687,7.3785,14.7471,1.8955,8.593,8.162,36.7617,5.8491,49.8215,11.3602,72.7369,40.9309,79.093,40.8507,45.8468,6.8189,8.9538,0.0
PER_P,0.6354,0.2284,1.0871,7.5685,0.1004,4.7229,2.1014,5.1705,3.0103,0.2166,0.6255,0.4286,0.4478,0.2008,0.0763,0.4185,0.047,0.0505,0.2589,1.2005,0.7142,9.8387,5.1156,0.2745,3.6448,4.392,1.4745,0.011,0.259,0.7086,0.0855,2.8697,1.7869,2.2811,0.2664,6.3661,0.5888,13.2286,22.0429,16.1323,316.163,8.7782,2.8408,18.5558,0.0
PER_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.3981,0.0,0.0,0.0
PER_R,0.0,0.0034,0.0585,1.1581,0.0,0.308,0.0093,0.2856,0.6231,0.0107,1.6487,0.5002,0.0,0.186,0.2498,0.0,0.0,0.0001,0.0005,0.0243,0.0092,0.5202,0.0951,0.0127,0.0,0.0751,0.2316,0.0003,0.0162,0.0104,0.003,5.6083,3.7124,0.0964,0.0224,19.1126,0.0,4.5352,0.317,1.7643,13.9802,0.1983,89.2355,2.9025,0.0
PER_S,0.0192,0.0514,2.8419,5.5629,0.2596,1.3893,2.0707,0.0019,2.4736,0.39,2.1243,1.0801,0.1523,1.3838,0.7839,0.7718,0.0109,0.0229,0.1259,0.1746,0.0747,0.1038,1.1056,0.8427,0.2815,34.8896,1.4768,0.0235,0.3768,0.0723,0.208,64.5389,7.0204,102.2188,38.6379,105.4503,3.6596,48.2761,42.4767,8.4712,24.0046,123.6487,4.5184,20.1499,0.0
PER_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
