V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_C20,106.2095,0.8723,0,12.0302,0.8487,61.7711,119.4966,29.8406,85.6908,91.1062,457.4959,36.2665,335.2827,59.0602,7.6999,50.6831,7.5227,56.4419,16.7362,109.8534,6.4786,39.5669,5.9736,20.8504,70.7496,71.9242,8.4622,0.3079,1.0264,3.7363,0.2752,36.5231,6.9738,2.1177,6.9116,2.6449,24.4316,19.5138,16.2117,9.1272,14.9955,174.8721,5.9422,41.4986,0.0
PRT_C21,3.6116,0.213,0,0.2498,0.0173,11.0378,4.5265,1.1041,2.1868,2.0397,4.3044,21.9731,2.6406,1.2126,0.4913,2.0978,0.6912,1.1232,0.8951,1.8088,0.2389,1.4643,2.383,0.5855,3.7717,21.6778,1.5893,0.2021,1.3815,1.2371,0.111,4.4625,0.6644,1.1539,1.3622,1.0965,1.1443,6.4244,2.433,2.258,0.7795,208.432,0.6913,0.9145,0.0
PRT_C22,19.0717,0.3563,0,0.8977,0.0871,201.0058,74.0514,14.6819,14.9062,0.6971,27.1105,8.1566,201.9738,41.14,4.192,54.6486,32.6135,49.4711,38.8262,88.6227,11.8863,111.6902,2.4266,5.1774,195.4862,235.8557,15.4139,0.089,0.4975,4.9141,0.1308,21.1105,8.4211,1.1994,5.7777,0.9783,12.4514,41.4376,46.6066,4.9545,1.6173,15.778,2.6689,5.3199,0.0
PRT_C23,33.306,0.2208,0,3.5779,0.2901,199.1619,8.6331,8.8549,8.7771,2.0905,38.7198,7.2947,10.0191,315.5168,18.5478,73.1612,4.5415,18.2403,10.0888,40.7679,1.2148,25.803,11.8947,10.0295,1032.3301,76.8587,10.5001,0.2359,1.4001,14.6733,0.2355,43.7886,2.2936,2.1325,2.6024,2.284,54.3343,15.4849,8.0151,17.9282,2.7657,9.6824,2.9059,2.5408,0.0
PRT_C24,1.619,0.0182,0,0.7271,0.0835,0.743,2.6073,1.7917,4.4492,0.167,2.5854,3.0217,9.2193,21.7963,287.8049,327.7557,15.8929,121.3146,177.785,159.5781,12.9483,35.4759,1.0749,42.2524,126.8375,11.5087,0.7246,0.0,0.0,4.3812,0.0,1.3063,0.2266,0.0,0.0114,0.0,0.7103,2.5122,0.4168,1.7156,0.2757,0.0294,0.3561,0.5864,0.0
PRT_C25,41.2802,9.1081,0,10.8536,1.2085,175.0582,63.6486,26.7058,25.9219,7.4842,24.0512,8.1851,46.0866,34.1456,9.4973,1045.9703,25.2053,70.7743,134.7575,125.8781,41.0103,153.5725,21.4179,18.7334,544.8242,248.9649,44.4145,12.9665,15.6431,19.373,2.161,58.6384,10.8868,11.6969,14.6853,4.6345,10.9077,69.6545,39.601,18.5818,12.6723,48.9861,19.3325,13.5959,0.0
PRT_C26,2.3622,0.5906,0,0.5898,0.0493,9.3836,3.8727,1.5592,3.6864,1.3506,2.6252,0.6439,1.9474,2.0368,0.8856,7.4347,106.4904,19.9825,4.3553,44.5482,0.8401,17.983,7.2221,1.6839,16.9158,60.3836,5.9531,0.6734,3.5091,2.7518,0.6407,6.542,3.4216,55.7655,12.4136,5.835,2.0473,7.8855,8.8192,2.119,1.5572,11.2004,2.8828,2.3363,0.0
PRT_C27,2.7658,0.5143,0,0.6493,0.0541,10.495,4.7749,1.5832,2.7243,1.4538,2.5863,0.8646,4.7423,3.3517,5.0417,19.1665,59.0978,101.3733,19.1101,59.4313,1.9705,27.115,22.6665,4.7412,88.2301,46.7348,7.8231,0.5151,2.0317,1.0046,2.7522,15.9885,3.0138,19.7405,6.4909,11.6478,4.2402,8.226,10.273,1.9034,0.9852,5.2058,2.2651,0.7993,0.0
PRT_C28,4.2512,1.1498,0,2.0517,0.1809,16.1392,5.3178,1.9792,6.1956,1.1394,2.9129,2.0591,5.473,12.587,1.5603,40.4322,8.4804,21.9732,105.5452,33.6395,3.8611,22.2322,5.2968,5.8338,69.4971,33.539,7.659,0.9296,3.0452,2.0375,0.3925,10.2418,1.0892,2.615,2.5475,1.1836,11.5577,7.6819,5.0756,5.8541,1.5762,10.4626,1.6869,1.4687,0.0
PRT_C29,1.4238,0.1484,0,6.2326,0.4815,4.036,1.4979,0.4381,1.2995,0.4502,1.3688,0.6148,6.1757,1.4971,1.7332,8.0966,28.294,10.7592,4.9499,1029.5795,1.0725,7.4206,4.1288,2.9591,17.6105,199.256,6.6933,0.5202,1.2299,3.0362,0.4172,3.508,1.7646,15.7417,4.795,3.6606,3.2333,11.1672,7.3127,6.4796,1.2928,8.2076,2.1502,1.4589,0.0
PRT_C30,0.0227,0.2791,0,0.0192,0.0,0.0,0.1431,0.0,0.0,0.0,0.0481,0.0,0.0209,0.0,0.0054,2.2819,0.1003,0.0,0.0444,1.0645,91.9693,17.336,0.0,0.0158,0.3938,12.7612,0.1843,0.0758,43.8572,0.0041,0.0,2.8328,0.1563,0.0,0.0,0.0,0.0166,0.0477,0.0549,0.1863,0.4084,0.1028,0.1037,2.4972,0.0
PRT_C31T33,17.5624,10.9351,0,10.4171,0.8874,155.7364,58.769,33.4785,31.2732,9.3723,17.5771,8.8938,14.4947,24.523,27.2373,34.6382,9.9705,14.5183,14.2071,33.7208,3.4426,159.0572,36.3401,38.3401,58.0515,79.2077,83.8434,13.1658,45.2234,15.9587,6.274,62.0114,11.221,37.0351,25.8675,10.6901,37.5125,57.0971,43.3691,24.2991,28.5701,182.3263,29.5362,17.3216,0.0
PRT_D,137.0017,14.4978,0,44.0622,1.5797,374.3917,209.6228,84.9699,231.6035,99.38,170.6524,14.3098,116.2686,187.7119,152.6237,114.0219,23.4564,35.3078,32.2398,66.6956,8.3035,72.6561,7589.9524,126.0127,101.0171,629.6442,100.8747,7.0975,5.3056,156.8614,6.4397,532.5549,20.2729,64.4099,14.7169,57.7755,89.3946,74.33,50.792,309.6168,106.2065,274.2961,79.4467,118.126,0.0
PRT_E,13.3882,1.2219,0,1.0072,0.0617,42.846,7.6206,10.3708,86.8823,11.1327,15.8541,2.304,12.3777,79.6412,692.8033,18.2493,1.401,2.3871,34.4043,3.3106,1.1123,6.6197,60.0583,1180.363,23.249,81.7331,17.3933,0.3992,1.2692,19.9703,0.5129,138.5159,3.018,2.7764,2.9433,8.8681,16.5556,16.1772,9.7982,339.0684,36.9227,103.158,44.5889,22.6995,0.0
PRT_F,121.4339,11.4155,0,13.2257,1.2444,81.8742,24.174,15.1585,31.0141,23.5699,21.8076,4.3147,9.5942,31.7202,9.2529,20.8085,5.3301,11.2197,10.6023,25.9341,2.999,26.6876,73.7658,48.6204,3932.3381,280.9756,153.5887,29.3166,68.4351,343.7515,13.9294,84.5078,9.6331,50.3857,23.8343,78.2644,462.5145,80.5038,51.8046,504.5158,89.1057,108.2129,43.5412,37.1323,0.0
PRT_G,669.8234,49.2813,0,54.3452,4.0808,2206.4708,1003.0277,182.0454,371.7773,273.9286,402.1149,94.6722,274.5192,222.5366,104.386,318.5906,108.6179,149.4887,128.8237,433.3442,37.3879,275.0936,467.9232,122.0741,553.6693,2580.5571,801.6496,31.3379,282.8162,227.2749,19.6529,1095.3881,119.8747,206.1397,131.3137,349.6367,131.6028,535.2255,335.1481,252.072,113.5893,885.2202,148.9286,142.621,0.0
PRT_H49,185.2377,3.7959,0,30.1758,1.5099,360.6609,99.5734,49.1171,87.2701,82.6899,109.7577,10.4082,77.6397,119.394,44.1455,98.8997,16.2568,31.7546,37.9568,91.1476,12.7745,55.4045,110.1959,18.0637,68.0987,921.8435,1161.1595,0.9217,12.3797,67.7468,15.275,34.0059,13.991,8.7643,15.4283,22.5272,6.4725,91.4375,57.7393,46.7639,28.2781,34.8554,15.374,30.4596,0.0
PRT_H50,0.9003,0.0431,0,0.5447,0.0433,7.0462,2.5838,1.7653,3.1806,5.1806,2.7853,0.3436,1.5612,2.0591,0.9145,1.0927,0.5419,1.1164,0.761,2.6498,0.3272,1.2307,1.4721,0.45,1.9145,6.3141,0.866,10.5209,0.3563,1.2499,0.5428,1.3841,0.4081,0.537,0.4708,0.447,0.3807,2.3831,2.307,2.326,0.4443,1.524,0.4226,0.3641,0.0
PRT_H51,6.8814,0.8904,0,1.3508,0.1042,24.2263,9.5001,3.3216,5.6221,20.9956,5.8803,0.9227,4.3605,4.0171,3.2215,5.438,1.9199,2.6138,2.5988,9.7192,0.8394,8.447,10.9197,2.9916,6.7626,9.4792,5.8857,0.9229,3.4458,2.8793,0.3812,9.4625,0.9229,3.1546,3.5195,2.3733,1.8458,4.6987,3.0897,1.4326,1.1746,8.961,1.2938,1.0422,0.0
PRT_H52,16.0061,9.7665,0,3.251,0.1779,86.3807,92.4845,20.475,18.474,7.6153,38.066,9.4824,43.931,23.0902,14.7266,38.819,25.4273,33.6113,22.8403,18.1932,8.0561,27.1664,49.028,12.6869,43.7537,572.0221,96.768,124.4721,855.292,1662.2457,3.7699,21.6711,4.8851,7.4767,8.6212,24.639,11.2187,28.8168,23.7673,124.5397,6.4633,13.9726,9.8228,9.0283,0.0
PRT_H53,10.6831,1.2432,0,0.7063,0.0625,9.0592,6.0661,1.7532,3.1486,1.1813,2.7594,1.0944,1.8776,2.992,0.7668,5.0149,1.1793,1.6995,1.9081,2.1276,0.3922,4.8368,6.3377,6.5925,9.1,77.4691,9.0158,0.303,2.8641,5.9323,215.7124,15.2949,13.1759,7.9991,10.1061,58.9004,9.3392,45.3117,28.6389,60.9467,19.4801,23.2639,12.8895,38.4687,0.0
PRT_I,10.2998,0.8141,0,1.4332,0.2901,30.3043,15.9983,6.0966,7.2274,4.6001,9.6511,6.4897,6.0245,7.9675,2.7029,12.1118,6.5997,4.9571,4.8127,8.7708,1.2838,16.9712,5.3552,19.8381,29.965,86.1749,25.999,3.5364,113.5824,17.3888,5.257,341.6841,22.9074,3.787,26.6552,80.3322,10.6914,78.9892,35.6047,172.2841,81.8992,248.0771,32.2424,35.4538,0.0
PRT_J58T60,3.1731,0.2768,0,0.4472,0.0413,9.6973,6.8107,1.1138,4.5281,1.1151,2.3944,1.403,2.2748,2.7281,0.5958,1.7788,0.8943,1.1208,1.2638,2.4001,0.2314,2.867,2.7073,1.2911,6.9847,32.9214,4.3741,0.3568,5.9793,4.8928,6.5417,15.0987,325.0369,100.1914,5.1711,5.3731,3.3411,499.6248,15.9761,9.5722,20.6368,10.5189,9.7596,5.6905,0.0
PRT_J61,42.7782,3.5213,0,5.07,0.5613,51.587,29.028,8.8553,15.6063,6.8628,11.9507,5.0141,8.4421,13.1034,4.5,27.6004,5.7401,7.1791,9.1336,11.414,1.7931,32.782,22.099,33.8179,50.0131,360.2657,42.0309,2.3313,16.3774,35.0281,6.1433,113.8425,31.6242,866.7181,61.6999,174.5874,29.2729,242.5049,105.5768,173.3859,46.6639,183.8114,35.9931,62.0627,0.0
PRT_J62_63,11.0783,0.7049,0,2.301,0.2123,43.2169,16.8141,5.3393,19.3202,16.8089,14.1899,11.5852,12.909,10.4774,2.7279,14.1001,5.2855,8.1112,5.3537,18.2288,1.9012,19.3558,49.9116,14.9705,27.4148,171.1225,22.1322,2.6839,16.7675,37.3628,3.3502,53.3191,39.6581,75.153,448.45,310.3925,20.558,196.1168,55.835,46.1592,36.4905,114.9121,31.046,22.2883,0.0
PRT_K,144.4402,15.6469,0,17.1035,1.2424,233.857,132.0059,44.6834,84.6692,38.4656,61.8358,23.3869,41.4964,73.3405,21.8609,84.5731,15.0657,33.9152,34.3561,37.9261,7.8145,69.2437,170.7743,111.4887,481.993,927.9155,140.7421,20.7166,51.0142,338.4049,15.4207,300.609,48.2167,54.5525,61.2967,3226.869,966.8602,952.1125,159.2879,223.9905,51.2947,221.0069,82.4325,52.3249,0.0
PRT_L,8.6715,0.4513,0,1.9447,0.1815,108.5592,60.6652,13.9135,38.7052,13.9668,24.2061,16.0449,18.034,27.3677,12.0797,16.524,14.5656,12.6349,13.669,23.7102,5.7749,59.005,14.8872,20.19,119.9094,1042.7251,18.4158,3.0727,10.0276,95.0686,20.2412,187.4271,69.7643,66.6752,72.05,272.5888,235.346,136.9075,114.3872,164.2426,64.9864,162.9199,49.1591,55.5129,0.0
PRT_M,151.4473,7.9729,0,11.5124,1.2867,365.5859,90.5269,25.8738,75.9359,42.4617,59.6049,35.883,50.8046,52.9149,17.5075,62.4939,22.7072,46.1338,28.8904,75.2428,14.1382,122.7208,230.9918,57.4885,245.499,1565.2153,110.6301,16.0531,62.0474,218.0236,20.2,234.8022,157.8074,426.1367,309.9316,562.7423,272.2628,1782.5042,350.9881,175.7308,117.9374,644.8038,175.8889,172.3903,0.0
PRT_N,43.8444,7.3629,0,24.0027,1.4924,190.2877,74.0855,20.6941,57.1244,24.1468,52.4199,27.6304,64.0786,77.9549,18.1074,59.627,260.4703,60.3381,37.591,244.3042,7.555,65.254,103.0121,68.7053,210.23,1220.2872,175.1878,15.5091,231.8866,271.8648,31.8556,287.2516,96.1865,358.406,130.8121,227.5254,163.1741,500.8659,1038.0102,420.0368,127.053,387.6384,182.1127,94.1691,0.0
PRT_O,26.93,1.4722,0,3.4232,0.2514,38.5514,12.5739,6.8668,15.432,18.2191,7.894,3.5523,6.6421,12.0821,11.0908,8.2819,3.4208,6.7621,5.0061,10.2612,1.698,14.0821,27.8048,33.5212,86.6695,178.843,33.968,18.495,18.8872,62.5948,4.6617,31.9632,16.1745,150.2397,41.4101,120.6159,42.0442,190.5721,88.633,82.1091,24.8913,98.4844,30.8901,21.3295,0.0
PRT_P,1.8966,0.4332,0,0.2476,0.0171,5.769,3.1438,0.6984,2.4013,2.0442,3.6054,1.2123,1.753,1.5161,0.4869,2.6332,0.8038,2.006,1.3229,2.6682,0.3714,2.5661,3.0615,1.3145,7.2643,27.5931,2.617,0.4368,2.305,11.5004,0.2624,4.1539,2.8818,5.628,11.1726,24.7225,3.1071,29.0617,7.2272,59.213,99.8399,12.764,2.1461,1.9807,0.0
PRT_Q,4.6121,0.8065,0,0.6724,0.1163,11.956,6.2505,1.4657,3.857,1.09,3.2833,1.3903,2.5961,2.6823,0.8728,6.9001,1.2083,2.0149,1.7706,4.0373,0.5518,4.936,2.9439,2.0019,20.0791,74.7157,6.9797,1.04,3.6737,6.0989,1.0905,27.2451,17.9137,7.6818,19.135,44.778,11.3039,86.0328,25.3845,31.9321,37.047,954.9977,22.1568,14.3832,0.0
PRT_R,1.1198,0.0994,0,0.17,0.0084,10.8185,2.3075,0.4249,1.1421,0.5615,1.2259,0.6203,0.5746,0.9222,0.2644,1.0576,0.9293,0.6961,0.5174,0.9581,0.0958,1.4034,0.9738,0.5062,6.5711,37.2268,2.3752,0.3986,0.8545,5.6306,0.5282,45.6182,104.0931,3.7049,2.1757,9.3376,2.319,57.6292,27.0612,55.5063,19.9936,5.5426,174.4359,113.1685,0.0
PRT_S,31.6076,1.0292,0,1.3741,0.1447,19.5104,7.2369,2.6402,6.46,1.4913,4.7033,3.9279,2.9161,5.5006,1.3981,6.2144,1.3343,2.7144,1.6174,2.8625,0.4929,4.3155,6.1295,4.5303,16.8149,69.3082,15.681,0.7043,5.6582,8.3791,1.628,21.8941,4.8461,6.4491,5.7979,33.7614,10.9221,30.0411,14.762,16.9835,7.5105,24.1918,57.2434,57.2036,0.0
PRT_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
