V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_C24,0.97,0.0242,4.5544,0.0556,1.3588,3.1388,0.9166,0.5239,0.1607,0.0063,0.4252,0.0263,0.4689,0.0742,14.8908,1.7858,0.1484,0.054,0.0547,0.0912,0.0064,1.8522,0.1455,2.1373,15.3044,1.413,0.8027,0.3315,0.3453,0.8083,0.0287,0.6755,0.5747,0.4023,0.2669,0.0524,0.1318,2.2163,0.4829,0.0036,0.2505,0.018,0.0229,0.2957,0.0
CMR_C25,0.6704,0.0126,1.4877,0.0257,0.4218,1.3003,0.4406,0.2571,0.0308,0.0022,0.0825,0.01,0.1048,0.0163,0.3345,0.1497,0.0228,0.0045,0.0113,0.032,0.003,0.3044,0.0414,0.5211,5.7647,0.6619,0.3207,0.1111,0.0886,0.4787,0.042,0.3439,0.1607,0.2236,0.1423,0.0238,0.083,0.8968,0.2943,0.0031,0.143,0.0135,0.0202,0.145,0.0
CMR_C26,0.0011,0.0,0.0257,0.0889,0.0086,0.0123,0.0017,0.0003,0.0009,0.0001,0.0017,0.0004,0.0003,0.0029,0.0003,0.0001,0.0376,0.0,0.0,0.0,0.0,0.15,0.038,0.002,0.0063,0.0008,0.0046,0.0013,0.0033,0.0073,0.0017,0.0002,0.0927,0.3359,0.2369,0.0324,0.0001,0.0334,0.0072,0.1189,0.0082,0.0322,0.0018,0.0204,0.0
CMR_C27,0.3901,0.0002,0.258,0.0205,0.0582,0.6661,0.0168,0.022,0.0425,0.0004,0.0225,0.003,0.0178,0.0869,0.011,0.0022,0.0008,0.0255,0.0136,0.0,0.0,0.0685,0.2967,0.0801,1.0926,0.0887,0.283,0.0637,0.0705,0.2702,0.0297,0.0068,0.1489,0.4653,0.2136,0.3026,0.0093,0.4231,0.1602,0.4047,0.0081,0.0695,0.0114,0.0612,0.0
CMR_C28,0.594,0.0002,0.3641,0.0394,0.0876,0.7189,0.0201,0.0251,0.0421,0.0004,0.0193,0.0034,0.0137,0.0891,0.006,0.0014,0.0001,0.0017,0.0142,0.0,0.0,0.0369,0.0802,0.0559,0.294,0.0324,0.1039,0.0473,0.0595,0.1399,0.0183,0.0018,0.0594,0.0767,0.063,0.1056,0.0023,0.1486,0.0974,0.167,0.0028,0.0284,0.0033,0.0184,0.0
CMR_C29,0.0082,0.0028,0.0008,0.0009,0.0002,0.1349,0.0,0.0027,0.0002,0.0,0.0041,0.0006,0.0089,0.0003,0.0037,0.001,0.0,0.0,0.0001,0.4539,0.0,0.0,0.0001,0.0212,0.1474,0.185,0.4854,0.0187,0.0567,0.1605,0.0238,0.0003,0.0003,0.0004,0.0003,0.0001,0.0,0.0252,0.0001,0.0287,0.0043,0.0003,0.0,0.0002,0.0
CMR_C30,0.0016,0.0021,0.0004,0.0003,0.0001,0.0199,0.0,0.0006,0.0001,0.0,0.0008,0.0001,0.0017,0.0001,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0247,0.0,0.0,0.0034,0.029,0.0,0.0541,0.0619,0.118,0.0353,0.0064,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0059,0.0,0.0165,0.0012,0.0001,0.0,0.0001,0.0
CMR_C31T33,4.4666,0.0531,0.2913,0.1244,0.0708,3.621,1.3158,4.7083,0.0615,0.008,0.0853,0.0105,0.1167,0.1561,0.0436,0.0044,0.0066,0.0885,0.151,0.6042,0.0706,0.7155,0.327,0.2535,9.1701,2.8847,1.9415,0.1755,0.4699,0.5978,0.1049,0.3068,0.3536,0.8506,0.2924,0.0829,0.1859,1.5057,3.2463,6.0236,1.9856,1.1753,1.7162,0.3252,0.0
CMR_D,4.2239,0.0265,0.5996,0.0869,0.1081,36.1408,13.8811,2.1469,0.6033,0.0268,0.8408,0.077,1.8467,7.9516,3.0132,0.24,0.0003,0.0171,0.0298,0.0642,0.0062,2.8431,15.8497,3.5606,1.9553,15.598,2.5506,0.2459,0.5495,3.2833,0.4352,6.2274,1.8436,5.8782,2.2396,2.5588,3.0382,8.9097,1.2646,123.0125,5.5442,10.1122,2.738,3.9732,0.0
CMR_E,3.4946,0.0012,0.0172,0.169,0.003,0.8149,0.1828,0.0121,0.0083,0.0021,0.0071,0.0009,0.0106,0.0014,0.0012,0.0001,0.0,0.0011,0.0013,0.0092,0.001,0.1747,0.0101,0.0329,0.0854,0.5142,0.0795,0.023,0.0363,0.135,0.013,0.2727,0.0144,0.0188,0.017,0.1138,0.028,0.3129,0.2443,4.1868,26.4401,2.381,0.1271,0.1099,0.0
CMR_F,15.8601,0.6296,1.0616,0.0756,0.3061,0.6186,0.2075,0.3563,0.0559,0.0275,0.0857,0.0149,0.0205,1.0088,0.0096,0.0014,0.0,0.0017,0.0032,0.0542,0.0048,0.4896,0.2553,0.0513,23.9484,0.5598,0.9409,0.0473,0.1136,0.2446,0.0515,0.0476,0.0247,0.0361,0.0224,0.0363,0.1952,0.0373,0.2742,0.6653,0.9274,0.1274,0.0358,0.1768,0.0
CMR_G,130.6199,14.1301,43.0769,9.5282,10.0231,344.6941,66.4306,60.3289,11.2441,20.0152,22.947,10.6277,5.9471,14.9952,9.396,1.6581,0.7772,1.4234,2.0405,5.9305,0.8303,28.0031,7.9853,8.0419,220.661,180.2483,122.8872,13.294,28.8406,26.6277,7.1433,146.4604,12.587,12.961,9.3777,5.0738,4.1862,26.9758,44.7447,84.6237,12.3621,22.8371,16.942,26.1764,0.0
CMR_H49,157.6317,0.7111,10.5089,0.326,1.6729,36.213,12.1161,24.8854,1.1375,8.6354,1.6733,0.4484,0.4742,2.1163,1.3006,0.2091,0.0387,0.0958,0.1458,0.5397,0.0786,4.2853,2.8151,1.1934,37.3706,98.7695,5.5028,1.0796,1.7092,3.0285,0.5726,13.3954,1.9935,1.6579,1.5192,14.7295,6.6297,16.6166,3.6588,43.3231,2.542,2.2944,2.9056,2.4398,0.0
CMR_H50,27.9935,0.2288,2.2179,0.0979,0.3829,4.4439,2.2294,4.6957,0.2747,1.7512,0.3931,0.1393,0.1117,0.4896,0.2761,0.041,0.0142,0.0187,0.0242,0.0641,0.0079,0.5649,0.4581,0.2167,3.8873,16.8555,1.0446,1.2895,0.4542,1.1366,0.2255,1.6778,0.3342,0.3541,0.2832,1.552,1.3634,2.2214,0.515,5.5747,0.2233,0.2874,0.427,0.3662,0.0
CMR_H51,12.7593,0.1862,2.0189,0.1082,0.399,4.5737,1.8844,1.9313,0.2367,1.3432,0.4656,0.1856,0.1253,0.5907,0.305,0.0478,0.0189,0.0218,0.0263,0.0685,0.0078,0.5953,0.5509,0.253,4.4389,12.7368,0.9764,0.2877,0.9939,0.7174,0.1848,2.0816,0.5153,0.6328,0.6674,8.5095,2.098,5.9542,3.5035,15.0885,0.5601,0.4687,0.634,0.4788,0.0
CMR_H52,162.9963,0.385,4.9386,0.1482,1.1368,17.9675,10.7515,21.8679,0.9241,3.518,0.5899,0.1255,0.2678,0.5321,0.3819,0.0604,0.0067,0.0279,0.0464,0.0982,0.0143,2.2319,0.7194,0.7055,15.5412,174.4894,6.0343,3.5927,5.3834,10.5211,0.3978,4.1036,1.5849,1.8376,1.1436,15.9305,8.5578,16.4743,1.4285,41.2874,0.9964,1.0935,2.1045,0.9252,0.0
CMR_H53,20.3336,0.0257,0.6391,0.015,0.1537,1.6493,1.5254,2.3808,0.1138,0.1963,0.0436,0.0113,0.0263,0.0173,0.0173,0.0042,0.0,0.0016,0.0036,0.0001,0.0,0.2342,0.0915,0.1727,1.6729,38.5967,0.4036,0.1075,0.2001,0.6588,0.8592,0.904,0.7903,1.1861,0.5279,20.9258,5.1479,7.8666,0.5056,26.6953,0.6684,0.6974,0.7988,0.28,0.0
CMR_I,14.4277,2.5275,4.4263,0.8083,1.2907,18.7772,69.5145,5.6467,3.2554,0.0955,4.3643,1.2132,0.8223,0.4669,0.5341,0.108,0.2141,0.1441,0.2893,0.0028,0.0003,16.4258,4.4431,1.2343,53.551,372.7345,57.1644,10.556,78.4175,44.9775,11.1516,14.1316,7.8578,8.7927,9.2123,26.2089,115.1997,36.0933,15.3655,38.974,31.8425,6.9196,8.1145,17.2415,0.0
CMR_J58T60,0.1825,0.0018,0.1844,0.0035,0.0381,1.2434,0.3042,0.0918,0.0686,0.0051,0.0978,0.0251,0.0625,0.04,0.0064,0.0014,0.0,0.0093,0.0158,0.0,0.0,0.1145,0.0226,0.0173,0.8445,3.5887,0.3238,0.0958,0.2785,0.4944,0.114,0.5116,4.709,1.6936,1.0122,0.3646,2.6654,2.5464,0.8817,4.6092,2.5191,1.4016,0.5082,0.1824,0.0
CMR_J61,0.5543,0.0041,0.4378,0.011,0.109,1.6581,0.7402,0.2085,0.079,0.0075,0.1214,0.0276,0.1363,0.0906,0.0159,0.0041,0.0,0.0163,0.0339,0.0001,0.0,0.2367,0.0523,0.0456,3.0449,6.0378,1.1942,0.2287,0.476,1.3201,0.351,0.9162,0.3963,3.9721,0.6067,0.9538,5.6717,2.4269,1.5501,8.3602,1.6984,3.3844,0.3659,0.288,0.0
CMR_J62_63,0.7316,0.0046,0.8231,0.0233,0.1713,2.3465,1.5041,0.2834,0.149,0.0149,0.293,0.069,0.2253,0.1591,0.0407,0.007,0.0001,0.0358,0.0626,0.0002,0.0,0.4793,0.1369,0.0898,4.3351,10.593,1.575,0.4289,1.694,2.3026,0.581,0.7428,1.8901,3.0163,7.1751,2.6977,8.7468,6.5777,1.9484,17.0298,3.8638,6.1275,0.854,0.4706,0.0
CMR_K,6.2168,1.184,2.6409,0.2367,0.4771,15.9617,3.3836,4.0462,2.6245,0.8109,1.9664,0.4103,0.6072,0.4128,0.5841,0.0856,0.0144,0.1988,0.3634,0.1844,0.0194,0.4978,17.4745,1.0595,17.0857,126.6143,24.5486,7.5063,12.3815,23.0343,2.4312,7.7074,5.2106,11.2013,8.4766,66.5861,54.9957,46.4756,5.2963,12.532,7.8154,0.9735,10.228,0.2721,0.0
CMR_L,1.9145,0.0124,2.5692,3.3631,0.6017,9.4064,0.9679,1.9173,0.3679,0.0873,0.5069,0.1137,0.5447,0.0223,0.0941,0.0247,0.0,0.0347,0.0694,2.5055,0.3147,1.7244,3.2481,0.2459,9.283,133.4754,9.3719,1.6693,3.66,17.9726,1.7729,7.9084,7.8034,18.0558,11.9529,13.6509,1.0646,5.8528,0.1148,0.2335,0.7819,0.4005,3.362,0.1467,0.0
CMR_M,24.358,1.1266,15.4381,0.6535,4.1613,52.8081,0.6184,3.3925,2.9497,0.1736,1.309,0.4553,2.6627,3.0996,0.5222,0.0961,0.0008,0.1292,0.2148,0.017,0.0018,1.5875,5.1219,1.0134,20.3069,82.4981,11.4058,3.8665,6.5945,15.8387,1.5765,4.8801,32.769,40.7964,40.3599,30.3015,3.7834,17.1309,57.4691,277.5296,101.8928,16.8608,12.4226,5.1697,0.0
CMR_N,5.4714,0.0566,6.4861,0.4091,1.622,7.9589,3.4853,0.5625,1.5167,0.0072,0.2866,0.0786,0.6092,0.0122,0.0276,0.0058,0.0,0.0081,0.0134,0.0009,0.0001,0.6148,3.0788,0.0661,5.5499,6.287,4.2489,1.8144,3.8162,5.5133,0.6211,0.4105,3.1614,5.0849,4.6984,10.1033,1.2576,12.9027,0.0011,175.0106,17.4141,2.0331,0.3364,0.38,0.0
CMR_O,0.236,0.0026,0.0116,0.0041,0.003,0.9522,0.034,0.0144,0.0011,0.0001,0.0039,0.001,0.0015,0.0004,0.0003,0.0,0.0,0.0001,0.0001,0.0009,0.0,0.0013,0.0012,0.0054,0.0099,0.0973,0.0556,0.0027,0.0087,0.0106,0.0031,0.142,0.0327,0.0461,0.0552,0.0073,0.0002,0.008,0.0137,0.1655,0.0142,0.0266,0.0034,0.0437,0.0
CMR_P,1.11,0.032,0.0135,0.0019,0.003,1.0082,0.0435,1.5837,0.0087,0.0021,0.0393,0.0145,0.0309,0.0012,0.0128,0.0016,0.0,0.0015,0.0025,0.0018,0.0002,1.3132,0.0247,0.0038,9.0328,2.5121,0.1461,0.0519,0.1613,0.1719,0.0348,0.1727,1.0818,1.6334,1.9645,0.243,0.2069,0.0805,0.1324,4.5783,0.0479,0.0067,0.012,0.0032,0.0
CMR_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2761,0.0,0.0,0.0
CMR_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.2659,0.0,0.0
CMR_S,1.5702,0.4443,0.0,1.2927,0.0,1.3788,4.8777,1.2033,0.0036,0.0,0.0041,0.001,0.0016,0.007,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.1253,0.0,0.0245,9.269,7.1512,5.901,1.9097,4.1284,7.2817,1.1059,0.1459,1.0154,0.8485,0.8306,12.7334,0.2031,7.7268,2.1588,0.5731,0.1638,0.001,0.6582,11.836,0.0
CMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
