V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_H52,1315.8641,88.1342,1425.5259,920.7959,32.5998,881.3776,25.7477,71.9716,517.8361,200.5043,337.6691,282.1749,187.3791,324.5411,81.2019,802.6547,24.0301,25.6276,53.4048,138.8769,166.2357,53.3147,93.4724,101.384,2702.4936,5791.4679,994.1448,593.9007,1631.6548,3467.2504,295.0953,210.0084,81.0009,823.4518,132.6614,315.1788,389.2632,1251.1912,919.0046,813.7044,612.457,395.2786,200.3653,244.0912,0
AUS_H53,128.5334,13.8531,147.8013,145.2987,11.6388,131.1151,11.3979,23.0485,32.0752,11.8899,16.0775,18.1758,14.6508,33.2769,7.3175,30.6137,11.0528,9.1959,20.5916,12.2111,18.104,19.0584,54.0,83.5095,647.9564,685.4308,221.3127,20.398,26.3394,156.0682,378.3875,103.0448,57.003,82.7697,31.6953,1095.8683,132.0099,782.0169,436.5552,379.932,414.2993,580.1832,244.2883,213.4814,0
AUS_I,269.1693,26.1538,536.1252,331.7005,73.0555,696.5706,7.1384,32.727,126.8504,203.5177,78.2715,124.4568,47.8356,96.1861,16.8201,156.2231,20.1068,14.2674,42.4842,54.5919,93.9664,17.2458,64.2505,104.0295,1816.2812,912.0784,141.3873,12.6858,24.7443,199.6384,96.0105,124.4886,91.7929,390.3205,167.7519,532.9454,125.0364,1904.0238,1166.552,589.4046,435.505,207.3103,362.0538,180.2774,0
AUS_J58T60,21.452,6.8654,31.9536,35.5707,10.8401,75.5922,3.7039,18.0808,52.0109,11.4537,25.7175,33.9618,39.3296,23.6424,12.2015,41.3374,11.8391,7.5336,18.6571,50.4778,77.2547,7.8238,14.5185,56.6739,372.7739,1077.5794,59.9675,20.9626,94.6554,84.7843,55.5422,531.6779,1929.5526,1117.3111,1097.7645,1388.1065,236.0257,976.3888,949.6884,583.2918,905.9901,334.3874,613.7401,235.7246,0
AUS_J61,106.1655,16.8237,119.8214,90.3451,26.9035,156.6595,6.5168,57.9018,120.5581,130.3518,45.1545,54.0463,86.7798,105.5879,28.5508,147.2931,49.4619,37.288,101.6715,80.0909,142.7344,55.843,75.3297,139.8958,1899.049,2599.9688,197.062,31.9574,51.6492,423.8655,148.0779,203.3745,1266.7643,7600.3208,1120.8808,2667.3472,354.5632,1202.3301,1213.7596,1527.1904,1176.8503,812.1353,486.294,840.8785,0
AUS_J62_63,95.7426,22.5882,300.6795,165.4478,15.2015,179.531,12.7325,55.1428,223.6731,50.4887,71.5601,75.9926,106.885,102.5002,90.0335,94.4157,55.5863,27.4325,79.4712,151.4346,313.249,29.5367,106.7782,96.1359,1125.8851,2658.1513,191.1752,46.2209,34.596,320.3982,132.5764,192.7219,791.7283,2088.1225,4086.4302,9573.7559,276.687,2567.5515,1958.8648,2995.047,1643.0055,617.341,701.2246,627.9954,0
AUS_K,4231.3874,254.2386,3609.8265,2655.9822,354.5642,1352.2218,42.2754,147.8953,190.83,104.0986,186.1478,174.701,161.9917,228.0875,183.8814,277.5716,62.7227,73.0485,150.7237,223.032,355.3527,97.6011,3033.9003,3829.5093,6424.5348,5259.0476,972.6821,1165.0349,163.7124,2474.254,222.8372,2097.3879,391.6751,1088.3541,555.2107,23222.6598,30185.2931,5736.0264,2950.5066,4643.1899,2602.6211,2871.5579,599.692,672.2072,0
AUS_L,500.8602,26.0148,326.4311,734.256,13.418,219.0259,4.6095,53.7924,133.1243,289.2223,23.6177,29.1538,44.407,117.5634,16.5632,240.8393,18.4846,19.5256,45.3915,91.1187,164.0618,13.6587,26.8248,175.5557,2792.3702,8533.9139,596.4893,70.1209,216.1333,697.3369,387.6756,3041.246,249.191,1774.4544,1257.4348,1456.3928,3951.7967,3343.3309,4408.996,905.7314,1486.5429,916.2313,831.6002,311.7384,0
AUS_M,2293.326,194.5525,1319.4465,2418.929,2389.6664,1180.8592,33.2058,247.3587,943.4924,293.7326,287.6167,565.2101,386.0776,583.0165,79.2583,716.8268,303.889,313.45,625.0147,308.7137,436.071,219.3674,308.6689,2236.906,12148.9286,8645.7548,1247.6361,573.8807,690.2046,1615.7358,194.3575,617.417,884.4474,2738.6169,3927.9779,6693.5567,5176.5475,21265.1084,4748.4246,3258.1855,1417.3876,2731.9466,2797.4254,1012.4664,0
AUS_N,931.948,182.0451,1380.7382,893.8129,168.7591,1604.1584,67.8528,319.5534,391.4904,171.5831,134.7083,209.9642,343.5852,573.499,101.4627,372.8665,87.3347,85.7671,171.7862,161.4432,248.9872,170.5306,380.3304,434.3744,6817.9631,4970.199,847.3326,294.3333,1514.4101,4028.409,504.0985,3318.8878,610.0199,586.2689,2820.0583,6493.736,2611.5155,7603.0803,6811.6592,2242.0606,2682.9168,3947.9221,3094.7349,1764.595,0
AUS_O,80.7529,18.8197,523.1516,683.6652,40.6467,171.0859,2.9485,48.3139,179.0817,123.2452,132.0136,189.0929,145.6247,103.4884,21.3785,152.0968,20.9084,21.0223,50.8942,97.4966,225.7784,51.3174,56.6836,113.4471,2101.3062,944.4947,648.6547,13.1257,7.3832,717.0219,140.8082,61.9887,475.4238,240.0314,955.5411,867.6542,292.3941,1955.9609,904.0335,2335.3308,1207.7055,716.6432,342.1661,473.5241,0
AUS_P,18.683,2.783,77.6729,74.84,8.3383,52.827,4.1988,9.2348,20.7394,31.1825,11.8448,19.7127,16.839,32.9154,11.4371,22.8672,6.3144,6.7402,15.1783,14.0742,22.9876,9.6635,88.7716,74.3143,126.1239,163.6341,50.0026,7.6812,6.6855,71.5996,12.5649,23.2204,26.7362,45.9813,131.4218,804.5963,52.6365,421.0407,302.8069,198.0483,707.9213,171.6902,109.6534,172.7741,0
AUS_Q,0.7974,2.7435,1.4323,0.0,1.617,17.6955,5.1289,11.9948,14.49,2.9992,56.1495,115.2285,6.6845,1.4111,1.7116,1.3871,0.8589,0.8203,1.8395,0.5213,1.1216,1.7933,0.9893,1.43,9.2182,19.6467,0.0,3.0397,0.0,9.6547,15.9233,9.0852,7.5197,0.0,0.0,1555.2356,5.7927,19.6028,49.7648,118.7495,109.9494,1274.0662,11.2836,18.321,0
AUS_R,13.7739,3.3913,111.8344,99.9519,11.6849,9.463,0.9826,2.0541,2.676,1.4898,1.6282,2.2163,1.9882,2.4872,0.7273,2.8757,0.5375,0.4143,1.0034,4.2029,7.0915,1.2825,20.7293,7.6201,355.4001,478.1808,22.7577,8.8038,15.6181,5.4272,3.2348,81.2296,394.7778,39.0429,33.3011,250.2301,76.0001,697.7018,473.2509,294.3252,1272.2998,609.0988,4205.582,220.4439,0
AUS_S,99.0556,33.2867,345.9551,406.3207,49.9206,59.2395,10.4645,34.4215,36.1605,75.3308,13.8286,17.3016,29.6174,46.0147,7.955,22.2963,3.9645,3.638,9.0698,9.153,15.0799,8.1024,29.5471,122.2277,614.9298,706.6479,233.4624,44.9097,20.5352,128.3363,67.7557,108.3588,148.1861,234.259,121.2318,344.5784,164.9657,811.6451,367.2985,297.2632,293.8123,2159.9009,248.7316,507.881,0
AUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
