V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_C20,2.2096,0.0334,18.1739,0.0141,0.0212,1.4938,18.6989,5.7164,7.5771,1.9271,0.1498,0.0119,1.9521,7.483,6.0246,5.5715,0.0109,0.0979,0.2939,0.7666,0.0264,2.5367,7.5573,2.8614,6.1399,8.2211,2.1479,0.0018,4.2393,0.2617,0.0007,0.2941,3.5925,3.6577,3.433,0.0814,0.0401,1.6922,0.6175,0.1282,71.3073,4.3911,0.9201,9.4846,0.0
NGA_C21,0.0062,0.0,12.2601,0.0012,0.0001,0.0078,0.0,0.0,0.0003,0.2137,0.0004,0.0013,0.0,0.0,0.0031,0.0025,0.0038,0.0018,0.0045,0.0064,0.0004,0.0007,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2642,4.4927,0.0,0.0,0.0132,0.0,0.0168,0.2505,4.4917,0.0,0.0,0.0
NGA_C22,0.0678,0.0048,12.8565,0.0006,0.0324,8.4298,4.9087,0.7329,0.0041,2.0501,0.0001,0.0,0.8723,51.3126,0.0032,0.003,0.0117,0.0001,0.0002,0.0004,0.0,8.758,3.9067,2.1764,591.3147,82.162,46.6091,0.0444,0.4488,2.084,0.0365,0.0613,3.9004,16.9176,10.63,1.1052,1.3871,0.5928,0.1713,23.701,19.677,3.4332,0.8389,40.0821,0.0
NGA_C23,0.0024,0.0268,19.4955,1.7254,0.0498,8.0748,11.9759,7.1521,0.0087,1.0876,0.0181,0.0056,1.1597,76.5328,52.1364,40.2297,0.1037,1.2125,8.7396,7.8331,0.2674,12.3737,20.8965,3.1181,3602.7233,31.8553,0.0035,0.0,0.0048,0.0034,0.0093,0.0249,0.0967,0.0728,0.0457,0.0957,0.0011,0.129,0.3461,86.8435,0.6586,0.8786,0.0533,5.123,0.0
NGA_C24,0.0009,0.0002,150.0513,0.4196,0.0846,0.0133,42.739,12.5684,0.4252,52.2891,0.127,0.0088,2.5528,8.1177,84.7696,69.4738,0.0,1.6304,0.6258,0.5313,0.0174,137.9943,0.6049,3.698,101.6796,11.5366,0.0012,0.0007,0.0,0.0031,0.0,0.0022,0.0809,0.0226,0.0158,0.0179,0.0026,0.003,0.0002,0.0032,0.0137,0.0228,0.0,0.0237,0.0
NGA_C25,1.8618,0.0,2.675,4.5228,0.0626,0.1199,0.1322,1.9502,0.0004,0.7314,0.0005,0.0001,0.5664,2.8639,2.8907,7.2386,0.0266,0.1775,2.3158,1.4466,0.0667,7.2375,0.3971,1.6435,190.8373,16.8445,0.1724,0.0002,0.0053,0.1736,0.0003,0.0093,0.0658,16.3968,9.9136,0.0469,0.0108,0.1208,0.1202,0.1366,1.6865,0.0158,0.0383,2.7028,0.0
NGA_C26,0.0016,0.0,0.2148,0.0001,0.0002,0.001,0.013,0.004,0.0053,0.0033,0.0004,0.0001,0.0015,0.0052,0.0456,0.0821,0.0005,0.0011,0.0134,0.0145,0.0009,0.0641,0.0123,0.0136,0.1703,0.2771,0.0203,0.0,0.0034,0.0097,0.0008,0.0002,0.0609,0.6206,0.2829,0.0798,0.001,0.1662,0.0033,0.0307,0.0553,0.1371,0.0036,0.0153,0.0
NGA_C27,0.0,0.0,0.0492,0.0,0.0001,0.0,0.0002,0.0001,0.0001,0.0154,0.0001,0.0,0.0001,0.0015,0.0252,0.034,0.0001,0.0005,0.005,0.0151,0.0007,0.0468,0.029,0.0112,0.1676,0.2508,0.0,0.0,0.0,0.0001,0.0,0.0,0.0018,0.0293,0.0106,0.0004,0.0,0.0011,0.0013,0.0003,0.002,0.0029,0.0002,0.0445,0.0
NGA_C28,0.045,0.0,2.336,0.061,0.0081,0.1697,0.6744,0.0472,0.0,0.5532,0.0002,0.0,0.0015,0.0126,0.0192,0.0231,0.0003,0.0023,0.1956,0.0407,0.0019,0.5151,0.0048,0.279,8.6518,2.9018,0.0394,0.0,0.053,0.0151,0.0,0.0,0.0228,0.1198,0.083,0.0,0.0,0.0564,0.0106,0.0,0.0,0.0,0.0,0.0304,0.0
NGA_C29,0.0003,0.0,43.7425,0.1193,0.023,0.0043,13.7436,3.9858,0.1365,16.2879,0.0397,0.0027,0.772,2.5556,26.3237,21.5284,0.0005,0.525,0.0,0.0321,0.0003,43.6054,0.0045,1.1884,14.0757,8.224,1.0548,0.0,0.0,0.0029,0.0003,0.0024,0.0229,0.6514,0.4814,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0
NGA_C30,0.0,0.0,0.0457,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0015,0.0036,0.0,0.0002,0.0227,0.0019,0.0091,0.1796,0.0,0.0,0.2997,0.146,0.0246,0.0,0.0024,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0128,0.0,0.0
NGA_C31T33,17.6638,0.358,78.8139,0.1235,0.0598,3.3459,40.5101,23.3219,0.4543,0.0615,0.0805,0.0169,0.7931,3.52,0.5292,0.5929,0.0215,0.008,0.1758,0.0886,0.0117,113.4429,14.6643,7.4655,138.0863,98.6369,10.9766,0.8669,2.6768,3.4118,0.1084,2.6535,13.6123,39.7945,20.4567,20.8099,6.7918,6.7144,0.3549,4.4625,16.017,25.312,0.1635,31.2416,0.0
NGA_D,2.5701,0.0605,383.0847,0.2995,0.0876,1.0705,4.6152,0.7211,0.3527,5.3471,0.0247,0.0019,0.5125,0.8549,0.2987,0.164,0.0166,0.0217,0.0871,1.3326,0.0341,2.8352,279.0153,8.1979,54.957,37.3556,5.5734,0.0,0.5593,0.7796,0.0112,0.9469,14.326,21.2407,6.7112,2.3955,31.0818,2.2544,0.1961,20.3017,16.2305,6.2476,0.0,42.5261,0.0
NGA_E,7.4583,0.0,18.8865,0.0041,0.0245,0.1941,2.8594,0.3816,0.4243,1.4464,0.0492,0.0061,0.0837,0.1314,4.1511,3.1083,0.0041,0.0448,0.606,0.4071,0.0289,0.6566,0.0076,1.7113,0.082,12.7245,1.05,0.0,0.0,0.0717,0.0,0.8414,1.1729,0.4611,0.272,0.8672,4.1189,0.1197,0.0129,3.6232,0.7118,1.7257,0.1377,0.9119,0.0
NGA_F,4.1416,0.1071,265.5491,0.0741,0.178,0.1707,7.1513,1.6218,0.0019,62.2422,0.0,0.0,0.5126,1.4708,0.0002,0.0002,0.0051,0.0001,0.0001,0.0018,0.0001,3.4108,3.6357,4.1777,3.934,46.3908,2.0247,0.0,0.0,0.1372,0.0,0.4446,1.8018,7.3767,2.4441,14.577,8.5952,1.1353,0.9777,1.6475,3.528,3.9775,0.1901,7.0101,0.0
NGA_G,10289.551,368.1227,3046.305,8.49,2.0394,7395.4678,2889.1575,213.9368,51.9336,499.2084,55.3028,14.8447,148.1227,428.3476,112.7189,104.2594,3.2373,2.2761,19.5531,37.394,2.1138,272.7581,182.8894,86.2477,6592.0072,16628.7492,4341.4066,22.3607,31.0727,18.6455,4.8502,940.2721,486.4441,4558.4453,2561.6443,127.7794,146.6131,294.1056,14.5627,257.1995,732.6401,253.8575,26.0973,1307.606,0.0
NGA_H49,220.4933,7.7632,63.7599,0.2116,0.4774,176.8303,80.7146,15.2728,1.3849,15.8076,1.0977,0.2713,22.3227,102.3709,3.6841,2.6771,0.9036,0.0577,0.334,1.0769,0.0621,21.9858,20.9643,25.0416,1214.0792,582.4977,915.2949,0.7304,0.5687,5.7404,1.8842,18.8453,75.0701,1297.1562,933.4543,54.6747,9.095,66.9866,0.3968,84.5106,284.3625,38.5415,4.2709,544.9817,0.0
NGA_H50,1.2028,0.0417,1.4249,0.0291,0.0022,1.3064,1.4149,0.1476,0.1265,0.2328,0.0152,0.0032,0.0537,0.3473,0.3438,0.3173,0.001,0.0071,0.0605,0.0697,0.0038,0.393,0.2833,0.1324,7.4188,3.867,0.581,0.0071,0.0762,0.0205,0.0112,0.1997,0.178,0.7275,0.4563,0.0298,0.0238,0.0808,0.0164,0.1659,1.1003,0.1867,0.0216,0.3799,0.0
NGA_H51,14.3664,0.5106,18.8579,0.1301,0.0147,11.3377,6.3622,0.6866,0.549,1.7173,0.1064,0.0247,0.3937,1.7255,1.6237,1.4867,0.0067,0.0304,0.2667,0.3338,0.0185,1.8241,1.2973,0.6133,36.0586,28.5864,3.0617,0.1364,3.833,0.4214,0.0953,1.5631,0.9257,6.7167,5.4461,0.2349,0.1456,0.4823,0.0958,0.848,4.9433,1.2754,0.1537,2.6825,0.0
