V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T
DEU_C20,1363.8461,1.3022,19.0505,47.8241,5.3011,1010.8693,952.7838,628.4068,1423.5928,859.0276,13556.6925,2574.1753,7078.2994,813.1483,1040.2122,874.7382,578.0724,485.2937,1384.1788,2188.3281,205.276,627.1853,347.4329,278.9591,2480.6069,1121.7605,171.9082,61.0459,106.3029,200.1877,48.9054,355.0779,141.9436,108.4666,299.3778,335.6687,205.9685,617.5035,1084.5668,551.3686,184.964,1236.4547,148.5272,574.5514,0.0
DEU_C21,162.984,0.362,2.7894,8.9888,0.8313,320.1797,53.9667,39.5058,109.7631,39.1934,406.456,2319.0737,211.8617,74.3256,61.6016,104.3175,98.1613,115.9656,192.5826,279.7464,56.7,128.0113,182.1517,132.9844,624.6226,861.2936,117.1888,34.7633,43.9298,160.8484,27.4504,215.8674,94.3662,115.6202,89.2396,337.9124,229.6545,513.2617,624.9269,233.983,70.6337,2329.3745,73.7356,362.4327,0.0
DEU_C22,208.9373,1.5709,11.919,10.4913,2.6104,1905.0479,372.4733,145.1116,874.1933,128.6214,1062.3278,703.164,5750.2017,275.6524,141.3911,1114.1093,765.2829,1447.4172,4478.0104,10578.7958,357.2386,1587.8149,272.2708,336.4926,9046.45,2878.7389,281.394,13.8187,29.0781,226.0576,40.7812,149.3532,51.6286,94.8595,69.7606,112.1874,140.2091,660.8292,625.7514,385.3508,65.152,681.1245,52.5396,117.054,0.0
DEU_C23,280.9826,0.3695,4.2946,34.819,2.884,366.9772,100.9622,614.0277,32.8481,36.6503,623.8985,456.6401,367.3472,4542.4438,392.5855,487.8974,504.2751,582.4695,600.3819,1587.1993,68.903,522.0827,809.1409,101.7941,15536.9658,255.4889,50.3591,6.903,6.2059,98.7566,11.1385,237.2202,13.1559,122.9396,20.7936,52.5128,97.4799,173.1079,442.4979,343.45,22.1907,161.6655,59.5629,118.2352,0.0
DEU_C24,22.7476,0.0,32.1307,16.9057,3.8393,177.8474,8.4279,24.9702,196.0841,29.4624,1805.6206,124.7801,385.707,87.4082,21949.8958,9002.0002,1393.047,3933.074,6449.7269,7703.793,572.9038,2241.1057,250.0546,41.3363,1988.9841,397.7619,95.8629,0.8841,2.5962,82.8333,8.4214,0.7204,10.2563,25.7182,4.3089,0.0,0.5234,115.2734,36.2114,42.589,2.8513,0.9434,2.1962,12.6856,0.0
DEU_C25,267.7259,8.1992,82.151,57.4905,8.3804,843.7797,352.3343,214.437,149.2405,300.3233,742.4675,333.7829,1169.716,269.6355,855.8046,20675.395,1473.131,2663.8144,12379.5759,13672.4066,3141.5266,4444.2716,722.3333,802.4116,12462.4122,1758.6853,304.8891,39.4774,43.5444,407.9049,51.9014,193.79,53.2092,122.832,105.0378,100.8484,319.2392,320.4759,959.9549,592.0567,83.3437,283.894,32.3957,118.7045,0.0
DEU_C26,48.9069,0.4883,12.0266,23.004,1.0345,188.0417,40.2975,34.9652,208.7676,64.3251,232.0862,183.3709,111.6238,70.7708,171.7946,296.9825,5290.2836,1916.0717,1767.2248,1087.9708,129.3604,1602.681,502.2466,129.8415,470.9466,1028.92,116.6733,42.0696,70.4042,105.0567,75.1213,101.9782,272.6362,752.5135,471.6824,279.0488,93.3132,901.6792,447.6101,770.3621,180.2356,491.8557,147.146,167.0126,0.0
DEU_C27,168.1317,0.5526,30.7582,42.4241,1.939,402.6298,80.6964,61.921,152.6011,126.9862,337.1369,105.5613,240.2328,169.3724,378.1747,732.1734,1033.9889,9462.3162,5353.7626,3905.6744,334.7442,1583.6275,2150.0247,123.7773,7258.4807,839.1054,289.707,69.8538,116.0044,198.0002,44.8698,533.7715,80.0869,265.7118,229.0286,174.1206,140.4561,307.4188,531.3553,327.4681,76.7134,322.6372,54.9181,336.3508,0.0
DEU_C28,1357.8964,1.9909,156.4451,151.488,13.1236,1163.6185,275.7746,111.1796,425.7972,237.449,780.8748,214.34,517.6319,382.0187,864.8135,2734.8997,929.8416,2140.5505,33581.9403,13076.3049,1084.6118,2484.2965,1160.3464,539.9202,3387.6507,1516.4884,431.3393,302.7571,306.3623,256.19,60.038,302.271,122.7976,319.1926,420.0879,289.1686,785.5136,621.7567,690.5507,532.3971,118.4699,740.6469,59.1649,149.2443,0.0
DEU_C29,462.2809,0.6068,8.3239,23.4172,2.2468,263.4188,53.4161,74.7566,144.0461,60.5214,267.8303,276.6912,264.0345,163.2944,115.5917,645.4818,205.6795,623.8104,7188.9499,88621.7582,114.4074,402.4977,395.6588,448.7159,1097.747,4906.8278,1692.8404,59.5001,58.8993,1798.0399,772.6092,176.319,146.5423,175.4125,288.6017,412.7275,218.9994,694.2651,991.5573,564.7393,131.8469,343.7585,89.9274,100.9776,0.0
DEU_C30,24.6804,4.2081,0.0,1.0731,0.1009,0.9935,0.5964,2.4438,0.1852,1.673,0.0,0.0,33.7444,0.0,5.7496,2.8983,2.533,97.1906,8.4639,17.2911,9132.2424,2071.2412,5.6502,0.9751,7.9459,19.3129,24.8686,9.0502,427.1451,7.4802,0.0,1.0093,0.632,0.0,0.0,0.0,0.0,17.5197,162.842,2744.8775,0.0,12.4589,8.8812,0.0,0.0
DEU_C31T33,115.9219,1.0371,211.8317,418.0112,7.225,750.0644,283.1271,378.5859,580.8512,155.8424,1234.7763,126.4876,423.5429,600.897,1763.0382,1923.6428,1304.3079,1010.1279,3305.9422,4303.208,473.0016,3130.733,1814.7162,84.8514,558.2495,447.7773,1028.7563,644.2007,1185.6864,189.6876,26.5722,159.696,96.1805,679.2424,138.6277,131.1412,330.578,439.2137,281.3163,610.4583,128.5426,6887.5024,78.0871,134.0458,0.0
DEU_D,1047.4455,7.8479,154.4659,193.1715,11.7479,2364.0783,408.041,409.1825,2061.1795,1091.7308,3443.9881,615.2706,1924.4281,1696.5555,3308.4603,1933.9521,723.8,947.9387,2090.9806,2685.7701,208.4469,675.7674,27301.1879,1488.5214,2024.4086,7916.2836,2940.8778,28.5276,39.8943,1001.2274,461.3426,2263.601,533.6683,965.7211,428.628,1619.3389,2434.2104,2919.2734,1609.6639,2342.7407,1295.2965,3835.2498,792.5217,1223.7016,0.0
DEU_E,961.8128,4.229,92.0795,158.8351,2.1863,2396.7432,388.6278,326.3016,3314.0114,121.0815,2141.7688,263.6349,3839.0528,1108.3223,3699.4422,3550.862,191.3887,270.8876,556.1983,827.8367,30.8448,327.0749,411.9427,10516.2747,587.4654,2125.303,174.9517,5.6175,7.7138,272.1679,88.6363,1548.1055,155.6225,171.0128,180.1596,541.8195,420.9668,856.2942,930.8909,3129.2991,460.69,1811.266,567.4492,674.6427,0.0
