V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_C20,184.7237,0.0636,0.4139,5.3149,0.1357,143.3428,10.8401,29.8441,24.9489,55.0994,801.4758,786.4476,52.8231,8.5184,32.7356,6.6527,187.5297,0.8358,26.2582,3.8623,2.1767,146.6419,99.7821,12.7693,61.5285,36.2961,2.2553,0.0725,33.4658,1.0739,0.4445,16.1921,24.1135,1.0981,43.9691,4.2181,0.7612,19.4448,9.8865,17.7452,2.5915,145.3103,4.024,6.924,0.0
IRL_C21,364.0187,0.1323,1.4901,19.8728,0.2309,374.8273,22.3151,49.9936,46.0897,312.6347,1828.7022,3740.4782,99.0858,14.0033,81.1889,11.5461,869.4964,1.111,144.3769,6.4692,7.1876,758.4629,167.4694,56.0215,136.0949,107.8238,4.6601,0.1949,64.9076,4.2698,1.3213,79.6058,87.1894,3.921,197.7188,17.191,3.4351,76.5919,24.1952,62.045,4.9584,785.7991,7.6123,14.2207,0.0
IRL_C22,15.2977,2.5917,0.0824,0.508,0.0585,104.1629,1.9018,1.2536,2.3022,21.1024,12.5628,94.3296,116.6735,4.2546,0.9178,5.8327,66.7538,11.4538,13.7432,5.5576,2.7538,63.3455,1.7849,1.4288,196.8624,34.9197,17.1093,0.6362,10.9154,1.4123,0.7853,1.241,1.9049,11.978,30.4882,1.4118,0.3782,5.637,6.8085,12.7556,1.2041,35.8495,1.1211,2.1844,0.0
IRL_C23,23.696,0.0457,0.4913,29.6093,0.1804,51.1695,0.3771,0.7157,1.0407,10.2141,10.2408,36.0194,19.1233,209.8995,30.0035,11.0341,11.0311,6.7153,6.6633,0.269,0.5189,687.6034,1.3025,5.0659,976.4734,94.304,9.2868,0.3804,11.1145,1.471,0.578,2.2028,12.244,2.4834,27.107,3.4668,0.3302,7.9811,7.4512,16.3087,1.5479,1.7215,6.2071,3.5381,0.0
IRL_C24,0.4355,0.0031,0.2832,0.0019,0.0132,5.7265,0.052,0.8458,0.1437,0.3083,0.7307,4.1799,5.2384,2.1457,5.9321,22.1885,11.0838,5.4649,7.2944,5.4058,1.0655,31.337,0.2122,0.3117,4.3987,1.0416,0.1741,0.0024,0.0156,0.0046,0.0322,0.002,0.0044,0.1229,0.7308,0.022,0.0172,0.0335,0.0626,2.305,0.0091,0.0076,0.0136,0.0159,0.0
IRL_C25,16.7983,0.8012,2.8597,0.9645,0.209,54.1384,1.0326,7.0554,4.8029,36.7785,10.7811,84.4715,43.9581,6.9487,8.4313,77.5635,151.0498,44.5646,68.2619,13.0808,30.463,93.135,5.4149,0.768,275.8387,26.4037,3.9851,0.803,4.3973,0.8882,0.2442,0.4187,6.3885,1.3419,24.167,2.8399,0.5686,2.8067,5.3022,2.5654,9.013,3.127,1.0868,0.436,0.0
IRL_C26,20.6134,6.2041,0.3036,2.6488,0.1421,57.1259,1.764,1.0508,0.9282,40.1982,14.8514,93.6664,2.7221,1.7361,13.3329,5.4981,1301.7712,147.718,36.5701,14.3501,7.2377,424.9372,2.0376,1.7094,189.8374,52.2202,13.7383,1.2327,30.604,3.4594,1.5698,26.635,26.7682,234.2739,809.9848,61.4511,1.9048,47.0634,55.9213,28.0746,39.33,140.9197,9.8141,6.3159,0.0
IRL_C27,2.0811,0.2173,0.2759,0.0297,0.0115,10.4378,0.0437,0.1405,0.4294,3.6427,11.8899,8.466,0.3583,0.2814,0.0982,0.7869,59.4161,25.6375,9.1223,3.8935,0.6663,32.0056,0.1448,0.2921,64.3828,11.4735,5.2245,0.1351,3.5555,0.3138,0.4312,0.2576,2.8318,3.4432,35.9865,0.9873,0.2578,2.0433,21.4998,1.6174,0.2028,7.8686,0.9283,0.802,0.0
IRL_C28,21.0096,0.788,0.35,0.3644,0.0836,18.1174,0.3643,0.6626,1.2337,2.1771,9.7063,17.9947,2.9808,1.0604,0.5966,13.3101,71.5154,3.8141,16.6202,1.6445,5.1469,32.6638,0.3991,0.0519,57.4807,12.1587,1.8406,1.1647,11.7132,1.1222,0.22,1.0698,8.6076,2.7299,50.7497,3.1049,0.118,1.7855,4.1835,2.6367,0.5547,2.7445,0.5709,0.3112,0.0
IRL_C29,0.3749,0.0112,0.0072,0.0282,0.0022,0.1454,0.0035,0.0214,0.0064,0.0974,0.0331,0.3857,0.0925,0.0192,0.0174,0.1467,1.8768,3.3263,0.2626,0.4376,0.0731,6.3091,0.1529,0.0087,1.1012,7.0433,1.9684,0.0201,0.1697,0.0587,0.2306,0.0097,0.1073,0.0785,2.2808,0.2293,0.0044,0.2779,1.2002,0.1112,0.044,0.0519,0.1072,0.0761,0.0
IRL_C30,2.1916,3.3301,0.7531,0.2871,0.001,0.2186,0.0191,0.2676,0.0327,0.0045,0.1897,1.1897,0.127,0.0854,0.0003,0.0298,0.5769,0.0322,0.2046,13.1694,87.5787,177.0241,0.0,0.4758,3.6753,3.4955,3.6869,0.021,27.1931,0.4245,0.491,0.3642,0.3125,0.4389,14.1721,0.3197,0.2337,4.7289,86.9901,6.4154,0.0704,1.0211,0.5676,0.4665,0.0
IRL_C31T33,271.5945,11.7273,1.0159,2.2193,0.4719,45.0974,0.4899,4.6316,2.7247,33.8287,9.721,71.2331,33.7598,10.0992,7.5993,41.454,230.6227,45.826,71.3707,9.489,24.5666,1240.9688,8.7177,3.0455,368.6121,63.3666,53.2543,17.2162,219.0807,8.1997,1.3415,9.3107,5.2733,35.1561,138.5093,10.3072,0.7257,15.8366,28.024,42.3476,11.5279,109.5816,9.183,5.7079,0.0
IRL_D,252.692,20.3239,5.4695,146.8889,0.4775,244.8483,10.568,49.5103,19.6462,25.8615,38.9968,193.8939,42.839,252.5088,20.6779,47.958,83.0119,12.4534,23.9763,7.6254,22.1162,36.9686,875.6092,39.3052,92.1054,641.0224,66.4198,5.0566,166.0085,113.0371,3.2315,123.5465,36.0984,38.3936,143.0278,67.5904,35.573,98.4956,106.5686,256.8031,73.587,118.9541,67.4022,19.4276,0.0
IRL_E,14.2016,14.4748,0.6335,1.5474,0.1082,58.1418,1.5483,3.93,2.9753,6.5739,14.0227,52.3318,33.6568,3.5131,111.6723,4.7228,24.0958,0.7089,6.1699,13.581,1.5465,23.4622,0.4703,398.1684,120.3886,56.4122,9.1175,1.0117,33.0731,2.4143,3.6818,9.3424,2.6756,2.3267,119.153,10.333,3.1869,35.5368,79.4996,11.1851,1.8463,44.1653,17.2284,12.1879,0.0
IRL_F,134.5412,7.3714,9.7382,12.5737,0.2686,118.8737,4.4219,38.9339,10.8459,132.2722,38.4074,89.5158,5.8365,30.806,21.0752,71.6024,196.8595,51.076,128.0271,23.632,10.6706,115.986,85.8329,36.4066,3284.933,842.7043,38.9382,13.8187,176.4441,25.9284,14.4391,31.773,14.3964,36.1752,86.5664,50.4914,137.2086,155.7758,119.3494,240.1031,137.257,33.4796,25.731,32.3127,0.0
IRL_G,271.2412,18.9299,1.8247,25.5093,0.5922,1882.9829,27.2349,46.0855,114.2946,196.1066,752.8834,1132.2481,41.3572,85.8386,18.6943,73.1574,1282.6621,36.9247,98.6222,8.8348,18.0677,1416.4608,87.9479,49.667,1364.7892,1661.9701,324.9375,26.4159,483.003,109.9173,37.9481,183.7428,820.5194,63.4112,3316.2022,230.8571,10.53,217.9189,551.4212,231.7632,58.0796,231.4565,29.919,83.1343,0.0
IRL_H49,35.254,3.5252,0.7923,21.7242,0.389,294.857,6.3248,54.1765,15.9516,36.9072,13.5651,27.614,24.8687,84.3578,7.082,39.1636,155.3402,13.3287,19.8999,3.0467,4.958,75.1784,7.1161,28.9201,124.1896,449.6945,146.5564,0.8848,22.5948,15.9558,18.6748,21.4531,35.7314,6.4576,35.4481,25.8401,1.1855,71.3077,219.3837,172.1942,16.6112,50.0036,7.7273,8.6295,0.0
IRL_H50,1.5009,18.9956,0.0271,0.9568,0.0199,42.9034,0.2274,2.0213,0.8735,2.9468,2.3843,7.3038,1.406,5.6558,0.8044,1.7281,65.7617,0.8612,4.9104,0.3801,0.635,4.7156,0.2904,6.5409,2.9848,27.2906,1.9619,73.2368,9.0959,12.4934,2.4361,1.1164,5.9105,0.5437,6.4675,4.4325,0.2794,3.3856,13.8561,1.171,0.1469,0.2587,0.6594,0.7058,0.0
IRL_H51,11.1217,0.796,4.0935,22.2748,0.0794,339.3851,3.9068,1.4761,11.6284,27.2498,46.2087,104.4926,26.4258,38.4631,13.2913,12.3212,157.3954,22.5211,35.3328,15.9775,25.985,93.6664,4.909,3.6662,67.8134,84.9584,14.6007,2.7132,662.9012,15.9265,12.3487,13.1927,50.5759,6.0318,178.6826,59.5252,1.273,95.4808,84.6098,17.8297,11.9417,31.3127,6.003,14.7793,0.0
IRL_H52,5.3747,4.8215,0.0435,0.7926,0.1799,61.9926,0.4738,0.7315,1.2992,8.077,5.6055,27.4938,2.8823,14.3918,1.1198,3.1538,195.7341,4.0015,9.0618,0.4462,1.5616,14.2515,1.3607,13.6037,15.2226,863.1027,187.5468,35.2507,390.3949,178.8969,9.5629,6.5108,8.6063,7.5132,215.0606,12.4309,2.1524,44.5153,81.3644,2.479,0.6556,1.9942,3.5707,7.2343,0.0
IRL_H53,5.1796,0.0,0.1108,0.819,0.0191,26.1156,1.5412,1.7506,0.7017,0.3149,2.9672,2.8623,2.2583,3.3604,1.9975,4.2091,1.4184,1.949,0.3664,1.0483,1.8722,2.4657,0.8998,2.0549,14.9578,217.9239,12.5392,1.5691,21.5519,3.3028,29.2174,11.3857,2.7232,10.2362,111.5987,143.8988,1.3088,119.6823,42.3534,3.8037,0.5458,6.5406,3.5001,13.9429,0.0
IRL_I,3.717,0.5326,0.9863,3.5286,0.0759,42.3373,4.2161,3.6881,1.4327,4.1219,15.6262,13.8715,4.5849,4.0931,6.4291,10.2329,12.603,2.5566,5.0182,3.9161,4.0712,7.9024,23.5636,10.3576,20.1302,131.6587,6.6364,0.7642,41.0995,2.946,2.6245,9.2985,2.6769,3.0473,55.6602,51.1046,0.8827,39.6851,20.7832,45.3254,4.01,31.0264,3.8227,14.2695,0.0
IRL_J58T60,12.4904,0.2673,1.7261,36.833,0.0581,535.0754,27.2311,28.2376,97.6402,0.0013,532.9559,508.5825,54.2458,50.3016,40.1514,177.9494,92.2084,15.5032,29.8701,12.9915,11.7489,242.6199,269.8239,63.5738,15.1401,50.2839,4.0452,0.4026,14.7301,5.497,1.7428,108.7343,1040.7984,81.4627,180.678,55.1879,0.94,100.2457,23.9789,12.8138,102.9209,15.5934,100.2953,433.1132,0.0
IRL_J61,49.7335,1.3519,0.7763,6.3613,0.0807,105.7186,3.6366,3.2443,1.2576,8.6274,23.4523,45.1067,6.8812,6.1431,5.5957,8.9654,24.7774,2.2075,8.2772,3.435,3.3653,50.8968,39.2052,17.1999,33.817,292.0642,18.1117,2.1632,38.5607,10.3317,13.1322,18.6623,25.8389,93.9227,248.6592,170.6679,9.8288,227.6534,103.3584,186.8222,26.1711,32.1426,9.3642,13.9994,0.0
IRL_J62_63,9.1055,0.9826,0.3037,0.4374,0.0646,207.6262,1.2556,0.2382,14.1655,6.2212,123.6871,213.0954,0.7838,0.876,0.3499,5.3834,151.5489,1.8973,2.6356,0.3651,0.5499,203.2165,22.5091,11.2984,314.908,572.8535,65.2879,15.6582,288.0308,20.988,26.4529,42.3957,460.8231,39.9361,2428.5842,786.8872,25.1306,407.2173,270.4976,9.5491,6.3727,157.3889,51.737,52.6181,0.0
IRL_K,104.6323,15.4272,1.9409,6.9893,0.1093,159.7904,7.9375,7.194,4.7977,65.4436,50.3773,147.9605,16.6549,13.9526,12.0317,19.8765,114.9774,7.9194,26.858,8.0822,13.5128,73.2973,61.8281,23.2657,105.4409,417.0737,56.2094,10.9054,118.3108,29.5211,6.4676,59.796,68.1239,28.5403,278.8665,4864.1618,59.749,227.3046,230.2806,296.0769,16.7799,131.3057,24.7685,15.33,0.0
IRL_L,3.2226,0.0,0.238,0.4557,0.0594,5.1437,0.5408,0.4773,0.1847,1.7176,3.5407,8.4534,1.0123,0.9038,0.8378,1.3149,5.7866,0.3202,1.9089,0.252,0.1928,16.0014,5.719,4.9285,59.8359,720.3677,51.7167,1.2083,12.8513,18.9614,12.1555,166.3658,15.0229,88.6075,59.5234,57.548,31.0032,251.6121,109.989,509.5802,20.9228,40.4991,47.3659,6.0976,0.0
IRL_M,59.3193,2.1519,5.296,7.2063,1.1341,512.2039,6.5278,8.0448,8.9298,22.1887,94.5567,720.7462,18.302,14.2483,9.8725,20.8944,148.4628,33.1681,20.7524,11.437,14.43,148.9139,67.3555,24.0663,611.0562,1386.0141,193.3021,30.2282,685.713,236.8878,35.9922,398.4885,576.0825,318.6648,1429.9158,795.7309,121.5956,1168.7836,598.9693,338.0985,39.0917,291.6685,123.9701,125.8405,0.0
IRL_N,9.4798,3.7784,1.8884,2.2262,0.354,114.9521,2.7623,2.6438,2.8052,24.1665,76.9387,1044.6364,8.4095,6.6201,4.6318,13.8634,98.6426,5.1984,11.1449,4.1841,3.1394,97.9943,29.2846,15.1806,325.9866,1113.4511,80.1862,44.2663,273.4202,93.6855,13.2891,169.1194,335.7966,252.6727,1503.1022,248.0873,27.8633,1961.884,510.5917,89.2923,60.8976,204.3221,74.2074,64.0191,0.0
IRL_O,5.5445,0.1114,0.4334,1.1637,0.0365,44.331,2.6315,3.1745,1.3085,0.7881,2.5649,120.1125,9.0946,5.4246,6.877,11.8431,11.3355,2.0859,4.8406,1.5357,5.4754,68.8775,7.1204,1.2768,139.0745,102.5632,159.4707,0.8429,39.547,0.7167,5.6098,3.4951,2.3443,0.8023,23.1954,31.2269,127.143,240.3094,16.172,93.3928,22.6159,142.9135,3.3991,1.98,0.0
IRL_P,1.4616,0.0,0.0055,0.0032,0.0143,3.9205,0.0737,0.0366,0.1003,0.4233,0.7939,29.0697,0.41,0.197,0.1178,0.2876,7.3992,0.3217,0.7859,0.0977,0.4037,2.9689,0.5016,3.5754,21.5092,13.4608,10.1832,1.4445,19.9513,7.6466,1.4756,8.8786,11.8536,13.3732,93.9594,89.3808,3.2755,350.6055,48.9868,429.0523,337.0474,145.8189,8.2565,10.0333,0.0
IRL_Q,0.5999,1.1656,0.006,0.0019,0.0155,28.1063,0.6711,0.3113,0.6082,1.0058,5.9698,184.0633,4.2089,1.5523,0.7617,3.1401,16.3338,2.0984,2.2325,0.5516,4.2785,25.6866,4.6283,5.221,4.9115,39.7023,1.5154,0.157,4.2316,0.6255,0.3025,3.107,43.4642,0.3101,10.8719,40.4138,0.0835,55.8037,4.6922,23.4272,0.0252,2044.7097,8.3819,17.5746,0.0
IRL_R,3.7879,0.1936,0.0661,1.5567,0.0024,31.5689,2.1451,1.9407,0.7511,0.0026,14.0289,20.6305,4.1163,3.6747,3.282,5.3474,14.1256,1.3031,4.6672,2.0505,1.3716,81.0975,15.8213,16.954,3.7414,35.7766,8.9236,0.2112,5.9515,10.541,1.2261,13.032,68.0815,0.8527,20.8321,43.0558,1.2672,28.8265,40.4415,142.6422,48.3229,6.3762,301.6573,292.0923,0.0
IRL_S,37.6889,13.5585,0.7546,1.9377,0.0498,32.6997,2.4667,2.2079,0.8555,6.6702,15.9606,27.7233,4.683,4.1807,3.7924,6.0969,19.039,1.4976,6.3675,2.3364,1.9437,38.343,26.6814,27.0923,1.8991,39.4984,7.7954,1.55,48.8652,6.2275,6.4061,15.0926,42.0234,10.213,70.4621,64.1667,0.4129,50.8331,129.749,94.1979,47.2685,48.6715,134.3741,254.1187,0.0
IRL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
