V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_F,11.2837,0.1967,13.4381,25.6395,3.8667,0.243,0.8772,0.106,0.0036,0.0005,0.0003,0.0001,0.0001,0.0005,0.0081,0.0333,0.009,0.0074,0.0009,0.0232,0.0185,0.0152,15.9358,4.0655,571.8972,129.8579,0.581,0.0009,0.0035,0.0046,0.5315,16.9072,1.2714,4.4607,0.8045,1.6544,92.9397,3.7814,0.5718,277.0382,23.1266,4.3248,1.7613,6.39,0.0,134.8315,0.071,0.0107,1662.6846,0.0,0.0
LAO_G,82.6286,7.3718,14.6372,34.1221,4.5568,185.6335,38.2418,27.2377,0.962,2.1025,3.5043,0.5441,1.5466,3.8871,2.8245,8.9769,2.8878,3.8215,0.0358,2.4063,1.2479,9.4826,17.9761,5.1246,173.9625,61.6839,24.2451,11.2303,3.6233,4.0624,1.7253,55.984,1.3414,7.2232,0.6033,7.4449,1.5895,3.6697,2.2222,51.1194,3.1911,3.3654,1.0882,5.5342,0.0,1083.5164,0.1751,0.0435,159.3897,2.1643,0.0
LAO_H49,4.5037,0.1916,2.729,5.8587,0.5226,13.9224,1.372,1.7063,0.0553,0.639,1.2858,0.1798,0.5327,0.4887,0.2839,0.9396,0.2922,0.319,0.0062,0.4048,0.1957,0.7851,2.8373,1.0417,40.8091,69.9371,8.3795,0.406,0.1693,0.1631,0.7552,6.3271,0.3818,1.7125,2.1866,13.1971,0.6002,6.1305,2.2483,41.3579,3.1504,0.4973,0.3175,2.7109,0.0,74.0649,0.0411,0.002,4.5016,0.0906,0.0
LAO_H50,1.6069,0.1696,0.5787,1.5247,0.166,3.6625,0.5216,0.7041,0.025,0.0628,0.0888,0.0099,0.0392,0.2051,0.1086,0.3473,0.1071,0.161,0.001,0.0653,0.0312,0.2451,0.6567,0.1447,5.7273,0.6397,0.3703,0.0832,0.1074,0.0605,0.0231,0.7253,0.0315,0.1604,0.0425,0.0725,0.0523,0.1186,0.1418,0.3872,0.0257,0.056,0.0225,0.1525,0.0,23.0515,0.0026,0.0165,4.9768,1.7945,0.0
LAO_H51,0.282,0.0332,0.1124,0.3331,0.0305,0.6769,0.1441,0.1456,0.005,0.0083,0.0115,0.0165,0.0039,0.0466,0.0295,0.0867,0.0177,0.0377,0.0002,0.015,0.0045,0.0497,0.1316,0.0308,1.0114,0.1133,0.0199,0.0068,0.0277,0.0247,0.0262,0.1217,0.001,0.0037,0.0155,0.0715,0.0051,0.0842,0.061,0.0369,0.0278,0.0094,0.0177,0.0094,0.0,4.1957,0.0078,0.0003,1.8108,1.0872,0.0
LAO_H52,0.4144,0.0288,0.2614,0.5238,0.0472,1.4454,0.1178,0.1725,0.006,0.0575,0.1061,0.0208,0.0478,0.0433,0.019,0.0621,0.0282,0.028,0.0006,0.0228,0.0128,0.0794,0.2907,0.1062,3.6474,6.2633,0.9772,0.3491,0.0329,0.652,0.137,0.5535,0.0328,0.3139,0.1775,1.0324,0.0429,0.3953,0.3226,3.7998,0.2421,0.0393,0.0213,0.182,0.0,4.8397,0.0208,0.0031,0.2718,0.0185,0.0
LAO_H53,0.4691,0.014,0.0251,0.0514,0.0081,0.2584,0.0297,0.0637,0.0008,0.0149,0.0206,0.007,0.0099,0.0029,0.0023,0.0135,0.001,0.0006,0.0001,0.0058,0.0047,0.0279,0.4601,0.1845,0.3724,5.7096,0.359,0.0555,0.0721,0.1481,2.7609,0.4174,0.1352,4.8291,0.1206,2.0965,0.0109,0.3071,0.156,8.5666,0.5293,0.0183,0.1204,0.32,0.0,30.3438,0.0056,0.0012,0.1728,0.0089,0.0
LAO_I,0.1616,0.0062,0.0061,0.008,0.0025,0.0276,0.0004,0.015,0.0005,0.0071,0.0115,0.0042,0.0062,0.0044,0.0008,0.0037,0.0029,0.0015,0.0003,0.0033,0.003,0.0036,0.1675,0.0418,0.3056,1.8843,0.071,0.0002,0.0005,0.0002,0.0095,0.4768,0.0468,0.0685,0.5258,1.0636,0.0226,1.0324,0.2947,4.9713,0.3268,0.0171,0.0266,0.1355,0.0,319.4812,0.0691,0.0033,0.0006,0.0,0.0
LAO_J58T60,0.0252,0.0007,0.0003,0.0004,0.0001,0.0349,0.0096,0.1594,0.0018,0.0101,0.0066,0.0022,0.0022,0.0027,0.0,0.0002,0.0008,0.0004,0.0,0.0002,0.0002,0.0467,0.0057,0.0272,0.196,0.2571,0.0058,0.0003,0.0003,0.0002,0.0137,0.1528,0.0697,0.1378,0.0128,0.0683,0.0003,0.0475,0.0049,0.6951,0.0416,0.005,0.0154,0.0135,0.0,30.9804,0.1441,0.0,0.0007,0.0095,0.0
LAO_J61,1.972,0.0575,0.1175,0.1915,0.0329,0.883,0.1018,0.2414,0.0022,0.0456,0.0637,0.019,0.0328,0.011,0.0081,0.0494,0.0036,0.002,0.0005,0.0184,0.0146,0.0945,1.3456,0.5154,1.7898,17.3456,1.5545,0.2403,0.3585,0.5135,0.2835,2.1898,0.9116,17.7387,0.6746,6.4405,0.0422,1.1914,0.5643,23.4824,1.8572,0.0878,0.4105,0.9317,0.0,171.5535,0.0433,0.0017,0.3699,0.0156,0.0
