V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T,SVK_HFCE,SVK_NPISH,SVK_GGFC,SVK_GFCF,SVK_INVNT,SVK_DPABR
SVK_C24,1.7366,0.0036,0.0797,0.268,0.2662,8.46,2.3963,3.1867,1.7283,0.0023,2.8866,1.1974,46.9699,9.3102,539.0056,382.1377,17.1924,56.6505,445.032,131.5742,19.9071,33.4042,32.0271,1.0014,62.2766,78.3892,6.2356,0.0951,0.0153,0.0989,0.0018,0.0466,0.2988,0.0044,0.0065,0.0856,0.237,21.3769,0.9082,0.0929,0.4357,0.13,0.0237,0.4044,0.0,0.6382,0.0,0.0,0.7697,45.215,0.0
SVK_C25,8.9328,0.0577,0.435,1.5591,0.3682,12.8863,5.1689,16.4174,7.066,14.0512,6.7706,1.068,64.3964,7.702,31.6203,491.4835,7.23,57.1474,235.4978,1375.7896,21.9514,73.4923,16.9307,5.703,115.2134,75.4758,14.6996,0.2031,0.829,10.0685,1.9306,2.7366,1.12,1.268,2.2382,1.8942,14.2537,63.2134,15.7901,10.0928,2.7275,5.2894,1.3205,4.1489,0.0,138.2211,0.5551,10.4057,176.5867,58.5532,0.0
SVK_C26,2.133,0.0065,0.0656,0.2467,0.0705,2.4071,0.9253,0.7253,1.2022,1.4486,13.6632,0.6525,19.9732,0.9333,2.6271,18.5031,725.3096,62.0973,33.6788,88.0809,3.0686,17.9139,7.1951,1.9816,16.0226,80.9432,3.6109,0.0971,1.8417,1.686,0.3583,3.2173,0.9546,9.4608,39.0983,6.2214,9.3646,14.5642,19.2437,19.2032,16.9932,4.7058,2.1018,6.7895,0.0,218.2325,0.0475,6.2825,179.8033,57.1762,0.0
SVK_C27,4.8225,0.0356,0.1201,0.3826,0.083,4.9018,2.6439,1.5179,1.7908,2.1424,2.5445,0.7369,7.2639,2.901,3.9454,26.4132,47.4448,260.0946,33.8165,187.8076,2.6993,22.9655,102.4673,2.9063,66.2258,64.2234,7.9832,0.2713,0.2711,1.6432,0.4331,1.9503,0.7961,9.7947,6.3074,3.1393,10.6095,17.8217,9.3596,4.6102,1.8795,2.7509,0.8751,2.3908,0.0,141.3991,0.4664,7.9,165.0688,27.4573,0.0
SVK_C28,12.0751,0.039,0.3864,1.4469,0.3294,5.7725,2.0983,2.9416,3.289,3.7345,4.3752,1.204,10.8388,3.7058,7.9206,88.7627,3.9553,33.9546,178.3199,105.6253,2.2302,34.1554,9.484,5.4333,30.2006,53.6077,9.5443,0.4485,0.7744,3.4456,0.7615,2.0413,0.8802,0.9417,3.908,2.5453,6.9921,15.9595,11.2067,22.9084,2.7702,10.0121,0.8311,1.2904,0.0,47.3055,0.5575,7.1712,841.1098,27.1371,0.0
SVK_C29,6.6192,0.0571,0.0762,0.3235,0.0736,3.9971,1.4414,2.2117,1.188,1.3084,1.895,0.7995,11.4724,2.6217,2.8433,14.8664,16.3651,15.9315,39.8777,4371.7351,1.2622,6.03,5.247,4.0476,8.2608,117.6686,48.7516,0.0625,0.0892,3.1933,0.2492,3.2912,0.3791,1.1996,2.1662,8.5088,5.8495,18.8716,7.2851,4.6628,2.1602,1.5952,0.7467,1.2934,0.0,234.4764,1.2937,25.448,641.0309,143.4756,0.0
SVK_C30,0.0349,0.002,0.0633,0.0705,0.0043,0.013,0.0605,0.0642,0.0402,0.0001,0.3993,0.0282,0.2355,0.2652,0.0376,0.2385,0.0256,0.0276,0.4488,0.2163,13.1852,28.1506,0.1209,0.4423,0.0225,13.355,27.7768,0.0229,2.4571,1.3228,0.4435,0.0339,0.032,0.3743,0.0029,0.0171,0.0235,0.166,0.2384,0.0229,0.0305,0.0535,0.044,0.0316,0.0,29.5056,0.0,45.2576,60.2209,0.1628,0.0
SVK_C31T33,35.3396,0.1245,1.219,3.4736,0.6446,28.3919,16.997,16.8655,22.5843,30.6035,24.7179,8.5056,40.328,20.2137,51.8722,75.7808,9.7664,25.7212,36.4818,91.6833,2.303,358.1196,52.8221,34.6326,64.8248,301.7219,59.9644,2.2622,8.3145,23.3414,5.7166,16.899,8.0321,2.8961,10.9766,10.5173,94.5049,47.474,99.1453,69.2383,13.2739,92.6454,7.2158,10.0301,0.0,517.5606,0.8204,71.9278,66.1066,-494.4786,0.0
SVK_D,79.5046,1.5881,2.4166,11.5414,0.8029,78.5533,25.2608,6.1975,71.8505,80.1283,119.8604,22.4059,100.0863,73.8546,269.4716,100.1565,7.3195,14.4911,78.1948,118.2325,4.8333,37.6684,3858.8705,64.8676,37.4106,416.1531,81.496,2.3257,0.5907,94.2257,6.718,105.6395,39.1661,42.9494,12.3942,18.3842,98.5,655.6253,80.2876,208.231,145.0189,106.7441,51.0929,60.0878,0.0,2963.2114,0.3207,7.8541,22.7146,10.4728,0.0
SVK_E,4.2338,0.0434,0.1991,0.5164,0.1771,21.1938,4.167,0.8301,4.7827,5.0081,9.3171,6.3061,5.238,5.7733,14.256,5.9012,0.8643,2.6692,8.8355,19.142,1.5191,2.9511,36.3702,139.9088,18.2383,44.4226,6.351,0.1593,0.1083,9.2473,0.5567,6.4015,3.0,0.4232,0.5979,0.923,18.6501,14.672,35.893,213.0335,18.1824,19.9849,3.6887,9.2513,0.0,385.7524,0.5295,159.9719,17.2913,2.6315,0.0
SVK_F,29.2276,0.2064,1.0907,6.3149,0.7196,17.7175,6.947,25.8795,5.2438,9.9822,7.5318,1.252,16.2249,40.8358,31.6061,130.1933,4.1734,92.4364,22.0973,42.9467,0.7477,48.845,60.0434,27.4888,3955.784,272.3342,150.5491,0.3465,0.4978,45.1527,3.6654,20.1481,2.736,7.2295,12.98,10.1976,221.2957,1178.9434,175.9859,160.9407,43.3728,31.1206,17.0799,42.6366,0.0,195.1972,2.1152,21.0034,6394.7614,5.3713,0.0
SVK_G,200.8045,2.107,1.5718,6.1998,0.9201,326.2165,115.4253,61.8627,84.2668,86.8842,101.5795,20.0697,210.3654,99.1791,133.0994,223.6611,203.3786,162.7882,204.078,845.9739,14.687,159.8784,357.857,25.3963,321.1754,462.9335,203.0251,1.9559,6.2337,90.284,7.6907,81.168,27.9056,29.3274,49.264,48.6879,99.7246,231.2022,148.3672,74.2428,38.3264,95.0485,25.879,31.4424,0.0,3135.7789,9.1501,224.2639,622.9808,165.2655,0.0
SVK_H49,34.4329,0.2296,2.1344,11.0546,0.5613,107.8145,16.7831,20.5125,44.3462,38.214,38.3466,4.6452,68.1169,60.6207,93.8897,68.608,20.7538,33.4391,64.6523,104.9599,2.3635,24.0177,51.524,12.3806,107.9234,292.0538,349.3215,0.8933,1.3609,593.385,50.8935,8.5078,3.2792,2.3567,3.185,3.5935,15.0476,32.8896,46.0861,24.3987,6.8063,8.8564,5.0675,9.6626,0.0,953.5632,2.5949,336.6681,107.8303,203.4469,0.0
SVK_H50,0.1639,0.0032,0.0034,0.0108,0.005,0.2548,0.037,0.0561,0.0665,0.2444,0.0974,0.0095,0.2049,0.0814,0.2583,0.231,0.1255,0.1215,0.1551,1.1963,0.0153,0.0765,1.0315,0.0404,0.3169,0.9976,5.1018,0.1332,0.0858,4.0556,0.0083,0.0623,0.0146,0.0216,0.0307,0.0771,0.0887,0.1013,0.1815,0.287,0.014,0.0597,0.0069,0.0146,0.0,1.528,0.0004,3.0536,0.5842,12.0459,0.0
SVK_H51,0.2232,0.0079,0.0042,0.0204,0.0075,0.3801,0.0328,0.0725,0.1209,0.7998,0.1449,0.0029,0.3559,0.1909,0.568,0.3168,0.4435,0.1142,0.2378,1.4638,0.0255,0.1408,1.0976,0.0211,0.3735,0.2403,0.3897,0.0157,0.0126,0.2667,0.0082,0.0743,0.0046,0.014,0.0149,0.0147,0.1016,0.0866,0.0392,0.029,0.0033,0.0961,0.0175,0.0232,0.0,0.4548,0.0007,0.2364,1.0587,29.5851,0.0
SVK_H52,12.1083,0.1089,0.7088,2.969,0.5022,37.0635,4.3932,7.4346,13.1345,30.2349,15.9033,1.34,27.0466,14.0097,45.2061,21.2734,7.7234,11.441,20.1581,76.7617,0.7973,7.2704,85.2826,7.4182,100.3169,185.6352,775.3881,18.8173,12.1101,660.6166,8.4955,4.3232,2.0534,3.731,4.751,12.0041,13.5471,35.412,42.0755,45.4934,2.6955,3.7588,1.6423,2.9785,0.0,297.6524,0.7927,472.762,121.5068,53.2098,0.0
SVK_H53,1.5194,0.0506,0.0567,0.2633,0.0455,4.279,1.1317,2.3377,3.2439,1.0005,1.1351,0.3914,1.8384,1.485,2.1932,2.2889,0.6261,1.1769,1.565,5.5268,0.2277,1.7891,3.4748,2.9006,2.0759,65.1885,10.3985,0.0261,0.1883,15.375,163.1217,2.462,7.0635,31.4624,3.6358,32.0579,5.5739,9.0562,8.366,30.7463,1.5227,1.5495,13.3023,3.5108,0.0,133.585,0.0022,6.8564,2.5719,3.8119,0.0
SVK_I,0.2929,0.0235,0.0052,0.0132,0.1272,1.1438,0.2461,0.1066,0.1791,0.0895,0.3269,0.3654,0.56,0.3327,0.1946,2.0005,0.1143,1.1009,2.4161,2.6191,0.1374,2.6664,0.0582,0.3667,5.332,17.4958,16.5649,0.0795,0.2463,49.7414,9.6427,11.1733,1.3334,0.2989,1.2713,1.4688,0.8504,7.3833,86.8463,26.5952,11.7277,14.0134,7.3291,8.5599,0.0,1111.7815,0.0,7.4854,0.0473,0.0,0.0
SVK_J58T60,1.0768,0.0128,0.0111,0.0529,0.031,9.7557,0.4823,0.4358,3.4212,0.5574,0.7076,0.3292,1.6241,1.7666,0.7099,2.309,0.721,0.8183,1.2842,6.243,0.1061,1.417,2.0278,0.5157,5.3051,62.1284,3.0099,0.0392,0.0967,2.8476,1.1252,3.0189,64.2978,8.9187,12.2051,7.0969,2.649,100.5833,22.8054,24.4342,24.6839,3.2856,11.1631,5.4767,0.0,399.393,10.625,105.4559,86.1272,5.7857,0.0
SVK_J61,2.7109,0.021,0.0401,0.1595,0.1447,4.3966,2.4224,1.9336,2.5075,0.3401,1.2025,0.6049,2.6796,1.4665,1.5875,5.1481,0.9797,3.1382,3.3569,8.5434,0.1657,3.3286,4.8129,3.1779,8.1493,84.5954,12.2976,0.0828,0.3402,5.9242,5.3181,7.6761,32.3962,188.9513,37.165,19.6616,9.2354,25.2476,18.5066,66.6729,8.3047,8.8138,5.4837,7.6414,0.0,981.3792,0.1963,3.2881,24.3126,1.6481,0.0
SVK_J62_63,6.6691,0.0487,0.0874,0.3915,0.1635,23.4925,4.1182,1.8276,33.8238,1.0786,7.021,4.1423,20.8792,8.3124,16.073,20.5176,7.4234,13.7127,20.1697,94.2478,0.9676,10.4665,42.4373,13.42,15.3061,330.1665,44.8244,0.2866,0.2299,17.2099,13.8661,9.4766,96.1787,129.4153,697.3622,243.2822,25.9611,150.5856,132.8991,74.7159,44.251,16.5985,43.5442,7.4047,0.0,77.4164,0.9699,79.1466,809.4378,3.1154,0.0
SVK_K,9.5297,0.1102,0.1547,0.6088,0.9209,22.7251,7.0983,3.8018,9.809,20.2875,11.7753,2.0075,34.5957,8.3751,21.347,21.91,25.5845,24.1107,30.8439,272.5984,2.1485,10.5499,62.411,11.6528,11.8117,71.99,19.5433,0.3252,1.8282,3.5544,0.6029,3.4278,0.9644,1.9891,115.8438,1326.8981,660.0553,25.2771,79.8766,11.5922,4.6669,10.3611,4.4452,8.5912,0.0,1608.6866,15.5802,18.9382,5.6729,0.6433,0.0
SVK_L,88.1155,0.0636,0.6247,4.7781,0.3701,35.422,18.1789,14.4771,9.5404,3.8442,17.0517,4.0424,32.9703,8.4618,3.8598,37.4743,2.3379,14.5205,32.5239,60.0044,1.0358,20.8941,47.0723,31.7287,39.9042,1267.6118,43.3673,2.6981,0.2237,68.1697,3.8532,152.8372,18.9012,69.0333,48.2863,70.0434,731.3418,200.0149,113.2695,86.8129,50.5433,79.9454,59.6919,42.0323,0.0,7229.2399,68.1672,15.4399,9.0125,0.0045,0.0
SVK_M,62.1189,0.5281,1.0175,4.9644,1.9203,151.8539,25.1153,17.4122,58.278,17.901,48.9394,25.7287,113.1248,64.0821,82.8244,108.1393,27.512,87.9776,105.1628,923.0242,6.828,46.3734,489.1055,45.1185,455.4491,1374.2219,126.6284,1.3429,2.7217,65.9661,17.3828,97.2429,64.7832,104.6146,142.35,219.5042,195.8327,1148.3205,471.8078,100.5899,46.2842,82.6308,75.5691,47.906,0.0,705.4939,21.7605,353.0356,813.5421,16.3598,0.0
SVK_N,63.5719,0.1606,0.4999,3.3276,1.0352,82.3903,13.8208,8.3236,29.2423,16.4625,23.3444,9.0218,72.3088,19.0082,26.6357,69.6431,38.745,44.0697,64.3336,312.9238,3.9746,26.5649,86.0751,26.151,102.9244,478.7846,141.3882,1.1808,18.5869,80.6745,9.8512,41.7779,25.7798,44.8062,52.536,89.4788,193.197,215.1679,989.2128,75.1892,21.9608,40.3945,47.9196,32.1496,0.0,905.4194,74.2548,97.2831,136.4478,12.4349,0.0
SVK_O,3.9099,0.1333,0.2285,0.7284,0.0923,13.7307,3.8034,1.8673,4.6504,5.8167,2.6617,0.493,2.4758,0.9562,1.1488,3.0599,0.293,5.2482,3.016,12.0518,0.3148,1.584,8.3822,5.2611,9.8595,48.867,7.2057,1.2588,0.5436,3.7626,0.1101,1.0548,1.0753,0.3244,8.6129,92.374,28.1965,33.4265,10.1825,599.8619,6.2642,8.2321,6.3862,4.8696,0.0,102.0942,8.6394,6610.7852,215.1388,0.0563,0.0
SVK_P,1.727,0.049,0.0284,0.2067,0.0402,2.0902,0.8647,0.7465,1.3331,0.2648,0.7194,0.6273,2.0465,0.649,0.876,1.7975,1.3858,1.7735,1.8704,9.2396,0.3399,1.2197,2.1379,0.7593,1.9824,12.223,2.1474,0.0597,0.3645,1.4629,1.1437,19.8989,2.7657,2.9973,12.3952,11.7609,1.5406,13.0021,7.7803,34.7249,128.9174,13.0756,3.5794,18.0351,0.0,647.4483,163.6702,2577.4729,138.3658,0.2735,0.0
SVK_Q,1.063,0.049,0.0257,0.0869,0.0304,1.5426,0.5369,0.3599,0.5519,0.3465,0.4792,0.7078,1.831,0.4769,0.7225,1.2557,0.4683,0.968,1.2855,5.6395,0.0743,5.9698,1.3101,0.2698,4.7516,10.9527,1.6415,0.0256,0.4176,0.9362,0.1417,1.0975,0.3385,0.4903,1.5687,1.7197,2.3348,15.6992,9.6499,28.6835,14.7782,593.8543,1.7618,13.7049,0.0,711.9491,96.2594,3475.8408,7.7549,-3.6187,0.0
SVK_R,2.1597,0.3456,0.0246,0.1326,0.0201,10.2223,0.6065,0.4878,6.8854,0.6693,1.0272,0.3297,1.5822,2.2757,1.2793,2.8501,4.614,1.1222,1.6809,3.8084,0.1066,1.6009,2.2729,1.076,8.4673,69.0892,7.3798,0.0459,0.1563,7.6465,1.0431,8.2307,25.5618,5.0604,3.7171,8.2397,47.8432,42.28,39.4636,17.1662,4.4297,3.8865,861.0071,18.5058,0.0,1773.0271,28.8553,267.964,8.4133,2.3928,0.0
SVK_S,5.1627,0.4927,0.1894,1.2484,0.0864,6.2586,2.4049,2.3712,3.4257,1.2292,1.6057,0.4617,4.1801,1.5393,1.9871,4.5019,1.458,1.7009,3.6529,8.8808,0.3815,1.9773,6.314,3.7206,12.4168,54.3945,14.8374,0.7703,0.3898,3.9437,1.3225,5.994,5.2358,2.7121,4.2383,9.025,6.3343,15.7582,13.5053,16.7022,6.4109,34.7882,9.8464,86.1795,0.0,751.8159,264.051,104.7169,15.5102,0.6277,0.0
SVK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9562,0.0,0.0,0.0,0.0,0.0
