V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T,SAU_HFCE,SAU_NPISH,SAU_GGFC,SAU_GFCF,SAU_INVNT,SAU_DPABR
SAU_C20,498.8723,76.0036,286.5134,40.5964,16.831,170.5612,376.029,48.8896,533.7972,692.8615,1837.3836,21.4518,966.2885,319.5652,372.1872,251.4029,5.9638,331.7801,59.3654,32.6349,19.5957,151.8103,408.8157,209.3667,2368.1091,1261.3837,48.49,2.1194,219.045,49.6022,1.0764,340.722,528.3733,253.9737,49.9138,64.1429,2.4912,33.1812,250.6731,305.6912,119.5073,290.1494,41.5802,190.7643,0.0,5909.9231,0.0,122.921,0.0,3235.6276,0.0
SAU_C21,13.7182,7.8523,18.6579,0.3955,1.7125,9.6739,8.3881,1.5594,13.7628,7.4153,178.5091,82.3484,19.9696,8.8724,3.1543,8.4741,0.1911,5.9753,2.1367,1.3248,0.0624,4.1524,31.4108,7.7823,101.8611,73.5917,2.2621,0.118,16.5213,2.2428,0.1008,34.4778,12.1905,21.3012,2.8745,1.8707,0.0901,5.5165,17.4053,55.1774,22.643,74.3803,3.9353,18.8858,0.0,508.1642,0.0,56.8612,0.0,-119.8379,0.0
SAU_C22,174.6078,184.3637,33.5437,6.5142,5.6006,143.6834,306.8847,4.6222,27.7858,121.9969,99.8178,4.0222,547.8164,23.792,9.8535,33.7525,6.1274,201.677,36.8308,54.5641,22.8658,99.473,0.6171,47.3341,1129.9083,1278.0293,76.5823,0.0144,27.2038,162.9201,8.5445,90.3491,49.1477,85.1037,0.7355,16.8184,0.0019,56.9768,34.2309,91.7065,33.3008,114.6454,11.5603,62.0077,0.0,1623.0373,0.0,0.0,467.6984,655.9347,0.0
SAU_C23,11.3543,0.7851,24.8675,0.9238,2.9201,84.178,0.8801,1.1328,0.5162,31.6059,16.7597,0.8567,4.6471,352.7501,14.1647,24.321,3.0885,24.467,12.1985,8.4401,1.6379,10.6722,11.5925,23.9194,4975.3285,80.1424,0.5693,0.0149,6.5595,11.0852,18.0315,49.1699,0.1634,47.1182,0.0,0.4406,0.6601,35.2941,26.3813,5.7989,10.1564,95.1023,1.4893,37.9166,0.0,3194.1329,0.0,0.0,3127.2627,683.3265,0.0
SAU_C24,0.9483,0.0,83.0239,16.6369,6.4505,1.0286,4.6316,0.7145,18.4065,325.2837,5.7146,0.0907,32.8735,37.7693,205.5813,713.8399,5.6738,527.1442,146.4039,71.383,20.8517,70.6956,29.6607,28.777,2744.6095,223.2469,1.2083,0.0205,24.4252,15.1102,1.8368,83.9539,82.998,8.8597,0.0,0.0,0.001,115.1662,66.7453,8.2879,24.0868,110.3847,7.5187,57.5083,0.0,0.0,0.0,0.0,0.0,171.3657,0.0
SAU_C25,12.9193,2.6246,6.8568,1.1028,0.5896,23.1586,14.5949,2.3853,6.468,43.7846,2.2527,0.0356,7.9575,18.0705,46.7557,82.7979,1.064,57.2053,61.9868,10.4857,5.9698,28.2468,6.2718,3.2205,250.2293,59.9325,1.9611,0.0174,15.3068,56.3122,0.0071,9.3405,1.1025,0.0161,0.2144,1.6998,0.8903,9.7948,6.4594,57.1851,6.2627,12.1955,0.4451,18.8967,0.0,0.0,0.0,0.0,8036.5771,531.8168,0.0
SAU_C26,0.0394,0.6931,1.6162,0.0033,0.0744,0.2112,0.2128,0.0171,1.1789,0.3501,1.2184,0.0409,0.0705,0.9723,0.1367,5.2692,5.1987,2.5018,2.0993,0.5182,0.8043,1.3589,0.2607,0.7668,1.2485,3.6211,0.1087,0.0098,2.5655,1.5656,0.4466,0.6225,0.0428,2.3889,0.0748,1.8672,0.0291,3.8921,1.3927,24.2129,2.5471,5.8165,0.643,3.4181,0.0,174.3672,0.0,2.0113,728.8337,43.2741,0.0
SAU_C27,2.1372,1.21,9.117,0.1902,0.6675,1.034,0.5487,0.2213,0.6936,64.9563,2.06,0.0529,2.6781,4.3844,2.0777,4.9249,8.4811,321.4093,55.5848,13.3251,4.4143,7.2568,0.182,29.4754,168.9256,194.8156,0.0222,0.0012,0.2261,0.4095,0.0912,10.0329,0.1291,28.8366,0.1037,4.446,0.0015,13.2416,9.0183,31.7431,9.3881,14.1821,1.3131,18.5085,0.0,3555.2452,0.0,0.0,5964.1182,586.4286,0.0
SAU_C28,12.2044,0.2122,18.1179,1.8727,0.6576,6.1117,8.104,1.5686,8.0239,97.8356,9.2495,0.2224,5.7961,21.6854,12.2301,17.9745,0.2255,13.6328,27.1923,2.0907,1.929,7.1748,24.2775,5.3854,111.7021,124.247,4.8932,0.0245,11.1741,12.7111,6.9949,14.9371,3.4589,33.7029,0.034,0.66,0.0006,4.553,22.5785,98.6325,4.2547,10.3202,2.218,4.1654,0.0,0.0,0.0,0.0,4631.4405,222.54,0.0
SAU_C29,0.3298,0.0288,0.3676,0.0008,0.0422,0.0119,0.0003,0.0008,0.0002,0.1299,0.0083,0.0003,0.0021,0.0218,0.0,0.0143,0.001,0.0015,0.0062,3.3324,0.0753,0.0328,0.0274,0.2231,0.0,37.4438,1.8571,0.0,0.016,0.6114,0.0,0.6204,0.0045,0.0,0.0003,0.0003,0.009,0.2334,0.4057,0.9561,0.0,0.8337,0.1459,0.4379,0.0,474.4826,0.0,0.0,1198.4033,66.7595,0.0
SAU_C30,0.0267,1.4214,0.3693,0.0055,0.0186,0.0,0.0,0.002,0.0,0.0626,0.0002,0.0,0.0,0.0037,0.0,0.0,0.0,0.001,0.0069,0.0,0.999,0.0003,0.0,0.1422,0.0768,12.0783,0.5435,0.0413,4.0137,0.2811,0.0094,0.4453,0.0024,0.0536,0.0,0.0001,0.0037,0.1323,0.1518,4.0942,0.1008,0.5412,0.1404,0.3033,0.0,24.0257,0.0,0.68,420.8112,15.6872,0.0
SAU_C31T33,49.6381,26.4103,348.544,3.019,7.4851,0.2035,0.5386,0.0145,0.254,0.5485,0.4044,0.0266,0.0639,0.1683,0.3357,0.1512,0.0747,0.1889,1.5995,0.2722,0.1329,1114.1155,32.6529,17.1791,459.7262,1282.5028,60.9457,2.6376,217.6072,95.8628,13.0889,61.1273,262.152,2.7559,0.0143,23.2137,0.6223,55.0658,109.5576,510.2035,57.0728,120.3945,37.6653,73.152,0.0,599.3602,0.0,0.0,2505.3375,174.0095,0.0
SAU_D,66.6448,25.7556,682.5906,8.926,17.0854,174.5118,119.4507,19.7428,245.8485,222.3905,198.2854,5.2847,138.646,283.7056,167.6385,140.2454,4.0485,127.5445,52.6454,24.833,8.0695,34.1229,712.7381,100.886,546.2628,1017.331,22.1848,0.7905,104.4721,37.9411,8.4857,151.3257,14.8443,194.7197,2.1108,31.4692,102.0619,23.6423,90.6918,725.9506,143.8813,167.5523,91.4944,42.2868,0.0,6682.5305,1.7903,3020.7387,224.4249,0.0046,0.0
SAU_E,20.3434,7.2221,107.3453,1.6833,3.5328,85.2893,40.7964,4.2075,19.554,62.1746,45.1403,1.7813,26.3327,29.2752,38.9273,119.7951,1.5475,70.8969,26.7475,13.6725,4.4997,19.1477,13.256,35.3029,150.7561,229.1283,29.5051,0.3206,13.7647,6.8827,1.4946,38.1727,7.1812,42.0324,1.0876,12.4795,17.552,4.5034,20.0194,81.1577,36.7842,35.8776,20.0432,7.6581,0.0,1811.6486,8.3996,949.9475,66.2127,0.0,0.0
SAU_F,152.432,50.3884,173.377,14.2632,23.8055,850.0792,156.4059,18.4003,291.5582,927.276,388.8721,19.6158,96.0996,483.2269,102.5378,206.4892,14.7295,69.9436,107.6358,24.129,3.9951,61.3147,118.0725,145.5442,7409.2147,1392.7246,23.1977,0.7966,142.9574,348.971,18.8217,310.5267,22.9192,275.298,17.4767,110.0019,1512.8146,44.5002,5.7871,3199.0992,529.5691,627.8754,119.2928,207.9113,0.0,5464.855,0.0256,2.8105,60725.8009,9.8759,0.0
SAU_G,1057.801,137.5548,530.5442,66.6986,33.8548,1981.1078,602.0783,113.0752,471.0092,5435.5998,1903.6514,64.4572,637.4061,672.9548,800.3011,737.568,29.6243,751.4134,248.1184,190.611,44.8063,308.6451,1141.7658,214.2098,6771.8619,5284.3918,425.3324,8.3808,776.2378,167.9869,22.8152,1367.5286,467.6212,387.8731,28.8675,352.1039,128.3906,219.4408,534.9537,3997.189,392.9462,484.08,108.4249,247.1652,0.0,19457.6229,0.0,441.0082,17372.0938,4326.1433,0.0
SAU_H49,50.1218,10.2671,31.891,5.0071,2.4822,158.846,55.5416,9.9286,49.8004,81.9195,144.5394,4.3475,49.3113,73.4117,58.8432,56.5641,1.7809,49.3673,19.2484,8.4468,2.8781,20.6046,40.1273,27.4047,410.9855,859.2297,14.5424,0.4882,54.4344,50.0464,1.5609,81.3137,53.7472,49.0959,1.8899,5.2612,1.4111,23.0149,27.4088,49.3324,42.892,43.0161,11.8295,21.5681,0.0,2193.5877,0.0001,69.5107,603.5727,0.0,0.0
SAU_H50,0.0036,0.0037,0.0069,0.0082,0.0005,0.1456,0.0066,0.0024,0.0052,0.1103,0.0502,0.004,0.0172,0.0263,0.0591,0.0134,0.0101,0.0405,0.0063,0.0011,0.0162,0.0196,0.1549,0.004,0.1561,0.0263,0.0783,0.0012,0.1818,0.002,0.0017,0.0851,0.0166,0.002,0.0024,0.0231,0.0056,0.0081,0.0092,0.0367,0.002,0.005,0.0047,0.0034,0.0,0.3459,0.0,0.0014,6.0547,3.7629,0.0
SAU_H51,44.894,25.5772,82.0835,2.9774,6.9862,130.1338,87.943,10.4473,55.9928,84.1945,267.6654,13.097,72.1532,78.5058,67.3209,106.7408,6.5501,93.0714,27.1791,16.3777,5.3727,27.6651,148.9823,58.8107,797.3525,911.7256,14.3765,0.5512,357.6033,62.5555,1.8833,169.3829,75.0418,465.3828,14.2295,16.6772,1.7143,91.6924,107.2748,273.6173,195.3849,169.2279,54.9204,92.4848,0.0,3395.1423,0.0001,484.5378,819.8335,299.3191,0.0
SAU_H52,42.8482,30.2131,30.6756,6.3889,3.1247,157.0499,62.9364,7.7984,73.2565,105.8577,158.9156,4.191,66.8004,135.6344,123.2589,86.8932,2.2336,63.542,27.8728,14.4222,5.511,26.5898,32.225,20.3202,293.4232,867.2195,59.1506,2.1362,162.7419,84.3987,1.2729,88.2178,211.1754,492.7664,15.8568,192.1591,1.7988,60.9911,65.6912,31.8625,18.4145,115.2242,31.4675,57.6141,0.0,713.2352,0.0,1545.0888,438.4327,159.9027,0.0
SAU_H53,0.7292,0.7345,1.5938,0.0835,0.1281,4.2329,3.5093,0.2239,1.658,0.8632,4.4828,0.2059,0.8538,2.3716,1.1259,1.2768,0.1128,1.4765,1.1198,0.2195,0.0373,1.0562,1.7572,0.4996,23.4363,72.7234,0.0766,0.0012,0.8443,0.2762,3.603,2.4404,0.1666,15.4072,0.052,0.1714,0.777,3.3885,4.6803,9.7931,1.7247,2.0941,0.5864,2.1488,0.0,27.6883,0.0,611.5531,0.0,0.159,0.0
SAU_I,35.5797,2.6915,94.4391,0.0457,6.695,66.9248,79.7286,5.2076,26.8367,225.0461,258.8012,16.7007,41.6862,26.2362,38.9895,43.9634,1.8251,22.476,22.1989,10.1049,7.4376,13.3822,74.9739,31.5693,363.1019,575.3558,1.2101,0.0598,19.022,76.2954,0.3516,58.6172,30.7456,323.8275,5.8805,37.0471,9.3604,58.395,24.9033,524.7924,121.0334,127.6228,30.4355,55.5598,0.0,11544.3858,0.0,0.0,0.0,0.0,0.0
SAU_J58T60,3.4825,1.3312,219.2688,0.2258,8.5272,68.3666,16.074,12.3464,114.9301,31.7917,166.2627,6.6712,76.9377,51.8819,39.4905,3.483,3.593,116.3834,23.1092,19.8861,8.0392,31.678,21.6965,18.0454,500.9562,410.0142,62.0754,0.764,89.81,436.4964,5.7796,65.7478,193.8714,23.3875,10.1929,60.1424,22.473,55.6966,45.3691,374.2185,1085.8219,95.7474,52.424,15.9273,0.0,1649.5425,0.0,680.6331,19.4068,0.2932,0.0
SAU_J61,52.628,34.0119,79.7721,12.6576,6.8331,168.6762,98.9248,7.5666,42.0802,118.129,194.4692,10.9062,30.8813,78.0565,29.6829,29.4836,4.5394,40.8326,29.795,5.9501,1.5316,31.9684,57.9724,10.7155,323.1588,2421.3502,1.0955,0.0287,16.2053,3.2091,0.8625,56.561,15.0817,1698.5793,11.9565,56.9236,69.2723,38.3556,27.1534,419.4138,113.659,78.9658,17.2378,45.9359,0.0,15267.9265,0.0,0.0,1338.5102,0.6549,0.0
SAU_J62_63,40.6306,12.1927,64.3555,1.0906,7.6116,204.4567,143.5205,10.615,60.5127,373.1461,159.2252,10.2304,3.9836,102.8609,49.6693,26.1105,7.7166,47.8889,48.4659,14.0702,3.826,20.5753,58.1933,12.9617,78.6607,986.9569,19.304,0.0865,21.3173,5.3967,2.2994,62.8051,34.9414,1549.0376,444.9141,52.196,33.9987,56.8983,19.2278,436.3404,85.1744,87.6736,16.4358,48.2831,0.0,0.0,0.0,0.0,691.3864,0.0443,0.0
SAU_K,42.9794,31.5642,93.0727,5.1612,6.09,242.4923,226.367,18.5041,109.1904,358.789,217.683,9.1866,109.1279,125.538,101.5424,107.7638,6.9915,103.3116,69.2077,26.3305,11.4214,81.7364,183.9239,51.2034,1756.0233,2175.1365,85.753,1.2328,204.2772,38.1475,2.5875,174.9638,39.1985,276.5949,14.7004,658.4909,0.0395,140.7748,71.3845,1025.1416,264.9381,264.0688,31.4388,77.9812,0.0,16108.0873,0.0,243.0068,55.3596,1.6553,0.0
SAU_L,10.3801,16.7308,23.7961,0.0542,0.6355,32.7798,22.4698,1.8925,8.4849,3.5074,18.5767,0.6892,12.3636,20.7245,5.3479,19.2933,1.3497,13.2283,9.0763,3.5123,1.7882,25.0224,19.959,1.7525,209.9754,1332.7844,9.2476,0.0373,2.0798,27.9832,3.6599,14.0172,19.9867,339.7785,13.8083,41.0468,225.4187,62.3736,46.037,30.2426,79.5594,26.7536,14.8204,25.8979,0.0,24333.2171,215.4343,28.6491,0.0,0.0392,0.0
SAU_M,13.6118,10.0907,42.5094,0.5908,1.5086,89.6332,54.7993,2.8367,25.8844,41.5789,61.8366,4.4399,25.6208,27.922,20.1736,54.2373,2.0871,42.7785,18.7152,9.4527,4.1933,18.451,14.6809,12.4976,145.9815,831.7503,5.1976,0.1758,16.3082,7.3965,1.7127,55.971,18.2543,127.3591,4.2845,48.1702,4.977,144.7147,20.6956,791.2243,65.5446,76.5385,24.3173,21.2744,0.0,3768.2654,6.7876,157.1879,1335.2451,0.1248,0.0
SAU_N,8.663,20.6909,119.0648,5.7846,5.7016,143.0593,69.7793,4.6638,37.1938,75.3088,116.9795,7.5019,54.5034,157.8072,21.4759,48.4177,3.0278,47.4941,35.7836,10.0872,6.7991,32.9018,51.7584,30.2143,1551.7528,1100.8238,38.8835,1.3809,319.2175,55.8473,18.681,111.6558,3.5857,51.9049,2.6589,25.1868,6.4719,21.1727,136.8691,786.8945,164.2593,223.6912,92.3029,55.7537,0.0,9932.634,0.5199,71.4002,816.6936,0.0765,0.0
SAU_O,15.4495,3.9356,18.7153,0.9423,2.2787,54.2128,43.4403,3.4589,14.8061,74.5908,63.3056,3.1002,22.7902,22.5109,63.8406,21.4449,0.6524,10.5062,6.2918,5.1375,2.4779,13.2224,16.5386,15.4201,194.6292,152.3944,67.4423,0.4476,100.1538,35.0069,37.5057,42.1896,11.9509,60.9009,1.0881,13.8136,563.2427,18.2409,16.829,258.7652,61.638,54.3845,11.9517,19.1565,0.0,3410.042,0.0,82315.5739,0.0,0.0,0.0
SAU_P,9.1703,2.6812,170.0408,2.3517,3.5392,48.983,45.809,3.4668,15.4444,22.118,47.5742,3.5086,20.8021,22.8531,67.9017,25.6298,0.5695,11.1573,6.7854,5.7711,2.6015,8.7142,16.6187,10.1303,37.4771,227.5678,4.7797,0.0367,7.4554,2.5029,2.0023,9.9385,13.8891,63.4259,0.9849,12.363,4.9728,11.9651,6.0797,81.071,20.1033,18.7488,1.7113,4.8005,0.0,6554.7167,296.5446,43816.9892,1.2702,0.0,0.0
SAU_Q,39.0974,11.9575,137.6032,4.464,14.8599,317.0457,13.9609,24.363,8.8289,236.9143,162.4685,10.626,99.0775,78.6377,25.7915,0.0,4.3229,73.3228,36.3473,32.4251,11.2595,103.2928,41.2881,12.8778,172.2979,144.3591,49.8277,0.3453,0.0,8.0394,53.6899,67.1939,5.6537,119.5329,2.9328,22.4367,4.8863,37.2792,44.6706,144.7498,79.7216,59.759,17.4885,27.7446,0.0,2496.442,44.8228,23315.9363,0.0,0.0,0.0
SAU_R,0.0,0.0,9.2949,0.1477,1.2232,10.3066,0.0,0.0,4.3774,8.7085,3.2712,0.2409,4.033,0.0,0.0,0.0,0.0,0.0,0.7247,2.2647,0.8917,0.0,0.0,2.7202,0.0,6.3586,0.3833,0.068,28.5306,18.6632,3.3484,4.1939,16.3873,9.5319,0.0,0.0743,1.7938,4.3343,2.8606,81.8529,22.4937,4.2316,15.4609,32.8424,0.0,881.4774,11.6225,1650.0918,73.629,0.061,0.0
SAU_S,13.9747,7.2559,11.2727,1.1814,1.76,50.165,3.2811,2.5556,17.1909,55.7345,76.062,4.889,9.7387,25.7636,15.9895,17.9608,0.5556,6.5903,5.6522,4.2534,0.8585,25.1067,46.1828,14.3598,116.508,138.2824,10.7689,0.1746,0.0,4.3066,0.6938,7.1611,2.0421,4.9763,1.6867,6.5322,0.003,4.6263,2.756,9.3328,8.4551,2.8092,1.4485,16.3353,0.0,1526.1208,766.3934,3380.8531,0.0,-0.0009,0.0
SAU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4098.1536,0.0,0.0,0.0,0.0,0.0
