V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T,SWE_HFCE,SWE_NPISH,SWE_GGFC,SWE_GFCF,SWE_INVNT,SWE_DPABR
SWE_C20,137.4317,0.5175,2.4986,31.0442,0.4591,62.1577,29.2155,41.1727,285.2367,18.1749,549.2787,290.7636,386.2559,69.9952,53.2516,81.7935,30.0415,60.8653,35.9491,191.9345,6.8207,49.9244,114.2616,40.6012,169.8142,104.0359,34.6256,2.333,3.9535,30.5917,1.8763,24.544,12.9987,10.0111,19.3506,6.6447,74.2965,54.6259,122.0079,24.9791,19.2981,107.5001,25.2177,54.7045,0.0,872.0841,0.5613,113.3128,212.3426,40.1248,0.0
SWE_C21,14.595,0.1837,0.3219,5.3886,0.1083,30.482,9.4254,10.0621,31.5359,4.1126,43.9012,456.506,26.0855,12.3413,31.6109,19.234,8.8692,8.4912,25.1605,38.0682,8.5349,15.6005,10.2715,16.314,70.9412,180.3694,35.689,8.3007,21.5497,37.4376,3.0035,21.1385,37.4005,13.8604,33.1273,6.4424,19.3312,79.7991,47.486,16.2927,11.7377,392.7305,19.6618,12.9885,0.0,1056.732,1.6399,956.3861,604.6358,33.4953,0.0
SWE_C22,13.3595,0.2785,6.3747,5.2311,0.091,87.6722,12.7319,28.3264,44.1147,4.506,35.4142,46.2232,126.5639,49.8423,12.3735,37.2897,24.7291,31.6978,133.8689,357.6123,11.3599,61.1406,7.7912,38.9355,333.8236,100.1943,56.9018,1.5686,1.5567,20.2281,1.1278,18.077,6.2167,10.0587,29.7141,9.825,45.1072,46.1024,15.3456,46.3578,18.9273,94.3857,15.0458,12.9389,0.0,542.4799,0.2574,36.9969,116.1623,21.6204,0.0
SWE_C23,81.9266,0.1528,2.6463,47.8999,1.1369,70.3843,3.426,116.0064,25.4012,5.2309,27.1559,15.2147,13.0114,392.9949,32.8718,60.7972,9.4552,20.9194,46.8325,142.323,9.6117,27.6097,68.3642,24.2965,1962.4263,47.3025,38.7501,2.0359,2.4518,109.0882,1.3426,14.6844,6.0479,3.731,8.3356,5.4675,223.0014,22.8531,12.3981,19.2509,16.7588,30.5814,9.0041,16.359,0.0,462.4432,0.1026,12.6279,588.531,29.977,0.0
SWE_C24,37.6013,0.0,1.1055,16.8672,0.3979,2.1024,9.7878,44.5583,8.5142,0.2555,8.0126,4.8864,58.6848,107.6977,2156.6524,2161.3516,42.0729,328.2822,561.26,767.9771,37.8424,230.119,14.1583,36.7314,797.3145,8.8309,2.073,0.3769,1.4656,56.2093,1.2113,0.1718,5.664,8.7808,11.2564,0.114,11.2733,9.6392,22.4032,10.9355,5.2732,1.5625,1.3056,3.0918,0.0,15.6562,0.0,0.0,0.0,70.9985,0.0
SWE_C25,44.0092,0.666,1.7712,81.3793,1.7492,101.4895,9.9179,114.0291,34.2597,5.8845,46.3935,22.7914,82.7295,116.8912,137.4437,1058.3033,77.8455,444.1417,1416.3598,1221.3663,207.5744,223.8667,37.8871,154.0162,1367.5798,113.6268,16.7757,3.9538,3.5408,67.6849,1.7767,14.6401,14.6071,72.5211,58.1259,15.7287,153.7959,99.6236,43.4238,186.2773,28.158,36.0571,18.4601,25.1582,0.0,792.7525,0.5276,37.5075,2285.9195,70.1945,0.0
SWE_C26,7.7756,0.211,0.1893,2.4104,0.0519,12.4902,1.2208,6.0135,11.4387,3.197,8.5802,7.3086,4.6316,6.6363,8.3964,17.3119,297.8652,82.0662,58.2407,179.2364,28.4881,28.3922,10.5405,7.1813,152.6779,32.599,6.4641,1.7322,1.6467,7.359,1.5727,6.8144,18.121,20.7004,46.5663,5.4229,7.6476,64.2551,20.8459,17.5651,8.0255,55.6792,15.5563,7.4965,0.0,801.8464,0.6633,82.8685,1126.5627,24.402,0.0
SWE_C27,25.9798,0.3135,0.8424,8.7268,0.1852,16.7846,2.1467,28.4551,24.4796,2.5287,18.3394,8.6368,11.8404,26.1247,31.3873,43.95,103.1267,222.3823,180.3663,175.5106,64.854,74.9842,42.239,11.6147,377.2299,54.0301,27.5548,14.6897,6.6858,28.8475,1.4921,10.1472,10.7259,23.1171,34.9925,4.7607,25.0966,76.6374,36.0347,30.5996,11.6952,20.7938,15.2608,7.744,0.0,468.2822,1.0297,72.7403,1127.614,19.2213,0.0
SWE_C28,114.2478,0.8145,1.5101,19.4795,0.3647,90.6916,9.6985,53.4199,79.7195,22.0279,54.1763,42.8043,32.3952,46.0647,67.9126,99.0831,36.3772,69.047,691.961,894.6587,52.9938,118.9637,71.1058,31.3065,331.5794,165.8833,55.7729,21.4934,12.5995,54.5528,3.7949,44.9728,28.1155,44.8702,56.035,19.5358,42.8376,115.4174,81.3745,65.3716,29.2327,79.416,38.5713,22.5718,0.0,736.3297,1.6482,161.5928,4214.632,72.7584,0.0
SWE_C29,90.9579,1.5711,2.3607,21.5635,0.3677,178.0929,14.9896,46.9005,76.3926,51.336,59.0533,67.4427,38.7111,42.6132,104.0424,131.6166,68.6843,59.2703,1015.4319,3280.3229,34.9724,62.8797,46.3892,48.6056,333.466,864.2357,228.1505,14.9025,21.2725,52.3048,11.6913,106.9297,48.6844,40.0439,119.6038,51.3354,89.7498,161.6713,134.204,72.4012,49.1138,131.5552,60.8049,34.0289,0.0,5056.0394,5.6491,531.0722,4875.3811,157.3388,0.0
SWE_C30,1.5253,1.7896,0.0,6.8859,0.242,0.2454,1.4171,5.0477,1.1417,0.1328,2.2693,0.6127,0.5935,3.8507,4.2653,3.0442,100.7802,0.5801,4.8016,15.9798,484.3743,252.6762,13.8758,2.5726,7.4713,6.9588,273.8666,174.9704,246.6923,2.5288,5.571,0.1044,1.1764,0.0,11.0599,9.396,0.1382,11.7943,30.5803,432.2267,0.6095,305.8788,2.7573,0.736,0.0,983.2488,0.0,0.0,1101.8597,3.1699,0.0
SWE_C31T33,137.5401,1.0601,4.8545,41.9033,0.8629,67.081,10.101,80.8717,129.5986,5.4072,104.2342,58.2633,44.4417,164.8986,98.5345,89.2411,34.4426,30.4471,218.3042,147.7182,42.4654,243.816,76.6956,31.8027,407.5414,197.5369,158.4265,92.8861,37.0588,88.4398,2.0317,31.3433,15.5158,34.7692,37.1078,9.832,44.0703,109.988,173.3633,104.1411,44.8126,295.8633,94.4488,42.7066,0.0,1933.739,0.389,66.7683,1028.364,8.7374,0.0
SWE_D,255.8276,0.4574,3.0935,127.9893,1.3466,254.277,26.2314,294.428,810.1731,8.147,282.54,66.9623,84.7495,120.9393,394.8442,205.7233,54.638,47.0376,132.659,172.5173,24.0326,81.6202,1635.6191,264.1426,250.5202,1095.0776,191.9772,18.0651,11.6991,324.0237,6.8057,271.0468,46.2935,123.1472,74.1268,78.9128,938.2556,279.5901,132.5986,287.9127,171.0255,328.7615,186.1001,107.4784,0.0,7828.4119,0.5849,20.4946,510.0682,11.2544,0.0
SWE_E,39.1242,0.2917,6.6123,57.6662,1.1705,38.2183,5.1049,78.1861,191.9587,5.167,29.7324,9.915,32.1375,55.4231,1225.1327,17.9467,2.5539,5.6737,30.1247,31.5529,2.6384,8.7572,181.5897,532.6535,216.7397,591.7518,47.6743,7.9343,3.925,93.7473,21.9875,80.5344,29.9787,18.9006,46.1698,41.8111,2962.873,112.1135,36.0284,148.89,106.4555,218.5504,77.008,54.5106,0.0,116.4079,1.3923,7.0312,39.4538,1.6177,0.0
SWE_F,249.0491,1.0622,3.7293,119.3238,2.4003,73.578,5.8194,74.1418,124.5291,3.3085,96.7051,64.0164,31.1072,71.1877,84.0672,80.0817,15.5367,56.1033,121.4607,201.8479,55.7471,43.2372,1145.4437,116.8963,5248.9625,745.3899,180.8484,18.6235,11.3923,557.2256,40.2316,154.9972,57.0894,83.8135,65.2421,225.507,10302.8084,377.1857,103.7508,639.672,319.0531,224.9386,223.7668,223.8553,0.0,185.4226,0.7578,29.6584,40865.6626,3.6329,0.0
SWE_G,1196.5679,21.1209,14.4322,204.2329,3.5013,2666.1264,203.4664,386.3568,789.6359,414.794,656.2266,564.6267,337.5808,349.4263,710.2037,688.3234,330.6164,379.1157,1169.225,2414.7107,172.9726,542.4213,420.1702,377.3934,2278.9407,2334.1474,2033.7149,156.312,171.2699,1711.6651,130.3035,1822.3664,513.1694,285.5649,838.4404,154.2884,461.5871,1250.4084,625.1338,543.8552,537.4786,1493.2199,447.5078,268.5736,0.0,22144.3858,6.5622,1098.9607,5354.4526,539.2973,0.0
SWE_H49,971.4909,3.8224,18.084,217.9409,4.0087,355.9182,15.1441,110.3238,213.0164,154.6398,110.6968,57.9085,57.2047,97.8935,199.634,130.2715,33.3837,54.966,168.3665,378.2514,25.9611,77.9752,162.3243,129.3612,1086.8035,660.7462,1941.0666,64.3865,38.2435,5724.541,33.305,144.9253,68.8367,34.3283,103.8987,32.2709,83.3864,392.2636,237.1377,234.5347,485.106,165.2953,96.6185,110.7438,0.0,3910.6713,1.0562,436.0259,455.5294,327.6786,0.0
SWE_H50,86.4021,0.2904,1.2712,13.245,0.2668,31.0152,3.0044,62.5915,68.1947,46.308,22.1284,13.55,8.1207,64.1591,41.5014,49.4419,9.6257,19.8682,51.8821,72.4817,11.1665,12.1628,12.4773,7.4019,42.4158,335.2763,17.7238,319.4763,3.7856,473.8875,2.5508,18.6903,19.8553,9.3195,34.2775,7.8224,15.294,61.3681,41.0059,10.7909,8.5304,39.3337,8.6354,4.5617,0.0,261.7317,0.2127,19.5839,57.7546,234.0051,0.0
SWE_H51,14.8066,0.3646,0.3026,3.7613,0.0743,24.3718,2.1537,7.0889,10.94,53.6139,10.7309,8.2446,7.4152,7.717,15.5432,16.8949,7.2869,9.2369,24.1116,45.4127,5.8758,10.7831,8.5975,5.3542,40.9166,71.7674,10.6658,2.2945,10.0548,87.997,2.2493,16.9553,8.7594,5.4276,20.9065,4.6103,9.4047,72.1868,276.8892,22.4788,11.3786,27.2445,9.0015,5.7689,0.0,419.1037,0.0937,8.9915,80.6019,305.1545,0.0
SWE_H52,143.0745,2.3714,4.1761,39.0818,0.6284,410.4189,17.9842,286.8889,449.549,32.9069,213.6464,77.2236,82.052,210.5941,179.5277,123.4376,16.919,56.9586,229.2213,620.8618,28.8269,100.532,84.8475,187.3689,187.2626,3402.059,1536.5467,661.4369,488.6605,2071.3466,370.3544,52.7429,216.3573,36.5841,97.3821,60.5353,236.3076,532.6293,86.1165,96.8552,135.17,123.6467,43.972,22.2072,0.0,1237.4388,10.8683,5259.2445,516.1697,47.0298,0.0
SWE_H53,31.1197,0.0785,0.4478,5.0812,0.0951,10.4411,0.7998,5.7778,11.3425,3.1772,6.7087,4.8826,3.3061,4.2106,5.0449,5.224,2.0057,3.2654,7.3509,11.6858,5.4652,6.8348,31.2034,40.5467,37.0534,800.0757,46.9228,6.5066,2.8748,319.4518,123.996,6.8242,500.2366,25.1481,71.5357,85.0407,36.6541,183.4745,59.1191,378.3342,44.8961,47.1767,61.9319,39.9624,0.0,282.6765,0.0805,27.955,12.232,7.5105,0.0
SWE_I,16.1358,0.2287,0.9316,8.8577,0.3284,24.5611,7.9097,10.8196,31.3357,0.8148,83.6593,48.1205,28.3789,48.3253,39.7804,80.8494,66.2026,94.0121,177.8619,53.8589,16.2346,58.0163,76.8724,141.5276,95.0716,664.0667,26.6514,18.083,30.5634,61.6382,6.0784,70.9577,34.2406,103.3527,413.0144,146.2999,98.2415,572.7061,1304.7582,222.9298,230.0393,217.9176,120.4422,75.5449,0.0,9468.4653,4.9549,0.0,0.0,0.0,0.0
SWE_J58T60,28.7497,0.4133,0.5837,6.2668,0.1349,76.0025,6.4938,41.1371,106.4211,19.2551,41.5535,86.7191,18.6454,19.78,61.3999,53.1318,36.1272,216.0689,153.5772,72.4707,20.2391,49.6009,74.9872,65.0953,188.3404,1418.2039,79.3174,18.697,27.0503,134.1424,12.8157,41.0317,1821.4444,255.0921,2056.1289,165.3763,169.3218,1712.9774,334.6051,238.1413,605.8892,154.5595,207.6679,99.5253,0.0,2446.4917,7.1692,502.9269,194.1105,11.0651,0.0
SWE_J61,17.5014,0.076,1.2341,11.6559,0.284,35.02,3.3187,26.8847,61.3222,0.5721,29.0862,122.0362,20.5652,15.7571,18.0072,48.8683,21.9562,10.9344,174.9719,67.1405,7.7686,41.4662,59.3647,17.516,96.9385,809.916,125.7069,17.0383,4.1415,256.6276,11.1247,47.4924,193.174,3053.9578,373.5604,200.9632,155.004,712.3872,298.0279,557.9396,120.5664,287.9513,91.4251,73.9,0.0,3847.7773,0.2211,10.7552,99.2654,6.5364,0.0
SWE_J62_63,34.1374,0.5517,0.6654,14.0412,0.3215,58.9315,5.0924,39.3181,96.2358,12.0896,48.6797,141.6731,27.1102,32.0196,203.6299,86.9918,18.5758,40.7023,213.8138,222.4306,71.5447,49.2342,350.5657,213.1133,486.6699,1613.207,120.7534,19.9815,66.3376,252.0716,191.2646,54.623,960.2388,414.7782,4621.2538,199.0342,164.0423,1503.8832,388.3925,494.5674,248.9222,288.645,167.5711,83.6611,0.0,749.1196,1.472,47.0623,9214.7628,19.2784,0.0
SWE_K,430.8389,5.0011,1.7134,24.7912,0.5152,44.6228,10.9721,117.14,116.0531,13.1994,66.4597,47.9978,26.7093,27.4463,142.0705,92.9777,27.793,44.2962,158.2752,289.9548,21.1666,89.7653,206.5038,138.9425,513.4331,672.7812,282.6317,15.3826,29.0473,277.6839,55.0636,171.288,84.5997,52.3081,210.2362,2376.5998,5686.2369,895.3065,274.285,523.6181,73.9083,150.3196,122.3887,173.7957,0.0,8113.7673,44.5106,37.2656,207.74,10.9103,0.0
SWE_L,10.7842,0.0579,1.2055,14.2752,0.3372,148.7715,17.2357,62.1539,130.9502,1.1985,101.1835,42.5969,64.3497,56.8624,25.7766,192.8437,31.8146,90.3055,192.6983,197.1464,55.2238,145.3806,495.6965,106.5679,421.0957,4758.0255,459.7027,44.9453,89.5236,617.273,324.639,1069.8067,353.721,213.5028,586.4291,925.7816,2805.44,3090.2902,1003.0097,2982.9588,2935.8377,3190.148,1200.3708,451.3821,0.0,39722.3225,100.3506,589.9027,1528.0645,1.0938,0.0
SWE_M,204.7774,0.4481,13.8902,100.817,2.0401,310.562,23.0116,137.2725,326.8051,14.739,228.9281,469.9596,90.6014,134.117,145.9341,302.6598,84.5877,226.4672,627.282,1127.8623,114.4279,190.6357,679.9834,394.8526,4834.5168,4226.0589,346.9285,70.6266,57.919,602.6108,54.8262,233.5518,642.4589,438.4382,1454.0344,639.9412,1291.4507,6864.6254,873.0844,1020.8868,271.1207,622.2453,310.2377,247.7567,0.0,857.8303,41.6196,3786.49,14155.328,34.0233,0.0
SWE_N,75.432,0.2961,10.1998,97.9999,3.0768,157.505,11.1886,121.775,192.9294,5.0554,165.7672,273.3209,82.3601,119.2845,131.3482,257.1721,91.8445,197.7111,408.58,406.9825,245.6254,134.8322,362.8606,212.0673,739.6475,2844.9464,381.0905,80.7049,111.103,546.7084,91.2145,341.2824,377.7538,314.0182,832.498,421.9892,2140.5046,2123.0552,3230.7139,512.2794,459.9609,1437.2552,415.8253,143.9263,0.0,2802.7915,10.9865,204.8265,350.4891,15.3621,0.0
SWE_O,61.7605,0.3968,2.6098,11.3684,0.231,51.3259,10.1247,58.5286,82.0243,4.2745,30.9531,107.9539,29.9384,15.5591,31.9574,127.6017,7.356,22.6669,126.9444,155.0074,10.9172,57.496,273.7925,65.2238,427.09,626.8582,210.7726,7.7852,13.3889,285.1459,43.147,129.5321,64.1715,69.2518,192.9152,174.8444,340.3478,455.601,230.1929,644.4111,1266.2802,1251.1705,305.1236,64.9441,0.0,1876.538,15.5901,26286.0588,403.7557,0.5614,0.0
SWE_P,28.8609,0.0209,6.5304,1.3333,0.0295,19.2185,2.9183,9.6112,18.7988,2.1162,20.1386,22.7497,6.9078,12.4442,50.7639,26.1434,7.7106,7.0104,124.1484,37.8535,9.5157,14.0372,15.5187,12.4768,45.7614,125.1635,12.0869,1.6083,177.4235,181.5645,3.2282,10.5236,43.3309,8.4903,214.2234,66.4918,23.0615,209.3648,42.5064,424.6935,351.9239,206.6007,35.654,45.6772,0.0,1675.7435,700.5662,30774.5401,169.8443,0.9655,0.0
SWE_Q,37.094,0.2738,0.3895,2.0766,0.0532,17.9617,1.7025,13.8431,17.9674,0.5993,15.8212,13.2761,8.0985,11.4195,17.0953,30.1282,9.8397,21.4215,44.1805,42.4582,5.577,21.3041,45.2374,16.3726,123.775,148.9554,8.7321,2.8501,3.4187,28.2475,4.1932,14.4505,25.4786,9.6705,58.3664,32.2522,25.1653,162.0273,45.4176,126.3735,94.671,2113.5227,34.1986,8.3149,0.0,8709.56,444.7788,58306.0842,157.9313,1.2737,0.0
SWE_R,11.7127,0.0898,0.3847,3.9006,0.1132,15.3606,1.2561,11.4462,29.4189,2.2162,6.4807,9.2251,3.5102,4.5907,5.9715,9.9365,3.4834,5.3218,17.5158,204.7568,2.9469,17.8583,49.2762,20.9787,311.1441,170.3536,28.547,3.2472,5.7224,119.6215,3.6637,166.0636,209.0267,7.4947,140.1788,54.7063,42.5266,278.1282,95.8834,149.6461,59.5877,149.8263,347.3173,28.6322,0.0,5206.6027,250.3492,3282.5576,272.1412,4.6215,0.0
SWE_S,29.3452,0.3382,0.6204,14.8859,0.3632,33.2572,3.0323,32.0614,44.1575,4.7998,32.6824,19.0936,12.656,24.1856,29.3612,28.569,5.2367,5.0059,33.449,59.7034,5.3186,15.0572,42.5489,101.5605,75.8142,512.6302,116.7557,12.306,6.4132,24.8309,8.2528,237.2942,33.7147,20.2373,123.8382,52.6671,125.2239,309.4237,134.1922,112.2406,61.2811,243.3897,57.1755,417.3446,0.0,3430.3504,4229.8192,35.3992,38.8329,1.5064,0.0
SWE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.1087,0.0,0.0,0.0,0.0,0.0
